USA Ultimate National Championships,Club - Women ,18,10,2018
San Diego,CA,2018-10-18,2018-10-21
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2018/schedule/Women/Club-Women/
Brute Squad,1
Brute Squad,Heist,15,2,"10/18/2018, 09:00",Pool A,Final
Nightlock,Schwa,11,12,"10/18/2018, 09:00",Pool A,Final
Brute Squad,Schwa,15,10,"10/18/2018, 11:15",Pool A,Final
Nightlock,Heist,11,13,"10/18/2018, 11:15",Pool A,Final
Brute Squad,Nightlock,15,4,"10/18/2018, 13:30",Pool A,Final
Heist,Schwa,12,15,"10/18/2018, 13:30",Pool A,Final
pool,Pool B
Fury,Phoenix,15,9,"10/18/2018, 11:15",Pool B,Final
6ixers,Traffic,15,9,"10/18/2018, 11:15",Pool B,Final
Fury,Traffic,15,3,"10/18/2018, 13:30",Pool B,Final
6ixers,Phoenix,15,8,"10/18/2018, 13:30",Pool B,Final
Fury,6ixers,15,7,"10/18/2018, 15:45",Pool B,Final
Phoenix,Traffic,9,15,"10/18/2018, 15:45",Pool B,Final
pool,Pool C
Seattle Riot,Rival,15,6,"10/18/2018, 09:00",Pool C,Final
Ozone,Pop,14,11,"10/18/2018, 09:00",Pool C,Final
Seattle Riot,Pop,15,6,"10/18/2018, 13:30",Pool C,Final
Ozone,Rival,15,8,"10/18/2018, 13:30",Pool C,Final
Seattle Riot,Ozone,15,10,"10/18/2018, 15:45",Pool C,Final
Rival,Pop,15,9,"10/18/2018, 15:45",Pool C,Final
pool,Pool D
Molly Brown,Nemesis,15,8,"10/18/2018, 09:00",Pool D,Final
Scandal,Wildfire,15,12,"10/18/2018, 09:00",Pool D,Final
Molly Brown,Wildfire,15,4,"10/18/2018, 11:15",Pool D,Final
Scandal,Nemesis,14,9,"10/18/2018, 11:15",Pool D,Final
Molly Brown,Scandal,15,13,"10/18/2018, 15:45",Pool D,Final
Nemesis,Wildfire,10,13,"10/18/2018, 15:45",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
Brute Squad,Fury,13,14,"10/21/2018, 12:30",1st Place,Final
Brute Squad,Molly Brown,15,11,"10/20/2018, 17:30",Semifinals,Final
Seattle Riot,Fury,13,14,"10/20/2018, 20:00",Semifinals,Final
Brute Squad,6ixers,15,7,"10/19/2018, 11:45",Quarterfinals,Final
Ozone,Molly Brown,9,15,"10/19/2018, 11:45",Quarterfinals,Final
Seattle Riot,Scandal,14,11,"10/19/2018, 14:00",Quarterfinals,Final
Wildfire,Fury,8,15,"10/19/2018, 14:00",Quarterfinals,Final
6ixers,Rival,15,12,"10/19/2018, 09:00",Pre-Quarters,Final
Traffic,Ozone,14,15,"10/19/2018, 09:00",Pre-Quarters,Final
Scandal,Heist,14,13,"10/19/2018, 09:00",Pre-Quarters,Final
Wildfire,Schwa,15,14,"10/19/2018, 09:00",Pre-Quarters,Final
b,r,e,a,k
brackets,Consolation Brackets  (2019 Pro Flight)
bracket,5th Place Bracket
Scandal,6ixers,15,13,"10/20/2018, 09:00",5th Place,Final
Scandal,Wildfire,15,6,"10/19/2018, 16:15",5th Place Semis,Final
6ixers,Ozone,15,11,"10/19/2018, 16:15",5th Place Semis,Final
bracket,7th Place Bracket  -- Pro Flight Play-In (A)
Wildfire,Nightlock,8,13,"10/20/2018, 10:00",Pro Flight Play-In / 7th Place (tie),Final
Pop,Nightlock,12,15,"10/19/2018, 16:15",9th Place Semifinals,Final
Rival,Pop,14,15,"10/19/2018, 11:45",9th Place Quarterfinals,Final
Nightlock,Traffic,15,10,"10/19/2018, 11:45",9th Place Quarterfinals,Final
bracket,7th Place Bracket -- Pro Flight Play-In (B)
Schwa,Ozone,15,14,"10/20/2018, 10:00",Pro Flight Play-In / 7th Place (tie),Final
Schwa,Nemesis,15,13,"10/19/2018, 16:15",9th Place Semifinals,Final
Schwa,Phoenix,12,9,"10/19/2018, 11:45",9th Place Quarterfinals,Final
Nemesis,Heist,14,8,"10/19/2018, 11:45",9th Place Quarterfinals,Final
b,r,e,a,k
brackets,Consolation Brackets (2019 Elite Flight)
bracket,11th Place
Pop,Nemesis,12,14,"10/20/2018, 09:00",11th Place,Final
bracket,13th Place Bracket
Rival,Phoenix,15,13,"10/20/2018, 09:00",13th Place,Final
Rival,Traffic,15,9,"10/19/2018, 14:00",13th Place Semifinals,Final
Phoenix,Heist,11,9,"10/19/2018, 14:00",13th Place Semifinals,Final
bracket,15th Place
Traffic,Heist,15,10,"10/20/2018, 09:00",15th Place,Final
b,r,e,a,k
clusters,Crossover Round (4 Seeds from Pool Play)
cluster,Crossover Round (4 Seeds from Pool Play)
Nightlock,Pop,15,4,"10/19/2018, 09:00",,Final
Nemesis,Phoenix,15,11,"10/19/2018, 09:00",,Final
b,r,e,a,k
