TCT Select Flight Invite 2018,Club - Men ,28,7,2018
Salt Lake City,UT,2018-07-28,2018-07-29
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-2018/schedule/Men/Club-Men/
Guerrilla,1
0,Daniel Cheney
0,Derek Connole
0,Bryson Chipman
0,James Fiala
0,Jarom Brandow
0,Jeremy Teela
0,Parker Awerkamp
4,Devon Terry
7,Aleksandar Maccabee
8,Brigham Schellenberg
11,Taylor Barton
12,Ryan McCready
12,Ryan Johnson
20,Nate McMurdie
24,Patrik Connole
27,Alex Frandsen
32,AJ Cozzens
33,Joseph Merrill
33,Bryson Jones
69,Kalin Nelson
73,Jamison Orton
73,TONY PEHRSON
78,Sean Connole
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Guerrilla,CaSTLe,13,6,"07/28/2018, 09:00",Pool A,Final
Dark Star,PowderHogs,12,8,"07/28/2018, 09:00",Pool A,Final
Guerrilla,PowderHogs,13,6,"07/28/2018, 10:50",Pool A,Final
Dark Star,CaSTLe,9,12,"07/28/2018, 10:50",Pool A,Final
Guerrilla,Dark Star,13,4,"07/28/2018, 12:40",Pool A,Final
CaSTLe,PowderHogs,12,7,"07/28/2018, 12:40",Pool A,Final
pool,Pool B
Rhino Slam,Sawtooth,13,8,"07/28/2018, 09:00",Pool B,Final
Mad Men,Gamble,13,4,"07/28/2018, 09:00",Pool B,Final
Rhino Slam,Gamble,13,8,"07/28/2018, 10:50",Pool B,Final
Mad Men,Sawtooth,12,14,"07/28/2018, 10:50",Pool B,Final
Rhino Slam,Mad Men,13,4,"07/28/2018, 12:40",Pool B,Final
Sawtooth,Gamble,11,13,"07/28/2018, 12:40",Pool B,Final
pool,Pool C
Illusion,Nitro,11,10,"07/28/2018, 10:50",Pool C,Final
Furious George,Nitro,15,7,"07/28/2018, 12:40",Pool C,Final
Furious George,Illusion,15,6,"07/28/2018, 14:30",Pool C,Final
pool,Pool D 
Prairie Fire,Black Market,13,8,"07/28/2018, 09:00",Pool D ,Final
Voodoo,The Killjoys,13,8,"07/28/2018, 09:00",Pool D ,Final
Prairie Fire,The Killjoys,13,8,"07/28/2018, 10:50",Pool D ,Final
Voodoo,Black Market,12,7,"07/28/2018, 10:50",Pool D ,Final
Prairie Fire,Voodoo,13,8,"07/28/2018, 12:40",Pool D ,Final
Black Market,The Killjoys,12,9,"07/28/2018, 12:40",Pool D ,Final
b,r,e,a,k
clusters,Crossover Round
cluster,Crossover Round
Rhino Slam,Prairie Fire,13,4,"07/27/2018, 14:30",,Final
Mad Men,Black Market,13,6,"07/27/2018, 14:30",,Final
Voodoo,Sawtooth,10,9,"07/27/2018, 14:30",,Final
Guerrilla,Furious George,7,13,"07/28/2018, 16:20",,Final
CaSTLe,Nitro,10,13,"07/28/2018, 16:20",,Final
Illusion,Dark Star,9,13,"07/28/2018, 16:20",,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
Furious George,Rhino Slam,14,15,"07/29/2018, 13:00",1st Place Game,Final
Furious George,Prairie Fire,12,8,"07/29/2018, 11:00",Semifinals,Final
Guerrilla,Rhino Slam,8,13,"07/29/2018, 10:00",Semifinals,Final
Furious George,Mad Men,13,7,"07/29/2018, 09:00",Quarterfinals,Final
Nitro,Prairie Fire,8,13,"07/29/2018, 09:00",Quarterfinals,Final
Guerrilla,Voodoo,13,12,"07/29/2018, 09:00",Quarterfinals,Final
Dark Star,Rhino Slam,10,13,"07/29/2018, 09:00",Quarterfinals,Final
b,r,e,a,k
brackets,Placement Bracket
bracket,3rd Place
Prairie Fire,Guerrilla,10,12,"07/29/2018, 13:00",3rd Place,Final
bracket,5th Place Bracket
Nitro,Voodoo,12,10,"07/29/2018, 13:00",5th Place,Final
Mad Men,Nitro,11,13,"07/29/2018, 11:00",5th Place Semifinals,Final
Voodoo,Dark Star,13,6,"07/29/2018, 11:00",5th Place Semifinals,Final
bracket,7th Place 
Mad Men,Dark Star,11,13,"07/29/2018, 13:00",7th Place Game,Final
bracket,9th Place Bracket
CaSTLe,Black Market,11,10,"07/29/2018, 13:00",9th Place Game,Final
CaSTLe,Sawtooth,13,7,"07/29/2018, 11:00",9th Place Semis,Final
Illusion,Black Market,12,13,"07/29/2018, 11:00",9th Place Semis,Final
bracket,11th Place
Sawtooth,Illusion,12,11,"07/29/2018, 13:00",11th Place Game,Final
b,r,e,a,k
pools,13th-15th place round robin
pool,13th-15th place round robin
The Killjoys,Gamble,11,13,"07/29/2018, 09:00",13th-15th place round robin,Final
PowderHogs,Gamble,4,13,"07/29/2018, 11:00",13th-15th place round robin,Final
PowderHogs,The Killjoys,W,F,"07/29/2018, 13:00",13th-15th place round robin,Final
b,r,e,a,k
