Tally Classic XIII,College - Men ,10,3,2018
Tallahassee,FL,2018-03-10,2018-03-11
https://play.usaultimate.org/events/Tally-Classic-XIII/schedule/Men/CollegeMen/
Massachusetts,1
0,Kevin Mateer
0,Michael Richards
0,Zachary Clark
3,Kevin Huerta
3,Colin White
6,Kyle Warfel
9,Frederick Hennighausen
10,Caleb Avery
10,Joseph Stipp
10,William Stewart
18,Grayson Sanner
21,Cole Feltman
24,Christopher Nelson
33,Jesse Thornton
48,Santiago Velosa
52,Connor Russell
55,Kameron Williamson
69,Jacobb Murphy
88,Dalton Vestal
b,r,e,a,k
Alabama-Huntsville,10
00,Andrew Sentell
00,Andrew Tharp
00,Brandon Jackson
00,Brett Hulsmeyer
00,Chandler Belt
00,Craig Block
00,Dominic Frazier
00,Elijah Jaime
00,Gage Gammon
00,John Boyer III
00,Jonathan Lee
00,Matthew Mabry
00,Michael Volz
00,Nick Werline
00,Nick Hildebrandt
00,Paul Hudson
00,Robert Bryant
00,Tanner Huff
00,Tannon Hedges
00,Thomas Dorfner
00,Wesley Seat
00,William Fleming
00,Zach Clayton
00,Aaron Aberle
00,Adam Pierce
45,Alejandro Guerrero
b,r,e,a,k
Indiana,7
0,Nicholas Tanzymore
1,Trevor Cook
3,Adrian Golay
11,Joe Dweck
14,Stephen Conner Henderson
19,Benjamin Adams
21,Matthew Nadler
23,Clark Barco
24,Peter Tavolacci
26,Sam Resnick
42,Jake Frederickson
47,Gabriel Wray
51,Max Hamilton
55,Eric Hannan
56,Cullen Booth
81,Matthew McHugh
85,Kwunho Wu
b,r,e,a,k
South Florida,18
01,Samuel Dornbusch
02,Parker Fernandez
05,Scott DeLuca
06,John Taylor
07,Christian Villar
09,Clay Hewett
12,Jake Webster
14,David Enix
15,Scott Main
21,Andrew  Cooley
22,Henry Hauser
25,Richard Miller
27,Joey Lancaster
37,Christopher Tiedge
44,Vikrant Pendharkar
53,Timothy Chafin
60,Dean Hasan
72,Brandon Yip
75,Henry Trent
85,Cody Coates
b,r,e,a,k
Georgia Southern,15
0,Clinton Skarosi
0,Devin Hamill
0,Jonathan Francisco
0,Noah Smith
0,Ryan Weber
0,Kevin Miller
4,Hamilton Mebius
7,Jack Collins
8,Joseph Vives
11,Zach Faddis
17,Jonathan Spencer
21,Samuel Trent
23,Chris Camp
32,Cody Lewis
67,Tanner Tracey
b,r,e,a,k
Georgia Tech,3
0,Luke Willis
2,Ashwin Anantharaman
4,Zephren Collinson
5,Tyler French
7,Micah Jo
8,Victor Pria
9,Kenta Kawaguchi
10,Arthur Shim
11,Stephen Cook
12,Miguel de los Reyes
13,Nicholas Chen
14,David Fernandez
15,Mark Farid
17,William Syre
18,Nishan Guna Sakaran
19,Maximilian Kolhof
22,Nicholas Button
23,Brandon Chen
24,Conor Brownell
46,Chidike Iromuanya
55,Stephen Mock
56,Micah Halter
76,Jeffrey Minowa
77,Amatheon Bohan
83,Keith Fingland
96,Logan Bonds
99,Alex Mathis
b,r,e,a,k
South Carolina,6
0,Michael Miller
2,Johnnie Lynch
3,Hunter Lazan
4,Matthew Hogue
7,Kyle Woodberry
8,Adam Chase
10,Stuart Hughes
11,Nicholas Headden
12,John (Jack) Dowling
13,Clayton Brandenburg
14,Tanner Coleman
16,Andrew White
17,Shane Smith
18,Jason Hoffman
20,Corey Branam
21,Preston Headden
22,Samuel DiStefano
24,Stephen Trello
28,Ricky Brokaw
31,Luke Colwell
32,Thomas Nye
33,Bryon Pearson
42,Austin Lourie
44,Reid O'Brien
45,Lukas McClamrock
69,Patrick Hall
84,Cleve Fisher
92,John Colyer
99,Aaron Coble
b,r,e,a,k
Florida State,11
0,Adam Faucett
0,Craig Anderson
0,John Andrade
0,John Kern
0,John Holk
0,Grason Cain
0,Matt Silver
0,Nicholas LoPresti
3,Peyton Brooks
3,Tim Lootens
4,Gabe Azarcon
6,Rob Leeds
7,Carlito Que
9,Scott Moore
10,Kellen Gray
11,Connor Howell
12,Jacob Bell
19,Bryce Vokus
21,Robert Larsen
24,Dylan Claerbout
24,Peter Backhaus
35,James Dobson
36,Stephen  Muir
50,Driss Ziane
80,Daniel Miller
94,Sean Kaiser
b,r,e,a,k
Notre Dame,14
0,Benjamin Elder
0,Christopher Connolly
0,Connor Bert
0,Jesse Shank
0,Joe Nolan
0,Thomas Lawton
0,Tyler Hull
3,Bailey Blum
6,Colin MacGregor
7,Luke Brennan
8,Sean Howley
10,William OBrien
12,Charlie Amrein
18,Steven Campillo
19,Sebastian Miner
21,Connor Buckley
27,Austin Walter
30,Oliver Hirn
34,Collin Klenke
35,Benjamin Seasly
41,Joseph Oswald
48,Luke Shanahan
76,Steven Wagner
b,r,e,a,k
Alabama-Birmingham,19
0,Seth Newton
01,Cross Jenkins
03,Nathan Wells
06,Nick McMillan
07,Joseph Wood
09,Jacob Meredith
10,Abhay Thottassery
11,Stakesh Peterson
12,James Meredith
16,Max Goldsmith
17,Josh Holland
21,Justin Eads
22,Matthew Quarnstrom
27,Jospeh Spears
30,Kyler Krause
31,John Bateman
33,Chase Thigpen
63,Brian Acton
81,Jake Perkins
b,r,e,a,k
Georgia,4
0,Ryan Dollar
02,Drew Di Francesco
03,Jared Bennett
05,Ethan Bowling
11,Matthew Cook
12,Conner Stoll
13,Miles Griffin
14,John Langstaff
16,Hunter Cutts
17,Ben Gladstone
19,Collin Cassidy
21,Coleman Tappero
22,Jon Ross Ingley
23,John Roorbach
24,Patrick Trent
28,Mack Hodges
29,Mason Cary
32,Noah Li
35,Travis Kellogg
40,Tyler Russell
42,Jason Jones
60,David William Petmecky
82,Sam Batson
88,Brandon Li
b,r,e,a,k
Harvard,5
0,Ashwin Krishna
0,Gabe Doble
0,Jack Deschler
0,James Conant
0,Bryn Huxley-Reicher
0,Ray Jiang
0,William Strang
0,William Quan
0,William Hartog
0,Shelly Tsirulik
0,Victor Qin
1,Christian Daniel
6,Zachary Dietz
7,BEN BANAVIGE
9,John Rahill
10,Adam Ehrenberg
10,Olivia Player
24,Pablo Reimers
25,Aron Szanto
39,Keiran Carpen
46,Eric Chin
50,Jeffrey Naftaly
72,Ryan Plunkett
89,Milan Ravenell
91,Christopher Haley
b,r,e,a,k
Clemson,13
0,Andrew Perham
0,Andrew  Lamberson
0,Andrew Wetzel
0,Jackson Weaver
0,Jacob Hoppel
0,Joshua Pappas
0,Luke Wetzel
0,Matthew Perham
0,Thomas Shirley
2,Ryland Bristow
5,Alex Wessinger
6,Brandon Wider
8,Jackson  Dye
12,Connor Kinzie
13,Jacob Luksik
16,Daniel Custer
18,Jake Barton
22,Christopher Zahn
22,William Watson
37,David Evans
45,Henry Baymiller
77,James Berry
91,Kenneth Peters
b,r,e,a,k
Mississippi State,12
0,Ben Wright
0,Cameron Beal
0,Chris Walls
0,Christian Speeney
0,Ethan Lishen
0,Jared Bennett
0,Jonah Gandy
0,Mitchell Corder
0,Patrick Wander
0,Sean Toellner
0,Trenton Marable
3,John Verhayden
4,Joshua Wilson
7,Michael Abide
8,Jordan Burks
9,Andrew Letson
11,Nathan Burch
13,Brett Prill
17,Andrew Byers
18,Trey  Leonard
19,William Dickens
21,Cameron  Boswell 
31,Aaron Barr
35,Morgan Cauthen
47,Matthew Stuart
69,Benjamin  Brainerd
88,Maclaren Tobin
b,r,e,a,k
Miami,20
0,Fredrick Ahlemeier
0,Garrett Valentino
0,Greg  Scott
0,William O’Neill
13,Ronen Pink
14,Zachary Silberberg
18,Peter Khoury
20,Matthew Bird
25,Andres Reid
28,Matthew Walter
35,Sean Griffin
36,Benjamin Caplan
51,Joachim Lopez
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Massachusetts,Alabama,12,9,"03/10/2018, 09:00",Pool A,Final
Carnegie Mellon,Florida Tech,13,9,"03/10/2018, 09:00",Pool A,Final
Massachusetts,Carnegie Mellon,11,10,"03/10/2018, 10:30",Pool A,Final
Central Florida,Florida Tech,13,9,"03/10/2018, 10:30",Pool A,Final
Florida Tech,Alabama,11,12,"03/10/2018, 12:00",Pool A,Final
Central Florida,Carnegie Mellon,10,11,"03/10/2018, 12:00",Pool A,Final
Massachusetts,Florida Tech,13,5,"03/10/2018, 13:30",Pool A,Final
Central Florida,Alabama,10,8,"03/10/2018, 13:30",Pool A,Final
Massachusetts,Central Florida,13,9,"03/10/2018, 15:00",Pool A,Final
Carnegie Mellon,Alabama,13,6,"03/10/2018, 15:00",Pool A,Final
pool,Pool B
North Carolina-Wilmington,South Florida,13,5,"03/10/2018, 09:00",Pool B,Final
Indiana,Georgia Southern,13,10,"03/10/2018, 10:30",Pool B,Final
Georgia Southern,South Florida,11,12,"03/10/2018, 12:00",Pool B,Final
North Carolina-Wilmington,Georgia Southern,13,3,"03/10/2018, 13:30",Pool B,Final
Indiana,South Florida,12,11,"03/10/2018, 13:30",Pool B,Final
North Carolina-Wilmington,Indiana,13,8,"03/10/2018, 15:00",Pool B,Final
Alabama-Huntsville,Georgia Southern,13,7,"03/10/2018, 23:00",Pool B,Final
North Carolina-Wilmington,Alabama-Huntsville,13,6,"03/11/2018, 12:30",Pool B,Final
Indiana,Alabama-Huntsville,9,13,"03/11/2018, 02:00",Pool B,Final
Alabama-Huntsville,South Florida,13,1,"03/11/2018, 05:00",Pool B,Final
pool,Pool C
Florida State,Notre Dame,13,11,"03/10/2018, 09:00",Pool C,Final
Georgia Tech,Florida State,13,12,"03/10/2018, 10:30",Pool C,Final
South Carolina,Notre Dame,13,11,"03/10/2018, 10:30",Pool C,Final
South Carolina,Florida State,13,10,"03/10/2018, 12:00",Pool C,Final
Georgia Tech,Notre Dame,13,10,"03/10/2018, 13:30",Pool C,Final
Georgia Tech,South Carolina,12,10,"03/10/2018, 15:00",Pool C,Final
Georgia Tech,Alabama-Birmingham,13,6,"03/10/2018, 23:00",Pool C,Final
Notre Dame,Alabama-Birmingham,13,4,"03/11/2018, 02:00",Pool C,Final
South Carolina,Alabama-Birmingham,13,7,"03/11/2018, 03:30",Pool C,Final
Florida State,Alabama-Birmingham,13,4,"03/11/2018, 05:00",Pool C,Final
pool,Pool D
Georgia,Miami,13,2,"03/10/2018, 09:00",Pool D,Final
Mississippi State,Clemson,7,13,"03/10/2018, 09:00",Pool D,Final
Georgia,Mississippi State,13,4,"03/10/2018, 10:30",Pool D,Final
Harvard,Clemson,13,12,"03/10/2018, 10:30",Pool D,Final
Clemson,Miami,13,7,"03/10/2018, 12:00",Pool D,Final
Harvard,Mississippi State,13,10,"03/10/2018, 12:00",Pool D,Final
Georgia,Clemson,13,3,"03/10/2018, 13:30",Pool D,Final
Harvard,Miami,13,5,"03/10/2018, 13:30",Pool D,Final
Georgia,Harvard,13,11,"03/10/2018, 15:00",Pool D,Final
Mississippi State,Miami,13,11,"03/10/2018, 15:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship Bracket
Georgia,North Carolina-Wilmington,14,15,"03/11/2018, 13:00",Finals,Final
Massachusetts,Georgia,11,15,"03/11/2018, 11:00",Semis,Final
Harvard,North Carolina-Wilmington,12,15,"03/11/2018, 11:00",Semis,Final
Massachusetts,Alabama-Huntsville,15,10,"03/10/2018, 23:00",Quarters,Final
Georgia,South Carolina,15,7,"03/10/2018, 09:00",Quarters,Final
Georgia Tech,Harvard,9,15,"03/10/2018, 09:00",Quarters,Final
North Carolina-Wilmington,Carnegie Mellon,14,12,"03/10/2018, 09:00",Quarters,Final
bracket,3rd Place
Massachusetts,Harvard,15,8,"03/11/2018, 13:00",3rd Place,Final
bracket,5th Place
South Carolina,Carnegie Mellon,8,11,"03/11/2018, 13:00",5th Place Finals,Final
Alabama-Huntsville,South Carolina,11,15,"03/11/2018, 23:00",5th Place Semis,Final
Georgia Tech,Carnegie Mellon,12,13,"03/11/2018, 11:00",5th Place Semis,Final
bracket,7th Place
Alabama-Huntsville,Georgia Tech,0,1,"03/12/2018, 01:00",7th Place Finals,Final
bracket,9th Place Bracket
Central Florida,Florida State,12,15,"03/11/2018, 13:00",9th Place Finals,Final
Central Florida,Notre Dame,15,14,"03/11/2018, 11:00",9th Place Semis,Final
Florida State,Alabama,14,11,"03/11/2018, 11:00",9th Place Semis,Final
Central Florida,South Florida,15,7,"03/10/2018, 09:00",9th Place Quarters,Final
Clemson,Notre Dame,12,14,"03/10/2018, 09:00",9th Place Quarters,Final
Florida State,Mississippi State,15,9,"03/10/2018, 09:00",9th Place Quarters,Final
Indiana,Alabama,8,15,"03/10/2018, 09:00",9th Place Quarters,Final
bracket,11th Place Bracket
Notre Dame,Alabama,11,8,"03/11/2018, 13:00",11th Place Finals,Final
bracket,13th Place Bracket
Clemson,Mississippi State,10,15,"03/11/2018, 13:00",13th Place Finals,Final
South Florida,Clemson,6,15,"03/11/2018, 11:00",13th Place Semis,Final
Mississippi State,Indiana,15,11,"03/11/2018, 11:00",13th Place Semis,Final
bracket,15th Place Bracket
South Florida,Indiana,0,1,"03/11/2018, 13:00",15th Place Finals,Final
bracket,17th Place Bracket
Florida Tech,Georgia Southern,10,15,"03/11/2018, 11:00",17th Place Finals,Final
Florida Tech,Miami,15,6,"03/11/2018, 09:00",17th Place Semis,Final
Alabama-Birmingham,Georgia Southern,7,15,"03/11/2018, 15:00",17th Place Semis,Final
b,r,e,a,k
