2018 U.S. Open Club Championships,Youth Club U-20 - Boys ,4,8,2018
Blaine,MN,2018-08-03,2018-08-06
https://play.usaultimate.org/events/2018-US-Open-Club-Championships/schedule/Boys/youth-club-u-20-boys/
Triforce,1
13,Graham Whiting
16,Zach Riley
18,Peter Treyz
21,Jeremy Bernier
22,Cole Davis-Brand
23,Zachary  Hahn-Du Pont
24,Nathan Buchholz
27,Orion Cable
29,Brendan King
33,August Williams
36,Caleb Seamon
41,Sumner Gubisch
44,Liam Condon
66,Erik Liu
99,Leo Narbonne
b,r,e,a,k
Nashvillians,10
02,Zachary Holeman
03,Matthew Hatton
06,Luke Sadler
07,Nate Niles
11,Joseph Fugate
12,John Graumann
12,Nilai Sheth
15,Colin Flowers
16,Connor Kerr
18,Michael Glenn
21,Jared Beazley
22,John Ransburgh
24,Cameron Hagely
30,Ethan Baughman
33,Cole Hudgin
40,JC Wilson
42,Timothy Lumsdaine
44,Henry Sprouse
66,Benjamin Robinson
85,Gabe Warden
b,r,e,a,k
DEVYL,3
01,Aylen Learned
02,Jack Cioffi
04,James Kennelly
05,Jacob Singman
07,Will Christian
08,Isaac Duan
10,Eli Weaver
11,Alex Hain
12,Matt LaBar
13,David Brewster
17,Benjamin Harris
21,Arthur Liaw
22,John Sickles
23,Alexander Yang
24,Lyle Berkley
25,Charlie Smith
27,Matt Krauss
32,David Perry
34,Henry Ing
43,Max Spiegel
46,Tristan Yarter
69,Brian Taylor
84,Daniel Friedman-Brown
99,Felix Baur
b,r,e,a,k
Flying Pig,6
01,Sam Riddle
02,Jacob McEachern
04,Keegan Butler
05,Joshua Wu
07,Benjamin Stetter
09,Caleb Montgomery
10,Noah Krumme
13,Luke Monnin
14,Eric Wilson
15,Jake Scheper
18,Axel Agami Contreras
22,Alistair Lovekin
25,Reece Stoughton
27,Nolan Irons
29,Benjamin Lieb
30,Trevor Jones
32,Matthew Simpson
35,Jared Regruth
36,Nate Maddux
43,Thomas Palermo
61,Donovan Duffy
88,Michael Schuster
91,Gabriel Dorsey
b,r,e,a,k
Impulse,11
01,Evan Hake
02,Sean Newell
08,James Keat
11,Jason Hertzberg
12,Devon Butler
14,Aaron Greenberg
16,Darius Zalnasky
18,Dmitri Zalnasky
19,Joseph Keat
20,Peter Zaccardi
21,Aiden Landis
24,Charlie Alt
42,Zac Cook
49,Dan Nichols
51,Ethan Landis
54,Daniel Tometich
81,Sunvy  Yalamarthy
86,Cameron McCurdy
88,Wesley McCurdy
b,r,e,a,k
DiscNW Supreme,4
0,Wiro Wink
01,Atkin Arnstein
02,Benjamin Kass-Mullet
05,William Turner
08,Zain Wedemeyer
10,Jasper Dean
11,Peter Lenz
12,Corbin Atack
13,Joshua Kutz
15,June Rapisura
15,Adam Jemal
18,Chackgarin Brown
20,Tony Venneri
21,Max Benedetti
22,Connor Ryan
24,Cylas Schooley
28,Zachary Heffron
33,Quinn Edgerton
36,Gabriel Nobis
43,Kai Durvasula
47,Dana Baker
55,Miles Bush
77,Gabe Port
88,Elijah Nobis
b,r,e,a,k
Foggy Bottom Boys,5
1,David Thornton
4,Lucas Reichert
7,Owen Maskelony
12,Sam Markowitz
13,Benjamin Preiss
15,Garrett Johnston
15,Jordan Parry
16,AJ Merriman
19,Jace Dean
20,Harrison Wolfson
23,Aaron Rosenthal
24,Jacques Nissen
26,Tommaso Piccorossi
29,Patrick Kenney
32,Sasha Frank-Stempel
34,Austin Alvarado
42,Theo Shapinsky
43,Marcelo Ruggiero
50,Matthew McKnight
60,Nick Bowers
83,Walt Johnson
b,r,e,a,k
Philadelphia Unite (Boys),12
02,Danny Le
03,Eric Hillsberg
05,Luke Jarvis
07,Spencer Blume
08,Hamidou Doumbia
12,Zach Laubscher
13,Micah Miller
13,Eli Zimmerman
14,Nicholas Riviello
16,Patrick Kelly
17,Julian Galbraith-Paul 
20,Sam Fogel
21,Wilson Dodds
22,Elijah Afrifa
23,James Pellegrino 
29,Andrew Kelly
29,Nick Lambert
32,Austin Chau
91,Shane Donaher
b,r,e,a,k
Utah Swarm,13
02,Micah Pew
03,Max Sandweiss
07,Oscar Graff
08,Chad Yorgason
09,Cooper Zebrack
10,Izak Pew
11,Calvin  Jiricko
12,Ed Ryon
14,Zach Burnside
17,Porter Oyler
18,Ryan Beck
19,Ashton McMahon
21,Mckay Yorgason
22,Jensen Wells
23,Anthony Mounga
24,Chase Smith
25,Henry Nguyen
28,Kale Winterton
32,Jacob Arnold
49,Rory Beals
73,Jonathon Vizmeg
75,Blake Oler
88,Benjamin Hoffman
91,Kalten Toone
92,Jaren Newswander
95,Brock Hyatt
99,DJ Sorensen
b,r,e,a,k
STL Storm,21
00,Drew Cantrell
02,Huxley Waller
03,Stephen Rashford
04,Alexander Bernier
05,Patrick LaVallee
06,Devin Kelly
07,Lincoln Grench
08,Patrick Driscoll
10,Anthony DeBellis
11,Ryan Zimmerman
12,Zack Gronowski
13,Andy Wagner Hilliard
14,Theodore Fanter
16,Peter Stergios
17,Lane Besancenez
19,Pierce Kinney
20,jack burton
21,Matthew Schueler
22,Andrew Seibel
23,Tony Waldner
25,Max Van Sciever
27,Nick Shaughnessy
28,John Krewet
33,Kevin Scannell
57,Dylan Doherty
b,r,e,a,k
Minnesota Superior 2,20
01,Arthur Cheney
02,Noah Hanson
03,Ronan Duffy
04,John Helgeson
05,Peter Helgeson
06,TeDabi O'Gorman
07,David Salamzadeh
10,Alejandro Christenson
11,Andrew Sartori
14,Trevor Hendrix
17,Paul Liang
18,Thomas Tuchenhagen
19,Michael (Max) Vinyon
20,Ethan Osgood
21,Gabe VanDeWalker
24,Mauricio Badillo Moorman
41,Evan Melville
71,Ryan Monorom
75,Ryan Kadet
87,Brandon Grund
88,Evan Ellis
98,Ethan DeJesus
b,r,e,a,k
Red Dawn,14
01,Keenan Laurence
03,Jet Bristol-Ramsay
04,Zachary Rosner
05,Emmet Holton
06,Marshall Doty
07,Jordan Cortes
08,Itay Chang
11,Charlie Jia
16,Colin Grant
17,Leo Gordon
18,Thomas Page
21,Patrick Bauman
23,Jake Thorne
24,Riley Kirkman-Davis
26,Seth Wells
27,Daniel Alderman
37,Brandon Chin
44,Darby Felter
47,Aidan Price
56,Luca Spycher
80,Tate Hoyer
88,Noah Ball-Burack
b,r,e,a,k
Carolina Sky,19
02,Cal Nightingale
06,Timothy Hu
07,Jackson Amigh
08,Ruben Keane
10,Alex Zhuang
11,Ben Hodgins
12,Matthew O'Connell
15,Matthew Klassa
18,Hiatt von Alten
19,Noam Gumerman
23,Stratton Elkin
27,Jason Manning
28,Mateo Rimer-Surles
29,Nicholas Schaftlein
31,Michael Zhang
42,Ryan Bliss
88,Christopher Saacks
99,Roy Farrell
b,r,e,a,k
Albany Anarchy,27
03,Noah Franz
04,Nicholas Honen
05,Aaron  Beams
06,Zack Stahl
08,Sean Kohler
09,Gabriel Franklin
11,Noah Cohen-Greenberg
12,Ben Hogan
13,Fritz (Frederick) Howard
14,Billy Daniels
16,Christian Mariscal-Dreby
17,Ethan Gravel
21,Aidan  Basal
23,Riley Barton-Schwartz
25,Jack Kirby
27,Noah Greenblatt
45,John Keegan
89,Denali Relles
b,r,e,a,k
Valley Ultimate U20 Boys,22
00,Clement Fisher
01,Samuel Laur
02,Caleb Boyer
03,Kai Harwood
04,Nico Christakos
06,Asa Thomson
11,Bryan Dole
13,Patrick Como
16,Lucas McCallum
18,Sam Green
20,Josh Wilkinson
22,Kaleb Zuckerman
24,Matthew Morrin
25,Jailen Rodriguez
27,Timothy Demling
88,Lukas Becker
b,r,e,a,k
Minnesota Superior A,15
03,Haakon Rondestvedt
04,Matt Johnson
06,Jack Rosenthal
07,Graham Dommer
08,Reuben Gardos Reid
09,Brian Foran
10,Blaise Noble-Schueller
11,Joe Wohlford
12,Alex Hitchler
13,Jedidiah Pratt
14,Walker Nelson
15,Mats Hansen
21,Matt Kennedy
22,Cody Connolly
26,Thomas Salamzadeh
29,Daniel Barnes-Powell
37,Alex Zheng
52,Joseph Quaal
53,Sean Stephan
99,Avinoam Bundt
b,r,e,a,k
Colorado Cutthroat,18
00,Aston Horton
01,Adrian Cisneros
02,Michael Walsh
07,Grey Esposito-Krier
09,Conner Truitt
11,Riley Truitt
14,Van Yang
15,Charles Erickson
16,Sean McLennan
18,Erik Knight
22,Paul Ikenberry
27,Wesley Poole
30,Camden McPhee
32,Zachary Hunter
34,Keaton Schreiber
35,Ethan Adams
36,Jason Dulberg
41,Hunter Tenpas
71,Ben Schwartz
72,Max Van Sickle
74,Alexander Bork
75,Chris Ellis
88,Tyler Carr
98,Joshua-Jamson Smith
b,r,e,a,k
Charlotte Flight,23
01,Christopher Ferguson
02,Suhas Madiraju
03,Addison Wirt
05,Jack Sanniota
11,Drew Peterson
12,Phillip Sellers
15,Dylan Hawkins
17,Henry Greene
22,Adam Peterson
23,Miles Phillippi
27,Jayden Feagans
29,Mahith Edula
32,Christian Belus
33,Justin Ernsberger
42,Zac Kuelz
51,Damian Delgado
58,Jack Yoxsimer
62,William Terrell
85,Brooks Heath
b,r,e,a,k
Nightmare Ultimate Boys U20,26
00,Adam Dahlquist
04,Hannan Ahmad
06,Joseph Carolan
07,Will Reiman
08,Matthew Goetsch
11,Sam Kerner
13,Matthew Schorr
15,Jack Walter
16,Cade Hahn
17,Daniel Grosch
19,Aidan Power
24,Michael Klein
27,Wonsuk Jung
31,Connor Scott
44,Ashton Storey
45,Joseph Lederer
70,Kyle Welsh
72,Thomas Glass
73,Max Bacani
80,Maxwell Olesen
88,Johnathan Mika
99,Ashton Taylor
b,r,e,a,k
Hydro,24
02,Robin  Dubé 
04,Victor Sauvé
06,Julien Sénéchal
07,Olivier Bastien
10,Julien Bernat
12,Lévi Doré
14,Renaud Drouin
15,Olivier Genest
16,Vincent Genest
17,Félix-Antoine Amyot
19,Felix Leonard
22,Ywan Cohonner
23,Raphaël Lalonde-Landry
24,Farouk Oussaada
29,Raphael Salvas
30,Thomas Dubois
35,Eliott Heloir
38,Haroun-Rabah Aramis
44,Alexandre Bell-Dion
51,Mohamed Chrouh
86,Jakob Brissette
b,r,e,a,k
Illinois Youth Ultimate - u20,17
00,Eli Artemakis
02,Ethan Smith
04,Gavin Babbitt
05,Brendan McCluskey
06,Kyle Sands
08,Nate Cinnamon
09,Samuel Swiatek
10,James Karl
11,Joey Kennedy
13,Luke Bleers
15,Luke Brigman
16,Simon Dastrup
19,Austin Lee
20,Matt Sweeney
21,Keegan Mazikowski
23,Joe Cercello
24,John Chirayil
36,Michael Grabowski
52,Trevor Scott
66,Paul Mcallester
88,Jason Paul
b,r,e,a,k
Connecticut Harpoon,25
0,Jayden Coughlin
01,Richard Fagan
02,Bilal Chapman
04,David Sands
05,Carson Fitzner
07,Drew Schnaudigel
09,Colin Dunn
10,Nicholas Catrini
11,John Clyde
12,Ryan Ford
13,Richard Atkins
14,James Beckman
17,Ethan Lavallee
19,Owen Cordes
21,Evan Card
24,David Adams
41,Bobby Elston
42,Ethan Cook 
66,Zachary Corvo
92,Jacob Shettleworth
99,Brendan Rizza
b,r,e,a,k
Austin Amigos,16
00,Oliver Powers
02,Erik Atwell
04,Ryan Wells
06,Hayden Stone
07,Dylan Cox
08,Andrew (AJ) Marks
10,Samuel Tagle
11,joel leal
12,Mykael Cooper
16,Garet Lipinski
17,Sean Hall
18,Jake Worthington
20,Luke Allen
21,Andrew Stewart
24,Ryan  orr
27,Joseph (Joey) Garvey
32,Alec Ramba
35,Matt Chambers
37,Calvin Coulbury
45,Asa Brown
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Triforce,Little Pony,15,4,"08/04/2018, 08:30",Pool A,Final
Texas Two Step,Little Pony,15,11,"08/04/2018, 10:45",Pool A,Final
Triforce,Texas Two Step,15,8,"08/04/2018, 13:00",Pool A,Final
pool,Pool B
BUDA,Nashvillians,15,7,"08/04/2018, 08:30",Pool B,Final
ATLiens,Nashvillians,12,7,"08/04/2018, 10:45",Pool B,Final
BUDA,ATLiens,11,13,"08/04/2018, 13:00",Pool B,Final
pool,Pool C
DEVYL,Impulse,15,10,"08/04/2018, 08:30",Pool C,Final
Flying Pig,Impulse,14,13,"08/04/2018, 10:45",Pool C,Final
DEVYL,Flying Pig,15,6,"08/04/2018, 13:00",Pool C,Final
pool,Pool D
DiscNW Supreme,Philadelphia Unite (Boys),15,1,"08/04/2018, 08:30",Pool D,Final
Foggy Bottom Boys,Philadelphia Unite (Boys),15,3,"08/04/2018, 10:45",Pool D,Final
DiscNW Supreme,Foggy Bottom Boys,13,9,"08/04/2018, 13:00",Pool D,Final
pool,Pool E
Utah Swarm,STL Storm,15,5,"08/04/2018, 08:30",Pool E,Final
Minnesota Superior 2,STL Storm,11,14,"08/04/2018, 10:45",Pool E,Final
Utah Swarm,Minnesota Superior 2,15,5,"08/04/2018, 13:00",Pool E,Final
pool,Pool F
Red Dawn,Valley Ultimate U20 Boys,15,1,"08/04/2018, 08:30",Pool F,Final
Carolina Sky,Albany Anarchy,13,5,"08/04/2018, 08:30",Pool F,Final
Red Dawn,Albany Anarchy,15,1,"08/04/2018, 10:45",Pool F,Final
Carolina Sky,Valley Ultimate U20 Boys,15,4,"08/04/2018, 10:45",Pool F,Final
Red Dawn,Carolina Sky,15,7,"08/04/2018, 15:15",Pool F,Final
Valley Ultimate U20 Boys,Albany Anarchy,9,11,"08/04/2018, 15:15",Pool F,Final
pool,Pool G
Minnesota Superior A,Charlotte Flight,11,7,"08/04/2018, 08:30",Pool G,Final
Colorado Cutthroat,Nightmare Ultimate Boys U20,15,3,"08/04/2018, 08:30",Pool G,Final
Minnesota Superior A,Nightmare Ultimate Boys U20,13,6,"08/04/2018, 10:45",Pool G,Final
Colorado Cutthroat,Charlotte Flight,10,7,"08/04/2018, 10:45",Pool G,Final
Minnesota Superior A,Colorado Cutthroat,14,4,"08/04/2018, 15:15",Pool G,Final
Charlotte Flight,Nightmare Ultimate Boys U20,13,6,"08/04/2018, 15:15",Pool G,Final
pool,Pool H
Austin Amigos,Hydro,4,14,"08/04/2018, 08:30",Pool H,Final
Illinois Youth Ultimate - u20,Connecticut Harpoon,12,11,"08/04/2018, 08:30",Pool H,Final
Austin Amigos,Connecticut Harpoon,9,10,"08/04/2018, 10:45",Pool H,Final
Illinois Youth Ultimate - u20,Hydro,10,11,"08/04/2018, 10:45",Pool H,Final
Austin Amigos,Illinois Youth Ultimate - u20,11,15,"08/04/2018, 15:15",Pool H,Final
Hydro,Connecticut Harpoon,12,7,"08/04/2018, 15:15",Pool H,Final
b,r,e,a,k
brackets,Championship Bracket (1-8)
bracket,Championship Bracket
DiscNW Supreme,Foggy Bottom Boys,12,13,"08/06/2018, 14:45",1st Place,Final
Triforce,DiscNW Supreme,9,12,"08/06/2018, 10:45",Semifinals,Final
Foggy Bottom Boys,ATLiens,15,10,"08/06/2018, 10:45",Semifinals,Final
BUDA,Triforce,9,11,"08/05/2018, 15:45",Quarterfinals,Final
DiscNW Supreme,Flying Pig,15,9,"08/05/2018, 15:45",Quarterfinals,Final
Foggy Bottom Boys,Red Dawn,15,6,"08/05/2018, 15:45",Quarterfinals,Final
ATLiens,Texas Two Step,15,5,"08/05/2018, 15:45",Quarterfinals,Final
BUDA,Connecticut Harpoon,15,5,"08/05/2018, 13:30",Pre-Quarters (Round of 16),Final
Triforce,Hydro,11,9,"08/05/2018, 13:30",Pre-Quarters (Round of 16),Final
DiscNW Supreme,Utah Swarm,14,5,"08/05/2018, 13:30",Pre-Quarters (Round of 16),Final
Flying Pig,Philadelphia Unite (Boys),15,3,"08/05/2018, 13:30",Pre-Quarters (Round of 16),Final
Foggy Bottom Boys,Impulse,15,5,"08/05/2018, 13:30",Pre-Quarters (Round of 16),Final
DEVYL,Red Dawn,9,12,"08/05/2018, 13:30",Pre-Quarters (Round of 16),Final
ATLiens,Illinois Youth Ultimate - u20,13,11,"08/05/2018, 13:30",Pre-Quarters (Round of 16),Final
Texas Two Step,Charlotte Flight,15,9,"08/05/2018, 13:30",Pre-Quarters (Round of 16),Final
Little Pony,Connecticut Harpoon,7,11,"08/05/2018, 08:30",Pre-Quarters Play-In,Final
Hydro,Colorado Cutthroat,15,7,"08/05/2018, 08:30",Pre-Quarters Play-In,Final
Utah Swarm,Carolina Sky,15,4,"08/05/2018, 08:30",Pre-Quarters Play-In,Final
Philadelphia Unite (Boys),Minnesota Superior 2,13,10,"08/05/2018, 08:30",Pre-Quarters Play-In,Final
Impulse,Albany Anarchy,15,3,"08/05/2018, 08:30",Pre-Quarters Play-In,Final
Red Dawn,STL Storm,15,2,"08/05/2018, 08:30",Pre-Quarters Play-In,Final
Minnesota Superior A,Illinois Youth Ultimate - u20,12,13,"08/05/2018, 08:30",Pre-Quarters Play-In,Final
Nashvillians,Charlotte Flight,10,14,"08/05/2018, 08:30",Pre-Quarters Play-In,Final
bracket,3rd Place
Triforce,ATLiens,8,14,"08/06/2018, 13:00",3rd Place,Final
bracket,5th Place Bracket
BUDA,Red Dawn,10,13,"08/06/2018, 13:00",5th Place,Final
BUDA,Flying Pig,14,13,"08/06/2018, 08:30",5th Place Semis,Final
Red Dawn,Texas Two Step,15,8,"08/06/2018, 08:30",5th Place Semis,Final
bracket,7th Place
Flying Pig,Texas Two Step,14,10,"08/06/2018, 13:00",7th Place,Final
b,r,e,a,k
brackets,9th Place Bracket (9-16)
bracket,9th Place Bracket
Utah Swarm,DEVYL,15,7,"08/06/2018, 10:45",9th Place,Final
Hydro,Utah Swarm,11,15,"08/06/2018, 08:30",9th Place Semis,Final
DEVYL,Illinois Youth Ultimate - u20,15,7,"08/06/2018, 08:30",9th Place Semis,Final
Connecticut Harpoon,Hydro,5,15,"08/05/2018, 15:45",9th Place Quarters,Final
Utah Swarm,Philadelphia Unite (Boys),15,6,"08/05/2018, 15:45",9th Place Quarters,Final
Impulse,DEVYL,7,15,"08/05/2018, 15:45",9th Place Quarters,Final
Illinois Youth Ultimate - u20,Charlotte Flight,12,10,"08/05/2018, 15:45",9th Place Quarters,Final
bracket,11th Place
Hydro,Illinois Youth Ultimate - u20,15,9,"08/06/2018, 10:45",11th Place,Final
bracket,13th Place Bracket
Connecticut Harpoon,Impulse,10,14,"08/06/2018, 10:45",13th Place,Final
Connecticut Harpoon,Philadelphia Unite (Boys),13,11,"08/06/2018, 08:30",13th Place Semis,Final
Impulse,Charlotte Flight,14,13,"08/06/2018, 08:30",13th Place Semis,Final
bracket,15th Place
Philadelphia Unite (Boys),Charlotte Flight,8,15,"08/06/2018, 10:45",15th Place,Final
b,r,e,a,k
clusters,Division II Pool Play - Pool I
cluster,Pool I
Minnesota Superior A,Nashvillians,13,7,"08/05/2018, 13:30",,Final
b,r,e,a,k
clusters,Division II Pool Play - Pool J
cluster,Pool J
Colorado Cutthroat,Valley Ultimate U20 Boys,15,1,"08/05/2018, 10:45",,Final
Little Pony,Valley Ultimate U20 Boys,11,6,"08/05/2018, 13:30",,Final
Little Pony,Colorado Cutthroat,10,12,"08/05/2018, 15:45",,Final
b,r,e,a,k
clusters,Division II Pool Play - Pool K
cluster,Pool K
Carolina Sky,Nightmare Ultimate Boys U20,13,4,"08/05/2018, 10:45",,Final
Minnesota Superior 2,Nightmare Ultimate Boys U20,15,3,"08/05/2018, 13:30",,Final
Carolina Sky,Minnesota Superior 2,14,7,"08/05/2018, 15:45",,Final
b,r,e,a,k
clusters,Division II Pool Play - Pool L
cluster,Pool L
STL Storm,Austin Amigos,8,13,"08/05/2018, 10:45",,Final
Albany Anarchy,Austin Amigos,2,15,"08/05/2018, 13:30",,Final
STL Storm,Albany Anarchy,15,5,"08/05/2018, 15:45",,Final
b,r,e,a,k
brackets,D-II Bracket
bracket,D-II Championship Bracket
Minnesota Superior A,Colorado Cutthroat,14,12,"08/06/2018, 14:45",D-II Final,Final
Minnesota Superior A,Austin Amigos,12,7,"08/06/2018, 10:45",D-II Semis (1I vs. 1L / 1J vs. 1K),Final
Colorado Cutthroat,Carolina Sky,14,7,"08/06/2018, 10:45",D-II Semis (1I vs. 1L / 1J vs. 1K),Final
bracket,D-II - 3rd Place
Austin Amigos,Carolina Sky,15,7,"08/06/2018, 13:00",D-II - 3rd,Final
bracket,D-II - 5th Place Bracket
Nashvillians,Little Pony,12,15,"08/06/2018, 10:45",D-II - 5th Place,Final
Nashvillians,STL Storm,13,12,"08/06/2018, 08:30",D-II 5th Semis (2I vs. 2L / 2J vs. 2K),Final
Little Pony,Minnesota Superior 2,15,11,"08/06/2018, 08:30",D-II 5th Semis (2I vs. 2L / 2J vs. 2K),Final
bracket,D-II - 7th Place
STL Storm,Minnesota Superior 2,13,12,"08/06/2018, 10:45",D-II - 7th,Final
bracket,D-II - 9th Place Round Robin (Game 1)
Valley Ultimate U20 Boys,Nightmare Ultimate Boys U20,15,3,"08/06/2018, 08:30",Game 1 - 3J vs. 3K,Final
bracket,D-II - 9th Place Round Robin (Game 2)
Valley Ultimate U20 Boys,Albany Anarchy,11,10,"08/06/2018, 10:45",Game 2 - 3J vs. 3L,Final
bracket,D-II - 9th Place Round Robin (Game 3)
Nightmare Ultimate Boys U20,Albany Anarchy,0,0,"08/06/2018, 13:00",Game 3 - 3K vs. 3L,Scheduled
b,r,e,a,k
