Bring the Huckus 9,College - Women ,24,2,2018
https://play.usaultimate.org/events/Bring-the-Huckus-9/schedule/Women/CollegeWomen/
Williams,1
0,Ellie Ray
0,Emma Hughes
0,Fiona Henry
0,Grace Duncan
0,Grace Cavanagh
0,Hannah Fagan
0,Kathleen Garrity
0,Kim-An Quinn
0,Leah Kaye
0,Madeline Littlejohn
0,Meghan Koehler
0,Melissa Rice
0,Rose Foody
0,Sarah Lim
0,Taylor  Belval
8,Lexi Cornwall
18,Emily Almonte
29,Katie Lamirato
36,Ashley Wu
37,Ingrid Roske
b,r,e,a,k
Amherst,6
0,Charissa Doerr
0,Claire Carlin
0,Julia Burnett
0,Kelley Baumann
0,Logan Deming
3,Victoria Zhang
5,Mackenzie Stein
22,Sarah Teichman
25,Lily Hunter
31,Allison Tennant
38,Carly Drost
41,Anri Chomentowska
50,Kyra Wortley
69,Sophia Doerr
88,Julia Pike
b,r,e,a,k
Bowdoin,2
0,Anna Dickson
0,Emma  Kyzivat 
0,Emma Jacobs
0,Frances Zorensky
0,Grace Wheeler
0,Madeleine King
0,Railey Zantop-Zimlinghaus
0,Sarah Walker
0,Sophie Lewis
7,Brigitte McFarland
12,Emma Landes
14,Rachel Musante
16,Hannah Karlan
17,Zoe Aarons
18,Carly Berlin
23,Stephanie Sun
26,Kaya Wurtzel
34,Sabina Hartnett
b,r,e,a,k
Boston University,7
00,Elizabeth Wu
00,Erin Haden
00,Elizabeth Eckert
00,Ruth Hope
06,Elizabeth  Hannigan
07,Constanza Pena
10,Annika Chan
11,Apryl Hsu
15,Rachel Diffendal
17,Jacqueline Kresse
19,Anna Janetos
20,Meredith Brown
21,Margaret Atkins
22,Nadia Oleinik
39,Hannah Ditty
51,Michaela Cushing-Daniels
56,Natalie Wheeler
99,Taya Christianson
b,r,e,a,k
Haverford,10
0,Christine Siebels-Lindquist
0,Dana Gold
0,Amelia Marren
0,Lina Klose
0,Rosemary Cohen
5,Paloma Paez-Coombe
6,Bess  Cohen
7,Opal Bednarik
13,Susan Kelly
14,Marilee Oldstone-Moore
24,Madison Tillman
25,Nava Kidon
27,Elena Veale
31,Grace Cavenaugh
32,Molly Strange
69,Theresa Diffendal
b,r,e,a,k
Dickinson,19
0,Joanna Maier
0,Sarah Sloan
00,Shannon Nolan
00,Lilly Zeitlin
00,Katherine Overstrum
00,Alana Richards
00,Andi Rosenblatt
04,Justine Cenzer
07,Emily Grimes
14,Maddie Loduca
17,Anna Kogut
18,Kayla Simpson
25,Paige Baisley
27,Wallis Grant
36,Eryn Darcy
b,r,e,a,k
Swarthmore,18
0,Katherine Lima
0,Maya Kikuchi
02,Evelien van Gelderen
03,Leila Selchaif
04,Aanya Dalmia
05,Chelsea Semper
06,Yichen Zhang
07,Jasmine Xie
08,Emily  Cai
09,Seira Ikarashi
10,Nhung Hoang
10,Lauren James
11,Miriam Stein
12,Emely Mendez
13,Marie Tillson
15,Alexandra  Ye
16,Adora Zhang
17,Becky Norling-Ruggles
18,Sumi Onoe
19,Dong Ok  Kim
20,Eleanor Naiman
22,Richelle Robinson
23,"Emilie ""Shep"" Shepherd"
25,Iris Wang
34,Hyun Kyung Lee
b,r,e,a,k
Allegheny,11
0,Emily Brady
0,Eve Laden Mauro
0,Gabrielle Kuntz
0,MIRIAM  PALMER
0,Molly  Nelson 
0,Victoria Bajek
01,Ivy Ryan
03,Katherine Wise
15,Emma Black
17,Lucie Shiffman
19,Caitlin Kearney
21,Caitlin Waddington
23,Megan Arnold
42,Allyson Wood
b,r,e,a,k
Boston College  (B),27
0,Isabella Grillo
0,Josephine Nett
0,Katelyn Forrest
0,Katelyn Perez
0,Katherine Irish
0,Lauren Paredes
0,Lauren Pacewicz 
0,Alexandra Brandes
0,Allison Dansereau
0,Amy Ohlinger
0,Antonella D'Ascanio
0,Caroline Donahue
0,Makenna Cavanaugh
0,Mary Andrews
0,Mary O'Boyle
0,Michelle Krug
0,Morgan Glover
0,Trish Jackson
55,Lexi Ufland
86,Carson Ricks
b,r,e,a,k
Muhlenberg,26
00,Ashley Harpster
00,Courtney McCarthy
00,Elianna Kronisch
00,Jessica Bice
00,Molly Baraff
00,Renee Heller
00,Sara Kalet-Schwartz
00,Vanessa Pham
08,Erin Friberg
b,r,e,a,k
Lehigh,12
0,Caroline Smith
0,Fiona Nugent
0,Jessica Post
0,Laura Marsiglio
0,Michelle Gebo
0,Rebecca Cohen
2,Holly Rubloff
3,Claire Ternes
5,Madison Cannon
6,Jeanne Espourteille
7,Juliet Chung
8,Mary Patwell
9,Nicole Vasoll
10,"Mariel  Weigel ""Wabs"""
11,Rebecca Woods
13,Alexa Herzog
14,Kayla Sippin
15,Sarah Cookson
17,Dana Waxenberg
18,Emma Hillman
20,Brianne Barker
23,Jordan Brown
26,Genevieve Simon
45,Monica Powers
88,Lexi Meisse
97,Kelly Skewis
b,r,e,a,k
Rensselaer Polytech,20
0,Tamar Austin
0,Zoe Fuerst
4,Amy Schumacher
8,Ariel Walter
02,Nancy Bush
14,Yvonne Marcoux
17,Lindsay Zadunayski
44,Samantha Meyerson
54,Andrea Spencer
64,Ria Shroff
69,Jennifer Collins
73,Candy Zhang
97,Amelia Loo
b,r,e,a,k
SUNY-Albany,17
0,Bethany  Van Pelt
0,Ciara Cullen
0,Emily Li
0,Erica Palmer
0,Katherine Hollinger
0,Nikki Gilani
0,Rachel Dejean
3,Michaela Zholovnik
4,Sarah Thomann
9,Antonia Williams
12,Courtney Cash
15,Diane Dreifuss
33,Joely Castro
34,Emily Gilot
b,r,e,a,k
Rowan,25
0,Brittany  Ngo
0,Ciara Moore
0,Hannah Work
0,Jacqueline Aimino
0,Keara McGovern
0,Melanie Fiore
0,Olivia Smithson
0,Remington Silvan
0,Rose Ann Rosario
5,Alyssa van Doorn
11,Rachel Rivera
16,Arianne Bascara
26,Stephanie Gallo
b,r,e,a,k
Wesleyan (B),28
0,Amy Schaap
0,Jesse Simmons
0,Jolene Leuchten
0,Leila Etemad
0,Rachel  Kerr
0,Rose Griffin
0,Sarah Mount
0,Sofia Murtaugh
0,Sophia Korostoff-Larsson
0,Sophie Linett
0,Tess Brunner
11,Alma Hutter
13,Maya Dorn
b,r,e,a,k
Oberlin,13
0,Hannah Sklar
0,Margaret McCarthy
0,Skyler Davis
0,Sonia Bloom
3,Ora Hammel
4,Miche McCall
11,Emma March
16,Hannah Kleppner
19,Nina Afsar
20,Linnea  Fraser
21,Helen Samuel
22,Abagael Cheng
24,Rosie Rudavsky
26,Zoe Kaplan
37,Shayna Jennings
42,Anna Barron
44,Kayla Seeger
83,Zoe Hecht
b,r,e,a,k
Yale,16
0,Alejandra Larriva-Latt
0,Alissa Ji
0,Amanda Ibanez
0,Amelia Farinas
0,Emily Ge
0,Emma Pierce-Hoffman
0,Ivy Fan
0,Katherine Furland
0,Lucia  McCurdy
0,Rachel Coile
0,Sale Rhodes
0,Sydney Steans-Gail
0,Victoria Lim
0,Yara El-Khatib
1,Rebecca Schapiro
10,Ella Schmidt
19,Rachel Wu
24,Julia Mankoff
25,Isabelle Carson
27,Adriana Elwood
28,Annique  Wong 
36,Talia Morison-Allen
42,Yvonne Ye
64,Shannon Phuah
97,Kristen Brown
b,r,e,a,k
SUNY Cortland,24
0,Sarah Doyle
0,Sarah Fricano
06,Shannon  McGhean
07,Michelle Fincken
10,Megan Greer
11,Ashley Skoblow
12,Elayna Din
13,Nichole Scholl
16,Diamaris Burton
17,Cassidy Strassner
25,Jackie O'Rourke
46,Savannah Brancato
52,Nicole DeLaura-Ariola
69,Samantha Sledge
98,Sarah Zielstorf
b,r,e,a,k
SUNY-Buffalo,21
0,Zhen Qiao
01,Madison Crow
04,Briana Massafra
05,Rachel Greco
07,Gracia Bualuti
10,Kristen Perilli
11,Anika French
12,Natalie Hazzan
13,Christine Hart
14,Kali Schuler
16,Alicia Rittler
23,Emma Meore
26,Brianna Hodge
95,Shu-yun Cheng
b,r,e,a,k
Temple,15
0,Cheryse Greenidge
0,Emily Brady
0,Emily McKittrick
0,Emma Palacio
0,Isabel Liston
0,JANE KRAUS
0,Joy McKenzie
0,Kenagh Babcock
0,Kirah  Brown
0,Cady Cohen
0,Ruth Philip
0,Samantha Youngfelt
1,Carley Perloff
9,Rachel Tigol
10,Helen Van Natta
12,Erin Curry
13,Sofia Spadotto
19,Caroline O'Brien
20,Kaila DeFrancesco
26,Maria Buxton
99,Miranda Abazoski
b,r,e,a,k
Ithaca,22
0,Erica Bouton
0,Kelsey Perkins
0,Lindsey Duhamel
0,Madelyn Jacobs
0,Madison Zaccagnino
0,Victoria Small
00,Margaret Seitz
00,Olivia  Pockette
00,Olivia Kibrick
00,Ryan Gravley
00,Sarah Lamoureux
00,Tiara Borneman
00,Laura OBrien
00,Lindsay Darlow
00,Jamie Kimelstein
00,Annalise Carr
00,Brigid Long
00,Caitlin McGowan
00,Carley  Teachout
00,Chloe Hart-Kindelberger
47,Yeshim Kayim-Yanko
b,r,e,a,k
Hofstra,23
0,Angelea Francesco
0,Haley McPartland
0,Jessica Siskind
0,Kathleen Molski
0,Lauren Small
0,linhan liang
0,Kathryn Krukowski
0,Katrina Marek
0,Sherene Lambert
0,Xin Li
12,Kathleen Brussell
16,Barbara Marquez
18,Pauline Seibert
21,Carolina Carrera
24,Maureen Oliva
26,Victoria Wetmore
43,Kellie O'Brien
47,Miranda Pasquarella
73,Caitlin McCarthy
99,Emily Meredith
b,r,e,a,k
College of New Jersey,14
0,Evey Le
0,Hannah Doyle
0,Jackie Kaletski
0,Julia Lekht
0,Kaitlyn Njoroge
0,Karaline Rosen
0,Katelyn Dunkel
0,Katie LaBarbera
0,Kristin Bell
0,Ysabel Lapatka
0,Alexa Anderson
0,Alisha Basak
0,Angelina Francese
0,Anna Kellaher
5,Camille Delacruz
11,Alexa Jones
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday - Pool Play
pool,Pool A
Williams,Skidmore,9,8,"02/24/2018, 09:00",Pool A
SUNY-Geneseo,SUNY-Binghamton,3,10,"02/24/2018, 09:00",Pool A
Williams,SUNY-Geneseo,13,2,"02/24/2018, 10:25",Pool A
Wesleyan,SUNY-Binghamton,12,7,"02/24/2018, 10:25",Pool A
SUNY-Binghamton,Skidmore,8,5,"02/24/2018, 11:50",Pool A
Wesleyan,SUNY-Geneseo,11,4,"02/24/2018, 11:50",Pool A
Williams,SUNY-Binghamton,9,4,"02/24/2018, 13:15",Pool A
Wesleyan,Skidmore,7,5,"02/24/2018, 13:15",Pool A
Williams,Wesleyan,8,5,"02/24/2018, 14:40",Pool A
SUNY-Geneseo,Skidmore,6,5,"02/24/2018, 14:40",Pool A
pool,Pool B
Bowdoin,Haverford,13,3,"02/24/2018, 09:00",Pool B
Amherst,Boston University,10,9,"02/24/2018, 09:00",Pool B
Bowdoin,Amherst,7,10,"02/24/2018, 10:25",Pool B
Boston College,Boston University,12,5,"02/24/2018, 10:25",Pool B
Boston University,Haverford,8,5,"02/24/2018, 11:50",Pool B
Boston College,Amherst,8,7,"02/24/2018, 11:50",Pool B
Bowdoin,Boston University,12,8,"02/24/2018, 13:15",Pool B
Boston College,Haverford,10,4,"02/24/2018, 13:15",Pool B
Bowdoin,Boston College,11,12,"02/24/2018, 14:40",Pool B
Amherst,Haverford,11,5,"02/24/2018, 14:40",Pool B
pool,Pool C
Allegheny,Boston College  (B),11,5,"02/24/2018, 09:00",Pool C
Dickinson,Muhlenberg,13,0,"02/24/2018, 09:00",Pool C
Allegheny,Dickinson,6,13,"02/24/2018, 10:25",Pool C
Swarthmore,Muhlenberg,13,3,"02/24/2018, 10:25",Pool C
Muhlenberg,Boston College  (B),2,6,"02/24/2018, 11:50",Pool C
Swarthmore,Dickinson,6,10,"02/24/2018, 11:50",Pool C
Allegheny,Muhlenberg,12,0,"02/24/2018, 13:15",Pool C
Swarthmore,Boston College  (B),10,3,"02/24/2018, 13:15",Pool C
Allegheny,Swarthmore,2,13,"02/24/2018, 14:40",Pool C
Dickinson,Boston College  (B),13,2,"02/24/2018, 14:40",Pool C
pool,Pool D
Lehigh,Wesleyan (B),13,1,"02/24/2018, 09:00",Pool D
SUNY-Albany,Rowan,12,9,"02/24/2018, 10:25",Pool D
Rowan,Wesleyan (B),10,3,"02/24/2018, 11:50",Pool D
Lehigh,Rowan,13,3,"02/24/2018, 13:15",Pool D
SUNY-Albany,Wesleyan (B),10,3,"02/24/2018, 13:15",Pool D
Lehigh,SUNY-Albany,12,5,"02/24/2018, 14:40",Pool D
Rensselaer Polytech,Rowan,8,2,"02/24/2018, 23:00",Pool D
Lehigh,Rensselaer Polytech,9,10,"02/25/2018, 12:25",Pool D
SUNY-Albany,Rensselaer Polytech,10,8,"02/25/2018, 01:50",Pool D
Rensselaer Polytech,Wesleyan (B),13,3,"02/25/2018, 04:40",Pool D
pool,Pool E
Oberlin,SUNY-Buffalo,13,0,"02/24/2018, 09:00",Pool E
Yale,SUNY Cortland,13,2,"02/24/2018, 09:00",Pool E
Oberlin,SUNY Cortland,13,3,"02/24/2018, 10:40",Pool E
Yale,SUNY-Buffalo,13,6,"02/24/2018, 10:40",Pool E
SUNY-Buffalo,SUNY Cortland,2,10,"02/24/2018, 12:20",Pool E
Oberlin,Yale,13,6,"02/24/2018, 14:00",Pool E
pool,Pool F
College of New Jersey,Hofstra,11,13,"02/24/2018, 09:00",Pool F
Temple,Ithaca,13,3,"02/24/2018, 10:40",Pool F
College of New Jersey,Ithaca,6,13,"02/24/2018, 12:20",Pool F
Temple,Hofstra,13,2,"02/24/2018, 12:20",Pool F
College of New Jersey,Temple,4,11,"02/24/2018, 14:00",Pool F
Ithaca,Hofstra,13,3,"02/24/2018, 14:00",Pool F
b,r,e,a,k
brackets,Sunday - Bracket
bracket,Championship
Amherst,Temple,0,0,"03/31/2018, 09:00",Play In
SUNY-Binghamton,Lehigh,0,0,"03/31/2018, 09:00",Play In
Bowdoin,Dickinson,0,0,"03/31/2018, 09:00",Play In
Wesleyan,Oberlin,0,0,"03/31/2018, 09:00",Play In
Boston University,Skidmore,0,0,"03/31/2018, 09:00",Play In
SUNY-Geneseo,Haverford,0,0,"03/31/2018, 09:00",Play In
bracket,9th Place
bracket,15th Place
Yale,SUNY-Albany,0,0,"03/31/2018, 09:00",15th Play In
Ithaca,Allegheny,0,0,"03/31/2018, 09:00",15th Play In
bracket,21st Place
Muhlenberg,Wesleyan (B),0,1,"02/25/2018, 09:00",21st - Play In
SUNY Cortland,College of New Jersey,0,0,"03/31/2018, 09:00",21st - Play In
Hofstra,SUNY-Buffalo,0,0,"03/31/2018, 09:00",21st - Play In
Boston College  (B),Rowan,0,0,"03/31/2018, 10:40",21st - Play In
bracket,Game
Oberlin,Temple,13,5,"02/24/2018, 15:00",Game
b,r,e,a,k
