Mid-Atlantic Warmup 2018,College - Men ,3,2,2018
Williamsburg,VA,2018-02-03,2018-02-04
https://play.usaultimate.org/events/Mid-Atlantic-Warmup-2018/schedule/Men/CollegeMen/
Dartmouth,8
0,Joseph Staton
0,Josh Weinstock
0,Kyle Van Vlack
0,Noam Brenner
0,Peter Barrows
0,Shane Haar
0,Timothy Moore
0,Zachary Posnik
1,John Venezia
2,Nicholas Benevento
16,Alexander Nunno
17,Ben Bosland
30,Thomas Perry
35,Michael Thomas
37,Benjamin Butcher
39,Christian Roatta
42,Jack Stuart
53,Jackson Gode
b,r,e,a,k
Duke,13
teamInfo,Brimstone,"Durham, North Carolina",,https://www.facebook.com/dukeBrimstoneUltimate/,https://twitter.com/Duke_Brimstone
0,Andrew Wilcox
0,Bilva Sanaba
0,Caleb Gershengorn
0,Edward Zhuang
0,Irving Rein
0,Jacob Levine
0,Jeffrey He
0,Kyle Newman
0,Matthew Sanders
0,MATTHEW CLEAVELAND
0,Nicholas Donadio
0,Remy Freire
0,Ryan Corrigan
0,Ryan Mann
0,Shailen Parmar
6,Andres Nazario
12,Benjamin Williams
24,Cade McCurdy
25,Evan Mapes
29,Joshua Smith
31,Junmo Ryang
32,Jack Cohen
90,Paul Wang
b,r,e,a,k
Liberty,12
teamInfo,Flames,"Lynchburg, Virginia",,,https://twitter.com/LUmensUltimate
coaches,Brendan Phillips
3,Alex Pachecano
8,Gareth Holland
04,Ben McCoy
05,Benjamin Reutener
06,Jake Norman
09,Drew  Pettit
10,Zach Milligan
11,Cody Vazquez
12,Jack Fleischer
13,Pete Curran
14,Evan  Trimble
15,Stephen Vernon
16,John  Matthews
17,Bryce Wright
18,Scott Kelly
21,Daniel Mills
22,Joshua Sumpter
24,Luke Byron
27,Evan Harris
34,Caleb Goerke
41,Andrew Lewis
46,Jonathan King
66,Sam Petersen
77,Nguyen Tran
87,Austin Heston
88,Caleb Weldy
89,Luke Hamilton
91,Michael Sharp
b,r,e,a,k
Maryland-Baltimore County,19
teamInfo,Booya,"Baltimore, Maryland",,,
00,Anmol Tewari
00,Brandon Turnbaugh
00,Christopher McCormick
00,Christopher Haslbeck
00,Colin Altman
00,Derek Frazer
00,Max Trifillis
00,Nandu Rami
00,Ryan Johnston
00,Samuel Butler
00,Scott Bennett
06,Collin Muhler
07,Joseph Ricks
13,Jacob Crouse
14,Ethan Griffin
16,Garrett Goltz
20,Noah Wallack
21,Will Oktavec
22,Jas Raj Singh
25,Colby Agar
44,Josh Ford
48,Mason Hillmar
57,Jason Chang
69,Manuel Miranda
81,Michael Healey
82,James Ducey
83,Sean Hill
88,Ryan Gordon
b,r,e,a,k
Illinois,5
teamInfo,Illinois Ultimate,"Champaign, Illinois",http://www.illiniultimate.com/#/home,https://www.facebook.com/pages/Illinois-Ultimate/139887979390815,https://twitter.com/IlliniMensUlti
0,Cameron Hartman
0,Dirk Husemann
0,Jacob  Cuthbert
0,Ryan Kantor
2,Ben Sabourin
4,Tat Shing Thum
37,Walter Jaskowiak
38,John Kulikowski
55,Murray Chen
97,Kevin Lin
b,r,e,a,k
William & Mary,4
teamInfo,Darkhorse,"Williamsburg, Virginia",http://wmdarkhorse.com/,https://www.facebook.com/WMUltimate/,https://twitter.com/wmultimate
0,David Hill
0,Gabe Westergren
0,Greg Garnhart
0,Gus Norrbom
0,Jack Helms
0,John Buchholz
0,John Wilkes
0,Jonathan Collins
0,Colin Messerschmidt
0,COOPER MICHAELIS
0,Joshua Zinger
0,Ryan Cooper
0,SETH HAGE
0,Taylor Gilman
0,Zachary Nimmo
0,Matthew Straus
2,HENRY TESSIER
00,Aaron Groves
17,Moussa Dia
26,Matthew Wattendorf
53,Jonny Malks
74,David Jensen
b,r,e,a,k
Williams,11
teamInfo,WUFO,"Williamstown, Massachusetts",http://williamsultimate.wordpress.com,,https://www.twitter.com/wufoultimate
0,Patrick Gerald
1,Kaizen Conroy
2,Ari Ball-Burack
4,Gabriel  Silva Collins
6,Ryan Taylor
7,Nicholas Weed
8,Lev Gordon
9,Gray Livingston
05,Noah Betz-Richman
10,Will Turett
11,Henry Lane
13,Kees Humes
14,Asher Kolman
15,Jeremy Smith
18,Jonah Greenberg
19,Dominic Chui
23,Nathaniel Jones
33,Tucker Lemos
39,Harry Kamian
41,William Newton
59,Richard Saint
69,Luke Passannante
76,Daniel Ortiz
77,Matias Korfmacher
82,Kirby Gordon
87,Will Barrett
88,Jake Marrus
b,r,e,a,k
Drexel,14
teamInfo,Dragons,"Philadelphia, Pennsylvania",http://drexelultimate.com/,,https://twitter.com/DrexelUltimate
0,Andrew Tengdin
0,Daniel Bolton
4,Garrett Tocci
6,Andrew Spiegel
7,Patrick Mulderig
9,Simon O'Sullivan
03,Paul Doyle
08,Kyle Watson
10,Timothy Reeves
10,Dylan Cohen
11,Kyle Shallow
12,Manjinder Oueslati
13,Nicholas Nugent
18,Cameron Rabinowitz
20,John Madden
21,Spencer Fan
22,Dylan Smith
24,Mike Worth
25,Nolan Boyle
26,Derek McGraw
27,Tim Brant
31,Daniel Admirand
32,Chris Maher
33,Adam Federbusch
36,Kent Hubert
47,Jason Kanemoto
86,Harsha  Emani
87,Andrew Seibert
88,Jeff Zeng
99,Yehonatan Tamir
b,r,e,a,k
Syracuse,20
teamInfo,Doom,"Syracuse, New York",http://doomultimate.wixsite.com/su-ultimate-frisbee,https://www.facebook.com/SyracuseUltimate,https://twitter.com/doomultimate
0,Ben Skinner
0,James Maurer
0,Liran Federmann
0,Nathan Fathers
0,Tate  Sigworth
04,Christopher Granados-Kramer
05,Evan Jenkins
11,Jesse Newman
13,Ryan Hicks
14,Jack Zalewski
20,Benjamin Kropp
21,Adam Newman
27,Luca Serio
28,Phillip Parker-Turner
33,Daniel Probst
42,Matthew Alpert
50,Kyle Chylinski
69,Navaneeth Pandian
84,Christopher McGlynn
b,r,e,a,k
s,t,a,g,e,s
pools,Sat Pool Play
pool,Pool A
Virginia,Elon,10,13,"02/03/2018, 08:30",Pool A,Final
Georgetown,Rutgers,9,10,"02/03/2018, 08:30",Pool A,Final
Virginia,Georgetown,10,13,"02/03/2018, 10:15",Pool A,Final
Dartmouth,Rutgers,10,12,"02/03/2018, 10:15",Pool A,Final
Rutgers,Elon,9,11,"02/03/2018, 12:00",Pool A,Final
Dartmouth,Georgetown,12,9,"02/03/2018, 12:00",Pool A,Final
Virginia,Rutgers,13,9,"02/03/2018, 13:45",Pool A,Final
Dartmouth,Elon,13,6,"02/03/2018, 13:45",Pool A,Final
Virginia,Dartmouth,10,13,"02/03/2018, 15:30",Pool A,Final
Georgetown,Elon,12,10,"02/03/2018, 15:30",Pool A,Final
pool,Pool B
Richmond,Boston University,13,6,"02/03/2018, 08:30",Pool B,Final
Virginia Commonwealth,Haverford,10,11,"02/03/2018, 08:30",Pool B,Final
Richmond,Virginia Commonwealth,10,9,"02/03/2018, 10:15",Pool B,Final
Ohio State,Haverford,13,7,"02/03/2018, 10:15",Pool B,Final
Haverford,Boston University,6,13,"02/03/2018, 12:00",Pool B,Final
Ohio State,Virginia Commonwealth,13,4,"02/03/2018, 12:00",Pool B,Final
Richmond,Haverford,13,5,"02/03/2018, 13:45",Pool B,Final
Ohio State,Boston University,13,2,"02/03/2018, 13:45",Pool B,Final
Richmond,Ohio State,13,11,"02/03/2018, 15:30",Pool B,Final
Virginia Commonwealth,Boston University,9,11,"02/03/2018, 15:30",Pool B,Final
pool,Pool C
George Washington,Maryland-Baltimore County,9,11,"02/03/2018, 08:30",Pool C,Final
Liberty,Duke,4,13,"02/03/2018, 08:30",Pool C,Final
George Washington,Liberty,11,8,"02/03/2018, 10:15",Pool C,Final
Villanova,Duke,12,9,"02/03/2018, 10:15",Pool C,Final
Duke,Maryland-Baltimore County,10,4,"02/03/2018, 12:00",Pool C,Final
Villanova,Liberty,13,4,"02/03/2018, 12:00",Pool C,Final
George Washington,Duke,12,7,"02/03/2018, 13:45",Pool C,Final
Villanova,Maryland-Baltimore County,10,9,"02/03/2018, 13:45",Pool C,Final
George Washington,Villanova,9,10,"02/03/2018, 15:30",Pool C,Final
Liberty,Maryland-Baltimore County,12,7,"02/03/2018, 15:30",Pool C,Final
pool,Pool D
William & Mary,Syracuse,13,7,"02/03/2018, 08:30",Pool D,Final
Williams,Drexel,11,8,"02/03/2018, 08:30",Pool D,Final
William & Mary,Williams,13,3,"02/03/2018, 10:15",Pool D,Final
Illinois,Drexel,12,6,"02/03/2018, 10:15",Pool D,Final
Drexel,Syracuse,9,8,"02/03/2018, 12:00",Pool D,Final
Illinois,Williams,13,9,"02/03/2018, 12:00",Pool D,Final
William & Mary,Drexel,9,3,"02/03/2018, 13:45",Pool D,Final
Illinois,Syracuse,13,2,"02/03/2018, 13:45",Pool D,Final
William & Mary,Illinois,8,11,"02/03/2018, 15:30",Pool D,Final
Williams,Syracuse,13,9,"02/03/2018, 15:30",Pool D,Final
b,r,e,a,k
brackets,Sunday Brackets
bracket,Championship Bracket
Dartmouth,Illinois,11,13,"02/04/2018, 14:00",1st Place Game,Final
Dartmouth,Ohio State,14,11,"02/04/2018, 12:00",Semifinals,Final
Richmond,Illinois,14,15,"02/04/2018, 12:00",Semifinals,Final
Dartmouth,William & Mary,12,11,"02/04/2018, 10:00",Quarterfinals,Final
Ohio State,Villanova,14,11,"02/04/2018, 10:00",Quarterfinals,Final
Richmond,George Washington,15,7,"02/04/2018, 08:00",Quarterfinals,Final
Georgetown,Illinois,8,14,"02/04/2018, 08:00",Quarterfinals,Final
bracket,5th Place Bracket
William & Mary,Georgetown,8,7,"02/04/2018, 14:00",5th Place Game,Final
William & Mary,George Washington,15,6,"02/04/2018, 12:00",2nd round,Final
Villanova,Georgetown,11,13,"02/04/2018, 12:00",2nd round,Final
bracket,3rd Place Bracket
Ohio State,Richmond,10,9,"02/04/2018, 14:00",3rd Place Game,Final
bracket,7th Place Bracket
George Washington,Villanova,7,13,"02/04/2018, 14:00",7th Place Game,Final
bracket,Consolation Bracket
Elon,Williams,8,10,"02/04/2018, 14:00",9th Place Game,Final
Elon,Duke,13,12,"02/04/2018, 10:00",Consolation Semifinals,Final
Boston University,Williams,10,14,"02/04/2018, 10:00",Consolation Semifinals,Final
Elon,Drexel,15,10,"02/04/2018, 08:00",1st Round,Final
Haverford,Duke,9,12,"02/04/2018, 08:00",1st Round,Final
Boston University,Liberty,15,8,"02/04/2018, 08:00",1st Round,Final
Rutgers,Williams,10,15,"02/04/2018, 08:00",1st Round,Final
bracket,13th Place Bracket
Drexel,Rutgers,8,12,"02/04/2018, 12:00",13th Place Game,Final
Drexel,Haverford,11,9,"02/04/2018, 10:00",2nd Round,Final
Liberty,Rutgers,7,15,"02/04/2018, 10:00",2nd Round,Final
bracket,11th Place Bracket
Duke,Boston University,9,7,"02/04/2018, 14:00",11th Place Game,Final
bracket,15th Place Bracket
Haverford,Liberty,11,10,"02/04/2018, 12:00",15th Place Game,Final
b,r,e,a,k
pools,Sunday Pool Play
pool,Pool E
Virginia,Maryland-Baltimore County,15,4,"02/04/2018, 08:00",Pool E,Final
Virginia Commonwealth,Syracuse,13,10,"02/04/2018, 08:00",Pool E,Final
Virginia,Syracuse,15,3,"02/04/2018, 10:00",Pool E,Final
Virginia Commonwealth,Maryland-Baltimore County,13,7,"02/04/2018, 10:00",Pool E,Final
Virginia,Virginia Commonwealth,13,8,"02/04/2018, 12:00",Pool E,Final
Maryland-Baltimore County,Syracuse,W,F,"02/04/2018, 12:00",Pool E,Final
b,r,e,a,k
