Northeast Men's Regional Championship,Club - Men ,22,9,2018
Devens,MA,2018-09-22,2018-09-23
https://play.usaultimate.org/events/Northeast-Mens-Regional-Championship-2018/schedule/Men/Club-Men/
PoNY,1
0,Tyler Sadler
4,Luke Phelan
7,Geoffrey Bevan
9,David Colic
13,ANDY COREY
15,KARL-FRéDéRICK LOISEAU
19,Bryce Ring
21,Colin Froats
31,Jon Hallett
b,r,e,a,k
Red Circus,12
0,Brent Wallace
0,Breton McPhee
0,Brett Chiasson
0,Caden Connors
0,Alan Schneider
0,Casper Macaulay
0,Cooper Toogood
0,Greg Webb
0,Hannes Becker
0,James McKenna
0,Josh Millard
0,Luke Martelli
0,Mark Staples
0,Nils Schrader
0,Stephen Creaser
5,David Archibald
19,Sam Cameron
41,Tim MacIsaac
69,JASPER DUPUIS
69,Cameron Mason
71,Daniel Kyte
82,Donald Patterson
83,Garrett Jung
88,Scott Hansen
89,Stephen Snow
91,Andrew Johnston
b,r,e,a,k
Pesterbug,13
0,Andrew Fredrickson
0,BARRY COHEN
0,Dylan Marino
0,James Sabean
0,Jamie Rhodes
0,Johann Becker
0,Michael Cardello
0,Mitch Giroux
0,Patrick Blum
0,Ross Littauer
0,Stephen Panasuik
2,Jason Talerman
3,Derek Wiseman
5,Jared DiMascio
9,Stephen Banning
10,Sawyer Nichols
12,Michael Carando
15,Daniel Dimascio
18,Jeffrey Dao
19,Isaac Peters
23,John-Paul Saggal
28,Sam Stefanik
29,Justin Palin
34,Cameron Jack
47,Alex Kenworthy
73,Eric Peters
96,Devin Kosowan
b,r,e,a,k
Big Wrench,4
0,Albert Lee
0,Casey Terp
0,Eric Chen
0,Gene Buonaccorsi
0,Hartley Greenwald
0,Joseph Min
0,Keiran Carpen
0,Mark Kharakh
0,Michael Dillard
0,Topher Davis
2,Jacob Kaplan
3,Brian Wyer
5,Alexander Riahi
7,Alexander Roche
11,Samuel Letcher
13,Chris Padilla
17,Andrew Zaccardi
19,Solomon Rueschemeyer-Bailey
20,Jonah Kurman-Faber
25,Ilya Yudkovich
27,Harrison Wolff Landau
29,Daniel Doherty
33,Conor Eckert
45,Matthew Cook
50,Harrison Greene
53,David O'Dea
71,Denis Maguire
b,r,e,a,k
Mockingbird,5
00,Esteban Ceballos
03,RAYNALD NEMOURS
06,Vincent Lemieux
12,Jacob Saunders
13,Thomas Faber
14,JOSEPH GENEST
17,ANTOINE GENEST
19,Cameron Burden
21,Gabriel Monfette
27,MIGUEL GODERRE
32,Nasser Mbae Vogel
33,Yoland Cabot
35,Pierre-Yves Lavertu
35,JEAN GUILLEMETTE
43,Alex Grignon
44,Quentin Bonnaud
52,Louis-Pierre Lauzon
64,Simon Charette
69,Christophe Tremblay Joncas
71,Malik Auger-Semmar
73,Timmy Woo
77,BASILE LIMOGES
81,Kevin Quinlan
86,Jean-Philippe Riopel
87,Philippe Poitras
88,Zakarie Massi
95,Francis Vallée
b,r,e,a,k
Westchester Magma Bears,11
13,Kevin O'Brien
69,Matt Lubitz
69,Max Horowitz
69,Michael Lovisa
69,Owen Robinson
69,Steven Purugganan
69,Theo Kuhn
69,Tyler Spaulding
69,Andrew Purugganan
69,Andrew  Seiden
69,Chris Bonifati
69,Christopher Novielli
69,Daniel Wekstein
69,Douglas Silverman
69,Dylan Leitner
69,Emmett Blau
69,Eric Blais
69,Greg Hulet
69,Jacob Coonin
69,Jacob Margolis
69,Jake Kaufman
69,James Leonard
69,Jamie Lawler
69,Jeffrey Sload
69,John Walsh
69,John Brancato
69,Justin Ondrof
b,r,e,a,k
Bruises,14
03,Sam Hastings
04,Alexander Curreri
06,Adam Logan
07,John Repucci
08,Greg Bjornstad
10,Patrick Shea
11,Patrick Collins
12,Conner Carrico
13,Bryn Huxley-Reicher
14,Jonathan Tomer
15,Brayton Maxson
16,AJ Hutchins
17,Brian Barrows
18,Nilos Makino
20,Jake Atwood
21,Jared Chapman
24,Pablo Reimers
25,Ryan Woodhouse
35,Russell Katz
37,Jack Deschler
43,Kevin Goldberg
44,Charlie Reiff
62,Cody Karjadi
64,Adam Alper
73,Brendan Blaney
88,Nathan Brown
89,Walden Ng
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
PoNY,Deathsquad,15,3,"09/22/2018, 09:00",Pool A,Final
Shade,Baked Beans,15,9,"09/22/2018, 09:00",Pool A,Final
PoNY,Baked Beans,15,5,"09/22/2018, 11:00",Pool A,Final
Shade,Deathsquad,15,11,"09/22/2018, 11:00",Pool A,Final
PoNY,Shade,15,4,"09/22/2018, 13:00",Pool A,Final
Deathsquad,Baked Beans,13,11,"09/22/2018, 13:00",Pool A,Final
pool,Pool B
DiG,Blueprint,15,7,"09/22/2018, 09:00",Pool B,Final
Colt,Red Tide,15,11,"09/22/2018, 09:00",Pool B,Final
DiG,Red Tide,15,3,"09/22/2018, 11:00",Pool B,Final
Colt,Blueprint,14,11,"09/22/2018, 11:00",Pool B,Final
DiG,Colt,15,5,"09/22/2018, 13:00",Pool B,Final
Blueprint,Red Tide,15,11,"09/22/2018, 13:00",Pool B,Final
pool,Pool C
GOAT,Red Circus,15,3,"09/22/2018, 09:00",Pool C,Final
Phoenix,Pesterbug,15,9,"09/22/2018, 09:00",Pool C,Final
GOAT,Pesterbug,15,2,"09/22/2018, 11:00",Pool C,Final
Phoenix,Red Circus,15,6,"09/22/2018, 11:00",Pool C,Final
GOAT,Phoenix,15,6,"09/22/2018, 13:00",Pool C,Final
Red Circus,Pesterbug,15,11,"09/22/2018, 13:00",Pool C,Final
pool,Pool D
Big Wrench,Westchester Magma Bears,15,9,"09/22/2018, 09:00",Pool D,Final
Mockingbird,Bruises,15,12,"09/22/2018, 09:00",Pool D,Final
Big Wrench,Bruises,15,7,"09/22/2018, 11:00",Pool D,Final
Mockingbird,Westchester Magma Bears,15,8,"09/22/2018, 11:00",Pool D,Final
Big Wrench,Mockingbird,15,10,"09/22/2018, 13:00",Pool D,Final
Westchester Magma Bears,Bruises,14,9,"09/22/2018, 13:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
PoNY,GOAT,15,11,"09/23/2018, 13:00",1st Place Finals,Final
PoNY,Big Wrench,15,9,"09/22/2018, 15:00",1st Place Semis,Final
GOAT,DiG,14,12,"09/22/2018, 15:00",1st Place Semis,Final
bracket,2nd Place Bracket
GOAT,DiG,10,15,"09/23/2018, 15:00",2nd Place Finals,Final
Phoenix,DiG,7,15,"09/23/2018, 13:00",2nd Place Semis,Final
Big Wrench,Phoenix,11,14,"09/23/2018, 11:00",2nd Place Quarters,Final
Red Circus,DiG,11,15,"09/23/2018, 11:00",2nd Place Quarters,Final
Phoenix,Deathsquad,14,7,"09/23/2018, 09:00",2nd Place Prequarters,Final
Blueprint,Red Circus,13,14,"09/23/2018, 09:00",2nd Place Prequarters,Final
Phoenix,Westchester Magma Bears,15,7,"09/22/2018, 15:00",2nd Place Play In,Final
Deathsquad,Colt,13,11,"09/22/2018, 15:00",2nd Place Play In,Final
Shade,Blueprint,10,14,"09/22/2018, 15:00",2nd Place Play In,Final
Red Circus,Mockingbird,15,13,"09/22/2018, 15:00",2nd Place Play In,Final
bracket,7th Place
Deathsquad,Blueprint,10,15,"09/23/2018, 11:00",7th Place,Final
bracket,9th Place Bracket
Colt,Mockingbird,0,1,"09/23/2018, 11:00",9th Place Finals,Final
Westchester Magma Bears,Colt,0,1,"09/23/2018, 09:00",9th Place Semis,Final
Shade,Mockingbird,0,1,"09/23/2018, 09:00",9th Place Semis,Final
bracket,11th Place
Westchester Magma Bears,Shade,0,0,"09/23/2018, 11:00",11th Place,Scheduled
bracket,13th Place Bracket
Bruises,Pesterbug,0,0,"09/23/2018, 11:00",13th Place Finals,Final
Baked Beans,Bruises,0,1,"09/23/2018, 09:00",13th Place Semis,Final
Pesterbug,Red Tide,1,0,"09/23/2018, 09:00",13th Place Semis,Final
bracket,15th Place 
Baked Beans,Red Tide,0,1,"09/23/2018, 11:00",15th Place,Final
b,r,e,a,k
