Music City Tune-Up 2018,College - Men ,24,2,2018
https://play.usaultimate.org/events/Music-City-Tune-Up-2018/schedule/Men/CollegeMen/
Mississippi State,8
0,Adam Pierce
0,Andrew Sentell
0,Andrew Tharp
0,Chandler Belt
0,Dominic Frazier
0,Matthew Mabry
0,Michael Volz
0,Nick Werline
0,Nick Hildebrandt
0,Paul Hudson
0,Robert Bryant
0,Tanner Huff
0,Tannon Hedges
0,Gage Gammon
0,William Fleming
0,Zach Clayton
3,Thomas Dorfner
6,Craig Block
6,Brett Hulsmeyer
11,Elijah Jaime
14,Aaron Aberle
21,Wesley Seat
22,Jonathan Lee
45,Alejandro Guerrero
77,John Boyer III
b,r,e,a,k
Middle Tennessee State,15
0,Addison Gentry
0,Charles Hill
0,Josh Brinegar
0,Kyle Mincey
0,ROSHVAN CHALKEY
0,Trevor Fredrickson 
1,Adam Chapman
04,Grant Waldron
13,Jacob Olivera
14,Brendn Swam
22,Max  Jones 
23,Matthew Smith
b,r,e,a,k
Samford,11
0,Andy Weisgerber
0,Austin Peak
0,Chase Woodruff
0,Christian  Rodriguez
0,Daniel Maynard
0,David Yi
0,Jacob Hales
0,Jacob Gholson
0,John Rooney
0,John Pegusky
0,Jonathan Taylor
0,Matthew Reynolds
0,Paul Lamb
0,Ryan Cliff
0,Trenton Fiscus
2,Colton Bassett
5,Parker Freedman
7,Greg Buszka
8,Jordan Chambliss
9,Alex Lowry
12,Stanley Foster
13,Carter Rae
21,Maggie Herd
81,Bennett Strange
b,r,e,a,k
North Carolina-Asheville,3
0,Aaron Sumner
0,Clayton Gibb
0,Darius Anglin
0,Mac Schilder
0,Jonas Buser
0,Pelumi  Olawuni
0,Quentin Northcutt
0,Trevor Pentland
0,Wilson Matthews
1,Logan Dye
2,Quillan Manning
4,Jacob Warshauer
18,Ethan Cole
20,Jamie Douglass
21,Martin Phillips
22,Jacob Ward
30,Nathaniel Griffith
33,Nicholas Carl
47,Hunter Scaggs
55,Dean Merritt
b,r,e,a,k
Union (Tennessee),6
00,Trevor Fox
01,Levi Shaw
03,Tanner Cherry
05,Dakota Stedman
07,Ian Maupin
09,Josh Bowden
10,Josh Leamon
11,Alexander Aden
12,avery Parks
13,Stephen Neu
15,Ethan Bond
16,Daniel  Yurov
17,John David Logan
20,Desmon Stubblefield
21,Riley Boggs
39,Stephen Lewoczko
40,Ivan Isaacs
77,Jeff Williams
99,Noah Graves
b,r,e,a,k
Valparaiso,14
5,Tanner Lee Gesell
02,Benjamin Ratschan
03,Daniel  Gilchrist 
08,James Rolland
15,Fletcher Klein
17,Adam Albertin
21,Scott Stonis
24,Brian Barrett
34,John Readdy
44,Samuel Rookstool
48,Vincent Leonard
69,Nolan Filbert
97,Isaac Jauch
b,r,e,a,k
Memphis,19
4,Sean Borwick
8,Landon Choi
10,Aaron Floyd
13,Stephen Tankersley
14,wes wright
22,Griffen Beard
24,Ryan Manus
25,Cameron Marlow
25,Eli Womack
30,Colby Bell
32,Thomas Merrill
52,Christopher Clowers
b,r,e,a,k
Alabama,5
0,Austin Herriott
0,Garrett Tobin
0,Jacob Lipford
0,Crayton Patterson
0,Josh Van Cleave
0,Landon Sagle
0,Nathan Lyle
0,William Parker
1,Trip Crowley
2,Tucker McMillen
4,Jacob Bultman
5,Payton Garlington
8,Jeremiah  McLeroy
11,Chase Maze
15,Matt Green
17,Philip Speegle
21,Zach Griffin
22,Cameron Elmore
23,Tyler Morgan
24,Fletcher Hare
32,John Stanfield
34,Camden McNeely
42,Watson Anderson
50,Terren Moore
59,Daniel Conner
b,r,e,a,k
Kentucky,4
0,Brandon Guyton
0,Jay White
01,Adam Houk
02,Wei Yang
03,Kyle Anderson
05,Jeremy Staab
08,Peyton  Schock
10,Benjamin Crane
11,Christopher Empie
15,Collin O'Donnell
19,Stephen Hendrickson
21,Logan Graham
22,Charlie Fleming
27,Jacob Royster
29,Mark Lawhorn Jr
31,Jackson Bell
33,Jake Carrico
34,Luke Huffman
35,Zachary Stambaugh
44,Jake Hughes
93,Richard Murt
94,Austin Obenauf
b,r,e,a,k
Georgia State,13
0,Ahmaad Daniel
0,Christopher Blount
0,Laurence Perivier
0,Paul Nkengasong
0,Ricardo Jaime
03,Nathan Smith
04,Vinny Nguyen
06,Alex Jackson
07,Austin Hegmon
08,Abenet Addisu
10,Quinn Roberts
11,Robert Roper
14,Krishan Chib
17,Zach Bronstorph
21,Joshua Kimbell
22,Hal Robinson
25,Jacob Burgess
32,Zo Lightfoot
35,Drew Weaver
42,Jon Fey
77,Praful Gade
85,shadarius tye
99,Andrew Korn
b,r,e,a,k
Toledo,20
0,Eseosa Aguebor
5,Jason Stuckey
09,Josh Willins
11,Jordan Morrison
16,Joseph Bunch
17,Jacob Curcio
18,Ben Corey
22,Francisco Sara
27,Tristan Bowerman
28,Denny Olejniczak
31,Trevor Oxley
35,Jon Gibson
43,Alan Blach
44,Justin York
76,Jad Itawi
87,Jesse Brown
b,r,e,a,k
Wooster,12
0,Dominic Muccio
0,Ezekiel Zelman
0,Harrison Davenport
0,Haven Wagner
0,Jack Rider
0,Jason Lillie
0,Michael Alber
0,Nicholas Kaipo Hagopian-Zirkel
0,Qaiser Zaidi
0,Robert Mueller
0,Weston Gray
3,Gabriel Gerry
4,Charles Quigley
05,Gregory  Bell
14,Jonah Kadens
14,Mason Minerva
15,Jacob Schwartz
19,Clark Wang
21,Ian Warren
27,Taylor Myers
32,Nick Huang
52,Collin Hendershot
53,Jack Felch
76,Liam Dingle
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Purdue,Mississippi State,6,13,"02/24/2018, 08:00",Pool A
Mississippi State,Belmont,12,8,"02/24/2018, 09:30",Pool A
Southern Indiana,Belmont,13,8,"02/24/2018, 11:00",Pool A
Purdue,Southern Indiana,10,5,"02/24/2018, 12:30",Pool A
Purdue,Belmont,13,4,"02/24/2018, 14:00",Pool A
Alabama-Birmingham,Southern Indiana,10,11,"02/24/2018, 15:00",Pool A
Mississippi State,Southern Indiana,13,6,"02/24/2018, 15:30",Pool A
Purdue,Alabama-Birmingham,10,4,"02/24/2018, 16:30",Pool A
Mississippi State,Alabama-Birmingham,11,6,"02/24/2018, 18:00",Pool A
Alabama-Birmingham,Belmont,12,8,"02/24/2018, 22:30",Pool A
pool,Pool B
Xavier,Middle Tennessee State,13,8,"02/24/2018, 08:00",Pool B
Alabama-Huntsville,Vanderbilt,10,11,"02/24/2018, 08:00",Pool B
Alabama-Huntsville,Xavier,10,9,"02/24/2018, 09:30",Pool B
Vanderbilt,Ball State,7,9,"02/24/2018, 09:30",Pool B
Middle Tennessee State,Ball State,6,10,"02/24/2018, 11:00",Pool B
Vanderbilt,Xavier,7,9,"02/24/2018, 12:30",Pool B
Alabama-Huntsville,Middle Tennessee State,11,7,"02/24/2018, 12:30",Pool B
Alabama-Huntsville,Ball State,7,9,"02/24/2018, 14:00",Pool B
Vanderbilt,Middle Tennessee State,13,7,"02/24/2018, 14:00",Pool B
Xavier,Ball State,12,7,"02/24/2018, 15:30",Pool B
pool,Pool C
Samford,Valparaiso,10,13,"02/24/2018, 08:00",Pool C
North Carolina-Asheville,Union (Tennessee),13,7,"02/24/2018, 08:00",Pool C
North Carolina-Asheville,Samford,8,9,"02/24/2018, 09:30",Pool C
Union (Tennessee),Samford,8,9,"02/24/2018, 11:00",Pool C
North Carolina-Asheville,Valparaiso,13,5,"02/24/2018, 12:30",Pool C
Union (Tennessee),Valparaiso,13,6,"02/24/2018, 14:00",Pool C
Valparaiso,Memphis,13,6,"02/24/2018, 18:00",Pool C
Union (Tennessee),Memphis,11,6,"02/24/2018, 19:30",Pool C
North Carolina-Asheville,Memphis,13,4,"02/24/2018, 21:00",Pool C
Samford,Memphis,13,2,"02/24/2018, 22:30",Pool C
pool,Pool D
Kentucky,Alabama,10,8,"02/24/2018, 08:00",Pool D
Kentucky,Wooster,13,5,"02/24/2018, 09:30",Pool D
Alabama,Toledo,13,4,"02/24/2018, 09:30",Pool D
Georgia State,Toledo,10,5,"02/24/2018, 11:00",Pool D
Alabama,Wooster,13,5,"02/24/2018, 11:00",Pool D
Kentucky,Georgia State,9,11,"02/24/2018, 12:30",Pool D
Wooster,Toledo,6,8,"02/24/2018, 12:30",Pool D
Kentucky,Toledo,13,2,"02/24/2018, 14:00",Pool D
Wooster,Georgia State,7,9,"02/24/2018, 14:00",Pool D
Alabama,Georgia State,11,6,"02/24/2018, 15:30",Pool D
b,r,e,a,k
brackets,Bracket Play
bracket,Championship Bracket
Mississippi State,Kentucky,0,0,"02/25/2018, 09:00",Quarterfinals
Xavier,North Carolina-Asheville,0,0,"02/25/2018, 09:00",Quarterfinals
Samford,Ball State,0,0,"02/25/2018, 09:00",Quarterfinals
Alabama,Purdue,0,0,"02/25/2018, 09:00",Quarterfinals
bracket,5th Place Bracket
bracket,3rd Place Game
bracket,9th Place Bracket
Southern Indiana,Toledo,0,0,"02/25/2018, 11:00",9th Place Quarters
Vanderbilt,Valparaiso,0,0,"02/25/2018, 11:00",9th Place Quarters
Union (Tennessee),Alabama-Huntsville,0,0,"02/25/2018, 11:00",9th Place Quarters
Georgia State,Alabama-Birmingham,0,0,"02/25/2018, 18:00",9th Place Quarters
bracket,13th Place Bracket
bracket,15th Place Game
b,r,e,a,k
clusters,Chumpionship Consolation Games
b,r,e,a,k
