Oak Creek Challenge 2018,College - Men ,24,2,2018
Frederica,DE,2018-02-24,2018-02-25
https://play.usaultimate.org/events/Oak-Creek-Challenge-2018/schedule/Men/CollegeMen/
Temple,1
12,Benjamin Williams
24,Cade McCurdy
25,Evan Mapes
29,Joshua Smith
31,Junmo Ryang
32,Jack Cohen
77,James Boyd
90,Paul Wang
b,r,e,a,k
Oberlin,20
0,Dante Giramma
0,George Hawk
0,Ilan Ackelsberg
0,Joaquin Cardozo
0,Julian Bregstone
0,Matt Skarha
0,Noam Fisherman
0,Samuel Waranch
0,Talon Johnson
12,Tobias Harvey
17,Noah Zobel
42,Oliver Vickers Batzdorf
69,Jacob Arons
81,Jonathan Karpatkin
b,r,e,a,k
Johns Hopkins,11
1,Udit Sharma
3,Luke Reilly
6,William Franceschi
7,Francisco  Lopez
10,Christopher Leung
10,Miles McKey
11,Vincent Wu
13,Eric Hu
15,Casey Zhu
16,Matt Sklar
17,Adam Orla-Bukowski
19,Noam Halpern
21,Jeffrey Zhang
22,Sam Pallay
23,Angelo Olcese
25,Aleck Zhao
27,Timothy Bedard
28,Kieren Rudge
35,Mohammed Mumtaz
36,Alexander Lindsay
37,Calvin Barber
47,Matt Brotman
49,Colin Bilyeu
56,James (Jimmy) Clarke
70,Chetan Kamath
99,Tim Shade
b,r,e,a,k
NYU,10
0,Alexander Vega
0,Gus Corsaro
0,Harry Duan
0,Franklin Huang
0,Michael Liu
3,Maxwell Dusenbury
5,Theodore Chang
7,Jesse Gan
8,Felix Taegyun Kim
11,Wyatt Lien
12,Victor Kao
16,Jack McGovern
17,Allen Zhou
21,Cullen Weidenaar
22,Quin Gier
24,Matthew Meserve
31,Morgan Robison
37,Jeffrey Wang
51,Cyrus Busby
54,Bradley Davis
64,Frederick Sidorkin
88,David Zhang
b,r,e,a,k
SUNY-Binghamton,19
0,Daniel Thornton
0,Josh Taylor
0,Matthew Benak
0,Samori Emmanuel
0,Samuel Hill
4,Christopher LaTourette
5,Andrew Gonzalez
7,Michael Sheldon
10,Chris Walsh
12,Mark Donohue
21,Matthew Dasilva
25,Brian Goldberg
27,Jeremy Klein
28,Michael Harley
44,Karandeep Ahluwalia
46,Michael Ferrante
48,Ian Foley
69,Anthony Ferdinandi
74,Jake Gershon
83,Arron Danehy
b,r,e,a,k
American,18
0,Daniel Lagnado
0,Dylan Johnson
0,Ethan Damiano
0,Francis Peabody
0,Gabe Bichinho
0,Ian Proctor
0,Liam Carbutt
0,Luc Marzano
0,Matthew Schilke
0,Maxime Oget
0,Aidan Fox
0,Alexander Wang
0,Ryan Chung
0,Ryan Trismen
0,Sam Phelps
0,Sultan Almojel
0,Will Kim
5,Tim McPhillips
9,Alexander Werner
21,Christian Von Rotz
23,Norris Kpamegan
71,BRAD RICHARDS
b,r,e,a,k
Lancaster Bible,26
0,Dillon Nickel
0,Eric Parke
0,Jacob Farnham
0,Liam Pabst
0,Oliver Lehman
8,Silas Angelino
17,Nicholas  Seek
b,r,e,a,k
Georgetown (B),23
0,Jonathan Greenberg
0,Joseph Cifrino
0,Mack Sheehan
0,Mark McNiskin
0,Matthew Zimmerman
0,Michael Kamel
0,Patrick Seaman
0,Raymond Kramer
0,Tait Ryssdal
0,Timothy Ingrassia
0,Alexander Raucci
0,Edward (Teddy) Carey
0,Ethan Cohn
0,Zack Allen
12,William Glynn
13,Jeremy Bernard-Sasges
48,Will Delaney
b,r,e,a,k
American (B),27
0,Joel Karsevar
0,Joshua Ludden
0,Max Peyra Grau
0,Parker Brotman
0,Parker Baird
0,Seth Katz
0,Timo Amersfoort
0,Timothy Davidson
0,Benji Sheiffer
0,Dylan Halpern
0,Eli Carini
18,Avraham Presberg
24,Beau Swallow
72,Jeremy Robinson
b,r,e,a,k
West Chester (B),30
0,Brandon Porter
0,Brian Schnell
0,Chris Popeck
0,Keith Morey
0,Keith Wood
0,Matt Weaver
0,Matthew Wentz
0,Max Peterman
0,Ryan Fowler
0,Ryan Carr
0,Ryan Murray
0,steve gregor
0,Adam  Peters
0,Adjua Dashield
0,Zachary Colangelo
14,Abbas Husain
16,Alex Zamory
28,Timothy Czaja
b,r,e,a,k
Dartmouth (B),24
00,Clifton Jeffery
00,Jacob Rozak
00,James Gibson
00,John Chapin
00,Kevin Tan
02,David Niedzwicki
03,Craig Wilcox
05,Justin Kramer
10,Daniel Gridley
12,Barrett Noone
28,Max Lindemann
b,r,e,a,k
Messiah College (B),25
0,Derek Bateman
0,Ethan Vander Molen
0,Evan Poust
0,Hunter Reichard
0,Matthew Brown
0,Nathan King
0,Reece Horne
0,Tyler Hallman
0,Brandon Bickom
10,Logan Knepper
15,Colin Campbell
25,Aaron Lucas
b,r,e,a,k
Salisbury,29
0,Brandon Monahan
0,Christopher Gladden
0,Dennis  Seyfried
0,Nathan Lang
11,Tyler Wojciechowski
20,Tyler Dewling
99,Kyle Bishop
b,r,e,a,k
Johns Hopkins (B),28
0,Adam Munn
0,Austin Granmoe
0,Jack Bond
0,Mohid Khan
0,Samuel Huang
0,Sean Jost
8,Jonathan Chen
9,Elorm Awuyah
12,Lucas Winch
14,Steven Shearing
20,Brian McConnell
32,Nicholas Skacel
73,DYLAN VARGAS
96,Michael Maloney
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Brandeis,Villanova,13,9,"02/24/2018, 10:50",Pool A,Final
Temple,Villanova,10,12,"02/24/2018, 12:40",Pool A,Final
Temple,Brandeis,12,7,"02/24/2018, 14:30",Pool A,Final
pool,Pool B
Mary Washington,Ohio,12,11,"02/24/2018, 10:50",Pool B,Final
Amherst,Ohio,12,9,"02/24/2018, 12:40",Pool B,Final
Amherst,Mary Washington,6,11,"02/24/2018, 14:30",Pool B,Final
pool,Pool C
Williams,Maryland-Baltimore County,13,7,"02/24/2018, 10:50",Pool C,Final
Pennsylvania,Rowan,13,5,"02/24/2018, 10:50",Pool C,Final
Williams,Rowan,13,6,"02/24/2018, 12:40",Pool C,Final
Pennsylvania,Maryland-Baltimore County,13,3,"02/24/2018, 12:40",Pool C,Final
Williams,Pennsylvania,9,12,"02/24/2018, 14:30",Pool C,Final
Maryland-Baltimore County,Rowan,14,12,"02/24/2018, 14:30",Pool C,Final
pool,Pool D
George Washington,Towson,12,11,"02/24/2018, 09:00",Pool D,Final
Rutgers,Drexel,11,8,"02/24/2018, 09:00",Pool D,Final
George Washington,Drexel,6,13,"02/24/2018, 12:40",Pool D,Final
Rutgers,Towson,13,6,"02/24/2018, 12:40",Pool D,Final
George Washington,Rutgers,11,12,"02/24/2018, 14:30",Pool D,Final
Towson,Drexel,8,13,"02/24/2018, 14:30",Pool D,Final
pool,Pool E
Delaware,RIT,10,13,"02/24/2018, 09:00",Pool E,Final
Duke,Oberlin,0,0,"02/24/2018, 09:00",Pool E,Cancelled
Delaware,Oberlin,13,9,"02/24/2018, 10:50",Pool E,Final
Duke,RIT,0,0,"02/24/2018, 10:50",Pool E,Cancelled
Delaware,Duke,0,0,"02/24/2018, 14:30",Pool E,Cancelled
RIT,Oberlin,13,10,"02/24/2018, 14:30",Pool E,Final
pool,Pool F
NYU,American,12,8,"02/24/2018, 09:00",Pool F,Final
Johns Hopkins,SUNY-Binghamton,10,9,"02/24/2018, 09:00",Pool F,Final
NYU,SUNY-Binghamton,12,8,"02/24/2018, 10:50",Pool F,Final
Johns Hopkins,American,13,2,"02/24/2018, 10:50",Pool F,Final
NYU,Johns Hopkins,7,10,"02/24/2018, 12:40",Pool F,Final
American,SUNY-Binghamton,8,13,"02/24/2018, 12:40",Pool F,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Amherst,Mary Washington,10,15,"02/25/2018, 14:30",Finals,Final
RIT,Amherst,11,15,"02/25/2018, 12:30",Semis,Final
Drexel,Mary Washington,12,15,"02/25/2018, 12:30",Semis,Final
Temple,RIT,12,15,"02/25/2018, 08:30",Quarters,Final
Villanova,Amherst,12,14,"02/25/2018, 08:30",Quarters,Final
Drexel,Ohio,13,12,"02/25/2018, 08:30",Quarters,Final
Pennsylvania,Mary Washington,13,14,"02/25/2018, 08:30",Quarters,Final
Temple,George Washington,13,6,"02/24/2018, 16:20",Pre-Quarters,Final
Rutgers,RIT,10,13,"02/24/2018, 16:20",Pre-Quarters,Final
Villanova,Delaware,12,9,"02/24/2018, 16:20",Pre-Quarters,Final
Amherst,Williams,12,10,"02/24/2018, 16:20",Pre-Quarters,Final
Brandeis,Drexel,7,11,"02/24/2018, 16:20",Pre-Quarters,Final
Ohio,NYU,13,8,"02/24/2018, 16:20",Pre-Quarters,Final
Pennsylvania,Johns Hopkins,15,13,"02/24/2018, 16:20",Pre-Quarters,Final
Mary Washington,Maryland-Baltimore County,13,4,"02/24/2018, 16:20",Pre-Quarters,Final
bracket,3rd place
RIT,Drexel,13,15,"02/25/2018, 14:30",Finals,Final
bracket,5th place
Villanova,Pennsylvania,12,13,"02/25/2018, 12:30",Finals,Final
Temple,Villanova,12,15,"02/25/2018, 10:30",Semis,Final
Ohio,Pennsylvania,12,15,"02/25/2018, 10:30",Semis,Final
bracket,7th place
Temple,Ohio,15,8,"02/25/2018, 12:30",Finals,Final
b,r,e,a,k
pools,Developmental Pool Play
pool,Pool G
Georgetown (B),American (B),13,3,"02/24/2018, 09:00",Pool G,Final
Lancaster Bible,American (B),13,0,"02/24/2018, 10:50",Pool G,Final
Georgetown (B),Lancaster Bible,7,9,"02/24/2018, 12:40",Pool G,Final
Lancaster Bible,West Chester (B),13,2,"02/24/2018, 23:00",Pool G,Final
Georgetown (B),West Chester (B),13,0,"02/25/2018, 12:50",Pool G,Final
American (B),West Chester (B),9,6,"02/25/2018, 02:40",Pool G,Final
pool,Pool H
Dartmouth (B),Johns Hopkins (B),13,3,"02/24/2018, 09:00",Pool H,Final
Messiah College (B),Salisbury,13,2,"02/24/2018, 09:00",Pool H,Final
Dartmouth (B),Salisbury,13,4,"02/24/2018, 10:50",Pool H,Final
Messiah College (B),Johns Hopkins (B),13,3,"02/24/2018, 10:50",Pool H,Final
Dartmouth (B),Messiah College (B),13,8,"02/24/2018, 12:40",Pool H,Final
Johns Hopkins (B),Salisbury,8,9,"02/24/2018, 12:40",Pool H,Final
b,r,e,a,k
brackets,Developmental Bracket Play
bracket,Championship
Lancaster Bible,Dartmouth (B),15,11,"02/25/2018, 10:30",Finals,Final
Lancaster Bible,Messiah College (B),11,8,"02/25/2018, 08:30",Semis,Final
Georgetown (B),Dartmouth (B),9,14,"02/25/2018, 08:30",Semis,Final
Lancaster Bible,Johns Hopkins (B),13,0,"02/24/2018, 14:30",Quarters,Final
Messiah College (B),American (B),12,5,"02/24/2018, 14:30",Quarters,Final
Georgetown (B),Salisbury,13,7,"02/24/2018, 14:30",Quarters,Final
Dartmouth (B),West Chester (B),13,4,"02/25/2018, 04:30",Quarters,Final
bracket,3rd place
Messiah College (B),Georgetown (B),13,10,"02/25/2018, 10:30",Finals,Final
bracket,5th place
American (B),Salisbury,8,11,"02/25/2018, 12:30",Finals,Final
Johns Hopkins (B),American (B),0,1,"02/25/2018, 10:30",Semis,Final
Salisbury,West Chester (B),13,8,"02/26/2018, 12:30",Semis,Final
bracket,7th place
Johns Hopkins (B),West Chester (B),0,1,"02/26/2018, 02:30",Finals,Final
b,r,e,a,k
brackets,Consolation Bracket
bracket,9th place
Rutgers,Brandeis,15,10,"02/25/2018, 12:30",Finals,Final
George Washington,Rutgers,11,12,"02/25/2018, 10:30",Semis,Final
Brandeis,Johns Hopkins,14,11,"02/25/2018, 10:30",Semis,Final
George Washington,Williams,13,11,"02/25/2018, 08:30",Quarters,Final
Delaware,Rutgers,11,15,"02/25/2018, 08:30",Quarters,Final
Brandeis,NYU,12,10,"02/25/2018, 08:30",Quarters,Final
Johns Hopkins,Maryland-Baltimore County,13,11,"02/25/2018, 08:30",Quarters,Final
bracket,11th place
George Washington,Johns Hopkins,9,12,"02/25/2018, 12:30",Finals,Final
bracket,13th place
Delaware,NYU,15,3,"02/25/2018, 12:30",Finals,Final
Williams,Delaware,13,15,"02/25/2018, 10:30",Semis,Final
NYU,Maryland-Baltimore County,15,9,"02/25/2018, 10:30",Semis,Final
bracket,15th place
Williams,Maryland-Baltimore County,13,5,"02/25/2018, 12:30",Finals,Final
b,r,e,a,k
clusters,17th place Consolation
cluster,Consolation
Oberlin,Rowan,13,0,"02/24/2018, 16:20",,Final
SUNY-Binghamton,Towson,13,5,"02/24/2018, 16:20",,Final
Oberlin,American,13,9,"02/25/2018, 08:30",,Final
Rowan,Towson,15,10,"02/25/2018, 08:30",,Final
American,Towson,15,7,"02/25/2018, 10:30",,Final
SUNY-Binghamton,Rowan,12,15,"02/25/2018, 10:30",,Final
American,Rowan,9,15,"02/25/2018, 12:30",,Final
Oberlin,SUNY-Binghamton,10,11,"02/25/2018, 12:30",,Final
b,r,e,a,k
clusters,Duke Dropped Out
cluster,Games
Brandeis,Oberlin,13,8,"02/24/2018, 09:00",,Final
Ohio,Delaware,11,12,"02/24/2018, 14:30",,Final
b,r,e,a,k
