Great Lakes Mixed Regional Championship,Club - Mixed ,22,9,2018
Aurora,IL,2018-09-22,2018-09-23
https://play.usaultimate.org/events/Great-Lakes-Mixed-Regional-Championship-2018/schedule/Mixed/Club-Mixed
Columbus Cocktails,1
09,Robert Berg
10,Eleanor Flanagin
12,Andrew Delorenzo
17,Rob Greenberg
18,Caitlin Ewing
22,Molly Greenberg
23,Brian Sullivan
24,Kristin Bell
25,Melanie Berlin
28,Ricky Chung
30,Sam Lang
34,John Hock
35,Emilee LeDonne
36,Stephen LaCrosse
43,Jessica Lang
45,Gary LeDonne
47,Dan Kang
65,Nicole Cantello
66,Angelo Artemakis
77,Tim Gallagher
80,Valentina Shiel (Ngai)
88,Leo Wang
b,r,e,a,k
Toast,2
0,Brendan Schwalm
0,Brian Kragt
0,Brian Jager
0,Amy Young
0,Christopher Hoxsey
0,Corie Auger
0,Edward Taylor
0,Jenna Kragt
0,REGINA MUHR
0,Ryan Boxeth
1,Sean Clark
1,Michael Mansfield
5,Ryan Lee
13,David Danks
14,Trevor Polisuk-Balfour
15,Brittany  Dooley
16,Samantha Phillips
19,Stephen Hoffman
19,Aaron Riess
22,Jamie Petroelje
22,ANDREW WADAGA
23,Christopher Leeson
31,Rachel Danks
32,Justine Volz
84,Michael Weber
88,Jesse Otten
99,Mya Hernandez
b,r,e,a,k
Prion,14
0,Claire Follis
0,Cora Wessman
0,Dalton Chaffee
0,GEORGIA SEYFRIED
0,Gloria Lee
0,JACOB BERGER
0,Maria Janina Sarol
0,WILLY GUENTHNER
1,JESUS OSORIO
2,Jeremy Goodsitt
2,"Luisa ""RJ"" Ruge-Jones"
3,Daniel McDonald
9,Brittney Gorman
12,Amy Copper
16,Allison Chmaj
17,Mikayla Yoder
19,Michael Mitchaner
20,Scott Nelson
22,Andrew Almeter
25,Jesus Osorio
26,Erik Huemiller
29,Jake Corley
42,Brandon Carrel
46,Anthony Heath
52,John Wolff
69,Eric Badger
b,r,e,a,k
Goose Lee,11
0,Daniel Latz
0,Daniel Brissette
0,Eric Coglianese
0,Gregory Dinan
0,Julia Desrosiers
0,Sophia Needham
0,Steven Kolp
0,Sylvia Ulmer
0,Michael Lipsitz
0,Tess Henderson
0,Will Keitel
3,Catherine Evers Smith
3,Connor Shirley
4,Kirsten Smith
6,Matt Woods
10,Hector Rivera
13,John Cassidy
13,Kit Carle
14,Kameron Horn
14,Sam Settlemyre
19,MICHELE BERENS
21,Lauren Payne
22,Liz Anderson
24,Justin Mattingly
34,Eric Brinkman
47,Zach Kaylor
49,Tanner Segbers
b,r,e,a,k
Steamboat,3
02,Sophainara Long
03,Eddie Mack
04,Andriana Tompary
05,Ryan Gorman
06,Patrick McCarthy
07,Bryan Walsh
08,Tim Settles
10,Emily Wang
12,Jasmine Draper-Matthew
13,Kristin Baxter
16,Jaclyn Herr
17,Claire Schwaba
18,Sydney Olund
19,Lilli Popovich
21,Scott Schriner
22,Brittany Winner
23,Xavier Payne
28,Jeff Haney
32,Dan Cunningham
33,Austin Winner
45,Kristen Kaweck
51,Chris Ginet
53,JANE LUCAS
66,Daniel Conrad
77,Daniel Khoe
87,Josh Becker
99,Stephanie Yanosik
b,r,e,a,k
Shakedown,6
0,Bradley Johnson
0,Caitlin Hayner-Slattery
0,Erin Staurseth
0,Larkin Johnson
0,Marta De Giuli
0,Nick Myhre
0,Patrick Stephens
0,Sarah Warren
1,Will Hsieh
1,Adam Klaus
2,James Roush
3,Michael Egan
7,Kelvin Koster
13,Phoebe Evans
16,Alison Ellis
19,Nathan King
20,Michael McCafferty
23,Kathryn Kembitzky
25,Jordan Lange
42,Joseph Lindsay
45,Jeffrey Spetter
47,Grant Whitman
48,Matt Godfrey
53,Abigail Lindsay
54,Lauren Guzman
55,Martha Dunbar
81,Erika Wagner
b,r,e,a,k
Petey's Pirates,10
0,Alora Reiff
0,Anthony Dario
0,Felicia Bratti
0,Gordon (Gordy) Sjostrom
0,Claire Ackerman
0,Dylan Elder
0,Kelly Ross
0,Rebecca Rings
0,Stephan Dober
0,Trimon Lamson
0,Tyler Higgins
1,Gregg Vaillancourt
3,Austin Eilbeck
9,Austin Riegel
12,Alec Mathena
17,Kelsey  Dober
31,James Zhang
32,Nate Dikeman
34,James (Drew) Barkley
41,Eric Border
49,Nathan Landry
64,Meredith McCormack-Mager
78,Tiffany Lim
95,Kristen Behrens
b,r,e,a,k
Liquid Hustle,15
0,Benjamin Hannan
0,Charlette Peyer
0,Freddie Dixson
0,Jacqueline Humphress
0,Jared Peyer
0,Jesse Jenkins
0,Kelly Vogeler
0,Kelsie Sparks
0,Luke Thomas
0,Noah Peyer
0,Sarah Haynie
3,Catherine Soto Lozada
9,Nathan Partenheimer
11,Stacie Rawnsley
13,Nathan Hershberger
17,Robert Stasi
25,Kyle Brun
29,Emily Schloneger
31,Andrew Miller
35,Paul Avilez
42,Kelly Kerker
56,Cullen Booth
66,Collin Koury
69,Brittney Ballard
74,Collin McCartney
76,Arthur Small
91,Anne Peyer
b,r,e,a,k
Tequila Mockingbird,4
0,Cheyenne Lopez
0,Jenna Peterson
0,Jimmy Robin
0,Josh Levin
4,Aaron Del Real
5,Natalie Stephan
7,Jennifer Wu
8,Aaron Bryant
11,Sarah Jane Yockers
12,Jules Daugherty
12,Lauren Piontek
13,VALERIE IEHL
15,Gabby Skifstad
16,Jesse Handler
17,Nathan Buddemeyer
21,Ben Foster
23,Jonathan Burrell
24,Eric Hallow
28,Channing Watson
33,Luke Ding
34,Amelia Ni
45,Brenton Hard
54,Jack Carmichael
55,Carlos Wolle
84,CJ O'Brien
86,Conrad Nguyen
99,Emma Howard
b,r,e,a,k
Commitment Issues,5
0,Andrew Kramer
0,Andrew Farrand
0,Audrey Neubauer
0,Emily McDonagh
0,Emma Colavincenzo
0,Erin Rogers
0,Jeff Kula
0,Jennifer Golan
0,Kari Reeb
0,Kate Hickey
0,Kelsey Reiser
0,Kevin Kula
0,Josh Findley
0,Lori Eich
0,Nick Hamilton
0,Olivia Bayer
0,Robert Martin
0,Sarah Schumacher
2,Ashley Welsh
6,Ben Krumpelman
11,Michael (Mike) Ford
12,Lauren Ficek
17,John Wernet
25,Timothy San Pedro
52,Kane Olson
77,DOUG CAPADONA
82,BENJAMIN SAGE
b,r,e,a,k
Hybrid,9
03,Ryan Plumstead
07,Elizabeth Benedetto
10,Megan Gordon
10,Penelope Wu
11,Anna Paulson
12,Nicole Kleinsorge
13,Benjamin Murphy
17,John Goodwin
19,Laura Soter
20,Madison Nightingale
21,Christina Hanson
22,Zach Jawahir
23,Mary Boyd
25,Nicholas Colucci
26,Owen Funk
30,Noah Fisher
30,David Gagnon
34,Annie Mei
35,Joseph Besser
42,Sylvia Gisler
48,Hannah Gannon
66,Phoebe Hopp
71,Connor Lukas
77,Adam Knapp
92,Charlotte Wilson
99,Ryan Radawiec
b,r,e,a,k
North Coast,16
0,BRYAN MCCARTHY
0,Cory Green
0,Daniel Montelione
0,Abigail Czekaj
0,Brad Kotecki
0,Ellis Saupe
0,Elsa Vera
0,James Tarnay
0,Jane Carsey
0,Jason Beffel
0,Josh Shamburger
0,Katherine Hoffman
0,Kevin Talbot
0,Kristen Stultz
0,KYLE COTTOS
0,Lucia Wei
0,Melanie Chastka
0,Michael Connerton
0,Michael Braddock
0,Taylor Diesslin
0,Tristan Greiner
5,Tianzhe Wang
23,Brianna Blair
24,Katherine Lockee
30,Jadin Stoffel
82,Dutch Kirkman
88,Madeleine Pletzke
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Moonshine,Jabba,13,12,"09/22/2018, 09:00",Pool A,Final
Columbus Cocktails,Rocket LawnChair,13,4,"09/22/2018, 09:00",Pool A,Final
Moonshine,Rocket LawnChair,13,12,"09/22/2018, 10:45",Pool A,Final
Columbus Cocktails,Jabba,13,3,"09/22/2018, 10:45",Pool A,Final
Rocket LawnChair,Jabba,13,9,"09/22/2018, 12:30",Pool A,Final
Columbus Cocktails,Moonshine,13,4,"09/22/2018, 12:30",Pool A,Final
pool,Pool B
Nothing's Great Again (aka Babymaker),Prion,13,5,"09/22/2018, 09:00",Pool B,Final
Toast,Goose Lee,10,8,"09/22/2018, 09:00",Pool B,Final
Nothing's Great Again (aka Babymaker),Goose Lee,13,7,"09/22/2018, 10:45",Pool B,Final
Toast,Prion,13,10,"09/22/2018, 10:45",Pool B,Final
Goose Lee,Prion,7,10,"09/22/2018, 12:30",Pool B,Final
Toast,Nothing's Great Again (aka Babymaker),8,13,"09/22/2018, 12:30",Pool B,Final
pool,Pool C
Shakedown,Liquid Hustle,12,8,"09/22/2018, 09:00",Pool C,Final
Steamboat,Petey's Pirates,13,3,"09/22/2018, 09:00",Pool C,Final
Shakedown,Petey's Pirates,13,9,"09/22/2018, 10:45",Pool C,Final
Steamboat,Liquid Hustle,13,3,"09/22/2018, 10:45",Pool C,Final
Petey's Pirates,Liquid Hustle,10,9,"09/22/2018, 12:30",Pool C,Final
Steamboat,Shakedown,13,6,"09/22/2018, 12:30",Pool C,Final
pool,Pool D
Commitment Issues,North Coast,13,6,"09/22/2018, 09:00",Pool D,Final
Tequila Mockingbird,Hybrid,13,6,"09/22/2018, 09:00",Pool D,Final
Commitment Issues,Hybrid,13,8,"09/22/2018, 10:45",Pool D,Final
Tequila Mockingbird,North Coast,13,8,"09/22/2018, 10:45",Pool D,Final
Tequila Mockingbird,Commitment Issues,13,8,"09/22/2018, 12:30",Pool D,Final
Hybrid,North Coast,13,7,"09/22/2018, 12:30",Pool D,Final
b,r,e,a,k
brackets,Championship Brackets
bracket,1st Place
Columbus Cocktails,Nothing's Great Again (aka Babymaker),15,7,"09/23/2018, 12:50",Championship Game,Final
Columbus Cocktails,Tequila Mockingbird,15,10,"09/23/2018, 10:55",1st Semifinals,Final
Steamboat,Nothing's Great Again (aka Babymaker),15,16,"09/23/2018, 10:55",1st Semifinals,Final
Columbus Cocktails,Petey's Pirates,15,8,"09/23/2018, 09:00",1st Quarters,Final
Tequila Mockingbird,Prion,12,8,"09/23/2018, 09:00",1st Quarters,Final
Steamboat,Commitment Issues,15,9,"09/23/2018, 09:00",1st Quarters,Final
Nothing's Great Again (aka Babymaker),Hybrid,15,9,"09/23/2018, 09:00",1st Quarters,Final
Toast,Petey's Pirates,9,15,"09/22/2018, 14:30",1st Prequarters,Final
Shakedown,Prion,11,12,"09/22/2018, 14:30",1st Prequarters,Final
Rocket LawnChair,Commitment Issues,5,13,"09/22/2018, 14:30",1st Prequarters,Final
Hybrid,Moonshine,13,8,"09/22/2018, 14:30",1st Prequarters,Final
bracket,3rd Place
Tequila Mockingbird,Steamboat,9,12,"09/23/2018, 12:50",3rd/4th Place,Final
bracket,5th Place
Petey's Pirates,Hybrid,10,13,"09/23/2018, 12:50",5th/6th Place,Final
Petey's Pirates,Prion,14,11,"09/23/2018, 10:55",5th Semifinals,Final
Commitment Issues,Hybrid,10,12,"09/23/2018, 10:55",5th Semifinals,Final
bracket,7th Place
Prion,Commitment Issues,10,14,"09/23/2018, 12:50",7th/8th Place,Final
b,r,e,a,k
brackets,Consolation Brackets
bracket,9th Place
Shakedown,Goose Lee,13,8,"09/23/2018, 12:50",9th/10th Place,Final
Toast,Shakedown,10,11,"09/23/2018, 10:55",9th Semifinals,Final
Goose Lee,Moonshine,1,0,"09/23/2018, 10:55",9th Semifinals,Final
Jabba,Toast,14,15,"09/23/2018, 09:00",9th Quarters,Final
North Coast,Shakedown,11,14,"09/23/2018, 09:00",9th Quarters,Final
Goose Lee,Rocket LawnChair,15,7,"09/23/2018, 09:00",9th Quarters,Final
Liquid Hustle,Moonshine,0,1,"09/23/2018, 09:00",9th Quarters,Final
bracket,11th Place
Toast,Moonshine,11,10,"09/23/2018, 12:50",11th/12th Place,Final
bracket,13th Place
Jabba,Liquid Hustle,8,15,"09/23/2018, 12:55",13/14th Place,Final
Jabba,North Coast,1,0,"09/23/2018, 10:55",13th Semifinals,Final
Rocket LawnChair,Liquid Hustle,11,12,"09/23/2018, 10:55",13th Semifinals,Final
bracket,15th Place
North Coast,Rocket LawnChair,0,0,"09/23/2018, 12:50",15th/16th Place,Scheduled
b,r,e,a,k
