Santa Barbara Invitational 2018,College - Men ,27,1,2018
Santa Barbara,CA,2018-01-26,2018-01-28
https://play.usaultimate.org/events/Santa-Barbara-Invitational-2018/schedule/Men/CollegeMen/
Washington,1
43,Jacob Miller
50,Austin Alpeter
63,Nolan Hutchings
66,Jordan Kerr
b,r,e,a,k
Western Washington,7
00,Ryan Schluter
01,Kunyao  Zhang 
03,Dennis Casio
05,Logan Chantelois
10,ADAM CHOI
11,Ian Browning
12,Curren Hamlet
13,Graham Manson
14,Oliver Fox
15,EARL LE
17,Christopher Penuelas
19,Jonas Golden
20,Daniel Mah
21,Joshua Kent
22,Liam O'Neill
23,Yuval Arian
24,Amanze Oleru
27,Aaron Glickman
38,Alexander Grey
43,Daniel Lorigan
55,Morgan Higgins
63,Victor Ramirez
80,Liam Bateman
89,Tim Klacik
97,John George
98,Aldous Root
99,Gavin Maxwell
b,r,e,a,k
California-Davis,10
0,Anders Eckburg
0,Casey Shugarman
0,Charles Thudium
0,Devin Hom
0,Dylan Owens
0,Dylan Pyle
0,Evan  Martin
0,Jacob Deppmeier
0,James Meskell
0,Jarren Suzuki
0,Jordan Lund
0,Jordan Ellering
0,Kevin Klein
0,Nick Sevely
0,Spencer Sawyer
0,Tycho Yacub
0,Zachary Naugles
1,John Nguyen
5,Julius Vo
11,Leif Swenson
14,Fredric Murolo
15,Nick Tolfa
22,Jefferson Laird
31,Chetan Gomatam
37,Logan Dolim
b,r,e,a,k
California-San Diego,15
0,Adam Stafford
0,Andrew Ma
0,Anton Panis
0,Ben Kumler
0,Bernard Suwirjo
0,Blake Gabel
0,Ethan Li
0,Gaoweiang Dong
0,Isaac Rehg
0,James McGuinness
0,James Kasic
0,Jules Fogarty
0,Kiran Potula
0,Quomel Imani
0,Ryan Amely-Shannon
0,Sanjay Mohan
0,Shawn Krystkowiak
0,Tyler Koo
1,Jackie Wong
2,Bryce Lozinski
3,Michael Huang
08,Mazden Mastromauro
14,John Geller
24,Eric Hytönen
36,Stefan Samu
64,Chris Luke
70,Sequoya Daniels
72,Gene He
97,Zachary Murez
b,r,e,a,k
Nevada-Reno,18
1,Daniel Ortiz
3,Ryan Takayama
4,Wyatt Blake
5,Benjamin Wagner
6,Chase McAninch
8,Austin Lee
9,Thomas Fiock
14,Robert Eardley
15,Jason Dubon
15,Brent Moore
17,Maxwell Michelini
23,Gabriel Camacho
24,Samuel Eardley
29,Dillon Carroll
30,Donne Lenard Lomugdang
35,Raymond Lopez
55,Thomas McCrone
77,Daniel Eitzman 
87,Anthony Zasada
88,Justin Blau
94,Ryan Schoenfeld
96,Jakob Stoner
b,r,e,a,k
Stanford,3
0,Juan Carlos Meave Ojeda
0,Stephen Spears
1,Allan Ndovu
2,Jack Kimmel
3,Sam Kunz
4,Drew Mathieson
5,Zane Kashner
7,Spencer Hodson
8,Grant Lin
9,Sean Vajanaphanich
11,Nicolas Rodriguez
14,Lyndon Whittaker
16,Sergio Licon
21,Phillip Cathers
22,David Mondry
23,Gabriel Hernandez
24,Kevin Tien
25,Ri Chen
28,Michael Becich
28,Nathaniel Gruver
32,Ryan Ressmeyer
33,Nicholas Hirning
74,Alvin Kim
88,Maxwell Melin
99,Sam Masling
b,r,e,a,k
Southern California,6
0,Alexander Tovar
0,Ghenki Okumoto
0,Gideon Elson
0,Max Hattem
2,Sam Cook
3,Ricky Kirkpatrick
4,Wyatt Paul
8,Diego Frankel
18,Phillip Yang
29,David Sealand
44,Daniel Rabinovich
45,Michael Sylvester
55,Drew Okenfuss
75,Benjamin Ma
b,r,e,a,k
Victoria,14
00,Jamie Fox
00,Rishigan Manilall
00,Scott Spanier
00,Thomas  Lui
01,Jozef Gaber
03,David  Whitney-Brown
04,Dawson Pasin
05,Adrian Chow
08,Changwei  Lu
09,Evan Reynolds
15,D Owen Paetkau
16,Russell Hamilton
18,Trevor Knechtel
22,Jonah Thiele
27,Sean Battiston
31,Keegan Freeland
34,Sean Bennett
51,Justin Pettenuzzo
73,Ben Burelle
76,Alexander Neiman
88,Alex Beek
b,r,e,a,k
UCLA,19
0,Alex Gu
0,Alex Broering
0,Dylan Neff
0,Harlan Brawer
0,Jack Brewer
0,John Campbell
0,Kevin Zhang
0,Konrad Niemiec
0,Mark Farber
0,Matthew Yee
0,Nelson Campbell
0,Noah Anderson
0,Paul Ramstad
0,Paul Pfeiffer
0,Philip Kaganovsky
0,Evan Patel
4,Michael Peng
9,Cooper Tanquary
10,Ari Sweedler
12,George Faour
13,Austin Hwang
32,Eric Siegel
35,Edward White
44,Bryson Levisay
50,Ram Goli
62,Thomas Mendoza
85,Siddhesh Naik
b,r,e,a,k
Washington University,11
0,Arman Guerra
0,Brandon Parr
0,Chance Bayles
0,Delmar Tarrago
0,Dotun Taiwo
0,Ethan Dan
0,Evan Korte
0,Griffin Orser
0,Jacob Graham
0,Kevin Jiang
0,Khoa Nguyen
0,Lawrence Chen
0,Maxwell Woods
0,Nathan Vogt
0,Zachary Lin
2,Josh Rotker
7,Campbell Eshleman
10,Aditya Krishnamachar
10,Nirek Sharma
15,Jesse Strod
16,Yuval Pearl
19,Joshua Gabella
21,David Jones
22,Jordan Chow
24,Sam Gittleman
31,Ben Aunins
33,Jeremy Marcus
33,Sam Fisher
41,Cole Atkins
b,r,e,a,k
Utah,12
0,Anderson Fackler
0,ANTHONY ALEXANDER
0,Branden Frieden
0,Derek Emfinger
0,Eli Wolk
0,Eric Betsill
0,JEFFREY LETSINGER
0,Keegan VanLeeuwen
0,Kenneth Goler
0,Kevin Lund
0,Kevin Castell
0,Matt Lansing
0,Michael Lien
0,Ian VanLeeuwen
0,Isaac Nelson
0,Jace Duennebeil
0,Jackson Start
0,Nat Evans
0,Patrick  Beckett 
0,Robert King
0,Samuel Philips
0,Simon Greenhalgh
0,Zev Glass
1,Nathan Huff
2,Nicholas Peters
6,Brenden Fischer-Femal
8,Cole Stenseth
10,Michael Giere
11,Trey Taylor
23,Jacob Argue
24,Dylan Wile
30,Isaac Worsham
41,Harrison Sucher
66,Sam Hirsch
77,Connor Hess
81,Tristan Manturuk
89,Alejandro Palomino
b,r,e,a,k
Cal Poly-SLO,4
02,Chris Kaspar
03,Simon Krauter
08,Dillon Whited
09,Nathan Pettyjohn
10,Jeremy Dolezal-Ng
11,Hudson Stuck
13,Theodore Watkins
14,Dean Otsuka
15,Allen Zhai
17,Joshua (Slater) Levey
19,Conor Schofield
20,Sean Liston
21,Caleb Merriam
22,William Wilcox
24,Nate Johnson
26,Jansen Selenis
28,Morgan Sommer
31,Samuel Wedegaertner
33,Ian Sweeney
35,Justin Ting
42,Keaton Bates
52,Andrew Stratford
57,Jackson Rhodes
87,Matthew Ryan
95,Jake Biancur
b,r,e,a,k
Colorado State,5
0,Cole Turner
0,Daniel Crump
0,Lucas Beal
0,Mark Stratford
0,Sam Goldstein
0,Ted Dhanens
0,Toby Nordhoff
1,Jack Hinchsliff
2,Dylan Latham McGraw
4,Mo Scott
7,Will McDonald
8,Jonathan Olavarria
9,Jacob Servaty
11,Jack McGinnis
14,Matthew Bush
16,Jake Marrapode
22,Hudson Martin
24,David Miller
33,Ren Pretkelis
34,Cody Spicer
54,Sean Peskin
b,r,e,a,k
San Diego State,20
0,Angelo Zayas
02,Mitch Wellman
04,Brian Haley
05,Brady Dove
06,JJ Rogers
08,Michael Brogan
13,Harrison Hayes
16,Joseph Huppert
17,Zachary Leon
18,Joshua Schroeder
21,Tyler Best
24,Robert Horewitz
26,Ryan Wilbanks
28,Nathan Machak
30,Hayden McAdoo
31,Daniel Patton
37,Daniel Koble
39,Noble Schlueter
50,Matthew Jensen
51,Sean Dapiran
94,Josiah Reeve
b,r,e,a,k
Arizona,13
0,Brandon Alessini
0,Garrett Hable
0,Jaron Omololu
0,Kevin Dwork
0,Nicholas Ferrone
0,PRESTON KRAMER
0,Quinton Fitzpatrick
0,Spencer Sylvester
13,Evan Baker
16,Ethan Bolze
23,Alexander Prescott
25,Chris Baker
32,Austin Vandenburgh
54,Jule Streety
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday
pool,Pool A
Washington,Kansas,13,7,"01/27/2018, 08:00",Pool A,Final
California-Santa Barbara,Arizona State,11,12,"01/27/2018, 08:00",Pool A,Final
Washington,California-Santa Barbara,11,8,"01/27/2018, 09:45",Pool A,Final
California,Arizona State,13,6,"01/27/2018, 09:45",Pool A,Final
Arizona State,Kansas,13,14,"01/27/2018, 11:30",Pool A,Final
California,California-Santa Barbara,10,8,"01/27/2018, 11:30",Pool A,Final
Washington,Arizona State,13,7,"01/27/2018, 13:15",Pool A,Final
Washington,California,13,10,"01/27/2018, 15:00",Pool A,Final
California-Santa Barbara,Kansas,13,11,"01/27/2018, 15:00",Pool A,Final
California,Kansas,8,13,"01/27/2018, 17:00",Pool A,Final
pool,Pool B
Brigham Young,Nevada-Reno,13,4,"01/27/2018, 08:00",Pool B,Final
California-Davis,California-San Diego,13,11,"01/27/2018, 08:00",Pool B,Final
Brigham Young,California-Davis,13,8,"01/27/2018, 09:45",Pool B,Final
Western Washington,California-San Diego,13,8,"01/27/2018, 09:45",Pool B,Final
California-San Diego,Nevada-Reno,13,7,"01/27/2018, 11:30",Pool B,Final
Brigham Young,California-San Diego,13,4,"01/27/2018, 13:15",Pool B,Final
Western Washington,Nevada-Reno,13,7,"01/27/2018, 13:15",Pool B,Final
Brigham Young,Western Washington,10,13,"01/27/2018, 15:00",Pool B,Final
California-Davis,Nevada-Reno,13,10,"01/27/2018, 15:00",Pool B,Final
Western Washington,California-Davis,10,13,"01/27/2018, 17:00",Pool B,Final
pool,Pool C
Stanford,UCLA,13,11,"01/27/2018, 08:00",Pool C,Final
Washington University,Victoria,9,13,"01/27/2018, 08:00",Pool C,Final
Stanford,Washington University,13,4,"01/27/2018, 09:45",Pool C,Final
Victoria,UCLA,12,9,"01/27/2018, 11:30",Pool C,Final
Southern California,Washington University,13,7,"01/27/2018, 11:30",Pool C,Final
Stanford,Victoria,14,15,"01/27/2018, 13:15",Pool C,Final
Southern California,UCLA,13,8,"01/27/2018, 13:15",Pool C,Final
Stanford,Southern California,13,12,"01/27/2018, 15:00",Pool C,Final
Washington University,UCLA,7,13,"01/27/2018, 15:00",Pool C,Final
Southern California,Victoria,15,14,"01/27/2018, 17:00",Pool C,Final
pool,Pool D
Colorado State,Arizona,12,11,"01/27/2018, 09:45",Pool D,Final
Cal Poly-SLO,Arizona,13,7,"01/27/2018, 13:15",Pool D,Final
Cal Poly-SLO,San Diego State,13,5,"01/27/2018, 15:00",Pool D,Final
Cal Poly-SLO,Colorado State,15,13,"01/27/2018, 15:00",Pool D,Final
Arizona,San Diego State,8,12,"01/27/2018, 18:30",Pool D,Final
Colorado State,San Diego State,13,6,"01/27/2018, 20:15",Pool D,Final
Cal Poly-SLO,Utah,11,12,"01/27/2018, 23:45",Pool D,Final
Colorado State,Utah,13,14,"01/28/2018, 01:30",Pool D,Final
Utah,San Diego State,13,8,"01/28/2018, 05:00",Pool D,Final
Utah,Arizona,11,13,"01/28/2018, 07:00",Pool D,Final
b,r,e,a,k
brackets,Sunday
bracket,Championship
Washington,Colorado State,13,7,"01/28/2018, 15:00",Finals,Final
Washington,Victoria,13,11,"01/28/2018, 11:30",Semis,Final
Stanford,Colorado State,8,13,"01/28/2018, 11:30",Semis,Final
Washington,Southern California,13,10,"01/28/2018, 09:45",Quarters,Final
Utah,Victoria,11,13,"01/28/2018, 23:45",Quarters,Final
Stanford,Cal Poly-SLO,13,10,"01/28/2018, 09:45",Quarters,Final
Western Washington,Colorado State,10,13,"01/28/2018, 09:45",Quarters,Final
California-San Diego,Southern California,8,13,"01/28/2018, 08:00",Pre-Quarters,Final
Victoria,California-Davis,15,14,"01/28/2018, 08:00",Pre-Quarters,Final
Cal Poly-SLO,California,13,11,"01/28/2018, 08:00",Pre-Quarters,Final
Kansas,Colorado State,5,13,"01/28/2018, 08:00",Pre-Quarters,Final
bracket,3rd Place
Victoria,Stanford,8,12,"01/28/2018, 13:15",3rd Place,Final
bracket,5th Place
Western Washington,Cal Poly-SLO,10,9,"01/28/2018, 13:15",5th Finals,Final
Western Washington,Utah,13,5,"01/29/2018, 01:30",5th Semis,Final
Cal Poly-SLO,Southern California,13,9,"01/28/2018, 11:30",5th Semis,Final
bracket,7th Place
Utah,Southern California,10,13,"01/29/2018, 03:15",7th Place,Final
bracket,9th Place
Kansas,California,13,11,"01/28/2018, 11:30",9th Place,Final
Kansas,California-Davis,13,8,"01/28/2018, 09:45",9th Semis,Final
California,California-San Diego,13,9,"01/28/2018, 09:45",9th Semis,Final
bracket,11th Place
California-Davis,California-San Diego,13,7,"01/28/2018, 11:30",11th Finals,Final
bracket,Consolation - Reseeded 4s
San Diego State,California-Santa Barbara,10,13,"01/28/2018, 18:30",13th Place,Final
Arizona State,San Diego State,9,13,"01/28/2018, 15:00",Reseeded 4s,Final
California-Santa Barbara,UCLA,13,10,"01/28/2018, 08:00",Reseeded 4s,Final
bracket,15th Place
Arizona State,UCLA,11,12,"01/28/2018, 11:30",15th Finals,Final
b,r,e,a,k
brackets,Friday Night
bracket,BYU v UCSB
Brigham Young,California-Santa Barbara,13,10,"01/26/2018, 18:00",BYU v UCSB,Final
bracket,BYU v Cal Poly SLO
Brigham Young,Cal Poly-SLO,11,12,"01/26/2018, 19:30",BYU v Cal Poly SLO,Final
b,r,e,a,k
pools,Sunday Pool Z Standings
pool,Pool E
Washington University,Arizona,13,10,"01/28/2018, 08:00",Pool E,Final
Nevada-Reno,Washington University,12,13,"01/28/2018, 11:30",Pool E,Final
Nevada-Reno,Arizona,13,8,"01/28/2018, 13:15",Pool E,Final
b,r,e,a,k
