South Central Men's Regional Championship,Club - Men ,22,9,2018
https://play.usaultimate.org/events/South-Central-Mens-Regional-Championship-2018/schedule/Men/Club-Men/
Doublewide,1
15,Dennison Bechis
16,Jake Marrapode
20,Mo Scott
22,Stanley Peterson
24,Matt Bubernak
26,Owen Westbrook
29,Sandy Brown
32,Kevin Johnson
34,Henry Konker
35,Todd Wolma
42,Ben Lohre
66,Matt Jackson
72,Dylan Salzman
85,Calvin Delamere
88,Quinn Finer
b,r,e,a,k
Gamble,7
0,C. Rickner
0,Glenn Lenberger
0,James Washburn
0,Kevin Roux
1,Ryan Smith
2,Grayson Gummelt
3,Luke Hebert
4,Trenton Hebert
5,Michael Bryant
6,Gage Edblom
8,Dylan Swoboda
10,Jake Reinhardt
11,Reese Bowman
13,Tyler Reinhardt
14,Mutahir Ahmad
17,Anthony Shelton
18,Elliott Moore
18,Casey Aldridge
19,Joel Clutton
21,Connor DeLuna
23,JOSH BRUNELLI
24,Shaun Seidenberger
41,Brian Street
66,Ryan Stomp
80,Connor Cole
81,Zac Chandonnet
98,Simon Vickers
b,r,e,a,k
Supercell,9
0,J.D. Ingendorf
0,WILLIAM GORDON
01,Garrett Taylor
01,Cullen Landry
02,Jonathan Summers
03,Samuel Mehan
04,Chris Dellenbaugh
05,Joseph Dal Santo
07,Logan Allen
08,Craig Batchelder
10,Parker Dooly
11,Greg Olson
12,Zach Zepp
13,Joseph Fortunato
14,Nathaniel Loyd
15,Andrew Turcotte
16,Alex Mudd
17,Logan Boren
18,Collin Dabbieri
19,Zachary Johnson
21,Cameron Guidry
36,Christopher Leonard
44,Dillon Bruer
53,Dawson Pleasant
95,Brandon Widner
96,Austin Gould
b,r,e,a,k
DUCS,16
2,Aramis Dixon
3,Dillon Cox
4,Jordyn Armstrong
5,Phillip Young
6,James Paterson
7,Sam Johnson
8,Mason Kelley
9,Benjamin Meaders
10,Austin Ferrari
11,Jackson Gillenwaters
12,Andrew Dorf
14,Nathaniel  Loper
16,Logan Dillman
17,Chris Armstrong
21,Alex Wang
22,Nicholas Cortes
24,Zach Hensel
27,Daniel Hooks
32,Alexander Bacon
42,Gabriel Valdes
48,Christian Parker
69,Daniel Pappas
77,Ian Ambrose
97,Samuel Williams
b,r,e,a,k
Inception,3
0,Andrew Stringer
0,Gregory Blumer
0,Ryan MacFadyen
0,Thomas Brewster
0,Vincent Ciaramitaro
1,Grey Esposito-Krier
2,Andrew Priester
7,Brett Kolinek
7,Peter Cowiestoll Wilson
7,Sean Chapel
8,Matt West
11,Conor Tabor
15,Marc Kaylor
16,Michael Fruge
17,John Dunlop
21,Lucas Beal
27,Michael Perry
28,Joel Crandall
29,Andrew Larocque
33,Samuel Hotaling
36,Ryan Lacy
42,Jacob Reed
69,Stephen Krajeski
85,Evan Boecking
87,Tim Hopp
88,Wil St. Charles
b,r,e,a,k
Gaucho,6
0,Clayton Selby
0,Corey Mika
0,Derek Fan
0,Eric Brodbeck
0,Jacob Sames
0,Jose Tamez Durandeau
0,KYLE DETRING
0,Michael Clark
0,Sean Leeper
0,Travis Wright
0,Troy Abbott
1,Jack Ostrand
2,Erik Atwell
3,Michael Paniagua
6,John Aucar
10,Garrett Wilson
11,Quentin LeVant
23,Will Goodwin
25,Kevin Halprin
27,Brandon Dial
32,John Cecil
34,Trevor Elam
36,Steven Naji
41,Austin Workman
43,Joseph Wylie
49,Michael Wode
b,r,e,a,k
Choice City Hops,12
0,Ari Livanos
0,Cole Turner
0,Craig Love
0,Dylan Cheever
0,Dylan Custer
0,Garrett Idler
0,Joel Cavaliere
0,Kevin Castell
0,Kyle Keeler
0,Logan Stagg
0,Max Abrahamson
0,Nick Schilling
0,Patrick Gazley
0,Mason Kiefer
1,Jack Hinchsliff
6,Joey Lutz
11,Jack McGinnis
11,CHRISTIAN JOHANSEN
14,Jason Laxague
15,Heyward Gualandi
16,Matthew Schoenwald
22,Hudson Martin
22,Daniel Sponaugle
28,Toby Nordhoff
30,Marvin Vuong
54,Sean Peskin
b,r,e,a,k
Dreadnought,13
0,Casey Hooper
0,Ian Kyle Antonio
0,Keith Urbanski
0,Nolyn Coughlin
0,Patrick Randall
0,Travis Duwe
1,Luke Dockery
2,Thomas Dockery
5,Sheldon Shinn
9,Chuck Houska
10,Lennon Dycus
10,Jalen West
11,Drew Hutchison
11,Trent Woessner
14,Bradley Stalder
14,Ethan Penner
15,Jacob Moore
20,Aric Powers
22,Pierce Teeuwen
24,Braxton Furlong
28,Taren Goins
32,Drew Taylor
57,Jared Hines
67,Spencer Patterson
69,Clayton Adams
69,Andrew Watson
b,r,e,a,k
Clutch,5
0,Matt Lyle
0,Robert Benson
1,Patrick Kelly
3,Abhijit  Brahme 
3,Avery Zaleski
3,Brian Walker
6,Ames Fegert
7,Terrence Kong
10,Ibrahim El-sayed
11,Michael Drewry
12,Ismail Kassim
17,Parker Evans
21,James Huizinga
22,Tanner Robinson
23,Drew Wendler
24,Ben Gibbons
25,Sharief Moghazy
26,Mark Baldauf
30,Robert Reid
31,Brandon Lin
32,Andrew Amerson
33,Travis Vermaelen
37,Taylor Neigut
47,Johnny Frohlichstein
69,Mitchell Lutz
80,Timothy Robison
91,Michael Crosson
b,r,e,a,k
Nitro,4
0,Jason Christian
1,Wesley Miaw
2,Emmanuel Bilolo
3,Tyler Criss
4,Ryan Kyle
5,Darius Tse
6,Preston Howell
7,Ashton Lewis
8,Blake Duncan
9,Bryan Hoffman
13,Steven Borik
15,Jason Dick
17,Zachary Slayton
20,Javier Oliver
21,Josh Cunningham
22,Scott Zachary
23,Kevin Bowman
25,George Lampron
26,Caleb Dixon
32,Joseph Welkener
33,Michael Wilson
43,Peter Rangel
54,Travis Bieda
81,Colin Doescher
89,Jack Wooldridge
97,Christopher Fogel
99,Tanner Roberts
b,r,e,a,k
ISO Atmo,11
0,Alexander Nichols
0,Arun  Kalra
0,Brett Youngerman
0,Christopher Schasse
0,Christopher Ward
0,Daniel Crump
0,David Fridland
0,Eric Silverman
0,James Boulter
0,Jonathan Shapiro
0,Michael DeGrandis
0,Michael Quinlan
0,Vincent Chen
7,Stephen Semmens
8,Andrew Soto
10,Zane Barber
16,Conrad Hougen
21,David Popp
22,Andrew Moore
23,Nick Banks
25,Chris Fox
34,Cody Spicer
44,Zach Raab
64,Eric Gillwald
90,Kendrick Hougen
99,Brandon Mestnik
b,r,e,a,k
Prime,14
0,BRANDON LOCKLEAR
0,Gavin Davis
0,Tyler Smith
0,Jason Hustad
0,Jason Jones
0,Jeffrey Adams
0,Nathan  Truong
0,Neel Reddy
0,Nidhish Lokesh
0,Omar (Leonel) Arellano
0,Victor Mao
4,Julius Hubby
5,Evan Garner
5,Cameron Breding
5,Christian Cortes
7,Matthew Melendez
15,Corey Gendron
22,Colton Green
22,John Wynne
27,Daniel Richards
29,Kirtan Patel
29,Steven Gomez
31,Blake Spangler
35,Alexander Brewster
43,Brandon Chow
77,Ryan Santos
81,Justin Sullins
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Doublewide,Riverside,13,4,"09/22/2018, 10:00",Pool A
Papa Bear,Syndicate,13,9,"09/22/2018, 10:00",Pool A
Doublewide,Syndicate,13,3,"09/22/2018, 12:00",Pool A
Papa Bear,Riverside,13,11,"09/22/2018, 12:00",Pool A
Doublewide,Papa Bear,13,4,"09/22/2018, 14:00",Pool A
Riverside,Syndicate,13,8,"09/22/2018, 14:00",Pool A
pool,Pool B
Johnny Bravo,Supercell,13,6,"09/22/2018, 10:00",Pool B
Gamble,DUCS,13,6,"09/22/2018, 10:00",Pool B
Johnny Bravo,DUCS,13,3,"09/22/2018, 12:00",Pool B
Gamble,Supercell,13,10,"09/22/2018, 12:00",Pool B
Johnny Bravo,Gamble,13,3,"09/22/2018, 14:00",Pool B
Supercell,DUCS,13,7,"09/22/2018, 14:00",Pool B
pool,Pool C
Inception,Choice City Hops,13,8,"09/22/2018, 10:00",Pool C
Gaucho,Dreadnought,15,13,"09/22/2018, 10:00",Pool C
Inception,Dreadnought,13,4,"09/22/2018, 12:00",Pool C
Gaucho,Choice City Hops,13,9,"09/22/2018, 12:00",Pool C
Inception,Gaucho,13,10,"09/22/2018, 14:00",Pool C
Choice City Hops,Dreadnought,14,12,"09/22/2018, 14:00",Pool C
pool,Pool D
Nitro,ISO Atmo,13,11,"09/22/2018, 10:00",Pool D
Clutch,Prime,13,5,"09/22/2018, 10:00",Pool D
Nitro,Prime,13,5,"09/22/2018, 12:00",Pool D
Clutch,ISO Atmo,13,12,"09/22/2018, 12:00",Pool D
Nitro,Clutch,10,13,"09/22/2018, 14:00",Pool D
ISO Atmo,Prime,13,5,"09/22/2018, 14:00",Pool D
b,r,e,a,k
brackets,Bracket Play
bracket,Championship Bracket
Doublewide,Johnny Bravo,15,14,"09/23/2018, 12:00",Finals
Doublewide,Clutch,15,5,"09/22/2018, 16:00",Semi-Finals
Inception,Johnny Bravo,12,15,"09/22/2018, 16:00",Semi-Finals
bracket,2nd Place
Johnny Bravo,Inception,15,9,"09/23/2018, 14:00",2nd Place Game
Clutch,Inception,8,15,"09/23/2018, 12:00",2nd Place Semis
Clutch,ISO Atmo,15,8,"09/23/2018, 10:00",2nd Place Quarters
Nitro,Inception,13,15,"09/23/2018, 10:00",2nd Place Quarters
ISO Atmo,Gamble,16,15,"09/23/2018, 08:00",2nd Place Pre-Quarters
Papa Bear,Nitro,9,15,"09/23/2018, 08:00",2nd Place Pre-Quarters
Gaucho,ISO Atmo,8,15,"09/22/2018, 16:00",2nd Place Play-In
Riverside,Gamble,13,15,"09/22/2018, 16:00",2nd Place Play-In
Papa Bear,Supercell,15,7,"09/22/2018, 16:00",2nd Place Play-In
Choice City Hops,Nitro,10,15,"09/22/2018, 16:00",2nd Place Play-In
bracket,7th Place
Gamble,Papa Bear,12,15,"09/23/2018, 10:00",7th Place Game
bracket,9th Place
Riverside,Choice City Hops,15,13,"09/23/2018, 10:00",9th Place Game
Gaucho,Riverside,10,15,"09/23/2018, 08:00",9th Place Semis
Supercell,Choice City Hops,14,15,"09/23/2018, 08:00",9th Place Semis
bracket,11th Place
Gaucho,Supercell,12,15,"09/23/2018, 10:00",11th Place Game
bracket,13th Place
Syndicate,Dreadnought,10,15,"09/23/2018, 10:00",13th Place Game
Syndicate,Prime,14,10,"09/23/2018, 08:00",13th Place Semis
Dreadnought,DUCS,15,8,"09/23/2018, 08:00",13th Place Semis
bracket,15th Place
Prime,DUCS,13,15,"09/23/2018, 10:00",15th Place Game
b,r,e,a,k
