Trouble in Vegas 2018,College - Men ,24,3,2018
Las Vegas,NV,2018-03-24,2018-03-25
https://play.usaultimate.org/events/Trouble-in-Vegas-2018/schedule/Men/CollegeMen/
UCLA,21
teamInfo,Utah Valley Wolverines,"Orem, Utah",https://www.uvu.edu/recsports/mens_ultimate/,https://www.facebook.com/uvuult/,https://twitter.com/UVUultimate
0,Craig Larsen
02,John Scott
05,Devan Biggs
09,Tyler Zubak
10,Joseph Stringham
11,Ethan Wimmer
15,joseph Gwin
18,Byron Joseph Elton
20,Spencer Wilson
22,Kyle Lowe
24,Vincent Schlosser
27,Preston Huckstep
44,Kaden Pieksma
64,Justin McKeen
84,Connor Creer
b,r,e,a,k
Colorado (B),32
teamInfo,Mamabird - B,"Boulder, Colorado",modules/common/www.mamabird.com,,
coaches,Kevin Johnson
0,Alasdair Gourlay
0,Alex Bozik
0,Alexander Nichols
0,Chase Roedel
0,Connor Myers
0,Danny Auther
0,David Swalm
0,Graham Fee
0,James Boulter
0,Justin Greer
0,Kurt Vetrano
0,Kyle Kravit
0,Lucas Robbins
0,Luke Engelken
0,Matthew Voiles
0,Tyler Nguyen
0,Will Tidey
0,Will Sweeney
0,Sam Swisher
1,Jack Ostrand
3,Charlie Peters
5,Son Nguyen
8,Andrew Soto
9,Andrew  Thorson
11,Mesa Martorell
11,Guanxiong Fu
12,Graham Buhse
18,Jakob Rheins
98,Zachary Davis
b,r,e,a,k
California (B),30
teamInfo,Thugmo,"Berkeley, California",,,
0,Bo Rasmussen
0,Eli Stewart
0,Jonathan Marr
0,Samuel He
0,Seth Bloomer
0,Timothy Ross
0,Winston Tran
10,Myron Liu
12,Edward Diven
17,John Diven
18,Howard Ki
23,David Campos
26,Riley Ng
27,Jack Baumruk
28,Walter Wu
33,Austin Leung
47,Christopher Akers
47,Eric Dodds
b,r,e,a,k
Cal Poly-SLO (B),29
teamInfo,SLOB,"San Luis Obispo, California",,,
0,Brandon Grossman
0,Eric Dubofsky
0,Joel Guerra
7,Brad Weber
12,Maximilian Cossalter
13,Christopher McCoy
16,Alexander Murray
20,Matt Miller
22,Dean Smith
35,Jack Combs
39,Martin Bailey
42,Dominic Lunde
55,Jack Burfield
69,Zachary Peterson
b,r,e,a,k
Arizona (B),27
teamInfo,Swashbucklers,"Tucson, Arizona",modules/common/sunburnultimate.com,,
0,Adam Gross
0,Connor Foley
0,Jared Averett
0,Kyle Ellison
0,Peter Rosado
0,Peter Krob
0,Sam Freitas
0,Wesley Bohult
11,Kyle Fullerton
13,Sean Tamboer
25,Eduardo Gamez
55,Raymond Rash
b,r,e,a,k
Nevada-Reno,14
teamInfo,Elevation Ultimate,"Reno, Nevada",,,
1,Daniel Ortiz
2,John Whiting
3,Ryan Takayama
4,Wyatt Blake
5,Benjamin Wagner
6,Chase McAninch
9,Thomas Fiock
11,Troy Potter
14,Robert Eardley
15,Brent Moore
17,Maxwell Michelini
20,Eric Buhler-Brown
23,Gabriel Camacho
24,Samuel Eardley
29,Dillon Carroll
30,Donne Lenard Lomugdang
35,Raymond Lopez
55,Thomas McCrone
73,Ravi O'Brien
87,Anthony Zasada
88,Justin Blau
94,Ryan Schoenfeld
96,Jakob Stoner
99,Davis Ruggles
b,r,e,a,k
San Diego State,20
teamInfo,Federalis,"San Diego, California",,,
0,Daniel Robinson
0,Steven Silverglate
2,Mitch Wellman
4,Brian Haley
5,Brady Dove
6,JJ Rogers
6,Rodman Stuhlmuller
8,Michael Brogan
13,Harrison Hayes
16,Joseph Huppert
17,Zachary Leon
18,Joshua Schroeder
21,Tyler Best
22,Tim Anaya
24,Robert Horewitz
26,Ryan Wilbanks
28,Nathan Machak
30,Hayden McAdoo
31,Daniel Patton
37,Daniel Koble
39,Noble Schlueter
50,Matthew Jensen
94,Josiah Reeve
b,r,e,a,k
Occidental,18
teamInfo,Detox,"Los Angeles, California",http://www.detox-ultimate.com/,https://www.facebook.com/detoxultimate/,
0,Arthur Sabitt
0,Jack Allen
0,Jack Robinson
0,Mitchell Bullington
0,Paul Tomlinson
0,Sundy Khalsa
0,Thomas Renehan
0,Vuk Muyot
0,Samuel Monius
0,Zachary Goodwin
2,Evan Sarafian
6,Robert Zhang
6,Silas Scott
10,Sam Hajduk
13,Greg Kleinman
14,Ebram Naftzger
18,Dan Scal
22,Kade Cheatham
28,Hunter Weinreb
42,Wally Huron
55,Samuel Maury-Holmes
66,Griffin Morita
b,r,e,a,k
California-Irvine,8
teamInfo,Nightlife,"Irvine, California",https://www.facebook.com/mensultimateatuci/,https://www.facebook.com/mensultimateatuci/,https://twitter.com/irvineultimate
0,Billy Davies
0,Dohyun Park
0,Iyasu Gessesse
0,Nicholas Carson
2,Matthew Booker
13,Kyle Conniff
16,Tristan MacMurray
18,Marcoseliseo Munoz
23,Aaron Esparza-Almaraz
27,Alvin Gao
98,Wilson Tran
b,r,e,a,k
Colorado-Mesa,11
teamInfo,Colorado Mesa Ultimate Frisbee,"Grand Junction, Colorado",,https://www.facebook.com/groups/1497755066947633/,
0,Caleb Barnes
0,Erika Esquinca
0,Philip Nelson
0,Riley Scarfe
0,Steven McKenzie
0,Thomas Hook
0,Vince Giandonato
0,Yoav Sterer
3,Nathan Ploeger
3,Justin Mestnik
4,Brett Thornton
5,Jeff Reed
9,Rhett Dacuag
14,Jacob Cotner
19,Mo Beinlich
47,Lucas Parnell
69,Jared Milonas
b,r,e,a,k
Northern Arizona,17
teamInfo,El Ponderoso,"Flagstaff, Arizona",,,https://twitter.com/ElPonderosoNAU
0,Andreas Carros
0,Brad Wylam
1,Wilson Laufer
4,David Lemcke
6,Alex St.Hippolyte
7,Kevin Farnam
8,Evan Taylor
10,Harry Bell
12,Michael Gehrke
13,Eric Chavet
16,Dawson Peters
18,Gus Siegel
20,Frank KyawSwar Aung
21,Hayden  Hoekstra
24,Alejandro Marquez
27,Logan Beaschler
37,Eli Perleberg
42,Drake DenHartog
42,Hunter Stuits
49,Tyler Liddie
75,Jeremy Ronzo
91,Daniel Prejs
b,r,e,a,k
California-San Diego,3
teamInfo,Air Squids,"San Diego, California",,,
coaches,Kevin Stuart
0,Adam Stafford
0,Andrew Ma
0,Anton Panis
0,Ben Kumler
0,Bernard Suwirjo
0,Blake Gabel
0,Ethan Li
0,Gaoweiang Dong
0,Isaac Rehg
0,James Kasic
0,James McGuinness
0,Jules Fogarty
0,Kiran Potula
0,Quomel Imani
0,Ryan Amely-Shannon
0,Shawn Krystkowiak
0,Tyler Koo
1,Jackie Wong
2,Bryce Lozinski
3,Michael Huang
14,John Geller
24,Eric Hytönen
25,Mazden Mastromauro
36,Stefan Samu
64,Chris Luke
70,Sequoya Daniels
72,Gene He
97,Zachary Murez
b,r,e,a,k
Pacific Lutheran,24
teamInfo,Reign,"Parkland, Washington",https://www.plu.edu/recreations/club-sports-teams/mens-ultimate-frisbee/,,https://twitter.com/ReignMenPLU
0,Jack Mahr
0,Jacob Goodman
0,Sam Martinson
2,James Krick
03,Alex Lund
07,Benjamen Acord
10,Jeffery Steehler
13,Bryant Stone
16,Nicholas Domenichini
17,Josiah Colby
28,Nathan Adams
31,Clayton Regehr
32,Jackson Curtin
34,Daniel Kaiser
64,Chris Anderson
77,Elijah Grow-Hanson
b,r,e,a,k
Grand Canyon,13
teamInfo,Lopes,"Phoenix, Arizona",https://clubsports.gcu.edu/club-sports/ultimate-frisbee/,,https://twitter.com/GCUUltimate
01,Kayla Ramirez
02,Micah Gross
04,Benjamin Hoppe
05,Jacob VanGerpen
07,Steven Akerson
08,Diana Doan
09,John Henderson
10,Brandon Watabe
11,Jacob Dibley
13,Adam Barth
14,Grant Goodman
15,Adrian Aguilar
16,Austin Anderson
18,Timothy Blanton 
19,Joshua Walsh
21,Leah Heneveld
22,Jonas Lundgren
25,Michael Aper
27,Jesse Wilch
b,r,e,a,k
Cal State-Fullerton,26
teamInfo,The Commute,"Fullerton, California",,,
00,Brent Kosin
00,Christopher Vasquez
00,Daniel Garcia
00,Janabelle Peng
00,Jason Pappas
00,Martin Espinoza
00,Riley Melgoza
00,Scott Luong
00,Vivian Lao
00,Akira Roueche
16,Alfred Manuel
b,r,e,a,k
Arizona State (B),28
teamInfo,Pleasure Ultimate,"Tempe, Arizona",modules/common/www.arizonastateultimate.com,https://www.facebook.com/pages/Pleasure-Ultimate/428479377237462,https://twitter.com/pleASUre_ult
0,Oskar Agredano
1,Sullivan Dupre
2,Justin Wilk
4,Michael Furey
5,Cole Davis
6,Jeremy Harris
7,Tymur Vidyakin
8,Barrett Bromich
9,Jake Nydell
10,Ben Nagele
12,Christian Menke
13,Nicholas Arnold
14,Jared Kyaw
17,Brandon Karlin
19,Sam Maness
23,Qiwei Hu
42,Michael Nassief
50,Jesse Seeley
55,Benjamin Subak
59,Benjamin Roth
69,Andrew Trichak
72,Marco Dehnert
74,Sean Randall
77,Japheth Gielen
80,Anthony Decoster
86,Timothy Snelling
96,Conner Propst
97,Tyler Mebane
b,r,e,a,k
Colorado State (B),33
teamInfo,Hibida,"Fort Collins, Colorado",,,https://twitter.com/csuhibida_b?lang=en
0,Erik Peaslee
05,Jackson Akin
06,Josh Martinez
10,Kenny Bui
13,Alfredo Macha
15,Mason Kiefer
19,Charlie Pitcock
26,Jonathan  Wegleitner
27,Kenneth Rathmann
31,Colin Crawford
35,David Slifka
35,Samuel Frisz
37,Stephen Garrison
39,William Ouimet
42,Jack Browne
43,Tucker Martin
44,Michael  Sekman
52,Jackson Turner
64,Zac Seitz
65,Trevor Isaacson
69,Ira Weiss
71,Trevor Schneider
77,Joel Cavaliere
b,r,e,a,k
California-Davis (B),34
teamInfo,Davis Dogs B,"Davis, California",http://www.ucdavisultimate.com/,https://www.facebook.com/davis.dogz?fref=ts&ref=br_tf,
0,Dane Nicolas
0,David Cerda
0,Eddie Jacobs
0,Riley Doyle
0,Tyler White
0,Vishal Patel
0,Wyatt Liao
0,Yuji Mori
16,Karna Chelluri
19,Andrew Allen
44,Joshua Claxton
62,Elliot Wilde
77,Nelson Guzman
b,r,e,a,k
California-San Diego (B),31
teamInfo,Air Squids LITE ,"La Jolla, California",,,
0,Allen Munk
0,Andrew Muro
0,Andy Ho
0,Anthony Chi
0,Arik Singh
0,Armaan Ali
0,Austin Nguyen
0,Benjamin Birner
0,Benjamin Schocket-Greene
0,Blake Civello
0,Brandon Blischak
0,Brent Min
0,Cameron Van Horn
0,Carl Whitesel
0,Cody Norman
0,Collin Knybel
0,Daniël Kroes
0,Eric Zhao
0,Frederic Matalon
0,Grant Hultquist
0,Jasper Travers
0,Jonathan Hanna
0,Jonathan Bennett
0,Joseph Martin
0,Justin Le
0,Kenneth Magoon
0,Leigh Tong
0,Lucas Hsiong
0,Lucas Martz
0,Lucas Armstrong
0,Manav Vats
0,Matthew Rice
0,Maxwell Fine
0,Michael Ferialdi
0,Mikhail Kolmogorov
0,Nicholas Blischak
0,Patrick Garrett
0,Aaron Zeng
0,Aditya Sampath
0,Akshay Bhide
0,Ryan Yamamoto
0,Ryan Lee
0,saisantosh Attaluri
0,Sanjay Mohan
0,Tyler Nelson
0,Tyrone Yanaga
0,William Suryajaya
0,William Tzou
0,Yashaswat Malhotra
0,Zachary Huang
0,Ronan Sullivan
0,Ryan Marquez
18,Roman Kitsela
32,Ryan Pak
52,Kush Parmar
71,Storm Dotson
75,Gautam Ramesh
86,Alan  Chen
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
UCLA,Utah State,13,8,"03/24/2018, 09:00",Pool A,Final
UCLA,Miami,13,4,"03/24/2018, 10:30",Pool A,Final
Utah State,Miami,12,13,"03/24/2018, 12:00",Pool A,Final
Colorado-Denver,Miami,13,3,"03/24/2018, 15:00",Pool A,Final
Colorado-Denver,Utah State,13,3,"03/24/2018, 16:30",Pool A,Final
UCLA,Colorado-Denver,13,8,"03/24/2018, 19:30",Pool A,Final
pool,Pool B
Utah,California-Santa Cruz,12,6,"03/24/2018, 09:00",Pool B,Final
Cal Poly-Pomona,Colorado School of Mines,8,12,"03/24/2018, 09:00",Pool B,Final
Utah,Colorado School of Mines,10,9,"03/24/2018, 10:30",Pool B,Final
Cal Poly-Pomona,California-Santa Cruz,12,4,"03/24/2018, 10:30",Pool B,Final
California-Santa Cruz,Colorado School of Mines,7,11,"03/24/2018, 12:00",Pool B,Final
Utah,Cal Poly-Pomona,11,6,"03/24/2018, 13:30",Pool B,Final
pool,Pool C
Arizona State,New Mexico,10,8,"03/24/2018, 09:00",Pool C,Final
Arizona State,Sacramento State,9,2,"03/24/2018, 10:30",Pool C,Final
New Mexico,Sacramento State,9,7,"03/24/2018, 12:00",Pool C,Final
Chico State,Sacramento State,11,6,"03/24/2018, 15:00",Pool C,Final
Chico State,New Mexico,9,7,"03/24/2018, 16:30",Pool C,Final
Arizona State,Chico State,9,8,"03/24/2018, 19:30",Pool C,Final
pool,Pool D
North Texas,Utah Valley,10,9,"03/24/2018, 09:00",Pool D,Final
Arizona,Utah Valley,13,3,"03/24/2018, 10:30",Pool D,Final
Arizona,North Texas,5,8,"03/24/2018, 13:30",Pool D,Final
Arizona,Claremont,13,7,"03/24/2018, 21:00",Pool D,Final
North Texas,Claremont,11,6,"03/24/2018, 22:30",Pool D,Final
Claremont,Utah Valley,13,9,"03/25/2018, 00:00",Pool D,Final
pool,Pool Y
Colorado (B),Cal Poly-SLO (B),13,2,"03/24/2018, 09:00",Pool Y,Final
Colorado (B),California (B),10,7,"03/24/2018, 10:30",Pool Y,Final
California (B),Cal Poly-SLO (B),7,6,"03/24/2018, 13:30",Pool Y,Final
Arizona (B),California (B),5,13,"03/24/2018, 15:00",Pool Y,Final
Arizona (B),Cal Poly-SLO (B),6,10,"03/24/2018, 16:30",Pool Y,Final
Arizona (B),Colorado (B),0,13,"03/24/2018, 18:00",Pool Y,Final
pool,Pool E
San Diego State,Colorado-Mesa,13,3,"03/24/2018, 09:00",Pool E,Final
San Diego State,California-Irvine,13,5,"03/24/2018, 10:30",Pool E,Final
Nevada-Reno,California-Irvine,13,2,"03/24/2018, 12:00",Pool E,Final
Nevada-Reno,Colorado-Mesa,13,3,"03/24/2018, 13:30",Pool E,Final
San Diego State,Nevada-Reno,6,10,"03/24/2018, 15:00",Pool E,Final
California-Irvine,Colorado-Mesa,7,6,"03/24/2018, 15:00",Pool E,Final
California-Irvine,Occidental,4,13,"03/24/2018, 21:00",Pool E,Final
Nevada-Reno,Occidental,10,8,"03/24/2018, 22:30",Pool E,Final
Occidental,Colorado-Mesa,13,4,"03/25/2018, 00:00",Pool E,Final
San Diego State,Occidental,13,5,"03/25/2018, 01:30",Pool E,Final
pool,Pool F
Northern Arizona,Grand Canyon,13,3,"03/24/2018, 09:00",Pool F,Final
California-San Diego,Pacific Lutheran,9,8,"03/24/2018, 10:30",Pool F,Final
Pacific Lutheran,Grand Canyon,13,2,"03/24/2018, 12:00",Pool F,Final
Northern Arizona,Pacific Lutheran,9,8,"03/24/2018, 13:30",Pool F,Final
California-San Diego,Grand Canyon,12,3,"03/24/2018, 13:30",Pool F,Final
Cal State-Fullerton,Pacific Lutheran,6,13,"03/24/2018, 15:00",Pool F,Final
Northern Arizona,California-San Diego,9,7,"03/24/2018, 15:00",Pool F,Final
Northern Arizona,Cal State-Fullerton,13,5,"03/24/2018, 16:30",Pool F,Final
California-San Diego,Cal State-Fullerton,12,6,"03/24/2018, 18:00",Pool F,Final
Cal State-Fullerton,Grand Canyon,5,6,"03/24/2018, 21:00",Pool F,Final
pool,Pool Z
Colorado State (B),California-Davis (B),13,7,"03/24/2018, 09:00",Pool Z,Final
Arizona State (B),California-Davis (B),9,4,"03/24/2018, 10:30",Pool Z,Final
Arizona State (B),Colorado State (B),9,8,"03/24/2018, 12:00",Pool Z,Final
Arizona State (B),California-San Diego (B),10,5,"03/24/2018, 15:00",Pool Z,Final
Colorado State (B),California-San Diego (B),10,5,"03/24/2018, 16:30",Pool Z,Final
California-San Diego (B),California-Davis (B),7,8,"03/24/2018, 19:30",Pool Z,Final
b,r,e,a,k
brackets,Championship
bracket,Championship
UCLA,Utah,12,6,"03/25/2018, 14:30",Championship,Final
UCLA,Nevada-Reno,13,6,"03/25/2018, 13:00",Final 4,Final
Arizona,Utah,6,9,"03/25/2018, 13:00",Final 4,Final
UCLA,California-San Diego,11,6,"03/25/2018, 11:30",Elite 8,Final
Nevada-Reno,Colorado (B),9,8,"03/25/2018, 11:30",Elite 8,Final
Arizona State (B),Arizona,5,12,"03/25/2018, 11:30",Elite 8,Final
San Diego State,Utah,3,15,"03/25/2018, 11:30",Elite 8,Final
UCLA,Colorado State (B),9,4,"03/24/2018, 16:30",Sweet 16,Final
Utah Valley,California-San Diego,9,10,"03/24/2018, 16:30",Sweet 16,Final
Nevada-Reno,Colorado School of Mines,8,7,"03/24/2018, 16:30",Sweet 16,Final
Colorado (B),North Texas,8,4,"03/24/2018, 16:30",Sweet 16,Final
Arizona State,Arizona State (B),4,6,"03/24/2018, 16:30",Sweet 16,Final
Arizona,Northern Arizona,6,5,"03/24/2018, 16:30",Sweet 16,Final
San Diego State,Colorado-Denver,9,5,"03/24/2018, 22:30",Sweet 16,Final
Claremont,Utah,6,10,"03/25/2018, 04:30",Sweet 16,Final
Cal Poly-Pomona,Colorado State (B),7,9,"03/24/2018, 15:00",R32,Final
Chico State,Utah Valley,3,8,"03/24/2018, 21:00",R32,Final
Utah State,Colorado School of Mines,5,9,"03/24/2018, 15:00",R32,Final
New Mexico,Colorado (B),4,9,"03/24/2018, 15:00",R32,Final
Miami,Arizona State (B),8,9,"03/24/2018, 15:00",R32,Final
Arizona,California-Santa Cruz,11,4,"03/24/2018, 15:00",R32,Final
Sacramento State,Colorado-Denver,6,9,"03/24/2018, 21:00",R32,Final
Claremont,California (B),9,6,"03/25/2018, 03:00",R32,Final
bracket,5th Place
San Diego State,Colorado (B),12,7,"03/25/2018, 14:30",5th Place,Final
San Diego State,Arizona State (B),15,2,"03/25/2018, 13:00",Round Name,Final
Colorado (B),California-San Diego,7,4,"03/25/2018, 13:00",Round Name,Final
bracket,9th Place
Claremont,Colorado State (B),11,5,"03/25/2018, 23:30",9th Place,Final
Claremont,Northern Arizona,9,8,"03/25/2018, 22:00",9SF,Final
Colorado School of Mines,Colorado State (B),8,9,"03/25/2018, 10:00",9SF,Final
Claremont,Colorado-Denver,15,8,"03/25/2018, 14:30",9QF,Final
Northern Arizona,Arizona State,12,4,"03/25/2018, 08:30",9QF,Final
North Texas,Colorado School of Mines,5,9,"03/25/2018, 08:30",9QF,Final
Utah Valley,Colorado State (B),4,11,"03/25/2018, 08:30",9QF,Final
bracket,13th Place
Arizona State,North Texas,0,1,"03/25/2018, 11:30",13th Place,Final
Colorado-Denver,Arizona State,6,11,"03/25/2018, 16:00",Round Name,Final
