Boston Invite 2018,Club - Men ,23,6,2018
Devens,MA,2018-06-23,2018-06-24
https://play.usaultimate.org/events/Boston-Invite-2018/schedule/Men/Club-Men/
DiG,1
33,Andy Lee
65,Jonah Munoz
68,Ben Scott
92,Marcus Bordage
b,r,e,a,k
Watch City,21
0,Alexander Esakof
0,Brandon Henshaw
0,Corey Lerner
0,Elan Kane
0,Eric Home
0,Jeffrey Spivack
0,Michael Humbert
0,Nathaniel Henning
0,Nicholas Plotkin
0,Tomaso Mukai
0,Tzvi Miller
0,Walter Aspinwall
0,Zephry Wright
0,Zev Kaufman
0,Samuel Zuckernik
5,Peter Jacobs
5,Hansen Yang
9,Steven Chen
14,Charles Noble
21,Benjamin Korman
30,Russell Tan
37,Alex Margolis
84,Henry Richey
b,r,e,a,k
Shades,24
00,Alex Gekas
00,Bryan Dole
00,Christoper Duffy
00,Ciaran Young
00,Edward Stetson
00,Elliot Sakach
00,Emmett Williamson
00,Kai Harwood
00,Lennart Knight
00,Lucas McCallum
00,Maxwell Karlin
00,Michael Wentworth
00,Nick Altimari
00,Nico Christakos
00,Parth Tamboli
00,Reuben Hagen
00,Robert Van Ness
00,Rory Milsark
00,Tobias Harvey
b,r,e,a,k
Overcast,19
0,Bryan Bausinger
0,Christopher Losapio
0,Colin O'Keefe
0,Douglas Urbino
0,Giyeon Han
0,Avi Milder
0,Ryan Osborn
0,Sean Sweeney
0,Travis Bassano
0,Neil Gill
0,Paul DeGennaro
2,Jonathan Willman
4,Ryan Shirk
8,Larry Fredsell
12,Xavier Schafer
13,William Johnson
16,Kevin Gordon
17,Craig Garrow
20,Dakota Cross
47,Martin Sak
73,Mark Hansen
77,Brian Erwin
b,r,e,a,k
Red Tide,18
0,Alberto Morales
0,Bennett Allen
0,Evan Holliday
0,Gabe Doble
0,Justin Fereshetian
0,Matthew Johnson
0,Matthew Toothaker
0,Troy Goddu
3,Franklin Ahrens
31,Neil Franklin
b,r,e,a,k
BUDA,22
0,David Hwang
0,Graham Whiting
0,Brendan King
0,Leo Narbonne
0,Liam Condon
0,Orion Cable
0,Zach Jaromin
1,August Williams
3,Samuel Losen
5,Wyatt Kellman
15,James Cairn
21,Jeremy Bernier
28,Cole MacKinnon
36,Zach Riley
88,Lukas Becker
b,r,e,a,k
Club M - Magma,23
0,Benoit  Lapointe
0,BENOIT RIENDEAU
0,Bryan Mallette
0,Antoine Lavigne
0,Dany Fortin
0,Dylan Lacombe Burgoyne
0,Jean-François Morin
0,Jean-Philippe Hamel
0,Jean-Philippe Auger
0,Jeremy Jacob Lagacé
0,Marc-Alexandre Houle
0,Olivier Gamache
0,Raphael Morin
3,Georges-Emile Cote
4,Ciprian Iorga
5,Haroun-Rabah Aramis
6,Antony Labrecque
8,Jeremy Chiniara
17,Mohamed Chrouh
19,Daniel Heredia
24,Farouk Oussaada
28,Daniel Vogt
28,Jonathan Paradis
36,Maxime Jacquemont
47,Francois Duchesneau
69,David Comeau-Cadieux
93,Guillaume Castelain
b,r,e,a,k
s,t,a,g,e,s
pools,Elite - Pool Play
pool,Elite - Pool A
DiG,Quantum,15,2,"06/23/2018, 09:00",Elite - Pool A,Final
Deathsquad,Sherbrooke Gentlemen's Club,14,16,"06/23/2018, 09:00",Elite - Pool A,Final
DiG,Sherbrooke Gentlemen's Club,15,4,"06/23/2018, 11:00",Elite - Pool A,Final
Deathsquad,Quantum,15,11,"06/23/2018, 11:00",Elite - Pool A,Final
DiG,Deathsquad,15,3,"06/23/2018, 13:00",Elite - Pool A,Final
Quantum,Sherbrooke Gentlemen's Club,6,15,"06/23/2018, 13:00",Elite - Pool A,Final
pool,Elite - Pool B
Colt,Bruises,15,11,"06/23/2018, 09:00",Elite - Pool B,Final
Big Wrench,Westchester Magma Bears,15,2,"06/23/2018, 09:00",Elite - Pool B,Final
Colt,Westchester Magma Bears,15,8,"06/23/2018, 11:00",Elite - Pool B,Final
Big Wrench,Bruises,15,11,"06/23/2018, 11:00",Elite - Pool B,Final
Colt,Big Wrench,9,15,"06/23/2018, 15:00",Elite - Pool B,Final
Bruises,Westchester Magma Bears,12,14,"06/23/2018, 15:00",Elite - Pool B,Final
pool,Elite - Pool C
Lost Boys,Club M - Manic,14,11,"06/23/2018, 09:00",Elite - Pool C,Final
Pesterbug,Shade,11,12,"06/23/2018, 09:00",Elite - Pool C,Final
Lost Boys,Shade,14,12,"06/23/2018, 13:00",Elite - Pool C,Final
Pesterbug,Club M - Manic,14,16,"06/23/2018, 13:00",Elite - Pool C,Final
Lost Boys,Pesterbug,15,8,"06/23/2018, 15:00",Elite - Pool C,Final
Club M - Manic,Shade,15,11,"06/23/2018, 15:00",Elite - Pool C,Final
pool,Elite - Pool D
All Bashed Out,NSOM,11,13,"06/23/2018, 11:00",Elite - Pool D,Final
Blueprint,Discountry Ultimate Club,12,11,"06/23/2018, 11:00",Elite - Pool D,Scheduled
All Bashed Out,Discountry Ultimate Club,15,8,"06/23/2018, 13:00",Elite - Pool D,Scheduled
Blueprint,NSOM,15,14,"06/23/2018, 13:00",Elite - Pool D,Final
All Bashed Out,Blueprint,15,11,"06/23/2018, 15:00",Elite - Pool D,Final
NSOM,Discountry Ultimate Club,15,9,"06/23/2018, 15:00",Elite - Pool D,Scheduled
b,r,e,a,k
clusters,Elite - 2v3 Crossover
cluster,Elite - 2v3 Crossovers
NSOM,Deathsquad,15,13,"06/23/2018, 17:00",,Final
Colt,Shade,15,6,"06/23/2018, 17:00",,Final
Sherbrooke Gentlemen's Club,Blueprint,12,13,"06/23/2018, 17:00",,Final
Club M - Manic,Westchester Magma Bears,15,5,"06/23/2018, 17:00",,Final
b,r,e,a,k
brackets,Elite - Playoffs
bracket,1st Place (Elite)
DiG,Colt,15,4,"06/24/2018, 09:00",Quarters (1st),Final
All Bashed Out,Club M - Manic,15,8,"06/24/2018, 09:00",Quarters (1st),Final
Lost Boys,NSOM,10,15,"06/24/2018, 09:00",Quarters (1st),Final
Big Wrench,Blueprint,15,10,"06/24/2018, 09:00",Quarters (1st),Final
DiG,All Bashed Out,15,7,"06/24/2018, 11:00",Semis (1st),Final
NSOM,Big Wrench,13,15,"06/24/2018, 11:00",Semis (1st),Final
DiG,Big Wrench,15,5,"06/24/2018, 13:00",Finals (1st),Final
bracket,3rd Place
All Bashed Out,NSOM,16,17,"06/24/2018, 13:00",Finals (3rd),Final
bracket,5th Place
Colt,Club M - Manic,13,12,"06/24/2018, 13:00",Semis (5th),Final
Lost Boys,Blueprint,15,12,"06/24/2018, 13:00",Semis (5th),Final
Colt,Lost Boys,9,6,"06/24/2018, 15:00",Finals (5th),Final
bracket,7th Place
Club M - Manic,Blueprint,10,15,"06/24/2018, 15:00",Finals (7th),Final
bracket,9th Place
Shade,Westchester Magma Bears,14,9,"06/24/2018, 11:00",Semis (9th),Final
Deathsquad,Sherbrooke Gentlemen's Club,13,14,"06/24/2018, 11:00",Semis (9th),Final
Shade,Sherbrooke Gentlemen's Club,15,9,"06/24/2018, 13:00",Finals (9th),Final
bracket,11th Place
Westchester Magma Bears,Deathsquad,13,14,"06/24/2018, 13:00",Finals (11th),Final
bracket,13th Place
Quantum,Discountry Ultimate Club,10,15,"06/24/2018, 13:00",Semis (13th),Final
Bruises,Pesterbug,9,15,"06/24/2018, 13:00",Semis (13th),Final
Discountry Ultimate Club,Pesterbug,6,15,"06/24/2018, 15:00",Finals (13th),Final
b,r,e,a,k
pools,Classic - Pool Play
pool,Classic - Pool E
Red Circus,Watch City,15,10,"06/23/2018, 09:00",Classic - Pool E,Final
Shrike,Shades,15,4,"06/23/2018, 09:00",Classic - Pool E,Final
Red Circus,Shades,15,1,"06/23/2018, 13:00",Classic - Pool E,Final
Shrike,Watch City,15,14,"06/23/2018, 13:00",Classic - Pool E,Final
Red Circus,Shrike,15,11,"06/23/2018, 17:00",Classic - Pool E,Final
Watch City,Shades,11,4,"06/23/2018, 17:00",Classic - Pool E,Final
pool,Classic - Pool F
Red Tide,BUDA,15,11,"06/23/2018, 11:00",Classic - Pool F,Final
Overcast,Club M - Magma,14,8,"06/23/2018, 11:00",Classic - Pool F,Final
Red Tide,Club M - Magma,16,14,"06/23/2018, 15:00",Classic - Pool F,Final
Overcast,BUDA,13,9,"06/23/2018, 15:00",Classic - Pool F,Final
Red Tide,Overcast,11,15,"06/23/2018, 17:00",Classic - Pool F,Final
BUDA,Club M - Magma,15,7,"06/23/2018, 17:00",Classic - Pool F,Final
b,r,e,a,k
brackets,Classic - Playoffs
bracket,1st (Classic)
Club M - Magma,Overcast,0,0,"06/24/2018, 17:00",Ignore,Cancelled
Red Circus,Club M - Magma,10,15,"06/24/2018, 09:00",Quarters (Classic 1st),Final
Red Tide,Watch City,15,12,"06/24/2018, 09:00",Quarters (Classic 1st),Final
Shrike,BUDA,14,12,"06/24/2018, 09:00",Quarters (Classic 1st),Final
Overcast,Shades,15,3,"06/24/2018, 09:00",Quarters (Classic 1st),Final
Club M - Magma,Red Tide,15,14,"06/24/2018, 11:00",Semis (Classic 1st),Final
Shrike,Overcast,7,15,"06/24/2018, 11:00",Semis (Classic 1st),Final
Quantum,Club M - Magma,12,14,"06/24/2018, 15:00",Finals (Classic 1st / Tied-16th),Final
Bruises,Overcast,9,14,"06/24/2018, 15:00",Finals (Classic 1st / Tied-16th),Final
bracket,3rd Place
Red Tide,Shrike,14,13,"06/24/2018, 15:00",Finals (3rd),Final
bracket,5th Place
Red Circus,Watch City,15,14,"06/24/2018, 11:00",Semis (5th),Final
BUDA,Shades,1,0,"06/24/2018, 11:00",Semis (5th),Final
Red Circus,BUDA,11,9,"06/24/2018, 15:00",Finals (5th),Final
bracket,7th Place
Watch City,Shades,15,5,"06/24/2018, 15:00",Finals (7th),Final
b,r,e,a,k
