Cooler Classic 30,Club - Mixed ,18,8,2018
https://play.usaultimate.org/events/Cooler-Classic-30/schedule/Mixed/Club-Mixed
Woodwork,1
16,Rachel Dreher
18,Aaron Swaney
19,Cameron Sisler
22,Hannah Aaron
23,Alexander Sextro
26,Grant Eschmann
28,Chase Johnson
29,Mason Zetsch
33,Elizabeth Honigfort
36,Nathan Pyles
37,Mary Hermann
70,Matt Francis
99,Spencer Hollenbach
b,r,e,a,k
Tequila Mockingbird,6
0,Chesca Calicdan
0,Cheyenne Lopez
0,Jimmy Robin
4,Aaron Del Real
5,Natalie Stephan
7,Jennifer Wu
8,Aaron Bryant
11,Sarah Jane Yockers
12,Jules Daugherty
12,Lauren Piontek
13,VALERIE IEHL
15,Gabby Skifstad
16,Jesse Handler
17,Nathan Buddemeyer
18,Emily Verticchio
21,Ben Foster
23,Jonathan Burrell
24,Eric Hallow
28,Channing Watson
33,Luke Ding
34,Amelia Ni
45,Brenton Hard
54,Jack Carmichael
55,Carlos Wolle
84,CJ O'Brien
86,Conrad Nguyen
99,Emma Howard
b,r,e,a,k
Bird,7
00,Lilly Shapiro
00,Stephen Alexander
01,Cole Jensen
02,Emilia Lewis
03,Greta Friedrichs
05,Samuel Hedrick
07,David Shirley
08,Patrick La Course
10,Erin Mirocha
11,Clara Bils
11,Philip Arets
14,Jessica Hendrickson
16,Rebecca Morales
17,Jacob Salzman
18,Angelica Montanez
21,Anna Barrett
22,Natalie Cooper
23,David Stemper
27,Leslie Boey
28,Joseph Nelson
29,Brian Paulus
30,THOMAS GRUND
43,Dustin Rooffener
44,Jonathan Lovagnini
61,Brandon Matis
81,Tyler Meyer
97,Steven Anderson
b,r,e,a,k
panIC,9
0,David Dalton
0,Gabe Etzel
0,Alexis Rose
0,Jessica Derry
0,Nathan Gibbons
0,Nicole Johnson
0,Peter Shayman
0,Ryan Spaulding
0,Samantha Bartlett
0,Sean Parker
0,Zane Pennock
4,Sean Schoephorster
8,MEGAN TARASI
19,Steven Czechowski
20,Rebecca Crown
21,Bryan Brooks
21,James Hean
22,Nick Culver
24,Thomas Robinson
33,James (Drew) Walters
37,Thomas Kindred
42,Raleke Hughes
66,Tyler Stutzman
99,Dana Demmert
b,r,e,a,k
Boomtown Pandas,17
0,Alex Larsen
0,Anne Gardner
0,ATZIE SOBOTIK
0,Chris Sykes
0,Katie Abrams
0,Peter Lin
0,Trisha Denruiter
1,Vanessa Villasenor
2,Edward Kaul
4,Jessie Hsu
6,Jessica Frommgen
7,Benjamin Hsu
11,Ben Hutchinson
12,Margaret Punt
13,Rachel Wilson
14,Michael Denruiter
16,Courtney Trescher
20,Colin Punt
20,Jordyn Mroczenski
21,John Schaefer
24,Kaitlynne Roling
43,Toby Wex
51,Nathan Kleinhans
66,Laura Hsu
66,April Peterson
84,Vincent Hsu
94,Derek Weisberg
b,r,e,a,k
Jabba,16
0,Alyssa Bennett
0,Ben Stanger
0,Bridget Doherty
0,Abby Jones
0,Alex Dudzik
0,Cora Wigger
0,Duško Yovovich
0,Jennifer Shouldice
0,Jeremy Jones
0,Jessica Fairhurst
0,Kamille Martinez
0,Leigh Abrams
0,Meredyth Staunch
0,Michelle Kruse
0,Sachi Seilie
0,Steve Janda
0,Travis Salk
1,Zach Marcus
15,Alex Yue
20,Erika Murray
20,Matt Afryl
27,Ryan Logan
28,Thomas Logisz
69,Casimir Ksiazek III
80,Joseph Cacciatore
82,Steven Jeka
b,r,e,a,k
LudICRous,24
1,Mina Rao
4,Joel Tee
5,Rebecca Winkel
7,Michael Schwartz
12,Will Downey
16,Austen Bruns
18,Jacob Grund
19,Bethany Lehman
21,Cade Zschiesche
22,David Hanson
25,Christopher Ryan
27,Dustin Ewalt
28,Annika Jensen
36,Stevie Watts
91,Anthony Milnes
b,r,e,a,k
ELevate,10
4,William Horwitz
5,Emily Molloy
7,Timothy Burnett
11,Lauren Miller
12,Pedrom Rejai
13,Samantha Sadlier
14,Kelly Hopps
16,Alexandra Moxley
18,Mati Chessin
19,IAN NIFOUSSI
21,Benjamin Macalalad
22,Giovi Kelly
23,Kristine McLellan
26,Scott Anding
27,Molly O’Donnell
30,Jessica Johnson
33,Alyssa Graham
36,Talia Fishman-Strait
40,Alex Kowalczuk
55,Alex Nimmer
71,Matt Gubernick
79,Tim Hopps
81,Jake Smith
84,Owen Demke
99,Samuel Fishman-Strait
b,r,e,a,k
Mousetrap,18
0,ELEANOR KNAUSS
0,Katie Fan
2,Henry Fremont
4,Margo Stanger
5,Caroline Fallon
7,Zeke Witter
8,Hans Kittleson
10,Samuel Erickson
12,Spencer Olsson
13,Aikum Talwar
14,Jason Tiedt
19,Jay Taves
21,Jack Mallmann
24,Jonathan Bauer
26,Katharine Lewer
27,Elizabeth Ebert
28,Laura Borth
34,Ben Moody
36,Catherine Morita
40,Ida Sobotik
49,Cadence Sawyer
56,Gregory Korinek
64,Michael Fehling
77,Vikas Biliyar
87,Rebecca Pols
b,r,e,a,k
Coalition Ultimate,15
0,Abby Jacobson
0,Eleanor Heberlein
0,EVAN HEBERLEIN
0,Jennifer Degen
0,Joseph Sheehan
0,Mariah Dorner
0,Michael Ackerman
0,Paul Lapham
0,Taylor Krzmarcik
0,Tyler Latham
1,Rebecca Henry
4,Scott Schultz
5,Jacob Johnson
13,Evan Ford
19,Gavin Sunde
21,Cody Rondeau
23,Clancy Ferris
34,Caty Ferris Schultz
43,Michael Loper
62,Marcus Cannon
77,Cole Edgell
99,Isabelle Wolf
b,r,e,a,k
Mixed Duluth,23
0,JANET BELLAND
0,Karisa Mueller
0,Katelin Goebel
0,Kathleen Burich
0,Kyle Anderson
0,Leah Budnik
0,Melissa Bierschenk
0,Mitchell Zukowski
0,Ann Farley
0,Sean Skinner
0,Shannon Mathews
2,Abigail Greaves
4,Ryan Nord
8,Ben Nicklay
30,Nick Budnik
34,Dave Schaeffer
35,Shaun LaFrance
55,Patrick Jones
b,r,e,a,k
Spirit Fowl,14
0,Andrew Johnson
0,Carlos Lopez
0,Daniel Herrera
0,Elizabeth Zobitz
0,Frieda Manthei
0,Grady Johnson
0,Hailey Shoemaker
0,Lauren Lingenfelter
0,Meghan Hayden
0,Natalie Conkins 
0,Nicholas Gleason
0,Tiffany Lui
0,Vincent Vik
10,Derek Klein
13,Camille Curley
13,Isaac Nelson
13,Sam Eherenman
14,Maggie  Grunow 
17,Hannah Zobitz
17,JENNY ASTURIAS
18,Sam Berglund
28,Isabel Olson
28,Jack Rosenwinkel
36,Donald Wood
73,Charlie Enders
84,Edward Mallak
b,r,e,a,k
Mad Udderburn,11
0,Amber Heffernan
0,Andrew Landphier
0,David McFarland-Porter
0,David Kurian
0,Chris Schroeder
0,Roman Ryan
0,Tessa Berry
1,Grace Compton
2,Kevin Pochatila
3,Jake Wilson
4,Joey Knutson
5,Marianna Malin
6,Anders Shropshire
7,Amber Waite
8,Ben Schewe
11,Spike Pike
18,Julia Sauerhaft
23,Lizabeth Held
24,Matt Coogan
25,Stephanie Smith
27,Clay Schelitzche
32,Amanda Hellestad
33,Aidan Boyle
41,Molly Schelitzche
55,Bo Strauss
88,Brad Ellis
b,r,e,a,k
Mastodon,22
0,Caitlin Hartlaub
0,Cam Keys
0,Courtney Collingwood
0,Courtney Botelho
0,Anh Bao Tran-Le
0,Emily Ginsburg
0,Everett Johnson
0,Kendra Reams
0,Lacie Schroeder
0,Megan Eberle
0,Trevor Smith
1,Caitlin Clevenger
1,Erik Dixon-Anderson
4,Lindsey Tushman
7,Steven Whelan
9,Sarah Mancina
13,Daniel Huncosky
17,Jacob Schlaefer
19,John (Christian) Lukas
19,Aric Doak
20,Noah Webster
31,Thomas Jungbluth
33,Justin Chenevert
99,Lauren Bradshaw
b,r,e,a,k
Pushovers,19
0,Erin Moeller
1,Greg Philip
1,Derek Anderson
11,Megan Schmidt
12,Michelle Christy
27,Megan Hughes
31,Ross Screaton
35,Anders Zetterlund
35,Dana Jefferson
52,Jailene Lopez
52,Kai Knudson
b,r,e,a,k
Pandamonium,12
0,Cloid Green
0,Jesse Peterson-Brandt
0,Jonah Shaver
0,Kaiya Sygulla
0,Alex Lord
0,Alison Kidd
0,Nicole Bridgland
0,Stephanie O'Connor
2,Ben Finkelstein
3,Matt Theisen
22,Mikhail Golben
38,Abigail Shilts
89,Micah Peterson-Brandt
b,r,e,a,k
Prion,13
0,Claire Follis
0,Cora Wessman
0,Drake Hill
0,Gloria Lee
0,JACOB BERGER
0,Maria Janina Sarol
1,JESUS OSORIO
2,Jeremy Goodsitt
2,"Luisa ""RJ"" Ruge-Jones"
3,Daniel McDonald
7,Laura Rolfes
9,Brittney Gorman
12,Amy Copper
16,Allison Chmaj
17,Mikayla Yoder
19,Michael Mitchaner
20,Scott Nelson
22,Andrew Almeter
25,Jesus Osorio
26,Erik Huemiller
29,Jake Corley
42,Brandon Carrel
46,Anthony Heath
52,John Wolff
69,Eric Badger
b,r,e,a,k
ALTimate Brews,20
0,Elizabeth Milovets
0,Heidi Umhoefer
0,Jessica Gross
0,Luke Bodnar
0,Craig Howering
0,Margrethe Hippensteel
0,Nicholas Jacobson
0,Rachel Taylor
0,Sarah Hopefl
0,Sushmita Lotlikar
0,Meghan Hawkins
0,TRAVIS BROWN
6,Katie Horsley
8,Brian Bierman
16,Alec Li
20,Misha Tseytlin
31,David Fabian
32,Timothy Willer
34,Amalia Gjerloev
51,Maximilian Christman
55,Mallory Prouty
86,Matt LaFever
b,r,e,a,k
Stackcats,21
0,Anthony Oplawski
0,Christopher Thomas
0,Andrew Gubernick
0,Halley McLean
0,Jackson Todd
0,Mark Valzonis
0,Matt Tansley
0,Monica Oplawski
0,Oreste (Rusty) Scioscia Jr
0,Samantha Swank
0,Saul Lipton
3,Samantha Thompson
6,Vincent Curkov
7,Michael Hyland
12,Ashley Betke
13,David Lindsey
14,Dennis Gisler
17,Julian Huvaere
20,Laramie Aspegren
23,Elizabeth Thorsell
23,Ashley Wagner
29,Talia Brewer
33,Sara Putnam
42,Benton Fletcher
57,Jonathan Alton
71,Andrew Reay
72,Zaray Buenrostro
b,r,e,a,k
s,t,a,g,e,s
pools,Power Pools
pool,Pool A
Woodwork,Chalice,13,3,"08/18/2018, 10:45",Pool A
Toast,Mojo Jojo,13,9,"08/18/2018, 10:45",Pool A
Woodwork,Mojo Jojo,13,3,"08/18/2018, 12:30",Pool A
Toast,Chalice,11,10,"08/18/2018, 12:30",Pool A
Woodwork,Toast,13,9,"08/18/2018, 14:15",Pool A
Chalice,Mojo Jojo,12,11,"08/18/2018, 14:15",Pool A
pool,Pool B
Northern Comfort,Tequila Mockingbird,13,10,"08/18/2018, 10:45",Pool B
Thoroughbred,Bird,13,9,"08/18/2018, 10:45",Pool B
Northern Comfort,Bird,12,9,"08/18/2018, 12:30",Pool B
Thoroughbred,Tequila Mockingbird,11,10,"08/18/2018, 12:30",Pool B
Northern Comfort,Thoroughbred,13,9,"08/18/2018, 14:15",Pool B
Tequila Mockingbird,Bird,11,10,"08/18/2018, 14:15",Pool B
b,r,e,a,k
pools,Tier 2 Pools
pool,Pool C
panIC,Boomtown Pandas,13,6,"08/18/2018, 09:00",Pool C
Jabba,LudICRous,13,3,"08/18/2018, 09:00",Pool C
panIC,LudICRous,13,1,"08/18/2018, 10:45",Pool C
Jabba,Boomtown Pandas,12,13,"08/18/2018, 10:45",Pool C
panIC,Jabba,13,6,"08/18/2018, 14:15",Pool C
Boomtown Pandas,LudICRous,13,4,"08/18/2018, 14:15",Pool C
pool,Pool D
ELevate,Mousetrap,13,5,"08/18/2018, 09:00",Pool D
Coalition Ultimate,Mixed Duluth,11,10,"08/18/2018, 09:00",Pool D
ELevate,Mixed Duluth,13,3,"08/18/2018, 12:30",Pool D
Coalition Ultimate,Mousetrap,11,13,"08/18/2018, 12:30",Pool D
ELevate,Coalition Ultimate,13,8,"08/18/2018, 14:15",Pool D
Mousetrap,Mixed Duluth,13,9,"08/18/2018, 14:15",Pool D
pool,Pool E
Mad Udderburn,Pushovers,13,10,"08/18/2018, 10:45",Pool E
Spirit Fowl,Mastodon,13,8,"08/18/2018, 10:45",Pool E
Mad Udderburn,Mastodon,11,10,"08/18/2018, 12:30",Pool E
Spirit Fowl,Pushovers,13,9,"08/18/2018, 12:30",Pool E
Mad Udderburn,Spirit Fowl,10,13,"08/18/2018, 14:15",Pool E
Pushovers,Mastodon,10,13,"08/18/2018, 14:15",Pool E
pool,Pool F
Pandamonium,ALTimate Brews,13,7,"08/18/2018, 09:00",Pool F
Prion,Stackcats,10,9,"08/18/2018, 09:00",Pool F
Pandamonium,Stackcats,13,12,"08/18/2018, 10:45",Pool F
Prion,ALTimate Brews,13,5,"08/18/2018, 10:45",Pool F
Pandamonium,Prion,12,11,"08/18/2018, 12:30",Pool F
ALTimate Brews,Stackcats,13,9,"08/18/2018, 12:30",Pool F
b,r,e,a,k
clusters,Crossover (Optional)
cluster,Crossovers
LudICRous,Stackcats,5,12,"08/18/2018, 16:00",
b,r,e,a,k
brackets,Gold Bracket
bracket,1st Place
Woodwork,Northern Comfort,15,10,"08/19/2018, 12:30",1st
Woodwork,Thoroughbred,15,8,"08/19/2018, 10:30",Semis
Toast,Northern Comfort,7,15,"08/19/2018, 10:30",Semis
Woodwork,Bird,15,11,"08/19/2018, 08:30",Quarters
Chalice,Thoroughbred,13,15,"08/19/2018, 08:30",Quarters
Toast,Tequila Mockingbird,14,12,"08/19/2018, 08:30",Quarters
Mojo Jojo,Northern Comfort,14,15,"08/19/2018, 08:30",Quarters
Bird,panIC,12,11,"08/18/2018, 16:00",Pre-Quarters
Chalice,Spirit Fowl,13,9,"08/18/2018, 16:00",Pre-Quarters
Tequila Mockingbird,Pandamonium,11,9,"08/18/2018, 16:00",Pre-Quarters
Mojo Jojo,ELevate,13,12,"08/18/2018, 16:00",Pre-Quarters
bracket,3rd Place
Thoroughbred,Toast,15,10,"08/19/2018, 12:30",3rd Place
bracket,5th Place
Bird,Tequila Mockingbird,15,11,"08/19/2018, 12:30",5th
Bird,Chalice,14,12,"08/19/2018, 10:30",5th Semis
Tequila Mockingbird,Mojo Jojo,15,9,"08/19/2018, 10:30",5th Semis
bracket,7th Place
Chalice,Mojo Jojo,15,9,"08/19/2018, 12:30",7th
b,r,e,a,k
brackets,Silver Bracket
bracket,9th Place
panIC,ELevate,15,10,"08/19/2018, 12:30",9th Place
panIC,Pandamonium,15,12,"08/19/2018, 10:30",9th Semis
Spirit Fowl,ELevate,8,14,"08/19/2018, 10:30",9th Semis
panIC,Mad Udderburn,15,6,"08/19/2018, 08:30",9th Quarters
Jabba,Pandamonium,10,15,"08/19/2018, 08:30",9th Quarters
Spirit Fowl,Boomtown Pandas,14,13,"08/19/2018, 08:30",9th Quarters
Prion,ELevate,7,14,"08/19/2018, 08:30",9th Quarters
Mad Udderburn,ALTimate Brews,13,8,"08/18/2018, 16:00",9th Pre-Q
Mousetrap,Jabba,12,13,"08/18/2018, 16:00",9th Pre-Q
Boomtown Pandas,Coalition Ultimate,13,7,"08/18/2018, 16:00",9th Pre-Q
Prion,Mastodon,13,5,"08/18/2018, 16:00",9th Pre-Q
bracket,11th Place
Pandamonium,Spirit Fowl,15,10,"08/19/2018, 12:30",11th
bracket,13th Place
Jabba,Boomtown Pandas,11,15,"08/19/2018, 12:30",13th
Mad Udderburn,Jabba,10,14,"08/19/2018, 10:30",13th Semis
Boomtown Pandas,Prion,13,12,"08/19/2018, 10:30",13th Semis
bracket,15th Place
Mad Udderburn,Prion,11,14,"08/19/2018, 12:30",15th
b,r,e,a,k
brackets,Bronze Bracket
bracket,17th Place
Mousetrap,Mastodon,15,9,"08/19/2018, 12:30",17th Place
Mousetrap,Coalition Ultimate,15,5,"08/19/2018, 10:30",17th Semis
Mixed Duluth,Mastodon,8,15,"08/19/2018, 10:30",17th Semis
Mousetrap,Pushovers,15,10,"08/19/2018, 08:30",17th Quarters
Stackcats,Coalition Ultimate,13,14,"08/19/2018, 08:30",17th Quarters
ALTimate Brews,Mixed Duluth,9,15,"08/19/2018, 08:30",17th Quarters
LudICRous,Mastodon,5,15,"08/19/2018, 08:30",17th Quarters
bracket,19th Place
Coalition Ultimate,Mixed Duluth,13,7,"08/19/2018, 12:30",19th
bracket,21st Place
Stackcats,ALTimate Brews,15,6,"08/19/2018, 12:30",21st
Pushovers,Stackcats,8,15,"08/19/2018, 10:30",21st Semis
ALTimate Brews,LudICRous,15,6,"08/19/2018, 10:30",21st Semis
bracket,23rd Place
Pushovers,LudICRous,15,6,"08/19/2018, 12:30",23rd
b,r,e,a,k
