HoDown ShowDown XXII,Club - Mixed ,11,8,2018
Asheville,NC,2018-08-11,2018-08-12
https://play.usaultimate.org/events/HoDown ShowDown XXII/schedule/Mixed/Club-Mixed
Murmur,1
32,Jenna Bibby
42,Adam Norrbom
69,Katie Miller
88,Jonathan Choi
b,r,e,a,k
'Shine,9
teamInfo,,"Nashville, Tennessee",,,@nashvilleshine
1,Sofia Lima
2,Claire Bidigare-Curtis
4,Meaghan  Creamer
5,Michael Krohn
7,CHRIS TINGLE
8,Ross Markle
9,Jackie Sullivan
10,Zachary Hipkens
11,James Wright
12,Colleen Wright
14,Noel Holmes
15,Ray Davenport
16,Nick Thomas
18,Mariana Rodríguez
20,Richard Salmon
21,Kelsey Foster
22,Mary Turner
23,Elizabeth Barnes
24,Michael Alberts
25,Sara Gibson
28,Cameron Snook
42,Andy Barnhart
49,Reuben Griggs
98,Maureen Gleason
b,r,e,a,k
Mutiny,5
teamInfo,,"St. Petersburg, Florida",,,https://twitter.com/MutinyUltimate
0,Bryana Yocum
0,Cody McAlpine
0,JACLYN LOPEZ
0,Michael Goldsmith
0,Rocco Davis
0,Ronald Peterman
0,ROSALIE SPADA
0,Sam Pederson
0,Sean Salamone
0,Sharon Pederson
0,Shirlene Sze
0,Timothy Chafin
0,Trystan Grzyll
0,Yale Lin
5,Brandon Perales
6,Jennifer Schimmel
7,Corinne Barrett
10,Therese Doebler
13,Sean Flannigan
14,Alexander Guedouar
14,Tim Scheu
20,Tom Chrzanowski
20,Braanah Craig
22,Natasha Bedoya-Ross
30,Domenick Fareri
52,Amy Stewart
91,Mark Schimmel
b,r,e,a,k
Malice in Wonderland,4
teamInfo,,"Raleigh, North Carolina",,,
0,Alexa Barwick
0,Benjamin Noblit
0,Bryan Brickhouse
0,Chanchai Hongdoxmai
0,Derrick Marcey
0,Emma Bartlett
0,Beth Stagner
0,James Mangum
0,Kevin Harrow
0,Lauren Marcey
0,Layla Williams
0,Mark Saba
0,Michael Wetzel
0,Noah Donnell-Kilmer
0,Serina Mazzoni-Putman
0,Katy Harris
0,Kelly Merhar
3,Eric Martin
7,Beth Gifford
21,Kelly Sullivan
25,Alexandra (Sasha) Resnick
26,Troy Miller
27,Aaron Saylor
38,Jeffrey Perkins
40,Eric Snavely
48,Brian Elgart
99,Matt Tucker
b,r,e,a,k
BRUH,20
teamInfo,,"Clemson, South Carolina",,,
0,Isaac Arnold
0,James Miller
0,Katrina Schubert
0,Kristin Herbert
0,Lauren Sliva
0,Luke Wetzel
0,Mary Reeves
0,Michelle Kott
0,Mitchell Fanning
0,David Wingo
0,Grant Odenwald
0,Hannah Abraham
15,Hunter Hamvas
21,Andrew Brownlow
33,Alex Hintz
37,David Evans
b,r,e,a,k
Fifth Element,16
teamInfo,,"Louisville, Kentucky",,https://www.facebook.com/groups/704218569655199/,https://twitter.com/FEUltimate
0,Brittney Tooker
0,Charles Allen
0,Colin Copler
0,Erin Mann
0,Joseph Dininger
0,Joshua McHargue
0,Katherine Meyer
0,Katherine Voss
0,Ray Yeager
0,Ryland Barton
0,Thomas Filiatreau
1,Rick Stewart
5,Adam Holstein-Seibert
9,Russell Allen
10,Justin Wilson
17,Amanda Gellhaus
28,Conor King
35,Tess McGrew
37,Seth Pierce
45,Tracie Anderson
49,Matt Rosenfield
89,Stephen Mucci
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Murmur,Moonshine,11,9,"08/11/2018, 09:00",Pool A,Final
Cahoots,Liquid Hustle,13,8,"08/11/2018, 09:00",Pool A,Final
Murmur,Liquid Hustle,13,7,"08/11/2018, 10:45",Pool A,Final
Cahoots,LoveShack,13,7,"08/11/2018, 10:45",Pool A,Final
Murmur,LoveShack,13,5,"08/11/2018, 12:30",Pool A,Final
Moonshine,Liquid Hustle,13,9,"08/11/2018, 12:30",Pool A,Final
Moonshine,LoveShack,8,13,"08/11/2018, 14:15",Pool A,Final
Murmur,Cahoots,12,10,"08/11/2018, 14:15",Pool A,Final
LoveShack,Liquid Hustle,13,9,"08/11/2018, 16:00",Pool A,Final
Cahoots,Moonshine,13,8,"08/11/2018, 16:00",Pool A,Final
pool,Pool B
JLP,Jackpot,13,6,"08/11/2018, 09:00",Pool B,Final
Method,Carolina Reign,13,7,"08/11/2018, 09:00",Pool B,Final
JLP,Carolina Reign,13,3,"08/11/2018, 10:45",Pool B,Final
Method,Mixfits,11,13,"08/11/2018, 10:45",Pool B,Final
JLP,Mixfits,9,13,"08/11/2018, 12:30",Pool B,Final
Jackpot,Carolina Reign,13,7,"08/11/2018, 12:30",Pool B,Final
Jackpot,Mixfits,9,13,"08/11/2018, 14:15",Pool B,Final
JLP,Method,8,13,"08/11/2018, 14:15",Pool B,Final
Mixfits,Carolina Reign,13,3,"08/11/2018, 16:00",Pool B,Final
Method,Jackpot,9,13,"08/11/2018, 16:00",Pool B,Final
pool,Pool C
Rowdy,Trash Pandas,13,9,"08/11/2018, 09:00",Pool C,Final
FlyTrap,RnB,13,7,"08/11/2018, 09:00",Pool C,Final
Rowdy,RnB,13,6,"08/11/2018, 10:45",Pool C,Final
FlyTrap,Goose Lee,13,10,"08/11/2018, 10:45",Pool C,Final
Rowdy,Goose Lee,13,7,"08/11/2018, 12:30",Pool C,Final
Trash Pandas,RnB,13,5,"08/11/2018, 12:30",Pool C,Final
Trash Pandas,Goose Lee,13,6,"08/11/2018, 14:15",Pool C,Final
Rowdy,FlyTrap,6,13,"08/11/2018, 14:15",Pool C,Final
Goose Lee,RnB,13,8,"08/11/2018, 16:00",Pool C,Final
FlyTrap,Trash Pandas,13,8,"08/11/2018, 16:00",Pool C,Final
pool,Pool D
Malice in Wonderland,'Shine,8,11,"08/11/2018, 09:00",Pool D,Final
Mutiny,BRUH,13,4,"08/11/2018, 09:00",Pool D,Final
Malice in Wonderland,BRUH,11,4,"08/11/2018, 10:45",Pool D,Final
Mutiny,Fifth Element,13,7,"08/11/2018, 10:45",Pool D,Final
Malice in Wonderland,Fifth Element,11,4,"08/11/2018, 12:30",Pool D,Final
'Shine,BRUH,11,4,"08/11/2018, 12:30",Pool D,Final
'Shine,Fifth Element,11,9,"08/11/2018, 14:15",Pool D,Final
Malice in Wonderland,Mutiny,8,11,"08/11/2018, 14:15",Pool D,Final
Fifth Element,BRUH,9,13,"08/11/2018, 16:00",Pool D,Final
Mutiny,'Shine,7,12,"08/11/2018, 16:00",Pool D,Final
b,r,e,a,k
brackets,HoDown Champion
bracket,ShowDown Champion
'Shine,Mixfits,13,15,"08/12/2018, 15:00",Championship,Final
Murmur,'Shine,13,15,"08/12/2018, 13:00",Semifinals,Final
Mutiny,Mixfits,9,15,"08/12/2018, 13:00",Semifinals,Final
Murmur,Trash Pandas,14,9,"08/12/2018, 11:00",Quarterfinals,Final
'Shine,Rowdy,15,13,"08/12/2018, 11:00",Quarterfinals,Final
Mutiny,FlyTrap,15,12,"08/12/2018, 11:00",Quarterfinals,Final
Malice in Wonderland,Mixfits,8,15,"08/12/2018, 11:00",Quarterfinals,Final
JLP,Trash Pandas,16,17,"08/12/2018, 09:00",PreQuarters,Final
Rowdy,Method,15,12,"08/12/2018, 09:00",PreQuarters,Final
Mutiny,LoveShack,14,11,"08/12/2018, 09:00",PreQuarters,Final
Cahoots,Malice in Wonderland,11,15,"08/12/2018, 09:00",PreQuarters,Final
bracket,Third
Murmur,Mutiny,11,4,"08/12/2018, 15:00",3rd Finals,Final
bracket,Fifth
FlyTrap,Malice in Wonderland,15,12,"08/12/2018, 15:00",5th Finals,Final
Trash Pandas,FlyTrap,15,16,"08/12/2018, 13:00",5th Semifinals,Final
Rowdy,Malice in Wonderland,9,14,"08/12/2018, 13:00",5th Semifinals,Final
bracket,Seventh
Trash Pandas,Rowdy,0,0,"08/12/2018, 15:00",7th Finals,Final
b,r,e,a,k
brackets,Ninals
bracket,Ninals
Jackpot,Method,0,0,"08/12/2018, 13:00",SemiFinals,Cancelled
LoveShack,Moonshine,0,0,"08/12/2018, 13:00",SemiFinals,Cancelled
JLP,Jackpot,12,13,"08/12/2018, 11:00",quarterninals,Final
Goose Lee,Method,12,13,"08/12/2018, 11:00",quarterninals,Final
LoveShack,BRUH,14,6,"08/12/2018, 11:00",quarterninals,Final
Moonshine,Cahoots,12,9,"08/12/2018, 11:00",quarterninals,Final
Jackpot,RnB,15,14,"08/12/2018, 09:00",Preninals,Final
Goose Lee,Carolina Reign,15,4,"08/12/2018, 09:00",Preninals,Final
BRUH,Liquid Hustle,15,12,"08/12/2018, 09:00",Preninals,Final
Moonshine,Fifth Element,13,12,"08/12/2018, 09:00",Preninals,Final
bracket,Eleventh
Moonshine,LoveShack,11,9,"08/12/2018, 15:00",11th Finals,Final
bracket,Thirteenth
JLP,Cahoots,13,10,"08/12/2018, 15:00",13th Finals,Final
JLP,Goose Lee,13,10,"08/12/2018, 13:00",13th Semifinals,Final
Cahoots,BRUH,13,6,"08/12/2018, 13:00",13th Semifinals,Final
