Oak Creek Invite 2018,College - Men ,17,3,2018
Axton,VA,2018-03-17,2018-03-18
https://play.usaultimate.org/events/Oak-Creek-Invite-2018/schedule/Men/CollegeMen/
Connecticut,1
13,Kees Humes
14,Asher Kolman
15,Jeremy Smith
18,Jonah Greenberg
19,Dominic Chui
23,Nathaniel Jones
33,Tucker Lemos
39,Harry Kamian
41,William Newton
59,Richard Saint
69,Luke Passannante
76,Daniel Ortiz
77,Matias Korfmacher
82,Kirby Gordon
88,Jake Marrus
b,r,e,a,k
Davidson,12
teamInfo,DUFF,"Davidson, North Carolina",,https://www.facebook.com/DavidsonUltimate/,https://mobile.twitter.com/DUFF_Cats?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
0,Aidan O'Neill
0,Cole Thornton
0,Harry Warren
0,Isaac Mervis
0,Jack Swinson
0,Jerry Chang
0,Max Vierling
0,Michael Robertson
0,Michael Bauman
0,Mohammad Saad Farooq
0,Kevin Endersby
0,Mac Harris
0,Ryan Almeida
0,Samuel Lidsky
0,William Stifel
7,Cullen MacDowell
8,Jonathan Phillips
19,Matthew Singleton
27,Alex Berro
45,Dustin Smith
69,Paul Brennan
88,Soren Emerson
b,r,e,a,k
High Point,20
teamInfo,High Point University Bagheera,"High Point, North Carolina",,,https://www.twitter.com/hpu_ultimate
0,Michael Tesauro
1,Nick Ginn
3,Dylan Stinner
4,Bryan Fortier
5,Christopher Barosi
6,William Jepsen
7,Conner Dominick
11,austin morris
12,christopher Trudeau
13,Pete Isler
14,Michael Sellers
20,Jake Heins
22,Ryan Willome
23,Collin Frankhouser
25,Matt Corio
69,Luke Verdeur
69,Zack Olguin
83,Joseph Crowley
84,Timothy Rizzo
88,William Peters
94,Josh Verdeur
b,r,e,a,k
James Madison (B),23
teamInfo,Smellfish,"Harrisonburg, Virginia",http://www.jmu.edu/recreation/sport-clubs/clubs/mensultimate.shtml,,
0,Cole Gerhart
03,Alexander Williamson
04,MICHAEL NIHEN
05,Jonathan Fosbury
07,Nicholas Harbaugh
08,Luke Morello
10,Michael Knez
17,Trent Tolley
18,Kyle Jenkins
21,Jake Hamlin
28,Michael  Kocher
29,Nicholas Macke
32,Joseph Heller
33,Liam Young
35,Mitchell  Sasser
36,Jake MacLean
42,Vincent Mazzie
49,Anthony Rollin
50,Daniel McMahon
52,Kevin Reynolds
54,Noah Springer
66,Peter Ko
69,Josh Abbott
70,Patrick Foreman
71,Matthew  Sasser
74,Edison Rolle II
75,Harrison Vella
79,Lachlan Hudson
86,Adam Hitchings
88,grant gilden
95,Mason Randolph
b,r,e,a,k
Maryland (B),24
teamInfo,Solar Flair,"College Park, Maryland",,,https://www.twitter.com/umdfub
0,Alejandro Valdes
0,Carson Riggins
0,Colin Doscher
0,Ethan Winters
0,Jacob McIntosh
0,Matthew O'Brien
0,Matthew Laferriere
0,Matthew Joy
0,Nick DeMatt
0,ROBERT VAN FLEET
0,Sam Wenner
0,Seth  Gleaner
5,Charles Boulton
10,Calvin Burns
11,Paul Donald
14,Patrick Alderton
16,Gregory Fiola
19,Samuel Choiniere
21,James Biggins
27,W. Wesley Weidenhamer II
30,Tejas Mavanur
56,Brian McDevitt
b,r,e,a,k
William & Mary (B),28
teamInfo,Seahorse,"Williamsburg, Virginia",,,
0,Andrew Glinsman
0,Colin Cochran
0,Ethan Shelburne
0,Joshua Hobbs
0,Peter Jones
0,Peter Brown
0,Quinn Montante
1,Daniel Ricks
14,John Kost
17,Tyler Shaw
53,Yosef Ejigu
b,r,e,a,k
North Carolina State  (B),27
teamInfo,Six Pack,"Raleigh, North Carolina",,,
0,Ben Haydon
0,John Heaney
0,Keith Mellendorf
0,MinSung Kim
0,Victor Harpe
6,Daniel Caruso
09,Mason Longo
13,Eric Feigin
14,Nicholas Dean
22,Owen Talmadge
64,Max Randall
70,Julian Hester
b,r,e,a,k
Delaware (B),22
teamInfo,Sideshow,"Newark, Delaware",,,https://twitter.com/sideshow_b
0,Derek Alford
0,Elliott Chase
0,Ryan Cox
0,Tyler Gallucio
0,Zeke O'Neill
1,Denesh Chukkapalli
2,Brian Babecki
4,Chor In Lam
8,Benjamin Staud
9,Philip Ma
11,Thomas Harmon
12,Daniel Jahnsen
13,James Bonavita
17,Zach Roy
22,Jonathan Neifert
31,Cameron Ogden
32,Shawn Riley
42,Patrick Shannon
84,Desi Pilla
86,Kevin Kurzeja
b,r,e,a,k
Christopher Newport,21
teamInfo,Skymaul,"Newport News, Virginia",,,
0,Alex Posey
0,Alexander Hagen
0,Brock Moore
0,Noah Crawford
0,Sean Luffy
2,Joshua Nelson
3,Daniel Bauer
8,Charles Zambito
10,Conor Tidgewell
18,Nat Choate
32,Hunter Obenchain
43,Benjamin Perkins
76,Jake Boles
99,Joseph Ready
b,r,e,a,k
Virginia (B),25
teamInfo,Virginia-B,"Charlottesville, Virginia",,,
0,Andrew Carr
0,Bailey Costello
0,Chase Sylvia
0,Connor Greene
0,Dan Anthony
0,David Martineau
0,Elliot Murdock
0,Eric Stoloff
0,Jack Grunberg
0,Jack Schefer
0,James Dudley
0,Jonathan Sanders
0,Michael Hoherchak
0,Michael Logue
0,Nate Miles
0,Nicholas Brookings
0,Nicholas Newton
0,Ryan Wolfe
0,Samuel Maguire
0,Stephen Palathingal
0,Subhan Poudel
0,William Werenskjold
0,Zak Taylor
3,Edward Dunoyer
5,Sean Wolfe
7,Mark Umland
10,Ryan Barnett
11,Drew Wolanski
19,Mitchell Parry
21,Liam Tobin
22,Rob Fairfax
24,Christopher Oliveira
28,Matthew Thornton
31,Brendan Vachris
b,r,e,a,k
Princeton (B),29
teamInfo,Clockwork B,"Princeton, New Jersey",http://www.princeton.edu/~clockwrk/roster.html#/roster/1,,
0,Alex Yue
0,Alex Kaplan
0,Andrew Goh
0,Andrew Wang
0,Chris Evanko
0,Aditya Cowsik
0,Dan McGee
0,Frank Li
0,Jack Graham
0,Jeffrey Sun
0,Jonah  Vernejoul
0,Kapil Chandran
0,Matthew Maeder
0,Max Land
0,Patrick Chen
0,Pranav Rekapalli
0,Thomas Gwozdz
0,Will Rivitz
0,William Li
5,Aaron Balleisen
7,Joshua Murray
12,Albert Wang
16,Daniel Chae
17,Juneseo Lee
20,Louis Tambellini
22,Joseph Puryear III
42,Ryan McCaffrey
69,Christopher Chu
80,James Poindexter
b,r,e,a,k
North Carolina-Wilmington (B),26
teamInfo,KillaBeez,"Wilmington, North Carolina",,,https://twitter.com/killabuf
0,Glenn Navarro
00,Frank  Marshall
00,Brendan Bello
00,Jeff Burns
00,Nathan Williams
00,Ryan Dunning
01,Daniel Oakley
07,ANDREW TESKA
12,Jackson McJunkin
13,Christopher Byrd
14,Chuck Hensley
79,Seth Coley
99,Thomas Yoxsimer
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Connecticut,SUNY-Geneseo,13,5,"03/17/2018, 09:00",Pool A,Final
Connecticut,Villanova,12,10,"03/17/2018, 10:50",Pool A,Final
Georgetown,Villanova,12,8,"03/17/2018, 12:40",Pool A,Final
Georgetown,SUNY-Geneseo,13,9,"03/17/2018, 14:30",Pool A,Final
Connecticut,Georgetown,13,9,"03/17/2018, 16:20",Pool A,Final
Villanova,SUNY-Geneseo,13,9,"03/17/2018, 16:20",Pool A,Final
Villanova,North Carolina (B),13,11,"03/17/2018, 21:00",Pool A,Final
Georgetown,North Carolina (B),13,7,"03/17/2018, 22:50",Pool A,Final
North Carolina (B),SUNY-Geneseo,12,11,"03/18/2018, 12:40",Pool A,Final
Connecticut,North Carolina (B),13,6,"03/18/2018, 02:30",Pool A,Final
pool,Pool B
Maryland,SUNY-Binghamton,13,5,"03/17/2018, 09:00",Pool B,Final
Delaware,SUNY-Buffalo,13,9,"03/17/2018, 09:00",Pool B,Final
Maryland,Delaware,13,10,"03/17/2018, 10:50",Pool B,Final
Mary Washington,SUNY-Buffalo,13,7,"03/17/2018, 10:50",Pool B,Final
SUNY-Buffalo,SUNY-Binghamton,5,13,"03/17/2018, 12:40",Pool B,Final
Mary Washington,Delaware,11,9,"03/17/2018, 12:40",Pool B,Final
Maryland,SUNY-Buffalo,13,2,"03/17/2018, 14:30",Pool B,Final
Mary Washington,SUNY-Binghamton,13,10,"03/17/2018, 14:30",Pool B,Final
Maryland,Mary Washington,13,5,"03/17/2018, 16:20",Pool B,Final
Delaware,SUNY-Binghamton,13,7,"03/17/2018, 16:20",Pool B,Final
pool,Pool C
William & Mary,Princeton,13,11,"03/17/2018, 09:00",Pool C,Final
Penn State,Johns Hopkins,13,8,"03/17/2018, 09:00",Pool C,Final
William & Mary,Bates,12,11,"03/17/2018, 10:50",Pool C,Final
Princeton,Johns Hopkins,9,13,"03/17/2018, 10:50",Pool C,Final
Johns Hopkins,Bates,12,14,"03/17/2018, 12:40",Pool C,Final
Penn State,Princeton,13,9,"03/17/2018, 12:40",Pool C,Final
William & Mary,Johns Hopkins,13,5,"03/17/2018, 14:30",Pool C,Final
Penn State,Bates,13,9,"03/17/2018, 14:30",Pool C,Final
William & Mary,Penn State,12,9,"03/17/2018, 16:20",Pool C,Final
Princeton,Bates,13,12,"03/17/2018, 16:20",Pool C,Final
pool,Pool D
James Madison,Davidson,13,7,"03/17/2018, 10:50",Pool D,Final
Cornell,Williams,13,10,"03/17/2018, 10:50",Pool D,Final
James Madison,Williams,13,10,"03/17/2018, 12:40",Pool D,Final
Cornell,Davidson,13,8,"03/17/2018, 12:40",Pool D,Final
James Madison,Cornell,13,12,"03/17/2018, 14:30",Pool D,Final
Davidson,Williams,9,13,"03/17/2018, 14:30",Pool D,Final
b,r,e,a,k
pools,Dev Pool Play
pool,Pool E
High Point,William & Mary (B),11,9,"03/17/2018, 09:00",Pool E,Final
Maryland (B),North Carolina State  (B),13,5,"03/17/2018, 09:00",Pool E,Final
High Point,Maryland (B),9,7,"03/17/2018, 10:50",Pool E,Final
James Madison (B),North Carolina State  (B),13,6,"03/17/2018, 10:50",Pool E,Final
North Carolina State  (B),William & Mary (B),6,13,"03/17/2018, 12:40",Pool E,Final
James Madison (B),Maryland (B),12,11,"03/17/2018, 12:40",Pool E,Final
High Point,North Carolina State  (B),13,1,"03/17/2018, 14:30",Pool E,Final
James Madison (B),William & Mary (B),10,9,"03/17/2018, 14:30",Pool E,Final
High Point,James Madison (B),13,7,"03/17/2018, 16:20",Pool E,Final
Maryland (B),William & Mary (B),13,9,"03/17/2018, 16:20",Pool E,Final
pool,Pool F
Christopher Newport,Princeton (B),13,5,"03/17/2018, 09:00",Pool F,Final
Virginia (B),North Carolina-Wilmington (B),12,11,"03/17/2018, 09:00",Pool F,Final
Christopher Newport,Virginia (B),13,10,"03/17/2018, 10:50",Pool F,Final
Delaware (B),North Carolina-Wilmington (B),12,10,"03/17/2018, 10:50",Pool F,Final
North Carolina-Wilmington (B),Princeton (B),12,13,"03/17/2018, 12:40",Pool F,Final
Delaware (B),Virginia (B),13,6,"03/17/2018, 12:40",Pool F,Final
Christopher Newport,North Carolina-Wilmington (B),11,8,"03/17/2018, 14:30",Pool F,Final
Delaware (B),Princeton (B),13,5,"03/17/2018, 14:30",Pool F,Final
Christopher Newport,Delaware (B),9,13,"03/17/2018, 16:20",Pool F,Final
Virginia (B),Princeton (B),13,3,"03/17/2018, 16:20",Pool F,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship
James Madison,William & Mary,14,15,"03/18/2018, 14:30",Finals,Final
Connecticut,James Madison,13,14,"03/18/2018, 12:30",Semis,Final
William & Mary,Maryland,13,10,"03/18/2018, 12:30",Semis,Final
Connecticut,Mary Washington,15,13,"03/18/2018, 08:30",Quarters,Final
James Madison,Penn State,14,11,"03/18/2018, 08:30",Quarters,Final
William & Mary,Cornell,14,13,"03/18/2018, 08:30",Quarters,Final
Maryland,Georgetown,15,13,"03/18/2018, 08:30",Quarters,Final
bracket,3rd place
Connecticut,Maryland,12,15,"03/18/2018, 14:30",Finals,Final
bracket,5th place
Mary Washington,Cornell,13,9,"03/18/2018, 12:30",Finals,Final
Mary Washington,Penn State,13,12,"03/18/2018, 10:30",Semis,Final
Cornell,Georgetown,13,11,"03/18/2018, 10:30",Semis,Final
bracket,7th place
Penn State,Georgetown,9,11,"03/18/2018, 12:30",Finals,Final
b,r,e,a,k
brackets,Developmental Bracket Play
bracket,Championship
High Point,Delaware (B),15,8,"03/18/2018, 12:30",Finals,Final
High Point,Maryland (B),14,10,"03/18/2018, 10:30",Semis,Final
James Madison (B),Delaware (B),10,13,"03/18/2018, 10:30",Semis,Final
Christopher Newport,Maryland (B),10,15,"03/18/2018, 08:30",Quarters,Final
James Madison (B),Virginia (B),15,9,"03/18/2018, 08:30",Quarters,Final
bracket,3rd place
Maryland (B),James Madison (B),14,15,"03/18/2018, 12:30",Finals,Final
bracket,5th place
Christopher Newport,Virginia (B),1,0,"03/18/2018, 10:30",Finals,Final
bracket,7th place
North Carolina-Wilmington (B),Princeton (B),15,4,"03/18/2018, 10:30",Finals,Final
William & Mary (B),North Carolina-Wilmington (B),9,15,"03/18/2018, 08:30",Semis,Final
Princeton (B),North Carolina State  (B),11,8,"03/18/2018, 08:30",Semis,Final
bracket,9th place
William & Mary (B),North Carolina State  (B),6,15,"03/18/2018, 10:30",Finals,Final
b,r,e,a,k
clusters,9th place Consolation
cluster,Consolation
Villanova,Delaware,14,13,"03/18/2018, 08:30",,Final
Johns Hopkins,Williams,10,15,"03/18/2018, 08:30",,Final
Villanova,Johns Hopkins,11,12,"03/18/2018, 10:30",,Final
Delaware,Williams,13,11,"03/18/2018, 10:30",,Final
Villanova,Williams,9,14,"03/18/2018, 12:30",,Final
Delaware,Johns Hopkins,15,10,"03/18/2018, 12:30",,Final
b,r,e,a,k
clusters,13th place Consolation
cluster,Consolation
Bates,Davidson,15,10,"03/18/2018, 10:30",,Final
SUNY-Binghamton,Davidson,6,13,"03/18/2018, 12:30",,Final
SUNY-Binghamton,Bates,F,W,"03/18/2018, 14:30",,Final
North Carolina (B),SUNY-Binghamton,13,12,"03/18/2018, 22:30",,Final
North Carolina (B),Bates,12,15,"03/19/2018, 12:30",,Final
North Carolina (B),Davidson,3,9,"03/19/2018, 02:30",,Final
b,r,e,a,k
clusters,Not Last Consolation
cluster,Not Last
SUNY-Geneseo,Princeton,12,15,"03/18/2018, 08:30",,Final
SUNY-Buffalo,Princeton,11,15,"03/18/2018, 10:30",,Final
SUNY-Geneseo,SUNY-Buffalo,8,11,"03/18/2018, 12:30",,Final
b,r,e,a,k
