TCT Elite-Select Challenge 2018,Club - Women ,18,8,2018
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2018/schedule/Women/Club-Women/
Phoenix,1
0,Reve Chan
0,Sara Mar
0,Sarah Kidd
1,Krystal Dos Santos
7,Jeannette Quach
10,Destin McQuillan
11,Laura Kinoshita
14,Miriam Tingle
16,Jessica Chen
17,Nicolette Bertsch
28,Jenna McLeod
51,Sarah Innes
90,Jordan Meron
91,Lindsay Musalem
b,r,e,a,k
Wicked,9
1,Ashleigh Buch
2,Christina Baker
4,Sadie Callison
5,Taylor Cauthon
5,Courtney Walbe
6,Carey Jacquinot
7,Andrewa Ritchie
8,Stephanie Rupp
9,Caitlin Lisk
10,Grace Roth
10,McKenzie Geltz
11,Jordan Warren
12,Clare Frantz
13,Malaina Piyassaphan
14,Janani Ragothaman
17,Laura Gehrt
18,Haley Johnson
19,Jenna Galletta
20,Nadine Rowen
22,Kailee Karr
26,Jordan Eissner
33,Chelsea Dalbey
86,Amanda Johnson
87,Amanda Borders
b,r,e,a,k
Portland Ivy,16
0,Claire Schwyhart
0,Ruby Holman
0,Syris Linkfield
1,Katherine Darke
2,Clea Poklemba
3,Natalie Georgitsa
6,Zoe Bluffstone
9,Kaia Mann
10,Natalie Clifton
11,Madelyn Easton
11,Kelly Marx
13,Holly Gibson
21,Elise Hollowell
23,Rosie Harte
27,Lauren Jablonski
28,Brandy Turcotte
34,Mir Bowring
55,Kaitlyn Anderson
66,Celine Li
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Phoenix,Pop,13,12,"08/18/2018, 10:35",Pool A
Wildfire,Colorado Small Batch,13,6,"08/18/2018, 10:35",Pool A
Phoenix,Colorado Small Batch,10,9,"08/18/2018, 13:45",Pool A
Wildfire,Pop,10,13,"08/18/2018, 13:45",Pool A
Phoenix,Wildfire,9,8,"08/18/2018, 16:55",Pool A
Pop,Colorado Small Batch,13,6,"08/18/2018, 16:55",Pool A
pool,Pool B
Nemesis,Underground,13,10,"08/18/2018, 09:00",Pool B
Schwa,Grit,9,12,"08/18/2018, 09:00",Pool B
Nemesis,Grit,13,12,"08/18/2018, 12:10",Pool B
Schwa,Underground,10,11,"08/18/2018, 12:10",Pool B
Nemesis,Schwa,9,13,"08/18/2018, 15:20",Pool B
Underground,Grit,8,12,"08/18/2018, 15:20",Pool B
pool,Pool C
Heist,BENT,13,11,"08/18/2018, 09:00",Pool C
Showdown,Indy Rogue,13,7,"08/18/2018, 09:00",Pool C
Heist,Indy Rogue,13,7,"08/18/2018, 12:10",Pool C
Showdown,BENT,13,9,"08/18/2018, 12:10",Pool C
Heist,Showdown,13,9,"08/18/2018, 15:20",Pool C
BENT,Indy Rogue,12,9,"08/18/2018, 15:20",Pool C
pool,Pool D
6ixers,Wicked,12,9,"08/18/2018, 10:35",Pool D
Rival,Portland Ivy,13,1,"08/18/2018, 10:35",Pool D
6ixers,Portland Ivy,13,3,"08/18/2018, 13:45",Pool D
Rival,Wicked,13,11,"08/18/2018, 13:45",Pool D
6ixers,Rival,11,13,"08/18/2018, 16:55",Pool D
Wicked,Portland Ivy,13,5,"08/18/2018, 16:55",Pool D
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
Phoenix,Nemesis,13,11,"08/19/2018, 10:05",1st Place
Phoenix,Rival,13,11,"08/19/2018, 08:30",Semifinals
Nemesis,Heist,13,8,"08/19/2018, 08:30",Semifinals
b,r,e,a,k
brackets,Placement Brackets
bracket,3rd Place
Rival,Heist,13,6,"08/19/2018, 10:05",3rd
bracket,5th Place Bracket
6ixers,Grit,13,4,"08/19/2018, 10:05",5th Place
Pop,6ixers,12,13,"08/19/2018, 08:30",5th Semis
Grit,Showdown,10,8,"08/19/2018, 08:30",5th Semis
bracket,7th Place
Pop,Showdown,11,7,"08/19/2018, 10:05",7th Place
bracket,9th Place Bracket
Wildfire,Underground,10,9,"08/19/2018, 13:15",9th Place
Wildfire,Wicked,13,9,"08/19/2018, 11:40",9th Semis
Underground,BENT,11,10,"08/19/2018, 11:40",9th Semis
bracket,11th Place
Wicked,BENT,9,8,"08/19/2018, 13:15",11th Place
bracket,13th Place Bracket
Colorado Small Batch,Schwa,11,12,"08/19/2018, 13:15",13th Place
Colorado Small Batch,Portland Ivy,13,7,"08/19/2018, 11:40",13th Semis
Schwa,Indy Rogue,13,4,"08/19/2018, 11:40",13th Semis
bracket,15th Place
Portland Ivy,Indy Rogue,10,13,"08/19/2018, 13:15",15th Place
b,r,e,a,k
