Boston Invite 2018,Club - Women ,23,6,2018
Devens,MA,2018-06-23,2018-06-24
https://play.usaultimate.org/events/Boston-Invite-2018/schedule/Women/Club-Women/
Siege,4
99,Veronica Kolegue-Spalaris
b,r,e,a,k
Vintage,3
0,ANDREANE BOURGEOIS
0,genevieve dumont-carey
0,Janick St-Cyr
0,Joelle Tremblay
0,JULIE TREMBLAY
0,Julie Beaulac
0,MARIE-HELENE AUDET
0,MARJOLAINE BOURGET
0,Melanie Prescott-Gagnon
0,Melissa Poulin-Cadovius
0,pascale chatigny
0,ROSEMARY CARLTON
0,Simone Vogel
0,Suzanne Wavroch
0,VERONIQUE CORBEIL
09,MARIE-EVE LATENDRESSE
10,Frederique Riel
26,FREDERIQUE ASSELIN
29,JESSICA GENNAOUI
32,MARIE-EVE ROBERT
77,JULIE BLAIS
87,Noémie Latendresse
b,r,e,a,k
Green Means Go,7
02,Margie Guy
03,Mary Carlton
04,Emma Palacio
05,Meghan Wadlinger
09,Charlotte (CJ) Dawson
10,Dena Behar
11,Zoe Lewis
12,Juliet Chung
15,Megan Kuhfuss Golrick
19,Rebecca Baldwin
20,Katie Schreiber
21,Tina Yen
22,Elena Rubino
24,Charlotte Edelstein
27,Hannah Short
29,Jackie Fane
30,BRIDGET COOK
33,Emily Fridberg
36,Opal Bednarik
37,EMILY HYMAN
41,Kalea Dodge
43,Jocelyn Corey
45,Emily Smulowitz
69,Rachel Rivera
b,r,e,a,k
Salty,11
02,Meggie MacMichael
04,Makenzie Gallagher
06,Catherine MacPhail
10,Alexandra Wardill
11,Laurel Dykun
12,Rachel Woodside
16,Laurie Starr
19,Katelyn Lewis
21,Sarah  Ross
23,Shelby Hewitt
27,Samantha Ellis
30,Kristen Scott
31,Kelsey  Hayden
34,Amanda Ring
45,Emily Lamoureux
63,Erica Barber
88,Jennifer MacKinnon
93,Spencer Leslie
b,r,e,a,k
Hot Metal,6
1,Sarah Figueroa
3,Christine Rooney
09,Mallorie Barber
10,Kalene Morozumi
11,Hannah Blizzard
12,Erin Curry
13,Jessica Sourbeer
15,Stephanie Dunning
17,Sarah Lynch
20,Lakshmi Ilango
32,Shani Rosenthal
34,Lexi Robbins
37,Sarah Lemanski
72,Taylor Foster
74,Linn Bjanes
b,r,e,a,k
Venus,10
0,Catherine Demers-Rivard
0,Catherine Goulet
0,Cloé Riel
0,CYNTHIA BAZINET
0,Eve Gervais-Quenneville
0,Gabrielle Beaudoin
0,Geneviève Richard
0,Joanie-Kim Dolbec-Bradette
0,Joelle Pion-Massicotte
0,Marie-Eve Martineau
0,Marie-Eve Trudel
0,Maude Laniel-Ducharme
0,Maude Lambert
0,Beatrice Ip Yam
0,Sasha Lemaire St-Gelais
0,Valerie Plante
5,MAUDE PELLETIER
16,Mylène Côté
19,Lysandre Bessette-Brault
22,Natash Dumont-Carey
23,Alexandra Paille
31,CATHERINE VIAU
b,r,e,a,k
Frolic,20
0,Anne Lightbody
3,Kate Powers
02,Hannah LeBlanc
04,Marina Myers
05,Kaitlin Minnehan
07,Annie McNally
08,Bhavatarini Carr
09,Evelyn (Evie) Clement
10,Andrea Killiard
11,VICTORIA MORALES
12,Emma DeMelim
13,Jess Wedell
14,Owen Heil
16,Madeleine Purcell
17,Heather Foran
19,Kathleen Janosik
28,Ilona Wentworth
29,ANNABELLE DAVEY
44,Emily Pozzy
52,Caitlin O'Connell
52,Jennifer O'Connell
55,Yael Rhodes
85,Kate Patterson
b,r,e,a,k
Brooklyn Book Club,13
0,Camryn Yurcisin
0,Chia Yi Hou
0,Chloe Rinehart
0,Denia Viera
0,Diana DeLeo
0,Leah Garber
0,Melanie Sawyer
0,Michelle Tao
0,Molly Baraff
0,Olivia Korostoff-Larsson
0,Shawn Zubin
0,Irene Golden
0,Kristin Sprague
3,Sora Akiyoshi
8,Grace Feinman-Riordan
9,Laura Marrin
23,Emma (Gus) Preston
23,Clara Nice
44,Talia Kula
73,Amanda Wach
b,r,e,a,k
Tempest,16
03,Grace Clarke
04,Kari Jenkins
07,Jessica  Wade
09,Kathleen Sullivan
11,Lesley O’Neill
12,Tracey Dyer
14,Jill Henderson
15,Stefanie Walsh
18,Claire Genest
20,Kat White
21,Dana  Morin
22,Anna Stevens
25,Ashleigh Hudson
33,Sophie Blais
44,Gina Reid
47,Melissa Wheeler
55,Rachael Fitkowski
73,Claire Moore-Gibbons
b,r,e,a,k
Suffrage,17
0,Abigail Obuchowski
0,Alice Murphy
0,Bethany DaRin
0,Brenna Snyder
0,Camille Burns
0,Cara Groden
0,Christine Tomasic
0,Blaire Thomson
0,Eliana Simon
0,Emily  McGuire
0,Hanna Finigan
0,Jin Hyung Lee
0,Julia Benson
0,Layne Scherer
0,Olivia Robinson
0,Raizl Campbell
4,Alyssa D'Costa
7,JAZMIN GONZALEZ
10,Rachel Markowitz
14,Joann Duman
24,Grace Stephan
28,MAYRA NAVA
46,Dominique  Maderal
92,Alexandra Erwin
b,r,e,a,k
Salt City Spirit,21
0,Deirdre Schutzman
0,Diana Barva
0,Dimple Sangani
0,Erin O'Connor
0,Georgia Nichols
0,Julia Mettler-Grove
0,Kristine Carlsen
0,Andrea Urueta
0,Maggie Reed
0,MELANIE MONTALBANO
0,Meryl Corsun
0,Miranda Ciardulli
0,Olivia Brown
0,Sara Robinson
0,Swathi Utukuri
28,Allison Case
28,Macenzie Bigness
32,Alyssa Endres
64,Claire Nicholson
b,r,e,a,k
Pine Baroness,15
0,Chelsea Semper
0,Dana  Marxen
0,Elena Adams
0,Emily Reckenbeil
0,Emily Chiang
0,Erika Neave
0,Evey Le
0,Abigail Stolowski
0,Alice Weng
0,Jessica Waugaman
0,Julia Lekht
0,Katherine Copenhagen
0,Lauren Reidy
0,Lindsay Levin
0,Sabrina Todaro
0,Stephanie Hartson
3,Jennifer Willemsen
11,Anne-Sofie Ahm
17,Jessica Schaub
26,Kate Douthat
27,Brianna Groh
31,Tuhina Bhat
b,r,e,a,k
Vice,14
0,Caley Dickinson
0,Carly Morrison
0,Claire Dutton
0,Colette Pellegrini
0,Fiona Chung
0,Hannah Broos
0,Alicia Collins
0,Amanda Giles
0,Judith Garber
0,Kathryn Peake
0,Lee Bashant
0,Tahlia Quartin
0,WENDY GOLDMAN
1,Michaela Dudley
9,Michelle Tran
11,Molly April
33,Judy Arnobit
50,Isabel Tripp
64,Anna Blasiak
b,r,e,a,k
Broad City,19
0,Bess  Cohen
0,Caroline Passalacqua
0,Loryn Way
0,Mariko Kishimoto
0,Olivia Thornton
0,Iris Rukshin
3,Tina Kargbo
9,Julia Larson
10,Theresa Buckalew
11,Dalia Weinstein
15,Kelly Wojtan
17,Rebecca Cooney
26,Caitlin Conklin
42,Bridget Compton
47,Stacey Spencer
51,Victoria Spofford
80,Tara Peng
b,r,e,a,k
Boomslang,18
0,Barbara Contin
0,Christine Baumeister
0,Anna Quartararo
0,Elizabeth Anderson
0,Jennifer Touchstone (Daugherty)
0,Kelly Holzworth
0,Kelly Hite
0,Laura Patak
0,Megan Giamei
0,Megan Kirby
0,Nicole Hitner
0,Nikki Gilani
0,Samantha Lyons
0,Sarah Booker
0,Isabel  Blumenthal
1,Christine Adams
9,Elizabeth Jamison
9,Antonia Williams
12,Courtney Cash
14,Austen Crawford
15,Diane Dreifuss
18,Makayla Wahaus
33,Jennifer Frederick
b,r,e,a,k
BUDA,22
0,Abby Scheinberg
0,Caroline Tessy
0,Chloe Lund
0,Jessica Ye
0,Kate Gregory
0,Laurie Chen
0,Tess Johnson
7,Heather Szczesniak
9,Grace Zucchero
13,Clara Walsh
16,Jessie Chan
32,Amanda Leung
51,Mira Anderberg
54,Alex Hecht
67,Audrey Berlin
99,Beverly Liu
b,r,e,a,k
s,t,a,g,e,s
pools,Elite - Pool Play
pool,Elite - Pool A
Iris,Grit,13,9,"06/23/2018, 09:00",Elite - Pool A,Final
Siege,PPF,15,9,"06/23/2018, 09:00",Elite - Pool A,Final
Eclipse,Backhanded,15,5,"06/23/2018, 09:00",Elite - Pool A,Final
Iris,Siege,13,14,"06/23/2018, 11:00",Elite - Pool A,Final
Grit,Eclipse,12,7,"06/23/2018, 11:00",Elite - Pool A,Final
PPF,Backhanded,15,4,"06/23/2018, 11:00",Elite - Pool A,Final
Iris,Eclipse,15,7,"06/23/2018, 13:00",Elite - Pool A,Final
Siege,Backhanded,15,5,"06/23/2018, 13:00",Elite - Pool A,Final
Grit,PPF,10,13,"06/23/2018, 13:00",Elite - Pool A,Final
Iris,Backhanded,15,3,"06/23/2018, 15:00",Elite - Pool A,Final
Siege,Grit,15,9,"06/23/2018, 15:00",Elite - Pool A,Final
Eclipse,PPF,9,15,"06/23/2018, 15:00",Elite - Pool A,Final
Iris,PPF,15,13,"06/24/2018, 09:00",Elite - Pool A,Final
Siege,Eclipse,15,7,"06/24/2018, 09:00",Elite - Pool A,Final
Grit,Backhanded,15,3,"06/24/2018, 09:00",Elite - Pool A,Final
pool,Elite - Pool B
BENT,Hot Metal,15,6,"06/23/2018, 11:00",Elite - Pool B,Final
Green Means Go,Salty,11,9,"06/23/2018, 11:00",Elite - Pool B,Final
Vintage,Venus,16,13,"06/23/2018, 11:00",Elite - Pool B,Final
BENT,Green Means Go,15,6,"06/23/2018, 13:00",Elite - Pool B,Final
Vintage,Salty,15,8,"06/23/2018, 13:00",Elite - Pool B,Final
Hot Metal,Venus,14,12,"06/23/2018, 13:00",Elite - Pool B,Final
BENT,Vintage,15,12,"06/23/2018, 15:00",Elite - Pool B,Final
Hot Metal,Green Means Go,7,11,"06/23/2018, 15:00",Elite - Pool B,Final
Venus,Salty,11,16,"06/23/2018, 15:00",Elite - Pool B,Final
BENT,Venus,15,6,"06/23/2018, 17:00",Elite - Pool B,Final
Vintage,Green Means Go,14,10,"06/23/2018, 17:00",Elite - Pool B,Final
Hot Metal,Salty,10,12,"06/23/2018, 17:00",Elite - Pool B,Final
BENT,Salty,15,7,"06/24/2018, 09:00",Elite - Pool B,Final
Vintage,Hot Metal,14,10,"06/24/2018, 09:00",Elite - Pool B,Final
Green Means Go,Venus,11,12,"06/24/2018, 09:00",Elite - Pool B,Final
b,r,e,a,k
brackets,Elite - Playoffs
bracket,1st (Elite)
Siege,BENT,15,9,"06/24/2018, 15:00",Finals (1st),Final
Siege,Vintage,15,13,"06/24/2018, 11:00",Semifinals (1st),Final
BENT,Iris,14,13,"06/24/2018, 11:00",Semifinals (1st),Final
bracket,3rd Place
Iris,Vintage,1,0,"06/24/2018, 15:00",Finals (3rd),Final
bracket,5th Place
PPF,Grit,12,11,"06/24/2018, 15:00",Finals (5th),Final
PPF,Salty,15,11,"06/24/2018, 11:00",Semifinals (5th),Final
Green Means Go,Grit,9,15,"06/24/2018, 11:00",Semifinals (5th),Final
bracket,7th Place
Salty,Green Means Go,12,11,"06/24/2018, 15:00",Finals (7th),Final
bracket,9th Place
Venus,Hot Metal,8,11,"06/24/2018, 15:00",Finals (9th),Final
Eclipse,Venus,13,15,"06/24/2018, 13:00",Semifinals (9th),Final
Hot Metal,Backhanded,15,10,"06/24/2018, 13:00",Semifinals (9th),Final
bracket,11th Place
Eclipse,Backhanded,9,3,"06/24/2018, 15:00",Finals (11th),Final
b,r,e,a,k
pools,Classic - Pool Play
pool,Classic - Pool C
Brooklyn Book Club,Salt City Spirit,15,6,"06/23/2018, 09:00",Classic - Pool C,Final
Suffrage,Frolic,14,13,"06/23/2018, 09:00",Classic - Pool C,Final
Tempest,Frolic,9,13,"06/23/2018, 13:00",Classic - Pool C,Final
Brooklyn Book Club,Suffrage,9,8,"06/23/2018, 13:00",Classic - Pool C,Final
Tempest,Salt City Spirit,11,7,"06/23/2018, 15:00",Classic - Pool C,Final
Brooklyn Book Club,Frolic,8,15,"06/23/2018, 15:00",Classic - Pool C,Final
Tempest,Suffrage,15,13,"06/23/2018, 17:00",Classic - Pool C,Final
Frolic,Salt City Spirit,15,3,"06/23/2018, 17:00",Classic - Pool C,Final
Brooklyn Book Club,Tempest,12,11,"06/24/2018, 09:00",Classic - Pool C,Final
Suffrage,Salt City Spirit,15,10,"06/24/2018, 11:00",Classic - Pool C,Final
pool,Classic - Pool D
Vice,BUDA,15,4,"06/23/2018, 09:00",Classic - Pool D,Final
Boomslang,Broad City,5,13,"06/23/2018, 09:00",Classic - Pool D,Final
Vice,Boomslang,15,2,"06/23/2018, 13:00",Classic - Pool D,Final
Pine Baroness,Broad City,15,5,"06/23/2018, 13:00",Classic - Pool D,Final
Broad City,BUDA,14,8,"06/23/2018, 15:00",Classic - Pool D,Final
Pine Baroness,Boomslang,15,0,"06/23/2018, 15:00",Classic - Pool D,Final
Vice,Broad City,15,5,"06/23/2018, 17:00",Classic - Pool D,Final
Pine Baroness,BUDA,15,3,"06/23/2018, 17:00",Classic - Pool D,Final
Vice,Pine Baroness,7,15,"06/24/2018, 11:00",Classic - Pool D,Final
Boomslang,BUDA,11,8,"06/24/2018, 11:00",Classic - Pool D,Final
b,r,e,a,k
brackets,Classic - Playoffs
bracket,1st (Classic)
Frolic,Pine Baroness,15,11,"06/24/2018, 15:00",Finals (1st),Final
Frolic,Vice,15,9,"06/24/2018, 13:00",Semifinals (1st),Final
Brooklyn Book Club,Pine Baroness,11,12,"06/24/2018, 13:00",Semifinals (1st),Final
bracket,3rd Place
Vice,Brooklyn Book Club,12,11,"06/24/2018, 15:00",Finals (3rd),Final
bracket,5th Place
Tempest,Suffrage,15,3,"06/24/2018, 15:00",Finals (5th),Final
Tempest,Boomslang,15,6,"06/24/2018, 13:00",Semifinals (5th),Final
Suffrage,Broad City,11,10,"06/24/2018, 13:00",Semifinals (5th),Final
bracket,7th Place
Boomslang,Broad City,7,11,"06/24/2018, 15:00",Finals (7th),Final
bracket,9th Place
Salt City Spirit,BUDA,9,11,"06/24/2018, 13:00",Finals (9th),Scheduled
b,r,e,a,k
