Northwest Mixed Regional Championship,Club - Mixed ,22,9,2018
https://play.usaultimate.org/events/Northwest-Mixed-Regional-Championship-2018/schedule/Mixed/Club-Mixed
Seattle Mixtape,1
0,Emily Houlihan
0,Ian Buchanan
0,Jackie Weiss
0,Jordan Listo
0,Kristina Banner
0,Lorenzo Lalimarmo
0,Maria Carla Marigmen
0,Natasha Parman
0,Pauline Baculi
0,Roy Fang
0,Samuel Stearns
0,Stephanie Huang
3,Matthew Bricker-Mounts
4,Kelsey Mork
7,Matthew Glenn
10,Kent Wu
11,Jonathan Shuster
15,Kelsey Salvo
18,Sophie Chen
27,Marlie Somers
38,Manuel Eckert
88,Alan Lin
b,r,e,a,k
Image.Is.Everything.,16
0,Alicia Kellogg
0,Alicia Sellsted
0,Asia Peureux
0,Denise Blohowiak
0,Derek Van Wyhe
0,Elliot Putman
0,Maxwell Finch
0,Rowdy Warden
0,Timothy Robinson
0,Todd Sliva
0,Tori Mehl
0,Wade Bonney
0,Robby Anderst
0,Jason Hoffman
4,Scott Wiggins
11,Karl Frazier
12,Gregory Duplantier
21,Joshua Kent
32,Sarah Walsh
69,Karie Holst
b,r,e,a,k
Birdfruit,3
01,Sam Landesberg
02,Luke Jesperson
03,Martha Russell
04,Corinne Pingul
05,Christian Brink
06,Laura Doepker
07,Nicole Bayard
08,Natalie Powell
10,Jeff Gayle
11,Laura Manson
13,Gabriel Ryan
14,Peter Geertz-Larson
15,Samuel Dinning
18,Ellen Kalenscher
21,Dylan Harrington
22,Lacy Clark
23,Kyle Ord
24,Andrew Lynch
31,Natalie Jamerson
40,Ky Lewis IV
41,Clay Dewey-Valentine
42,Laura Pape
44,Margo Heffron
47,Walker Bohannan
67,Kelley Hall
70,Tamara Hass
77,Benjamin McGinn
b,r,e,a,k
Bozos,6
0,Alexis Bressler
0,Brian Mitchell
0,Andrew Shanafelt
0,Heather Nold
0,Genesea Meha
0,Nicholas Patterson
0,Quinn Hanson
0,Samantha Treu
0,Sean Anderson
0,Shaela Wallen
0,Lauren Allin
0,Tymer Moses
2,Jack Lokowich
9,Matt Konen
10,Kyla Crisp
14,Kean Mills
17,Justin Myhre
21,Josephine McMahon
23,Elysia Crockett
23,Dominic Guzzarde
40,Geoffrey Zath
45,THOMAS BARRY
47,Juliana Williams
b,r,e,a,k
Choco Ghost House,13
0,Christopher Bush
0,Erik Sandersen
0,Scott Nellis
03,Andrew Cornejo
04,Lindsay Higa
09,Daniel Love
10,Ian Fouts
12,Julie Felberg
14,James Cebron
17,Kyle Furukawa
19,Jesse Prichard
27,Laura Birnbaum
28,Jamie Hoover
30,Tim Christian
37,LINDSAY BABBITT
42,Haley Love
44,Emelia Jarnot
57,Emily Cebron
60,Wayne Larson
66,Raychel Teman
83,Matthew Wilensky
91,Lisa Prichard
b,r,e,a,k
Igneous Ultimate,12
0,Elizabeth Hayden
0,Emily Lasselle
0,Erica Zacek
0,Gemma Munck
0,Henry Daniels-Koch
0,Ian Kaye
0,Jesse Drake
0,Jessica Schueler
0,Jordan Wilkins
0,Kalen Pegeder
0,Marlayne Saidnawey
0,Matthew Bane
0,Nathan Motl
0,ALEXANDRA CHILD
0,ANDREW ORLICH
0,Andrew West
0,Christina Schueler
0,Daniel Hiebert
0,David Barram
0,Seth McGovern
0,Siri Chotechuang
0,Zach Starr
0,Zarina Rogers
1,Zac Scheuerman
22,Nishant Biswas
24,Douglas Taylor
28,Sarah Schwiebert
b,r,e,a,k
Lochsa,4
0,Vespera Aragon
1,James Dahl
2,Justin Solace
3,Amy Norris
5,Trenton Pearsall
6,Oliver Atkinson
8,Levi Archuleta
11,Brittany Ward
12,Suzie Walter
13,Ben Whitehead
17,Ian Dipace
20,Camron Newton
21,Kelsey Breen
22,Ryan Van Hook
24,Sarah Staller
26,Andrea Kuenzli
27,Shannon Montaño
28,Daniel White
29,Jack Kingsley
33,Ben Nalezny
34,Reid Spain-Strombom
36,Kevin Farrell
38,Cori Bigham
50,Ryan Hahn
77,Amanda Porter
88,Rebecca Hamilton
b,r,e,a,k
Lights Out,5
0,Cris Hollyfield
02,Patrick Brady
04,Fannie Watkinson
09,Stephen Burkot
10,Katherine Speck
11,Trudy Philip
12,Riley Meinershagen
13,Maria Herman
14,Mohammud Tilmo
15,Benjamin Beehner
16,Peter Bender
17,Meaghan Rose Costello
19,Kelsey Colpitts
21,Christopher Sun
22,Katherine George
24,Lucas Davies
27,Kimberly Schlesinger
28,Michael Brisbois
37,Nariah-Belle Sims
42,John Quandt
44,Kat Songer
50,Margaret Manning
64,Bryan Bernard
71,Megan Yang
77,Emily Beylerian
91,Craig Harkey
b,r,e,a,k
Mental Toss Flycoons,11
02,David Lau
03,Casey Brandon
04,Natalie Hamel
05,Matthew Hart
06,Naomi Price-Lazarus
09,Scott Albrethsen
10,Kelton Enich
11,Nathaniel Goodburn
12,Kari Shelkey
15,Linette Maeder
16,Johannah Kohorst
17,Emma Baldonado
18,Caleb Stanek
20,Sarah Megyesi
21,Shelbie White
23,Craig Threlkeld
24,Alexis Fallon
25,Mary Stewart
26,Sam Hines
31,Andrew Valainis
32,Sarah Luth
39,Tyler Albrethsen
42,Kevin Ryder
44,Sam Berkelhammer
52,Evan Moe
81,Ty Lynch
91,Andrew  Mozzer
b,r,e,a,k
Oh My!,14
0,Arundhati Suresh
0,Huy Bui
01,Brian Kennett
02,Colleen Scott
03,Avery Laliberte
04,Joel Soltman
05,Keira McMenamin
07,Aaron Ho
10,Casey Clapp
12,Sara Spring
14,Abbe  Domenick 
19,Erikson Tsui
20,Robert Gough
21,Jacob Artz
22,RAJU ROLERU
24,Adele Zawada
25,Gabriel Andrade
32,Emily Hays
34,Kevin Martin
35,Vinai Charoenwongsawang
42,Benjamin Scheiner
53,Matt Bauer
55,Evan Burrell
85,Evelyn Hunsberger
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Seattle Mixtape,The Administrators,13,5,"09/22/2018, 09:00",Pool A
Garbage,Pheathers and Phurr,13,10,"09/22/2018, 09:00",Pool A
Seattle Mixtape,Pheathers and Phurr,13,3,"09/22/2018, 10:40",Pool A
Garbage,The Administrators,6,12,"09/22/2018, 10:40",Pool A
Seattle Mixtape,Garbage,13,3,"09/22/2018, 14:00",Pool A
The Administrators,Pheathers and Phurr,10,9,"09/22/2018, 14:00",Pool A
pool,Pool B
BFG,Happy Hour,13,5,"09/22/2018, 09:00",Pool B
Pegasus,Image.Is.Everything.,11,9,"09/22/2018, 09:00",Pool B
BFG,Image.Is.Everything.,13,4,"09/22/2018, 10:40",Pool B
Pegasus,Happy Hour,9,11,"09/22/2018, 10:40",Pool B
BFG,Pegasus,13,4,"09/22/2018, 14:00",Pool B
Happy Hour,Image.Is.Everything.,13,5,"09/22/2018, 14:00",Pool B
pool,Pool C
Birdfruit,Igneous Ultimate,13,6,"09/22/2018, 09:00",Pool C
Bozos,Choco Ghost House,13,5,"09/22/2018, 09:00",Pool C
Birdfruit,Choco Ghost House,13,4,"09/22/2018, 12:20",Pool C
Bozos,Igneous Ultimate,11,4,"09/22/2018, 12:20",Pool C
Birdfruit,Bozos,13,7,"09/22/2018, 14:00",Pool C
Igneous Ultimate,Choco Ghost House,7,13,"09/22/2018, 14:00",Pool C
pool,Pool D
Lochsa,Mental Toss Flycoons,13,7,"09/22/2018, 10:40",Pool D
Lights Out,Oh My!,13,5,"09/22/2018, 10:40",Pool D
Lochsa,Oh My!,13,6,"09/22/2018, 12:20",Pool D
Lights Out,Mental Toss Flycoons,13,4,"09/22/2018, 12:20",Pool D
Lochsa,Lights Out,13,10,"09/22/2018, 14:00",Pool D
Mental Toss Flycoons,Oh My!,13,5,"09/22/2018, 14:00",Pool D
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
Seattle Mixtape,BFG,13,11,"09/23/2018, 12:20",1st Place Finals
Seattle Mixtape,Lochsa,13,9,"09/22/2018, 15:40",1st Place Semis
Birdfruit,BFG,11,13,"09/22/2018, 15:40",1st Place Semis
bracket,2nd Place Bracket
BFG,Lochsa,12,9,"09/23/2018, 14:00",2nd Place Finals
Lochsa,Birdfruit,13,6,"09/23/2018, 12:20",2nd Place Semis
Lochsa,Mental Toss Flycoons,13,8,"09/23/2018, 10:40",2nd Place Quarters
The Administrators,Birdfruit,8,13,"09/23/2018, 10:40",2nd Place Quarters
Mental Toss Flycoons,Garbage,12,11,"09/23/2018, 09:00",2nd Place Prequarters
The Administrators,Lights Out,11,9,"09/23/2018, 09:00",2nd Place Prequarters
Bozos,Mental Toss Flycoons,7,12,"09/22/2018, 15:40",2nd Place Play In
Garbage,Happy Hour,12,11,"09/22/2018, 15:40",2nd Place Play In
The Administrators,Pegasus,13,4,"09/22/2018, 15:40",2nd Place Play In
Choco Ghost House,Lights Out,7,13,"09/22/2018, 15:40",2nd Place Play In
bracket,7th Place
Garbage,Lights Out,11,12,"09/23/2018, 10:40",7th Place
bracket,9th Place Bracket
Bozos,Pegasus,9,10,"09/23/2018, 10:40",9th Place Finals
Bozos,Happy Hour,10,9,"09/23/2018, 09:00",9th Place Semis
Pegasus,Choco Ghost House,13,9,"09/23/2018, 09:00",9th Place Semis
bracket,11th Place
Happy Hour,Choco Ghost House,10,12,"09/23/2018, 10:40",11th Place
bracket,13th Place Bracket
Pheathers and Phurr,Image.Is.Everything.,13,11,"09/23/2018, 10:40",13th Place Finals
Pheathers and Phurr,Oh My!,13,3,"09/23/2018, 09:00",13th Place Semis
Igneous Ultimate,Image.Is.Everything.,10,13,"09/23/2018, 09:00",13th Place Semis
bracket,15th Place 
Oh My!,Igneous Ultimate,5,13,"09/23/2018, 10:40",15th Place
b,r,e,a,k
