Southeast Mixed Regional Championship,Club - Mixed ,22,9,2018
Bradenton,FL,2018-09-22,2018-09-23
https://play.usaultimate.org/events/Southeast-Mixed-Regional-Championship-2018/schedule/Mixed/Club-Mixed
Bucket,1
Weird,Cahoots,13,4,"09/22/2018, 10:30",Pool B,Final
NC Galaxy,Method,10,9,"09/22/2018, 10:30",Pool B,Final
Weird,NC Galaxy,12,7,"09/22/2018, 12:30",Pool B,Final
Method,Cahoots,12,10,"09/22/2018, 12:30",Pool B,Final
pool,Pool C
Mixfits,Malice in Wonderland,10,11,"09/22/2018, 08:30",Pool C,Final
Murmur,FlyTrap,13,9,"09/22/2018, 08:30",Pool C,Final
Mixfits,FlyTrap,13,3,"09/22/2018, 10:30",Pool C,Final
Murmur,Malice in Wonderland,13,10,"09/22/2018, 10:30",Pool C,Final
Mixfits,Murmur,13,12,"09/22/2018, 12:30",Pool C,Final
Malice in Wonderland,FlyTrap,11,12,"09/22/2018, 12:30",Pool C,Final
pool,Pool D
Storm,Mutiny,13,10,"09/22/2018, 08:30",Pool D,Final
Toro,Huntsville Outlaws,13,8,"09/22/2018, 08:30",Pool D,Final
Storm,Huntsville Outlaws,13,2,"09/22/2018, 10:30",Pool D,Final
Toro,Mutiny,13,3,"09/22/2018, 10:30",Pool D,Final
Storm,Toro,7,13,"09/22/2018, 12:30",Pool D,Final
Mutiny,Huntsville Outlaws,13,11,"09/22/2018, 12:30",Pool D,Final
b,r,e,a,k
brackets,1st-8th Placement Brackets
bracket,1st Place
Toro,Weird,15,9,"09/23/2018, 12:30",Finals,Final
Bucket,Toro,12,14,"09/23/2018, 10:30",Semis,Final
Storm,Weird,6,11,"09/23/2018, 10:30",Semis,Final
Bucket,NC Galaxy,15,6,"09/23/2018, 08:30",Quarters,Final
Toro,Method,13,5,"09/23/2018, 08:30",Quarters,Final
Mixfits,Storm,12,13,"09/23/2018, 08:30",Quarters,Final
Weird,JLP,11,10,"09/23/2018, 08:30",Quarters,Final
NC Galaxy,FlyTrap,13,5,"09/22/2018, 14:30",Pre-Quarters,Final
Murmur,Method,8,12,"09/22/2018, 14:30",Pre-Quarters,Final
'Shine,Storm,7,13,"09/22/2018, 14:30",Pre-Quarters,Final
Mutiny,JLP,3,13,"09/22/2018, 14:30",Pre-Quarters,Final
bracket,3rd Place
Bucket,Storm,0,0,"09/23/2018, 12:30",3rd Place Game,Scheduled
bracket,5th Place
NC Galaxy,JLP,7,9,"09/23/2018, 12:30",5th Place Game,Final
NC Galaxy,Method,1,0,"09/23/2018, 10:30",5th Place Semis,Final
Mixfits,JLP,10,13,"09/23/2018, 10:30",5th Place Semis,Final
bracket,7th Place
Method,Mixfits,0,0,"09/23/2018, 12:30",7th Place Game,Scheduled
b,r,e,a,k
brackets,9th-16th Placement Brackets
bracket,9th Place
Rowdy,Malice in Wonderland,11,6,"09/23/2018, 12:30",9th Place Game,Final
Rowdy,Huntsville Outlaws,12,3,"09/23/2018, 10:30",9th Place Semis,Final
Malice in Wonderland,Cahoots,12,10,"09/23/2018, 10:30",9th Place Semis,Final
Rowdy,FlyTrap,15,7,"09/23/2018, 08:30",9th Place Quarters,Final
Huntsville Outlaws,Murmur,13,10,"09/23/2018, 08:30",9th Place Quarters,Final
Malice in Wonderland,'Shine,11,9,"09/23/2018, 08:30",9th Place Quarters,Final
Cahoots,Mutiny,11,9,"09/23/2018, 08:30",9th Place Quarters,Final
bracket,11th Place
Huntsville Outlaws,Cahoots,0,1,"09/23/2018, 12:30",11th Place Game,Final
bracket,13th Place
Murmur,Mutiny,0,1,"09/23/2018, 12:30",13th Place Game,Final
FlyTrap,Murmur,10,13,"09/23/2018, 10:30",13th Place Semis,Final
'Shine,Mutiny,11,12,"09/23/2018, 10:30",13th Place Semis,Final
bracket,15th Place
FlyTrap,'Shine,7,11,"09/23/2018, 12:30",15th Place Game,Final
b,r,e,a,k
