Illinois Invite 2018,College - Men ,31,3,2018
Rantoul,IL,2018-03-31,2018-04-01
https://play.usaultimate.org/events/Illinois-Invite-2018/schedule/Men/CollegeMen/
Wisconsin-Whitewater,9
1,Derek Anderson
2,Jake O'Hara
4,Joseph Cregan
5,Julian Kinneavy
10,Jonah Matthew
12,Patrick Norman
17,Kai Knudson
20,Graham Schneider
23,Nathan Swanson
24,Christopher Clark
25,Sachchit Murali
26,Bill Keane
27,Max Wolpert
28,Matthew Greenstein
31,Ross Screaton
33,Paul Rheinberger
34,Ian Wheeler
36,Donald Wood
39,Sam Berk-Hinckley
41,Peter Diede
42,Anders Zetterlund
43,Alexander Perkins
46,Timothy Opdahl
49,Jacob Graff
81,Benjamin Holte
99,Nikhil Khurana
b,r,e,a,k
Denver,3
02,Evan Hicks
03,Peter Halvorson
04,Aidan Cunningham
07,Evan Prechodko
09,Matthew Myers
10,Sage Bard-Gilbert
11,Oliver Pesso
19,Mike Nichols
20,Austin Wolfe
21,Miles Dorrance
23,Josh Lucero
24,Wesley Hughen
27,Isaac Gardner
28,Jordan Stern
32,Jake Lauinger
43,Tim  Bouraoui
55,Jeffrey Ready
56,Eric Silverman
60,Thane Gehring
64,Theodore Carr
69,Jackson Spear
b,r,e,a,k
Grand Valley State,6
02,Justin Perticone
04,Jacob Spicer
05,Logan MacGregor
07,Aidan Nic
08,Gurdip Singh
11,Leo Gallagher
12,Phouttasone (Preston) Saycocie
13,Ben Magro
17,Matthew Silverhart
19,Stephen Hoffman
21,Elliot Perpich
24,Joey Ahearn
35,Austin  Stokel
52,Daniel Ahearn
77,Jack Bushart
88,Mark Whitton
98,Tyler Postema
b,r,e,a,k
Ball State,7
0,Bradley Kennis
0,Caleb Spatt
0,Colby Parker
0,Damon Huntley
0,Alex Warfield
0,Derek Burks
0,Justin Hess
0,Justin Martinez-Beckmann
0,Matthew Nemeth
0,Noah Pumphrey
0,Ryan Everton
2,Nathan Hershberger
4,Matthew Hentz
11,Jaden Jarrett
13,Jullian Thomas
19,Patrick Murphy
21,Nik Risser
26,Joseph Overton
37,Ben Schwartz
44,Trenton Schroeder
52,Garrett Fuelling
70,Daniel Stephens
b,r,e,a,k
Illinois (B),15
00,Aidan Levin
00,Alex Liu
00,Ben Lee
00,Christopher Read
00,Emil Broemmelsiek
00,Garrett Vandermyde
00,Gregory Schwarz
00,Ismaeel Sheriff
00,Kamil Zabawa
00,Kyle Barry
00,Manasven Grover
00,Mark O'Connor
00,Mitchell McMahon
00,Rishav Rout
00,Ryan Teo
00,Sean Sutyak
00,Victor Pastrana-Gomez
00,Weslly Pan
00,Zander Leja
30,Sunny Yun
b,r,e,a,k
Southern Indiana,11
0,Luc Prevost
01,Bret Fleetwood
07,Nathan Sevenish
10,Caleb Freeland
10,Blake Altstadt
11,Isaac Hoffman
13,Josh Winger
20,Rafael Gonzalez
24,Ryan Fehrenbacher
25,Nicholas Clevidence
28,Cody Flamion
30,Chase  Mosser 
37,Montana Muehlbauer
56,Frank Durchholz
77,Jack Anderson
88,Connor Modglin
98,Mark Wallace-Deynes
99,Fabian Becerra
b,r,e,a,k
Purdue (B),18
0,James Hawk
0,Logan Staples
0,Matthew Clase
0,Vardaan Dawesar
4,Connor Gallogly
8,Nicholas Biddle
15,Jack Krouse
18,Anthony Phan
20,Matthew Bonini
25,William Cover
35,Mack Bentivoglio
39,Ethan Pollack
42,Sean Mason
49,Zachery Berg
50,Nicholas Dayton
64,Cody Zrelak
78,Todd Hjerpe
79,Gus Swansen
81,Nithin  Somenhalli
b,r,e,a,k
Michigan State (B),19
0,Andrew Corn
0,Charles Pelton
0,Charlie Meissner
0,Cj Johnson
0,Cody Sich
0,Cody Carlson
0,Evan Hamp
0,Jackson Kleinjans
0,Nathaniel Clinger
3,Ian Koskinen
14,Aidan Hunt
b,r,e,a,k
Washington University (B),14
0,Alex Sandoval
0,Andrew Mitra
0,Brandon Campbell
0,Daniel Dela Cruz
0,Hayden Reynolds
0,Isaac Kaufer
0,Jan Mazur
0,Jarod Bacon
0,Jason Karen
0,Jason Oberstein
0,Justin Suh
0,Justin Kroll
0,Kenneth Chrulski
0,Kristian Nilsen
0,Daniel Sosebee
0,Micah Maccoby
0,Miles Johnson
0,Nicos Topulos
0,Noah  Saldana
0,Peter Werner
0,Rishab Arora
0,Lucas Teixeira
0,Martin Goree
0,Samuel Lee
0,Tyler Jackson
0,Zachary Leonard
1,Saransh Gothi
4,Benjamin Bridgforth
13,Ross Rosen
16,WillIam Altschul
18,David Shea
22,David Lopez
27,Eli Schneider
28,Aaron Mermelstein
33,Christopher Palmer
39,Aidan Flynn
50,Logan Mueller
55,Logan Press
57,David Kibbe
72,Daniel Cherenson
86,Matt Geer
99,Spencer Williams
b,r,e,a,k
DePaul,16
0,Cameron Van Hare
0,Michael Hellen
0,Nathan Weimerskirk
0,Stephen Giunta
7,Conor Hermer
8,Eric Swan
11,Michael Prasauskas 
14,Anthony Paoli
16,JAKE DREMANN
18,Grayson Ducker
20,Joel Rosen
23,Jesse Johnson
25,Joshua Tong
b,r,e,a,k
Beloit College,12
0,Ben Sullivan
0,Blaine  Burgess
0,Caleb Nghe
0,Dexter Kopas
0,Greta Taylor
0,Jeremy Jessin
0,Jess Browder-Long
0,Lucas Kempf
0,Maria Aschenbrener
0,Naomi Clear
0,Oliver Marchildon
0,Preston Stover
0,Robert Avery
0,Sam Cowan
0,Tung Nguyen
0,youness ayyada
0,Aaron Jolly
0,Aidan Murphy
0,Alden Blatter
0,Anthony Renzema
0,Ava Krahn
10,Avery Pike
12,Leo Spears
b,r,e,a,k
Illinois State (B),17
00,Aaron Zilinskas
00,Alex Jacobson
00,Alex Cawley
00,Austin Mitchell
00,Bill Kellens
00,Blake Seegers
00,CHRIS  OESTERREICH
00,Christian Trujillo
00,Dexter Straczek
00,Dominick Pietrantonio
00,Jackson Kestian
00,Jason Belzer
00,John McElmeel
00,Josh Graunke
00,Kevin Szczygiel
00,Kevin May
00,Kyle Ooley
00,Nick Williamson
00,Phuoc-an Vo
00,riche smith
00,Robert Lewis
00,Shivam Boghra
00,Zach Eiden
b,r,e,a,k
Indiana (B),13
0,Dylan Seal
0,Jeremy Sarnowski
0,Josef Eisgruber
0,Joseph Patashinsky
0,Malachi Johnson
2,Parker Harding
5,Justin Garcia
6,Ethan Griggs
7,Vibhav Parimi
13,Keaghan Knight
20,Joe Furniss
25,Raymundo Lopez
28,Michael Matve
34,Fisher Dewitt
52,Christian Gonzales
57,Brendan Kelly
84,JOSHUA MARGOLIS
b,r,e,a,k
Illinois (C),20
00,Albert Xu
00,Conor Harrington
00,David Farrell
00,Drew Pellico
00,Gavin Klancnik
00,Jacob Andersen
00,Kerrick Klancnik
00,Kyle Svara
00,Liam Freeman
00,Nick Oyasu
00,PAT FITZGERALD
00,Sagar Patel
00,Tat Shing Thum
00,Vincenzo Spagnola
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Power A
Nebraska,Wisconsin-Whitewater,6,13,"03/31/2018, 09:00",Power A,Final
Wisconsin-Eau Claire,Winona State,12,11,"03/31/2018, 10:40",Power A,Final
Winona State,Wisconsin-Whitewater,7,13,"03/31/2018, 12:20",Power A,Final
Nebraska,Winona State,10,11,"03/31/2018, 14:00",Power A,Final
Wisconsin-Eau Claire,Wisconsin-Whitewater,6,8,"03/31/2018, 14:00",Power A,Final
Northern Iowa,Winona State,10,9,"03/31/2018, 15:00",Power A,Final
Nebraska,Wisconsin-Eau Claire,12,9,"03/31/2018, 15:40",Power A,Final
Nebraska,Northern Iowa,11,9,"03/31/2018, 16:40",Power A,Final
Wisconsin-Eau Claire,Northern Iowa,6,9,"03/31/2018, 18:20",Power A,Final
Northern Iowa,Wisconsin-Whitewater,7,9,"03/31/2018, 21:40",Power A,Final
pool,Power B
Missouri S&T,Minnesota (B),13,6,"03/31/2018, 09:00",Power B,Final
Grand Valley State,Ball State,13,5,"03/31/2018, 09:00",Power B,Final
Missouri S&T,Grand Valley State,12,9,"03/31/2018, 10:40",Power B,Final
Denver,Ball State,11,10,"03/31/2018, 10:40",Power B,Final
Ball State,Minnesota (B),7,11,"03/31/2018, 12:20",Power B,Final
Denver,Grand Valley State,10,9,"03/31/2018, 12:20",Power B,Final
Missouri S&T,Ball State,13,8,"03/31/2018, 14:00",Power B,Final
Denver,Minnesota (B),8,10,"03/31/2018, 14:00",Power B,Final
Missouri S&T,Denver,14,13,"03/31/2018, 15:40",Power B,Final
Grand Valley State,Minnesota (B),8,10,"03/31/2018, 15:40",Power B,Final
pool,Pool C
Southern Indiana,Michigan State (B),13,11,"03/31/2018, 09:00",Pool C,Final
Southern Indiana,Illinois (B),12,13,"03/31/2018, 10:40",Pool C,Final
Washington University (B),Illinois (B),13,14,"03/31/2018, 12:20",Pool C,Final
Washington University (B),Michigan State (B),9,10,"03/31/2018, 14:00",Pool C,Final
Illinois (B),Purdue (B),13,5,"03/31/2018, 15:00",Pool C,Final
Southern Indiana,Washington University (B),12,13,"03/31/2018, 15:40",Pool C,Final
Illinois (B),Michigan State (B),9,8,"03/31/2018, 15:40",Pool C,Final
Washington University (B),Purdue (B),10,11,"03/31/2018, 16:40",Pool C,Final
Purdue (B),Michigan State (B),11,10,"03/31/2018, 18:20",Pool C,Final
Southern Indiana,Purdue (B),9,8,"03/31/2018, 20:00",Pool C,Final
pool,Pool D
Beloit College,Illinois (C),13,0,"03/31/2018, 09:00",Pool D,Final
DePaul,Illinois State (B),12,4,"03/31/2018, 09:00",Pool D,Final
Beloit College,DePaul,7,8,"03/31/2018, 10:40",Pool D,Final
Indiana (B),Illinois State (B),9,10,"03/31/2018, 10:40",Pool D,Final
Illinois State (B),Illinois (C),13,6,"03/31/2018, 12:20",Pool D,Final
Indiana (B),DePaul,4,9,"03/31/2018, 12:20",Pool D,Final
Beloit College,Illinois State (B),W,L,"03/31/2018, 14:00",Pool D,Final
Indiana (B),Illinois (C),9,4,"03/31/2018, 14:00",Pool D,Final
Beloit College,Indiana (B),13,4,"03/31/2018, 15:40",Pool D,Final
DePaul,Illinois (C),7,0,"03/31/2018, 15:40",Pool D,Final
b,r,e,a,k
brackets,Bracket
bracket,Championship
Minnesota (B),Wisconsin-Eau Claire,12,7,"04/01/2018, 14:00",Championship,Final
Grand Valley State,Minnesota (B),11,12,"04/01/2018, 12:20",Semis,Final
Nebraska,Wisconsin-Eau Claire,11,12,"04/01/2018, 12:20",Semis,Final
Grand Valley State,Wisconsin-Whitewater,13,11,"04/01/2018, 10:40",Quarters,Final
DePaul,Minnesota (B),8,13,"04/01/2018, 10:40",Quarters,Final
Nebraska,Illinois (B),13,5,"04/01/2018, 10:40",Quarters,Final
Missouri S&T,Wisconsin-Eau Claire,0,1,"04/01/2018, 10:40",Quarters,Final
Grand Valley State,Winona State,13,7,"04/01/2018, 09:00",Play In,Final
Denver,DePaul,8,10,"04/01/2018, 09:00",Play In,Final
Northern Iowa,Illinois (B),9,10,"04/01/2018, 15:00",Play In,Final
Ball State,Wisconsin-Eau Claire,10,12,"04/01/2018, 09:00",Play In,Final
bracket,9th 
Winona State,Northern Iowa,7,5,"04/01/2018, 18:20",9th,Final
Winona State,Denver,13,9,"04/01/2018, 10:40",9th Semis,Final
Northern Iowa,Ball State,12,11,"04/01/2018, 16:40",9th Semis,Final
bracket,5th
Wisconsin-Whitewater,Illinois (B),13,5,"04/01/2018, 14:00",5th,Final
Wisconsin-Whitewater,DePaul,13,10,"04/01/2018, 12:20",5th Semis,Final
Illinois (B),Missouri S&T,1,0,"04/01/2018, 12:20",5th Semis,Final
bracket,3rd 
Grand Valley State,Nebraska,0,1,"04/01/2018, 14:00",3rd,Final
bracket,13th Bracket
Michigan State (B),Beloit College,5,11,"04/01/2018, 12:20",13th,Final
Southern Indiana,Michigan State (B),6,13,"04/01/2018, 10:40",13th Semis,Final
Purdue (B),Beloit College,8,13,"04/01/2018, 16:40",13th Semis,Final
Southern Indiana,Illinois (C),13,1,"04/01/2018, 09:00",13th Quarters,Final
Michigan State (B),Illinois State (B),1,0,"04/01/2018, 09:00",13th Quarters,Final
Purdue (B),Indiana (B),13,1,"04/01/2018, 15:00",13th Quarters,Final
Beloit College,Washington University (B),13,11,"04/01/2018, 09:00",13th Quarters,Final
bracket,17th 
Illinois (C),Washington University (B),2,13,"04/01/2018, 14:00",17th,Final
Illinois (C),Illinois State (B),1,0,"04/01/2018, 12:20",17th Semis,Final
Indiana (B),Washington University (B),0,1,"04/01/2018, 12:20",17th Semis,Final
bracket,15th
Southern Indiana,Purdue (B),0,1,"04/01/2018, 20:00",15th,Final
b,r,e,a,k
