TCT Select Flight Invite 2018,Club - Mixed ,28,7,2018
Salt Lake City,UT,2018-07-28,2018-07-29
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-2018/schedule/Mixed/Club-Mixed
Polar Bears,2
Classy,Lochsa,12,11,"07/29/2018, 11:00",5th Place Semis,Final
bracket,7th Place
Mesteño,Lochsa,6,9,"07/29/2018, 13:00",7th Place,Final
bracket,9th Place Bracket
Minnesota Star Power,Tequila Mockingbird,13,7,"07/29/2018, 11:00",9th Place,Final
Cosa Nostra,Minnesota Star Power,9,12,"07/29/2018, 09:00",9th Semis,Final
Tequila Mockingbird,Bozos,11,9,"07/29/2018, 09:00",9th Semis,Final
bracket,11th Place
Cosa Nostra,Bozos,10,8,"07/29/2018, 13:00",11th Place,Final
b,r,e,a,k
pools,13th-15th Place Round Robin
pool,Pool B
Pegasus,Sweet Action,7,12,"07/29/2018, 09:00",Pool B,Final
Pegasus,Thoroughbred,7,11,"07/29/2018, 11:00",Pool B,Final
Thoroughbred,Sweet Action,13,9,"07/29/2018, 13:00",Pool B,Final
b,r,e,a,k
