USA Ultimate National Championships,Club - Mixed ,18,10,2018
San Diego,CA,2018-10-18,2018-10-21
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2018/schedule/Mixed/Club-Mixed
Blackbird,8
09,Nate Roth
10,Doug Stenclik
11,Nicholas Lance
12,Emlia Garcia
13,Kyle Enns
20,C Ryan Morgan
21,Joseph Anderson
22,Danielle Love
23,Peter Raines
24,Zackary Fleming
25,Nicholas Snuszka
27,Chris Gauen
28,Jana Krutsinger
31,Christina McDowell
33,Alexandra Daniels
46,Chelsea Cotton
48,Aubree Dietrich
51,Spencer Tibbs
52,Marilyn Reich
56,Jacob Juszak
69,Adrienne Altobelli
85,Vinny Fiacco
b,r,e,a,k
XIST,14
teamInfo,,"New York, New York",https://www.xistultimate.com/,https://www.facebook.com/xistultimate/,https://twitter.com/XIST_Ultimate
01,Robert Smith
02,Karen Chalif
03,Gary Dixon
06,Jessica Shatkin
07,Ryan Drost
09,Isaiah Bryant
10,Tricia Smit
11,Angel Li
12,Joe Babbino
14,Robert Rickert
15,Matthew Baum
16,Sasinya Scott
17,Kevin Ludwig
18,Caitlyn Hauswirth
19,Tim Gilboy
21,Cara Brown
22,Alexander Hem
24,Julie Xia
28,Rachel Attix
33,Brian Varis
36,Matt Wiener
42,Tim Kominos
44,Ruthie Tabatchnick
52,Sarah Kay Dela Cruz
80,Hannah Garfield
85,Jacqueline Lee
88,David Koch
b,r,e,a,k
Space Heater,6
teamInfo,,"Washington, District of Columbia",,,https://twitter.com/spaceheaterulti
coaches,Fred Wolf
00,Theodore Sither
01,Zachary Norrbom
04,Patrick Shriwise
05,Allison Maddux
07,David Boylan-Kolchin
08,Christine Valvo
09,Kyle Khalifa
10,Jenny Fey
17,Shino Yoshen
18,Crystal Davis
19,Georgia Bosscher
27,Cody Johnston
32,Anthony McLean
35,Katherine Sanz
37,Sandra Jorgensen
42,Ryan Nam
43,Joe Freund
51,Claire Desmond
61,Erik Salmi
76,Adam Raty
88,Kelly Hyland
95,Rachel Hess
99,Alan Kolick
b,r,e,a,k
Mischief,10
teamInfo,,"San Francisco Bay Area, California",http://www.mischiefultimate.com/,https://www.facebook.com/MischiefUltimate/,https://twitter.com/mischief_nation
02,Corinne Hanson
03,Preeti Nalavade
04,Michael Dirda
06,James Hansell
07,Devon Williams
08,Julia Butterfield
10,Elliott Chartock
11,Cody Kirkland
12,Candice Tse
13,Robin Meyers
14,Youngsoo (Ellen) Rim
15,Nathan Young
17,Julia Kwasnick
18,Caitlin Rugg
19,Sean Childers
20,Jenny Wang
22,Eric Rivera
23,Jordan Jeffery
25,Audrey Wei
29,VY Chow
30,Han Chen
33,Scott Gatto
47,Gina Schumacher
72,Devin Drewry
77,Emily Prader
80,Kevin Smith
99,Max de Visser
b,r,e,a,k
Seattle Mixtape,3
teamInfo,,"Seattle, Washington",,https://www.facebook.com/206ghettobirds/,https://twitter.com/SeattleMIXtape
02,Kahyee Fong
03,Cam Bailey
04,Zhi Chen
08,Meagan Kapostasy
10,Lexi Garrity
11,Bert Cherry
12,Bradley Houser
14,Reed Hendrickson
16,Mark Burton
17,Ellen Goldberg
18,Casey Ikeda
19,Cole Johnson
20,Grace Noah
21,Jesse Bolton
22,Evan Klein
23,Nicola Bruce
24,Alex Duffel
27,Dominic Cavalero
28,Claire Revere
32,Emily Smith-Wilson
34,Brian Stout
44,Abbie Abramovich
50,Nicholas Dare
58,Paige Kercher
71,Arianne Lozano
81,Lani Nguyen
99,Khalif El-Salaam
b,r,e,a,k
Jughandle,15
teamInfo,,"Princeton, New Jersey",,,https://twitter.com/TeamJughandle
coaches,Judy Jarvis
00,Natalia De Jesus
01,Jimmy Wang
02,Funing Zhang
06,Dmitry Suvorov
07,Thomas Johnson
08,Jeff Shipkin
09,Charles Cannon
11,Ryan Anderson
12,Harrison Treegoob
16,Emily Yin
18,Emily  Cai
19,Andrew Auyeung
20,Rebecca Halleran
21,Elizabeth Melillo
22,David Harrison
24,Susanna Jivotovski
26,Evan Feeney
27,Cara Silvestri
34,Kristi Huang
42,Lucas  Richie
48,Mason Compton
50,Drew Rasmussen
51,Jessica Renninger
55,Mathieu Savarit-Cosenza
78,Emma Ignaszewski
88,Jessica Louie
95,Colin Kochenash
b,r,e,a,k
Snake Country,5
teamInfo,,"Boston, Massachusetts",,,https://twitter.com/SnakeCountry
00,Jacob Taylor
01,Brian Garcia
03,Anna MacNaughton
04,Davis Whitehead
05,Kirsten Lundquist
07,Sophia Vargas
08,Peter Prial
09,Karoline Hart
11,Ryan Levins
12,Christopher Waite
13,Kimberly Levins
14,David Ferraro
15,Charlie Roberts
16,Erin Rea
17,Auralyn Mackenzie
21,Misha Herscu
22,Alexi Zalk
23,David Reshef
24,Jesse Wolf
25,Sarah Hemphill
26,Chelsea Leeder
33,Jake Herman
35,Piers MacNaughton
43,Jon Hirschberger
46,Daniel Glatt
64,Jamie Quella
89,Annie Fisher
b,r,e,a,k
BFG,4
teamInfo,,"Seattle, Washington",,,https://twitter.com/SeattleBFG
03,Mario O'Brien
04,Andrew Hagen
05,Kate Kingery
06,Bryson Fox
07,Kerry Chang
10,Adam Simon
11,Austin Barden
14,Mia Hagen
17,Thomas Li
19,Julia Bladin
20,Alexa Kirkland
22,Aaron Richards
23,Linnea Soo
24,Sam Pickel
26,Andi Coleman
27,Jeffrey Pape
28,Leah Bar-On Simmons
29,Jimmy Hooper
30,Sarah Benditt
32,Alissa Soo
33,AnnaMaria Pape
44,Stephen Gussin
55,Lindsay Simon
66,Crystal (Lok) Koo
88,Lili Gu
98,Aldous Root
99,Kyle Terriere
b,r,e,a,k
Slow White,9
teamInfo,,"Boston, Massachusetts",,https://www.facebook.com/SlowWhiteUltimate/,https://twitter.com/SlowWhite_
coaches,Marshall Goff
02,Ryan Cardinal
03,Eric Shaw
04,Thomas Ferguson
05,Shaun Doherty
06,Shaun Krieger
07,Rosalyn Ano
08,Walker Hatchett
09,Jeff Smith
10,Ryan Turner
11,Arielle Nelson
12,Ivan Tran
14,Hannah Baranes
15,Caitlin Fitzgerald
17,Tess Johnson
19,Olivia Hampton
20,David Friedman
21,Patrick Barron
24,Andy Schachter
25,Alexander Trahey
26,Rachael Westgate
28,Vicki Chang
32,Emilia Scheemaker
46,Amy Stoddard
55,Todd Herman
60,Caitlin Go
62,Leanne Go
77,Eli Motycka
b,r,e,a,k
Columbus Cocktails,16
teamInfo,,"Columbus, Ohio",,,@cbusmixed
01,Alaine Wetli
03,Ben Sever
04,Emily Barrett
06,Kristol Das
07,Monica Tournoux
08,Katherine Sandstrom
09,Ryan Kindell
10,Jeffrey Brauning
11,Jackie Matonis
12,Sion Agami Contreras
13,Caitlin Duffner
14,Emily Steedman
16,Chloe Lim
17,Benjamin Reith
18,Cara Sieber
22,Nathan Olszowy
23,Kyle Murray
28,Stacy Lu
30,Michael Hammond
31,Eliot Alexander
37,Tony Donato
59,Todd Miller
77,Sadie Jezierski
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
AMP,No Touching!,15,6,"10/18/2018, 09:00",Pool A,Final
Blackbird,Toro,10,13,"10/18/2018, 09:00",Pool A,Final
AMP,Toro,15,8,"10/18/2018, 11:15",Pool A,Final
Blackbird,No Touching!,15,9,"10/18/2018, 11:15",Pool A,Final
AMP,Blackbird,14,15,"10/18/2018, 13:30",Pool A,Final
No Touching!,Toro,13,12,"10/18/2018, 13:30",Pool A,Final
pool,Pool B
Drag'n Thrust,Polar Bears,15,11,"10/18/2018, 11:15",Pool B,Final
shame.,XIST,15,7,"10/18/2018, 11:15",Pool B,Final
Drag'n Thrust,XIST,14,8,"10/18/2018, 13:30",Pool B,Final
shame.,Polar Bears,11,15,"10/18/2018, 13:30",Pool B,Final
Drag'n Thrust,shame.,13,12,"10/18/2018, 15:45",Pool B,Final
Polar Bears,XIST,14,13,"10/18/2018, 15:45",Pool B,Final
pool,Pool C
Seattle Mixtape,Mischief,13,10,"10/18/2018, 09:00",Pool C,Final
Space Heater,Jughandle,15,7,"10/18/2018, 09:00",Pool C,Final
Seattle Mixtape,Jughandle,15,7,"10/18/2018, 13:30",Pool C,Final
Space Heater,Mischief,13,14,"10/18/2018, 13:30",Pool C,Final
Seattle Mixtape,Space Heater,9,15,"10/18/2018, 15:45",Pool C,Final
Mischief,Jughandle,15,11,"10/18/2018, 15:45",Pool C,Final
pool,Pool D
BFG,Slow White,16,15,"10/18/2018, 09:00",Pool D,Final
Snake Country,Columbus Cocktails,15,11,"10/18/2018, 09:00",Pool D,Final
BFG,Columbus Cocktails,15,6,"10/18/2018, 11:15",Pool D,Final
Snake Country,Slow White,15,10,"10/18/2018, 11:15",Pool D,Final
BFG,Snake Country,10,12,"10/18/2018, 15:45",Pool D,Final
Slow White,Columbus Cocktails,15,10,"10/18/2018, 15:45",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
Seattle Mixtape,AMP,8,15,"10/21/2018, 10:00",1st Place,Final
Seattle Mixtape,Snake Country,13,12,"10/20/2018, 10:00",Semifinals,Final
Space Heater,AMP,14,15,"10/20/2018, 11:45",Semifinals,Final
Blackbird,Seattle Mixtape,11,13,"10/19/2018, 11:45",Quarterfinals,Final
Mischief,Snake Country,9,15,"10/19/2018, 11:45",Quarterfinals,Final
Space Heater,BFG,13,12,"10/19/2018, 14:00",Quarterfinals,Final
AMP,Drag'n Thrust,15,7,"10/19/2018, 14:00",Quarterfinals,Final
Polar Bears,Seattle Mixtape,9,15,"10/19/2018, 09:00",Pre-Quarters,Final
shame.,Mischief,8,15,"10/19/2018, 09:00",Pre-Quarters,Final
BFG,No Touching!,15,8,"10/19/2018, 09:00",Pre-Quarters,Final
Slow White,AMP,13,14,"10/19/2018, 09:00",Pre-Quarters,Final
b,r,e,a,k
brackets,Consolation Brackets  (2019 Pro Flight)
bracket,5th Place Bracket
Drag'n Thrust,Blackbird,12,15,"10/20/2018, 09:00",5th Place,Final
Drag'n Thrust,Mischief,15,12,"10/19/2018, 16:15",5th Place Semifinals,Final
Blackbird,BFG,14,13,"10/19/2018, 16:15",5th Place Semifinals,Final
bracket,7th Place Bracket  -- Pro Flight Play-In (A)
Mischief,shame.,11,15,"10/20/2018, 10:00",Pro Flight Play-In / 7th Place (tie),Final
shame.,Toro,13,12,"10/19/2018, 14:00",9th Place Semifinals,Final
shame.,Columbus Cocktails,15,9,"10/19/2018, 11:45",9th Place Quarterfinals,Final
Toro,No Touching!,15,10,"10/19/2018, 11:45",9th Place Quarterfinals,Final
bracket,7th Place Bracket -- Pro Flight Play-In (B)
XIST,BFG,5,15,"10/20/2018, 10:00",Pro Flight Play-In / 7th Place (tie),Final
Jughandle,XIST,12,14,"10/19/2018, 16:15",9th Place Semifinals,Final
Polar Bears,Jughandle,12,14,"10/19/2018, 11:45",9th Place Quarterfinals,Final
XIST,Slow White,14,12,"10/19/2018, 11:45",9th Place Quarterfinals,Final
b,r,e,a,k
brackets,Consolation Brackets (2019 Elite Flight)
bracket,11th Place
Toro,Jughandle,14,11,"10/20/2018, 09:00",11th Place,Final
bracket,13th Place Bracket
No Touching!,Slow White,9,15,"10/20/2018, 09:00",13th Place,Final
Columbus Cocktails,No Touching!,14,15,"10/19/2018, 14:00",13th Place Semifinals,Final
Polar Bears,Slow White,12,15,"10/19/2018, 14:00",13th Place Semifinals,Final
bracket,15th Place
Columbus Cocktails,Polar Bears,15,9,"10/20/2018, 09:00",15th Place,Final
b,r,e,a,k
clusters,Crossover Round (4 Seeds from Pool Play)
cluster,Crossover Round (4 Seeds from Pool Play)
Toro,Columbus Cocktails,16,14,"10/19/2018, 09:00",,Final
XIST,Jughandle,10,15,"10/19/2018, 09:00",,Final
b,r,e,a,k
