Heavyweights 2018 ,Club - Men ,4,8,2018
Montgomery,IL,2018-08-04,2018-08-05
https://play.usaultimate.org/events/Heavyweights-2018-/schedule/Men/Club-Men/
Pittsburgh Temper,1
54,Alex Stumphauzer
71,Wesley Green
b,r,e,a,k
Brickyard,2
0,Alex Henderson
0,Jason Yoder
0,Stephen Schott
0,Stephen Conner Henderson
1,Trevor Cook
3,Cameron Brock
7,Levi Jacobs
8,Kip Curtis
11,Colton Steiner
12,Colin Ringwood
16,Heath Kalaba
16,Max Bradshaw
17,Gabriel Wray
18,Aaron Weaver
18,Joe Dweck
19,SPENCER LOSCAR
22,Kyle Cox
23,Clark Barco
23,Zach Zebarth
28,Samuel Sohn
44,Donovan Triplett
45,Trey Dynes
85,John Jones
87,Rick Gross
b,r,e,a,k
Big Wrench,6
0,Eric Chen
0,Joseph Min
0,Keiran Carpen
0,Mark Kharakh
0,Michael Dillard
0,Skyler Tom
0,Topher Davis
3,Brian Wyer
4,Jordan Richmond
7,Alexander Roche
11,Samuel Letcher
13,Chris Padilla
17,Andrew Zaccardi
20,Jonah Kurman-Faber
25,Ilya Yudkovich
29,Daniel Doherty
45,Matthew Cook
50,Harrison Greene
53,David O'Dea
71,Denis Maguire
b,r,e,a,k
Four,7
0,Alex Bertoia
0,Alex Barber
0,Ben Sadis
0,BRIAN BROWN
0,Jack Bushart
0,Joshua Osinski
0,Trevor Kyle
1,Andrew Sjogren
2,Justin Perticone
3,Elijah Scherz
8,Chenxi Sun
8,Trey Taliaferro
14,Alvin Wang
17,Brendan McCann
17,Max Bommarito
17,Ryan Plumstead
18,David Innis
25,Ryan Yergin
27,Jake Pruitt
29,Ashton Hoffman
33,Daniel Dodge
35,Kevin Anthony
42,Nathan Champoux
61,Ryan Fattal
69,Evan Parizot
b,r,e,a,k
Mad Men,3
0,Ben Pavelka
0,Branavan Yogarajah
0,Cody Milstein
0,Eric von Kampen
0,Harrison Bielski
0,Liam McDonald
2,Tyler Williams
4,Henry Goldenberg
6,Gordon Peterson
9,Peter Walker
9,Brandon Taitt
12,Andrew Ishikawa
17,Sean Treacy
20,Jonathan Yeoh
22,Aaron Speiss
24,Andrew Everts
26,Simon Kuran
41,Colin Sunde
46,Addison Hanson
49,John Tan
55,Kelsen Alexander
55,Ben Kishter
57,Austin Reif
b,r,e,a,k
Imperial,9
0,Alex Bush
0,Arthur Harris
0,Daniel Stahlhut
0,Ethan Li
0,James Sawyer Scanlan
0,Joey Tillman
0,John Anderson
0,Mark Pennebecker
0,Morgan Bird
3,Jacob Ertz
7,Garrett Geib
8,Roberto Caballero
9,Joe Simonelli
12,Krishna Mahajan
12,Ryan Welch
22,Mitchell McGahan
27,Josh Yira
36,Adam Friedman
55,Brandon McClintock
63,Louie Bertoncin
69,Tucker Hoffman
87,Trent Brunner
95,Eric Volkmeier
b,r,e,a,k
Satellite,20
0,Aaron MIller
0,Adam Kinzinger
0,Alex Cawley
0,Brett Porter
0,Charlie Field
0,Kollin Kaczynski
0,Kyle Jones
0,Patrick Lott
0,Stone Swayze
4,Richard Sidlowski
4,Ryan Fitzgerald 
11,Isaac Degenhart
13,Caleb Backstrom
16,Alex Castillo
27,Tanner Graham
b,r,e,a,k
Dirty D,21
2,Chan Woo Park
3,Zachary Tetreau
4,Michael Zwayer
5,Caleb Neeper
10,Trevor Oxley
15,JASON COMTE
27,Tristan Bowerman
32,Cody Smith
35,Jon Gibson
42,DYLAN HANF
50,Ryan Ernst
85,Dafeng Chen
b,r,e,a,k
Kettering,32
2,Ian Merner
4,Matthew Donar
7,Bradley Krzywosinski
12,Samuel Silva
13,Joshua  Kalahar
14,Casey Puckett
15,Connor McVannel
16,Samuel Strickhouser
18,Jason Dietrich
20,Justin Gauss
21,Kyle Spengler
38,Perry Heppe
52,Colin Donar
67,Logan Wykes
68,Levi Bischer
b,r,e,a,k
Cryptic,19
02,Jacob Peiper
03,Shawn Smith
06,Tyler Whitehead
07,Nick Patrum
11,Blake Krapfl
12,David Lopez
14,Ethan Schultzen
15,Kyle Krukowski
16,Colin Stroehle-Durrah
17,Drew Flesch
20,Cameron Flores
22,Gage Sears
23,Bobby Reding
25,Chase Everett
30,Thomas McGreal
33,Ian Taylor
33,Jacob Arnold
36,Ryan Moore
63,Mason Burken
66,Dylan Weigand
80,Frederick Moeslein
88,Jacob Knobloch
b,r,e,a,k
Enigma,10
0,Alex Stevenson
0,Andrew Fassler
0,JASMINDER GREWAL
0,Jose Mikalauskas
0,Markus Ernst
13,Benny Rider
17,Daniel MacManus
18,Dylan Corwin
18,Peter Heidlauf
19,Samuel Lemmon
22,Matthew Muhlenkamp
24,Andrew Greenfield
26,Andrew Wiebe
31,Gary Stines
35,Brendan Eltzroth
42,Brandon Henry
43,Stephen Moore
54,Avery Moeller
69,Chris Stevens
70,Tanner Church
b,r,e,a,k
Baemaker,31
0,Caden Canavan
0,David Thomas
0,Jesse Johnson
0,Nic Nagata
0,Ryan Nader
0,Stephen Giunta
0,William Meyer
0,Yuan Chen
3,Brian Shea
17,John Wernet
18,Grayson Ducker
24,Alex Kim
28,Phillip Parker-Turner
62,Mitchell Morton
77,Robert Dreier
b,r,e,a,k
Ironside,22
0,Kyle Fruhling
0,Lue Yang
0,Luke Boge
0,Matthew Berkholtz
0,Riley  Neckermann
1,Gabe Wasserman
2,Dylan Petersen
4,Evan McNamara
7,David Cann
10,Juan Acosta
17,Geordi Haerr-Hartmann
17,Jason Hataj
25,Michael Van Haren
35,Charles Elliott
47,Michael Schon
72,Nick Rieger
b,r,e,a,k
Scythe,11
0,Aaron Bowles
0,Jared  Anderson
2,Tyler Roberts
17,Nich Rush
17,Cody Bollweg
18,Dane Jorgensen
19,Stewart Buckley
21,Christopher Baines
24,Thomas Sitorius
60,Gavin Helligso
81,Alex Boryca
85,Daniel Sullivan
99,Grant Dunbar
b,r,e,a,k
MomINtuM,18
0,Brandon Groff
0,Cody Stone
7,Lowell Knight
00,Nathan Bussberg
01,Andrew Warren
02,Tyler Stapleton
03,Alex Hester
05,Bobby Leroy
06,Jacob Mock
09,Kyle Hanley
13,Andrew Fenstermacher
14,J.J. Yarbrough
18,AJ  Humbert
22,Sam Ellison
24,Andrew McNally
30,Jon Swartling
31,Matthew VanDokkenburg
32,Justin Bowling
44,Nick Phillips
45,Jacob Long
75,Theodore Miller
76,Alexander Hutton
81,Dustin Campbell
85,Sedrik Sweet
86,Dusty (Dustin) Hughes
88,RYAN HANLEY
92,Anthony Grigoletti
b,r,e,a,k
Blacker Market,30
0,Colin Macgregor
0,Josh Deeman
0,Juan Amador
0,Matthew Mayorga
0,Michael Newman
0,Nigel Smucker
0,Phuoc-an Vo
0,Stephen Linden
0,Zachary Boehm
2,Joe Sidrys
4,Colin McMahon
16,Moses Oh
21,Drake Slater
35,Ryan Kern
38,John Kulikowski
45,Brent Studenroth
53,Joe Berry
69,Frank Dore
93,Manan Kothari
b,r,e,a,k
Hippie Mafia,23
0,Isaac Zwicker
0,Justin Baerwald
0,Paul Weisser
1,Timothy Garman
4,Jordan Benusa
03,Zachary Artz
15,ERIC MEINECKE
16,JAMES WU
17,Elias Magallanes Jr.
20,Colton Lubaszka
21,Kyle Gasiorowicz
29,Samuel Dirks
30,Stephen Becker
31,Edwin deWerff
37,DANIEL SHELDON
46,Evan Treacy
53,Lucas Stuiber
73,Richard Kerr
82,John Smedley
97,Brandon McDermid
b,r,e,a,k
Tanasi,12
0,Alan Huels
0,Brian Newsom
0,Clay Thomas
0,John Lithio
0,James Smith
0,Jared Trevor
0,Nicholas Stewart
0,Roger King
0,Ryder Pierce
2,Brendn Swam
5,Neil Place
12,Bryan Sansbury
14,William White
15,Ryan Seay
18,Yanni Killebrew
22,John Carden
23,Matthew Smith
23,Josh Johnson
24,Justin Badgett
24,Matthew Sui
24,Michael Ball
25,Andrew Geisel
28,Nicholas Baldwin
32,Mathew Taylor
42,Watson Anderson
64,Bryan Sandidge
71,Corey Foster
b,r,e,a,k
houSE,17
0,Andrew Caucutt
1,Nick Lilla
3,Blake Kiefner
6,Nick Robinson
9,Donald James
07,David Ashmore
10,Scott Wenzel
11,James Firth Fountain
12,David Zickus
13,Andrew Workman
15,Ryan O'Reilly
16,Benjamin Tompkins
20,Brett Robinson
23,Glenn Kaboskey
27,Joshua Collins
29,Jacob Calbaum
32,Andrew Nilsen
34,Justin Brockmann
52,Ian Erly
64,Dalton Dowd
99,Matt Hulsether
b,r,e,a,k
Green Bay Quackers,29
0,Christopher Mills
0,Nicholas Tompkins
03,Frank Ontaneda
10,Jason Worful
13,Cory Ladwig
14,TONY BOMBER
17,Dustin OConnell
30,Thomas Doro
33,Zachary Coehoorn
71,Andrew Yenter
88,Cameron Junion
89,Scott Bender
99,Chad Heldt
b,r,e,a,k
Black Market II,24
0,Grant Kern
0,Harrison Krebs
0,Joel Peterson
0,Kent McDonell
0,Michael Ferjak
0,Shivam Boghra
1,Alex Straczek
2,Dexter Straczek
3,Charlie Peters
8,Rageed Basrawi
11,Rene Quintana
25,Syed Akbar Jaffery
28,Anthony Marolda
33,Kyle  Ezell
37,Richard Davis
61,Brian Payne
64,Bennett Bernardoni
71,Emil Broemmelsiek
89,Alex Tam
98,Mikey Williams
b,r,e,a,k
Greater Gary Goblins Y,28
0,Colin MacGregor
0,Collin Klenke
0,Connor Buckley
0,John Surprenant
0,Judah Newman
0,Keith Bohrer
0,Michael Koho
0,Sean Howley
0,Shravan Ravishankar
0,Will Clay
4,Theodore Bisdikian
5,Benjamin Israel
14,Austin Walter
19,Sebastian Miner
20,Jay Valdillez
32,Kenneth Xuan
41,Christian Rozolis
63,Jason  Vallee
b,r,e,a,k
THE BODY,16
0,Ashton Robinson
0,Brian Paulson
0,Alex Kraft
0,Mark Roos
3,Patrick Dunn
3,Darren Smith-Thorgrimson
5,Grant Kregness
03,Andrew Pipp
11,Julius Williamson Jr.
15,Jacob WIlson
15,Sam Stark
16,Matthew Racky
23,Kyle Smith
40,Joshua Pratt
44,Adam Herzuck
46,Timothy Opdahl
47,Matthew Rodway
52,Ma'iingan Sherritt-Stone
b,r,e,a,k
Wisconsin Hops,13
0,Dylan Konicek
0,Jarrett Stanke
0,Trent Grair
0,Zach Hendzel
2,Garrek Wierzba
3,Daniel Rowan
3,Robert Lyke
02,Graham Schneider
10,Tate Klauck
11,Dylan Boucher
14,Grant Hellestad
15,Tim Larsen
17,Kirk Prince
27,Tyler Konicek
45,Thomas Mattimiro
88,Jeremiah Kramasz
88,Dustin Oetzman
99,Daniel Lang
b,r,e,a,k
Midnight Meat Train,25
0,Alec DenBraber
0,Austin Masselink
0,Christopher Dahm
0,Devon Downs
0,Mike Zaagman
0,Mitchell DeNooyer
0,Sean Rohen
0,Tedd Sheets
0,Zachary Paradis
8,Nathanael Olander
10,Perry-David van Dillen
10,Keegan Barth
17,Matthew Silverhart
77,Tim Jen
92,Greg Hensen
b,r,e,a,k
Greater Gary Goblins X,27
0,Benjamin Girard
0,Bruce Johnson
0,DeAngelo Barragan
0,Dylan Petiprin
0,Dylan Thiermann
0,Alex Drlica-Wagner
0,Jeffrey Holm
0,Milan Rivas
0,Neil Makhija
0,Peter Becht
0,Steven Campillo
4,Anthony Colucci
5,Eric Bens
13,Jeremy Piech
23,Eric Hochberger
35,Andrew Goldstein
57,Bif Reiser
69,Nick Loughran
96,George Irving
b,r,e,a,k
Prime,14
0,Garrett Odom
0,Tyler Smith
0,Jason Hustad
0,Kwunho Wu
0,Mauricio Muller
0,Neel Reddy
0,Nidhish Lokesh
4,Julius Hubby
5,Evan Garner
5,Christian Cortes
7,Matthew Melendez
16,Andy Evans
22,John Wynne
27,Daniel Richards
29,Steven Gomez
31,Blake Spangler
35,Alexander Brewster
43,Brandon Chow
77,Ryan Santos
b,r,e,a,k
KC SmokeStack,15
0,Brett Dare
0,Karl Kraemer
0,Marcus Gammill
0,Mark Yonker
0,Matt Bandes
0,Darien Parr
0,Erick  Neilson
0,Matthew Piontek
4,Ryland Bristow
7,Aaron Parkhurst
9,Creighton Miller
19,Branden Schneider
25,Anthony Chartier
59,John Wildman
78,Mitchell Zimmmermann
82,Spencer Carey
88,Matthew Price
b,r,e,a,k
Fifty-Fifty,26
0,Sean Eberle
02,Matt Soule
07,Ben Burford
12,Bradley Pagel
14,Albert Su
20,Jonathan Gunasingham
21,Cody Haas
22,Andrew Richter
23,Thomas Kasper
24,Alexander Wegman
26,Frank Ginder
32,David Kasper
34,John Padua
52,Isaac Pearlstone
70,Conor Irwin
99,Bryant Scaife
99,Andrew Kohlfeld
b,r,e,a,k
s,t,a,g,e,s
pools,O POWER PP
pool,Pool A
Pittsburgh Temper,MKE,13,5,"08/04/2018, 08:00",Pool A,Final
Black Market,Haymaker,13,9,"08/04/2018, 08:00",Pool A,Final
Pittsburgh Temper,Haymaker,13,6,"08/04/2018, 11:30",Pool A,Final
Black Market,MKE,12,11,"08/04/2018, 11:30",Pool A,Final
Pittsburgh Temper,Black Market,13,7,"08/04/2018, 13:15",Pool A,Final
MKE,Haymaker,11,9,"08/04/2018, 13:15",Pool A,Final
pool,Pool B
Brickyard,Big Wrench,13,8,"08/04/2018, 09:45",Pool B,Final
Mad Men,Four,7,13,"08/04/2018, 09:45",Pool B,Final
Brickyard,Four,13,9,"08/04/2018, 11:30",Pool B,Final
Mad Men,Big Wrench,6,13,"08/04/2018, 11:30",Pool B,Final
Big Wrench,Four,13,7,"08/04/2018, 13:15",Pool B,Final
Brickyard,Mad Men,13,6,"08/04/2018, 15:00",Pool B,Final
b,r,e,a,k
pools,O PP
pool,Pool C
Imperial,Dirty D,13,4,"08/04/2018, 08:00",Pool C,Final
Satellite,Kettering,13,1,"08/04/2018, 08:00",Pool C,Final
Imperial,Kettering,13,1,"08/04/2018, 09:45",Pool C,Final
Satellite,Dirty D,13,7,"08/04/2018, 09:45",Pool C,Final
Imperial,Satellite,11,9,"08/04/2018, 13:15",Pool C,Final
Dirty D,Kettering,13,5,"08/04/2018, 13:15",Pool C,Final
pool,Pool D
Enigma,Ironside,13,4,"08/04/2018, 08:00",Pool D,Final
Cryptic,Baemaker,13,8,"08/04/2018, 08:00",Pool D,Final
Enigma,Baemaker,13,7,"08/04/2018, 11:30",Pool D,Final
Cryptic,Ironside,13,6,"08/04/2018, 11:30",Pool D,Final
Enigma,Cryptic,11,13,"08/04/2018, 13:15",Pool D,Final
Ironside,Baemaker,8,13,"08/04/2018, 13:15",Pool D,Final
pool,Pool E
Scythe,Hippie Mafia,13,7,"08/04/2018, 08:00",Pool E,Final
MomINtuM,Blacker Market,13,10,"08/04/2018, 08:00",Pool E,Final
Scythe,Blacker Market,13,6,"08/04/2018, 09:45",Pool E,Final
MomINtuM,Hippie Mafia,13,1,"08/04/2018, 09:45",Pool E,Final
Scythe,MomINtuM,13,12,"08/04/2018, 13:15",Pool E,Final
Hippie Mafia,Blacker Market,7,13,"08/04/2018, 13:15",Pool E,Final
pool,Pool F
Tanasi,Black Market II,13,0,"08/04/2018, 08:00",Pool F,Final
houSE,Green Bay Quackers,13,5,"08/04/2018, 08:00",Pool F,Final
Tanasi,Green Bay Quackers,13,9,"08/04/2018, 11:30",Pool F,Final
houSE,Black Market II,13,7,"08/04/2018, 11:30",Pool F,Final
Tanasi,houSE,13,4,"08/04/2018, 13:15",Pool F,Final
Black Market II,Green Bay Quackers,8,9,"08/04/2018, 13:15",Pool F,Final
pool,Pool G
Wisconsin Hops,Midnight Meat Train,13,4,"08/04/2018, 09:45",Pool G,Final
THE BODY,Greater Gary Goblins Y,9,13,"08/04/2018, 09:45",Pool G,Final
Wisconsin Hops,Greater Gary Goblins Y,9,13,"08/04/2018, 11:30",Pool G,Final
THE BODY,Midnight Meat Train,13,3,"08/04/2018, 11:30",Pool G,Final
Wisconsin Hops,THE BODY,8,9,"08/04/2018, 13:15",Pool G,Final
Midnight Meat Train,Greater Gary Goblins Y,5,13,"08/04/2018, 13:15",Pool G,Final
pool,Pool H
Prime,Fifty-Fifty,13,7,"08/04/2018, 08:00",Pool H,Final
KC SmokeStack,Greater Gary Goblins X,9,13,"08/04/2018, 08:00",Pool H,Final
Prime,Greater Gary Goblins X,6,13,"08/04/2018, 09:45",Pool H,Final
KC SmokeStack,Fifty-Fifty,13,5,"08/04/2018, 09:45",Pool H,Final
Prime,KC SmokeStack,10,8,"08/04/2018, 13:15",Pool H,Final
Fifty-Fifty,Greater Gary Goblins X,4,13,"08/04/2018, 13:15",Pool H,Final
b,r,e,a,k
brackets,O BP
bracket,O CHAMPIONSHIP BRACKET
Pittsburgh Temper,Brickyard,13,6,"08/05/2018, 14:00",O FINALS,Final
Pittsburgh Temper,Big Wrench,11,7,"08/05/2018, 12:00",O SEMIS,Final
Brickyard,Black Market,13,5,"08/05/2018, 12:00",O SEMIS,Final
Pittsburgh Temper,Mad Men,13,8,"08/05/2018, 10:00",O QUARTERS,Final
Big Wrench,MKE,12,11,"08/05/2018, 10:00",O QUARTERS,Final
Brickyard,Haymaker,13,8,"08/05/2018, 10:00",O QUARTERS,Final
Black Market,Four,13,10,"08/05/2018, 10:00",O QUARTERS,Final
Pittsburgh Temper,THE BODY,13,1,"08/05/2018, 08:00",O PRE-QS,Final
Mad Men,Imperial,12,9,"08/05/2018, 08:00",O PRE-QS,Final
Big Wrench,Greater Gary Goblins X,13,8,"08/05/2018, 08:00",O PRE-QS,Final
MKE,Tanasi,11,10,"08/05/2018, 08:00",O PRE-QS,Final
Brickyard,Prime,13,6,"08/05/2018, 08:00",O PRE-QS,Final
Haymaker,Cryptic,13,7,"08/05/2018, 08:00",O PRE-QS,Final
Black Market,Greater Gary Goblins Y,10,9,"08/05/2018, 08:00",O PRE-QS,Final
Four,Scythe,13,10,"08/05/2018, 08:00",O PRE-QS,Final
bracket,O T-5TH PLACE GAME #1
Mad Men,MKE,13,9,"08/05/2018, 14:00",O T-5TH PLACE (1),Final
bracket,O T-5TH PLACE GAME #2
Haymaker,Four,11,12,"08/05/2018, 14:00",O T-5TH PLACE (2),Final
bracket,O 9TH PLACE BRACKET
Tanasi,Greater Gary Goblins Y,9,10,"08/05/2018, 14:00",O 9TH PLACE ,Final
Imperial,Tanasi,10,11,"08/05/2018, 12:00",O 9TH SEMIS,Final
Prime,Greater Gary Goblins Y,2,13,"08/05/2018, 12:00",O 9TH SEMIS,Final
THE BODY,Imperial,3,13,"08/05/2018, 10:00",O 9TH QUARTERS,Final
Greater Gary Goblins X,Tanasi,7,13,"08/05/2018, 10:00",O 9TH QUARTERS,Final
Prime,Cryptic,9,8,"08/05/2018, 10:00",O 9TH QUARTERS,Final
Greater Gary Goblins Y,Scythe,13,7,"08/05/2018, 10:00",O 9TH QUARTERS,Final
bracket,O T-13TH PLACE GAME #1
THE BODY,Greater Gary Goblins X,8,13,"08/05/2018, 14:00",O T-13TH PLACE (1),Final
bracket,O T-13TH PLACE GAME #2
Cryptic,Scythe,1,0,"08/05/2018, 14:00",O T-13TH PLACE (2),Final
bracket,O 17TH PLACE BRACKET
Satellite,Enigma,12,10,"08/05/2018, 14:00",O 17TH PLACE,Final
Blacker Market,Satellite,8,13,"08/05/2018, 12:00",O 17TH SEMIS,Final
MomINtuM,Enigma,9,13,"08/05/2018, 12:00",O 17TH SEMIS,Final
houSE,Blacker Market,10,11,"08/05/2018, 10:00",O 17TH QUARTERS,Final
Satellite,Baemaker,13,5,"08/05/2018, 10:00",O 17TH QUARTERS,Final
MomINtuM,Green Bay Quackers,13,4,"08/05/2018, 10:00",O 17TH QUARTERS,Final
Enigma,Dirty D,13,8,"08/05/2018, 10:00",O 17TH QUARTERS,Final
bracket,O 19TH PLACE GAME
Blacker Market,MomINtuM,8,11,"08/05/2018, 14:00",O 19TH PLACE,Final
bracket,O 21ST PLACE BRACKET
houSE,Green Bay Quackers,13,4,"08/05/2018, 14:00",O 21ST PLACE,Final
houSE,Baemaker,12,7,"08/05/2018, 12:00",O 21ST SEMIS,Final
Green Bay Quackers,Dirty D,11,10,"08/05/2018, 12:00",O 21ST SEMIS,Final
bracket,O 23RD PLACE GAME
Baemaker,Dirty D,11,13,"08/05/2018, 14:00",O 23RD PLACE,Final
bracket,O 25TH PLACE BRACKET
Wisconsin Hops,KC SmokeStack,6,11,"08/05/2018, 14:00",O 25TH PLACE,Final
Wisconsin Hops,Fifty-Fifty,13,6,"08/05/2018, 12:00",O 25TH SEMIS,Final
KC SmokeStack,Midnight Meat Train,13,6,"08/05/2018, 12:00",O 25TH SEMIS,Final
Wisconsin Hops,Kettering,13,2,"08/05/2018, 08:00",O 25TH QUARTERS,Final
Fifty-Fifty,Black Market II,13,8,"08/05/2018, 08:00",O 25TH QUARTERS,Final
KC SmokeStack,Ironside,13,7,"08/05/2018, 08:00",O 25TH QUARTERS,Final
Midnight Meat Train,Hippie Mafia,13,7,"08/05/2018, 08:00",O 25TH QUARTERS,Final
bracket,O 27TH PLACE GAME
Fifty-Fifty,Midnight Meat Train,3,11,"08/05/2018, 14:00",O 27TH PLACE,Final
bracket,O 29TH PLACE BRACKET
Black Market II,Hippie Mafia,11,12,"08/05/2018, 14:00",O 29TH PLACE,Final
Kettering,Black Market II,5,12,"08/05/2018, 12:00",O 29TH SEMIS,Final
Ironside,Hippie Mafia,6,10,"08/05/2018, 12:00",O 29TH SEMIS,Final
bracket,O 31ST PLACE GAME
Kettering,Ironside,2,13,"08/05/2018, 14:00",O 31ST PLACE,Final
b,r,e,a,k
