East New England Mixed Sectional Championship,Club - Mixed ,8,9,2018
Northampton,MA,2018-09-08,2018-09-09
https://play.usaultimate.org/events/East-New-England-Mixed-Sectional-Championship-2018/schedule/Mixed/Club-Mixed
Snake Country,1
b,r,e,a,k
RIMIX,9
teamInfo,,"Providence, Rhode Island",,,
0,Audra Cornell
0,Cameron Lang
0,Cannondale LeDuc
0,Christen Scanlon
0,Jonathan Greenberg
0,Karina Cruz
0,Laken Hottle
0,Lauren Clem
0,Marisa Carvalho
0,Michelle Gagnon
0,Mitchell Mangahas
0,Molly Rockwood
0,Nathan Kane
0,Oliver Khamky
0,Scott Moody
0,Seth Dube
2,Allison Pereira
3,Evan McCarthy
9,Thayne Casper
9,Alexander Vazquez
16,Valerie Estela-Pro
19,Amanda Khoo
20,Paul Warmington
23,Matthew Pacenka
26,Nick Love
27,Jessica Magagnos
63,Timothy Newman
b,r,e,a,k
Drunk in Space,15
teamInfo,,"Boston, Massachusetts",http://drunkinspace.wordpress.com/,,https://twitter.com/drunkinspace_
0,Evan Rosenberg
0,Gene Price
0,Hyun Kim
0,Jessica Comras
0,Kara Heon
0,Lauren Currie
0,MADELYN PAWLINA
0,Armando Ochoa
0,Chad Keyworth
0,Monica Donegan
0,Nathan Gershaneck
0,RHYS THOMAS
2,Nicki Haylon
5,Michael Downing
8,Damien Sulla-Menashe
22,Meg Gatza
29,Dan Orzechowski
42,Alexander Mednick
b,r,e,a,k
Darkwing,3
teamInfo,,"Mansfield, Massachusetts",http://www.darkwingultimate.com,,https://twitter.com/Darkwing_Mixed
0,Dean Bullock
0,Emet Schwartz
0,Eugene L'Heureux
0,Giancarlo Cincotta
0,Jacob Arwe
0,Jared Scheinberg
0,Alexander Donadio
0,Anna Zucchero
0,Brianna  Considine
0,Charlotte Langer
0,Christopher Mark
0,Mckenzie Finigan
0,Alexander Nagle
0,Sophie Shen
3,Steven Her
5,Conor Dowling
6,Justinne Guarin
9,Sara Rudolph
13,Kat Brock
16,ALEXANDER PINKHAM
21,Megan Vanderhooft
21,Michael Mason
21,Olivia Prosak
33,William Thornton
49,Lamia Farah
b,r,e,a,k
Titan NE,5
teamInfo,,"Bar Harbor, Maine",,,https://twitter.com/titan_ne
0,Brad Smith
0,Chris Zybert
0,ADAM JOHNSTON
0,Erica Tangney
0,Jared Jandreau
0,Kristen Stasinowsky
0,Kylie Thibodeau-Harvey
0,Laura Cassetty
0,Meredith Duffy
0,Nicholas Adolph
0,Nora Hoover
0,Olivia Arent
0,Kacy Thibodeau-Harvey
0,Scott Stailing
0,Tim Cardoso
0,Valerie Willocq
4,Ciaran Shaughnessy
9,John Sullivan
11,Paul Rees II
20,Ashton Wollett
21,Taylor Stewart
35,Corey Flynn
40,Holden Cookson
41,Lewis Seton
43,Jessica Jandreau
47,Kevin Chen
56,Jen Beatty
b,r,e,a,k
DTH,14
teamInfo,,"Cambridge, Massachusetts",,,@downtohuck
01,Alex Kostadinov
02,Greg Castanon
05,Cassidy Bowers
09,Dana  Dunwoody
11,Christopher Tonry
11,Eva Brasz
12,Derek Grimm
13,MEGHAN SOBBOTT
14,George Eichman IV
16,Marika Faytell Grimm
16,DAVID THOME
16,Ryan Colarusso
17,Blaine Connaughton
18,Christopher Shaikh
33,Steve Myers
49,Nicole Proulx
50,Richard Schaffer
50,Nathaniel Anker
51,Michael Gerbush
52,TREVOR BUYS
64,Daniel Lai
70,Anh Duong
87,Jason Gens
90,Clara Walsh
b,r,e,a,k
Rainbow,12
teamInfo,,"Somerville, Massachusetts",Tryouts:%20https://goo.gl/forms/UwVvhJGp4Nb6Pt4k1,https://www.instagram.com/rainbowultimate/,
0,Adam Salwen
0,Andrew Rogers
0,Gabriel Lyon
0,Georgia Nichols
0,Joe Rafalak
0,Jonathan Cass
0,Jonathan Kelly
0,Jordan Bricknell
0,Joshua  Bricknell
0,Justin Grimaldi
0,Maddie Marx
0,Maggie Su
0,Danielle DiRaddo
0,Matthew Schwartz
0,Meghan Gannon
0,Samantha Schmidt
1,EVAN RHEINGOLD
2,Matt Goldberg
11,Mei Reffsin
13,Jeff Knox
14,Jennifer Grossman
15,Becca Epstein
24,BEN CLARK
42,Angela Yu
68,Andrew Parmet
81,Winston Ge
b,r,e,a,k
Chaotic Good,4
teamInfo,,"Cambridge, Massachusetts",modules/common/www.chaoticgoodultimate.com,modules/common/www.facebook.com/chaoticgoodulti,www.twitter.com/chaoticgoodulti
coaches,Axis Sivitz
0,Andrew Applegate
0,Benjamin Rosenfeld
0,Delaney Reardon
0,EMILY HEATH
0,Kathryn Haapala
0,Kayla Huddell
0,Kevin O'Brien
0,Jaime Benites
0,Maya Stokes
0,Natalie Gould
0,Ryan Kelley
0,Varun Pattani
1,Shawna Zielstorff
5,Raymond Tetreault
6,Lauren Bertino
9,Lisa Liu
9,Andrew Yale
10,Olivia Player
11,Jacob Dummeldinger
20,Brandon Nadres
26,Hannah Barnstone
33,Nick Jewell
44,Katherine Buckingham 
99,Nicholas Lucchesi
99,Dan Huddell
b,r,e,a,k
Sunken Circus,6
teamInfo,,"Portland , Maine",,,
0,Amy LeBel
0,Bailey Kirwin
0,Benjamin Wilson
0,Christina Hassett
0,Emily DaSilva
0,Gunnar Heckler
0,Hudson Carr
0,Jordanna Rees
0,Josie Gillett
0,Kelley Kirwin
0,Daniel Butler
0,Mohdis Baker
0,Nathan Buck
0,Silas Lunetta
0,Stephen Squiers
2,Tony Alves
5,Sean Simard
6,Zachary Esakof
7,Matthew Wilbanks
9,Samantha Munson
9,Cyrus Fenderson
10,Leah Rubinstein
13,Chase Baker
21,Cole Aaskov
22,Bridget Bailey
31,eloise terry
87,Colin Eimers
b,r,e,a,k
HAOS,11
teamInfo,,"Watertown, Massachusetts",,,
0,Alison Tassone
0,Ariella Korn
0,Benjamin Duffy
0,Claire Rostov
0,Jane Hu
0,Jarrett Piette
0,Jessica Armstrong
0,Douglas Choe
0,Julie Costello
0,Kim Mahan
0,Russell Brown
0,Sam Staples
0,Topher Brown
5,Pearce Kelley
7,Gabriel Schmitt
11,Nicholas Steffen
12,Kristin Mahan
12,Daniel Benson
32,Amelia Becker
34,Zach Darbeloff
48,Ben Matthews
55,JONATHAN SCHREIBER
69,David Guertin
b,r,e,a,k
Face Off,13
teamInfo,,"Portsmouth, New Hampshire",,https://www.facebook.com/faceoffultimate/,
0,CARL SOLLENBERGER
0,Ryan Creamer
2,Lauren Burkhardt
4,Erika Sollenberger
01,Stephen Mahnke
05,Julia Wakeman
07,Sara Edquist
09,Andrea Parise
10,Zachery Raso
11,Amana Vander-Heyden
13,Nathan Manzer
17,Daniel Zoller
19,David Dwyer
20,Ben Wakeman
21,Cole Matthews
28,Taylor Ferguson
31,Kristen  Davis
32,Anne Lightbody
34,Rob Parise
37,Chris St Pierre
54,Jacob Schwartz
62,Anna Snarski
67,William Peyser
72,Kyle Jacoby
93,Jay Delani 
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Snake Country,DTX,15,1,"09/08/2018, 09:00",Pool A,Final
WHUF*,Dead Reckoning,15,3,"09/08/2018, 09:00",Pool A,Final
Snake Country,Dead Reckoning,15,1,"09/08/2018, 11:00",Pool A,Final
WHUF*,DTX,14,12,"09/08/2018, 11:00",Pool A,Final
Snake Country,WHUF*,15,10,"09/08/2018, 13:00",Pool A,Final
DTX,Dead Reckoning,12,13,"09/08/2018, 13:00",Pool A,Final
pool,Pool B
League of Shadows,RIMIX,15,3,"09/08/2018, 09:00",Pool B,Final
Scarecrow,Drunk in Space,15,10,"09/08/2018, 09:00",Pool B,Final
League of Shadows,Drunk in Space,15,2,"09/08/2018, 11:00",Pool B,Final
Scarecrow,RIMIX,15,8,"09/08/2018, 11:00",Pool B,Final
League of Shadows,Scarecrow,14,11,"09/08/2018, 13:00",Pool B,Final
RIMIX,Drunk in Space,15,3,"09/08/2018, 13:00",Pool B,Final
pool,Pool C
Darkwing,Rainbow,15,4,"09/08/2018, 09:00",Pool C,Final
Titan NE,DTH,15,7,"09/08/2018, 09:00",Pool C,Final
Darkwing,DTH,15,8,"09/08/2018, 11:00",Pool C,Final
Titan NE,Rainbow,15,5,"09/08/2018, 11:00",Pool C,Final
Darkwing,Titan NE,13,8,"09/08/2018, 13:00",Pool C,Final
Rainbow,DTH,10,13,"09/08/2018, 13:00",Pool C,Final
pool,Pool D
Chaotic Good,HAOS,15,5,"09/08/2018, 09:00",Pool D,Final
Sunken Circus,Face Off,15,9,"09/08/2018, 09:00",Pool D,Final
Chaotic Good,Face Off,15,2,"09/08/2018, 11:00",Pool D,Final
Sunken Circus,HAOS,15,9,"09/08/2018, 11:00",Pool D,Final
Chaotic Good,Sunken Circus,15,6,"09/08/2018, 13:00",Pool D,Final
HAOS,Face Off,15,10,"09/08/2018, 13:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
Snake Country,League of Shadows,15,9,"09/09/2018, 13:00",1st Place Finals,Final
Snake Country,Chaotic Good,15,5,"09/09/2018, 09:00",1st Place Semis,Final
Darkwing,League of Shadows,7,14,"09/09/2018, 09:00",1st Place Semis,Final
Snake Country,Scarecrow,15,5,"09/08/2018, 15:00",1st Place Quarters,Final
Titan NE,Chaotic Good,3,15,"09/08/2018, 15:00",1st Place Quarters,Final
Darkwing,Sunken Circus,15,8,"09/08/2018, 15:00",1st Place Quarters,Final
WHUF*,League of Shadows,4,15,"09/08/2018, 15:00",1st Place Quarters,Final
bracket,2nd Place Bracket
League of Shadows,Darkwing,15,10,"09/09/2018, 15:00",2nd Place Finals,Final
Darkwing,Sunken Circus,15,8,"09/09/2018, 13:00",2nd Place Semis,Final
Darkwing,Titan NE,13,5,"09/09/2018, 11:00",2nd Place Quarters,Final
Sunken Circus,Chaotic Good,13,11,"09/09/2018, 11:00",2nd Place Quarters,Final
Scarecrow,Titan NE,9,11,"09/09/2018, 09:00",2nd Place Prequarters,Final
Sunken Circus,WHUF*,14,7,"09/09/2018, 09:00",2nd Place Prequarters,Final
bracket,5th Place Bracket
Titan NE,Chaotic Good,15,10,"09/09/2018, 15:00",5th Place Finals,Final
WHUF*,Titan NE,6,15,"09/09/2018, 13:00",5th Place Semis,Final
Chaotic Good,HAOS,12,4,"09/09/2018, 13:00",5th Place Semis,Final
WHUF*,DTX,10,9,"09/09/2018, 11:00",5th Place Quarters,Final
HAOS,Scarecrow,12,10,"09/09/2018, 11:00",5th Place Quarters,Final
DTX,DTH,13,11,"09/09/2018, 09:00",5th Place Prequarters,Final
HAOS,Drunk in Space,15,4,"09/09/2018, 09:00",5th Place Prequarters,Final
RIMIX,DTX,10,11,"09/08/2018, 15:00",5th Place Play In,Final
Face Off,DTH,15,16,"09/08/2018, 15:00",5th Place Play In,Final
HAOS,Rainbow,15,14,"09/08/2018, 15:00",5th Place Play In,Final
Drunk in Space,Dead Reckoning,15,10,"09/08/2018, 15:00",5th Place Play In,Final
bracket,11th Place
DTH,Drunk in Space,15,9,"09/09/2018, 11:00",11th Place,Final
bracket,13th Place Bracket
RIMIX,Rainbow,0,1,"09/09/2018, 11:00",13th Place Finals,Final
RIMIX,Face Off,15,10,"09/09/2018, 09:00",13th Place Semis,Final
Rainbow,Dead Reckoning,15,5,"09/09/2018, 09:00",13th Place Semis,Final
bracket,15th Place 
Face Off,Dead Reckoning,15,11,"09/09/2018, 11:00",15th Place,Final
b,r,e,a,k
