Northeast College Mixed Regional Championship,College - Mixed ,3,11,2018
https://play.usaultimate.org/events/Northeast-College-Mixed-Regional-2018/schedule/mixed/College-Mixed/
Somerville,1
13,Kshitij Sachan
69,David Wingate
78,Bess Renjilian
b,r,e,a,k
Massachusetts,3
0,Caroline Collis
0,Chris Bartoli
0,Eugene L'Heureux
0,Isabelle Levy
0,Jared Scheinberg
0,Alexander Donadio
0,Kitzia Diaz
0,Megan Savoy
0,Sierra  Powers
0,Tess Johnson
2,Allison Pereira
7,Benjamin Juitt
9,Dillon Monti
12,Matt Caswell
12,Phillip Joyce
13,Kat Brock
21,Tannor Johnson
31,Eddie Scott
47,Ethan Smith
72,Joseph Sadok
77,Tess Cullaz
b,r,e,a,k
Boston University,11
0,Apryl Hsu
0,Carmen Cheung
0,George Holt
0,Jacqueline Kresse
0,Elizabeth Eckert
0,Margaret Atkins
0,Nadia Oleinik
0,Natalie Wheeler
0,Rachel Diffendal
0,Taya Christianson
2,Joseph Lai
10,Nevil Desai
19,Alex Fukuchi
24,Nathan Lucchino
27,Bryan Rothenberg
33,Juming (James) Zhang
42,Angela Yu
73,Benjamin Kukura
99,Griffin Cummings
b,r,e,a,k
Hamilton,19
0,Alexandra  Gale 
0,Benjamin Stoloff
0,Deirdre Schutzman
0,Elias Griffin
0,Erik Johansson
0,Henry Kapp
0,Jack Scacco
0,John Wellers
0,Liam O'Connor
0,Margaret Manning
0,Michael Hosek
0,Peter Hoogstraten 
0,Taylor Coursey
0,Xara Sunne
2,Bryan Matte
16,Kevin Strong
18,Nanaka Suzuki
24,Dan Wall
36,Matthew Albino 
64,Claire Nicholson
84,Anna Tinker
b,r,e,a,k
Brown University,6
0,Leah Shorb
0,Luke West
0,Marlis Flinn
0,Morgann Thain
0,Nathaniel Weir
0,Sam Frolichstein-Appel
0,Saoirse MaherGreene
0,Suji Kim
0,Talon Johnson
0,Annie Ge
0,Ben Weissmann
0,Caroline Maker
0,Daniel Cody
0,Jackson de Campos
0,Jesse Remeis
6,Abigail Skerker
13,Kshitij Sachan
69,David Wingate
78,Bess Renjilian
b,r,e,a,k
Torpedo Kidz,14
0,Jenna Clark
0,Juliana Wagner
0,Kaili Chen
0,Kenia French
0,Lucas Lytel
0,Lucy Kain
0,Maxwell Kaye
0,McKinzey Torrance
0,Mikaela Bollag-Miller
0,Noah Schwartz
0,Philip Sprague
0,Rachel Klein
0,Rachel Tigges
0,Bobby Lovitch
0,Romy Aboudarham
0,Sajani Clerk
0,Sejal Dua
0,Shale Hunter
0,Siddhart Agarwal
0,Tucker Jaenicke
0,Varun Shah
0,Alec MacKie
0,Alexander Brodeur
0,Annie Bricker
0,Ben Santaus
0,Caroline Cohen
0,Clara Eshaghpour
0,Emily Touchet
2,Eli Shahar
65,Harry Binder
b,r,e,a,k
Vermont,5
33,Aaron Wynmor
33,Ashley Brogan
33,Ben Mitchell
33,Carson Kurtz-Rossi
33,Eli Conard
33,Eliana Moskovitz
33,Emily Bridgers
33,Emma Massey
33,Greta Pellerin
33,James Cataldo
33,Mariz Mangundayao
33,Megan Tammaro
33,Nathaniel Pucci
33,Nick Auerbach
33,Olivia Phillips
33,Quinn Ledak
33,Ryan Dinger
33,Sage Tanner
33,Sarah Rose
33,Stephen Donahue
33,Timothy Bliss
33,Walden Ng
b,r,e,a,k
University of New Hampshire,20
0,Alexa Ladue
0,Danielle Chancey
0,Emily Pelletier
0,Jonathan Ells
0,Kayla Lawlor
0,Matthew Porter
0,Mckenzie Finigan
0,Nathaniel Kelly
0,Sierra Lamphere
2,Colby Jacques
2,Kevin Kiernan
3,Thomas Stover
6,Rocco Essex-Linehan
6,Katherine Quillin
10,Leah Rubinstein
10,Tanner Hyslop
22,Bridget Bailey
24,Meghan Montgomery
25,Ivan Tran
b,r,e,a,k
Northeastern,4
0,Aidan Travers
0,Anna Sciaruto
0,Anna Cullen
0,Brianna  Considine
0,Danielle DiRaddo
0,Hillary Hoyt
0,Jeremy McDavid
0,Logan Shore
0,Michelle Guerriero
0,Nicole McCullough
0,Noah Milman
0,Sean Wallace
0,Verda Bursal
2,Jacob Kaplan
3,Jasmine Der
4,Camden Bickel
11,Arielle Nelson
14,Mei-An Nolan
15,Julianne Kloza
23,Thomas Gannon
25,Ilya Yudkovich
52,Benjamin Rubasch
54,James Beck
81,Winston Ge
99,Max Marrocco
b,r,e,a,k
Yale University,12
0,Ellie Jose
0,Julia Mankoff
0,Katherine Furland
0,Masayuki Nagase
0,Meredith Corsi
0,Rebecca Schapiro
0,Lucie Warga
0,Samuel Feder
0,Samuel Pletcher
0,Si Yuan Donna Yip
0,Tomaso Mukai
0,Yara El-Khatib
2,Kristen Brown
10,Vikram Dhawan
11,Anthony Ji
11,Ivy Fan
21,Andrew Weitzman
22,George Reichenbach
23,Amelia Farinas
32,Mac Schmidt
38,Robert  Luo
41,Anri Chomentowska
64,Shannon Phuah
b,r,e,a,k
Brandeis University,13
0,Cristina Chen
0,Grace Barredo
0,Jonas Tjahjadi
0,Maddie Marx
0,Maya Fields
0,Oliver Koch
0,Sophie Needles
9,Steven Chen
9,Nakeita Henry
9,Gabriel Fontes
17,Joshua Heller
18,Devin Feigelson
21,Benjamin Korman
42,Robert Singer
99,Jordan Kaufman
b,r,e,a,k
Marist,25
0,Christine Carmello
0,Ray Santiago
1,Kristin Ponterio
2,Hannah Becker
3,Phoebe Smith
4,Kaitlyn Finkelstein
5,Taylor Dunn
6,Jack Hueber
8,Michael Vitiello
11,David Connelly
11,Victoria Levy
13,Andrew Muscadin
15,Bryan Nienstadt
15,Lindsay Trobel
18,Shannon Cover
21,Analise Polinsky
24,Nicole Padrazo
27,Alex Jansen
28,John Sasso
32,Oliver Fay
32,Jason Haley
36,Noah Fay
48,Sean Kohler
99,Joshua Roth
b,r,e,a,k
Providence College,24
0,Daniel Clark
0,Nikki Silva
01,Anthony Bettencourt
04,Jonathan Pekkarinen
07,jack mccormick
14,Lizzie Hall
16,Jacob Low
22,Rachel Blow
22,Lilly Swan
23,Jake Salvucci
25,Kevin Lynch
27,Andrea Pettinico
32,Madeleine Bristow
33,Joanna Meyer
36,Jared Lewis
77,Bryan Chaffee
81,BRADLEY HICKEY
96,Cameron Sherry
b,r,e,a,k
Hampshire College,29
0,Adelle Pitsas
0,Alaric Beal
0,Aldyn Markle
0,Alexa Akre
0,Anton Kaplan
0,Christina Willis
0,Colin Samuel
0,Colin McIntire
0,Daniel Schmidt
0,Hannah Hausen
0,Jason Pengelly
0,Joe Newlin
0,Julia Griner
0,Julian Erickson-Watson
0,Louis Laurita
0,Lucia Gerber Brydolf
0,Luke Gannon
0,Matthew Waters
0,Max Ruesswick
0,Molly McLaughlin
0,Natalie Wong
0,Sasha Benson
0,Savvy Cornett
0,Soren Moesswilde
0,Willoughby Carlo
12,Will Blumenthal
b,r,e,a,k
Wesleyan,21
0,Benjamin Lyon
0,Celia  Hurvitt
0,Anya Weinstock
0,Henry Lin-David
0,Miriam Bernard
0,Mitzi Adler-Wachter
0,Molly Bogin
0,Nathan Baron Silvern
6,Alma Hutter
6,Cody Hecht
8,Selene Canter
9,Gavin Willis
10,Cole Harris
13,Harper Gambill
18,Rebecca Goldfarb Terry
20,Samuel Driver
26,Vanessa Auritt
27,Ben Grissmer
34,Sam Prescott
41,Henrik Palmer
43,Elias Benda
67,Zack Hersh
87,Mike Bloom
99,Maya Dorn
b,r,e,a,k
Brandeis University,28
0,Cristina Chen
0,Grace Barredo
0,Jonas Tjahjadi
0,Maddie Marx
0,Maya Fields
0,Oliver Koch
0,Sophie Needles
9,Steven Chen
9,Nakeita Henry
9,Gabriel Fontes
17,Joshua Heller
18,Devin Feigelson
21,Benjamin Korman
42,Robert Singer
99,Jordan Kaufman
b,r,e,a,k
SUNY New Paltz,26
0,Caroline Casparian
0,Denver Snyder
0,Dillon Cooke
0,Edwin Peralta
0,John DeCaro
0,Naoki Matsushima
0,Noah Shaw
0,Philip Rafferty
0,Sam Fleming
0,Spencer Blumenthal
2,Kiara Vedovino
3,Edward Moran
3,Misa  Hussien
4,Sam Majuri
4,Matthew Capone
7,Rebecca Gotlib
9,Victoria Robustello
07,Yigit Demiralp
11,Haley Nilson
11,Adam Greenberg
12,Dylan McCarty
13,Liam McCarthy
14,Liam Weeks
15,Robert Kirgan
16,Gabriel Kave
17,Alex Tacopina
25,Zachary Reifschneider
34,Connor McHale
36,Lindsay Ork
61,Erin Gallagher
69,Luke Shkreli
73,Marlena Doerr
b,r,e,a,k
Rensselaer Polytechnic Institute,22
11,Adam Morgan
11,Amy Schumacher
11,Anna Quartararo
11,Brooks Wallace
11,Bryce Markel
11,Calvin Jungreis
11,Candy Zhang
11,Christoper Duffy
11,Ciaran Young
11,Emmett Williamson
11,Henk Humes
11,James Veitengruber
11,Lindsay Zadunayski
11,Makayla Wahaus
11,Michelle Merritt
11,Nancy Bush
11,Philip Kamei
11,Sacha Kaiser
11,Samantha Lyons
11,Samantha Meyerson
11,Victor Chen
b,r,e,a,k
Emerson,27
0,Allie DiBiase
0,Angel Salcedo
2,Zach  Cargie
3,Karla Brady
9,Owen Richmond
20,Cameron Barth
23,Noah Wisch
39,Jared Merrifield
50,Kate Nelson
b,r,e,a,k
Bard,30
0,Kaleigh Lagville-Graham
0,Karianne Canfield
0,Maggie Curtin
0,Meagan  Kenney
0,Meghan Mercier
0,Molly Rockwood
0,Abraham Shenk
0,Anyata Hamilton
0,Christina Secor
0,Emmett Dienstag
0,Jack Carson
0,Sam Grabowski-Clark
0,Tess Strohm
17,Noah Libby
20,Renata Pepi
74,Emily Han
99,August Alsina
b,r,e,a,k
Vassar,23
0,Elizabeth Carpenter
0,Ethan Ross
0,Hattie Goodwin
0,Ian Rosevear
0,Janet McAllister
0,Johnson Lin
0,Joshua Swaim
0,MAXWELL GUARNIERI
0,Maya Morrison
0,Michelle Kang
0,Nathaniel Dunn
0,Robert Sherman
0,Sam Ripley
0,Spencer McGrath
0,Tomas Guardia
0,Brett Rabine
0,Casey Draskovich
24,Elizabeth Gibbs
b,r,e,a,k
s,t,a,g,e,s
pools,A Division Pool
pool,Pool A
Somerville,Princeton University,14,6,"11/03/2018, 09:00",Pool A
Amherst College (Upper),Colby,10,3,"11/03/2018, 09:00",Pool A
Somerville,Amherst College (Upper),11,7,"11/03/2018, 10:30",Pool A
Bowdoin,Colby,10,7,"11/03/2018, 10:30",Pool A
Colby,Princeton University,12,7,"11/03/2018, 12:00",Pool A
Bowdoin,Amherst College (Upper),12,4,"11/03/2018, 12:00",Pool A
Somerville,Colby,14,3,"11/03/2018, 13:30",Pool A
Bowdoin,Princeton University,15,4,"11/03/2018, 13:30",Pool A
Somerville,Bowdoin,10,8,"11/03/2018, 15:00",Pool A
Amherst College (Upper),Princeton University,12,6,"11/03/2018, 15:00",Pool A
pool,Pool B
Dartmouth College,Brown University,15,4,"11/03/2018, 09:00",Pool B
Northeastern University,MIT,15,5,"11/03/2018, 09:00",Pool B
Dartmouth College,Northeastern University,10,5,"11/03/2018, 10:30",Pool B
Middlebury (Upper),MIT,14,8,"11/03/2018, 10:30",Pool B
MIT,Brown University,9,8,"11/03/2018, 12:00",Pool B
Middlebury (Upper),Northeastern University,5,6,"11/03/2018, 12:00",Pool B
Dartmouth College,MIT,15,0,"11/03/2018, 13:30",Pool B
Middlebury (Upper),Brown University,9,3,"11/03/2018, 13:30",Pool B
Dartmouth College,Middlebury (Upper),14,7,"11/03/2018, 15:00",Pool B
Northeastern University,Brown University,15,4,"11/03/2018, 15:00",Pool B
pool,Pool C
Massachusetts,Hamilton,15,7,"11/03/2018, 09:00",Pool C
Boston University,Torpedo Kidz,14,7,"11/03/2018, 09:00",Pool C
Massachusetts,Boston University,15,0,"11/03/2018, 10:30",Pool C
Brown University,Torpedo Kidz,12,5,"11/03/2018, 10:30",Pool C
Torpedo Kidz,Hamilton,4,10,"11/03/2018, 12:00",Pool C
Brown University,Boston University,8,10,"11/03/2018, 12:00",Pool C
Massachusetts,Torpedo Kidz,13,1,"11/03/2018, 13:30",Pool C
Brown University,Hamilton,6,8,"11/03/2018, 13:30",Pool C
Massachusetts,Brown University,8,5,"11/03/2018, 15:00",Pool C
Boston University,Hamilton,9,6,"11/03/2018, 15:00",Pool C
pool,Pool D
Northeastern,University of New Hampshire,4,15,"11/03/2018, 09:00",Pool D
Yale University,Brandeis University,11,7,"11/03/2018, 09:00",Pool D
Northeastern,Yale University,13,4,"11/03/2018, 10:30",Pool D
Vermont,Brandeis University,15,1,"11/03/2018, 10:30",Pool D
Brandeis University,University of New Hampshire,9,13,"11/03/2018, 12:00",Pool D
Vermont,Yale University,10,6,"11/03/2018, 12:00",Pool D
Northeastern,Brandeis University,10,6,"11/03/2018, 13:30",Pool D
Vermont,University of New Hampshire,14,10,"11/03/2018, 13:30",Pool D
Northeastern,Vermont,2,9,"11/03/2018, 15:00",Pool D
Yale University,University of New Hampshire,6,10,"11/03/2018, 15:00",Pool D
b,r,e,a,k
pools,B Division Pool
pool,Pool E
Wesleyan,Hampshire College,10,9,"11/03/2018, 09:00",Pool E
Marist,Brandeis University,13,6,"11/03/2018, 09:00",Pool E
Wesleyan,Marist,4,13,"11/03/2018, 10:30",Pool E
Providence College,Brandeis University,15,3,"11/03/2018, 10:30",Pool E
Brandeis University,Hampshire College,4,8,"11/03/2018, 12:00",Pool E
Providence College,Marist,7,11,"11/03/2018, 12:00",Pool E
Wesleyan,Brandeis University,3,5,"11/03/2018, 13:30",Pool E
Providence College,Hampshire College,12,2,"11/03/2018, 13:30",Pool E
Wesleyan,Providence College,3,4,"11/03/2018, 15:00",Pool E
Marist,Hampshire College,9,4,"11/03/2018, 15:00",Pool E
pool,Pool F
Rensselaer Polytechnic Institute,Bard,15,2,"11/03/2018, 09:00",Pool F
SUNY New Paltz,Emerson,11,9,"11/03/2018, 09:00",Pool F
Rensselaer Polytechnic Institute,SUNY New Paltz,7,10,"11/03/2018, 10:30",Pool F
Vassar,Emerson,2,13,"11/03/2018, 10:30",Pool F
Emerson,Bard,9,5,"11/03/2018, 12:00",Pool F
Vassar,SUNY New Paltz,3,9,"11/03/2018, 12:00",Pool F
Rensselaer Polytechnic Institute,Emerson,8,4,"11/03/2018, 13:30",Pool F
Vassar,Bard,1,6,"11/03/2018, 13:30",Pool F
Rensselaer Polytechnic Institute,Vassar,10,1,"11/03/2018, 15:00",Pool F
SUNY New Paltz,Bard,8,4,"11/03/2018, 15:00",Pool F
b,r,e,a,k
brackets,A Division Bracket
bracket,First Place Bracket
Vermont,Massachusetts,7,12,"11/04/2018, 15:00",Finals
University of New Hampshire,Vermont,10,15,"11/04/2018, 13:30",Semi-Finals
Massachusetts,Dartmouth College,11,6,"11/04/2018, 13:30",Semi-Finals
Somerville,University of New Hampshire,10,11,"11/04/2018, 10:30",Quarter-Finals
Vermont,Bowdoin,11,5,"11/04/2018, 10:30",Quarter-Finals
Massachusetts,Northeastern University,10,5,"11/04/2018, 10:30",Quarter-Finals
Dartmouth College,Boston University,11,9,"11/04/2018, 10:30",Quarter-Finals
University of New Hampshire,Hamilton,13,8,"11/04/2018, 09:00",Pre-Quarters
Bowdoin,Middlebury (Upper),9,8,"11/04/2018, 09:00",Pre-Quarters
Northeastern University,Amherst College (Upper),8,7,"11/04/2018, 09:00",Pre-Quarters
Boston University,Northeastern,8,7,"11/04/2018, 09:00",Pre-Quarters
bracket,Third Place Bracket
University of New Hampshire,Dartmouth College,12,10,"11/04/2018, 15:00",3rd Place Game
bracket,Fifth Place Bracket
Somerville,Northeastern University,12,7,"11/04/2018, 13:30",5th Place Game
Somerville,Bowdoin,11,6,"11/04/2018, 12:00",5th Place Semi-Finals
Northeastern University,Boston University,1,0,"11/04/2018, 12:00",5th Place Semi-Finals
bracket,Seventh Place Bracket
Bowdoin,Boston University,0,0,"11/04/2018, 13:30",7th Place Game
bracket,Ninth Place Bracket
Hamilton,Amherst College (Upper),8,11,"11/04/2018, 15:00",9th Place Game
Hamilton,Middlebury (Upper),9,8,"11/04/2018, 12:00",9th Place Semi's
Amherst College (Upper),Northeastern,11,5,"11/04/2018, 12:00",9th Place Semi's
bracket,Eleventh Place Bracket
Middlebury (Upper),Northeastern,9,10,"11/04/2018, 15:00",11th Place Game
bracket,Thirteenth Place Bracket
Colby,Yale University,9,12,"11/04/2018, 13:30",13th Place Game
Colby,MIT,13,5,"11/04/2018, 10:30",13th Place Semi's
Brown University,Yale University,8,9,"11/04/2018, 10:30",13th Place Semi's
Colby,Brandeis University,12,9,"11/04/2018, 09:00",13th Place Quarter's
MIT,Torpedo Kidz,15,3,"11/04/2018, 09:00",13th Place Quarter's
Brown University,Brown University,14,7,"11/04/2018, 09:00",13th Place Quarter's
Yale University,Princeton University,9,7,"11/04/2018, 09:00",13th Place Quarter's
bracket,Fifteenth Place Bracket
MIT,Brown University,8,11,"11/04/2018, 13:30",15th Place Game
bracket,Seventeenth Place Bracket
Brandeis University,Princeton University,10,12,"11/04/2018, 13:30",17th Place Game
Brandeis University,Torpedo Kidz,13,5,"11/04/2018, 10:30",17th Place Semi's
Brown University,Princeton University,3,15,"11/04/2018, 10:30",17th Place Semi's
bracket,Ninteenth Place Bracket
Torpedo Kidz,Brown University,11,8,"11/04/2018, 13:30",19th Place Game
b,r,e,a,k
brackets,B Division Bracket
bracket,First Place Bracket
Marist,SUNY New Paltz,1,0,"11/04/2018, 13:30",Finals
Marist,Rensselaer Polytechnic Institute,10,6,"11/04/2018, 10:30",Semi-Finals
SUNY New Paltz,Providence College,10,9,"11/04/2018, 10:30",Semi-Finals
Marist,Bard,10,6,"11/04/2018, 09:00",Quarter Finals
Rensselaer Polytechnic Institute,Hampshire College,15,5,"11/04/2018, 09:00",Quarter Finals
SUNY New Paltz,Wesleyan,11,5,"11/04/2018, 09:00",Quarter Finals
Providence College,Emerson,12,4,"11/04/2018, 09:00",Quarter Finals
bracket,Third Place Bracket
Rensselaer Polytechnic Institute,Providence College,0,1,"11/04/2018, 13:30",3rd Place Game
bracket,Fifth Place Bracket
Hampshire College,Emerson,5,11,"11/04/2018, 13:30",5th Place Game
Bard,Hampshire College,0,1,"11/04/2018, 12:00",5th Place Semi's
Wesleyan,Emerson,8,10,"11/04/2018, 12:00",5th Place Semi's
bracket,Seventh Place Bracket
Bard,Wesleyan,0,1,"11/04/2018, 13:30",7th Place Game
bracket,Ninth Place Bracket
Brandeis University,Vassar,11,3,"11/04/2018, 10:30",9th Place Game
b,r,e,a,k
