Southeast Men's Regional Championship,Club - Men ,22,9,2018
Bradenton,FL,2018-09-22,2018-09-23
https://play.usaultimate.org/events/Southeast-Mens-Regional-Championship-2018/schedule/Men/Club-Men/
Ring of Fire,1
15,Ryan Seay
18,Yanni Killebrew
22,John Carden
23,Josh Johnson
23,Matthew Smith
24,Michael Ball
24,Matthew Sui
24,Justin Badgett
25,Andrew Geisel
28,Nicholas Baldwin
32,Mathew Taylor
42,Watson Anderson
64,Bryan Sandidge
71,Corey Foster
b,r,e,a,k
Vicious Cycle,16
4,Brandon Bowlin
01,Jose Varillas
02,Aaron Washington
03,Steven Nguy
04,Alec Cutajar
04,Daniel Humphreys
05,Logan Storts
07,Samuel Lovelace
08,David Pincus
11,Alexander Janelle
12,Brandon Turnage
13,William  Field
16,Kyle Fray
17,Alexander Fischer
19,Logan Diehl
20,Jarett Cox
21,Michael Heym
22,Christopher Bailey
25,Unmil Patel
26,Ryan Longley
27,John Gonzalez
28,William Ford
29,Hayden Chappel
33,Gabriel Cornejo
48,Nathaniel Kiker
73,Andy Therathanakorn
77,Javier Sahagun
b,r,e,a,k
UpRoar,12
0,Bobby Ley
0,Chris Gibson
0,Ryan Chard
0,Stephen Poulos
2,Jonathan Beilan
3,Andrew Roney
5,Robert Anderson
6,John Taylor
7,Danny Bumgarner
9,Clay Hewett
10,Brian Shinners
14,Nick Ioffredo
16,JONATHAN STREETMAN
17,Aron Andino
21,John Holk
22,Jacob Lane
24,Stephen Ierardi
27,Anthony Gutierrez
31,Keith Patterson
37,Corey Bennett
43,Dean Stupar
48,Ryan Moore
52,Josh McKisic
85,Cody Coates
88,Matt Chandler
96,Larry (Butch) Brown
99,Garth Reimann
b,r,e,a,k
Coastal Empire,6
00,Gabe Azarcon
00,John Kern
02,Bobby Patterson
03,Tim Lootens
04,Bradley Seuntjens
05,SEAN WILLETT
05,John Andrade
07,Nathan Vickroy
08,Skyler Pitts
09,ZACHARY SHORT
10,Kellen Gray
12,JOSEPH (Wayne) SLAYDON
12,Sam Gainer
17,Kody Cotton
18,Joshua  Golden
20,Charles Morris
23,Peter Van Brussel
24,Steven Eckert
31,Jack Barrow
32,Caleb Shorthouse
34,Avery Van Brussel
35,Parth Patel
39,Jordan Huston
51,Antoine Cava
59,Stephen  Muir
87,Carl Johnson
99,Andrew Carleton
b,r,e,a,k
Turbine,3
0,Andrew Cohen
0,Clayton Carey
0,Jacob McGoogan
0,Jericho Barbour
0,Matt Bode
0,Michael Meilstrup
0,Sam Gabrielson
0,Thomas Grigg
0,Timothy Glover
2,Charlie Muniz
4,Spencer Olmsted
5,Danny Schmitt
8,Matthew Rushing
9,Sean Stasiak
11,Johnnie Lynch
12,Jeff Wiltgen
13,CJ Colicchio
14,Kiron Allen
14,Jakeem Polk
17,Nicholas Redmond
21,Cam Bellando
26,Patrick Kaufmann
33,Jesse Lieberman
34,Davis Mossman
71,Clint McSherry
72,Benjamin Landry
80,Benj Thomsen
b,r,e,a,k
Omen,13
0,Adam Lapikas
0,James Dobson
1,Austin Gaines
6,Frank Noboa
8,Harrison Slate
01,Brawley Adams
05,Quint Wharton
06,Jordan DeWitt
07,Duc-Quy Nguyen
10,Austin Fudge
11,Alexander McFerran
12,Andre Bordelon
12,Matt Helms
13,Adam Vinson
14,Nicolas Herrera
17,Morgan Bambace
22,Joseph Tilley
23,Daniel Jakob
27,Robert Matthew Hankin
32,Austin Malone
33,John Best
42,Jonah Larsen
49,Daniel Scardino
74,John Fonte
99,Carson Mann
b,r,e,a,k
Brickhouse,5
0,Conor Chickos
1,James Lockamy
2,Bailey Laberteaux
3,Austin von Alten
7,Henry Poe
8,Andrew Bunting
9,Colin Smith
9,Frederick Hennighausen
11,Andrew Li
11,Michael Agner
12,Austin Maune
18,Ethan Cole
21,Ethan Bloodworth
24,Michael Lee
25,Avery Acierno
28,Caleb Avery
29,Joshua Smith
33,Seth Lee
42,Jordan Perry
50,Thomas Williams
66,Michael Sweeney
69,Christopher Humphrey
77,James Boyd
80,Alexander Davis
81,Rhys Gretsch
88,Jeffrey He
93,Matthew Ellis
b,r,e,a,k
Freaks,4
0,Cody Havens
0,Ethan Benesh
0,Isaac Schlagel
0,James Russnogle
0,Justin Schroeder
0,Robert Alongi
0,Tannon Hedges
1,Zack Avello
2,Mac McClellan
2,Grant Waldron
4,Jeremiah Branson
5,Timothy Barczak
5,Chase Hammond
6,Brett Hulsmeyer
9,Javier Ortiz
10,Yusuf Abdullah
11,Elijah Jaime
12,Phillip Dougherty
13,Carter Rae
17,Nick Peppers
18,Jacob Flowers
19,Matthew Radcliffe
37,Michael Strobel
42,Tim Hoggard
55,Tom Radcliffe
77,Anthony Cain
96,Mark Ullom
b,r,e,a,k
El Niño,11
3,Robert Dennis
5,Corey Whittaker
00,Charlie Smith
02,Steven Kobrin
03,Jordan Hill
06,Frank Grande
07,Craig Adams
08,Matt Bristol
09,Carlos Nunez
10,Byron Fang
11,Christian Luneburg
12,Travis Catron
13,Alton Gaines
17,Matteo Focchi
17,Shaun McLaughlin
20,Anthony Lopez
21,Anish Indhupuru
22,Jeremy Langdon
23,Michael Fioramonti
25,Brandon Garcia
28,Nathan Cook
30,Bradford Capuozzo
33,Alex Jacoski
39,Alex Warters
66,Scott Klein
77,Timothy Vothang
96,JONATHON LANCASTER
b,r,e,a,k
H.O.G. Ultimate,14
2,Drew Di Francesco
2,Kody Kempff
01,Jeffrey Oravic
02,Tyler Butterfield
03,Sam Merritt
04,Will Burke
06,Galen Ramsey
07,Jon Ross Ingley
08,David Kandler
09,Parker Rhinehart
10,Samuel Sumner
11,Stephen Cook
14,Sean Kelley
16,William Barnes
17,Christopher Zuo
17,Hayden Austin-Knab
17,Logan Ogletree
18,Collin Gillen
20,Aubrey Roberts
22,Caleb Myatt
23,Matthew Cook
25,Naomi Anderson
30,Coleman Tappero
35,Will Flournoy
37,Caleb Posey
40,Nigel Hagley
85,Conner Gabriel
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Ring of Fire,Ironmen,13,4,"09/22/2018, 08:30",Pool A,Final
Bullet,Rush Hour,11,10,"09/22/2018, 08:30",Pool A,Final
Ring of Fire,Rush Hour,13,2,"09/22/2018, 10:30",Pool A,Final
Bullet,Ironmen,6,13,"09/22/2018, 10:30",Pool A,Final
Ring of Fire,Bullet,13,3,"09/22/2018, 12:30",Pool A,Final
Ironmen,Rush Hour,10,9,"09/22/2018, 12:30",Pool A,Final
pool,Pool B
Chain Lightning,Tanasi,13,5,"09/22/2018, 08:30",Pool B,Final
Lost Boys,Vicious Cycle,13,4,"09/22/2018, 08:30",Pool B,Final
Chain Lightning,Vicious Cycle,13,7,"09/22/2018, 10:30",Pool B,Final
Lost Boys,Tanasi,13,6,"09/22/2018, 10:30",Pool B,Final
Chain Lightning,Lost Boys,13,8,"09/22/2018, 12:30",Pool B,Final
Tanasi,Vicious Cycle,13,8,"09/22/2018, 12:30",Pool B,Final
pool,Pool C
Turbine,UpRoar,11,13,"09/22/2018, 08:30",Pool C,Final
Coastal Empire,Omen,13,10,"09/22/2018, 08:30",Pool C,Final
Turbine,Omen,12,9,"09/22/2018, 10:30",Pool C,Final
Coastal Empire,UpRoar,13,14,"09/22/2018, 10:30",Pool C,Final
Turbine,Coastal Empire,11,12,"09/22/2018, 12:30",Pool C,Final
UpRoar,Omen,13,10,"09/22/2018, 12:30",Pool C,Final
pool,Pool D
Freaks,El Niño,13,10,"09/22/2018, 08:30",Pool D,Final
Brickhouse,H.O.G. Ultimate,13,7,"09/22/2018, 08:30",Pool D,Final
Freaks,H.O.G. Ultimate,13,2,"09/22/2018, 10:30",Pool D,Final
Brickhouse,El Niño,15,14,"09/22/2018, 10:30",Pool D,Final
Freaks,Brickhouse,11,12,"09/22/2018, 12:30",Pool D,Final
El Niño,H.O.G. Ultimate,12,8,"09/22/2018, 12:30",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
Ring of Fire,Chain Lightning,15,11,"09/23/2018, 12:30",1st Place Finals,Final
Ring of Fire,Brickhouse,13,6,"09/22/2018, 14:30",1st Place Semis,Final
Chain Lightning,UpRoar,13,8,"09/22/2018, 14:30",1st Place Semis,Final
bracket,2nd Place Bracket
Chain Lightning,Freaks,15,10,"09/23/2018, 14:30",2nd Place Finals,Final
Brickhouse,Freaks,12,14,"09/23/2018, 12:30",2nd Place Semis,Final
Brickhouse,El Niño,12,11,"09/23/2018, 10:30",2nd Place Quarters,Final
Freaks,UpRoar,15,9,"09/23/2018, 10:30",2nd Place Quarters,Final
El Niño,Lost Boys,13,10,"09/23/2018, 08:30",2nd Place Prequarters,Final
Tanasi,Freaks,10,14,"09/23/2018, 08:30",2nd Place Prequarters,Final
Coastal Empire,El Niño,10,11,"09/22/2018, 14:30",2nd Place Play In,Final
Bullet,Lost Boys,9,13,"09/22/2018, 14:30",2nd Place Play In,Final
Ironmen,Tanasi,5,13,"09/22/2018, 14:30",2nd Place Play In,Final
Turbine,Freaks,10,13,"09/22/2018, 14:30",2nd Place Play In,Final
bracket,7th Place
Lost Boys,Tanasi,15,7,"09/23/2018, 10:30",7th Place,Final
bracket,9th Place Bracket
Coastal Empire,Turbine,0,1,"09/23/2018, 10:30",9th Place Finals,Final
Coastal Empire,Bullet,1,0,"09/23/2018, 08:30",9th Place Semis,Final
Ironmen,Turbine,0,1,"09/23/2018, 08:30",9th Place Semis,Final
bracket,11th Place
Bullet,Ironmen,1,0,"09/23/2018, 10:30",11th Place,Final
bracket,13th Place Bracket
H.O.G. Ultimate,Omen,7,9,"09/23/2018, 10:30",13th Place Finals,Final
Vicious Cycle,H.O.G. Ultimate,10,15,"09/23/2018, 08:30",13th Place Semis,Final
Omen,Rush Hour,12,10,"09/23/2018, 08:30",13th Place Semis,Final
bracket,15th Place 
Vicious Cycle,Rush Hour,8,6,"09/23/2018, 10:30",15th Place,Final
b,r,e,a,k
