Nor Cal Mixed Sectional Championship,Club - Mixed ,8,9,2018
Sacramento,CA,2018-09-08,2018-09-09
https://play.usaultimate.org/events/Nor-Cal-Mixed-Sectional-Championship-2018/schedule/Mixed/Club-Mixed
Polar Bears,1
14,Nicolas Sayavedra
15,Zhimin Xie
17,Anna Iglitzin
18,Cappy Pitts
19,David Shipway
20,Melissa Hassler
21,Josh Mitts
24,Nicholas Davis
29,Frances Hamkins-Indik
42,Sam Poppe
55,Tyler Condit
58,KYLE NICHOLS-SCHMOLZE
64,Joseph Bryan
75,Riley O'Neill
82,Joel Anton
85,Simone Stolzoff
88,Peter Bonanno
90,Mackenzie Bailey
99,Angela Xiong
b,r,e,a,k
BW Ultimate,5
0,Bryant Wolf
0,Cooper Joy
0,Hidemasa Kato
0,Jake Tozer
0,James Pollard
0,Jeff Roeder
0,Benjamin Petroski
0,Bernadette Hsu
0,Max Herrmannsfeldt
0,Melissa Slaughter
0,Monica Hsiue
0,Sam Asin
0,Veronica Chan
0,Yvonne Cheng
0,Zac Goldberg
1,Matthew Natali
2,Amy Chang
5,Radhika Bhargav
7,Michelle Slaughter
16,John Dugan
18,Sayako Uchida
23,Lauren Carden
24,Alireza Mirafzal
27,Sunny Saini
36,Pin-Wen Wang
43,Bettina Chen
60,Xia Liu
b,r,e,a,k
Argo,13
00,Love Joy Ramos
03,Amber Lombard
04,Colan Dray
05,Alexandra Taipale
06,Shelby Triplitt
07,Victor Smith
08,Wyatt Eberspacher
10,Nick James
11,Mara Saltzman
12,Sarah Angle
14,Alyssa Sayavedra
19,Joe McMinn
21,Nicole Love
23,Trevor Aquino
24,Andrew Riggs
26,Devin Oliver
28,Gil Goldshlager
34,Ben Weintraub
37,Rebecca Culver
41,Eric Angell
44,Andrew Rodman
46,Michael West
47,Adam Koehler
55,Kosuke Hasegawa
77,Sheneth Bell
78,Mauricio Bell'Albero
86,Jordan Seaberg
b,r,e,a,k
Mimosas,12
0,Adam Kafka
0,Amanda Cornfield
0,Amelia Khoo
0,Anusha Nagabandi
0,CHOI KWUN YU
0,ELLIS BEIER
0,Ian Brown
0,Lewis Ellis
0,Megan Griffith
0,Nick Goelz
0,Rita Wang
0,Sarah Master
0,Sofia Lavrentyeva
0,Michael Rowland
0,Xinran Wang
3,Kyra Pesso
5,Chris Brown
11,Finn van Krieken
20,Jennifer Thomas
29,Andre Mansour
44,Conor Bauman
48,Michaela  Hogan
66,Montana Roberts
77,Matthew Wong
98,Wyatt Berreman
99,Gavriel Gelbart
b,r,e,a,k
Megalodon,20
0,Christopher Roberts
1,Laura Morell
4,Sophie Grutzner
5,Becky Norling-Ruggles
6,Chrissy Shuh
7,Marta Shocket
8,Jonathan Brand
10,Vishnukarthik Lakshmanan
11,Matt Losquadro
12,Jonathan Chartrand
14,Jason Chen
15,Vivian Liao
17,David Fetter
18,Chelsea Verhasselt
21,Troy Campbell
26,Glen Dickey
36,Cory Lyngaas
39,Mason Medeiros
64,Sarah Jo
69,Nina Horowitz
72,Tim Lindberg
88,Jordan Gatti
95,Lucie Schulz
96,Niklas Beck
b,r,e,a,k
Feral Cows,21
0,Carl Rodriguez
02,Garrett Silski
03,Chris Wesley
04,Alex Meyer
05,Michael Hotard
07,Titi Doan
09,Ghenki Okumoto
10,Jamie Kalb
12,William Gargroetzi
13,Skyla Lambeth
14,Melinda Wright
17,Neil Chandra
18,Laura Baker
19,Kyle Louis
22,Zoe Zaorski
32,Heather Le
33,Gabrielle Sinotte
37,Crystal Ngai
41,Tim Naumovitz
42,David Towey
49,Daniel Jeng
88,Samantha Guidry
96,RT Kan
98,Jesse Greenberg
99,S. Alex Smith
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday
pool,Pool A
Polar Bears,American Barbecue,13,6,"09/08/2018, 08:00",Pool A,Final
Firefly,AC Bandits,13,4,"09/08/2018, 08:00",Pool A,Final
Polar Bears,Firefly,13,10,"09/08/2018, 10:00",Pool A,Final
American Barbecue,Absolute Zero,13,9,"09/08/2018, 10:00",Pool A,Final
Polar Bears,Absolute Zero,13,1,"09/08/2018, 12:00",Pool A,Final
American Barbecue,AC Bandits,13,4,"09/08/2018, 12:00",Pool A,Final
Firefly,American Barbecue,8,10,"09/08/2018, 14:20",Pool A,Final
Absolute Zero,AC Bandits,13,7,"09/08/2018, 14:20",Pool A,Final
Polar Bears,AC Bandits,13,3,"09/08/2018, 16:20",Pool A,Final
Firefly,Absolute Zero,13,11,"09/08/2018, 16:20",Pool A,Final
pool,Pool B
Blackbird,Donuts,11,4,"09/08/2018, 08:00",Pool B,Final
Cutthroat,Sebastopol Orchard,11,4,"09/08/2018, 08:00",Pool B,Final
Buckwild,Delta Breeze,11,5,"09/08/2018, 08:00",Pool B,Final
Blackbird,Delta Breeze,11,0,"09/08/2018, 09:40",Pool B,Final
Cutthroat,Donuts,11,9,"09/08/2018, 09:40",Pool B,Final
Buckwild,Sebastopol Orchard,11,5,"09/08/2018, 09:40",Pool B,Final
Blackbird,Buckwild,11,3,"09/08/2018, 11:20",Pool B,Final
Cutthroat,Delta Breeze,11,3,"09/08/2018, 11:20",Pool B,Final
Donuts,Sebastopol Orchard,11,3,"09/08/2018, 11:20",Pool B,Final
Blackbird,Cutthroat,11,5,"09/08/2018, 13:20",Pool B,Final
Sebastopol Orchard,Delta Breeze,11,6,"09/08/2018, 13:20",Pool B,Final
Donuts,Buckwild,7,9,"09/08/2018, 15:00",Pool B,Final
Blackbird,Sebastopol Orchard,11,5,"09/08/2018, 15:00",Pool B,Final
Cutthroat,Buckwild,11,5,"09/08/2018, 16:40",Pool B,Final
Donuts,Delta Breeze,11,1,"09/08/2018, 16:40",Pool B,Final
pool,Pool C
Alchemy,DR,11,7,"09/08/2018, 08:00",Pool C,Final
Lawn Patrol,VU,8,6,"09/08/2018, 08:00",Pool C,Final
Mischief,Platypi,11,4,"09/08/2018, 09:40",Pool C,Final
Lawn Patrol,DR,8,5,"09/08/2018, 09:40",Pool C,Final
Mischief,VU,11,3,"09/08/2018, 11:20",Pool C,Final
Alchemy,Platypi,11,6,"09/08/2018, 11:20",Pool C,Final
Mischief,Lawn Patrol,11,5,"09/08/2018, 13:20",Pool C,Final
Alchemy,VU,11,6,"09/08/2018, 13:20",Pool C,Final
Platypi,DR,11,4,"09/08/2018, 13:20",Pool C,Final
Mischief,Alchemy,11,3,"09/08/2018, 15:00",Pool C,Final
Platypi,Lawn Patrol,11,6,"09/08/2018, 15:00",Pool C,Final
DR,VU,10,9,"09/08/2018, 15:00",Pool C,Final
Mischief,DR,11,4,"09/08/2018, 16:40",Pool C,Final
Alchemy,Lawn Patrol,11,4,"09/08/2018, 16:40",Pool C,Final
Platypi,VU,11,6,"09/08/2018, 16:40",Pool C,Final
pool,Pool D
Classy,Mimosas,11,4,"09/08/2018, 08:00",Pool D,Final
BW Ultimate,Megalodon,11,0,"09/08/2018, 08:00",Pool D,Final
Argo,Feral Cows,11,6,"09/08/2018, 08:00",Pool D,Final
Classy,Feral Cows,11,4,"09/08/2018, 09:40",Pool D,Final
BW Ultimate,Mimosas,11,3,"09/08/2018, 09:40",Pool D,Final
Argo,Megalodon,11,5,"09/08/2018, 09:40",Pool D,Final
Classy,Argo,11,6,"09/08/2018, 11:20",Pool D,Final
BW Ultimate,Feral Cows,11,5,"09/08/2018, 11:20",Pool D,Final
Mimosas,Megalodon,11,7,"09/08/2018, 11:20",Pool D,Final
Classy,BW Ultimate,10,8,"09/08/2018, 13:20",Pool D,Final
Mimosas,Argo,11,10,"09/08/2018, 13:20",Pool D,Final
Megalodon,Feral Cows,11,9,"09/08/2018, 13:20",Pool D,Final
Classy,Megalodon,11,8,"09/08/2018, 15:00",Pool D,Final
BW Ultimate,Argo,6,10,"09/08/2018, 15:00",Pool D,Final
Mimosas,Feral Cows,11,7,"09/08/2018, 15:00",Pool D,Final
b,r,e,a,k
brackets,Sunday Championship Bracket
bracket,1st place
Polar Bears,Blackbird,11,12,"09/09/2018, 12:30",1st Place Finals,Final
Polar Bears,Classy,13,11,"09/09/2018, 08:30",1st Place Semis,Final
Blackbird,Mischief,13,5,"09/09/2018, 08:30",1st Place Semis,Final
bracket,2nd Place
Polar Bears,Mischief,7,13,"09/09/2018, 14:30",2nd Place Finals,Final
Mischief,Cutthroat,13,12,"09/09/2018, 12:30",2nd Place Semis,Final
Mischief,BW Ultimate,13,10,"09/09/2018, 10:30",2nd Place Quarters,Final
Classy,Cutthroat,8,13,"09/09/2018, 10:30",2nd Place Quarters,Final
American Barbecue,BW Ultimate,10,12,"09/09/2018, 08:30",2nd Place Pre-Quarters,Final
Cutthroat,Alchemy,13,8,"09/09/2018, 08:30",2nd Place Pre-Quarters,Final
bracket,4th Place
Cutthroat,Classy,7,13,"09/09/2018, 14:30",4th Place Finals,Final
BW Ultimate,Classy,11,12,"09/09/2018, 12:30",4th Place Semis,Final
bracket,6th Place
BW Ultimate,American Barbecue,8,11,"09/09/2018, 14:30",6th Place Finals,Final
Firefly,American Barbecue,5,13,"09/09/2018, 12:30",6th Place Semis,Final
Alchemy,Firefly,12,13,"09/09/2018, 10:30",6th Place Quarters,Final
American Barbecue,Platypi,13,11,"09/09/2018, 10:30",6th Place Quarters,Final
Firefly,Argo,11,9,"09/09/2018, 08:30",6th Place Pre-Quarters,Final
Buckwild,Platypi,7,13,"09/09/2018, 08:30",6th Place Pre-Quarters,Final
bracket,8th Place
Firefly,Platypi,13,9,"09/09/2018, 14:30",8th Place Finals,Final
Alchemy,Platypi,10,11,"09/09/2018, 12:30",8th Place Semis,Final
bracket,10th Place
Alchemy,Donuts,7,13,"09/09/2018, 14:30",10th Place Finals,Final
Buckwild,Donuts,6,13,"09/09/2018, 12:30",10th Place Semis,Final
Buckwild,Mimosas,11,7,"09/09/2018, 10:30",10th Place Quarters,Final
Donuts,Argo,12,8,"09/09/2018, 10:30",10th Place Quarters,Final
Mimosas,Absolute Zero,12,11,"09/09/2018, 08:30",10th Place Pre-Quarters,Final
Lawn Patrol,Donuts,8,13,"09/09/2018, 08:30",10th Place Pre-Quarters,Final
bracket,12th Place
Buckwild,Argo,9,12,"09/09/2018, 14:30",12th Place Finals,Final
Argo,Mimosas,13,0,"09/09/2018, 12:30",12th Place Semis,Final
bracket,15th Place
Absolute Zero,Lawn Patrol,10,8,"09/09/2018, 10:30",15th Place Finals,Final
b,r,e,a,k
brackets,Sunday Consolation Bracket
bracket,17th Place Bracket
AC Bandits,Feral Cows,13,5,"09/09/2018, 14:30",17th Place Finals,Final
AC Bandits,Megalodon,13,6,"09/09/2018, 10:30",17th Place Semis,Final
Sebastopol Orchard,Feral Cows,11,13,"09/09/2018, 12:30",17th Place Semis,Final
Megalodon,Delta Breeze,13,7,"09/09/2018, 08:30",17th Place Quarters,Final
Sebastopol Orchard,VU,11,10,"09/09/2018, 10:30",17th Place Quarters,Final
DR,Feral Cows,11,12,"09/09/2018, 08:30",17th Place Quarters,Final
bracket,19th Place
Megalodon,Sebastopol Orchard,13,12,"09/09/2018, 14:30",19th Place Finals,Final
b,r,e,a,k
pools,21-23 Round Robin
pool,Pool E
Delta Breeze,DR,13,11,"09/09/2018, 10:30",Pool E,Final
VU,DR,9,11,"09/09/2018, 12:30",Pool E,Final
VU,Delta Breeze,13,6,"09/09/2018, 14:30",Pool E,Final
b,r,e,a,k
