Great Lakes Men's Regional Championship,Club - Men ,22,9,2018
Aurora,IL,2018-09-22,2018-09-23
https://play.usaultimate.org/events/Great-Lakes-Mens-Regional-Championship-2018/schedule/Men/Club-Men/
HIGH FIVE,1
99,Joshua Venegas
b,r,e,a,k
Enigma,14
0,Alex Stevenson
0,Andrew Fassler
0,JASMINDER GREWAL
0,Jose Mikalauskas
0,Markus Ernst
7,Tim Janczewski
13,Benny Rider
17,Daniel MacManus
18,Dylan Corwin
18,Peter Heidlauf
19,Samuel Lemmon
22,Matthew Muhlenkamp
24,Andrew Greenfield
26,Andrew Wiebe
31,Gary Stines
35,Brendan Eltzroth
42,Brandon Henry
43,Stephen Moore
54,Avery Moeller
69,Chris Stevens
70,Tanner Church
b,r,e,a,k
Omen,11
0,Danny Nguyen
0,Jordan Monnin
0,Joshua Fisher
0,Justin Latz
0,Kevin Mosey
0,Kevin Haid
0,Kyle Romard
0,Luke Monnin
0,Noah Krumme
0,Ryan Klein
0,Samuel Fox
2,Nicholas Betsch
3,Elliot Skindzier
5,Matthew Simpson
7,Evan Mack
10,Reece Stoughton
12,Mike Finke
14,Eric Wilson
15,Luke Byerly
15,Michael Horner
16,Kyle Klingler
18,Kevin Parker
30,Zachary Ford
33,Liam Holthaus
43,Stephen Kenny
52,Ian Mack
95,Jonathan Lowe
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
HIGH FIVE,Greater Gary Goblins Y,12,6,"09/22/2018, 09:00",Pool A,Final
CLE Smokestack,MomINtuM,13,6,"09/22/2018, 09:00",Pool A,Final
HIGH FIVE,MomINtuM,13,1,"09/22/2018, 10:45",Pool A,Final
CLE Smokestack,Greater Gary Goblins Y,13,10,"09/22/2018, 10:45",Pool A,Final
HIGH FIVE,CLE Smokestack,13,8,"09/22/2018, 12:30",Pool A,Final
Greater Gary Goblins Y,MomINtuM,13,2,"09/22/2018, 12:30",Pool A,Final
pool,Pool B
Chicago Machine,BroCats,15,3,"09/22/2018, 09:00",Pool B,Final
Mango Tree,Greater Gary Goblins X,13,6,"09/22/2018, 09:00",Pool B,Final
Chicago Machine,Greater Gary Goblins X,13,0,"09/22/2018, 10:45",Pool B,Final
Mango Tree,BroCats,13,11,"09/22/2018, 10:45",Pool B,Final
Chicago Machine,Mango Tree,13,6,"09/22/2018, 12:30",Pool B,Final
BroCats,Greater Gary Goblins X,13,1,"09/22/2018, 12:30",Pool B,Final
pool,Pool C
Brickyard,Black Lung,13,8,"09/22/2018, 09:00",Pool C,Final
Haymaker,BlackER Market,13,11,"09/22/2018, 09:00",Pool C,Final
Brickyard,BlackER Market,13,9,"09/22/2018, 10:45",Pool C,Final
Haymaker,Black Lung,13,5,"09/22/2018, 10:45",Pool C,Final
Brickyard,Haymaker,13,9,"09/22/2018, 12:30",Pool C,Final
Black Lung,BlackER Market,7,10,"09/22/2018, 12:30",Pool C,Final
pool,Pool D
Black Market,Omen,13,5,"09/22/2018, 09:00",Pool D,Final
Four,Enigma,13,0,"09/22/2018, 09:00",Pool D,Final
Black Market,Enigma,13,6,"09/22/2018, 10:45",Pool D,Final
Four,Omen,13,7,"09/22/2018, 10:45",Pool D,Final
Black Market,Four,12,11,"09/22/2018, 12:30",Pool D,Final
Omen,Enigma,11,13,"09/22/2018, 12:30",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
HIGH FIVE,Chicago Machine,11,13,"09/23/2018, 12:50",1st Place Finals,Final
HIGH FIVE,Black Market,15,12,"09/22/2018, 14:15",1st Place Semis,Final
Brickyard,Chicago Machine,9,15,"09/22/2018, 14:15",1st Place Semis,Final
bracket,2nd Place Bracket
HIGH FIVE,Brickyard,15,7,"09/23/2018, 13:45",2nd Place Finals,Final
Black Market,Brickyard,11,12,"09/23/2018, 12:50",2nd Place Semis,Final
Black Market,Haymaker,11,8,"09/23/2018, 10:55",2nd Place Quarters,Final
CLE Smokestack,Brickyard,12,13,"09/23/2018, 10:55",2nd Place Quarters,Final
Haymaker,Greater Gary Goblins Y,13,12,"09/23/2018, 09:00",2nd Place Prequarters,Final
CLE Smokestack,Four,15,7,"09/23/2018, 09:00",2nd Place Prequarters,Final
Haymaker,Enigma,15,4,"09/22/2018, 14:15",2nd Place Play In,Final
Greater Gary Goblins Y,Mango Tree,15,12,"09/22/2018, 14:15",2nd Place Play In,Final
CLE Smokestack,BroCats,15,11,"09/22/2018, 14:15",2nd Place Play In,Final
BlackER Market,Four,10,15,"09/22/2018, 14:15",2nd Place Play In,Final
bracket,7th Place
Greater Gary Goblins Y,Four,15,11,"09/23/2018, 10:55",7th Place,Final
bracket,9th Place Bracket
Mango Tree,BroCats,0,0,"09/23/2018, 10:55",9th Place Finals,Scheduled
Enigma,Mango Tree,5,15,"09/23/2018, 09:00",9th Place Semis,Final
BroCats,BlackER Market,15,8,"09/23/2018, 09:00",9th Place Semis,Final
bracket,11th Place
Enigma,BlackER Market,3,15,"09/23/2018, 10:55",11th Place,Final
bracket,13th Place Bracket
Omen,Black Lung,16,14,"09/23/2018, 10:55",13th Place Finals,Final
MomINtuM,Omen,8,15,"09/23/2018, 09:00",13th Place Semis,Final
Black Lung,Greater Gary Goblins X,15,10,"09/23/2018, 09:00",13th Place Semis,Final
bracket,15th Place 
MomINtuM,Greater Gary Goblins X,10,15,"09/23/2018, 10:55",15th Place,Final
b,r,e,a,k
