Eugene Summer Solstice #40,Club - Women ,23,6,2018
Eugene,OR,2018-06-23,2018-06-24
https://play.usaultimate.org/events/Eugene-Summer-Solstice-40/schedule/Women/Club-Women/
Fury,1
Fusion,Schwa,6,13,"06/23/2018, 08:30",Pool A,Final
Fury,Fusion,13,7,"06/23/2018, 10:00",Pool A,Final
Seattle Riot,Schwa,12,9,"06/23/2018, 10:00",Pool A,Final
Schwa,Elevate,10,7,"06/23/2018, 11:30",Pool A,Final
Seattle Riot,Fusion,13,3,"06/23/2018, 11:30",Pool A,Final
Fury,Schwa,13,5,"06/23/2018, 13:00",Pool A,Final
Seattle Riot,Elevate,13,2,"06/23/2018, 13:00",Pool A,Final
Fusion,Elevate,8,7,"06/23/2018, 14:30",Pool A,Final
Fury,Seattle Riot,13,7,"06/23/2018, 16:30",Pool A,Final
pool,Pool B
LOL,Rampage,11,7,"06/23/2018, 08:30",Pool B,Final
Underground,Sneaky House Hippos,12,5,"06/23/2018, 08:30",Pool B,Final
LOL,Underground,7,8,"06/23/2018, 10:00",Pool B,Final
Nightlock,Sneaky House Hippos,13,2,"06/23/2018, 10:00",Pool B,Final
Sneaky House Hippos,Rampage,12,7,"06/23/2018, 11:30",Pool B,Final
Nightlock,Underground,9,8,"06/23/2018, 11:30",Pool B,Final
LOL,Sneaky House Hippos,10,9,"06/23/2018, 13:00",Pool B,Final
Nightlock,Rampage,13,3,"06/23/2018, 13:00",Pool B,Final
LOL,Nightlock,8,13,"06/23/2018, 14:30",Pool B,Final
Underground,Rampage,13,4,"06/23/2018, 14:30",Pool B,Final
pool,Pool C
FAB,Sizzle,13,4,"06/23/2018, 08:30",Pool C,Final
Korra,101 Summertime,11,9,"06/23/2018, 08:30",Pool C,Final
FAB,Korra,13,9,"06/23/2018, 10:00",Pool C,Final
Portland Ivy,101 Summertime,12,11,"06/23/2018, 10:00",Pool C,Final
101 Summertime,Sizzle,13,3,"06/23/2018, 11:30",Pool C,Final
Portland Ivy,Korra,7,8,"06/23/2018, 11:30",Pool C,Final
FAB,101 Summertime,13,3,"06/23/2018, 13:00",Pool C,Final
Portland Ivy,Sizzle,11,3,"06/23/2018, 13:00",Pool C,Final
FAB,Portland Ivy,9,4,"06/23/2018, 14:30",Pool C,Final
Korra,Sizzle,9,3,"06/23/2018, 14:30",Pool C,Final
pool,Pool D
Venom,Seattle Soul,11,12,"06/23/2018, 08:30",Pool D,Final
Koi,Seven Devils,11,15,"06/23/2018, 08:30",Pool D,Final
Venom,Seven Devils,11,9,"06/23/2018, 10:30",Pool D,Final
Koi,Seattle Soul,5,12,"06/23/2018, 10:30",Pool D,Final
Venom,Koi,15,2,"06/23/2018, 12:30",Pool D,Final
Seattle Soul,Seven Devils,15,3,"06/23/2018, 12:30",Pool D,Final
b,r,e,a,k
brackets,Sunday Bracket Play
bracket,Championship Bracket
Fury,Seattle Riot,10,15,"06/24/2018, 13:00",Finals,Final
Fury,Schwa,13,9,"06/24/2018, 11:30",Semis,Final
Seattle Riot,Nightlock,13,5,"06/24/2018, 11:30",Semis,Final
Fury,Sneaky House Hippos,13,2,"06/24/2018, 10:00",Quarters,Final
Underground,Schwa,8,9,"06/24/2018, 10:00",Quarters,Final
Seattle Riot,LOL,13,5,"06/24/2018, 10:00",Quarters,Final
Nightlock,Fusion,12,7,"06/24/2018, 10:00",Quarters,Final
Sneaky House Hippos,Elevate,13,8,"06/24/2018, 08:30",PreQuarters,Final
Schwa,Seattle Soul,13,6,"06/24/2018, 08:30",PreQuarters,Final
LOL,FAB,12,9,"06/24/2018, 08:30",PreQuarters,Final
Fusion,Rampage,10,7,"06/24/2018, 08:30",PreQuarters,Final
bracket,3rd Place
Schwa,Nightlock,7,10,"06/24/2018, 13:00",Final,Final
bracket,5th Place
Fusion,Underground,8,10,"06/24/2018, 14:30",Final,Final
Fusion,LOL,11,7,"06/24/2018, 13:00",Semis,Final
Underground,Sneaky House Hippos,11,7,"06/24/2018, 13:00",Semis,Final
bracket,7th Place
Sneaky House Hippos,LOL,4,8,"06/24/2018, 14:30",Final,Final
bracket,Ninals
Rampage,Elevate,7,6,"06/24/2018, 11:30",Final,Final
Rampage,FAB,9,5,"06/24/2018, 10:00",Semis,Final
Seattle Soul,Elevate,8,9,"06/24/2018, 10:00",Semis,Final
bracket,11th Place
Seattle Soul,FAB,6,11,"06/24/2018, 11:30",Final,Final
b,r,e,a,k
brackets,Sunday Consolation Bracket
bracket,13th Place
Portland Ivy,Venom,11,4,"06/24/2018, 11:30",Final,Final
Korra,Portland Ivy,8,11,"06/24/2018, 10:00",Semis,Final
101 Summertime,Venom,5,13,"06/24/2018, 10:00",Semis,Final
Seven Devils,Portland Ivy,6,10,"06/24/2018, 08:30",Quarters,Final
101 Summertime,Koi,13,12,"06/24/2018, 08:30",Quarters,Final
Venom,Sizzle,13,4,"06/24/2018, 08:30",Quarters,Final
bracket,15th Place
101 Summertime,Korra,3,13,"06/24/2018, 11:30",Final,Final
bracket,For Funsies 
Sizzle,Koi,8,6,"06/24/2018, 11:30",Game 1,Final
bracket,For Funsies
Sizzle,Seven Devils,0,0,"06/24/2018, 13:00",Game 2,Cancelled
bracket,For Funsies
Koi,Seven Devils,0,0,"06/24/2018, 13:00",Game 3,Cancelled
b,r,e,a,k
