Big D in Little d 2018 (Open),College - Men ,4,2,2018
Denton,TX,2018-02-03,2018-02-04
https://play.usaultimate.org/events/Big-D-in-Little-d-Open-2018/schedule/Men/CollegeMen/
Texas Tech,1
00,Cole Strickling
00,Connor Olson
00,Conor Henry
00,Drew Starkey
00,John Athens
00,Jonathan Costello
00,Josh Cunningham
00,Karina Jarzen
00,Kendra Hess
00,Li Ya Cheng
00,Sawyer Locke
00,Simon Vickers
00,Tyler Niskanen
00,Tyler Helt
b,r,e,a,k
Rice,10
0,Augustin Liebster
0,Avery Zaleski
0,Chatham Abate
0,Dylan Riddell
0,ELI BADGIO
0,Gabriel Vacaliuc
0,Jack Kaplan
0,James Brigman
0,Nicholas Lester
0,Patrick Chickey
0,Patrick Kelly
0,Veeral Shah
3,Brian Walker
4,Adrish Anand
13,Alexander Jiang
14,Zach Moxley
17,Olasina Awe
19,Andrew Marshall
21,Sam Burke
23,Michael Young
43,Brandon Chow
b,r,e,a,k
Texas State,4
02,Daryl Lewis
04,Trenton Hebert
05,Paul Passmore
06,Eric Brodbeck
07,Cole Lamkins
08,Noah Sheets
11,Evan Dayton
11,Joseph Feeney
12,James Sims
13,James Washburn
14,Jeffery  Wang
16,Brandon Sanders
17,Anthony Shelton
20,Gabriel Cavazos
23,Alexander Polasek
27,Jake Reinhardt
32,Marcos Phillips
38,Chandler Wells
41,Tyler Glasgow
44,David Haeussler
50,Michael Racz
69,Cole Smith
87,Josh Venter
b,r,e,a,k
Texas-Dallas,3
00,Aaron Thompson
00,Andrue Guerrero
00,Bradley Rivenes
00,Christian Cortes
00,Christopher Fogel
00,David Knight
00,Jason Hustad
00,Jason Dick
00,Joey Campain
00,Joseph Welkener
00,Julius Hubby
00,Kirtan Patel
00,Logan Harless
00,Matthew Salm
00,Victor Mao
00,Wesley Miaw
11,Neel Reddy
22,Ross Neuman
27,Nidhish Lokesh
b,r,e,a,k
Central Arkansas,12
02,Michael Wyatt
03,Eriq Deaver
04,Preston Long
11,Taylor Phillips
12,Madison Dodd
13,Matthew King
14,Gregory Jacobus
21,Jonah Stephens
27,Cody Padgett
32,Garrett Brown
33,Raymond Graham
42,Dylan Green
b,r,e,a,k
North Texas,7
0,Brandon Martin
0,Cameron Young
0,Garrett Davis
0,Louis Gingras
0,Peter Nguyen
0,Slayter Marwitz
0,Stewart Williamson
4,Ryan Pingenot
9,Benjamin Meaders
10,Austin Ferrari
15,Corey Gendron
16,Andy Evans
17,Matt Klespis
21,Connor DeLuna
22,Chiao-Tan Chuang
77,Ian Ambrose
b,r,e,a,k
Kansas State,13
0,Brett Dare
0,Cody Pretzer
0,Darien Parr
0,Drew Mechnig
0,Luke Grieger
0,Spencer Roberts
4,John Winter
7,John Benfer
23,Alan Pohl
b,r,e,a,k
Texas Christian,9
00,Andrew Fletcher
00,Emerson Wolf
00,Frederick  Parce
00,Garrett Groppell
00,Greg Russo
00,Jared Talton
00,Jared Fox
00,Jordan Land
00,Jose Perez
00,JT Riley
00,Kyle Wanda
00,Neil Gallagher
00,Reagan McMann
00,Ryan Salters
00,Ryan McLoughlin
00,Curtis Hansen
03,Andrew Gillogly
07,Luke Reddick
12,Andrew Hipskind
21,John May
24,Bobby Neil
25,Christopher Roberson
27,Daniel Hooks
34,Caleb Ellison
88,Duncan McHarg
b,r,e,a,k
Stephen F Austin,16
0,Cameron Meaux
0,Jared Brawner
0,Lizzie Moore
0,Griffin Hall
0,Parker Lambes
0,Taylor Gill
5,Trevor McCulley
12,Anna Highsmith
14,Emry Collier
22,James Phillips
24,Tyler Baker
30,Matthew Doxey
39,Michael Musslewhite
43,Ethan Donart
67,Edward Salinas
69,Thomas Griffin
99,Tanner Roberts
b,r,e,a,k
Texas-Arlington,15
0,Alan Rodriguez
0,Frederick Christen
0,Nathaniel  Loper
0,Ryan Buckingham
1,damian english
3,David Ralph
4,Jonathan Conway
5,Colton McDorman
11,cole oyer
16,Logan Dillman
21,aditya kalyanshetti
27,Andrew Fowler
42,Justin Gunsolus
77,Matthew McCormick
91,Tony Sanchez
96,Joseph Lopez
99,Vinh Foussell
b,r,e,a,k
Marcus,19
00,Andrew Stewart
00,Cameron Breding
00,Chacey Yeaton
00,Christian Yeaton
00,Eric Israelson
00,Gavin Davis
00,Hunter Burke
00,Jackson Potts
00,Jackson Cole
00,Manov Jain
00,"Mark Thompson, Jr."
00,Matt Chambers
00,Robert Thomas (RT) Dooley
00,Ryan Whisenhunt
00,Skye Fernandez
00,Zach Egge
b,r,e,a,k
Texas-San Antonio,11
0,Cashon Grice
0,Cristian Garcia
0,David Pratter
0,Jacob Garcia
0,Luis Javier Espinoza
0,Neil Haight
0,Reggie  Wilder 
0,Subhash Venigalla
1,Rafael Cruz-Garcia
2,Jheremi Villarreal
3,Harrison Greaves
4,William Miller
5,Daniel 'Chach' Smith-Salgado
7,Austin Pugh
16,Steven Glatt
17,John Breen
30,Tyler Zinck
32,Seamus Moreno
42,Daniel DeLorimiere
73,Nicholas Gonzales
b,r,e,a,k
Dallas,17
0,Brian Jones
0,Daniel Mangan
0,Gihad Wazwaz
0,Greg Vanderheiden
0,John elfelt
0,John Flaherty
0,Jorge Gonzales
0,Patrick Vitale
0,Roger-Phillip Mills
0,Tristan Spain
2,Thomas Ambuul
4,Sterling Daniels
9,Thomas Crawford
11,Sean Mangan
42,John Blackman
71,Philip Lenzen
b,r,e,a,k
Southern Methodist,18
0,Dylan Weeks
0,James Paterson
0,Jena Douville
0,Johnathan Barr
0,Kyra Segraves
0,Russell Mahaney
1,Stephanie Halgren
2,Thomas Hendrix
15,Timothy Kyle Melliza
21,Robert Hillyard
24,Nicholas Stambo
32,Andrew Battany
88,Sterling  Conner
b,r,e,a,k
North Texas,6
0,Brandon Martin
0,Cameron Young
0,Garrett Davis
0,Louis Gingras
0,Peter Nguyen
0,Slayter Marwitz
0,Stewart Williamson
4,Ryan Pingenot
9,Benjamin Meaders
10,Austin Ferrari
15,Corey Gendron
16,Andy Evans
17,Matt Klespis
21,Connor DeLuna
22,Chiao-Tan Chuang
77,Ian Ambrose
b,r,e,a,k
Texas-Dallas (B),21
0,Joshua Pritchett
03,Timothy Champion
07,Udit Bhatt
13,Joseph Thurston
15,Jacob Paullus
16,Dylan Kreth
27,Aaron Schuette
33,Garrett Fish
34,Samuel Todd
69,Trevor Ellis
77,Parker Clemmons
b,r,e,a,k
Oklahoma (B),20
0,Kadon Velasco
02,Wesley Zhang
04,Caroline Bantug
10,Jack Williams
16,Tyler Jennings
19,Preston Godinich
21,Jonathan Grill
22,Connely Lambert
25,Daniel Pfaff
32,Christopher Bluth
42,Will Hanson-Regan
50,Noah Brown
88,Jacob Good
b,r,e,a,k
s,t,a,g,e,s
brackets,Big D Championship
bracket,3rd Place
Texas Tech,Baylor,8,9,"02/04/2018, 21:45",3rd Place,Final
bracket,5th Place
Nebraska,Oklahoma,15,11,"02/04/2018, 14:45",5th Place,Final
Oklahoma State,Nebraska,11,13,"02/04/2018, 12:50",5th Semis,Final
Rice,Oklahoma,10,11,"02/04/2018, 12:50",5th Semis,Final
bracket,7th place
Oklahoma State,Rice,0,1,"02/04/2018, 14:45",7th place,Final
bracket,Big D Championship
Texas State,Texas-Dallas,13,11,"02/04/2018, 09:45",Finals,Final
Texas Tech,Texas State,9,15,"02/04/2018, 07:50",Semi-Finals,Final
Texas-Dallas,Baylor,14,9,"02/04/2018, 07:50",Semi-Finals,Final
Texas Tech,Oklahoma State,15,11,"02/04/2018, 05:55",Quarters,Final
Nebraska,Texas State,5,15,"02/03/2018, 22:55",Quarters,Final
Rice,Texas-Dallas,5,15,"02/04/2018, 05:55",Quarters,Final
Oklahoma,Baylor,8,15,"02/03/2018, 22:55",Quarters,Final
Texas Tech,Central Arkansas,15,4,"02/04/2018, 16:00",Round Name,Final
Oklahoma State,North Texas,14,10,"02/03/2018, 21:00",Round Name,Final
Nebraska,Kansas State,15,9,"02/03/2018, 21:00",Round Name,Final
Texas State,Texas Christian,15,1,"02/03/2018, 21:00",Round Name,Final
Rice,Stephen F Austin,14,13,"02/03/2018, 21:00",Round Name,Final
Texas-Dallas,Texas-Arlington,15,1,"02/04/2018, 04:00",Round Name,Final
Oklahoma,Marcus,15,6,"02/03/2018, 21:00",Round Name,Final
Baylor,Texas-San Antonio,15,4,"02/04/2018, 04:00",Round Name,Final
b,r,e,a,k
brackets,Little d Championship
bracket,9th place
North Texas,Stephen F Austin,13,14,"02/04/2018, 14:45",9th,Final
North Texas,Kansas State,13,6,"02/04/2018, 12:50",Semis,Final
Stephen F Austin,Texas-San Antonio,1,0,"02/04/2018, 07:50",Semis,Final
Central Arkansas,North Texas,3,15,"02/05/2018, 12:55",Quarters,Final
Kansas State,Texas Christian,11,10,"02/04/2018, 10:55",Quarters,Final
Stephen F Austin,Texas-Arlington,14,10,"02/04/2018, 10:55",Quarters,Final
Marcus,Texas-San Antonio,9,15,"02/04/2018, 17:55",Quarters,Final
bracket,11th place
Kansas State,Texas-San Antonio,1,0,"02/04/2018, 21:45",11th place,Final
bracket,13th
Marcus,Central Arkansas,9,11,"02/05/2018, 04:45",13th,Final
Texas Christian,Marcus,9,12,"02/04/2018, 12:50",13th semis,Final
Central Arkansas,Texas-Arlington,15,5,"02/04/2018, 14:50",13th semis,Final
bracket,15th place
Texas Christian,Texas-Arlington,9,5,"02/04/2018, 14:45",15th place,Final
b,r,e,a,k
pools,Pool Play
pool,Pool A
Texas Christian,Stephen F Austin,5,13,"02/03/2018, 08:00",Pool A,Final
Oklahoma,Stephen F Austin,9,8,"02/03/2018, 09:35",Pool A,Final
Stephen F Austin,Dallas,10,5,"02/03/2018, 11:10",Pool A,Final
Oklahoma,Texas Christian,9,4,"02/03/2018, 11:10",Pool A,Final
Oklahoma,Dallas,13,5,"02/03/2018, 12:45",Pool A,Final
Texas Christian,Dallas,9,5,"02/03/2018, 14:20",Pool A,Final
Texas Tech,Dallas,13,4,"02/03/2018, 15:00",Pool A,Final
Texas Tech,Texas Christian,10,6,"02/03/2018, 16:35",Pool A,Final
Texas Tech,Stephen F Austin,12,8,"02/03/2018, 19:45",Pool A,Final
Texas Tech,Oklahoma,13,10,"02/03/2018, 21:20",Pool A,Final
pool,Pool B
Baylor,Southern Methodist,10,6,"02/03/2018, 08:00",Pool B,Final
Rice,Texas-Arlington,13,7,"02/03/2018, 08:00",Pool B,Final
Baylor,Rice,9,10,"02/03/2018, 09:35",Pool B,Final
North Texas,Texas-Arlington,10,4,"02/03/2018, 09:35",Pool B,Final
Texas-Arlington,Southern Methodist,10,7,"02/03/2018, 11:10",Pool B,Final
North Texas,Rice,9,8,"02/03/2018, 11:10",Pool B,Final
Baylor,Texas-Arlington,13,4,"02/03/2018, 12:45",Pool B,Final
North Texas,Southern Methodist,13,0,"02/03/2018, 12:45",Pool B,Final
Baylor,North Texas,9,7,"02/03/2018, 14:20",Pool B,Final
Rice,Southern Methodist,13,4,"02/03/2018, 14:20",Pool B,Final
pool,Pool C
Nebraska,Marcus,9,6,"02/03/2018, 11:10",Pool C,Final
Texas-Dallas,Marcus,13,3,"02/03/2018, 15:00",Pool C,Final
Texas-San Antonio,Nebraska,8,12,"02/03/2018, 15:00",Pool C,Final
North Texas,Nebraska,0,13,"02/03/2018, 16:35",Pool C,Final
Texas-Dallas,Nebraska,11,4,"02/03/2018, 19:45",Pool C,Final
North Texas,Marcus,2,13,"02/03/2018, 19:45",Pool C,Final
Texas-San Antonio,Marcus,9,12,"02/03/2018, 21:20",Pool C,Final
Texas-Dallas,Texas-San Antonio,13,6,"02/03/2018, 23:35",Pool C,Final
North Texas,Texas-San Antonio,1,13,"02/04/2018, 01:10",Pool C,Final
Texas-Dallas,North Texas,13,0,"02/04/2018, 04:20",Pool C,Final
b,r,e,a,k
pools,Pool Play
pool,Pool D
Texas State,Oklahoma State,11,8,"02/03/2018, 09:35",Pool D,Final
Texas State,Kansas State,12,4,"02/03/2018, 11:10",Pool D,Final
Oklahoma State,Kansas State,13,5,"02/03/2018, 14:20",Pool D,Final
Oklahoma State,Oklahoma (B),13,0,"02/03/2018, 15:00",Pool D,Final
Kansas State,Texas-Dallas (B),13,3,"02/03/2018, 15:00",Pool D,Final
Oklahoma (B),Texas-Dallas (B),3,12,"02/03/2018, 16:35",Pool D,Final
Oklahoma State,Texas-Dallas (B),13,2,"02/03/2018, 18:10",Pool D,Final
Central Arkansas,Oklahoma (B),9,10,"02/03/2018, 18:10",Pool D,Final
Texas State,Texas-Dallas (B),13,3,"02/03/2018, 19:45",Pool D,Final
Kansas State,Oklahoma (B),12,3,"02/03/2018, 19:45",Pool D,Final
Texas State,Oklahoma (B),13,5,"02/03/2018, 21:20",Pool D,Final
Central Arkansas,Texas-Dallas (B),13,5,"02/03/2018, 21:20",Pool D,Final
Texas State,Central Arkansas,13,1,"02/03/2018, 22:00",Pool D,Final
Central Arkansas,Kansas State,1,13,"02/03/2018, 23:35",Pool D,Final
Oklahoma State,Central Arkansas,13,1,"02/04/2018, 02:45",Pool D,Final
b,r,e,a,k
pools,Non-Championship play
pool,Pool E
Southern Methodist,Dallas,7,15,"02/04/2018, 09:00",Pool E,Final
Southern Methodist,North Texas,13,3,"02/04/2018, 17:55",Pool E,Final
Texas-Dallas (B),Oklahoma (B),15,10,"02/04/2018, 17:55",Pool E,Final
Oklahoma (B),Dallas,7,15,"02/04/2018, 19:50",Pool E,Final
Southern Methodist,Oklahoma (B),8,6,"02/04/2018, 21:45",Pool E,Final
Texas-Dallas (B),Dallas,4,9,"02/04/2018, 21:45",Pool E,Final
North Texas,Oklahoma (B),3,15,"02/04/2018, 23:00",Pool E,Final
Texas-Dallas (B),North Texas,15,5,"02/05/2018, 02:50",Pool E,Final
b,r,e,a,k
