TCT Pro-Elite Challenge (Colorado Cup) 2018,Club - Men ,7,7,2018
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-2018/schedule/Men/Club-Men/
Sockeye,8
24,Ethan Peck
27,Jake Rainwater
38,TJ Stanton
44,Tom O'Connor
45,Nicholas DiGiorgio
48,Ryan Weaver
52,Connor Russell
55,Matt Paparone
61,Daniel Hartsoe
69,Peter Burt
76,Trevor Lynch
77,Ryan Brown
91,Vincent Reydams
96,Casey Vaughn
b,r,e,a,k
Guerrilla,14
0,Andy Smith
02,Samuel Adamson
03,Tommy Adams
05,Matthew Crawford
07,Kevin Tien
08,Brandon Fein
09,Andrew Moore
10,Sonny Zaccaro
11,Caleb Merriam
12,Steven Chang
13,Dillon Whited
14,Mark Philipson
15,Lucas Young
16,Zach Sabin
17,Xavier Jacque Mignot
18,Eric Greenwood
20,Sam Swink
22,Jack Hamner
24,Jason Yun
27,Andrew Hooker
31,Ethan Falat
33,Nicholas Hirning
42,Matt Jaffe
74,Jacob Greenberg
88,Nicholas Murphy
99,Tim Gilligan
b,r,e,a,k
Truck Stop,2
0,Jarrod Banks
1,Max Cassell
2,Christian Boxley
3,Jackson Cochran
4,Delrico Johnson
05,David Cranston
10,Tyler Monroe
15,Nathan Castine
17,Eric Miner
20,Samuel Brecker
24,Austin Bartenstein
25,Marcus Thaw
28,Matthew Rowan McDonnell
30,David Bloodgood
33,Ryan Swift
45,Jeff Wodatch
47,John Walden
52,Gus Norrbom
63,David Shields
70,Christopher Strub
87,Matt Kerrigan
90,Markham Shofner
91,Troy Holland
97,Bradley Scott
b,r,e,a,k
Johnny Bravo,6
00,Mark Rauls
03,David Miller
04,Felix Pronove
05,Elliott Erickson
06,Erik Hotaling
07,Will McDonald
09,Robert Korbel
10,Nicholas Purifico
11,Joshua Crane
13,Alan Villanueva
15,Dennison Bechis
16,Jake Marrapode
20,Mo Scott
22,Stanley Peterson
24,Matt Bubernak
29,Sandy Brown
32,Kevin Johnson
34,Henry Konker
35,Todd Wolma
42,Ben Lohre
66,Matt Jackson
72,Dylan Salzman
85,Calvin Delamere
88,Quinn Finer
b,r,e,a,k
DiG,3
0,Chris Bartoli
0,Gabriel Colton
0,Henry Babcock
0,Josh Markette
2,Spencer Diamond
3,Ryan Rzepka
4,Tanner Halkyard
5,Noah Backer
5,Michael Sender
6,Rocco Essex-Linehan
8,Ben Sadok
9,Misha Sidorsky
10,William Stewart
11,Mat Little
12,Mac Hecht
12,Tim Schoch
13,Hartley Greenwald
14,Jack Hatchett
14,Ben Field
18,Brett Gramann
22,Benjamin Tseytlin
83,Alex Dagley
b,r,e,a,k
Rhino Slam,15
02,Brandon Lafferty
03,John Cairns
06,Cody Bjorklund
07,Kristian Grobecker
08,Benjamin Whitenack
09,Chris Hancock
10,Colby Chuck
12,Jonathan Lee
13,Timmy Perston
15,Mario Bundy
17,Raphael Hayes
20,James Shaw
21,Spencer Latarski
22,Grant Cole
24,Adam Rees
26,Colton Clark
27,Trevor Smith
28,Hylke Snieder
30,Sam Franer
31,William Beck
33,Sam Gordon-Koven
35,Andrew Halpin
40,Vinh Bui
42,Will Lohre
44,Owen Murphy
62,Quinn Buermeyer
64,Leandro Marx
b,r,e,a,k
SoCal Condors,10
0,Jacob Bartholomew
3,Michael Tran
02,Seam Ham
03,Conor Schofield
09,Maxwell Hume
10,Sean McDougall
13,Mark Leggio
14,William Turner
17,Hunter Corbett
18,Kyle Rubin
19,Jeff Silverman
21,Aidan Hall
22,Wesley Groth
23,Matt Theologidy
24,David Ritchie
27,Collin Gall
28,Bailey Wu
42,Marcel Osborne
44,Tim Okita
55,Tyler Bacon
80,Travis Dunn
84,Jesse Cohen
88,Samuel Fontaine
91,Grant Boyd
94,Scott Radlauer
b,r,e,a,k
Pittsburgh Temper,16
0,Andrew Kohl
01,Max Sheppard
02,Jonathan Mast
03,Patrick Earles
04,David Vatz
06,Anson Reppermund
07,Mark Fedorenko
08,Thomas Edmonds
10,Max Thorne
11,Leo Warren
12,Justin Abel
14,Kenny Furdella
15,Dylan Best
17,Matthew Hanna
24,Alexander Thomas
27,Jasper Tom
29,Hafeez Shams
35,Dan Goldstein
38,Jonah Wisch
42,Marcus Ranii-Dropcho
48,Jimmy Towle
49,Sam VanDusen
52,Aaron Collins
79,Michael Ing
81,Tyler DeGirolamo
b,r,e,a,k
Sub Zero,5
0,Wystan Duhn
5,Charles McCutcheon
02,Ben Feldman
03,Colin Berry
04,Gregory Cousins
07,Zach Trosvig
08,Cole Wallin
10,Anthony Poletto
11,Trey Taylor
12,Alex Simmons
13,Cole Jurek
15,Kristian Johnson
17,Logan Weiss
20,Thomas Echols
21,Codi Wood
24,Nicholas Vogt
26,Jordan Taylor
29,Josh Klane
33,Connor Anderson
66,Jason Tschida
71,Nicholas Simonelli
88,Charles Weinberg
99,Tristan Van De Moortele
b,r,e,a,k
HIGH FIVE,9
0,Jordan O'Neill
02,David Valentine-Elam
05,Austin Engel
07,John-Michael Guest
09,Steven Moliterno
10,David Bentrovato
11,Jordan Rhyne
16,Kevin Coulter
16,Raymond Lu
17,Keegan North
18,Ethan Yourd
19,Paul Arters
20,Sam Greenwood
23,Eric Schumacher
23,Alex Kapiamba
24,Wesley Chen
30,Parker Howard
38,Joe Mozloom Jr
45,Kevin Baumann
47,Phil Cherosky
55,Johnny Bansfield
76,Cole Osborn
77,James Highsmith
98,Dan Donovan
98,Zachary Braun
b,r,e,a,k
PoNY,4
1,Markian Kuzmowycz
2,Sean Keegan
4,Matt Hennessy
6,Michael Brenner
7,Clark Cofer
8,Harper Garvey
9,Samuel Little
11,John (Jack) Flintermann
13,Evan Padget
15,Kevin Norton
16,Michael Drost
18,Tyler Haskell
19,Isaac Saul
22,Jack Marsh
31,John Wodatch
47,Conrad Schloer
50,Milo Snyder
60,William Dean
97,Benjamin Spielman
98,Carter Thallon
99,Laurent Loiseau
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Sockeye,Medicine Men,13,8,"07/07/2018, 10:00",Pool A
Doublewide,Madison Club,10,13,"07/07/2018, 10:00",Pool A
Sockeye,Madison Club,13,6,"07/07/2018, 12:00",Pool A
Doublewide,Medicine Men,13,9,"07/07/2018, 12:00",Pool A
Madison Club,Medicine Men,13,6,"07/07/2018, 14:00",Pool A
Doublewide,Sockeye,11,13,"07/07/2018, 14:00",Pool A
pool,Pool B
Truck Stop,Patrol,7,13,"07/07/2018, 08:00",Pool B
Chicago Machine,Guerrilla,13,7,"07/07/2018, 08:00",Pool B
Truck Stop,Guerrilla,10,13,"07/07/2018, 10:00",Pool B
Chicago Machine,Patrol,13,7,"07/07/2018, 10:00",Pool B
Patrol,Guerrilla,13,11,"07/07/2018, 14:00",Pool B
Truck Stop,Chicago Machine,11,10,"07/07/2018, 14:00",Pool B
pool,Pool C
DiG,SoCal Condors,13,8,"07/07/2018, 08:00",Pool C
Johnny Bravo,Rhino Slam,13,7,"07/07/2018, 08:00",Pool C
DiG,Rhino Slam,8,10,"07/07/2018, 10:00",Pool C
Johnny Bravo,SoCal Condors,13,9,"07/07/2018, 10:00",Pool C
DiG,Johnny Bravo,13,10,"07/07/2018, 12:00",Pool C
SoCal Condors,Rhino Slam,8,13,"07/07/2018, 12:00",Pool C
pool,Pool D
PoNY,HIGH FIVE,8,13,"07/07/2018, 08:00",Pool D
Sub Zero,Pittsburgh Temper,10,13,"07/07/2018, 08:00",Pool D
Sub Zero,HIGH FIVE,13,12,"07/07/2018, 12:00",Pool D
PoNY,Pittsburgh Temper,9,11,"07/07/2018, 12:00",Pool D
HIGH FIVE,Pittsburgh Temper,7,13,"07/07/2018, 14:00",Pool D
PoNY,Sub Zero,9,13,"07/07/2018, 14:00",Pool D
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Pittsburgh Temper,Johnny Bravo,11,13,"07/08/2018, 12:25",1st Place Game
Sockeye,Pittsburgh Temper,12,13,"07/08/2018, 10:40",Semifinals
Johnny Bravo,HIGH FIVE,13,11,"07/08/2018, 10:40",Semifinals
Sockeye,Patrol,13,9,"07/08/2018, 08:55",Quarterfinals
DiG,Pittsburgh Temper,10,11,"07/08/2018, 08:55",Quarterfinals
Johnny Bravo,Doublewide,13,10,"07/08/2018, 08:55",Quarterfinals
HIGH FIVE,Chicago Machine,14,12,"07/08/2018, 08:55",Quarterfinals
Patrol,Rhino Slam,13,10,"07/08/2018, 07:45",Pre-Quarters
DiG,Guerrilla,12,11,"07/08/2018, 07:45",Pre-Quarters
Sub Zero,Doublewide,8,13,"07/08/2018, 07:45",Pre-Quarters
Madison Club,HIGH FIVE,11,12,"07/08/2018, 07:45",Pre-Quarters
bracket,3rd Place Bracket
Sockeye,HIGH FIVE,13,8,"07/08/2018, 12:25",3rd Place
bracket,5th Place Bracket
DiG,Chicago Machine,6,11,"07/08/2018, 12:25",5th Place
Patrol,DiG,7,9,"07/08/2018, 10:40",5th Place Semis
Doublewide,Chicago Machine,9,12,"07/08/2018, 10:40",5th Place Semis
bracket,7th Place Bracket
Patrol,Doublewide,6,13,"07/08/2018, 12:25",7th Place
b,r,e,a,k
clusters,Saturday Crossover (4 Seeds)
cluster,Crossover Round
Medicine Men,PoNY,7,13,"07/08/2018, 07:45",
Truck Stop,SoCal Condors,9,13,"07/08/2018, 07:45",
b,r,e,a,k
pools,Sunday Consolation - 8:55am
pool,Pool E
Sub Zero,Guerrilla,8,13,"07/08/2018, 08:55",Pool E
pool,Pool F
Truck Stop,PoNY,12,9,"07/08/2018, 08:55",Pool F
b,r,e,a,k
pools,Sunday Consolation - 10:40am
pool,Pool G
Rhino Slam,Medicine Men,13,9,"07/08/2018, 10:40",Pool G
pool,Pool H
Madison Club,SoCal Condors,13,11,"07/08/2018, 10:40",Pool H
b,r,e,a,k
pools,Sunday Consolation - 12:25pm
pool,Pool I
Truck Stop,Sub Zero,11,13,"07/08/2018, 12:25",Pool I
pool,Pool J
PoNY,Guerrilla,13,7,"07/08/2018, 12:25",Pool J
pool,Pool K
SoCal Condors,Medicine Men,10,9,"07/08/2018, 12:25",Pool K
pool,Pool L
Madison Club,Rhino Slam,11,9,"07/08/2018, 12:25",Pool L
b,r,e,a,k
