D-III Midwestern Invite 2018,College - Men ,17,3,2018
https://play.usaultimate.org/events/D-III-Midwestern-Invite-2018/schedule/Men/CollegeMen/
Air Force,1
05,Joel Willison
06,August Lindberg
07,Will Ensign-Church
08,Ibrahim Sakrani
10,Aditya Siddharth
11,Dan Briggs
12,Jonah Cabral
13,Vu Nguyen
15,Esteban Lopez
18,Dmitri Chambers
19,Daniel Perez
21,Jonathan Schrag
24,Alexander Hegg
25,David Zavala
26,Sam Tatum
27,Jack Harman
29,Akash Patel
30,Fernando Medrano
37,An Ly Nguyen
48,Aldo Portillo
63,Alan Gallo
64,Christopher Wong
81,Sam Beem
89,Connor Weeks
97,Benjamin Rutter
b,r,e,a,k
Belmont,20
5,Bryan Malone
5,Jordan Dunn
5,Nicolas Chouard
6,Joseph Bendekovic
6,Joe Zak
7,Jon Layne
8,Jack Waite
8,Mitchell Kelly
13,Tanner Gaughf
18,Jonathan Stokes
21,Jones Kolbinsky
35,Chris Volzke
42,Tanner Landolt
69,Coleman Perry
69,Daniel Gray
69,Bryce DuBray
69,Joseph Briggs
69,Max Creech
69,Oluwatito Ebiwonjumi
85,Aaron Wilder
b,r,e,a,k
Grinnell,13
0,Anshul Tambay
0,Daniel Cook
0,Henry Firestone
0,Jacob Molho
0,Jacob Schneyer
0,John Gouwar
0,Eli Calalang-LaCroix
0,Matthew Henzy
0,Max Bachvaroff
0,Michael Sundby
0,Langston Thomas
0,Patrick Sheehan-Klenk
0,Saketan Anand
0,Tosha Skolnik
7,Charles McKenzie-Smith
9,Peter Walker
10,Nathan Gifford
16,David Kreis
17,Sayles Kasten
20,Brandon DeBella
29,Russ Haight
33,Emma Foulkes
36,Yang Luo
42,Nate Tometich
55,Liam Niehus-Staab
97,Kevin Connors
99,Jonathan Dowell
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
St Olaf,Coe,13,4,"03/17/2018, 09:00",Pool A
Air Force,St Olaf,10,7,"03/17/2018, 10:40",Pool A
Oberlin,Coe,13,3,"03/17/2018, 10:40",Pool A
Oberlin,St Olaf,10,7,"03/17/2018, 12:20",Pool A
Air Force,Coe,13,1,"03/17/2018, 14:00",Pool A
Air Force,Butler,13,2,"03/17/2018, 15:00",Pool A
Air Force,Oberlin,13,6,"03/17/2018, 15:40",Pool A
Coe,Butler,4,13,"03/17/2018, 18:20",Pool A
Oberlin,Butler,13,2,"03/17/2018, 20:00",Pool A
St Olaf,Butler,13,8,"03/17/2018, 21:40",Pool A
pool,Pool B
Whitman,Olivet Nazarene,12,4,"03/17/2018, 09:00",Pool B
Michigan Tech,Trine,13,6,"03/17/2018, 09:00",Pool B
Whitman,Michigan Tech,13,9,"03/17/2018, 10:40",Pool B
Cedarville,Trine,11,6,"03/17/2018, 10:40",Pool B
Trine,Olivet Nazarene,12,11,"03/17/2018, 12:20",Pool B
Cedarville,Michigan Tech,10,13,"03/17/2018, 12:20",Pool B
Whitman,Cedarville,13,3,"03/17/2018, 14:00",Pool B
Michigan Tech,Olivet Nazarene,13,7,"03/17/2018, 14:00",Pool B
Cedarville,Olivet Nazarene,13,7,"03/17/2018, 15:40",Pool B
pool,Pool C
Bradley,Wisconsin-Platteville,13,6,"03/17/2018, 09:00",Pool C
Union (Tennessee),St. Thomas,11,12,"03/17/2018, 09:00",Pool C
Wheaton (Illinois),St. Thomas,13,2,"03/17/2018, 10:40",Pool C
Union (Tennessee),Bradley,10,13,"03/17/2018, 10:40",Pool C
Wheaton (Illinois),Union (Tennessee),13,9,"03/17/2018, 12:20",Pool C
St. Thomas,Wisconsin-Platteville,13,9,"03/17/2018, 12:20",Pool C
Wheaton (Illinois),Bradley,13,11,"03/17/2018, 14:00",Pool C
Union (Tennessee),Wisconsin-Platteville,13,3,"03/17/2018, 14:00",Pool C
Wheaton (Illinois),Wisconsin-Platteville,13,4,"03/17/2018, 15:40",Pool C
St. Thomas,Bradley,13,10,"03/17/2018, 15:40",Pool C
pool,Pool D
Brandeis,Belmont,13,3,"03/17/2018, 09:00",Pool D
Knox,Grinnell,11,6,"03/17/2018, 09:00",Pool D
Brandeis,Knox,6,9,"03/17/2018, 10:40",Pool D
Xavier,Grinnell,13,2,"03/17/2018, 10:40",Pool D
Grinnell,Belmont,9,11,"03/17/2018, 12:20",Pool D
Xavier,Knox,10,6,"03/17/2018, 12:20",Pool D
Brandeis,Grinnell,13,2,"03/17/2018, 14:00",Pool D
Xavier,Belmont,13,5,"03/17/2018, 14:00",Pool D
Brandeis,Xavier,13,9,"03/17/2018, 15:40",Pool D
Knox,Belmont,7,0,"03/17/2018, 15:40",Pool D
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Air Force,Whitman,15,11,"03/18/2018, 12:10",Championship
Air Force,Oberlin,15,9,"03/18/2018, 10:20",Semifinals
Whitman,Michigan Tech,15,5,"03/18/2018, 10:20",Semifinals
Air Force,Xavier,15,7,"03/18/2018, 08:30",Quarterfinals
Brandeis,Oberlin,12,13,"03/18/2018, 08:30",Quarterfinals
Whitman,St. Thomas,15,6,"03/18/2018, 08:30",Quarterfinals
Wheaton (Illinois),Michigan Tech,12,15,"03/18/2018, 08:30",Quarterfinals
bracket,3rd Place Game
Oberlin,Michigan Tech,9,14,"03/18/2018, 12:10",3rd Place
bracket,5th Place Bracket
Brandeis,Wheaton (Illinois),11,13,"03/18/2018, 12:10",5th Place
Xavier,Brandeis,12,15,"03/18/2018, 10:20",5th Place Semis
St. Thomas,Wheaton (Illinois),13,15,"03/18/2018, 10:20",5th Place Semis
bracket,7th Place Game
Xavier,St. Thomas,15,11,"03/18/2018, 12:10",7th Place
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place Bracket
St Olaf,Bradley,15,8,"03/18/2018, 12:10",9th Place
St Olaf,Knox,15,7,"03/18/2018, 10:20",9th Place Semis
Bradley,Cedarville,15,13,"03/18/2018, 10:20",9th Place Semis
St Olaf,Trine,15,7,"03/18/2018, 08:30",9th Place Quarterfinals
