Metro New York Mixed Sectional Championship,Club - Mixed ,9,9,2018
Middletown,NY,2018-09-08,2018-09-09
https://play.usaultimate.org/events/Metro-New-York-Mixed-Sectional-Championship-2018/schedule/Mixed/Club-Mixed
XIST,1
44,Karandeep Ahluwalia
48,Ian Foley
69,Anthony Ferdinandi
b,r,e,a,k
BLT Stacks,11
0,Bryce Nakaoka
0,Claire Miller Skriletz
0,Connor Stuart-Paul
0,Delilah Fairclough-Stewart
0,Ivy Fan
0,Jasper Han
0,John Derewianka
0,JOSEPH GOODELL
0,Julianne Munson
0,Graham Ardner
0,MATTHEW BOLLARO
0,Nicholas Dacosta
0,Rachel Coile
0,Rebecca Gotlib
0,Zoey Frolking
3,Seamus Joyce-Johnson
3,Shannon Stolting
4,Matthew Hall
4,Eric Renkewith
13,Hannah Ardner
17,Ella Schmidt
26,Maria Buxton
51,Vincent Buffa
b,r,e,a,k
Varsity,10
0,Dana Miller
0,Jacob Barr
1,Brittany Francis
2,Anna Lieberman
4,Tiffany Tai
5,Sarah Motola
8,Iris Malfetano
8,Kevin Boyce
9,Justin Fabrikant
10,Arleen Aguasvivas
12,Eri Okuma
16,Nick Lindeke
17,Mark Popinchalk
21,Edward Fenster
23,Jordan Tippitt
23,Jordan Dexter
25,TJ Dingco
27,PJ Niegsch
31,Luke Eddins
33,Daniel Aronov
33,Matthew Delos Santos
43,Jeffrey Pollock
49,JOHN MASON
69,Adam Pin
89,Zachai Kalet-Schwartz
b,r,e,a,k
defunct,15
0,Alianna Jacobi
0,Christopher Bedron
0,David Sieling
0,Dean Bhatt
0,James Pew
0,Kelly Osland
0,Shaylen Harger
0,Tom White
1,COLIN MCNULTY
7,Lisa Silberkleit
11,Miles Mortali
13,Matthew Zawacki
13,Carlos Loaiza
37,Lester Payawal
42,Lucas Morrissey
99,Adam Konwerski
b,r,e,a,k
Super Happy Fun Time,16
0,Carson Fitzner
0,Christopher Enderby
0,CRISTAL CHAN
0,David Hibbard
0,DIANE PACINI
0,Glen Weill
0,Jacob Kravitz
0,Kyle Bonvouloir
0,Marissa Aldieri
0,Michael Miller
0,Stephanie Hubli
0,Kaely Quijano
0,Kayla Olson
0,Theresa Yu
0,Todd Larese
5,Jennifer Gobin
11,Albert Ackerson
13,Sterling Morrone
18,Carter Antaya
19,Kelley Germanowski (Miller)
81,Alex Morrone
b,r,e,a,k
TBD,17
0,Brad Hess
0,Carolyn Panzarella
0,Dianna Bartone
0,Emily Cho
0,Emily Brown
0,Holly Phillips
0,James Kim
0,Jasper Lu
0,Jessica Rosenqvist
0,Kevin  Niu
0,Manuel Fergus
0,Mary Anne Young Savage
0,Matthew Silver
0,Odin Grina
0,Ryan Gruber
0,Thomas Binghi
0,Will Klein
0,Zane Friedkin
10,Jonathan Lao
11,Christie Yeh
16,Lawrence Luo
17,Kevin Lai
17,Dylan Zeigler
19,Hallie Schaeffer
26,Michole Vergeire
35,Gary Delia
50,Caitlyn Horgan
b,r,e,a,k
s,t,a,g,e,s
brackets,Bracket Play
bracket,1st Place Bracket
XIST,Grand Army,15,10,"09/09/2018, 13:00",1st Place Finals,Final
XIST,Birds,13,8,"09/08/2018, 15:00",1st Place Semis,Final
Grand Army,The Feminists,13,9,"09/08/2018, 15:00",1st Place Semis,Final
XIST,Powermove,13,2,"09/08/2018, 13:00",1st Place Quarters,Final
Alt Stacks,Birds,10,13,"09/08/2018, 13:00",1st Place Quarters,Final
Grand Army,Nautilus,13,3,"09/08/2018, 13:00",1st Place Quarters,Final
Funk,The Feminists,8,13,"09/08/2018, 13:00",1st Place Quarters,Final
Powermove,Unlimited Swipes,10,9,"09/08/2018, 11:00",1st Place Prequarters,Final
Alt Stacks,Bees,13,11,"09/08/2018, 11:00",1st Place Prequarters,Final
Turnstyle,Birds,3,13,"09/08/2018, 11:00",1st Place Prequarters,Final
Grand Army,Pink Pear,13,3,"09/08/2018, 11:00",1st Place Prequarters,Final
BLT Stacks,Nautilus,5,13,"09/08/2018, 11:00",1st Place Prequarters,Final
Funk,Varsity,13,7,"09/08/2018, 11:00",1st Place Prequarters,Final
defunct,The Feminists,2,13,"09/08/2018, 09:00",1st Place Prequarters,Final
XIST,Super Happy Fun Time,13,6,"09/08/2018, 11:00",1st Place Prequarters,Final
Super Happy Fun Time,TBD,13,3,"09/08/2018, 09:00",Play In,Final
bracket,2nd Place Bracket
Grand Army,The Feminists,10,13,"09/09/2018, 15:00",2nd Place Finals,Final
Birds,The Feminists,8,13,"09/09/2018, 13:00",2nd Place Semis,Final
Funk,Birds,6,12,"09/09/2018, 11:00",2nd Place Quarters,Final
Powermove,The Feminists,8,13,"09/09/2018, 11:00",2nd Place Quarters,Final
Funk,Nautilus,12,10,"09/09/2018, 09:00",2nd Place Prequarters,Final
Alt Stacks,Powermove,9,11,"09/09/2018, 09:00",2nd Place Prequarters,Final
Unlimited Swipes,Funk,9,13,"09/08/2018, 15:00",2nd Place Play In 2,Final
Nautilus,Bees,13,9,"09/08/2018, 15:00",2nd Place Play In 2,Final
Alt Stacks,Pink Pear,13,10,"09/08/2018, 15:00",2nd Place Play In 2,Final
Powermove,TBD,13,5,"09/08/2018, 15:00",2nd Place Play In 2,Final
Bees,Turnstyle,13,10,"09/08/2018, 13:00",2nd Place Play In 1,Final
Pink Pear,BLT Stacks,13,7,"09/08/2018, 13:00",2nd Place Play In 1,Final
TBD,Varsity,12,9,"09/08/2018, 13:00",2nd Place Play In 1,Final
Super Happy Fun Time,Unlimited Swipes,11,12,"09/08/2018, 13:00",2nd Place Play In 1,Final
TBD,defunct,13,2,"09/08/2018, 11:00",2nd Place Play In 0,Final
bracket,4th Place Bracket
Birds,Funk,13,7,"09/09/2018, 15:00",4th Place Finals,Final
Funk,Powermove,12,7,"09/09/2018, 13:00",4th Place Semis,Final
b,r,e,a,k
