Midwest Throwdown 2018,College - Men ,3,3,2018
Columbia,MO,2018-03-03,2018-03-04
https://play.usaultimate.org/events/Midwest-Throwdown-2018/schedule/Men/CollegeMen/
Illinois State,4
18,Ben Slusser
24,Jason Hataj
81,Olivia Schilcher
97,Donald Fordahl
b,r,e,a,k
Iowa State (B),25
teamInfo,Fast Paste),"Ames, Iowa",http://www.isucultimate.com/,https://www.facebook.com/IowaStateUltimate,https://twitter.com/UltimateISU
0,Hamish Hay
0,William Johns
04,Benton Habel
10,Marshall Penn
16,Christopher Anderson
22,JUSTIN PAGE
25,Chase Lemley
50,Clay Hugen
55,Michael Guckeen
69,Jacob Thomae
72,Nick Rieger
73,Jordan Wright
81,Richard Cirone
88,Oscar Escalante
96,Michael Rydel
98,Brandon Wyttenbach
b,r,e,a,k
Missouri,15
teamInfo,Missouri,"Columbia, Missouri",,,
0,Alex Webber
0,Ben Rollings
0,Colin Macgregor
0,Jackson Haynes
0,Jackson Huffman
0,Jonathon Morris
0,Jordan Kruessel
0,Joshua Morris
0,Hunter Pendleton
0,Isaac Frieden
0,Logan Brunk
0,Nicholas Biggs
0,Nick Stork
0,MIKE BOYLE
0,Thomas Hopper
2,Owen Krucoff
2,Greg Maier
6,Nicholas Mihulka
15,Mark Stedem
17,Ryan Tray
19,TYLER LAUDEMAN
24,Patrick Preston
34,Kyle Hatten
35,Sawyer Novak
54,Jack Carmichael
b,r,e,a,k
Northern Iowa,14
teamInfo,AmmUNItion,"Cedar Falls, Iowa",https://sites.google.com/site/ammunitionultimate/home,https://www.facebook.com/UNI.ultimate,https://twitter.com/UNIUltimate
0,Tyson Samsel
3,Richard TeKippe
6,Joshua Timms
7,Timothy Swanson
10,Blake Eggleston
11,Matt Adams
12,Ethan Schultzen
13,Payton Burken
16,Colin Stroehle-Durrah
18,Tanner Smith
20,John Cannon
22,Aaron Worsfold
30,Steven Flesch
35,Caleb Lundeen
44,Mitchell Diamond
55,Michael Bonin
63,Mason Burken
72,Clayton Phillips
73,Daniel Thomsen
77,Cody Campbell
99,John Dunlop
b,r,e,a,k
Washington University (B),26
teamInfo,Contraband,"St. Louis, Missouri",,,https://www.twitter.com/wucontraband
0,Alex Sandoval
0,Andrew Mitra
0,Brandon Campbell
0,Daniel Sosebee
0,Daniel Dela Cruz
0,Hayden Reynolds
0,Isaac Kaufer
0,Jan Mazur
0,Jarod Bacon
0,Jason Oberstein
0,Jason Karen
0,Justin Kroll
0,Justin Suh
0,Kenneth Chrulski
0,Kristian Nilsen
0,Micah Maccoby
0,Miles Johnson
0,Nicos Topulos
0,Noah  Saldana
0,Peter Werner
0,Rishab Arora
0,Lucas Teixeira
0,Martin Goree
0,Samuel Lee
0,Tyler Jackson
0,Zachary Leonard
1,Saransh Gothi
4,Benjamin Bridgforth
13,Ross Rosen
16,WillIam Altschul
18,David Shea
22,David Lopez
27,Eli Schneider
28,Aaron Mermelstein
33,Christopher Palmer
39,Aidan Flynn
50,Logan Mueller
55,Logan Press
57,David Kibbe
72,Daniel Cherenson
86,Matt Geer
99,Spencer Williams
b,r,e,a,k
Wisconsin (C),27
teamInfo,Wisconsin C,"Madison, Wisconsin",,,
0,Ben Cincotta
0,Luke Boge
0,Matt McNaught
0,Quinn Gavin
0,Wei  Li 
0,Xavier Franczyk
2,Garrek Wierzba
16,Conor Hanko
36,Adam Friedman
47,Michael Schon
80,Joly Scudder
b,r,e,a,k
s,t,a,g,e,s
pools,PP O
pool,Pool A
Ohio State,St John's,15,6,"03/03/2018, 11:30",Pool A,Final
Illinois State,Carleton College-GoP,15,10,"03/03/2018, 11:30",Pool A,Final
Ohio State,Carleton College-GoP,15,13,"03/03/2018, 13:30",Pool A,Final
Illinois State,St John's,15,10,"03/03/2018, 13:30",Pool A,Final
Ohio State,Illinois State,8,15,"03/03/2018, 15:30",Pool A,Final
St John's,Carleton College-GoP,8,15,"03/03/2018, 15:30",Pool A,Final
pool,Pool B
Iowa State,Washington University,12,7,"03/03/2018, 11:30",Pool B,Final
Minnesota-Duluth,Marquette,9,13,"03/03/2018, 11:30",Pool B,Final
Iowa State,Marquette,15,11,"03/03/2018, 13:30",Pool B,Final
Minnesota-Duluth,Washington University,7,13,"03/03/2018, 13:30",Pool B,Final
Iowa State,Minnesota-Duluth,15,9,"03/03/2018, 15:30",Pool B,Final
Washington University,Marquette,15,6,"03/03/2018, 15:30",Pool B,Final
pool,Pool C
Luther,Grinnell,15,4,"03/03/2018, 09:30",Pool C,Final
North Park,Wisconsin-Milwaukee (B),15,2,"03/03/2018, 09:30",Pool C,Final
Luther,Wisconsin-Milwaukee (B),15,0,"03/03/2018, 13:30",Pool C,Final
North Park,Grinnell,15,1,"03/03/2018, 13:30",Pool C,Final
Luther,North Park,13,15,"03/03/2018, 15:30",Pool C,Final
Grinnell,Wisconsin-Milwaukee (B),15,4,"03/03/2018, 15:30",Pool C,Final
pool,Pool D
Missouri State,Northern Illinois,15,13,"03/03/2018, 09:30",Pool D,Final
Drake,Marquette (B),15,4,"03/03/2018, 09:30",Pool D,Final
Missouri State,Marquette (B),15,2,"03/03/2018, 11:30",Pool D,Final
Drake,Northern Illinois,15,9,"03/03/2018, 11:30",Pool D,Final
Missouri State,Drake,15,9,"03/03/2018, 15:30",Pool D,Final
Northern Illinois,Marquette (B),15,1,"03/03/2018, 15:30",Pool D,Final
pool,Pool E
Wisconsin-Milwaukee,Drury,15,4,"03/03/2018, 09:30",Pool E,Final
Wisconsin (B),Northwestern (B),15,4,"03/03/2018, 09:30",Pool E,Final
Wisconsin-Milwaukee,Northwestern (B),15,1,"03/03/2018, 13:30",Pool E,Final
Wisconsin (B),Drury,15,5,"03/03/2018, 13:30",Pool E,Final
Wisconsin-Milwaukee,Wisconsin (B),15,8,"03/03/2018, 15:30",Pool E,Final
Drury,Northwestern (B),9,14,"03/03/2018, 15:30",Pool E,Final
pool,Pool F
Wisconsin-Eau Claire,Carleton College-Hot Karls,15,5,"03/03/2018, 09:30",Pool F,Final
Truman State,Illinois State (B),15,3,"03/03/2018, 09:30",Pool F,Final
Wisconsin-Eau Claire,Illinois State (B),15,4,"03/03/2018, 11:30",Pool F,Final
Truman State,Carleton College-Hot Karls,15,9,"03/03/2018, 11:30",Pool F,Final
Wisconsin-Eau Claire,Truman State,13,14,"03/03/2018, 15:30",Pool F,Final
Carleton College-Hot Karls,Illinois State (B),15,13,"03/03/2018, 15:30",Pool F,Final
pool,Pool G
Missouri S&T,Iowa State (B),15,4,"03/03/2018, 09:30",Pool G,Final
Kansas State,Wisconsin-Oshkosh,15,3,"03/03/2018, 09:30",Pool G,Final
Missouri S&T,Wisconsin-Oshkosh,15,6,"03/03/2018, 11:30",Pool G,Final
Kansas State,Iowa State (B),15,4,"03/03/2018, 11:30",Pool G,Final
Missouri S&T,Kansas State,14,15,"03/03/2018, 13:30",Pool G,Final
