New England Open 2018,College - Men ,31,3,2018
https://play.usaultimate.org/events/New-England-Open-2018/schedule/Men/CollegeMen/
Bryant,1
36,Michael Yip
44,Douglas Silverman
72,Joseph Sadok
b,r,e,a,k
Worcester Polytech,15
0,Brendan Gallagher
0,Brian Sayers
0,Deniz Terek
0,Jared Perkins
0,Kyle Mudge
0,Michael Milliard
0,Nicholas Hernandez
0,Patrick Macaulay
0,Reed Nowling
0,Ryan Shaw
0,Scott D'Attilio
0,Taylor Stephen
0,Timothy Whitworth
0,Toby Macaluso
0,Tyler Beaupre
5,Owen Smallcomb
8,Samuel Moran
13,Alex Tacescu
14,Colin Willoughby
15,Samuel Winslow
20,Brad Leach
22,Kyle Reese
33,Luke Ypsilantis
34,Frankie De Leo
66,Jason McGrath
71,Nick Eusman
b,r,e,a,k
New Hampshire,11
0,Alex Nazarenko
1,Ryan Creamer
2,Kevin Kiernan
3,Thomas Stover
4,Sam Haus
5,Jake Schwarzhaupt
6,Rocco Essex-Linehan
7,Ivan Tran
8,Noah Ryder
10,Tanner Hyslop
11,Max Tougas
13,Ryan Toscione
14,Trevor Harcourt
18,Austin Butler
21,Maxwell  Sullivan
24,Bryce Desmarais
26,Mike Shea
28,Conor McNamara
33,Matthew Porter
36,Adam Moynihan
42,Jonathan Ells
61,Alek Medic
79,James Marsh
81,Joseph Marinacci
96,Christopher Linskey
99,Philip King
b,r,e,a,k
Rensselaer Polytech,14
1,James Veitengruber
1,Victor Chen
2,Ciaran Young
3,Bryce Markel
4,Alexander Curreri
5,Jonathan Pizzo
6,Henk Humes
9,Andrew Yale
10,Andrew Kerns
12,Spencer Holt
13,Devin Malanaphy
17,Pierre Fabris
28,Sacha Kaiser
30,Alain Hwang
34,Zach Biletch
37,Alec Krasinski
39,Brooks Wallace
44,Adam Morgan
53,Huntington Gazecki
63,Timothy Newman
64,Adam Alper
77,Francis Santoso
79,Peter Ko
88,Philip Kamei
b,r,e,a,k
San Diego State,6
2,Mitch Wellman
4,Brian Haley
5,Brady Dove
6,JJ Rogers
6,Rodman Stuhlmuller
8,Michael Brogan
13,Harrison Hayes
16,Joseph Huppert
18,Joshua Schroeder
21,Tyler Best
22,Tim Anaya
24,Robert Horewitz
26,Ryan Wilbanks
28,Nathan Machak
30,Hayden McAdoo
31,Daniel Patton
37,Daniel Koble
39,Noble Schlueter
50,Matthew Jensen
94,Josiah Reeve
b,r,e,a,k
Rhode Island,3
0,Evan Poland
0,Joshua Bolt
0,Joshua Harper
0,Joshua Remington
0,Peter Barbagallo
0,Phil Czajkowski 
0,Matt Pitman
1,Samuel Zabronsky
2,Johann Becker
9,Zachary Smith
10,Sawyer Nichols
12,Sean Tolster
13,Nicholas Tierney
16,Ben Sacco
22,Marc Gleason
25,Nicholas Houseman
32,John Mundo
37,Mason Fraizer
45,Brandon DiGiulio
83,Dean Bussick
b,r,e,a,k
Keene State,19
00,Andrew Nelson
00,Colin Deal
00,Connor  Haller
00,Ethan  Platt
00,Gianni DeMasco
00,Josh Noury
00,Joshua Kelsey
00,Karver Bosela
00,Louis Graeve
00,Matthew Murphy
00,Nathan Flyzik
00,Ryan French
00,Seth Dube
00,Thomas Guglielmo
b,r,e,a,k
Bowdoin,5
00,Conor Belfield
00,Max Vogel
00,Noah Keates
00,Rowan Warren
00,Sam Swindell
00,Sean McManus
00,Thomas Jones
00,Victor Dankens
00,Will Savage
00,William deBruynKops
00,Yuta Kobayashi
03,Franklin Ahrens
04,Nathan Blum
07,Timothy Moran
09,Phillip Galonsky
13,Tenzin Choezin
15,Conor McManamy
22,Sam Kingsbury
39,Cameron Markovsky
40,Jasper Gordon
42,Jojo Amdur
b,r,e,a,k
Liberty,13
3,Alex Pachecano
8,Gareth Holland
04,Ben McCoy
05,Benjamin Reutener
06,Jake Norman
09,Drew  Pettit
10,Zach Milligan
11,Cody Vazquez
12,Jack Fleischer
13,Pete Curran
14,Evan  Trimble
15,Stephen Vernon
16,John  Matthews
17,Bryce Wright
18,Scott Kelly
21,Daniel Mills
22,Joshua Sumpter
23,Noah Graves
24,Luke Byron
27,Evan Harris
34,Caleb Goerke
41,Andrew Lewis
46,Jonathan King
66,Sam Petersen
77,Nguyen Tran
87,Austin Heston
88,Caleb Weldy
89,Luke Hamilton
91,Michael Sharp
b,r,e,a,k
Boston University,4
0,George Holt
0,Jay Rauch
0,Lev Paasche-Orlow
0,Matthew Cote
0,Nelson Komarek
0,Steven Callori
2,Joseph Lai
2,Benjamin Kukura
5,David Huang
18,David Kaufman
19,Alex Fukuchi
26,Cameron Barkan
27,Bryan Rothenberg
30,Andre LeVan
33,Juming (James) Zhang
34,Nate Avish
47,Andrew Mark
56,Tyler Adams
88,Jason Rundle
93,Nevil Desai
99,Griffin Cummings
b,r,e,a,k
Wentworth,20
0,Aidan Korper
0,Anmol Saini
0,Austin Phillips
0,Connor  Read
0,Dylan Locke
0,Giles Holmes
0,Michael McCarthy
0,Ryan Arsenault
0,Sam Rivelis
0,STEPHEN RANIERI
0,Jacob Roberge
0,Jacob Crisafulli
3,Evan McCarthy
11,Benjamin Cassola
11,Jayson Pusateri
17,Ian Brown
28,Aren Tulp
b,r,e,a,k
Bentley,12
0,Alec Pinette
0,Andrew St. Peter
0,Andrew  Milliken
0,Brian Fiore
0,Christian Mangold
0,Collin Simpson
0,Conor Purvis
0,Fairchild Tang
0,Jack Zielinski
0,John Herman
0,Luke Ferris
0,Nicholas Komarovsky
0,Nicholas Roth
0,Nikhil Karnane
0,Patrick Lovely
0,Terry Gras
0,Trevor Backus
0,Vivek Patel
10,Jonathan Ramsay
13,Timothy Corsello
15,Vishall Bajwa
18,Aaron  Rowell
34,Matthew Bartolucci
62,Nick Suchecki
80,Joseph Kane
b,r,e,a,k
s,t,a,g,e,s
pools,Mens
pool,Pool A
Bryant,Syracuse,13,4,"03/31/2018, 09:00",Pool A
Pennsylvania,Yale,13,4,"03/31/2018, 09:00",Pool A
Bryant,Pennsylvania,13,5,"03/31/2018, 10:45",Pool A
NYU,Syracuse,12,8,"03/31/2018, 10:45",Pool A
NYU,Yale,13,10,"03/31/2018, 12:30",Pool A
Pennsylvania,Syracuse,13,7,"03/31/2018, 12:30",Pool A
Pennsylvania,NYU,10,6,"03/31/2018, 14:15",Pool A
Bryant,Yale,13,4,"03/31/2018, 14:15",Pool A
Bryant,NYU,13,9,"03/31/2018, 16:00",Pool A
Yale,Syracuse,9,13,"03/31/2018, 16:00",Pool A
pool,Pool B
Boston College,Massachusetts (C),13,9,"03/31/2018, 09:00",Pool B
Bates,Worcester Polytech,13,4,"03/31/2018, 09:00",Pool B
Boston College,Bates,6,13,"03/31/2018, 10:45",Pool B
Wesleyan,Massachusetts (C),12,10,"03/31/2018, 10:45",Pool B
Wesleyan,Worcester Polytech,13,3,"03/31/2018, 12:30",Pool B
Bates,Massachusetts (C),13,2,"03/31/2018, 12:30",Pool B
Bates,Wesleyan,13,6,"03/31/2018, 14:15",Pool B
Boston College,Worcester Polytech,12,9,"03/31/2018, 14:15",Pool B
Boston College,Wesleyan,7,12,"03/31/2018, 16:00",Pool B
Worcester Polytech,Massachusetts (C),6,13,"03/31/2018, 16:00",Pool B
pool,Pool C
Rhode Island,Keene State,13,11,"03/31/2018, 09:00",Pool C
San Diego State,Rensselaer Polytech,10,12,"03/31/2018, 09:00",Pool C
Rhode Island,San Diego State,9,11,"03/31/2018, 10:45",Pool C
New Hampshire,Keene State,13,7,"03/31/2018, 10:45",Pool C
New Hampshire,Rensselaer Polytech,13,12,"03/31/2018, 12:30",Pool C
San Diego State,Keene State,13,8,"03/31/2018, 12:30",Pool C
San Diego State,New Hampshire,12,13,"03/31/2018, 14:15",Pool C
Rhode Island,Rensselaer Polytech,7,12,"03/31/2018, 14:15",Pool C
Rhode Island,New Hampshire,5,13,"03/31/2018, 16:00",Pool C
Rensselaer Polytech,Keene State,13,6,"03/31/2018, 16:00",Pool C
pool,Pool D
Boston University,Wentworth,13,6,"03/31/2018, 09:00",Pool D
Bowdoin,Liberty,13,6,"03/31/2018, 09:00",Pool D
Boston University,Bowdoin,8,13,"03/31/2018, 10:45",Pool D
Bentley,Wentworth,10,11,"03/31/2018, 10:45",Pool D
Bentley,Liberty,7,13,"03/31/2018, 12:30",Pool D
Bowdoin,Wentworth,13,0,"03/31/2018, 12:30",Pool D
Bowdoin,Bentley,11,8,"03/31/2018, 14:15",Pool D
Boston University,Liberty,9,13,"03/31/2018, 14:15",Pool D
Boston University,Bentley,13,4,"03/31/2018, 16:00",Pool D
Liberty,Wentworth,13,6,"03/31/2018, 16:00",Pool D
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship
Bryant,Pennsylvania,11,9,"04/01/2018, 14:15",Finals
Bryant,Bowdoin,14,13,"04/01/2018, 12:30",Semifinals
Pennsylvania,Liberty,11,8,"04/01/2018, 12:30",Semifinals
Bryant,Wesleyan,13,6,"04/01/2018, 10:45",Quarterfinals
Bowdoin,Rensselaer Polytech,12,11,"04/01/2018, 10:45",Quarterfinals
Bates,Pennsylvania,12,13,"04/01/2018, 10:45",Quarterfinals
New Hampshire,Liberty,12,13,"04/01/2018, 10:45",Quarterfinals
bracket,9th Place
Boston University,Boston College,13,7,"04/01/2018, 12:30",9th Place
NYU,Boston University,10,11,"04/01/2018, 10:45",9th semis
Boston College,San Diego State,12,11,"04/01/2018, 10:45",9th semis
NYU,Massachusetts (C),1,0,"04/01/2018, 09:00",9th quarters
Boston University,Rhode Island,13,6,"04/01/2018, 09:00",9th quarters
Boston College,Syracuse,13,9,"04/01/2018, 09:00",9th quarters
San Diego State,Wentworth,13,9,"04/01/2018, 09:00",9th quarters
bracket,5th Place
Rensselaer Polytech,Bates,6,11,"04/01/2018, 14:15",5th Place
Wesleyan,Rensselaer Polytech,11,13,"04/01/2018, 12:30",5th semis
Bates,New Hampshire,12,6,"04/01/2018, 12:30",5th semis
bracket,13th Place
Rhode Island,Syracuse,0,1,"04/01/2018, 14:15",13th Place
Massachusetts (C),Rhode Island,11,12,"04/01/2018, 12:30",13th semis
Syracuse,Wentworth,13,7,"04/01/2018, 12:30",13th semis
bracket,17th Place
Yale,Keene State,13,5,"04/01/2018, 10:45",17th Place
Yale,Worcester Polytech,10,8,"04/01/2018, 09:00",17th semis
Keene State,Bentley,11,9,"04/01/2018, 09:00",17th semis
bracket,3rd Place
Bowdoin,Liberty,12,11,"04/01/2018, 14:15",3rd Place
bracket,7th Place
Wesleyan,New Hampshire,13,4,"04/01/2018, 14:15",7th Place
bracket,11th Place
NYU,San Diego State,1,0,"04/01/2018, 12:30",11th Place
bracket,15th Place
Massachusetts (C),Wentworth,0,0,"04/01/2018, 14:15",15th Place
bracket,19th Place
Worcester Polytech,Bentley,11,12,"04/01/2018, 10:45",19th Place
bracket,Game
Syracuse,Massachusetts (C),1,0,"04/01/2018, 16:00",Game
b,r,e,a,k
