Stanford Open 2018,College - Men ,10,2,2018
Morgan Hill,CA,2018-02-10,2018-02-11
https://play.usaultimate.org/events/Stanford-Open-2018/schedule/Men/CollegeMen/
Texas-Dallas,10
0,Kevin Dwork
13,Evan Baker
17,Tripp Turchik
21,Mark Piazza
23,Alexander Prescott
28,Ben Taylor
32,Austin Vandenburgh
54,Jule Streety
b,r,e,a,k
California-Santa Cruz,11
teamInfo,Slugs,"Santa Cruz, California",http://www.slugultimate.com/,https://www.facebook.com/slugultimate,https://twitter.com/slugultimate
0,Ashton Paulus
0,Ben Ogawa
0,Eli Fay
0,Gilbert Chong
0,John Bowman
0,Johnny Chen
0,Kai Schniedergers
0,Kristopher Rollert
0,Lorenzo Yabut
0,Luka Cargonja
0,Mason Mulholland
0,Robert Parke
0,Roberto Alvaro
0,Roland Christ
0,Sachin Deepak
0,Trenton Davis
0,Zealand McLean
3,Milo Simpson
3,Aaron Kees
5,Grady Watkins
7,Billy Fague
14,Justin Tsuchiyama
16,Sean Hyslop
17,Robert Gallagher
18,Ryan Glenn
23,Annan Harray
24,Richard Mao
27,Aaron Hom
80,Matt Richards
91,Manu Kumar
b,r,e,a,k
Caltech,22
teamInfo,Aftermath,"Pasadena, California",http://ultimate.caltech.edu/index.html,https://www.facebook.com/groups/348479548610741/,
0,Jamie Vinson
0,Ryan Han
0,Thomas Alford
3,Daryl Yee
5,Helena Wu
8,Bryce Edwards
21,Sarang Mittal
24,Jonathan Cotler
26,Evan Yeh
42,Somasundara Pandian
b,r,e,a,k
Carleton College-GoP,15
teamInfo,Gods of Plastic,"Northfield, Minnesota",https://apps.carleton.edu/student/orgs/gop/,,https://twitter.com/goprocks
0,Arthur McCray
0,Bryce Barton
0,Charlie Bushman
0,Abraham Eichner
0,Dawson d'Almeida
0,Ezra Sergent-Leventhal
0,Noah Robiner
0,Oren Lieber-Kotz
0,Paul Ready
0,Russell Smith
0,Saul Wildavsky
0,Theo Morris
0,Will Gleason
0,Ian McCarthy
0,Ian Klein
0,Jeremy Hills
0,Michael Ebako-Hodgson
3,Matthew Maclay
4,Will Yetvin
8,Chenxi Sun
8,Jacob Cohen
11,Nathan Mannes
21,Ry Alexander
35,Alex Rafkin
71,David Goodell
b,r,e,a,k
UCLA,7
teamInfo,Smaug,"Los Angeles, California",http://smaugultimate.com/,https://www.facebook.com/UclaSmaugUltimate,https://twitter.com/uclaultimate
0,Alex Gu
0,Alex Broering
0,Dylan Neff
0,Harlan Brawer
0,Jack Brewer
0,John Campbell
0,Kevin Zhang
0,Konrad Niemiec
0,Mark Farber
0,Matthew Yee
0,Nelson Campbell
0,Noah Anderson
0,Paul Ramstad
0,Paul Pfeiffer
0,Philip Kaganovsky
0,Evan Patel
4,Michael Peng
9,Cooper Tanquary
10,Ari Sweedler
12,George Faour
13,Austin Hwang
32,Eric Siegel
35,Edward White
44,Bryson Levisay
50,Ram Goli
62,Thomas Mendoza
85,Siddhesh Naik
b,r,e,a,k
Sacramento State,36
teamInfo,Sac State,"Sacramento, California",http://www.csus.edu/soal/sport-and-recreation-clubs/Ultimate/index.html,,
0,Ashton Mattox
0,Benn Gizicki
0,Dante Khachadourian
0,Eric Ladiao
0,Ethan Covert
0,John Kobylka
0,John Kenkel
0,Peter Creasman
0,Sam Smith
10,Nick Andrews
b,r,e,a,k
California-Santa Barbara (B),23
teamInfo,Black Out,"Santa Barbara, California",,https://www.facebook.com/black.tide.50?fref=ts,https://twitter.com/UCSB_Ultimate
0,Austin Covey
0,Eli  Borovoy
0,Gabriel Etaat
0,Greg Silver
0,Gurvir Dhillon
0,Aaron Freid
0,Jacob Micheletti
0,Kian Moshir
0,Navid de Leede
0,Nicholas Gross
0,Nick Aitken
0,Nicolas Velasco
0,Spencer Thomson
0,Srinath Ganesh
0,Weslan Goldburg
10,Lucas Bezerra
21,Antonio Venegas-Ledezma
24,Willem Koetzner
88,Ian Weeks
b,r,e,a,k
Northern Arizona,17
teamInfo,El Ponderoso,"Flagstaff, Arizona",,,https://twitter.com/ElPonderosoNAU
00,Brad Wylam
01,Wilson Laufer
02,Zach Nollette
03,Andrew Locke
04,David Lemcke
06,Alex St.Hippolyte
07,Kevin Farnam
08,Evan Taylor
09,Bryan Le Febvre
10,Harry Bell
11,Drake DenHartog
11,Reid Kemp
12,Michael Gehrke
16,Dawson Peters
18,Gus Siegel
20,Frank KyawSwar Aung
21,Hayden  Hoekstra
24,Andreas Carros
24,Alejandro Marquez
27,Logan Beaschler
37,Eli Perleberg
42,Hunter Stuits
49,Tyler Liddie
75,Jeremy Ronzo
91,Daniel Prejs
b,r,e,a,k
Chico State,16
teamInfo,Chico State Wildcats,"chico, California",,https://www.facebook.com/pages/Chico-State-Ultimate-Frisbee/194149750609051,
0,Cole Hempel
0,Dominic La Frantz
0,Elliot Lopez
0,Eros  Escalona-White
0,Gregory Williams
0,Harrison  Pointer
0,Isac Guzman
0,Alexander Vina
0,Andrew Matheson
0,Cameron  Hinman 
0,S Schneider
0,John Feddersen
0,Jordan Pech
0,Matt Logoteta
0,Maverick Baglietto
0,Nicholas Dahms
0,Nicholas Jensen
0,Nick McConnell
7,Jesus Alfaro
13,Chadwick Fisher
15,Marcus Rehrman
22,John Anthony
44,Joshua Katzki
b,r,e,a,k
California-Santa Barbara,1
teamInfo,Black Tide,"Goleta, California",,https://www.facebook.com/black.tide.50?fref=ts,https://twitter.com/UCSB_Ultimate
0,Mitchell Solkov
0,Nathan Steinert
1,Jeffrey Frye
2,Stefan Crigler
3,Isaac Hsu
8,Bailey Wu
11,Adonay Bahta
12,Alexandre Kupelian
15,Brice Redmond
17,Robert Odum
19,David Vanderzee
21,Jason Zeidman
22,Duncan Brin
23,Patrick Godfrey
23,Stephen Smoots
24,Arthur Pan
26,Brendan Champlin
32,Kieran Bates
34,Sean Flaherty
37,Kyle Johnson
42,Marcel Osborne
43,Xavier Prochaska
99,Max de Visser
b,r,e,a,k
Stanford (B),32
teamInfo,Stanford Prison Experiment,"Stanford, California",,,
01,Cameron Haynesworth
05,Armando Martinez
08,Henri Stern
09,Guillermo Wenrich
12,Jonathan Victorino
18,Arjun Dhawan
22,Matias Arola
37,Travis chen
46,Eli Shayer
64,Abraham Ryzhik
84,Joshua Cooper
87,John Romano
b,r,e,a,k
Alameda Community Learning Center,35
teamInfo,Dark Meat,"Alameda, California",,https://www.facebook.com/darkmeatultimate?ref=br_tf,https://twitter.com/darkmeat8?lang=en
coaches,Joel Anton
04,Dylan Corona
07,Anson Law
08,Elijah Briggance
11,Henry Lawton
12,Mathilda Myerhoff
13,Robert Chan
16,Coyle La
22,Kevin Romero
23,Jake Thorne
24,Thais Thomas
25,Tyler Lum
27,Daniel Alderman
30,Ethan Martinez
33,Robin Anthony-Petersen
45,Nathan Delos Reyes
47,Jordan Cortes
50,Kellen Sellers
52,Matthew Cooper
53,Chaney Grover
68,Siegmund Lipansky
69,Quinton Yap
81,Ella Stiger
88,Jasper Leto Niemetz
b,r,e,a,k
Air Force,3
teamInfo,Afterburn,"USAF Academy, Colorado",http://airforceultimate.webs.com/,https://www.facebook.com/AirForceUltimate,https://twitter.com/AFU_Afterburn
6,Gordon McCulloh
7,Michael Delatte
8,Erik Jensen
9,Keanu Komar
03,Zach Arns
04,Kainoa Chun-Moy
05,Trevor Browning
12,Caston Casey
13,Connor Grant
17,Theodore Jantscher
17,Michael Higgins
19,Wyatt Lake
20,Justin Blasius
21,Christopher Delgado
23,Matthew Frierson
26,Matthew Chmiel
27,Josh Alsleben
34,Matthew Moshea
36,William Cooper
42,Alan Villanueva
44,Robert Warner
88,Juan Ramos
b,r,e,a,k
Sonoma State,19
teamInfo,Grapes of Wrath,"Rohnert Park, California",,,
0,Clayton Bradley
0,Dante Fernandez
0,Dennis Pesce
0,Erik Castellanos Vasquez
0,Humberto Gonzalez
0,Jonah Baumgartner
0,Nicolas Schroeder
0,Royal Laplante
0,Solomon  Marcus
0,Zachary Ormsby
3,Robby Warfel
10,Ryan  de Leuze
12,Joe Paulukonis
13,Eric Uldall
17,Matthew Gibbons
17,Armin Webb
24,Wendel Simpson
37,Miles Brady
39,Noah Abrams
b,r,e,a,k
Cal Poly-Pomona,14
teamInfo,Cow Ultimate,"Pomona, California",,https://www.facebook.com/CPPUltimate,https://twitter.com/cowultimate
0,Alexander Honeycutt
0,Andrew Calinescu
0,Daniel Ouk
0,Drew Gates
0,Greg Berg
0,Isaac Porter
0,Bruno Haesbaert
0,Kevin Labbate
0,Luke Walsh
0,Nathan Leong
0,Yik Hin Wong
1,Zamin Aziz
02,Mateus Pinheiro
14,Knox Borges
14,Andrew Kinkele
16,Jiheng Nie
26,Christopher Tait
35,Long Tran
75,Tyler Garcia
99,Brandon Yee
b,r,e,a,k
San Jose State,30
teamInfo,Megabyte,"San Jose, California",,https://www.facebook.com/SJSUUltimate/,
0,Anthony To
0,Austin Adam
0,Brandon Purcell
0,Kyle Dunne
0,Vincent Albertoni
3,Charles Zhang
4,Phillip Young
5,Bailey Faszer
10,Jonathan  Nozzari
16,Garrick Ho
28,Aren Yeghissian-Kanneian
51,Spencer Wong
97,Davis Ambur
b,r,e,a,k
Berkeley High School,34
teamInfo,Coup Red,"Berkeley, California",http://www.berkeleyhighathletics.org/ultimate-club,https://www.facebook.com/berkeleyhighcoupultimate,twitter.com/bhscoup
coaches,James Sheridan,Linh Hoang
01,Pele Varadi-Mulia
05,Neo Barnes
12,Ethan Nikcevich
13,Sean Hoffman
16,Luca Spycher
24,Riley Kirkman-Davis
25,Marshall Wildmann
26,Seth Wells
33,Joshua Dugan
38,Emmet Holton
45,Mawupedzro Tekpa
46,Lauren Yamasaki-Liske
47,Graham Freifeld
49,Anna Reed
50,Leo Gordon
52,Jacob Henrie-Naffaa
60,Liam Ereneta
63,Allyn Suzuki
69,Ben Uribe
71,Aidan Curry
80,Tate Hoyer
85,Aidan Price
88,Noah Ball-Burack
89,Maytal Bach
94,Tanya Bearson
b,r,e,a,k
Santa Clara,24
teamInfo,SCAB,"Santa Clara, California",www.scabultimate.com,,https://twitter.com/SCABUltiFris
0,Simon Senter
2,Charles Fordyce
3,Sean Backes
6,Taylor Darby
12,Michael Fodor
13,James Kipper
15,Nicholas Farren
16,Ian Watts
17,Stephen Aubuchon
19,Jeffrey Stein
20,Devan Hollar
23,Ryan Messersmith
27,Liam Scobey-Polacheck
29,Travis Vickers
35,Trent Kristensen
40,Jackson Tseng
44,Jonathan Bowers
55,Matthew Kamimura
69,Julian Dreiman
76,Jack Carlson
b,r,e,a,k
Las Positas,9
teamInfo,Hawks,"Livermore, California",http://www.lpcultimate.com,,
coaches,Marcelo Sanchez-Heredia
0,Jacob Gutkowski
0,Jarett King
0,Jaykumar Kesavan
0,Julian Abreu
0,Kuni Okabe
0,NICK FOX
0,Ryan Shephard
2,Cameron Beck
7,Eli Fischberg-Robinson
7,Rio Chuck
38,Jonah Taylor
44,Conor Bauman
98,Wyatt Berreman
99,Gavriel Gelbart
b,r,e,a,k
Nevada-Reno,8
teamInfo,Elevation Ultimate,"Reno, Nevada",,,
1,Daniel Ortiz
2,John Whiting
3,Ryan Takayama
4,Wyatt Blake
5,Benjamin Wagner
6,Chase McAninch
8,Austin Lee
9,Thomas Fiock
11,Troy Potter
12,Cole Hutchinson
15,Brent Moore
15,Jason Dubon
17,Maxwell Michelini
23,Gabriel Camacho
28,Christian  Kolberg 
30,Donne Lenard Lomugdang
35,Raymond Lopez
37,Cordel Bever
55,Thomas McCrone
73,Ravi O'Brien
77,Daniel Eitzman 
87,Anthony Zasada
88,Justin Blau
94,Ryan Schoenfeld
96,Jakob Stoner
99,Davis Ruggles
b,r,e,a,k
Gunn,33
teamInfo,Control,"Palo Alto, California",,,
coaches,Johnny Ortberg
00,Alain Saal-Dalma
00,Anita Mokkapati
00,Antoine Finot
00,Benjamin Pratt
00,Bernie Koen
00,Brandon Chin
00,Cameron Fiske
00,Cara Burks
00,Colin Babian
00,Colin Grant
00,Darby Felter
00,David Nio
00,Evan Kandell
00,Hudson DeGroff
00,Itay Chang
00,Jack Flinchbaugh
00,Keenan Laurence
00,Michael Tao
00,Rafi Moskowitz
00,Ronan Eltherington
00,Samuel Eck
00,Skylar Fong
00,Zachary Rosner
23,Ryden Secor
b,r,e,a,k
Cal Poly-SLO (B),25
teamInfo,SLOB,"San Luis Obispo, California",,,
0,Brandon Grossman
0,Jacob Torchia
0,Jake Loveland
0,James Popolow
0,John Bilello
0,Jonathan Ott
0,Kevin Burks
0,Michael Carvajal
0,Nicholas McGuire
0,Raymond Wu
3,Zachary Bear
7,Brad Weber
9,Jack Puckett
12,Maximilian Cossalter
13,Christopher McCoy
16,Alexander Murray
22,Dean Smith
23,Harris Nguyen
25,Niko Banks
30,Tony Farias
35,Jack Combs
39,Martin Bailey
42,Dominic Lunde
50,Nathan Carroll
55,Jack Burfield
69,Zachary Peterson
77,Andy Sazima
b,r,e,a,k
California-Davis,5
teamInfo,Davis Dogs,"Davis, California",http://www.ucdavisultimate.com/,https://www.facebook.com/davis.dogz?fref=ts&ref=br_tf,
0,Anders Eckburg
0,Casey Shugarman
0,Charles Thudium
0,Devin Hom
0,Dylan Owens
0,Dylan Pyle
0,Evan  Martin
0,Jacob Deppmeier
0,James Meskell
0,Jarren Suzuki
0,Jordan Lund
0,Jordan Ellering
0,Kevin Klein
0,Nick Sevely
0,Spencer Sawyer
0,Tycho Yacub
0,Zachary Naugles
1,John Nguyen
5,Julius Vo
11,Leif Swenson
14,Fredric Murolo
15,Nick Tolfa
22,Jefferson Laird
31,Chetan Gomatam
37,Logan Dolim
b,r,e,a,k
Whitman,28
teamInfo,Sweets,"Walla Walla, Washington",,https://www.facebook.com/Whitman-Sweets-Mens-Ultimate-236959183065222/,https://twitter.com/MWhitman_Sweets
0,Ben Lahr
0,Benjamin Katz
0,Joshua Shin
0,Luke Williford
0,Jesse Sindelar
0,Sam Huston
2,Robert Farwell
3,Jordan Payne
5,Jens Suhr
6,Maxwell Sheffield
9,Nate  Raphael
12,Eli Cohen
16,Alex Walsh
17,David Dregallo
23,Tobias Zabel
28,Jacob Klusmeier
34,Jarrett Arakaki
47,Tivon Sadowsky
85,Al Brettmann
99,Gabriel Zansberg
b,r,e,a,k
Occidental,12
teamInfo,Detox,"Los Angeles, California",http://www.detox-ultimate.com/,https://www.facebook.com/detoxultimate/,
0,Paul Tomlinson
2,Evan Sarafian
6,Robert Zhang
13,Greg Kleinman
14,Ebram Naftzger
18,Dan Scal
22,Kade Cheatham
28,Hunter Weinreb
42,Wally Huron
b,r,e,a,k
California (B),27
teamInfo,Thugmo,"Berkeley, California",,,
0,Ben Petty
0,Bo Rasmussen
0,Dustin Chen
0,Eli Stewart
0,Jonathan Marr
0,Logan Ritter
0,Samuel He
0,Seth Bloomer
0,Timothy Ross
0,Winston Tran
10,Myron Liu
12,Edward Diven
17,John Diven
18,Howard Ki
23,David Campos
26,Riley Ng
27,Jack Baumruk
28,Walter Wu
33,Austin Leung
47,Christopher Akers
47,Eric Dodds
69,Paul Karim
b,r,e,a,k
Texas (B),21
teamInfo,Texas B,"Austin, Texas",www.texasultimate.org,,
0,Calvin Nguyen
0,Christopher Layden
0,David Wang
0,Gregory Lowry
0,Anthony Bauer
0,Austin Little
0,Josh Kall
0,Matthew Bianchi
4,Joshua Curtis
10,Paul Choi
18,Jordan Mclemore-Moon
36,Justin Zhong
53,Siddhant Singh
63,Balazs Kustar
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool B
Boston College,Claremont,11,12,"02/10/2018, 08:00",Pool B,Final
Boston College,Puget Sound,10,8,"02/10/2018, 09:30",Pool B,Final
Claremont,Puget Sound,10,5,"02/10/2018, 11:00",Pool B,Final
Texas-Dallas,Puget Sound,10,7,"02/10/2018, 22:00",Pool B,Final
Texas-Dallas,Claremont,12,7,"02/10/2018, 23:30",Pool B,Final
Boston College,Texas-Dallas,8,9,"02/11/2018, 01:00",Pool B,Final
pool,Pool D
Colorado College,California-Irvine,13,4,"02/10/2018, 12:30",Pool D,Final
Colorado College,Lewis & Clark,9,5,"02/10/2018, 14:00",Pool D,Final
California-Irvine,Lewis & Clark,4,9,"02/10/2018, 15:30",Pool D,Final
Humboldt State,Lewis & Clark,6,8,"02/11/2018, 02:30",Pool D,Final
Humboldt State,California-Irvine,7,6,"02/11/2018, 04:00",Pool D,Final
Colorado College,Humboldt State,9,4,"02/11/2018, 05:30",Pool D,Final
pool,Pool F
California,Caltech,13,2,"02/10/2018, 12:30",Pool F,Final
California-Santa Cruz,Arizona,4,8,"02/10/2018, 12:30",Pool F,Final
California,Arizona,12,5,"02/10/2018, 14:00",Pool F,Final
California-Santa Cruz,Caltech,13,8,"02/10/2018, 14:00",Pool F,Final
California,California-Santa Cruz,13,5,"02/10/2018, 15:30",Pool F,Final
Caltech,Arizona,3,11,"02/10/2018, 15:30",Pool F,Final
pool,Pool G
Carleton College-GoP,Sacramento State,13,4,"02/10/2018, 12:30",Pool G,Final
UCLA,Sacramento State,11,4,"02/10/2018, 14:00",Pool G,Final
UCLA,Carleton College-GoP,10,11,"02/10/2018, 15:30",Pool G,Final
UCLA,California-Santa Barbara (B),9,3,"02/10/2018, 19:30",Pool G,Final
Carleton College-GoP,California-Santa Barbara (B),13,1,"02/10/2018, 21:00",Pool G,Final
California-Santa Barbara (B),Sacramento State,4,13,"02/10/2018, 22:30",Pool G,Final
pool,Pool A
California-Santa Barbara,Alameda Community Learning Center,13,0,"02/10/2018, 08:00",Pool A,Final
Northern Arizona,Stanford (B),13,4,"02/10/2018, 08:00",Pool A,Final
California-Santa Barbara,Northern Arizona,9,7,"02/10/2018, 09:30",Pool A,Final
Chico State,Stanford (B),12,3,"02/10/2018, 09:30",Pool A,Final
Stanford (B),Alameda Community Learning Center,8,4,"02/10/2018, 11:00",Pool A,Final
Chico State,Northern Arizona,6,9,"02/10/2018, 11:00",Pool A,Final
California-Santa Barbara,Stanford (B),13,1,"02/10/2018, 12:30",Pool A,Final
Chico State,Alameda Community Learning Center,13,3,"02/10/2018, 12:30",Pool A,Final
California-Santa Barbara,Chico State,8,11,"02/10/2018, 14:00",Pool A,Final
Northern Arizona,Alameda Community Learning Center,13,2,"02/10/2018, 14:00",Pool A,Final
pool,Pool C
Air Force,Berkeley High School,13,6,"02/10/2018, 08:00",Pool C,Final
Air Force,Sonoma State,12,5,"02/10/2018, 09:30",Pool C,Final
Cal Poly-Pomona,Sonoma State,9,10,"02/10/2018, 11:00",Pool C,Final
Cal Poly-Pomona,Berkeley High School,12,7,"02/10/2018, 12:30",Pool C,Final
Air Force,Cal Poly-Pomona,12,9,"02/10/2018, 14:00",Pool C,Final
Sonoma State,Berkeley High School,10,8,"02/10/2018, 14:00",Pool C,Final
Sonoma State,San Jose State,12,7,"02/10/2018, 15:00",Pool C,Final
Cal Poly-Pomona,San Jose State,9,7,"02/10/2018, 16:30",Pool C,Final
San Jose State,Berkeley High School,10,7,"02/10/2018, 18:00",Pool C,Final
Air Force,San Jose State,13,3,"02/10/2018, 19:30",Pool C,Final
pool,Pool H
Nevada-Reno,Gunn,11,6,"02/10/2018, 08:00",Pool H,Final
Santa Clara,Cal Poly-SLO (B),13,1,"02/10/2018, 08:00",Pool H,Final
Nevada-Reno,Santa Clara,6,11,"02/10/2018, 09:30",Pool H,Final
Las Positas,Cal Poly-SLO (B),13,1,"02/10/2018, 09:30",Pool H,Final
Cal Poly-SLO (B),Gunn,3,8,"02/10/2018, 11:00",Pool H,Final
Las Positas,Santa Clara,9,10,"02/10/2018, 11:00",Pool H,Final
Nevada-Reno,Cal Poly-SLO (B),8,6,"02/10/2018, 12:30",Pool H,Final
Las Positas,Gunn,9,5,"02/10/2018, 12:30",Pool H,Final
Nevada-Reno,Las Positas,7,10,"02/10/2018, 14:00",Pool H,Final
Santa Clara,Gunn,9,5,"02/10/2018, 14:00",Pool H,Final
pool,Pool E
California-Davis,California (B),13,3,"02/10/2018, 08:00",Pool E,Final
Occidental,Whitman,5,11,"02/10/2018, 09:30",Pool E,Final
Whitman,California (B),11,7,"02/10/2018, 11:00",Pool E,Final
California-Davis,Whitman,10,9,"02/10/2018, 12:30",Pool E,Final
Occidental,California (B),13,4,"02/10/2018, 12:30",Pool E,Final
California-Davis,Occidental,9,7,"02/10/2018, 14:00",Pool E,Final
Texas (B),Whitman,4,12,"02/10/2018, 15:00",Pool E,Final
California-Davis,Texas (B),13,4,"02/10/2018, 16:30",Pool E,Final
Occidental,Texas (B),10,9,"02/10/2018, 18:00",Pool E,Final
Texas (B),California (B),8,13,"02/10/2018, 21:00",Pool E,Final
b,r,e,a,k
brackets,Sunday Championship Bracket
bracket,Championship Bracket
California,Texas-Dallas,11,8,"02/12/2018, 04:00",Finals,Final
Las Positas,California,8,13,"02/11/2018, 12:30",Semis,Final
Air Force,Texas-Dallas,9,12,"02/12/2018, 02:30",Semis,Final
Las Positas,Carleton College-GoP,11,7,"02/11/2018, 09:30",Quarters,Final
California,Colorado College,13,3,"02/11/2018, 09:30",Quarters,Final
Air Force,California-Davis,11,9,"02/11/2018, 09:30",Quarters,Final
Santa Clara,Texas-Dallas,11,12,"02/11/2018, 23:30",Quarters,Final
Northern Arizona,Las Positas,10,12,"02/11/2018, 08:00",Prequarters,Final
Carleton College-GoP,Claremont,12,11,"02/11/2018, 08:00",Prequarters,Final
California,Sonoma State,13,5,"02/11/2018, 08:00",Prequarters,Final
Colorado College,Whitman,11,8,"02/11/2018, 08:00",Prequarters,Final
Air Force,Arizona,13,6,"02/11/2018, 08:00",Prequarters,Final
California-Davis,Lewis & Clark,11,9,"02/11/2018, 08:00",Prequarters,Final
Santa Clara,Chico State,13,9,"02/11/2018, 08:00",Prequarters,Final
Texas-Dallas,UCLA,12,8,"02/11/2018, 22:00",Prequarters,Final
bracket,3rd Place
Las Positas,Air Force,0,1,"02/11/2018, 14:00",3rd Place,Final
bracket,5th Place
Carleton College-GoP,Colorado College,10,9,"02/11/2018, 14:00",5th Place,Final
