Mid-Atlantic Mixed Regionals,Club - Mixed ,12,9,2015
Poolesville,MD,2015-09-12,2015-09-13
https://play.usaultimate.org/events/Mid-Atlantic-Mixed-Regionals-2015/schedule/Mixed/Club-Mixed
AMP,1
04,Kenny Johns
05,Corryn Vento
06,Josh groff
07,Trisha Rabold
08,TAYLOR WHITNEY
08,Kadi McCoy
09,Beth Johns
10,Derek Rabold
11,Tim Hushon
12,Jordan Vanasdale
13,Justin Kratz
14,Benjamin Staudt
15,Rebecca Holmes
15,Christopher Man
17,David Naylor jr
18,Trey Maule
20,Timothy Holmes
23,Matt McAlonis
26,Angela Martin
26,Brett Sawyer
28,Matt Neupauer
33,JOSHUA ROSENCRANCE
43,Brianna Miranda
47,Angela Tran
88,ANDREW GRAHAM
89,Benjamin Holmes
b,r,e,a,k
Ambiguous Grey,4
teamInfo,,"Washington, District of Columbia",http://www.agultimate.com,https://www.facebook.com/AmbiguouslyGrey,twitter.com/ambiguouslygrey
0,Eliza Chang
0,Abbey Hewitt
0,Anna Truskin
0,Jacob Merlin
0,Dan Grabowski
0,Andrew Gravunder
0,Kevin Chiang
0,Victor Wu
0,SHANNON PACE
0,Sara Peczkowski
0,Golsa Yazdy
0,Maggie John
0,Samantha Broaddus
0,Paul Grabowski
3,ALANNA McKee
7,Peter MacArthur
9,Charles Furse
9,Jarnail Bajwa
10,Rachel Thaw
11,Jeff Truskin
12,Andrew Allen
15,Anthony McLean
18,Riki Cullingford
42,Ellen Greytak
70,Brian O'Hara
73,Mark Flores
80,Antoine Davis
b,r,e,a,k
Los Penguinos,11
teamInfo,,"DC/Baltimore, District of Columbia",,,
0,DAN FENN
0,ALEX JENNISON
0,Kristen Mitsinikos
0,Karin Rafaels
0,Hon Yin Eubanks
0,KATY MURPHY-LUBOWICZ
0,RACHAEL  PELLEGRINO
0,Kaiser Shen
0,Lex Overholt
0,Stephen Lewis
0,THOMAS GODSEY
0,LESLIE WALKO
0,Swati Agarwal
0,Eric Clarkson
0,Winston Chang
0,Brice McKeever
0,SALLY HARDIN
0,Eric Owens
0,Cara Groden
0,RACHEL TRAU
2,Kristen Mosher
6,Kevin Walko
7,William Cvengros
10,Theodore Mosher IV
11,Joshua Mull
18,DAVID SCHNAARS
63,Jon Pressimone
b,r,e,a,k
Legion,14
teamInfo,,"Lynchburg , Virginia",,,
0,JOSHUA WALKER
02,Kevin Habermas
03,Ashley Mast
05,Keziah Hill
07,Lowe Bibby
08,Taylor Engen
09,ANNETTE  Fisher
10,Allison Coffey
12,Jonathan Mast
15,Brendan Kinne
17,Sydney Dawson
18,Krista Habermas
19,SANDON FISHER
19,Emily Eakin
25,Elizabeth Ware
27,Lindsey Doerr
33,Matthew Glasgow
37,Brandon Lison
47,Billy Harmon
71,DEVIN GERAGHTY
79,Joanna Sojka
82,JUSTIN  PHILLIPS
b,r,e,a,k
Sparkle Ponies,5
teamInfo,,"Rockville, Maryland",,,
0,Paul Butterfoss
0,Quinne Farenwald
0,KATHERINE (KATY) WELLINGTON
0,Daniel LeFever
0,Lacey Coppage
0,James Anderson
0,CHRISTOPHER CAHILL
0,RACHEL BORCHARDT
0,Natalie Forman
0,Elizabeth (Libby) Chamberlin
0,Jackson Schreiber
0,Michaela Gramzinski
3,Chris Muller
5,Jacob Radack
8,Amanda Erlandson
10,Andrew Fine
14,Matthew Hassink
15,Peter Morawski
16,JING JING ZHANG
21,Matt Williams
24,Mark Modak
27,David Ohls
27,Joseph Pellicano
31,Anthony Erlandson
36,Lauren Edwards
61,Rachael Burke
88,Duncan Fitzgerald
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
AMP,American Hyperbole,13,6,"09/12/2015, 09:00",Pool A,Final
Clue,Tyrannis,13,11,"09/12/2015, 09:00",Pool A,Final
AMP,Tyrannis,13,4,"09/12/2015, 11:00",Pool A,Final
Clue,American Hyperbole,5,13,"09/12/2015, 11:00",Pool A,Final
AMP,Clue,13,7,"09/12/2015, 13:00",Pool A,Final
American Hyperbole,Tyrannis,4,13,"09/12/2015, 13:00",Pool A,Final
pool,Pool B
The Muffin Men,Jughandle,13,8,"09/12/2015, 09:00",Pool B,Final
LoveBomb,The Bandits,13,3,"09/12/2015, 09:00",Pool B,Final
The Muffin Men,The Bandits,13,6,"09/12/2015, 11:00",Pool B,Final
LoveBomb,Jughandle,13,5,"09/12/2015, 11:00",Pool B,Final
The Muffin Men,LoveBomb,8,13,"09/12/2015, 13:00",Pool B,Final
Jughandle,The Bandits,13,8,"09/12/2015, 13:00",Pool B,Final
pool,Pool C
Bang!,Distelfink,13,6,"09/12/2015, 09:00",Pool C,Final
Ant Madness,Dub Club,13,5,"09/12/2015, 09:00",Pool C,Final
Bang!,Dub Club,W,L,"09/12/2015, 11:00",Pool C,Final
Ant Madness,Distelfink,15,9,"09/12/2015, 11:00",Pool C,Final
Bang!,Ant Madness,11,12,"09/12/2015, 13:00",Pool C,Final
Distelfink,Dub Club,9,12,"09/12/2015, 13:00",Pool C,Final
pool,Pool D
Ambiguous Grey,Los Penguinos,13,5,"09/12/2015, 09:00",Pool D,Final
Sparkle Ponies,Legion,13,11,"09/12/2015, 09:00",Pool D,Final
Ambiguous Grey,Legion,13,5,"09/12/2015, 11:00",Pool D,Final
Sparkle Ponies,Los Penguinos,8,13,"09/12/2015, 11:00",Pool D,Final
Ambiguous Grey,Sparkle Ponies,13,8,"09/12/2015, 13:00",Pool D,Final
Los Penguinos,Legion,8,11,"09/12/2015, 13:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
Ambiguous Grey,LoveBomb,13,7,"09/13/2015, 13:00",1st Place Finals,Final
AMP,Ambiguous Grey,11,13,"09/12/2015, 15:00",1st Place Semis,Final
Ant Madness,LoveBomb,7,13,"09/12/2015, 15:00",1st Place Semis,Final
bracket,2nd Place Bracket
LoveBomb,AMP,6,12,"09/13/2015, 15:00",2nd Place Finals,Final
AMP,Jughandle,13,3,"09/13/2015, 13:00",2nd Place Semis,Final
AMP,The Muffin Men,13,7,"09/13/2015, 11:00",2nd Place Quarters,Final
Jughandle,Ant Madness,11,9,"09/13/2015, 11:00",2nd Place Quarters,Final
Bang!,The Muffin Men,7,12,"09/13/2015, 09:00",2nd Place Prequarters,Final
Jughandle,Los Penguinos,13,9,"09/13/2015, 09:00",2nd Place Prequarters,Final
Bang!,Legion,13,5,"09/12/2015, 15:00",2nd Place Play In,Final
American Hyperbole,The Muffin Men,3,13,"09/12/2015, 15:00",2nd Place Play In,Final
Tyrannis,Jughandle,11,13,"09/12/2015, 15:00",2nd Place Play In,Final
Dub Club,Los Penguinos,13,14,"09/12/2015, 15:00",2nd Place Play In,Final
bracket,7th Place
Bang!,Los Penguinos,12,6,"09/13/2015, 11:00",7th Place,Final
bracket,9th Place Bracket
American Hyperbole,Tyrannis,13,12,"09/13/2015, 11:00",9th Place Finals,Final
Legion,American Hyperbole,11,12,"09/13/2015, 09:00",9th Place Semis,Final
Tyrannis,Dub Club,13,9,"09/13/2015, 09:00",9th Place Semis,Final
bracket,11th Place
Legion,Dub Club,13,5,"09/13/2015, 11:00",11th Place,Final
bracket,13th Place Bracket
Sparkle Ponies,Distelfink,13,8,"09/13/2015, 11:00",13th Place Finals,Final
Clue,Sparkle Ponies,10,11,"09/13/2015, 09:00",13th Place Semis,Final
Distelfink,The Bandits,1,0,"09/13/2015, 09:00",13th Place Semis,Final
bracket,15th Place 
Clue,The Bandits,13,2,"09/13/2015, 11:00",15th Place,Final
b,r,e,a,k
