TCT Elite-Select Challenge 2015 (Oshadega Invite),Club - Men ,11,7,2015
Hilliard,OH,2015-07-11,2015-07-12
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2015/schedule/Men/Club-Men/
Florida United,8
0,Peter Kalmakis
0,Andrew Manganelli
0,RYAN SCHWARTZ
0,Jacob Price
0,Wesley Chen
0,ADAM GOLDBERG
0,Marc Sands
0,Sean Mott
0,Andrew O'Connor
0,Saul Graves
0,DEREK YAN
0,Andrew Lehmberg
0,Matthew Wilson
1,Matt Chun
4,Gregory Stolowski
5,FRANKLIN LI
6,Jibran Mieser
6,Justin Carter
9,Kevin Wang
11,Scott Xu
25,Charlie Patten
61,Matthew Weintraub
77,Bo Li
80,John Irvine
82,Marques Brownlee
84,Christopher McGlynn
b,r,e,a,k
Plex,14
teamInfo,,"Dallas, Texas",www.plexultimate.com,www.facebook.com/PLEXUltimate,www.twitter.com/plexultimate
04,Ryan Kyle
07,Tim Records
08,Darius Tse
09,Bryan Hoffman
11,Brian Street
12,Kevin Christian
15,Andrew Lord
17,Chris Larberg
20,IAN VICKERS
22,Darren Phillips
25,JEREMY LLEWELLYN
27,Daniel Richards
32,Andrew Amerson
43,Peter Rangel
46,MATTHEW COSTELLO
47,Johnny Frohlichstein
56,PAUL BURT
70,Davis Pierce
b,r,e,a,k
Chicago Machine,3
teamInfo,,"Chicago, Illinois",http://www.chicago-machine.com,https://www.facebook.com/machineultimate,https://twitter.com/MachineUltimate
0,Jonathan Helton
01,Craig Poeppelman
02,NICK ZEMAN
04,Benjamin Spielman
05,Noah Backer
08,Stephan Mance
09,Brett Kolinek
10,Von Alanguilan
14,Bob Liu
15,Andrew Sheehan
18,Cullen Geppert
19,Jack Shey
20,Gregory Slover
25,Ron Kubalanza
26,Kevin Kelly
27,Travis Carpenter
29,Michael Schwenk
31,Walden Nelson
36,Timothy Fergus
37,Daniel Williams
51,Andrew (AJ) Nelson
64,Neal Phelps
73,Adrian King
99,George Hughes
b,r,e,a,k
Sprawl,10
teamInfo,,"Phoenix, Arizona",,,
0,Josh Findley
2,Andrew Kohl
3,Josh Walker
5,Daniel Bellissimo
6,Alexander Tomlinson
7,Mark Davis
8,NATHAN ROBLES
9,Joshua Kohl
10,Zachary Semerad
11,Vince Noe
14,Kenny Furdella
18,Daniel Howe
19,Nathan Bridges
20,Jonathan Miller
21,Andrew Piet
22,Nathan Holzinger
23,Jia Xie
24,Benjamin Lacy
27,Mark Borger
29,Marshall Crawford
30,Scott Rivoir
50,Bradley Cislo
60,JACOB ADLER
80,Travis Dunn
b,r,e,a,k
Madison Club,6
teamInfo,,"Madison, Wisconsin",madisonultimate.blogspot.com,facebook.com/pages/Madison-Club-Ultimate/121863521240182,@MadisonClub
01,ADAM DREWS
02,Logan Pruess
04,Patrick Shriwise
06,Bill Everhart
07,Seth Weaver
08,Benjy Keren
09,Andrew Meshnick
10,David Meinecke
10,Jordan O'Neill
11,Andrew Brown
12,Chris Wilen
13,Brian Hart
14,David Wiseman
22,Alex Champe
24,Dayu Liu
25,Ross Barker
26,Peter Graffy
32,Colin Camp
41,Colin Sunde
42,Chase Marty
44,Nicholas Ladas
48,Thomas Coolidge
52,Michael Hagenow
55,Kelsen Alexander
68,Benjamin Nelson
75,Jacob Hoffman
92,Kevin Brown
b,r,e,a,k
Garuda,15
teamInfo,,"Boston, Massachusetts",GarudaUltimate.com,www.facebook.com/BostonGaruda,https://twitter.com/garudaultimate
01,Alex Foo
02,Henry Brecher
04,Maxwell Rick
05,Michael Sender
06,TERRY ROTH
08,Thomas Edmonds
10,Victor Luo
11,Mat Little
12,Mac Hecht
13,Hartley Greenwald
14,Devon Williams
15,Tim Schoch
16,DYLAN WOLFF
17,Jordan Taylor
18,Timothy Spittle
19,David Berney Needleman
25,Emmett Blau
26,Justin Ondrof
30,Wynn Tucker
33,Jonah Guerin
42,Andrew Hooker
44,Tanner Halkyard
77,Ryan Brown
83,Alex Dagley
b,r,e,a,k
Patrol,9
teamInfo,,"Philadelphia, Pennsylvania",,,
coaches,Charles Hoppes
01,Colin McIntyre
03,Gabriel Colton
04,Dustin Damiano
05,Charles McCutcheon
06,Leon Chou
07,Nick Hirannet
08,Nick Patel
09,Patrick Diviney
10,Jeff Kiel
11,Himalaya Mehta
13,David Brandolph
14,Matthew Glazer
16,Richard Robinson
18,William Sickles
20,David Baer
24,Ethan Peck
25,Trey (George) Katzenbach
27,Jake Rainwater
31,Patrick Lindsey
36,David Shields
41,Nicholas Mathison
46,Benjamin Scharadin
49,Jordan Winey
55,Matt Paparone
71,Ian McClellan
76,MARSHALL WARD
b,r,e,a,k
Prairie Fire,4
teamInfo,,"Kansas City, Kansas",http://prairiefireultimate.com,,https://www.twitter.com/pfultimate
0,Jacob Kersten
0,DEREK THATCHER
0,Brett Hidaka
0,Kaplan Maurer
0,William Axtell
0,Jones Clemons
0,BARRETT DAVIS
0,BEN DENEKA
0,David Woods
0,Christian Simpson
0,Peter (PJ) Matulka
0,Jesse White
0,Andrew Wimer
0,Colin Lord
1,Joe Nickels
2,Zach Hunter
4,Joe Young
5,Allen Jones
17,Joe Wheelock
24,Danny Kurz
45,Brett Matzuka
77,Tim Robbins
85,Valley Renshaw
b,r,e,a,k
Sub Zero,5
teamInfo,,"Minneapolis, Minnesota",subzeroultimate.com,https://www.facebook.com/pages/Sub-Zero-Ultimate/105463586149513,https://twitter.com/SubZeroUltimate
01,Ryan Osgar
02,Ben Feldman
03,Galen Ryan
06,Grayson Pangburn
08,Erik Jorgensen
09,Simon Montague
12,Harper Garvey
13,Anthony Poletto
14,Gregory Cousins
15,Eric Taylor
17,Ethan Rasmussen
19,Connor Anderson
19,Marcus Ellson
22,Eric von Kampen
23,Nicholas Vogt
25,Nick Stuart
31,Jason Tschida
42,Matt Burkhardt
71,Nicholas Simonelli
77,Cameron Hastings
88,Patrick Jensen
93,Kyle Gill
96,Joe Simonelli
99,Tristan Van De Moortele
b,r,e,a,k
PowderHogs,16
teamInfo,,"Salt Lake City, Utah",http://utahultimate.org/powder-hogs/,https://www.facebook.com/UtahPowderHogs,@PowderHogs
1,Ryan Martin
2,Hugh Carey
3,Eric Christensen
5,Sam Pugh
6,Brad McKeen
7,Brandon Pedersen
9,Isaac Conley
10,Bryce Merrill
11,Alex Walker
12,Joshua Letsinger
13,Trevor Harper
14,Ryan Segal
17,David Kroupa
19,Will Price
20,Russ Barr
21,Michael Affleck
23,Kenneth Frisch
24,Braden Ohlsen
25,Spencer Hodson
27,Tyler Bugden
30,James Fiala
31,David Brooks
33,Alexander Benjamin
50,Ryan Hahn
64,Jason McKeen
66,Joshua Zdrodowski
99,Thomas Newell
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Sockeye,Omen,13,6,"07/11/2015, 09:00",Pool A,Final
Florida United,Inception,12,10,"07/11/2015, 09:00",Pool A,Final
Sockeye,Florida United,10,11,"07/11/2015, 12:30",Pool A,Final
Omen,Inception,5,13,"07/11/2015, 12:30",Pool A,Final
Sockeye,Inception,13,8,"07/11/2015, 14:15",Pool A,Final
Florida United,Omen,13,11,"07/11/2015, 14:15",Pool A,Final
pool,Pool B
Doublewide,Garden State Ultimate,11,9,"07/11/2015, 09:00",Pool B,Final
HIGH FIVE,Plex,12,6,"07/11/2015, 09:00",Pool B,Final
Doublewide,HIGH FIVE,11,7,"07/11/2015, 10:45",Pool B,Final
Garden State Ultimate,Plex,11,8,"07/11/2015, 10:45",Pool B,Final
Doublewide,Plex,13,5,"07/11/2015, 12:30",Pool B,Final
HIGH FIVE,Garden State Ultimate,12,7,"07/11/2015, 12:30",Pool B,Final
pool,Pool C
Chicago Machine,Sprawl,11,8,"07/11/2015, 09:00",Pool C,Final
Madison Club,Garuda,13,8,"07/11/2015, 09:00",Pool C,Final
Chicago Machine,Madison Club,13,10,"07/11/2015, 10:45",Pool C,Final
Sprawl,Garuda,13,9,"07/11/2015, 10:45",Pool C,Final
Chicago Machine,Garuda,13,8,"07/11/2015, 14:15",Pool C,Final
Madison Club,Sprawl,10,11,"07/11/2015, 14:15",Pool C,Final
pool,Pool D
Prairie Fire,Patrol,4,13,"07/11/2015, 10:45",Pool D,Final
Sub Zero,PowderHogs,13,6,"07/11/2015, 10:45",Pool D,Final
Prairie Fire,Sub Zero,12,9,"07/11/2015, 12:30",Pool D,Final
Patrol,PowderHogs,12,6,"07/11/2015, 12:30",Pool D,Final
Prairie Fire,PowderHogs,12,9,"07/11/2015, 14:15",Pool D,Final
Sub Zero,Patrol,10,13,"07/11/2015, 14:15",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
HIGH FIVE,Chicago Machine,13,7,"07/12/2015, 12:30",1st Place Finals,Final
HIGH FIVE,Patrol,10,8,"07/12/2015, 10:45",1st Place Semis,Final
Chicago Machine,Doublewide,10,9,"07/12/2015, 10:45",1st Place Semis,Final
Florida United,HIGH FIVE,9,11,"07/12/2015, 09:00",1st Place Quarters,Final
Patrol,Garden State Ultimate,12,8,"07/12/2015, 09:00",1st Place Quarters,Final
Chicago Machine,Prairie Fire,10,8,"07/12/2015, 09:00",1st Place Quarters,Final
Doublewide,Sockeye,10,7,"07/12/2015, 09:00",1st Place Quarters,Final
HIGH FIVE,Madison Club,13,7,"07/11/2015, 16:00",1st Place Prequarters,Final
Sprawl,Garden State Ultimate,8,9,"07/11/2015, 16:00",1st Place Prequarters,Final
Inception,Prairie Fire,10,13,"07/11/2015, 16:00",1st Place Prequarters,Final
Sub Zero,Sockeye,8,13,"07/11/2015, 16:00",1st Place Prequarters,Final
bracket,3rd Place
Patrol,Doublewide,11,10,"07/12/2015, 12:30",3rd Place Finals,Final
bracket,5th Place Bracket
Florida United,Sockeye,10,13,"07/12/2015, 12:30",5th Place Finals,Final
Florida United,Garden State Ultimate,9,4,"07/12/2015, 10:45",5th place Semifinals,Final
Prairie Fire,Sockeye,7,10,"07/12/2015, 10:45",5th place Semifinals,Final
bracket,7th Place
Garden State Ultimate,Prairie Fire,11,8,"07/12/2015, 12:30",7th Place Finals,Final
bracket,9th Place Bracket
Madison Club,Sub Zero,10,9,"07/12/2015, 10:45",9th Place Finals,Final
Madison Club,Inception,10,7,"07/12/2015, 09:00",9th Place Semifinals,Final
Sprawl,Sub Zero,12,13,"07/12/2015, 09:00",9th Place Semifinals,Final
bracket,11th Place
Inception,Sprawl,12,7,"07/12/2015, 10:45",11th Place Finals,Final
b,r,e,a,k
pools,Placement Round Robin (4 Seeds)
pool,Pool F
Omen,Garuda,3,13,"07/11/2015, 16:00",Pool F,Final
Plex,PowderHogs,9,10,"07/11/2015, 16:00",Pool F,Final
Omen,PowderHogs,9,10,"07/12/2015, 12:30",Pool F,Final
Plex,Garuda,11,8,"07/12/2015, 12:30",Pool F,Final
Omen,Plex,7,11,"07/12/2015, 14:15",Pool F,Final
Garuda,PowderHogs,13,8,"07/12/2015, 14:15",Pool F,Final
b,r,e,a,k
