Boston Invite 2015,Club - Men ,20,6,2015
Devens,MA,2015-06-20,2015-06-21
https://play.usaultimate.org/events/Boston-Invite-2015/schedule/Men/Club-Men/
Garuda,1
23,HUGO LEFRANCOIS
25,Christian Monette
29,JEAN-FRANCOIS PAUL
69,Hicham Laaouan
77,BENOIT DUHAMEL
93,Yan Bouchard
b,r,e,a,k
Sherbrooke Gentlemen's Club,16
teamInfo,,"Sherbrooke, Quebec CA",,,
0,Vincent Sasseville
0,Martin Ouellet
0,marc-olivier Loiselle
0,Karl Thibault
0,SéBASTIEN PERRON
0,Bruno-Pier Demers
0,Vincent Methot
0,ARNAUD CHIASSON-POIRIER
0,Simon Verret
0,Olivier Mayer
0,Gabriel Parent
0,MARC-OLIVIER MORAND
0,Olivier Dagenais
0,William Rodier
0,CHRIS MAXFIELD
0,Jonathan Ruel
0,JONATHAN PROTEAU
10,FABRICE LUCIEN
15,DANNY DESBIENS ALARY
b,r,e,a,k
Youngbloods,15
teamInfo,,"New York, New York",,,
0,Evan Carter
0,Dean Acheson
0,Matthew Thomas
0,Calvin Vannoy
6,Miles Eckardt
00,Rohith Rao
00,Bennett Taren
00,Jaime Perez
00,Samuel Pollack
00,Jay Sehgal
00,Evan Ma
00,Jonathan Kwan
00,Taylor Rasco
00,Patrick So
00,Daniel Eppstein
00,Benjamin Attal
00,James Thurm
00,Max Cohen
00,Alexander Roche
00,IVAN ROBINSON
00,Yuval Pearl
11,Stefan Dicker
15,Juleon Robinson
23,Charlie Holtz
b,r,e,a,k
Mephisto,10
teamInfo,,"Montreal, Quebec CA",,https://www.facebook.com/mephistoultimate,
0,Timothy Farthing-Messier
0,Thomas Duplaix
0,Felix Theroux-Joncas
0,Zakarie Massi
0,Patrick Pham
0,JULIEN POITRAS PLANTE
0,Andre Arsenault
0,Charles Letourneau Berger
0,Jeremy Chiniara
0,Alexandre Marion
0,Vincent Lemieux
7,Mark Zimmerl
09,Philip Jacob-Frigon
16,DAVID TREMBLAY
33,BILLY HE
80,Kevin Groulx
87,Philippe Poitras
b,r,e,a,k
Lone Wolves,14
teamInfo,,"Rochester, New York",,,
0,Christopher Wong
0,Ryan Colby
0,Mitchell Harris
0,Raleigyh Van Epps
0,Nick Giruzzi
0,Trevor Smith
0,Joshua Greenfield
0,Sam VanNoy
0,JEFFREY COLBY
0,Benjamin Parkinson
0,Will Middleton
0,ALEXANDER NEE
7,Kelly Moses
18,BRAD ECKERT
21,CARTER MIDDLETON
30,KEEGAN COUGHLIN
44,ANTHONY MONESCALCHI
b,r,e,a,k
Magma,11
teamInfo,,"Montréal, Quebec CA",,,
0,Simon Charette
0,Edouard Levesque
0,Mathieu Fontaine
0,BLAISE GAUVIN ST-DENIS
0,Frédéric Lemieux
0,MARC LANGLOIS
0,MICHAEL ARSENEAULT
0,Jean-Francois Marcoux
0,MAXIME PINEAULT
0,FELIX MIRON
0,DANIEL BARRETTE-LAPIERRE
0,DOMINIC  MERCIER
0,Simon Vervaet
0,David So
0,ANIS CHIKH
0,VINCENT SAUVÃ©
0,Roudy Parenteau
4,Marc-André Duchesneau
20,Nicolas Brochu
26,Dany Cote
29,Simon Ayotte
38,ALEXANDRE PIUZE
66,DANY GERMAIN
b,r,e,a,k
BUDA Open,17
teamInfo,,"Boston, Massachusetts",,,
0,Nathaniel Dick
0,Caleb Seamon
0,Zachary Dietz
0,Alexander Lund
2,Amiel Hanley
2,Jacob Kaplan
7,JiMin Ko
12,Mac Hecht
12,Tim Schoch
13,JAVIER POZNAR
19,Solomon Rueschemeyer-Bailey
21,Noah Robinson
24,Brendan Chambers
25,Lucy Grossman
35,Reuben Hagen
41,Oliver Fay
47,Marcel Oliart
53,David O'Dea
70,Samuel Gagnon
73,Jason Bair
b,r,e,a,k
Westchester Magma Bears,25
teamInfo,,"Yorktown Heights, New York",,https://www.facebook.com/WestchesterMagmaBears,https://twitter.com/MagmaBearUlti
0,Christopher Novielli
0,JAKE STEVELMAN
0,Jake Kaufman
0,Christopher Losapio
0,Andrew Purugganan
0,Nicolas Dacey
0,James Friscia
0,Liam McAuliffe
0,Alex Jayakar
0,ALAN BRANSON
0,Jared Robinson
0,ZACH POZNIAK
2,Angelo Olcese
4,Darren McAuliffe
7,Jeremy Fischer
7,Isaiah Casiano
17,Kevin O'Brien
17,John Walsh
25,Chris Fox
31,Aron Szanto
38,Chris Bonifati
88,Michael Lovisa
99,Adam Konwerski
b,r,e,a,k
Magma 2,21
teamInfo,,"Montréal, Quebec CA",,,
0,JEAN-SEBASTIEN CHOUINARD
0,Mathieu Brochu
0,Mathieu  Thibaudeau
0,DANIEL SARRASIN
0,martin brissette
0,Roger Bill
0,FRANçOIS DAGENAIS
0,Mathieu Pariseault
0,BENOIT RIENDEAU
0,Sebastien Nadon
0,Francois Duchesneau
0,Joel Bessette
6,Antony Labrecque
11,PIERRE-PAUL CHAMPAGNE
28,Daniel Vogt
43,Austin-Didier Tran
79,Philippe Leduc
88,OLIVIER THIBAUDEAU
91,Christian Painchaud
92,Marc-André Corriveau
b,r,e,a,k
Caliber,20
teamInfo,,"Southington, Connecticut",,,
0,William Cordes
0,Holland Florian
0,Andrew Munson
0,Travis McGrath
0,Gregory Jositas
4,Eric Renkewith
10,Jonathan Lao
13,Elton Zhou
21,Jonathon Chann
21,Zac Sequeira
24,Nitesh Desai
47,Robbie Kohler
51,Vincent Buffa
81,MICHAEL WOODS
b,r,e,a,k
Seleccion Antioquia Sub 17,24
teamInfo,,"Medellin, Antioquia CO",,,
0,Juan Deigo Mesa Ruiz
0,Julian Esteban Sepulveda Munoz
0,Carlos Andres Machado Betancur
0,David Alejandro  Zalsa Regino
0,Esteban Henao Aguirre
0,Andres Felipe Ospina Munoz
0,Carlos Andres Gonzalez Uribe
0,Milton David Agudelo Torres
0,Jimmy Andres Agudelo Torres
0,Thomson Yesid Areiza Chavarria
0,Juan Sebastian Rojas Lopera
0,Juan Sebastian Calderon Martinez
0,Henry Alonso Agudelo Restrepo
0,Eider Pereira Montiel
0,Sebastian Medina Fonnegra
0,Mateo Caro Cardona
0,Wilder Jander Bailarin Domico
0,Orlando Pulgarin Restrepo
0,Jhonatan Arias Valencia
0,Jaime Andres Arango Echavarria
0,German Dario Restrepo Perez
0,Andres Felipe Lopez Arango
b,r,e,a,k
Fetch,23
teamInfo,,"Albany, New York",,https://www.facebook.com/pages/Fetch/343029495892283?ref=hl,
0,Gabriel Hage
0,Evan Creer
0,Jackson Donnelly
0,CLAYSON SPACKMAN
0,Dylan Bruhns
0,JON HESLIN
0,ROBERT LU
0,Mathew Parenti
0,Thomas Horvath
0,Christopher Hummel
16,Philip (David) Atwood
36,Adam Stern
39,Steven Calebrese
80,Anthony Coppola
84,Willard Davis
b,r,e,a,k
Breakers,22
teamInfo,,"Providence, Rhode Island",http://breakersultimate.weebly.com/,https://www.facebook.com/groups/907314719307161/,@breakersri
0,MICHAEL HANOLD
0,Emet Schwartz
0,Jeffrey Kelly
1,Erik Dixon-Anderson
3,Matt Bandes
5,Joe Barbagallo
6,Patrick Shea
7,Filip Wilk
9,William Seites-Rundlett
10,Ryan Turner
11,Robert Thottam
15,Morgan Wilbur
19,Kevin Wicke
20,Donnelly Roberts
21,Cam Bellando
22,DANIEL POISSON
26,STEPHEN PELLETIER
26,Jackson Gillenwaters
28,Alexander Carli-Dorsey
38,JOSEPH LEIGHTON
44,STEPHEN KAHLER
84,Michael Enko
96,Devin Kosowan
b,r,e,a,k
Birds of Pray,19
teamInfo,,"Chestnut Hill, Massachusetts",,,
0,DAVID JOYCE
0,Dylan Josephs
0,Jude Poku
0,John Pugh
0,William Hamilton
0,Jake Pridotkas
0,Robert Clyatt
0,Michael Dillon
3,MASON TIPPY
10,Owen Casey
16,Anthony Gallanis
26,Russell Mahoney
33,Jonathan Young
39,ZACH BARON
94,Samuel Zatkowski
b,r,e,a,k
Garden State Thruway,26
teamInfo,,"Princeton, New Jersey",,,
0,Jeffrey Nelson
0,Benjamin Haim
0,Francis Casimiro
0,Patrick Callahan
0,David Hsiung
0,Albert Su
0,BRIAN MONK
0,Migal Manickaraj
0,Alex Liu
0,Jason Thompson
0,Christopher Alaimo
1,ANDREW LEE
4,Robert Altieri
6,Dmitry Suvorov
10,Shashank Alladi
12,Sean Treacy
17,Curtis Wang
27,Alex Kimmelman
28,Colin Aitken
32,ALEXANDER KONG
b,r,e,a,k
Allen's Army,18
teamInfo,,"Orono, ME & New England, Maine",,,
0,ADAM VIDONI
0,Jonathan Malloy
0,MATT BEAUDET
0,JOSH KAHN
0,Bailey Kirwin
0,Nicholas Fournier
0,Peter Strand
0,Anthony Panciocco
0,Eugene Wentworth
0,Jeremy Baker
0,Robert Brouillard
0,Evan McLean
0,Logan Gerchman
0,Conor Campbell
0,GAGE DONNELLY
2,Tony Alves
3,Zach Connerty-Marin
13,DAVID SHERMAN
22,JOSHUA KEARNS
24,Steven Wilkinson
42,Mark Lessard
47,Patrick McGrath
50,Benjamin Smith
73,JEDEDIAH MCGILL
74,Kyle Monahan
b,r,e,a,k
s,t,a,g,e,s
pools,Elite
pool,Pool A
Garuda,Red Tide,15,6,"06/20/2015, 09:00",Pool A,Final
Phoenix,Galaxy Swag Universe,10,15,"06/20/2015, 09:00",Pool A,Final
Garuda,Galaxy Swag Universe,15,10,"06/20/2015, 11:00",Pool A,Final
Phoenix,Red Tide,16,17,"06/20/2015, 11:00",Pool A,Final
Garuda,Phoenix,15,11,"06/20/2015, 15:00",Pool A,Final
Red Tide,Galaxy Swag Universe,7,15,"06/20/2015, 15:00",Pool A,Final
pool,Pool B
Dark or Light,Big Wrench,17,15,"06/20/2015, 09:00",Pool B,Final
Elements,Red Circus,15,13,"06/20/2015, 09:00",Pool B,Final
Dark or Light,Red Circus,15,7,"06/20/2015, 11:00",Pool B,Final
Elements,Big Wrench,13,15,"06/20/2015, 11:00",Pool B,Final
Dark or Light,Elements,15,16,"06/20/2015, 13:00",Pool B,Final
Big Wrench,Red Circus,15,10,"06/20/2015, 13:00",Pool B,Final
b,r,e,a,k
pools,Easterns I
pool,Pool C
Bruises,NSOM,15,10,"06/20/2015, 09:00",Pool C,Final
Colt,Sherbrooke Gentlemen's Club,15,7,"06/20/2015, 09:00",Pool C,Final
Bruises,Sherbrooke Gentlemen's Club,15,8,"06/20/2015, 11:00",Pool C,Final
Colt,NSOM,15,11,"06/20/2015, 11:00",Pool C,Final
Bruises,Colt,8,15,"06/20/2015, 15:00",Pool C,Final
NSOM,Sherbrooke Gentlemen's Club,15,12,"06/20/2015, 15:00",Pool C,Final
pool,Pool D
Mephisto,Lone Wolves,15,12,"06/20/2015, 09:00",Pool D,Final
Magma,Youngbloods,12,9,"06/20/2015, 09:00",Pool D,Final
Mephisto,Youngbloods,9,11,"06/20/2015, 11:00",Pool D,Final
Magma,Lone Wolves,12,14,"06/20/2015, 11:00",Pool D,Final
Mephisto,Magma,14,13,"06/20/2015, 13:00",Pool D,Final
Lone Wolves,Youngbloods,10,15,"06/20/2015, 13:00",Pool D,Final
b,r,e,a,k
pools,Easterns II/III
pool,Pool E
BUDA Open,Westchester Magma Bears,15,10,"06/20/2015, 09:00",Pool E,Final
BUDA Open,Magma 2,14,7,"06/20/2015, 11:00",Pool E,Final
Caliber,Magma 2,12,14,"06/20/2015, 13:00",Pool E,Final
Magma 2,Seleccion Antioquia Sub 17,15,3,"06/20/2015, 15:00",Pool E,Final
Caliber,Westchester Magma Bears,6,15,"06/20/2015, 15:00",Pool E,Final
Caliber,Seleccion Antioquia Sub 17,14,4,"06/20/2015, 17:00",Pool E,Final
BUDA Open,Caliber,15,7,"06/20/2015, 17:00",Pool E,Final
Magma 2,Westchester Magma Bears,8,15,"06/20/2015, 17:00",Pool E,Final
Seleccion Antioquia Sub 17,Westchester Magma Bears,2,15,"06/20/2015, 19:00",Pool E,Final
BUDA Open,Seleccion Antioquia Sub 17,15,4,"06/20/2015, 21:00",Pool E,Final
pool,Pool F
Allen's Army,Garden State Thruway,10,11,"06/20/2015, 09:00",Pool F,Final
Breakers,Fetch,12,14,"06/20/2015, 09:00",Pool F,Final
Allen's Army,Breakers,6,15,"06/20/2015, 11:00",Pool F,Final
Birds of Pray,Fetch,3,15,"06/20/2015, 11:00",Pool F,Final
Fetch,Garden State Thruway,15,8,"06/20/2015, 13:00",Pool F,Final
Birds of Pray,Breakers,6,15,"06/20/2015, 13:00",Pool F,Final
Allen's Army,Fetch,7,15,"06/20/2015, 15:00",Pool F,Final
Birds of Pray,Garden State Thruway,15,7,"06/20/2015, 15:00",Pool F,Final
Allen's Army,Birds of Pray,12,15,"06/20/2015, 17:00",Pool F,Final
Breakers,Garden State Thruway,15,2,"06/20/2015, 17:00",Pool F,Final
b,r,e,a,k
brackets,Elite Brackets
bracket,Elite Championship
Garuda,Phoenix,15,10,"06/21/2015, 15:00",Championship,Final
Garuda,Big Wrench,16,14,"06/21/2015, 13:00",Elite Semis,Final
Elements,Phoenix,10,15,"06/21/2015, 13:00",Elite Semis,Final
Garuda,Red Circus,15,7,"06/21/2015, 09:00",Elite Quarters,Final
Big Wrench,Red Tide,15,4,"06/21/2015, 09:00",Elite Quarters,Final
Galaxy Swag Universe,Elements,15,16,"06/21/2015, 09:00",Elite Quarters,Final
Dark or Light,Phoenix,13,15,"06/21/2015, 09:00",Elite Quarters,Final
Red Circus,Youngbloods,15,12,"06/20/2015, 17:00",Elite Prequarters,Final
Red Tide,Bruises,15,11,"06/20/2015, 17:00",Elite Prequarters,Final
Phoenix,Colt,15,12,"06/20/2015, 17:00",Elite Prequarters,Final
Elements,Mephisto,15,9,"06/21/2015, 07:00",Elite Prequarters,Final
bracket,3rd Place
Big Wrench,Elements,8,11,"06/21/2015, 15:00",3rd Place,Final
bracket,5th Place
Red Circus,Galaxy Swag Universe,6,15,"06/21/2015, 15:00",5th Place,Final
Red Circus,Red Tide,15,13,"06/21/2015, 13:00",5th Place Semis,Final
Galaxy Swag Universe,Dark or Light,15,13,"06/21/2015, 13:00",5th Place Semis,Final
bracket,7th Place
Red Tide,Dark or Light,5,11,"06/21/2015, 15:00",7th Place,Final
b,r,e,a,k
brackets,Easterns I Brackets
bracket,Easterns I Championship
Colt,Bruises,15,5,"06/21/2015, 15:00",9th Place,Final
Colt,Mephisto,15,11,"06/21/2015, 13:00",9th Place Semis,Final
Bruises,Youngbloods,15,13,"06/21/2015, 13:00",9th Place Semis,Final
Colt,Magma,13,10,"06/21/2015, 11:00",9th Place Quarters,Final
Mephisto,NSOM,15,12,"06/21/2015, 11:00",9th Place Quarters,Final
Bruises,Breakers,15,4,"06/21/2015, 11:00",9th Place Quarters,Final
Youngbloods,BUDA Open,15,9,"06/21/2015, 11:00",9th Place Quarters,Final
Magma,Fetch,15,7,"06/21/2015, 09:00",9th Place Prequarters,Final
NSOM,Westchester Magma Bears,15,4,"06/21/2015, 09:00",9th Place Prequarters,Final
Lone Wolves,Breakers,7,15,"06/21/2015, 09:00",9th Place Prequarters,Final
Sherbrooke Gentlemen's Club,BUDA Open,14,15,"06/21/2015, 09:00",9th Place Prequarters,Final
bracket,11th Place
Mephisto,Youngbloods,15,10,"06/21/2015, 15:00",11th Place,Final
bracket,13th Place
Magma,Breakers,15,13,"06/21/2015, 15:00",13th Place,Final
Magma,NSOM,15,13,"06/21/2015, 13:00",13th Place Semis,Final
Breakers,BUDA Open,14,9,"06/21/2015, 13:00",13th Place Semis,Final
bracket,15th Place
NSOM,BUDA Open,0,0,"06/21/2015, 15:00",15th Place,Cancelled
b,r,e,a,k
brackets,Easterns II Brackets
bracket,Easterns II Championship
Sherbrooke Gentlemen's Club,Westchester Magma Bears,16,14,"06/21/2015, 13:00",17th Place,Final
Sherbrooke Gentlemen's Club,Lone Wolves,15,11,"06/21/2015, 11:00",Round Name,Final
Westchester Magma Bears,Fetch,14,13,"06/21/2015, 11:00",Round Name,Final
bracket,19th Place
Lone Wolves,Fetch,12,15,"06/21/2015, 13:00",19th Place,Final
b,r,e,a,k
pools,Easterns III Championship
pool,Pool G
Garden State Thruway,Caliber,W,F,"06/21/2015, 11:00",Pool G,Final
Magma 2,Allen's Army,15,10,"06/21/2015, 11:00",Pool G,Final
Magma 2,Garden State Thruway,13,8,"06/21/2015, 13:00",Pool G,Final
Birds of Pray,Caliber,0,0,"06/21/2015, 13:00",Pool G,Cancelled
Caliber,Allen's Army,F,W,"06/21/2015, 15:00",Pool G,Final
Magma 2,Birds of Pray,W,F,"06/21/2015, 15:00",Pool G,Final
Birds of Pray,Seleccion Antioquia Sub 17,F,W,"06/21/2015, 17:00",Pool G,Final
Seleccion Antioquia Sub 17,Allen's Army,6,15,"06/21/2015, 19:00",Pool G,Final
Garden State Thruway,Seleccion Antioquia Sub 17,15,7,"06/21/2015, 21:00",Pool G,Final
b,r,e,a,k
