Southeast Men's Regionals,Club - Men ,12,9,2015
Advance,NC,2015-09-12,2015-09-13
https://play.usaultimate.org/events/Southeast-Mens-Regionals-2015/schedule/Men/Club-Men/
Florida United,1
Sour Mash,15
teamInfo,,"Nashville, Tennessee",http://www.NashvilleUltimate.com,,
00,Daniel Gray
00,Ross Markle
00,Derek Youel
00,Grant Waldron
00,Mikeie Reiland
00,Nicholas Baldwin
00,DANIEL KIRSCH
00,Sam Moxley
00,Joseph Brown
00,Cody Baldwin
00,Dawson Fox
00,Jon Meade
00,Franklyn Robinson
00,Christopher Vanags
00,Tony Brown
00,Jerodis Williams
00,Ryan Balch
00,Benjamin Funkhouser
00,Andrew Reed
00,Garrett Bruce
00,Aaron Moredock
00,Grant Gardner
00,Jon Schumm
00,Jack Blair
00,William Hannon
00,Rob Ferguson
b,r,e,a,k
Ring of Fire,2
teamInfo,,"Raleigh, North Carolina",,,
0,DREW CHANDLER
0,Jonathan Nethercutt
00,Brian Casey
00,Terrence Mitchell
00,Kristjan Loorits
00,Tim McAllister
00,Justin Allen
00,Shane Sisco
00,Noah Saul
00,Taylor Pope
00,Josh Mullen
00,David Richardson
00,JARRETT BOWEN
00,ROY MATTHEWS
00,JD Hastings
00,Jared Inselmann
00,Tristan Green
00,Micah Hood
00,DANIEL KANTOR
00,Hunter Taylor
00,Ken Porter
00,Ben Dieter
00,Jack Williams
00,Joey Cretella
00,Stephen Bender
11,DENNIS TARASI
33,Mark Lin
b,r,e,a,k
Ironmen,7
teamInfo,,"Birmingham, Alabama",,https://www.facebook.com/Ironmenultimate,https://twitter.com/BhamIronMen
0,Ray Davenport
0,Patrick Philbin
0,Chris Browning
0,Taylor Hide
0,Michael Burke
0,Josh Currey
0,Christopher McBride
0,James Hershey
0,James  Poe
0,Jason Russell
0,Matthew Sledge
0,Thomas Yerby
0,Will Newton
8,Matthew Smith
8,Kevin Shrestha
9,Dustin Register
10,Scott Stone
11,Kelvin Williams
12,Jordan Quinn
13,Ethan Downs
16,Alexander Cape
18,Dane Jorgensen
22,Brandon Deihl
24,Travis Midkiff
28,Reid Thackerson
32,JUSTIN THIGPEN
72,Wesley Bullock
b,r,e,a,k
Bullet,9
teamInfo,,"Atlanta, Georgia",,https://www.facebook.com/Bulletultimate,https://twitter.com/BulletUltimate
coaches,Torre Hargett
0,Andy Wind
0,Troy Stegeman
0,James Moore
0,DANIEL STEVENSON
0,James ONeal (Neal) Hollis
0,Jonathan Clark
0,Jericho Barbour
1,Charles Morris
2,Joshua Bush
3,Benjamin Breault
4,Caleb Shorthouse
5,JOSEPH HANSON
7,Zaki Durry
8,Zack Avello
12,JACOB USSERY
14,Nathan Vickroy
16,NOLAN KLINKE
17,Logan Ogletree
21,Daniel Jones
22,ANDREW LIBOWSKY
23,STEVEN HEDGES
24,RYAN RANDALL
25,Robert Hunt
44,WILLIAM GRESCH
83,NATHAN THOMPSON
88,WILLIAM NALLEY
99,Zachary Watford
b,r,e,a,k
Chain Lightning,3
teamInfo,,"Atlanta, Georgia",modules/common/www.chainlightning.org,https://www.facebook.com/pages/Chain-Lightning-Ultimate/188026257831,https://twitter.com/ATLchain
0,Timothy Stapleton
1,JACK KRIEGER
2,Austin Taylor
3,Matthew Knowles
5,Elliott Erickson
6,Allan Laviolette
7,Jason (Jay) Clark
9,Samuel Little
10,Tyler Conger
12,Frank Wooten
13,Michael Fairley
16,Anders Olsen
18,Michael Spear
19,Mark Poole
21,David Berendes
22,Brian Moore
22,Parker Bray
24,Christian Olsen
25,Sun Choi
55,Blake Hannah
60,JOLIAN DAHL
81,Joseph Burns
87,Trenton Spinks
88,TAYLOR GOFORTH
b,r,e,a,k
Turbine,6
teamInfo,,"Durham, North Carolina",,,
01,Andrew Cohen
02,Charlie Muniz
03,Dean Culver
05,Daniel Schopler
07,Preston Earp
08,Matthew Rushing
10,Brad Ward
11,Evan Howey
13,CJ Colicchio
14,Stephen Poulos
15,Kerry Green
16,Sean Kelley
19,Schuyler Kylstra
20,Tanner Gardner
21,Byron Liu
22,taylor minch
23,Jeff Nordgren
24,LUIS ROYO ROMERO
27,Curtis Bowman
33,Jesse Lieberman
44,MIKE BODE
71,Clint McSherry
79,Matt Bode
80,Benj Thomsen
86,Lance McNicoll
88,Alan Best
93,ANDREW LOUGHRAN
b,r,e,a,k
Lost Boys,12
teamInfo,,"South Carolina, South Carolina",,,
0,James Moore
0,KEIFER CARNELLI
2,CALEB HARTSELL
5,ALEXANDER WATERS
7,William Carmichael
9,Daniel White
10,WOODY PASCHAL
11,Hunter Nadeau
13,ZACHARY PRICE
15,Gavin Richards
17,Jacob Evans
18,Oddom Vong
20,Robert Perry
23,Bryan Kohut
24,Robert Huffman
26,Christian Gaeta
28,Ryan Saffa
33,Nick Jewell
37,Wes Copenhaver
37,Matthew Wright
42,Zach Mills
43,Robert Locke
50,JAMES COX
52,Connor Thompson
71,WILLIAM GORDON
81,Ryan Wolfe
98,Lucas Tarnowski
b,r,e,a,k
Omen,13
teamInfo,,"Orlando, Florida",http://www.omenultimate.com/,,@OmenUltimate
0,Zachary Marks
0,MATTHEW CAPP
0,MICHAEL ANTHONY
0,James Dobson
0,Kyle Lockwood
0,Robert Lenoci
0,DAVID HANKIN
0,MATTHEW TWILLEY
0,Joseph Tilley
0,Brawley Adams
0,Zachary Hollis
0,DAN OTT
0,WILLIAM IGAR
0,Thomas Rush
3,Andrew Allen
5,Quint Wharton
8,Alex Bullock
9,JACOB RADFORD
17,Matthew Carlson
22,Charles Andrews
22,Jacob Lane
23,Daniel Jakob
25,Robert Patten
27,Austin Mercadante
34,GARRETT PELTON
88,Thomas Milana
89,Alejandro Palomino
b,r,e,a,k
Southern Hospitality,4
teamInfo,,"Pine Apple, Alabama",,,https://twitter.com/SohoUltimate
0,Tanner Robinson
0,Andrew Francis
0,Blake Galloway
0,West Dickens
0,Chunghyun Kim
0,Ryan Landry
0,Jackson Cochran
0,Brian Walsh
0,Preston Thompson
0,Samuel Murphree
0,ANDREW WICK
0,Kenta Kawaguchi
0,Craig Anderson
0,MONTEZ JONES
0,Andrew Galiger
0,Matthew Hardman
0,Ryan James
0,Martin Newman
1,DANIEL GILSTRAP
5,Cody Smith
5,Eric Sjostrom
8,Timothy Martin
38,DAVID  MONDSCHEIN
44,Benjamin Lamport
45,Nathan Oaks
85,Evan Boecking
99,Gabriel Bidot
b,r,e,a,k
Freaks Uv Nature,5
teamInfo,,"Huntsville, Alabama",http://huntsvilleultimate.com/wordpress/,https://www.facebook.com/FreaksUvNature?ref=hl&ref_type=bookmark,@Freaksultimate
coaches,Chris Brackbill
0,Brian Newsom
0,Tannon Hedges
0,Garris Bugg
0,Collin Orcutt
0,Jason Cunningham
0,Stephen Brandon
0,Michael Venezia
2,Ryan Manning
4,Jason Williams
4,Blake Waldron
8,Danny Yates
11,Nathan Burch
11,Elijah Jaime
13,Andy Sieja
17,Michael Robie
19,Matthew Radcliffe
24,Ethan Hodges
25,"Michael Guiles, Jr"
27,Michael Volz
34,Isaiah Radcliffe
35,Clark Missildine
37,Keith Mize
39,PETER WILKERSON
42,Tim Hoggard
44,Jordan Matthews
55,Tom Radcliffe
96,Mark Ullom
b,r,e,a,k
BaNC,14
teamInfo,,"Charlotte, North Carolina",,,
0,MITCHELL HALLORAN
0,Hunter Wilson
0,Bryce McAvoy
0,DAVID CRESPI
0,Ari Livanos
0,Jacob Fairfax
0,Samuel Lee
0,Patrick McKendry
0,Nathan Hill
0,Wesley Dudas
0,Kartik Sethuraman
0,Jason Hudson
8,Ryan Werkmeister
10,Andrew Hager
11,Brian Lang
13,ZACK BERMAN
14,Ryan Loll
18,Ismael Salgado
21,Corey Silvestri
24,Cliff Totherow
28,Andrew Gruninger
34,Daniel Lee
44,Graydon Miller
50,MATTHEW HUYNH
b,r,e,a,k
NME,11
teamInfo,,"Nashville, Tennessee",,,
00,Matthew Gallin
02,Mac McClellan
03,John Carden
04,Matt Ractliffe
05,DANIEL REED
07,CHRIS TINGLE
10,Danny On
11,James Wright
12,Chris Peek
13,Carter Rae
15,Joshua Feng
17,Jacob Lambert
20,Adam Paicely
21,JORDAN BATES
22,Paul Lally
24,Michael Dayton
28,James Smith
33,Frank Strasser
42,Andy Barnhart
46,Anthony Heath
69,Victor Wu
78,Justin Moore
97,Daniel Schlabach
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Florida United,Cash Crop,13,7,"09/12/2015, 09:00",Pool A,Final
Right coast,Sour Mash,13,3,"09/12/2015, 09:00",Pool A,Final
Florida United,Sour Mash,13,5,"09/12/2015, 10:50",Pool A,Final
Right coast,Cash Crop,12,14,"09/12/2015, 10:50",Pool A,Final
Florida United,Right coast,13,10,"09/12/2015, 12:40",Pool A,Final
Cash Crop,Sour Mash,13,3,"09/12/2015, 12:40",Pool A,Final
pool,Pool B
Ring of Fire,Bullet,13,7,"09/12/2015, 09:00",Pool B,Final
Ironmen,Bullet,13,10,"09/12/2015, 10:50",Pool B,Final
Ring of Fire,Ironmen,13,7,"09/12/2015, 12:40",Pool B,Final
pool,Pool C
Chain Lightning,Lost Boys,13,6,"09/12/2015, 09:00",Pool C,Final
Turbine,Omen,13,9,"09/12/2015, 09:00",Pool C,Final
Chain Lightning,Omen,13,7,"09/12/2015, 10:50",Pool C,Final
Turbine,Lost Boys,13,6,"09/12/2015, 10:50",Pool C,Final
Chain Lightning,Turbine,13,9,"09/12/2015, 12:40",Pool C,Final
Lost Boys,Omen,13,12,"09/12/2015, 12:40",Pool C,Final
pool,Pool D
Southern Hospitality,NME,13,12,"09/12/2015, 09:00",Pool D,Final
Freaks Uv Nature,BaNC,13,7,"09/12/2015, 09:00",Pool D,Final
Southern Hospitality,BaNC,13,8,"09/12/2015, 10:50",Pool D,Final
Freaks Uv Nature,NME,13,7,"09/12/2015, 10:50",Pool D,Final
Southern Hospitality,Freaks Uv Nature,11,6,"09/12/2015, 12:40",Pool D,Final
NME,BaNC,12,13,"09/12/2015, 12:40",Pool D,Final
b,r,e,a,k
brackets,1st Place Bracket
bracket,1st Place Bracket
Florida United,Ring of Fire,13,8,"09/13/2015, 11:40",1st Place,Final
Florida United,Southern Hospitality,13,7,"09/12/2015, 14:30",1st Semi-Finals,Final
Chain Lightning,Ring of Fire,9,13,"09/12/2015, 14:30",1st Semi-Finals,Final
b,r,e,a,k
brackets,2nd Place Bracket
bracket,2nd Place Bracket
Ring of Fire,Turbine,13,8,"09/13/2015, 13:30",2nd Place,Final
Turbine,Cash Crop,13,5,"09/13/2015, 11:40",2nd Place Semi-Finals,Final
Southern Hospitality,Turbine,9,13,"09/13/2015, 09:50",2nd Place Quarter Finals,Final
Cash Crop,Chain Lightning,12,9,"09/13/2015, 09:50",2nd Place Quarter Finals,Final
Turbine,Ironmen,13,11,"09/13/2015, 08:00",2nd Pre Quarter Finals,Final
Cash Crop,Freaks Uv Nature,12,11,"09/13/2015, 08:00",2nd Pre Quarter Finals,Final
Turbine,BaNC,13,7,"09/12/2015, 14:30",2nd Place Play-ins,Final
Right coast,Ironmen,9,13,"09/12/2015, 14:30",2nd Place Play-ins,Final
Cash Crop,Bullet,12,9,"09/12/2015, 14:30",2nd Place Play-ins,Final
Lost Boys,Freaks Uv Nature,5,13,"09/12/2015, 14:30",2nd Place Play-ins,Final
b,r,e,a,k
brackets,7th/8th Place Bracket
bracket,7th Place Bracket
Ironmen,Freaks Uv Nature,13,12,"09/13/2015, 11:40",7th Place,Final
b,r,e,a,k
brackets,9th/10th Place Bracket
bracket,9th/10th Place Bracket
Bullet,Right coast,13,4,"09/13/2015, 09:50",9th Place,Final
Bullet,Lost Boys,1,0,"09/13/2015, 08:00",9th Place Semi-Finals,Final
Right coast,BaNC,13,11,"09/13/2015, 08:00",9th Place Semi-Finals,Final
b,r,e,a,k
brackets,11th/12th Bracket
bracket,11th/12th Place Bracket
BaNC,Lost Boys,9,13,"09/13/2015, 09:50",11th Place,Final
b,r,e,a,k
brackets,14th/15th/16th Place Bracket
bracket,14th/15th/16th Place Bracket
NME,Omen,13,7,"09/13/2015, 09:50",13th Place,Final
Sour Mash,NME,12,14,"09/13/2015, 08:00",13th Place Play-in,Final
b,r,e,a,k
brackets,5th/6th Place Bracket
bracket,5th/6th Place Bracket
Chain Lightning,Southern Hospitality,1,0,"09/13/2015, 11:40",5th Place,Final
b,r,e,a,k
