Mid-Atlantic Men's Regionals,Club - Men ,13,9,2015
Poolesville,MD,2015-09-12,2015-09-13
https://play.usaultimate.org/events/Mid-Atlantic-Mens-Regionals-2015/schedule/Men/Club-Men/
Truck Stop,1
bracket,2nd Place Bracket
Temper,Patrol,9,12,"09/13/2015, 15:00",2nd Place Finals,Final
Medicine Men,Patrol,12,14,"09/13/2015, 13:00",2nd Place Semis,Final
Garden State Ultimate,Medicine Men,8,14,"09/13/2015, 11:00",2nd Place Quarters,Final
8$OLD (SOL),Patrol,8,15,"09/13/2015, 11:00",2nd Place Quarters,Final
Garden State Ultimate,Town Hall Stars,15,7,"09/12/2015, 17:00",2nd Place Prequarters,Final
Slag Dump,8$OLD (SOL),15,16,"09/12/2015, 17:00",2nd Place Prequarters,Final
Garden State Ultimate,CityWide Special,13,8,"09/12/2015, 15:00",2nd Place Play Ins 2,Final
Town Hall Stars,Richmond Floodwall,15,12,"09/12/2015, 15:00",2nd Place Play Ins 2,Final
Slag Dump,RUNTIME,15,14,"09/12/2015, 15:00",2nd Place Play Ins 2,Final
8$OLD (SOL),RoadHouse,15,4,"09/12/2015, 15:00",2nd Place Play Ins 2,Final
Watchdogs,CityWide Special,8,15,"09/12/2015, 13:00",2nd Place Play Ins 1,Final
John Doe,Richmond Floodwall,13,14,"09/12/2015, 13:00",2nd Place Play Ins 1,Final
Bear Proof,RUNTIME,11,15,"09/12/2015, 11:00",2nd Place Play Ins 1,Final
Takers,RoadHouse,10,15,"09/12/2015, 13:00",2nd Place Play Ins 1,Final
bracket,13th Place Bracket
John Doe,Takers,11,7,"09/12/2015, 17:00",13th Place Finals,Final
Watchdogs,John Doe,7,15,"09/12/2015, 15:00",13th Place Semis,Final
Bear Proof,Takers,13,15,"09/12/2015, 15:00",13th Place Semis,Final
bracket,15th Place 
Watchdogs,Bear Proof,8,15,"09/12/2015, 17:00",15th Place,Final
bracket,11th Place 
CityWide Special,RoadHouse,1,0,"09/13/2015, 13:00",11th Place,Final
bracket,9th Place
Richmond Floodwall,RoadHouse,12,8,"09/13/2015, 13:00",9th Place,Final
CityWide Special,Richmond Floodwall,10,12,"09/13/2015, 11:00",Round Name,Final
RUNTIME,RoadHouse,1,0,"09/13/2015, 11:00",Round Name,Final
b,r,e,a,k
