Heavyweights 2015,Club - Men ,8,8,2015
Loves Park,IL,2015-08-08,2015-08-09
https://play.usaultimate.org/events/Heavyweights-2015/schedule/Men/Club-Men/
Brickyard,1
12,Jack Sanders
17,IAN KOLB
23,Matthew Murry
27,Lukas Nesheim
27,Alexander Constant
99,Colin Fry
b,r,e,a,k
SmokeStack,16
0,DANIEL LEHMAN
0,Tarik Akyuz
0,Erik Lindberg
0,Jonathon Grgat
0,Nathan Buddemeyer
0,Anthony Davis
0,Jason Beffel
0,John Marotta
0,David Picone
0,Jeffrey Brauning
0,Jacob Lunn
1,Shawn McCarthy
3,Steven Her
3,Daniel Young
5,Amir Kaghazwala
6,KEVIN WAYNER
6,Matt Woods
10,Eric Zarobila
12,Dan Sluka
13,Jared VanLandingham
17,Adam Davenport
21,LOGAN VANTREASE
26,Zach Johnston
27,Brandon Thomas
34,Daniel Lynch
82,Dutch Kirkman
87,Weston Miller
b,r,e,a,k
Mad Men,17
0,Branavan Yogarajah
0,Nathan Yeazel
0,Sef van Kan
0,Zachariah Ehler
7,Avery Johnson
9,Greg Maddox
9,Peter Walker
10,Sam Hebert
12,Andrew Ishikawa
13,David Yu
22,Rami Paust
26,Simon Kuran
33,SHANE SADDISON-BRADFORD
b,r,e,a,k
Bounty Hunters,9
00,John Lanuti
00,Mark Hamm
00,Jakub Jezusek
00,GRANT BLANKENSHIP
00,Daniel Miller
00,Thomas Williams
00,Thomas Gallagher
00,Justin Prevost-Schultz
00,Scott Sivright Jr
00,Bif Reiser
00,Jonathan Burrell
00,Ryan Mehaffey
00,Alexander Rummelhart
00,William Hoover
00,BRENT  GUSTAFSON
00,Jeffrey Greenwald
00,Elliott Siu
00,Joshua Shamouil
00,Michael Hamburger
00,Carlton Nelson
00,BRIAN PORRETT
b,r,e,a,k
Dirty D,24
00,Mark McCarthy
04,Jeremiah Sandler
08,PAUL FOLK
09,Moustapha Diab
10,Uzoma Okeke
13,John Goodwin
20,Zachary Farr
22,Peter Imler
23,Kenneth Andejeski
28,Channing Watson
47,Dan Kwass
69,Timothy Chrzanowski
76,Tyler Cox
85,Dafeng Chen
b,r,e,a,k
Pocket City Approach,25
0,Jesse Wyatt
02,Nathaniel Mull
03,Ryan Fehrenbacher
05,Donald Bhe
06,DREW COLES
09,Uriah Alldredge
12,Andrew Martin
13,Aaron  Costlow
15,DOUG WHEATON
17,Noah Rickelman
18,Kyle Wood
19,Josh Hammett
20,Joseph  Cowser
24,Nathanael Sparks
28,Ryan Bell
33,Dana Granholm
49,Derek Berggren
88,Anthony Goth
b,r,e,a,k
CaSTLe,15
0,Stephen Hawkins
1,Robert (Bobby) Castille
2,Evan Karson
3,Thomas  Kulczak
5,Zachary Gase
6,DANIEL ELFANBAUM
7,Rett Hooper
8,Chaz DeBord
10,Michael Mills
11,E.C. Gibbs
14,Evan Thornberry
16,Ben Gibson
18,Cody Curran
19,John (Christian) Lukas
21,Nathaniel Mahieu
22,ZACHARY LOU
24,Aaron Bryant
25,Sean Campbell
31,Parker Quinn
36,Kelly Caldwell
47,Devin Belvin
77,BRENDAN KELLY
98,Matthew Beers
99,Kyle Hill
b,r,e,a,k
Midnight Meat Train,10
0,Mike Zaagman
0,Alex Bertoia
0,Mark Brown
0,Liam Lundy
0,Gabriel Anzivino
0,Adam Koehler
0,Alex Horn
0,Kyle Spengler
0,Tyler Hanna
0,Austin Sroczynski
0,KEVIN SOUSER
5,Ryan Lee
9,Greg Vasilion
10,MATT ERBES
10,Perry-David van Dillen
18,Aaron Riess
18,Charles Blum
19,Luke Rynbrandt
20,Zach Jawahir
22,ANDREW WADAGA
23,Tyler Denooyer
24,Trevor Deimel
67,Ross Osborn
b,r,e,a,k
Black Sheep,23
01,Robert Woodcock
02,Jeremy Davis
03,Clark Barco
05,William Kasprzycki
06,Matthew Johnsen
07,MARK YELLON
11,MACKENZIE CONRAD
12,Zachariah Weldon
13,JAKE FRIEDLY
15,Zephyr Wenrich
17,David Wang
21,KYLE PHEGLEY
22,Hillel Sapir
23,Ryan Opal
30,Walter Kasprzycki
42,Jonathan Snider
43,Connor Regan
44,Kye Butler
b,r,e,a,k
Black Market II,18
0,JAMES HANSEN
3,Michael Armstrong
5,Jared Crane
17,PRAYAG  PATEL
25,Syed Akbar Jaffery
27,Wilson Wang
32,Nick Johnson
36,Jonathan Piech
40,Canaan Murray
43,Christopher Pierce
50,Colin Copler
52,Jun Shinohara
61,Juan Amador
66,JOSEPH POLAREK
79,Jordan Dong
86,Matthew Michalak
90,Kyle Condron
91,Bradley Johnson-Bice
95,Zachary Diener
99,Bill SooHoo
b,r,e,a,k
NorthStar HOUSE United,26
2,AUSTIN PATTY
4,Trevor DuBois
5,Joseph Vital
6,Nick Robinson
7,David Ashmore
8,MATHEW JONES
9,Donald James
10,Kyle Dreger
11,James Firth Fountain
12,David Zickus
13,COREY SMITH
13,DAVID HUGHES
14,AUSTIN KNAPP
20,Brett Robinson
22,JONATHAN SMITH
27,Joshua Collins
34,Justin Brockmann
40,Michael Bartoli
44,Alec Lenczner 
46,Kevin LeCaptain
99,Kevin Pettit-Scantling
b,r,e,a,k
Black Market,11
0,Kevin DeAngelis
0,Ryan Smith
0,Kevin Cleary
0,Kevin Yngve
0,Kevin Bruns
0,Johnny Saniat
0,Dominick Peluso
0,Matthew Lemaitre
0,Adam Wright
0,Chris Santiago
0,Joseph Conerty
1,NICK PROZOROVSKY
1,Daniel Vockeroth
2,Joe Sidrys
4,Zachary Schwulst
8,Matt West
13,Jeremy Piech
19,Steven Czechowski
21,Jarred Elliott
23,SHANE O'FARRELL
30,Zachary Ford
34,Christopher O'Hara
39,Ross Tuttle
57,Max Richards
76,Girolamo S Kelly
77,Scott Klein
80,Peter Bennett
b,r,e,a,k
Wisconsin Hops,14
0,Tyler Hebert
0,Grant Hellestad
2,Aaron Appicelli
3,Robert Lyke
5,Nathan Daily
6,Tate Halberg
7,Thomas Roltgen
9,Blake Marlowe
10,Nick  Snyder
18,CALEB SANFORD
19,TYLER HALBERG
21,Scott Sawinski
23,Adam Swanson
24,DOUG WILSON
25,Dylan Boucher
27,TIM ZIETLOW
37,Ming Cheng Chew
69,DANIEL FIX
87,Kevin Reimer
b,r,e,a,k
Spoiler,19
00,Robert (Bobby) Moyer
00,Nicholas Simopoulos
00,Anton Loukianov
00,Brendan McCann
00,CHAD MILANDO
00,Jonathan Lee
00,Matt Cornish
00,MICHAEL ROBERTS
00,ANDREW HOISINGTON
00,Nathan Adamski
00,John Fonte
00,Andrew Curtin
00,Owen Funk
00,Benjamin Bielajew
17,Andrew Foldesi
b,r,e,a,k
Spin-Itch,27
00,Austin Mackey
00,Zach Badertscher 
00,Colan Dray
00,KEITH KLECKLER
00,Stephen Lunde
00,JASON PECK
00,Jacob Schoff
00,ZACH NELSON
00,Lovie Garcia
00,Jeremy Penze
00,Karl Fauerbach
00,ben kluzak
00,Stephan Scicluna
00,John Morton
00,Henry Patterson
00,Kaleb Mertz
00,Wesley Groom
00,Matt Marshall
00,Kraig Johnston
00,samuel kloweit
00,Jacob Knabe
b,r,e,a,k
Kekionga,22
0,David Meyer
0,Bobby Leroy
0,Jerson Gutierrez
0,Drew Schramm
0,Jon Swartling
2,Tyler Stapleton
3,Jonathon Wenger
10,Peter Wilhelm
12,Peter Heneveld
13,Garrett Voss
22,Daniel Sponaugle
29,Alyssa Strickler
31,Brian Wilson
33,Ryan Klinker
48,Tim Perkey
52,Garrett Fuelling
55,SHANE FEEMSTER
b,r,e,a,k
Scythe,20
02,Tyler Roberts
03,Sean Rock
07,CREIGHTON GERBER
09,Daniel Medrano
12,Matt Reinhart
14,Dom Lincoln
15,KYLE CRAFT
18,JOHN BRENNAN
19,Stewart Buckley
24,Thomas Sitorius
25,Chas Busch
26,Devin Oliver
28,Andrew Curry
34,Dominic Antonelli
35,William Uehling
61,EMMITT GRAEVE
81,Alex Boryca
82,GREG MEYER
b,r,e,a,k
Climax,12
0,ISAAC WHITE
0,Alexander Ogren
0,JOHN MELZAREK
0,WILL HARREN
0,PATRICK HYLAND
0,Louis LaCroix
0,Samuel Hedrick
9,Ben Roske
18,Sam Berglund
26,Ian Hahn
27,PETER STORVICK
27,Owen Schleif
28,Greg Cepuran
36,Donald Wood
69,Esteban Rodriguez-Hefty
72,Joseph Norby
b,r,e,a,k
Ascension,13
0,Ray Page
9,Danny Kent
00,RYAN BROWN
00,CLAYTON COFFMAN
01,REECE STOREY
02,Ryan Murray
10,Brock Dunn
16,Luke Vihnanek
23,John Gargiulo
24,Stephen Langyher
27,Ryan Logan
28,Patrick Logan
36,Zac Carlton
37,Kyle Breen
44,Jamie Carroll
72,Phillip Warren
97,David Decker
b,r,e,a,k
CAKti,21
00,Kyle Jasany
01,Zack Valletta
07,Stephan Maxe
08,Richard Klena
09,Travis Kneen
12,COLIN DUKLES
13,Jacob Lamier
17,nathanael Rodd
19,Jacob Lowden
20,CAMDEN HAYES
22,DANIEL MORGAN
25,ALEX RUFF
27,Ryan Moore
29,Christian Martin
42,Michael Herman
44,Josh Shamburger
45,Kevin Nicholl
50,Ryan Ernst
98,Tyler Brady
b,r,e,a,k
s,t,a,g,e,s
pools,OPEN TIER 1 POOL PLAY
pool,Pool A
Brickyard,Imperial,15,10,"08/08/2015, 10:00",Pool A,Final
Beachfront Property,Illusion,14,8,"08/08/2015, 10:00",Pool A,Final
Brickyard,Illusion,15,3,"08/08/2015, 12:00",Pool A,Final
Beachfront Property,Imperial,15,10,"08/08/2015, 12:00",Pool A,Final
Imperial,Illusion,15,7,"08/08/2015, 16:00",Pool A,Final
Brickyard,Beachfront Property,15,12,"08/08/2015, 16:00",Pool A,Final
pool,Pool B
MKE,Haymaker,15,8,"08/08/2015, 10:00",Pool B,Final
Smokestack,City Park Ultimate,15,5,"08/08/2015, 10:00",Pool B,Final
Smokestack,Haymaker,14,8,"08/08/2015, 12:00",Pool B,Final
MKE,City Park Ultimate,15,8,"08/08/2015, 12:00",Pool B,Final
Smokestack,MKE,15,11,"08/08/2015, 14:00",Pool B,Final
City Park Ultimate,Haymaker,8,15,"08/08/2015, 14:00",Pool B,Final
b,r,e,a,k
pools,OPEN TIER 2 POOL PLAY
pool,Pool C
Bounty Hunters,Pocket City Approach,13,8,"08/08/2015, 09:00",Pool C,Final
Mad Men,Dirty D,13,6,"08/08/2015, 09:00",Pool C,Final
Bounty Hunters,Mad Men,5,13,"08/08/2015, 10:45",Pool C,Final
SmokeStack,Dirty D,13,8,"08/08/2015, 10:45",Pool C,Final
Dirty D,Pocket City Approach,13,9,"08/08/2015, 12:30",Pool C,Final
SmokeStack,Mad Men,13,7,"08/08/2015, 12:30",Pool C,Final
Bounty Hunters,Dirty D,13,8,"08/08/2015, 14:15",Pool C,Final
SmokeStack,Pocket City Approach,13,6,"08/08/2015, 14:15",Pool C,Final
Bounty Hunters,SmokeStack,5,13,"08/08/2015, 16:00",Pool C,Final
Mad Men,Pocket City Approach,13,4,"08/08/2015, 16:00",Pool C,Final
pool,Pool D
Midnight Meat Train,NorthStar HOUSE United,12,10,"08/08/2015, 09:00",Pool D,Final
Black Market II,Black Sheep,6,13,"08/08/2015, 09:00",Pool D,Final
Midnight Meat Train,Black Market II,13,9,"08/08/2015, 10:45",Pool D,Final
CaSTLe,Black Sheep,12,10,"08/08/2015, 10:45",Pool D,Final
Black Sheep,NorthStar HOUSE United,13,6,"08/08/2015, 12:30",Pool D,Final
CaSTLe,Black Market II,13,7,"08/08/2015, 12:30",Pool D,Final
Midnight Meat Train,Black Sheep,13,9,"08/08/2015, 14:15",Pool D,Final
CaSTLe,NorthStar HOUSE United,13,4,"08/08/2015, 14:15",Pool D,Final
Midnight Meat Train,CaSTLe,4,13,"08/08/2015, 16:00",Pool D,Final
Black Market II,NorthStar HOUSE United,14,12,"08/08/2015, 16:00",Pool D,Final
pool,Pool E
Black Market,Spin-Itch,13,0,"08/08/2015, 09:00",Pool E,Final
Spoiler,Kekionga,13,8,"08/08/2015, 09:00",Pool E,Final
Black Market,Spoiler,13,4,"08/08/2015, 10:45",Pool E,Final
Wisconsin Hops,Kekionga,13,8,"08/08/2015, 10:45",Pool E,Final
Kekionga,Spin-Itch,11,13,"08/08/2015, 12:30",Pool E,Final
Wisconsin Hops,Spoiler,15,13,"08/08/2015, 12:30",Pool E,Final
Black Market,Kekionga,13,4,"08/08/2015, 14:15",Pool E,Final
Wisconsin Hops,Spin-Itch,13,5,"08/08/2015, 14:15",Pool E,Final
Black Market,Wisconsin Hops,13,5,"08/08/2015, 16:00",Pool E,Final
Spoiler,Spin-Itch,13,9,"08/08/2015, 16:00",Pool E,Final
pool,Pool F
Climax,Scythe,12,15,"08/08/2015, 10:00",Pool F,Final
Ascension,CAKti,15,4,"08/08/2015, 10:00",Pool F,Final
Climax,CAKti,15,8,"08/08/2015, 12:00",Pool F,Final
Ascension,Scythe,6,15,"08/08/2015, 12:00",Pool F,Final
Climax,Ascension,15,5,"08/08/2015, 14:00",Pool F,Final
Scythe,CAKti,15,6,"08/08/2015, 14:00",Pool F,Final
b,r,e,a,k
brackets,OPEN BRACKET PLAY
bracket,CHAMPIONSHIP BRACKET
Brickyard,Smokestack,12,14,"08/09/2015, 15:00",FINALS,Final
Brickyard,MKE,16,14,"08/09/2015, 13:00",SEMIS,Final
Smokestack,Black Market,15,12,"08/09/2015, 13:00",SEMIS,Final
Brickyard,SmokeStack,15,8,"08/09/2015, 11:00",QUARTERS,Final
MKE,Imperial,15,11,"08/09/2015, 11:00",QUARTERS,Final
Smokestack,CaSTLe,13,10,"08/09/2015, 11:00",QUARTERS,Final
Beachfront Property,Black Market,11,14,"08/09/2015, 11:00",QUARTERS,Final
Brickyard,Midnight Meat Train,15,7,"08/09/2015, 09:00",PRE-QUARTERS,Final
City Park Ultimate,SmokeStack,8,15,"08/09/2015, 09:00",PRE-QUARTERS,Final
MKE,Wisconsin Hops,15,11,"08/09/2015, 09:00",PRE-QUARTERS,Final
Imperial,Scythe,15,12,"08/09/2015, 09:00",PRE-QUARTERS,Final
Smokestack,Mad Men,16,14,"08/09/2015, 09:00",PRE-QUARTERS,Final
Illusion,CaSTLe,12,15,"08/09/2015, 09:00",PRE-QUARTERS,Final
Beachfront Property,Climax,15,9,"08/09/2015, 09:00",PRE-QUARTERS,Final
Haymaker,Black Market,11,15,"08/09/2015, 09:00",PRE-QUARTERS,Final
bracket,3RD PLACE GAME
Black Market,MKE,15,8,"08/09/2015, 15:00",3RD PLACE GAME,Final
bracket,5TH PLACE BRACKET
CaSTLe,SmokeStack,15,6,"08/09/2015, 15:00",5TH PLACE GAME,Final
Beachfront Property,CaSTLe,11,13,"08/09/2015, 13:00",5TH PLACE SEMIS,Final
Imperial,SmokeStack,11,13,"08/09/2015, 13:00",5TH PLACE SEMIS,Final
bracket,7TH PLACE GAME
Beachfront Property,Imperial,9,11,"08/09/2015, 15:00",7TH PLACE GAME,Final
bracket,9TH PLACE BRACKET
Wisconsin Hops,Climax,15,8,"08/09/2015, 15:00",9TH PLACE,Final
City Park Ultimate,Wisconsin Hops,9,15,"08/09/2015, 13:00",9TH PLACE SEMIS,Final
Illusion,Climax,12,14,"08/09/2015, 13:00",9TH PLACE SEMIS,Final
Midnight Meat Train,City Park Ultimate,13,15,"08/09/2015, 11:00",9TH PLACE QUARTERS,Final
Wisconsin Hops,Scythe,15,12,"08/09/2015, 11:00",9TH PLACE QUARTERS,Final
Mad Men,Illusion,14,15,"08/09/2015, 11:00",9TH PLACE QUARTERS,Final
Climax,Haymaker,15,14,"08/09/2015, 11:00",9TH PLACE QUARTERS,Final
bracket,T-13TH PLACE GAME #1
Midnight Meat Train,Scythe,7,15,"08/09/2015, 15:00",T- 13TH PLACE,Final
bracket,T-13TH PLACE GAME #2
Mad Men,Haymaker,0,1,"08/09/2015, 15:00",T-13TH PLACE,Final
bracket,17TH PLACE BRACKET
Ascension,Spoiler,15,9,"08/09/2015, 13:00",17TH PLACE,Final
Black Market II,Ascension,10,15,"08/09/2015, 11:00",17TH PLACE SEMIS,Final
Dirty D,Spoiler,7,15,"08/09/2015, 11:00",17TH PLACE SEMIS,Final
Bounty Hunters,Black Market II,11,15,"08/09/2015, 09:00",17TH PLACE QUARTERS,Final
Ascension,Spin-Itch,15,13,"08/09/2015, 09:00",17TH PLACE QUARTERS,Final
Black Sheep,Dirty D,13,14,"08/09/2015, 09:00",17TH PLACE QUARTERS,Final
Spoiler,CAKti,15,12,"08/09/2015, 09:00",17TH PLACE QUARTERS,Final
bracket,19TH PLACE GAME
Black Market II,Dirty D,11,3,"08/09/2015, 15:00",19TH PLACE GAME,Final
bracket,21ST PLACE BRACKET
Bounty Hunters,CAKti,8,13,"08/09/2015, 15:00",21ST PLACE GAME,Final
Bounty Hunters,Spin-Itch,15,9,"08/09/2015, 13:00",21ST PLACE SEMIS,Final
Black Sheep,CAKti,0,1,"08/09/2015, 13:00",21ST PLACE SEMIS,Final
bracket,23RD PLACE GAME
Spin-Itch,Black Sheep,1,0,"08/09/2015, 15:00",23RD PLACE GAME,Final
b,r,e,a,k
pools,OPEN CONSOLATION POOL PLAY
pool,Pool G
NorthStar HOUSE United,Kekionga,15,13,"08/09/2015, 11:00",Pool G,Final
Pocket City Approach,Kekionga,10,15,"08/09/2015, 13:00",Pool G,Final
Pocket City Approach,NorthStar HOUSE United,12,15,"08/09/2015, 15:00",Pool G,Final
b,r,e,a,k
