Old Capital Open 2015,College - Men ,28,3,2015
https://play.usaultimate.org/events/Old-Capital-Open-2015/schedule/Men/CollegeMen/
Purdue,5
St John's,19
0,Omar Cano
2,Colton Motschenbacher
3,NOAH SPEETER
4,Caleb Hammel
5,Charlie Schuweiler
7,John Schmelzer 
8,Jeffrey McGurran
9,Mitch Rotert
11,Justin Wollin
12,Dylan Standafer
13,Sam Eherenman
15,MAXFIELD ROTERT
16,TYLER TORBORG
17,Aaron Wildenborg
18,Tyler Meyer
20,zachary borer
22,Patrick Ellingson
25,Jacob Kempenich
34,Aaron Hove
35,Jonathan Paquette
37,ZACHARY JACOBSEN
44,Christopher Camber
52,MATTHEW BERTHIAUME
84,Edward Mallak
88,Alec McFarlane
b,r,e,a,k
Drake,21
0,Eric Olsen
2,Huynh Vo
5,Ben Ransom
6,Nathaniel Rowe
9,Daniel Hansen
10,Robert Mitchell McCarthy
13,Neal Patel
19,Timothy Webber
21,Noah Werling
26,WARD  WESTRAY
54,Alex Stumphauzer
61,Thomas Rauch
69,Alonzo Garza
95,We Li Ng
99,Dylan DeClerck
b,r,e,a,k
North Dakota State,15
00,Zach Foltz
00,Douglas Molitor
00,Zachary Dawson
00,Matthew Kreutzfeldt 
00,BRETT OCH
00,Drew Flanagan
00,Thomas Blommel
00,Mike Roszak
00,REED PEER
03,JAMES CORCORAN
14,Benjamin Nelson
15,BRADY OCH
28,David Lacher
b,r,e,a,k
Wisconsin-La Crosse,11
00,Aaron Bennett
01,Tyler Latham
03,Jack Meyers
04,Simon Stuttgen
05,Brett Anderson
07,SHAUN FLEISCHHACKER
08,Ryan Sokup
10,Andy Conway
12,NICHOLAS BYRON
16,ALEC FLYNN
22,Jesse Wolfe
23,Evan Handley
25,Jeremy Schroeder
27,Erik Read
31,MARK MIRESSE
84,Jake Kretschmer
b,r,e,a,k
Missouri S&T,3
0,Richard Murphy
0,Tyler Hembrock
0,Jason Jarquio
0,David Swed
0,Ryan Zink
0,Dalton Buchanan
0,Robert Eshelman
0,Robert Taylor
0,Lucas Weiler
0,Braedon Bockwinkel
0,Mateo Mrnjavac
0,Padraic Hennessey
0,Steven James Richardson
0,Robert Palmer
0,Mark Murray
0,George Malinee
0,David Szatkowski
0,William (Billy) Imming
1,Byron Erand
4,John Mauntel
5,Mark McBride
7,Dillon Feely
10,David Dalton
12,Daniel Drury
13,Brendan Curran
15,MICHAEL STARSHAK
16,David Druzynski
18,EVIN BARBER
19,Eric LaPietra
21,William (Will) Imming
21,Brody Johnson
25,Kelly Mauntel
28,Zachary Johnson
29,Thomas Preston
30,Trevor Nenninger
32,Cedric Jones
39,Sandy Gu
40,Neil Wessling
42,Ian  Beckler
44,ROBERT REYNOLDS
48,Justin Flynn
52,JUSTIN  LAMBERT
63,Louie Bertoncin
80,Nicholas Spitznagel
86,Matt LaFever
b,r,e,a,k
Luther (B),7
0,Jarrod Klopp
0,Nathan Riley
1,Ethan Harris
6,ERIK DOTSETH
7,Benjamin Harney
10,Michael Jungbluth
12,Edward Shimkat
13,Michael Callen
14,DANIEL HERMAN
21,Adam Winter
23,Micah Thorson
25,Tyler Crowe
48,Anthony Chase
49,JOHN EVANS
61,Stephen Shatzer
77,Brian Eachus
87,Benjamin Oanes
b,r,e,a,k
Nebraska-Omaha,4
00,Todd Sutter
00,Dexter Renter
00,Riley Johnson
00,Robert Gibbs
00,Matt Reinhart
00,EVAN VARNER
00,Ben Melcher
02,Sean Rock
25,Chas Busch
b,r,e,a,k
Missouri State,8
0,Cameron Yuan
2,TOM CANNON
6,Tim Trehy
7,Aaron Parkhurst
8,Kent Mastroianni
23,Jackson Reid
36,Joshua Holsten
87,Darren Yount
b,r,e,a,k
Winona State,12
0,SEBASTIAN ROMAN
0,JORDAN HIBEN
1,TYLER HEATH
3,Kevin Krebs
4,Edward Schmit
7,COLIN HANZEL
8,Tate Halberg
10,Nick  Snyder
14,BRIAN BARBELN
15,Benjamin Streukens
17,Josiah Nelson
18,Jesse Illian
21,Brent Gothmann
22,ARDEN PIFER
24,Ryan Baillif
26,NATHANIEL LILL
28,Caleb Bednarski
29,Nicholas Helberg
42,Brandon Matis
72,Billy Peterson
76,Merritt Ogren
b,r,e,a,k
South Dakota Mines,20
02,Brent Stoltz
03,Mark Undseth
05,Drew Peterson
06,Ryan Turnwall
09,Raymond  Hale
10,Taylor Schoenfelder
12,Max Reetz
16,Josh Witte
20,Lucas Simonson
23,Evan Tellinghuisen
27,Kyle Hohn
29,Caleb Mueller
30,Andrew Uttecht
33,Tyler Kleinsasser
39,Timothy Prohofsky
42,Dana Jensen
52,Alysia Korn
62,Marcus Cannon
71,Michael Huebsch
99,Daniel Funk
b,r,e,a,k
Iowa State (B),16
0,TANNER CLEVENGER
0,Alec Wehmeier
0,Rahul Seshappa
0,Merritt Harvey
0,Ethan Datwyler
2,Jon Olson
3,CHAS EMMERSON
5,Daniel Sullivan
10,Jesse Holtschlag
12,Nick Pigott
22,Jack Munkeby
29,Colton Purdy
36,Alex Kraft
51,Jackson Meyers
57,ADAM PELTIER
88,Alex Van Buer
89,Michael Sandstrom
b,r,e,a,k
Cornell College,22
0,Raisa Ebner
0,Tristan Goodwin
0,Moira Differding
0,Bradley Kane
0,Alexandra Brewster
0,Brian Hixson-Simeral
0,Matthew Lewis
0,Elijah Schumacher
5,Joe Sterchele
8,Matthew Yafcak
9,Samuel Caldwell
15,Akash Surti
37,Marco Renzi
44,Michael Christiansen
67,Timothy Foster-Frau
81,Alfred Eiji Braceros
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Iowa,St Thomas,13,4,"03/28/2015, 08:30",Pool A
Western Michigan,DePaul,13,8,"03/28/2015, 08:30",Pool A
Iowa,Western Michigan,13,6,"03/28/2015, 10:30",Pool A
Purdue,DePaul,13,3,"03/28/2015, 10:30",Pool A
DePaul,St Thomas,8,13,"03/28/2015, 12:30",Pool A
Purdue,Western Michigan,12,10,"03/28/2015, 12:30",Pool A
Iowa,DePaul,13,1,"03/28/2015, 14:30",Pool A
Purdue,St Thomas,13,5,"03/28/2015, 14:30",Pool A
Iowa,Purdue,11,13,"03/28/2015, 16:30",Pool A
Western Michigan,St Thomas,13,6,"03/28/2015, 16:30",Pool A
pool,Pool B
Minnesota-Duluth,Wisconsin-River Falls,13,3,"03/28/2015, 08:30",Pool B
Kansas,Valparaiso,13,5,"03/28/2015, 10:30",Pool B
Valparaiso,Wisconsin-River Falls,13,6,"03/28/2015, 12:30",Pool B
Minnesota-Duluth,Valparaiso,13,3,"03/28/2015, 14:30",Pool B
Kansas,Wisconsin-River Falls,13,1,"03/28/2015, 14:30",Pool B
Minnesota-Duluth,Kansas,13,9,"03/28/2015, 16:30",Pool B
Wisconsin (B),Valparaiso,13,7,"03/28/2015, 20:30",Pool B
Minnesota-Duluth,Wisconsin (B),13,9,"03/28/2015, 22:30",Pool B
Kansas,Wisconsin (B),13,8,"03/29/2015, 12:30",Pool B
Wisconsin (B),Wisconsin-River Falls,9,0,"03/29/2015, 04:30",Pool B
pool,Pool C
Missouri S&T,Wisconsin-La Crosse,12,14,"03/28/2015, 08:30",Pool C
Missouri S&T,Luther (B),13,11,"03/28/2015, 10:30",Pool C
Luther (B),Drake,9,13,"03/28/2015, 12:30",Pool C
North Dakota State,Drake,6,13,"03/28/2015, 14:30",Pool C
Missouri S&T,Drake,6,13,"03/28/2015, 14:30",Pool C
Luther (B),Wisconsin-La Crosse,4,13,"03/28/2015, 14:30",Pool C
Wisconsin-La Crosse,North Dakota State,10,13,"03/28/2015, 16:30",Pool C
Wisconsin-La Crosse,Drake,6,13,"03/28/2015, 16:30",Pool C
Missouri S&T,North Dakota State,10,13,"03/28/2015, 18:30",Pool C
Luther (B),St John's,4,13,"03/28/2015, 20:30",Pool C
North Dakota State,St John's,11,13,"03/28/2015, 20:30",Pool C
St John's,Drake,12,10,"03/28/2015, 22:30",Pool C
Luther (B),North Dakota State,13,8,"03/28/2015, 22:30",Pool C
Wisconsin-La Crosse,St John's,8,13,"03/29/2015, 12:30",Pool C
Missouri S&T,St John's,10,13,"03/29/2015, 04:30",Pool C
pool,Pool D
Nebraska-Omaha,Winona State,13,9,"03/28/2015, 08:30",Pool D
Winona State,Iowa State (B),13,9,"03/28/2015, 10:30",Pool D
Nebraska-Omaha,Iowa State (B),11,9,"03/28/2015, 12:30",Pool D
Winona State,South Dakota Mines,15,13,"03/28/2015, 12:30",Pool D
Missouri State,South Dakota Mines,13,11,"03/28/2015, 14:30",Pool D
Iowa State (B),South Dakota Mines,9,13,"03/28/2015, 14:30",Pool D
Nebraska-Omaha,Missouri State,13,10,"03/28/2015, 16:30",Pool D
Nebraska-Omaha,South Dakota Mines,13,6,"03/28/2015, 16:30",Pool D
Missouri State,Winona State,13,6,"03/28/2015, 20:30",Pool D
Missouri State,Iowa State (B),13,6,"03/28/2015, 22:30",Pool D
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
Kansas,Iowa,7,6,"03/29/2015, 14:30",Finals
Purdue,Kansas,11,12,"03/29/2015, 12:30",Semis
Iowa,Minnesota-Duluth,11,10,"03/29/2015, 12:30",Semis
Purdue,Drake,13,2,"03/29/2015, 10:30",Quarters
Kansas,Nebraska-Omaha,12,10,"03/29/2015, 10:30",Quarters
Iowa,St John's,13,6,"03/29/2015, 22:30",Quarters
Western Michigan,Minnesota-Duluth,4,13,"03/29/2015, 10:30",Quarters
Purdue,South Dakota Mines,13,7,"03/29/2015, 08:30",Pre-Quarters
Drake,Wisconsin (B),11,10,"03/29/2015, 20:30",Pre-Quarters
Kansas,North Dakota State,13,5,"03/29/2015, 14:30",Pre-Quarters
Nebraska-Omaha,St Thomas,12,11,"03/29/2015, 08:30",Pre-Quarters
Iowa,Winona State,13,5,"03/29/2015, 08:30",Pre-Quarters
St John's,Valparaiso,12,7,"03/29/2015, 20:30",Pre-Quarters
Missouri State,Western Michigan,12,13,"03/29/2015, 14:30",Pre-Quarters
Minnesota-Duluth,Wisconsin-La Crosse,13,4,"03/29/2015, 08:30",Pre-Quarters
bracket,Third Place
Purdue,Minnesota-Duluth,13,4,"03/29/2015, 14:30",3rd Place Game
bracket,Fifth Place Bracket
Drake,St John's,5,10,"03/30/2015, 02:30",5th Finals
Drake,Nebraska-Omaha,11,8,"03/29/2015, 12:30",5th Semis
St John's,Western Michigan,9,6,"03/30/2015, 12:30",5th Semis
bracket,Seventh Place
Nebraska-Omaha,Western Michigan,10,9,"03/29/2015, 14:30",7th Place Game
bracket,Ninth Place Bracket
North Dakota State,Wisconsin-La Crosse,4,9,"03/29/2015, 20:30",9th Finals
South Dakota Mines,North Dakota State,10,12,"03/29/2015, 18:30",9th Semis
Valparaiso,Wisconsin-La Crosse,10,12,"03/29/2015, 12:30",9th Semis
South Dakota Mines,Wisconsin (B),11,10,"03/29/2015, 22:30",9th Quarters
North Dakota State,St Thomas,9,7,"03/29/2015, 16:30",9th Quarters
Winona State,Valparaiso,11,13,"03/29/2015, 10:30",9th Quarters
Missouri State,Wisconsin-La Crosse,9,13,"03/29/2015, 16:30",9th Quarters
bracket,Eleventh Place
South Dakota Mines,Valparaiso,0,6,"03/29/2015, 14:30",11th Place Game
bracket,Thirteenth Bracket
Wisconsin (B),Winona State,10,13,"03/30/2015, 02:30",13th Finals
Wisconsin (B),St Thomas,1,0,"03/30/2015, 12:30",13th Semis
Winona State,Missouri State,1,0,"03/29/2015, 18:30",13th Semis
bracket,Fifteenth Place
St Thomas,Missouri State,0,0,"03/29/2015, 20:30",15th Place Game
bracket,Seventeenth Place Bracket
Missouri S&T,Luther (B),10,13,"03/29/2015, 12:30",17th Finals
Missouri S&T,Iowa State (B),10,8,"03/29/2015, 10:30",17th Semis
DePaul,Luther (B),9,13,"03/29/2015, 10:30",17th Semis
Wisconsin-River Falls,Iowa State (B),9,13,"03/29/2015, 08:30",17th Quarters
bracket,Nineteenth Place
Iowa State (B),DePaul,7,6,"03/29/2015, 12:30",19th Place Game
bracket,Twenty-first Place
Wisconsin-River Falls,DePaul,0,1,"03/29/2015, 02:30",20th Place Game
b,r,e,a,k
