So Cal Mixed Sectionals,Club - Mixed ,29,8,2015
Riverside,CA,2015-08-29,2015-08-30
https://play.usaultimate.org/events/So-Cal-Mixed-Sectionals-2015/schedule/Mixed/Club-Mixed
Dorado,1
0,KEENAN HERBON
0,Tonya Shank
0,Kory Helms
2,Ian Robinson
7,William (Maclyn) Eick
7,Eric Brach
19,Juliana Jordan
21,Mike Bevers
31,Kevin Lenaburg
34,Andy Sammons
99,Shar Stuht
b,r,e,a,k
Ozone,12
teamInfo,,"Phoenix, Arizona",,,
0,Hannah Dinell
0,Linnette Cruz
0,Josh Ablian
0,Graham Ray
0,Everett Johnson
0,Douglas Elijew
0,ALAN JEFFRIES
0,Javen Jordan
0,Brian Parma
6,David Bruns
7,JEFFREY NAPPI
7,AUSTIN CROUSE
11,Andrea Torvinen
11,Mike  Hall
12,Dalton Heppler
14,Sarah Hill
14,Manuel Belloso
16,Jennifer Dai
21,Crista Fleagle
23,SHASHANK SASIDHARAN
33,Inga Nappi
42,Nithya Subramanian
88,BILL CHRISTENSEN
b,r,e,a,k
Naughty Love,6
teamInfo,,"Huntington Beach, California",,https://www.facebook.com/profile.php?id=100008136400943,
0,NICOLE  KELDER
0,RACHEL SMITH
0,ANDREW BOYLE
0,Mike Schlesinger
0,KEN BOGLE
0,Yola Lin
0,Chris Van Thiel
0,Douglas Wolf
0,Kelsey Wittig
0,AIMEE BUTTERFIELD
0,Dan Desmond
0,Andrew Brown
0,RACHEL BROWN
8,Steven Lowe
9,PAUL STROIK
10,Ethan Scherch
17,Sheila Robles
17,Emily Harrington
23,Enrique Carranza
32,Dennis Clement
38,PHILIP HANSEN
b,r,e,a,k
Del Sol,4
teamInfo,,"Phoenix, Arizona",,,twitter.com/DelSolUltimate
0,TYLER HOLLMANN
01,JUSTIN DHEIN
02,Laura Kuhse
03,Ashley Stahl
05,Jake Hadziev
07,Cynthia Thomas
08,ROBIN GREENE
09,Ryan Blackman
10,Maggie Rock
11,Melissa Dunn
14,Sarah Aber
18,Amanda Loh
19,NICHOLAS RODECK
27,Laura Tan
30,Michael Simeone
33,Jonathan Bridges
33,TOM STUDER
34,Fernando Lugo
37,John Barber
40,Breanna Bryant
58,Dean  Spitzer
71,GREG KENDALL
80,Paul Otto
83,Elizabeth Deming
88,Andrew North
99,Dylan George-Sills
b,r,e,a,k
Remedy,11
teamInfo,,"Phoenix, Arizona",,,https://twitter.com/Remedy_Ultimate
0,Nathan Brodie
01,Kylie Capite
02,PATRICK FRANCIA
03,Alan Bowers
04,Liann Kline
04,Cody Vander Weyst
05,Robert Van Hassel
06,ASHLEY HALL
09,Devon Hankins
11,Katlyn Kaiser
12,MICHAEL DEMMITT
13,Cheyenne Lopez
14,Daniel Krass
15,Melissa Merrick
16,Jeffrey Budd
17,Rudy Jimenez
20,Maressa Mistretta
21,Tim Camper
22,Clifford Capria
29,ALLYSON PACINI
33,Nick Marcus
45,RYAN FULLEMAN
47,Amanda Kaestner
88,Landon Hill
99,Andrea Spence
b,r,e,a,k
Nichibei Drift,13
teamInfo,,"Phoenix, Arizona",,,
0,Satoru Ishii
00,Jessie Davidson
00,Karli Raimondo
00,Aaron Flegenheimer
00,JARED AHERN
00,Michael King
00,Aaron Leung
01,Yoshitaka Mizuno
04,Ryosuke Shimizu
06,Shawn Courson
06,June Yeoh
07,ANDREW KUNIEDA
07,Josh Walker
09,Atsuko  Takumi
11,Hanae Mizuno
12,Stefen Hillman
13,JACOB KUNA
14,MICHAEL GRAZZINI
15,MARK KARLSRUD
16,Eriko Kojima
17,Daishi Tamba
24,Kayo Tsujita
24,Samuel Sutton
47,RYAN SULLIVAN
55,James Parker
56,Rie Maruyama
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Fastlane,Fiesta,16,14,"08/29/2015, 08:30",Pool A,Final
Dorado,Fiesta,17,6,"08/29/2015, 10:30",Pool A,Final
Dorado,Fastlane,15,10,"08/29/2015, 12:30",Pool A,Final
pool,Pool B
7 Figures,Instant Karma,13,4,"08/29/2015, 09:00",Pool B,Final
Family Style,Humphreys,10,12,"08/29/2015, 09:00",Pool B,Final
7 Figures,Humphreys,13,0,"08/29/2015, 10:45",Pool B,Final
Family Style,Instant Karma,6,10,"08/29/2015, 10:45",Pool B,Final
7 Figures,Family Style,13,1,"08/29/2015, 12:30",Pool B,Final
Instant Karma,Humphreys,13,4,"08/29/2015, 12:30",Pool B,Final
pool,Pool C
Dauntless,Ozone,13,1,"08/29/2015, 09:00",Pool C,Final
Rubix,Crippled Frown Tour,13,10,"08/29/2015, 09:00",Pool C,Final
Dauntless,Crippled Frown Tour,13,7,"08/29/2015, 10:45",Pool C,Final
Rubix,Ozone,13,3,"08/29/2015, 10:45",Pool C,Final
Dauntless,Rubix,13,7,"08/29/2015, 12:30",Pool C,Final
Ozone,Crippled Frown Tour,3,13,"08/29/2015, 12:30",Pool C,Final
pool,Pool D
Del Sol,Remedy,13,7,"08/29/2015, 09:00",Pool D,Final
