College Southerns 2015,College - Men ,21,3,2015
Statesboro,GA,2015-03-21,2015-03-22
https://play.usaultimate.org/events/College-Southerns-2015/schedule/Men/CollegeMen/
Minnesota-Duluth,1
South Carolina,Old Dominion,13,7,"03/21/2015, 14:00",Pool C,Final
Wright State,North Carolina-Charlotte,5,11,"03/21/2015, 14:00",Pool C,Final
Old Dominion,North Carolina-Charlotte,10,11,"03/21/2015, 15:30",Pool C,Final
Wright State,Old Dominion,11,1,"03/21/2015, 17:00",Pool C,Final
Miami,North Carolina-Charlotte,11,8,"03/21/2015, 20:00",Pool C,Final
Georgia College,Old Dominion,10,6,"03/21/2015, 20:00",Pool C,Final
Wright State,Miami,12,11,"03/21/2015, 21:30",Pool C,Final
Georgia College,Miami,9,11,"03/21/2015, 23:00",Pool C,Final
Miami,Old Dominion,11,4,"03/22/2015, 12:30",Pool C,Final
South Carolina,Miami,11,5,"03/22/2015, 02:00",Pool C,Final
pool,Pool D
Tennessee-Chattanooga,Emory,11,7,"03/21/2015, 08:00",Pool D,Final
Towson,Georgia (B),7,11,"03/21/2015, 08:00",Pool D,Final
Tennessee-Chattanooga,Towson,11,8,"03/21/2015, 09:30",Pool D,Final
Emory,George Mason,9,11,"03/21/2015, 09:30",Pool D,Final
Tennessee-Chattanooga,George Mason,11,6,"03/21/2015, 11:00",Pool D,Final
Emory,Georgia (B),10,11,"03/21/2015, 11:00",Pool D,Final
Towson,Emory,11,6,"03/21/2015, 12:30",Pool D,Final
George Mason,Georgia (B),11,9,"03/21/2015, 12:30",Pool D,Final
George Mason,Florida (B),11,6,"03/21/2015, 14:00",Pool D,Final
Tennessee-Chattanooga,Georgia (B),11,6,"03/21/2015, 14:00",Pool D,Final
Towson,George Mason,6,11,"03/21/2015, 14:00",Pool D,Final
Georgia (B),Florida (B),5,11,"03/21/2015, 15:30",Pool D,Final
Towson,Florida (B),6,11,"03/21/2015, 17:00",Pool D,Final
Tennessee-Chattanooga,Florida (B),10,7,"03/21/2015, 18:30",Pool D,Final
Emory,Florida (B),10,11,"03/21/2015, 20:00",Pool D,Final
pool,Pool E
Florida State (B),South Florida (B),11,6,"03/21/2015, 08:00",Pool E,Final
Armstrong Atlantic,South Florida (B),11,8,"03/21/2015, 12:30",Pool E,Final
Florida State (B),Armstrong Atlantic,11,4,"03/21/2015, 14:00",Pool E,Final
Georgia Southern,Florida State (B),11,5,"03/21/2015, 15:30",Pool E,Final
Georgia Southern,Armstrong Atlantic,5,10,"03/21/2015, 15:30",Pool E,Final
Georgia Southern,Armstrong Atlantic,11,6,"03/21/2015, 17:00",Pool E,Final
Georgia Southern,South Florida (B),10,9,"03/21/2015, 17:00",Pool E,Final
Florida State (B),Georgia Southern,11,3,"03/21/2015, 18:30",Pool E,Final
Georgia Southern,Georgia Southern,11,5,"03/21/2015, 20:00",Pool E,Final
Armstrong Atlantic,Princeton (B),11,4,"03/21/2015, 20:00",Pool E,Final
Georgia Southern,South Florida (B),11,5,"03/21/2015, 20:00",Pool E,Final
South Florida (B),Princeton (B),7,1,"03/21/2015, 21:30",Pool E,Final
Florida State (B),Princeton (B),11,1,"03/21/2015, 23:00",Pool E,Final
Georgia Southern,Princeton (B),11,5,"03/22/2015, 06:30",Pool E,Final
Georgia Southern,Princeton (B),4,6,"03/22/2015, 08:00",Pool E,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Minnesota-Duluth,South Carolina,0,0,"03/22/2015, 12:00",Semifinals,Cancelled
Tennessee-Chattanooga,Georgia College,0,0,"03/22/2015, 12:00",Semifinals,Cancelled
Minnesota-Duluth,Wright State,15,11,"03/22/2015, 10:00",Quarterfinals,Final
George Mason,South Carolina,12,14,"03/22/2015, 10:00",Quarterfinals,Final
Tennessee-Chattanooga,Carleton College-GOP,15,12,"03/22/2015, 08:00",Quarterfinals,Final
Georgia Southern,Georgia College,10,15,"03/22/2015, 08:00",Quarterfinals,Final
Minnesota-Duluth,Georgia (B),15,8,"03/22/2015, 08:00",Pre-Quarters,Final
Wright State,Princeton,15,8,"03/22/2015, 08:00",Pre-Quarters,Final
George Mason,South Florida,15,6,"03/22/2015, 08:00",Pre-Quarters,Final
South Carolina,North Georgia,15,5,"03/22/2015, 08:00",Pre-Quarters,Final
Tennessee-Chattanooga,Samford,15,8,"03/22/2015, 08:00",Pre-Quarters,Final
Carleton College-GOP,Miami,15,11,"03/22/2015, 08:00",Pre-Quarters,Final
Georgia Southern,Florida (B),12,6,"03/22/2015, 08:00",Pre-Quarters,Final
Appalachian State,Georgia College,11,14,"03/22/2015, 08:00",Pre-Quarters,Final
bracket,3rd Place
bracket,5th Place
Wright State,Carleton College-GOP,0,0,"03/22/2020, 12:00",Loss to 7th,Cancelled
George Mason,Georgia Southern,0,0,"03/22/2020, 12:00",Loss to 7th,Cancelled
bracket,7th Place
bracket,9th Place
Princeton,South Florida,0,0,"03/22/2020, 12:00",Loss to 11th, 
Miami,Appalachian State,0,0,"03/23/2015, 00:00",Loss to 11th,Scheduled
Georgia (B),Princeton,9,12,"03/22/2015, 10:00",Loss to 13th,Final
South Florida,North Georgia,15,5,"03/22/2015, 10:00",Loss to 13th,Final
Miami,Samford,15,13,"03/22/2015, 22:00",Loss to 13th,Final
Florida (B),Appalachian State,10,15,"03/22/2015, 16:00",Loss to 13th,Final
bracket,11th Place
bracket,13th Place
Georgia (B),Florida (B),0,0,"03/22/2015, 18:00",Loss to 15th,Scheduled
North Georgia,Samford,0,0,"03/22/2020, 12:00",Loss to 15th, 
bracket,15th Place
b,r,e,a,k
brackets,Chumpionship
bracket,17th Place
Mississippi State,Emory,0,0,"03/22/2015, 12:00",The Penultimate Chump,Scheduled
Old Dominion,South Florida (B),0,0,"03/22/2015, 18:00",The Penultimate Chump,Scheduled
Mississippi State,Georgia Southern,15,12,TBA,Third Chumps the Charm,Final
North Carolina-Charlotte,Emory,10,13,"03/22/2015, 10:00",Third Chumps the Charm,Final
Old Dominion,Armstrong Atlantic,15,11,"03/22/2015, 16:00",Third Chumps the Charm,Final
Towson,South Florida (B),0,1,"03/22/2015, 10:00",Third Chumps the Charm,Final
Old Dominion,South Florida (B),15,10,"03/22/2015, 14:00",Are we chumpions or are we dancer,Final
Armstrong Atlantic,Florida State (B),9,7,"03/22/2015, 08:00",Are we chumpions or are we dancer,Final
Princeton (B),Georgia Southern,0,1,"03/23/2015, 02:00",Are we chumpions or are we dancer,Final
Georgia Southern,Emory,5,15,"03/22/2015, 14:00",Are we chumpions or are we dancer,Final
bracket,19th Place
bracket,21st Place
Armstrong Atlantic,North Carolina-Charlotte,0,0,"03/22/2020, 12:00",Loss to 23rd, 
Towson,Georgia Southern,0,0,"03/22/2015, 18:00",Loss to 23rd,Scheduled
bracket,23rd Place
bracket,25th Place
Charleston,Princeton (B),0,0,"03/23/2015, 00:00",25th Place,Scheduled
Florida State (B),Charleston,9,12,"03/22/2015, 10:00",Loss to 27,Final
Princeton (B),Georgia Southern,1,0,"03/23/2015, 04:00",Loss to 27,Final
bracket,27th Place
Florida State (B),Georgia Southern,0,0,"03/22/2015, 20:00",27th Place,Cancelled
b,r,e,a,k
