USA Ultimate National Championships,Club - Mixed ,1,10,2015
Frisco,TX,2015-10-01,2015-10-04
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2015/schedule/Mixed/Club-Mixed
Seattle Mixtape,8
20,JOHN KLAASSEN
21,Dylan Harrington
22,Lacy Clark
24,Andrew Lynch
31,Natalie Jamerson
33,Spencer Sheridan
40,Ky Lewis IV
43,PETER BURROWS
47,Walker Bohannan
51,Lindsay Lang
67,Kelley Hall
69,Lillian Bailey
85,Benjamin Beehner
89,Sophia Scofield-Selby
b,r,e,a,k
Love Tractor,10
01,Spencer Norman
02,KIM HUTTON
03,Peter Cowiestoll Wilson
04,Jack (John) McShane
05,David Protter
06,John (Clay) Heinzel-Nelson
07,Brian Carroll
08,Scott Forrester
11,Liza Boyle
12,Joe Iannacone
13,Christine Kamin
14,Stephanie Redfern
15,Lauren Rindels
17,Brady Cowiestoll
18,STEPHANIE FROST
19,CHLOE RIES
20,Amelia Zutz
21,BRIAN KIERNAN
22,JACLYN PHIPPS
23,Camden Kittredge
25,Vincent Powell
31,Lauren Baecher
33,David Kamin
38,ERIN NEIL
44,Jacob Zax
74,Stanley Strunk
86,Robert Justice
b,r,e,a,k
UPA,16
00,Laura Moore
01,Tim Halt
02,Michael Shiel
03,Michael Egan
04,Alex Drlica-Wagner
05,Lizzy Shiel
06,William Finn
07,Raju Prasad
08,Christine Huffer
09,Rory Gallagher
10,Jessica Schulz
11,Geoff Serednesky
12,Andrew Delorenzo
13,DANE OLSEN
14,Akira Yamaguchi
16,Jaclyn Herr
17,NATALIE WU
18,Richard Berger
20,Katherine Olsen
21,John Kolb
23,Lindsey Hack
28,Hensley Sejour
29,Brian Schulz
41,Gary LeDonne
43,Kelly Bolt
88,Valentina Shiel (Ngai)
b,r,e,a,k
Slow White,4
02,CASSIDY EDWARDS
03,Alison Main
04,Dave Truesdale
05,Shaun Doherty
06,Shaun Krieger
07,Davis Whitehead
08,Ryan Richardson
09,Jeff Smith
10,Michael Miller
11,Evan Patisteas
12,Christopher Waite
13,DAN PATISTEAS
14,Hannah Baranes
16,Erin Rea
17,Kirsten Lundquist
18,Caitlin O'Connell
20,India Stubbs
21,Stephen Sullivan
24,Andy Schachter
25,Alexander Trahey
27,Ernest Svenson
28,Kaelin Mackey
42,Mary Glickman
55,Todd Herman
69,Adrienne Altobelli
71,Julie Sussman
89,Annie Fisher
b,r,e,a,k
Blackbird,5
00,John Sandahl
02,CHRIS HART
04,Deanna Bjorkquist
05,Thomas Hendrickson
08,Amanda Dauphinee
09,Adam Farren
10,Krisztina Finn
11,Barrs Lang
12,Lauren Casey
14,Mia Hagen
18,Casey Ikeda
21,ADAM SCOW
22,NICHOLAS SLOVAN
23,Remy Schor
24,Daniel Daniel Gillick
26,KAREN KO
28,Sheeva Slovan
29,VY Chow
33,Cody Rebholz
40,Mac Taylor
42,AARON CAULFIELD
51,Ryan Scribner
64,Justin Norden
82,TRACY WOO
b,r,e,a,k
AMP,9
00,Melissa Devlin
01,Robert Roos
02,Matt Zumbrum
03,Nicholas Purifico
04,Raha Mozaffari
06,Kelsey Devlin
07,Ben Parrell
08,Charles Weinberg
09,Andrea Desabato
10,Calvin Trisolini
12,Fern Beetle Moorcroft
13,Nico Lake
14,Stuart Hean
15,Max Charles
17,Stephen Ng
18,Emily Shields
20,Ben Pelleg
21,Kevin McCormick
22,Allysha Dixon
26,KATIE ERIKSON
33,Katy Stanton
36,Carolyn Normile
40,Jessica Glazer
44,Owen Murphy
46,Austin Bonelli
88,Matt Carter
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Drag'n Thrust,NOISE,13,11,"10/01/2015, 11:15",Pool A,Final
Seattle Mixtape,7 Express,15,5,"10/01/2015, 11:15",Pool A,Final
Drag'n Thrust,7 Express,13,11,"10/01/2015, 15:45",Pool A,Final
Seattle Mixtape,NOISE,15,8,"10/01/2015, 15:45",Pool A,Final
Drag'n Thrust,Seattle Mixtape,9,15,"10/01/2015, 18:00",Pool A,Final
NOISE,7 Express,9,15,"10/01/2015, 18:00",Pool A,Final
pool,Pool B
The Chad Larson Experience,Metro North,17,15,"10/01/2015, 13:30",Pool B,Final
Bucket,Ambiguous Grey,12,14,"10/01/2015, 13:30",Pool B,Final
The Chad Larson Experience,Ambiguous Grey,15,8,"10/01/2015, 15:45",Pool B,Final
Bucket,Metro North,12,8,"10/01/2015, 15:45",Pool B,Final
The Chad Larson Experience,Bucket,15,14,"10/01/2015, 18:00",Pool B,Final
Metro North,Ambiguous Grey,8,13,"10/01/2015, 18:00",Pool B,Final
pool,Pool C
Wild Card,Love Tractor,15,12,"10/01/2015, 13:30",Pool C,Final
Polar Bears,BirdFruit,15,13,"10/01/2015, 13:30",Pool C,Final
Wild Card,BirdFruit,15,6,"10/01/2015, 15:45",Pool C,Final
Polar Bears,Love Tractor,14,8,"10/01/2015, 15:45",Pool C,Final
Wild Card,Polar Bears,15,10,"10/01/2015, 18:00",Pool C,Final
Love Tractor,BirdFruit,8,15,"10/01/2015, 18:00",Pool C,Final
pool,Pool D
Slow White,AMP,15,7,"10/01/2015, 11:15",Pool D,Final
Blackbird,UPA,10,11,"10/01/2015, 11:15",Pool D,Final
Slow White,UPA,10,15,"10/01/2015, 15:45",Pool D,Final
Blackbird,AMP,11,10,"10/01/2015, 15:45",Pool D,Final
Slow White,Blackbird,15,9,"10/01/2015, 18:00",Pool D,Final
AMP,UPA,15,5,"10/01/2015, 18:00",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Seattle Mixtape,Drag'n Thrust,12,14,"10/04/2015, 10:00",1st Place,Final
Seattle Mixtape,Polar Bears,15,13,"10/03/2015, 13:00",Semifinals,Final
Drag'n Thrust,Slow White,13,11,"10/03/2015, 12:00",Semifinals,Final
Seattle Mixtape,Ambiguous Grey,15,13,"10/02/2015, 13:30",Quarterfinals,Final
UPA,Polar Bears,13,14,"10/02/2015, 13:30",Quarterfinals,Final
The Chad Larson Experience,Drag'n Thrust,8,15,"10/02/2015, 13:30",Quarterfinals,Final
Wild Card,Slow White,8,14,"10/02/2015, 13:30",Quarterfinals,Final
Seattle Mixtape,AMP,12,9,"10/02/2015, 11:15",Pre-Quarters,Final
Ambiguous Grey,BirdFruit,15,9,"10/02/2015, 11:15",Pre-Quarters,Final
UPA,NOISE,15,10,"10/02/2015, 11:15",Pre-Quarters,Final
Polar Bears,Bucket,12,11,"10/02/2015, 11:15",Pre-Quarters,Final
The Chad Larson Experience,Love Tractor,15,8,"10/02/2015, 11:15",Pre-Quarters,Final
Drag'n Thrust,Blackbird,14,13,"10/02/2015, 11:15",Pre-Quarters,Final
Wild Card,Metro North,14,8,"10/02/2015, 11:15",Pre-Quarters,Final
Slow White,7 Express,15,8,"10/02/2015, 11:15",Pre-Quarters,Final
b,r,e,a,k
brackets,Pro Flight Bracket
bracket,Pro Flight / 5th Place Bracket
The Chad Larson Experience,Ambiguous Grey,15,9,"10/03/2015, 11:15",5th Place,Final
The Chad Larson Experience,UPA,15,13,"10/02/2015, 15:45",5th Semifinals,Final
Ambiguous Grey,Wild Card,10,9,"10/02/2015, 15:45",5th Semifinals,Final
bracket,Pro Flight Play-In / 7th Place Bracket (A)
UPA,Blackbird,12,15,"10/03/2015, 10:00",Pro Flight Play-In / 7th Place,Final
Blackbird,7 Express,15,10,"10/02/2015, 15:45",9th Semis,Final
Blackbird,BirdFruit,14,12,"10/02/2015, 13:30",9th Quarters,Final
7 Express,Love Tractor,13,11,"10/02/2015, 13:30",9th Quarters,Final
bracket,Pro Flight Play-In / 7th Place Bracket (B)
Metro North,Wild Card,15,9,"10/03/2015, 10:00",Pro Flight Play-In / 7th Place,Final
AMP,Metro North,10,12,"10/02/2015, 15:45",9th Semis,Final
AMP,NOISE,13,9,"10/02/2015, 13:30",9th Quarters,Final
Metro North,Bucket,11,9,"10/02/2015, 13:30",9th Quarters,Final
b,r,e,a,k
brackets,Placement Bracket (Elite Flight)
bracket,11th Place
7 Express,AMP,9,11,"10/03/2015, 09:00",11th Place,Final
bracket,13th Place
Love Tractor,Bucket,13,11,"10/03/2015, 09:00",13th Place,Final
BirdFruit,Love Tractor,7,15,"10/02/2015, 18:00",13th Semifinals,Final
NOISE,Bucket,10,14,"10/02/2015, 18:00",13th Semifinals,Final
bracket,15th Place
BirdFruit,NOISE,13,15,"10/03/2015, 09:00",15th Place,Final
b,r,e,a,k
