Last Call 6,College - Men ,21,3,2015
https://play.usaultimate.org/events/Last-Call-6/schedule/Men/CollegeMen/
Reaper Alum,1
Northern Illinois,Wisconsin (C),13,8,"03/22/2015, 10:30",Ninals Quarters
bracket,11th Place
Wheaton (Illinois),Northern Illinois,13,11,"03/22/2015, 13:30",Finals
b,r,e,a,k
brackets,13th-16th
bracket,13th Place
Valparaiso,Truman State,8,13,"03/22/2015, 01:30",13 Finals
Chicago (B),Valparaiso,7,12,"03/22/2015, 12:00",13 Semis
Truman State,Wisconsin (C),13,5,"03/22/2015, 00:00",13 Semis
bracket,15th Place
Chicago (B),Wisconsin (C),0,1,"03/23/2015, 01:30",15th Place Finals
b,r,e,a,k
brackets,17th-20th
bracket,Consolation Bracket
Washington University (B),Wisconsin-Eau Claire,3,13,"03/23/2015, 00:00",17 Finals
Washington University (B),Illinois State (B),13,3,"03/22/2015, 16:30",17 Semis
Marquette,Wisconsin-Eau Claire,9,11,"03/22/2015, 22:30",17 Semis
Washington University (B),Illinois-Chicago,13,8,"03/22/2015, 15:00",17 Quarters
Illinois State (B),Wisconsin-Milwaukee (B),11,9,"03/22/2015, 15:00",17 Quarters
Southern Indiana,Marquette,5,13,"03/22/2015, 09:00",17 Quarters
Wisconsin-Eau Claire,Southern Illinois,13,1,"03/22/2015, 21:00",17 Quarters
bracket,19th Place
Illinois State (B),Marquette,0,13,"03/22/2015, 18:00",Finals
b,r,e,a,k
brackets,21st-24th
bracket,Consolation Bracket
Illinois-Chicago,Southern Indiana,13,7,"03/22/2015, 18:00",21st Place
Illinois-Chicago,Wisconsin-Milwaukee (B),11,7,"03/22/2015, 16:30",21st Semis
Southern Indiana,Southern Illinois,13,5,"03/22/2015, 10:30",21st Semis
bracket,23rd Place
Wisconsin-Milwaukee (B),Southern Illinois,5,13,"03/22/2015, 12:00",Finals
b,r,e,a,k
