Trouble In Vegas 2015,College - Men ,28,2,2015
Las Vegas,NV,2015-02-28,2015-03-01
https://play.usaultimate.org/events/Trouble-In-Vegas-2015/schedule/Men/CollegeMen/
Colorado College,2
52,MARK COOPER
58,Peter Roguski
70,SEAN DONOVAN
79,KYLE SHANAFELT
b,r,e,a,k
Arizona (B),25
teamInfo,Swashbucklers,"Tucson, Arizona",sunburnultimate.com,,
0,Brandon Alessini
0,Robert Gonzalez
0,ALEX LINDAHL
0,Dillon Manzanares
0,Matthew Grijalva
0,Chad Lacy
0,Samuel Kinkade
0,ETHAN MILLER
23,Alexander Otus
41,Jonathan Lewis
b,r,e,a,k
Chico State,26
teamInfo,Chico State Wildcats,"Chico, California",,https://www.facebook.com/pages/Chico-State-Ultimate-Frisbee/194149750609051,
0,Carlos Castillo
0,John Olivas
0,Eduardo Ruiz
0,Zachary Giovannini
0,Stefan Kirk
0,Michael  Pope
0,CARSON CLARK
0,Tyler Grenier
0,Steven Wyman
0,Daniel Farmer
0,Spencer McWilliams
0,Thomas Allen
0,Nicholas Jensen
0,Elliot Lopez
0,SAMUEL BRANSKY
0,BILLY BUCHHAUSER
6,Jacob Macfarlane
11,Austin Barden
12,Payton Laurie
15,Jessep Macfarlane
18,GRANT MANLEY
42,BRANDON EIGES
b,r,e,a,k
Air Force,27
teamInfo,Afterburn,"USAF Academy, Colorado",http://airforceultimate.webs.com/,https://www.facebook.com/AirForceUltimate,https://twitter.com/AFU_Afterburn
01,Jason Blasius
03,Ben Protzman
08,Levi Helms
09,Justin Miller
10,John Laskodi
12,Zachary Kosin
16,Jake Johnson
17,John Stigall
18,JAMES COYNE
21,Gregory Copeland
22,Mitchel Bie
24,ETHAN GLOVER
25,Paul Dean
29,ABHIRAM IYENGAR
32,Domenic Troilo
33,Josh Edelman
47,BRANDON MALONE
58,Gregory Howland
69,Kevin Foley
88,GAVIN O'NEIL
b,r,e,a,k
Westmont,28
teamInfo,Westmont Wildfire,"Santa Barbara, California",,https://www.facebook.com/groups/2215107963/,
0,Jacob Ochs
0,ANDY GRUBBS
0,ETHAN PARK
0,Samuel Muthiah
0,JOSHUA MILLER
0,Kevin Marr
0,WILL OSTRANSKY
0,jacob wells
0,CHRIS COSTENBADER
0,Daniel Namkung
0,Austin McGrane
0,Andrew Boyd
15,Ben Wilcox
77,Jordan Ellis
b,r,e,a,k
Southern California,30
teamInfo,USC Men's Ultimate,"Los Angeles, California",http://www.uscmensultimate.com/,,
02,Charles Hankins
05,Reece Matsumoto
06,DARREN CHIU
09,Ghenki Okumoto
10,CHARLES MAI
11,Chris Holmes
13,Matt Burke
14,JACK KOPPA
17,Alex Koh
21,James Toh
25,LUCAS SWIECICHOWSKI
28,Tyler Pullen
45,Michael Sylvester
60,VINCENT HUANG
85,David Bell
88,Gideon Elson
94,Jacob Kulakofsky
b,r,e,a,k
Cal State-Fullerton,29
teamInfo,O-Bang!,"Fullerton, California",,,
00,GABRIEL LEON
00,MITCH LANGE
00,Torrey Cullen
00,OMAR YOUSUF
00,david fornos
00,Tyus Thompson
00,ROBERT PALMER
00,Veronica Felipe
00,Martin Espinoza
00,Sean Phu
00,Ryan Dauterive
00,Karen Barrales
00,GERRY RAPELO
00,Scott Luong
00,ALVIN TRIEU
88,Dan Desmond
b,r,e,a,k
Southern California (B),31
teamInfo,USC Men's Ultimate B,"Los Angeles, California",,,
00,Zachary Manta
03,Richard Smith
10,Devin Rousso
14,Alex Nakashioya
16,Ian Fitzpatrick
17,Jason Schwartz
28,KWAME WRIGHT
35,Ganesh Sivakumar
94,Derek Corbin
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday
pool,Pool A
Cal Poly-Pomona,Carleton College-GOP,9,12,"02/28/2015, 08:30",Pool A,Final
Colorado College,Carleton College-GOP,10,6,"02/28/2015, 09:50",Pool A,Final
Cal Poly-Pomona,Colorado College,3,13,"02/28/2015, 11:10",Pool A,Final
Colorado College,Arizona State (B),11,4,"02/28/2015, 15:30",Pool A,Final
Cal Poly-Pomona,Arizona State (B),6,8,"02/28/2015, 16:50",Pool A,Final
Carleton College-GOP,Arizona State (B),13,0,"02/28/2015, 18:10",Pool A,Final
pool,Pool B
Occidental,Puget Sound,9,7,"02/28/2015, 08:30",Pool B,Final
Colorado State,Denver,13,4,"02/28/2015, 08:30",Pool B,Final
Occidental,Denver,13,4,"02/28/2015, 09:50",Pool B,Final
Colorado State,Puget Sound,9,8,"02/28/2015, 09:50",Pool B,Final
Occidental,Colorado State,5,12,"02/28/2015, 11:10",Pool B,Final
Puget Sound,Denver,10,4,"02/28/2015, 11:10",Pool B,Final
pool,Pool C
Brigham Young,Northern Arizona,7,4,"02/28/2015, 18:10",Pool C,Final
Northern Arizona,New Mexico,13,5,"02/28/2015, 21:00",Pool C,Final
Northern Arizona,Team Canada U23 - Open,8,7,"02/28/2015, 22:30",Pool C,Final
Brigham Young,New Mexico,13,4,"03/01/2015, 02:30",Pool C,Final
Brigham Young,Team Canada U23 - Open,10,4,"03/01/2015, 06:50",Pool C,Final
Team Canada U23 - Open,New Mexico,13,3,"03/01/2015, 08:10",Pool C,Final
pool,Pool D
Caltech,Colorado Mines,5,11,"02/28/2015, 09:50",Pool D,Final
Caltech,Brigham Young (B),9,6,"02/28/2015, 15:30",Pool D,Final
Montana,Colorado Mines,7,6,"02/28/2015, 18:10",Pool D,Final
Caltech,Montana,8,7,"02/28/2015, 21:00",Pool D,Final
Colorado Mines,Brigham Young (B),10,9,"02/28/2015, 21:00",Pool D,Final
Montana,Brigham Young (B),3,7,"03/01/2015, 02:30",Pool D,Final
pool,Pool E
Utah,Washington (B),10,3,"02/28/2015, 08:30",Pool E,Final
Utah,Boise State,7,5,"02/28/2015, 09:50",Pool E,Final
Boise State,Washington (B),8,2,"02/28/2015, 11:10",Pool E,Final
pool,Pool F
Utah State,Whitman,2,10,"02/28/2015, 09:50",Pool F,Final
Utah State,California-Irvine,13,1,"02/28/2015, 15:30",Pool F,Final
Whitman,California-Irvine,8,6,"02/28/2015, 18:10",Pool F,Final
pool,Pool G
Santa Clara,Arizona (B),13,4,"02/28/2015, 16:50",Pool G,Final
George Washington,Arizona (B),11,4,"02/28/2015, 18:10",Pool G,Final
Santa Clara,George Washington,5,10,"02/28/2015, 22:30",Pool G,Final
pool,Pool H
Air Force,Westmont,13,5,"02/28/2015, 09:50",Pool H,Final
Chico State,Westmont,12,1,"02/28/2015, 19:30",Pool H,Final
Chico State,Air Force,13,4,"02/28/2015, 21:00",Pool H,Final
b,r,e,a,k
brackets,Sunday
bracket,Championship
Colorado College,Colorado State,12,11,"03/01/2015, 14:30",Championship,Final
Colorado College,George Washington,13,7,"03/01/2015, 11:30",Semi Finals,Final
Chico State,Colorado State,9,10,"03/01/2015, 20:00",Semi Finals,Final
Northern Arizona,Chico State,5,9,"03/01/2015, 18:30",Quarterfinals,Final
Utah,Colorado State,9,12,"03/01/2015, 11:30",Quarterfinals,Final
Colorado College,Occidental,13,7,"02/28/2015, 15:30",Quarterfinals,Final
George Washington,Utah State,12,11,"02/28/2015, 15:30",Quarterfinals,Final
Whitman,Utah,5,13,"03/01/2015, 10:00",R16,Final
Colorado State,Santa Clara,13,5,"03/02/2015, 00:00",R16,Final
bracket,9th
Carleton College-GOP,Team Canada U23 - Open,1,0,"03/01/2015, 20:00",9th,Final
Whitman,Carleton College-GOP,0,12,"03/01/2015, 10:00",Semis,Final
Occidental,Team Canada U23 - Open,2,13,"03/02/2015, 00:00",Semis,Final
Whitman,Santa Clara,13,6,"03/01/2015, 22:30",Quarters,Final
Carleton College-GOP,Utah State,13,6,"03/01/2015, 08:30",Quarters,Final
Occidental,Air Force,10,9,"03/01/2015, 08:30",Quarters,Final
Caltech,Team Canada U23 - Open,2,13,"03/01/2015, 22:30",Quarters,Final
bracket,13th
Air Force,Utah State,13,7,"03/01/2015, 13:00",13th,Final
Caltech,Air Force,8,13,"03/01/2015, 10:00",Semis,Final
Utah State,Santa Clara,13,6,"03/02/2015, 00:00",Semis,Final
bracket,17th
Boise State,Puget Sound,6,8,"03/01/2015, 13:00",17th,Final
Arizona State (B),Boise State,6,10,"03/01/2015, 17:00",Semis,Final
Westmont,Puget Sound,6,9,"03/01/2015, 10:00",Semis,Final
Arizona State (B),Arizona (B),11,5,"03/01/2015, 15:30",Quarters,Final
Boise State,Cal Poly-Pomona,13,1,"03/01/2015, 08:30",Quarters,Final
New Mexico,Westmont,5,11,"03/01/2015, 15:30",Quarters,Final
Washington (B),Puget Sound,5,13,"03/01/2015, 08:30",Quarters,Final
Arizona State (B),Denver,6,3,"02/28/2015, 22:30",Pre Quarters,Final
California-Irvine,Washington (B),0,1,"02/28/2015, 22:30",Pre Quarters,Final
Puget Sound,Montana,11,6,"02/28/2015, 22:30",Pre Quarters,Final
bracket,21st
New Mexico,Washington (B),7,8,"03/01/2015, 18:30",21st,Final
bracket,23rd
Denver,Cal Poly-Pomona,1,0,"03/01/2015, 14:30",23rd,Final
Montana,Cal Poly-Pomona,2,10,"03/01/2015, 18:30",Semis,Final
California-Irvine,Denver,9,13,"03/01/2015, 18:30",Semis,Final
bracket,25th
Cal Poly-Pomona,Caltech,9,10,"03/01/2015, 14:30",25th,Final
bracket,5th
Northern Arizona,George Washington,10,9,"03/01/2015, 14:30",Finals,Final
Northern Arizona,Utah,9,7,"03/01/2015, 13:00",Semis,Final
b,r,e,a,k
clusters,Crossovers
cluster,Crossovers
Southern California,Boise State,9,6,"02/28/2015, 08:30",,Final
Cal State-Fullerton,Northern Arizona,2,12,"02/28/2015, 09:50",,Final
Southern California,Washington (B),11,4,"02/28/2015, 09:50",,Final
Southern California,Utah,8,5,"02/28/2015, 11:10",,Final
Southern California (B),Westmont,0,9,"02/28/2015, 11:10",,Final
Southern California (B),Air Force,2,9,"02/28/2015, 12:30",,Final
Cal State-Fullerton,New Mexico,6,8,"02/28/2015, 15:30",,Final
Southern California,Carleton College-GOP,9,8,"02/28/2015, 15:30",,Final
Southern California (B),Chico State,0,13,"02/28/2015, 15:30",,Final
Cal State-Fullerton,Team Canada U23 - Open,0,13,"02/28/2015, 19:30",,Final
Cal State-Fullerton,Brigham Young,0,13,"02/28/2015, 20:50",,Final
Cal State-Fullerton,Boise State,5,13,"03/01/2015, 08:30",,Final
Southern California (B),Denver,6,13,"03/01/2015, 09:30",,Final
Cal State-Fullerton,Washington (B),11,7,"03/01/2015, 11:30",,Final
Southern California,Colorado Mines,10,9,"03/01/2015, 11:30",,Final
Southern California,Colorado College,10,11,"03/01/2015, 13:00",,Final
Cal State-Fullerton,Arizona (B),13,8,"03/01/2015, 17:00",,Final
Southern California (B),Montana,2,13,"03/01/2015, 18:30",,Final
b,r,e,a,k
