Chesapeake Open 2015,Club - Mixed ,1,8,2015
https://play.usaultimate.org/events/Chesapeake-Open-2015/schedule/Mixed/Club-Mixed
Metro North,1
34,SEAN TUXILL
38,Stephanie Clark
43,Andrew Walsh
67,MIKE VANDERVOORT
69,MIRIAM PARSON
89,Eric Petrow
99,Genevieve Foote
b,r,e,a,k
7 Express,2
2,BRIAN MCLAUGHLIN
3,Meaghan Lass
4,Cory Salé
5,Joe Santosus
6,Thomas Piper
9,Matthew Lemar
11,John (Jack) Flintermann
12,Joe Babbino
13,Erin Leonard
13,Avery Reed
14,Paul Goldsmith-Pinkham
15,Matthew Baum
16,Ashley Gulyas (Snyder)
19,BENJAMIN IVERS
21,Jessica Whelan
22,Abigail Murray
23,Julia Raney
26,Christopher Cox
31,Sam Isaac
34,Kevin Liang
46,Ruozhou Ye
46,Jesse Moskowitz
50,Amelia Ni
64,Eliot Bemis
74,Hannah Garfield
80,Ryan Drost
99,Kara Neaton
b,r,e,a,k
Charlotte Storm,10
0,Chris Johnson
0,Ryan Nagel
0,Eric Olson
0,ALEX VICKROY
0,Rachael Freedman
0,DAVID STILES
0,June Lohner
0,STEPHANIE WITHEY
0,Marja Grillo
0,Andrew Au
0,Sharon Crawford
4,MELISSA GANNON
5,Stephen Battise
6,Dylan Welchman
9,Miller Yoho
03,Kathryn West
12,Christine Miller
14,Nick Crawford
15,Robbie Craven
16,Andrew Patten
21,Erik Messina
30,Savannah Hadwiger
57,Matthew Dix
63,Andrew West
70,George (Mick) Stukes
73,Adam Bostian
85,Rebecca Stukes
b,r,e,a,k
Ant Madness,7
0,Christine Valvo
0,Kelsey Brown
0,Dustin Lieske
1,Zachary Norrbom
3,Joshua Tsung
4,Allyce Estremera
5,ANDREW  HAWLEY
6,NATHAN SCHELBLE
7,Magdalen Karrs
8,Jae Miner
9,Peter Anderson
11,Alex Srisuwan
12,Molly Fisher
13,Varun Pattani
14,Colleen Marshall
16,CHASE RAINES
17,Benjamin Green
19,Kelsey Hales
20,Noah David
21,Kyle Khalifa
22,ANDREW SIGAL
29,Haley Sanner
30,Kyle Fredericks
42,Laura Pape
55,Max Rhodes
99,Joseph Richards
b,r,e,a,k
Los Penguinos,15
0,Hon Yin Eubanks
0,KATY MURPHY-LUBOWICZ
0,Kaiser Shen
0,Swati Agarwal
0,LESLIE WALKO
0,Karin Rafaels
0,Brice McKeever
0,DAN FENN
0,Lex Overholt
0,Kristen Mitsinikos
0,Cara Groden
0,Stephen Lewis
0,Eric Owens
0,Winston Chang
0,Eric Clarkson
2,Kristen Mosher
6,Kevin Walko
7,William Cvengros
10,Theodore Mosher IV
11,Joshua Mull
18,DAVID SCHNAARS
31,Amritha Mallikarjun
63,Jon Pressimone
b,r,e,a,k
Throws of Passion,18
0,Meg Tucker
0,Jessica Majercik
0,JAMES DENUE
0,MICHAEL RIVERA
0,Jerick Wilson
0,Diane Patterson
0,Kyle DeMars-Johnson
0,HEATHER MARSHALL
0,Kevin Hoercher
0,Mark Krempley
0,MEGHAN Rivera
0,ANDREW ROUSE
0,Amelie Bailey
0,Bethany DaRin
0,Charles Yudson
0,Robert Shoemaker
0,Calvin Tam
0,SOPHIE MULLINAX
13,Katherine Garner
20,Myco Paulo
26,Michael Klemencic
62,THOMAS RUDWICK
78,HOLDEN CHOI
b,r,e,a,k
Bang!,6
0,Christopher Pokorny
0,LISA GONZALEZ
0,RYAN ROBERTS
0,Julie Bowers
0,Kyle Wolf
0,Greg Martin
0,Steve Rosso
0,Matt Sherman
0,Sarah Roberts
0,Hannah Shabanowitz
0,MATT HORNSTEIN
0,Zach Thurston
0,JILL ROE
0,Matt Stavinga
0,Dustin Sullivan
0,CHRISTINA LAMMEY
8,Luke Ryan
9,Katelyn Stavinga
21,Regina Wilkinson
32,Jeffrey Andrews
35,Ryan Forster
72,Michael Martin
74,David Kelly
b,r,e,a,k
Ambiguous Grey,3
0,Eliza Chang
0,Abbey Hewitt
0,Anna Truskin
0,Jacob Merlin
0,Dan Grabowski
0,Andrew Gravunder
0,Victor Wu
0,SHANNON PACE
0,Sara Peczkowski
0,Golsa Yazdy
0,Maggie John
0,Samantha Broaddus
7,Peter MacArthur
9,Charles Furse
9,Jarnail Bajwa
03,ALANNA McKee
10,Rachel Thaw
11,Jeff Truskin
12,Andrew Allen
15,Anthony McLean
18,Riki Cullingford
42,Ellen Greytak
70,Brian O'Hara
73,Mark Flores
80,Antoine Davis
b,r,e,a,k
American Hyperbole,11
0,Dylan Leighton
0,Cynthia Jones
0,Kristen Connor
0,Kelly Wallace
0,Connor Boudreau
0,Matthew Radhe
0,Matt Doughten
0,NANCY YE
0,Alexander Antolick
0,Andrew Fish
0,Jonathan Ginsberg
0,Marie Collins
0,Alex Bodaken
0,KATHERINE GRANT
0,VICKI BROWN
0,James Collins
0,Patrick McMullen
0,BRIAN MAZEN
3,Hallie Carter
6,Michael Sharma
13,Christopher Schulze
25,Madison Bush
27,Ada Maxwell
80,Joseph Ricks
94,Abigail Wenck
99,Charlie Grevers
b,r,e,a,k
Mixed Nuts,14
0,Benjamin Naismith
0,RAYMOND XI
0,Alice Chirn
0,Krystle Jiang
0,Brian Buck
0,MALIK ODEH
0,Axis Sivitz
0,Rob Baker
0,TARA SULEWSKI
2,WILLIAM (BILL) BLINN
3,TITUS SAMUEL
3,BRANDON TRAN
9,Jarod Payne
20,Brandon Nadres
20,Tom Bassett
22,Albert Lee
25,Grant Thomas-Lepore
26,Alex (Wei Yuh) Chang
32,Jessica Ong
33,Shi-Min Chin
85,Richard Schaffer
b,r,e,a,k
Distelfink,19
03,Scott Neupauer
04,Kenny Johns
05,Corryn Vento
06,Josh groff
07,Trisha Rabold
08,TAYLOR WHITNEY
08,Kadi McCoy
09,Beth Johns
10,Derek Rabold
12,Lindsey King
12,Jordan Vanasdale
13,Justin Kratz
14,Benjamin Staudt
15,Rebecca Holmes
15,Christopher Man
17,David Naylor jr
18,Trey Maule
20,Timothy Holmes
23,Matt McAlonis
26,Angela Martin
26,Brett Sawyer
28,Matt Neupauer
43,Brianna Miranda
47,Angela Tran
88,ANDREW GRAHAM
89,Benjamin Holmes
b,r,e,a,k
The Muff 'n Men,4
2,Christie Lawry
3,Maria Bajzek
4,Jesse Kummer
5,CAROLINE NOFZINGER
6,Anson Reppermund
8,Alexander Thomas
10,Stephanie Kane
13,JEREMY SLIDER
15,MISHEL GEORGALAS
19,Daniel Morrison
22,Mark Pitts
24,Megan Briggeman
25,Rachel Olszewski
26,Kelsey Cowles
29,JOHN MONTOYA
30,AARON KANE
31,Greg Wilson
33,AARON BUSS
45,KYLE ALDINGER
57,Bryan Bernard
73,Svetlana Romanova
80,Jay Walker
82,Isaac Smith
86,Robert Paolini
88,Christopher Martin
b,r,e,a,k
Clue,13
0,Krystal Ferguson
0,Elizabeth Reeves
0,Jon Francis
0,Brendan Huber
0,Thomas Ferguson
0,Tom O'Connor
0,Travis Conrad
0,Alison Joyce
0,Stephanie Hartson
0,ASHLEY POTTER
0,Brandon Pastor
0,Brian Carney
0,Greg Strouse
0,JUNE FREIFELDER
2,ANNA IMPERATRICE
3,William Zeky
6,Victoria Wischerth
11,RYAN STERNER
14,Lauren Howard
21,Taylor Stewart
23,MATTHEW CONGDON
24,Krista Winalski
26,JASON MORGAN
27,Emily Wilkinson
45,RYAN O'SHEA
64,Eric Lu
88,Jacob Kesselman
b,r,e,a,k
LoveBomb,5
0,Stayc Piecyk
1,Alex Peters
00,Drew Rasmussen
01,William Brotman
02,Sean McComb
05,Akshay Krishnamurthy
06,Jesten Gula
09,Brian Grace
12,Brent Bellinger
18,Susan Devaraj
19,Ari Weitzman
21,MARGAUX MILES
22,Jen Kacin
23,Edward Peters
24,JEANNE SULLIVAN
30,ELIZABETH Bellinger
35,Jacob Christian
37,Acadia Klain
42,John Serafini
44,Vivek Devaraj
45,Russell Hailwood
48,Sam Schurer
71,BRAD BELLINGER
99,Katherine Barrington
b,r,e,a,k
Public Enemy,12
0,Dustin Thai
0,SEAN REED
1,Rob Doyle
2,KATIE HEBELER
4,Rowdy Howell
5,Christina Poole
6,Austin Kososki
7,Austin Reed
8,REBECCA PHILP
9,Krystina Morris
10,Andrew Linville
11,Matthew Davis
12,SCOTT RICHARDSON
13,Senna Nilsson
14,William Dubose
15,Matthew Poole
16,Hannah Bruce
21,Blake Abbott
22,Laura Reed
23,Carrie Kulp
24,Jenna Bigbie
26,Trevor Wiltz
27,Jonathan Higgins
29,Jessica Gamwell
42,Paul Utesch
48,Alex Welcing
87,David Hammer
b,r,e,a,k
Stormborn,20
00,Claire Daviss
00,David Zurbuchen
00,Jonathan Huang
00,James McIntyre
00,Kasha Patel
00,Thomas Siegwarth
00,LT Tucker
00,JACKSON SCHER
00,BRYCE KOBAYASHI
00,Kevin  Galambos
00,Nykolas Lotocky
00,Ryan Anderson
00,Adams Nager
00,AMI PATEL
00,P. Mike Rattanasengchanh
00,MEETA PRAKASH
00,ANDREW MILLER
00,ANDREW MCCOY
00,Sarah Stubbs
00,Jack Reickel
00,Tess Geers
00,MARY LANE
00,BRIAN KOESTER
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Metro North,Dix y Chix,13,1,"08/01/2015, 09:00",Pool A
Tyrannis,BITMAP,10,9,"08/01/2015, 09:00",Pool A
Metro North,Tyrannis,12,7,"08/01/2015, 10:45",Pool A
Sparkle Ponies,BITMAP,13,4,"08/01/2015, 10:45",Pool A
BITMAP,Dix y Chix,12,9,"08/01/2015, 12:30",Pool A
Sparkle Ponies,Tyrannis,8,10,"08/01/2015, 12:30",Pool A
Metro North,BITMAP,13,2,"08/01/2015, 14:15",Pool A
Sparkle Ponies,Dix y Chix,13,3,"08/01/2015, 14:15",Pool A
Metro North,Sparkle Ponies,13,8,"08/01/2015, 16:00",Pool A
Tyrannis,Dix y Chix,13,10,"08/01/2015, 16:00",Pool A
pool,Pool B
7 Express,Throws of Passion,11,6,"08/01/2015, 09:00",Pool B
Charlotte Storm,Los Penguinos,13,6,"08/01/2015, 09:00",Pool B
7 Express,Charlotte Storm,13,6,"08/01/2015, 10:45",Pool B
Ant Madness,Los Penguinos,10,7,"08/01/2015, 10:45",Pool B
Los Penguinos,Throws of Passion,13,5,"08/01/2015, 12:30",Pool B
Ant Madness,Charlotte Storm,11,12,"08/01/2015, 12:30",Pool B
7 Express,Los Penguinos,13,7,"08/01/2015, 14:15",Pool B
Ant Madness,Throws of Passion,12,7,"08/01/2015, 14:15",Pool B
7 Express,Ant Madness,11,9,"08/01/2015, 16:00",Pool B
Charlotte Storm,Throws of Passion,13,6,"08/01/2015, 16:00",Pool B
pool,Pool C
Ambiguous Grey,Distelfink,13,4,"08/01/2015, 09:00",Pool C
American Hyperbole,Mixed Nuts,12,9,"08/01/2015, 09:00",Pool C
Ambiguous Grey,American Hyperbole,13,1,"08/01/2015, 10:45",Pool C
Bang!,Mixed Nuts,9,10,"08/01/2015, 10:45",Pool C
Mixed Nuts,Distelfink,11,9,"08/01/2015, 12:30",Pool C
Bang!,American Hyperbole,13,8,"08/01/2015, 12:30",Pool C
Ambiguous Grey,Mixed Nuts,13,3,"08/01/2015, 14:15",Pool C
Bang!,Distelfink,13,5,"08/01/2015, 14:15",Pool C
Ambiguous Grey,Bang!,7,13,"08/01/2015, 16:00",Pool C
American Hyperbole,Distelfink,13,10,"08/01/2015, 16:00",Pool C
pool,Pool D
The Muff 'n Men,Stormborn,13,2,"08/01/2015, 09:00",Pool D
Public Enemy,Clue,9,10,"08/01/2015, 09:00",Pool D
The Muff 'n Men,Public Enemy,11,9,"08/01/2015, 10:45",Pool D
LoveBomb,Clue,10,12,"08/01/2015, 10:45",Pool D
Clue,Stormborn,13,2,"08/01/2015, 12:30",Pool D
LoveBomb,Public Enemy,12,5,"08/01/2015, 12:30",Pool D
The Muff 'n Men,Clue,12,10,"08/01/2015, 14:15",Pool D
LoveBomb,Stormborn,13,5,"08/01/2015, 14:15",Pool D
The Muff 'n Men,LoveBomb,12,9,"08/01/2015, 16:00",Pool D
Public Enemy,Stormborn,13,4,"08/01/2015, 16:00",Pool D
b,r,e,a,k
brackets,Brackets
bracket,Championship Bracket
Metro North,Bang!,12,10,"08/02/2015, 14:15",Final
Metro North,The Muff 'n Men,12,10,"08/02/2015, 12:30",Semis
7 Express,Bang!,10,11,"08/02/2015, 12:30",Semis
Metro North,Charlotte Storm,12,9,"08/02/2015, 10:45",Quarters
The Muff 'n Men,Ant Madness,13,9,"08/02/2015, 10:45",Quarters
7 Express,Sparkle Ponies,13,10,"08/02/2015, 10:45",Quarters
Bang!,Tyrannis,13,6,"08/02/2015, 10:45",Quarters
Charlotte Storm,American Hyperbole,12,9,"08/02/2015, 09:00",Pre-Quarters
Ambiguous Grey,Ant Madness,8,10,"08/02/2015, 09:00",Pre-Quarters
Clue,Sparkle Ponies,10,13,"08/02/2015, 09:00",Pre-Quarters
Tyrannis,LoveBomb,12,9,"08/02/2015, 09:00",Pre-Quarters
b,r,e,a,k
brackets,Brackets
bracket,13th Place Bracket
Los Penguinos,Public Enemy,10,11,"08/02/2015, 12:30",13th Place Game
Los Penguinos,BITMAP,13,10,"08/02/2015, 10:45",13th Place Semis
Throws of Passion,Public Enemy,8,12,"08/02/2015, 10:45",13th Place Semis
Los Penguinos,Distelfink,13,5,"08/02/2015, 09:00",13th Place Quarters
BITMAP,Stormborn,13,7,"08/02/2015, 09:00",13th Place Quarters
Mixed Nuts,Throws of Passion,10,12,"08/02/2015, 09:00",13th Place Quarters
Public Enemy,Dix y Chix,12,8,"08/02/2015, 09:00",13th Place Quarters
b,r,e,a,k
brackets,Brackets
bracket,17th Place Bracket
Mixed Nuts,Distelfink,13,8,"08/02/2015, 14:15",17th Place Game
Dix y Chix,Mixed Nuts,5,13,"08/02/2015, 12:30",17th Place Semis
Stormborn,Distelfink,3,13,"08/02/2015, 12:30",17th Place Semis
bracket,5th Place Bracket
Tyrannis,Charlotte Storm,5,13,"08/02/2015, 14:15",5th Place Game
Tyrannis,Sparkle Ponies,12,9,"08/02/2015, 12:30",Round Name
Ant Madness,Charlotte Storm,8,12,"08/02/2015, 12:30",Round Name
bracket,9th Place Bracket
LoveBomb,Ambiguous Grey,2,13,"08/02/2015, 12:30",9th Place Game
American Hyperbole,LoveBomb,11,13,"08/02/2015, 10:45",Round Name
Ambiguous Grey,Clue,13,7,"08/02/2015, 10:45",Round Name
b,r,e,a,k
