USA Ultimate D-I College Championships,College - Women ,22,5,2015
Milwaukee,WI,2015-05-22,2015-05-25
https://play.usaultimate.org/events/USA-Ultimate-D-I-College-Championships-2015/schedule/Women/CollegeWomen/
Oregon,1
teamInfo,Betty Ultimate,"Lawrence, Kansas",https://bettyultimate.wordpress.com,https://www.facebook.com/pages/Betty-Ultimate/144061402213,https://twitter.com/bettyultimate
coaches,Loren Schieber
0,Mackenzie Burns
02,Kate Eshelman
05,Katrina Kaus
07,Malaina Piyassaphan
08,Lilly Bakker
09,Brandi Schneider
10,Grace Roth
11,Jordan Alonzo
12,Clare Frantz
13,Camille Curley
14,Kelsey Akin
15,Caitlin Fitzgerald
17,Sydney Nelson
19,Molly Welsh
20,Nadine Rowen
21,JORDAN KACZOR
22,Kailee Karr
23,Alexa Kaczor
25,Miriam Delrahim
29,Samantha Agranoff
31,Jennifer Corcoran
37,Stasha Beermann
44,Claire Shanovich
45,Janie Reiter
69,Megan Burns
b,r,e,a,k
Princeton,20
teamInfo,Clockwork Orange,"Princeton, New Jersey",http://www.princeton.edu/~ultimate,,https://www.twitter.com/Huckmemaybe
00,Karen Feng
01,Lyra Olson
02,SALLY YU
03,Angela Liu
04,Evelyn Ding
05,Susannah Crowell
07,Jean Wang
08,Jane Urheim
09,Sherry Li
10,NANCY WU
11,Tianay Zeigler
13,LU YIN
14,Victoria Higgins
15,Katherine Pizano
16,Pleasant Garner
26,Lindsey Conlan
30,Rachel Roberts
34,AMY TAI
37,Nora Bradley
69,Annie Chen
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Oregon,Notre Dame,15,10,"05/22/2015, 10:30",Pool A,Final
Florida State,Central Florida,14,13,"05/22/2015, 10:30",Pool A,Final
Notre Dame,Central Florida,11,9,"05/22/2015, 14:30",Pool A,Final
Florida State,Victoria,10,14,"05/22/2015, 14:30",Pool A,Final
Oregon,Victoria,15,9,"05/22/2015, 16:30",Pool A,Final
Oregon,Florida State,15,5,"05/23/2015, 08:30",Pool A,Final
Notre Dame,Victoria,10,15,"05/23/2015, 08:30",Pool A,Final
Oregon,Central Florida,15,3,"05/23/2015, 12:30",Pool A,Final
Notre Dame,Florida State,7,15,"05/23/2015, 12:30",Pool A,Final
Central Florida,Victoria,14,9,"05/23/2015, 14:30",Pool A,Final
pool,Pool B
Stanford,Middlebury,15,1,"05/22/2015, 08:30",Pool B,Final
Dartmouth,Ohio State,15,8,"05/22/2015, 08:30",Pool B,Final
Stanford,Dartmouth,15,6,"05/22/2015, 12:30",Pool B,Final
Washington,Ohio State,15,12,"05/22/2015, 12:30",Pool B,Final
Washington,Middlebury,13,15,"05/22/2015, 16:30",Pool B,Final
Stanford,Washington,15,11,"05/23/2015, 10:30",Pool B,Final
Dartmouth,Middlebury,15,6,"05/23/2015, 10:30",Pool B,Final
Ohio State,Middlebury,15,10,"05/23/2015, 12:30",Pool B,Final
Dartmouth,Washington,14,13,"05/23/2015, 14:30",Pool B,Final
Stanford,Ohio State,15,3,"05/23/2015, 14:30",Pool B,Final
pool,Pool C
Carleton College,Pittsburgh,15,6,"05/22/2015, 10:30",Pool C,Final
British Columbia,Texas,15,4,"05/22/2015, 10:30",Pool C,Final
UCLA,Carleton College,15,11,"05/22/2015, 14:30",Pool C,Final
British Columbia,Pittsburgh,15,7,"05/22/2015, 14:30",Pool C,Final
UCLA,Texas,10,14,"05/22/2015, 16:30",Pool C,Final
Pittsburgh,Texas,7,13,"05/23/2015, 08:30",Pool C,Final
UCLA,British Columbia,10,13,"05/23/2015, 10:30",Pool C,Final
Carleton College,Texas,12,8,"05/23/2015, 10:30",Pool C,Final
UCLA,Pittsburgh,14,10,"05/23/2015, 14:30",Pool C,Final
Carleton College,British Columbia,11,9,"05/23/2015, 14:30",Pool C,Final
pool,Pool D
Virginia,Kansas,15,12,"05/22/2015, 08:30",Pool D,Final
Whitman,Princeton,15,5,"05/22/2015, 08:30",Pool D,Final
Colorado,Princeton,15,2,"05/22/2015, 12:30",Pool D,Final
Whitman,Kansas,12,14,"05/22/2015, 12:30",Pool D,Final
Colorado,Virginia,10,15,"05/22/2015, 16:30",Pool D,Final
Colorado,Whitman,9,14,"05/23/2015, 08:30",Pool D,Final
Kansas,Princeton,15,12,"05/23/2015, 08:30",Pool D,Final
Virginia,Princeton,15,5,"05/23/2015, 10:30",Pool D,Final
Colorado,Kansas,14,9,"05/23/2015, 12:30",Pool D,Final
Virginia,Whitman,15,7,"05/23/2015, 12:30",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Oregon,Stanford,13,11,"05/25/2015, 12:00",Finals,Final
Oregon,British Columbia,15,9,"05/24/2015, 12:00",Semifinals,Final
Carleton College,Stanford,8,15,"05/24/2015, 14:30",Semifinals,Final
Dartmouth,Oregon,6,15,"05/24/2015, 08:30",Quarters,Final
British Columbia,Virginia,15,9,"05/24/2015, 08:30",Quarters,Final
Whitman,Carleton College,10,15,"05/24/2015, 08:30",Quarters,Final
Colorado,Stanford,7,15,"05/24/2015, 08:30",Quarters,Final
Dartmouth,Texas,15,9,"05/23/2015, 17:00",Prequarters,Final
British Columbia,Ohio State,15,8,"05/23/2015, 17:00",Prequarters,Final
Whitman,Florida State,15,9,"05/23/2015, 17:00",Prequarters,Final
Victoria,Colorado,10,15,"05/23/2015, 17:00",Prequarters,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,Placement Game #1
Notre Dame,Princeton,13,15,"05/24/2015, 08:30",Placement Game #1,Final
bracket,Placement Game #2
Middlebury,UCLA,8,15,"05/23/2015, 17:00",Placement Game #2,Final
bracket,Placement Game #3
Kansas,Central Florida,13,15,"05/23/2015, 17:00",Placement Game #3,Final
bracket,Placement Game #4
Pittsburgh,Washington,13,14,"05/24/2015, 08:30",Placement Game #4,Final
b,r,e,a,k
