Ohio Valley D-I College Men's Regionals,College - Men ,25,4,2015
University Park,PA,2015-04-25,2015-04-26
https://play.usaultimate.org/events/Ohio-Valley-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/
Pittsburgh,1
teamInfo,Mr. Yuk,"Pittsburgh, Pennsylvania",http://www.andrew.cmu.edu/user/ultimate/yuk/,,https://twitter.com/mryukultimate
04,Akshay Dajee
05,ALEC ASSAAD
07,John Woodruff
09,James Yang
10,Justin Abel
12,DANIEL TABRIZI
13,CANUTE HAROLDSON
14,Joseph Gu
16,Dylan Steele
17,Jasper Tom
18,Mark Wuebbens
20,Tyler Cox
21,SEAN KANE
22,Ethan Krokonko
23,GEORGE KUROSAWA
28,Rafael McCauley
31,Justin Forman
37,REID  ALMAND
61,ARIC MAKAL
72,Thomas Swayze
b,r,e,a,k
Temple,12
teamInfo,Temple Ultimate,"Philadelphia, Pennsylvania",,,https://twitter.com/templeultimate
0,Andrew Trinh
0,Zach Klee
0,Alexander Reiner
0,WISAM SAADAH
0,Chey Jones
0,Paul Klimkowski
0,William Shutt
0,Nicholas LaRue
2,Evan Maynard
3,NICHOLAS WILSON
6,Brice Dunn
8,Evan Kashan
10,Adriene Khon
12,Eli Segal
14,Joseph Connolly
18,Adam Novak
21,Francisco Gomez
25,Andrew Peezick
26,WILLIAM ELLIS
27,KD Okello
32,Robert Walker
37,Ryan Coughlan
39,Michael Facinelli
99,Jordan Clever
b,r,e,a,k
Ohio,4
teamInfo,Ohio University,"Athens, Ohio",,,
0,Jonathan Snowden
0,Blace Haviland
0,Adam Hock
0,Kyle Bayes
0,ROBERT LEBAIR
0,Luke Fikaris
1,Lloyd Furuta
2,Anthony Buran
4,Justin Riles
5,Nathan Moncrieff
6,Cameron Haldin
7,NATHAN BROWN
9,CONNOR HUNT
10,thomas stargell
11,KELLEY MCANDREWS
12,Daret Spradley
15,Logan Kruger
17,Conner Parthemore
19,NOAH TONDARI
22,Aaron Musser
23,CAMERON HEIGHTLAND
33,Matthew Olson
41,Cody Petitt
42,P. Mike Rattanasengchanh
43,Mike Dios
45,Michael Malito
47,Karlis Walsh
92,Wally Gaida
99,Andrew Grogan
b,r,e,a,k
Dayton,5
teamInfo,UD Ultimate,"Dayton, Ohio",modules/common/udghettoforce.blogspot.com,https://www.facebook.com/groups/238452269542594/,https://twitter.com/UDGhettoforce
0,Andrew Kramer
0,MICHAEL STRATTON
0,Ryan Krouse
17,Conner Haenszel
18,Phillip Hagerty
19,Dylan Corwin
22,Patrick Murphy
28,Evan Wethington
33,Ian Cannon
43,Stephen Moore
50,Alan Huels
77,Scott Klein
99,Robert Strohmeyer
b,r,e,a,k
Edinboro,11
teamInfo,Haggis,"Edinboro, Pennsylvania",,,@HaggisUltimate
1,Max Sheppard
2,Mark  Kozlowski
3,Michael Smith
7,Michael Feroce
9,Yunong (Rock) XIA
10,LUCAS MENEES
15,Rob Perez
17,BRENT MANTI
18,Matt Zello
21,Rob Kemp
25,Philip Young
27,Anthony Kahn
32,Steven Mogielski
32,LEWIS RHINE
35,Devin Christian
48,DEREK ORT
64,Mathew Stefancin
92,Dakota Cohen
93,JAMES KARRASCH
b,r,e,a,k
Villanova,14
teamInfo,Villanova,"Villanova, Pennsylvania",,,
0,Ryan Cullen
0,Christopher Munson Jr
0,Matt McCarry
0,Jon Munilla
0,Christopher Betz
0,Don Pontrelli
0,Jonathan Collins
0,Michael Mooney
0,Timothy Signorile
1,BRANDON ROSENTHAL
3,Peter Fedoryk
08,Ethan Fortin
10,Joseph Viger
10,Chris Dixon
22,Sal Oliver
25,Robert Patten
26,GRIFFIN CRAFTS
27,Chris Keane
33,Andrew Deshler
45,Brent Studenroth
53,Nicholas Zoccoli
73,JOHN LAUER
80,Christopher Cruz
88,Christopher White
99,Casey Vaughn
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Pittsburgh,West Chester,15,5,"04/25/2015, 10:00",Pool A,Final
Pennsylvania,Pittsburgh (B),15,11,"04/25/2015, 10:00",Pool A,Final
Pittsburgh,Pittsburgh (B),15,4,"04/25/2015, 12:00",Pool A,Final
Pennsylvania,West Chester,13,15,"04/25/2015, 12:00",Pool A,Final
Pittsburgh,Pennsylvania,15,9,"04/25/2015, 14:00",Pool A,Final
West Chester,Pittsburgh (B),15,12,"04/25/2015, 14:00",Pool A,Final
pool,Pool B
Cincinnati,Ohio State,15,9,"04/25/2015, 10:00",Pool B,Final
Lehigh,West Virginia,15,5,"04/25/2015, 10:00",Pool B,Final
Cincinnati,West Virginia,15,3,"04/25/2015, 12:00",Pool B,Final
Lehigh,Ohio State,15,14,"04/25/2015, 12:00",Pool B,Final
Cincinnati,Lehigh,15,7,"04/25/2015, 14:00",Pool B,Final
Ohio State,West Virginia,15,6,"04/25/2015, 14:00",Pool B,Final
pool,Pool C
Penn State,Temple,15,13,"04/25/2015, 10:00",Pool C,Final
Case Western Reserve,Carnegie Mellon,15,9,"04/25/2015, 10:00",Pool C,Final
Penn State,Carnegie Mellon,15,11,"04/25/2015, 12:00",Pool C,Final
Case Western Reserve,Temple,15,10,"04/25/2015, 12:00",Pool C,Final
Penn State,Case Western Reserve,15,13,"04/25/2015, 14:00",Pool C,Final
Temple,Carnegie Mellon,13,14,"04/25/2015, 14:00",Pool C,Final
pool,Pool D
Ohio,Edinboro,15,12,"04/25/2015, 10:00",Pool D,Final
Dayton,Villanova,15,9,"04/25/2015, 10:00",Pool D,Final
Ohio,Villanova,15,7,"04/25/2015, 12:00",Pool D,Final
Dayton,Edinboro,14,15,"04/25/2015, 12:00",Pool D,Final
Ohio,Dayton,14,11,"04/25/2015, 14:00",Pool D,Final
Edinboro,Villanova,13,15,"04/25/2015, 14:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
Pittsburgh,Cincinnati,15,8,"04/26/2015, 13:00",1st Place Finals,Final
Pittsburgh,Ohio,15,3,"04/25/2015, 16:00",1st Place Semis,Final
Penn State,Cincinnati,6,14,"04/25/2015, 16:00",1st Place Semis,Final
bracket,2nd Place Bracket
Cincinnati,Ohio State,15,8,"04/26/2015, 15:00",2nd Place Finals,Final
Ohio,Ohio State,7,15,"04/26/2015, 13:00",2nd Place Semis,Final
Ohio,Case Western Reserve,15,9,"04/26/2015, 11:00",2nd Place Quarters,Final
Ohio State,Penn State,15,9,"04/26/2015, 11:00",2nd Place Quarters,Final
Case Western Reserve,Pennsylvania,15,12,"04/26/2015, 09:00",2nd Place Prequarters,Final
Ohio State,Carnegie Mellon,15,6,"04/26/2015, 09:00",2nd Place Prequarters,Final
Case Western Reserve,Edinboro,15,5,"04/25/2015, 16:00",2nd Place Play In,Final
Pennsylvania,Lehigh,17,15,"04/25/2015, 16:00",2nd Place Play In,Final
West Chester,Ohio State,8,15,"04/25/2015, 16:00",2nd Place Play In,Final
Carnegie Mellon,Dayton,15,14,"04/25/2015, 16:00",2nd Place Play In,Final
bracket,7th Place
Pennsylvania,Carnegie Mellon,14,13,"04/26/2015, 11:00",7th Place,Final
bracket,9th Place Bracket
Edinboro,West Chester,10,15,"04/26/2015, 11:00",9th Place Finals,Final
Edinboro,Lehigh,13,11,"04/26/2015, 09:00",9th Place Semis,Final
West Chester,Dayton,14,12,"04/26/2015, 09:00",9th Place Semis,Final
bracket,11th Place
Lehigh,Dayton,15,7,"04/26/2015, 11:00",11th Place,Final
bracket,13th Place Bracket
Villanova,Temple,9,11,"04/26/2015, 11:00",13th Place Finals,Final
Pittsburgh (B),Villanova,11,14,"04/26/2015, 09:00",13th Place Semis,Final
Temple,West Virginia,15,11,"04/26/2015, 09:00",13th Place Semis,Final
bracket,15th Place 
Pittsburgh (B),West Virginia,15,9,"04/26/2015, 11:00",15th Place,Final
b,r,e,a,k
