Northeast Men's Regionals,Club - Men ,12,9,2015
Devens,MA,2015-09-12,2015-09-13
https://play.usaultimate.org/events/Northeast-Mens-Regionals-2015/schedule/Men/Club-Men/
Ironside,1
GOAT,PoNY,15,10,"09/13/2015, 12:00",2nd Place Finals,Final
Phoenix,PoNY,12,15,"09/13/2015, 10:00",2nd Place Semis,Final
Phoenix,Dark or Light,15,11,"09/13/2015, 08:00",2nd Place Quarters,Final
Big Wrench,PoNY,9,15,"09/13/2015, 08:00",2nd Place Quarters,Final
Phoenix,Youngbloods,14,9,"09/12/2015, 16:30",2nd Place Prequarters,Final
Garuda,Big Wrench,9,13,"09/12/2015, 16:30",2nd Place Prequarters,Final
Phoenix,NXTMNS,15,7,"09/12/2015, 14:30",2nd Place Play Ins 2,Final
Genny Tall Boys,Youngbloods,0,1,"09/12/2015, 14:30",2nd Place Play Ins 2,Final
Garuda,Colt,1,0,"09/12/2015, 14:30",2nd Place Play Ins 2,Final
Mockingbird,Big Wrench,12,15,"09/12/2015, 14:30",2nd Place Play Ins 2,Final
NXTMNS,Red Tide,1,0,"09/12/2015, 12:30",2nd Place Play Ins 1,Final
Youngbloods,Bruises,13,11,"09/12/2015, 12:30",2nd Place Play Ins 1,Final
Red Circus,Colt,0,1,"09/12/2015, 10:30",2nd Place Play Ins 1,Final
Big Wrench,Westchester Magma Bears,15,5,"09/12/2015, 12:30",2nd Place Play Ins 1,Final
bracket,13th Place Bracket
Bruises,Red Circus,13,15,"09/12/2015, 16:30",13th Place Finals,Final
Red Tide,Bruises,9,15,"09/12/2015, 14:30",13th Place Semis,Final
Red Circus,Westchester Magma Bears,1,0,"09/12/2015, 14:30",13th Place Semis,Final
bracket,15th Place 
Red Tide,Westchester Magma Bears,0,1,"09/12/2015, 16:30",15th Place,Final
bracket,9th Place A
NXTMNS,Genny Tall Boys,0,0,"09/12/2015, 16:30",9th Place A,Scheduled
bracket,9th Place B
Colt,Mockingbird,0,1,"09/12/2015, 16:30",9th Place B,Final
bracket,5th Place Bracket
Dark or Light,Big Wrench,7,11,"09/13/2015, 10:00",Round 2,Final
b,r,e,a,k
