Nucci's Cup 2015,Club - Men ,15,8,2015
Princeton,NJ,2015-08-15,2015-08-16
https://play.usaultimate.org/events/Nuccis-Cup-2015/schedule/Men/Club-Men/
Red Tide,12
36,Jeremy Stevens
69,Chris Hancock
77,Christopher Scoular
b,r,e,a,k
Fetch,14
teamInfo,,"Albany, New York",,https://www.facebook.com/pages/Fetch/343029495892283?ref=hl,
0,Jackson Donnelly
0,CLAYSON SPACKMAN
0,Dylan Bruhns
0,Evan Creer
0,JON HESLIN
0,ROBERT LU
0,Thomas Horvath
0,Christopher Hummel
3,John Verhayden
36,Adam Stern
39,Steven Calebrese
42,Mitchell Wohl
84,Willard Davis
b,r,e,a,k
Genny Light,20
teamInfo,,"Rochester, New York",,,
0,Seth Wittlinger
0,Sean Bowers
0,James Erb
0,Paul Sperr
0,Anthony Miuccio
0,Adam Neu
0,Sian Ho Ng
11,Thomas Benati
26,Kurt Knoess
29,EZRA PORTER
b,r,e,a,k
Magma 2,17
teamInfo,,"Montréal, Quebec CA",,,
0,Emmanuel Verreault
00,Vincent Dumas
00,Andrew Lockhead
00,MICHAEL ARSENEAULT
00,Philippe Ponsot
00,GAETAN DUSSAULT
00,ANIS CHIKH
00,keven marshall
00,Jakob Brissette
00,Francois Duchesneau
00,JEAN-SEBASTIEN CHOUINARD
00,Austin-Didier Tran
00,Philippe Leduc
00,martin brissette
00,DANIEL SARRASIN
b,r,e,a,k
Westchester Magma Bears,16
teamInfo,,"Yorktown Heights, New York",,https://www.facebook.com/WestchesterMagmaBears,https://twitter.com/MagmaBearUlti
0,Christopher Novielli
0,Jake Kaufman
0,CHRIS BRANCATO
0,JAKE STEVELMAN
0,Christopher Losapio
0,Andrew Purugganan
0,James Friscia
0,Liam McAuliffe
0,Alex Jayakar
0,ALAN BRANSON
0,Jared Robinson
2,Angelo Olcese
4,Darren McAuliffe
7,Isaiah Casiano
7,Jeremy Fischer
9,Parker Rennels
17,John Walsh
18,John Brancato
20,Colton Lubaszka
20,Philip DiGiacomo
24,Michael Pardo
31,Aron Szanto
36,Will Frolich
38,Chris Bonifati
84,Matt Lubitz
88,Michael Lovisa
99,Adam Konwerski
b,r,e,a,k
Lone Wolves,15
teamInfo,,"Rochester, New York",,,
0,Mitchell Harris
0,RYAN GARDNER
0,Nick Giruzzi
0,Trevor Smith
0,Sam VanNoy
0,JEFFREY COLBY
0,Benjamin Parkinson
0,Ryan Colby
0,Sean Donnellan
0,Drew Tschetter
0,James Feeks
7,Kelly Moses
11,ANTHONY MONESCALCHI
15,Rui Da Costa
17,CARTER MIDDLETON
18,KEVIN FARRELL
18,BRAD ECKERT
21,Brendan Chin
30,KEEGAN COUGHLIN
b,r,e,a,k
Devyl U19B,21
teamInfo,Devyl U19B,"Mercerville, New Jersey",http://devylycc.blogspot.com,https://www.facebook.com/devylycc,https://twitter.com/devylulty
0,Anmol Jadvani
0,Keyur Ved
0,Adam Fine
0,Raymond  Gao
0,Bryan Zhang
0,Prashant Baliga
0,PETER MISTHOS
00,Ian Lee
21,Steven Chien
41,Ezra Kennedy
47,Ethan Smith
b,r,e,a,k
s,t,a,g,e,s
pools,Quakerbridge
pool,Pool A
Garden State Ultimate,8$OLD (SOL),10,12,"08/15/2015, 09:00",Pool A,Final
Garden State Ultimate,Red Tide,14,12,"08/15/2015, 10:45",Pool A,Final
John Doe,8$OLD (SOL),9,11,"08/15/2015, 10:45",Pool A,Final
Garden State Ultimate,John Doe,11,9,"08/15/2015, 12:30",Pool A,Final
8$OLD (SOL),Red Tide,10,13,"08/15/2015, 12:30",Pool A,Final
John Doe,Red Tide,7,13,"08/15/2015, 14:15",Pool A,Final
pool,Pool B
Town Hall Stars,Takers,13,10,"08/15/2015, 09:00",Pool B,Final
Dark or Light,PowderKeg,13,4,"08/15/2015, 09:00",Pool B,Final
Town Hall Stars,PowderKeg,13,4,"08/15/2015, 10:45",Pool B,Final
Dark or Light,Takers,13,3,"08/15/2015, 10:45",Pool B,Final
Town Hall Stars,Dark or Light,9,13,"08/15/2015, 12:30",Pool B,Final
Takers,PowderKeg,13,5,"08/15/2015, 14:15",Pool B,Final
pool,Pool C
Turbine,Genny Tall Boys,13,10,"08/15/2015, 09:00",Pool C,Final
Slag Dump,Bear Proof,13,9,"08/15/2015, 09:00",Pool C,Final
Turbine,Bear Proof,13,7,"08/15/2015, 10:45",Pool C,Final
Turbine,Slag Dump,13,6,"08/15/2015, 12:30",Pool C,Final
Genny Tall Boys,Bear Proof,13,7,"08/15/2015, 12:30",Pool C,Final
Slag Dump,Genny Tall Boys,9,12,"08/15/2015, 14:15",Pool C,Final
b,r,e,a,k
pools,MCCC Pools
pool,Pool D
Beltway Bullets,Garden State Thruway,11,13,"08/15/2015, 09:00",Pool D,Final
Caliber,Garden State Thruway,11,13,"08/15/2015, 10:45",Pool D,Final
Beltway Bullets,Caliber,7,13,"08/15/2015, 12:30",Pool D,Final
pool,Pool E
Fetch,Genny Light,10,12,"08/15/2015, 09:00",Pool E,Final
Magma 2,Genny Light,11,10,"08/15/2015, 10:45",Pool E,Final
Fetch,Magma 2,13,3,"08/15/2015, 12:30",Pool E,Final
pool,Pool F
Lone Wolves,Devyl U19B,13,3,"08/15/2015, 09:00",Pool F,Final
Westchester Magma Bears,Devyl U19B,13,0,"08/15/2015, 10:45",Pool F,Final
Lone Wolves,Westchester Magma Bears,10,13,"08/15/2015, 12:30",Pool F,Final
b,r,e,a,k
clusters,MCCC Crossover
cluster,Play-In Crossover
Garden State Thruway,Magma 2,11,10,"08/14/2015, 14:15",,Final
Fetch,Beltway Bullets,13,7,"08/14/2015, 14:15",,Final
Westchester Magma Bears,Caliber,13,5,"08/15/2015, 14:15",,Final
Lone Wolves,Genny Light,13,6,"08/15/2015, 14:15",,Final
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket
Town Hall Stars,Dark or Light,6,15,"08/16/2015, 13:00",Finals,Final
Red Tide,Town Hall Stars,14,15,"08/16/2015, 11:00",Semifinals,Final
Dark or Light,Turbine,14,12,"08/16/2015, 11:00",Semifinals,Final
Red Tide,Takers,17,16,"08/16/2015, 09:00",Quarterfinals,Final
Genny Tall Boys,Town Hall Stars,13,15,"08/16/2015, 09:00",Quarterfinals,Final
Dark or Light,8$OLD (SOL),14,11,"08/16/2015, 09:00",Quarterfinals,Final
Turbine,Garden State Ultimate,14,12,"08/16/2015, 09:00",Quarterfinals,Final
Red Tide,Lone Wolves,15,13,"08/15/2015, 16:15",Prequarters,Final
Takers,Slag Dump,13,4,"08/15/2015, 16:15",Prequarters,Final
Genny Tall Boys,Garden State Thruway,15,9,"08/15/2015, 16:15",Prequarters,Final
Town Hall Stars,John Doe,15,10,"08/15/2015, 16:15",Prequarters,Final
Dark or Light,Westchester Magma Bears,16,5,"08/15/2015, 16:15",Prequarters,Final
8$OLD (SOL),Bear Proof,13,7,"08/15/2015, 16:15",Prequarters,Final
Turbine,Fetch,15,4,"08/15/2015, 16:15",Prequarters,Final
Garden State Ultimate,PowderKeg,15,5,"08/15/2015, 16:15",Prequarters,Final
b,r,e,a,k
brackets,Quakerbridge 3rd Bracket
bracket,3rd Place Bracket
Turbine,Red Tide,13,8,"08/16/2015, 13:00",3rd Place,Final
b,r,e,a,k
brackets,Quakerbridge 5th Bracket
bracket,5th Place Bracket
Genny Tall Boys,8$OLD (SOL),13,15,"08/16/2015, 13:00",5th Place,Final
Genny Tall Boys,Takers,11,6,"08/16/2015, 11:00",Round Name,Final
Garden State Ultimate,8$OLD (SOL),9,13,"08/16/2015, 11:00",Round Name,Final
b,r,e,a,k
brackets,Quakerbridge 19th Bracket
bracket,19th Place Bracket
Devyl U19B,Caliber,8,13,"08/16/2015, 15:00",19th Place,Final
b,r,e,a,k
brackets,Quakerbridge 7th Bracket
bracket,7th Place Bracket
Garden State Ultimate,Takers,13,11,"08/16/2015, 13:00",7th Place,Final
b,r,e,a,k
brackets,MCCC 11th Bracket
bracket,11th Place Bracket
Slag Dump,PowderKeg,11,4,"08/16/2015, 14:15",11th Place,Final
b,r,e,a,k
brackets,MCCC Tied 13th Bracket
bracket,13th Bracket Field 8
Lone Wolves,Garden State Thruway,13,9,"08/16/2015, 14:15",Tied 13th Place,Final
b,r,e,a,k
brackets,MCCC 13th Bracket
bracket,13th Bracket Field 9
Bear Proof,Fetch,1,0,"08/16/2015, 14:15",13th Place,Final
b,r,e,a,k
brackets,17th Place Bracket MCC/Quakerbridge
bracket,17th Bracket
Caliber,Genny Light,1,0,"08/16/2015, 06:00",17th Place,Final
Caliber,Beltway Bullets,12,11,"08/16/2015, 06:00",Round Name,Final
Genny Light,Magma 2,12,10,"08/16/2015, 06:00",Round Name,Final
Genny Light,Devyl U19B,1,0,"08/16/2015, 06:00",Round Name,Final
b,r,e,a,k
brackets,MCCC 9th Bracket
bracket,9th Place Bracket
John Doe,Westchester Magma Bears,13,10,"08/16/2015, 14:15",9th Place Finals,Final
Slag Dump,John Doe,10,13,"08/16/2015, 12:30",Round Name,Final
Westchester Magma Bears,PowderKeg,13,6,"08/16/2015, 12:30",Round Name,Final
Slag Dump,Lone Wolves,13,7,"08/16/2015, 10:45",Round Name,Final
John Doe,Garden State Thruway,13,9,"08/16/2015, 10:45",Round Name,Final
Bear Proof,Westchester Magma Bears,11,12,"08/16/2015, 10:45",Round Name,Final
PowderKeg,Fetch,12,10,"08/16/2015, 10:45",Round Name,Final
Lone Wolves,Caliber,13,10,"08/16/2015, 09:00",Round Name,Final
Garden State Thruway,Beltway Bullets,13,10,"08/16/2015, 09:00",Round Name,Final
Westchester Magma Bears,Genny Light,13,5,"08/16/2015, 09:00",Round Name,Final
Fetch,Magma 2,13,10,"08/16/2015, 09:00",Round Name,Final
b,r,e,a,k
