Florida Winter Classic 2015,College - Women ,17,1,2015
Orlando,FL,2015-01-17,2015-01-18
https://play.usaultimate.org/events/Florida-Winter-Classic-2015/schedule/Women/CollegeWomen/
Northeastern,4
18,LAUREN MCKENNA
20,Susan Gilbert
23,Laura  Gerencser
26,LAURA VARGAS
29,Meghan Rutledge
89,Shiru Liu
b,r,e,a,k
Florida State,6
teamInfo,Seminole Ladies,"Tallahassee, Florida",,https://www.facebook.com/SeminoleLadies,https://twitter.com/seminoleladies
00,Rachael Thompson
00,Danielle Cram
00,Hayley Cotton
00,Gabby Sehres
00,KARI TOMARELLI
00,Carolina Gonzalez-Llanos
00,Katie Dooley
00,Lisa Fitton
03,Dana Bidot
04,ZOE STAPLETON
09,Julia Gregory
12,Larissa Ferreira
32,Connie Barroso
33,KRISTIN LLOYD
38,Rebecca Holcombe
46,Sarah Kibler
50,Gentry Maddox
52,SKYLAR SWORDS
76,LAUREN BRUNNER
b,r,e,a,k
Kansas,3
teamInfo,Betty Ultimate,"Lawrence, Kansas",https://bettyultimate.wordpress.com,https://www.facebook.com/pages/Betty-Ultimate/144061402213,https://twitter.com/bettyultimate
coaches,Loren Schieber
0,Mackenzie Burns
2,Kate Eshelman
5,Katrina Kaus
7,Malaina Piyassaphan
8,Lilly Bakker
11,Jordan Alonzo
12,Clare Frantz
14,Kelsey Akin
17,Caitlin Fitzgerald
17,Sydney Nelson
19,Molly Welsh
20,Nadine Rowen
21,JORDAN KACZOR
22,Kailee Karr
23,Alexa Kaczor
24,Grace Roth
25,Miriam Delrahim
27,Megan Burns
31,Jennifer Corcoran
37,Stasha Beermann
44,Claire Shanovich
45,Janie Reiter
b,r,e,a,k
Central Florida,2
teamInfo,Central Florida,"Orlando, Florida",,,
0,TIA PERSAUD
0,Alexa Wood
0,FELICIA PEREZ
0,Nicole Wellman
0,Alyssa Alejandro
0,Brooke Bayer
0,Nicole Feldman
3,jamie collins
01,Liliana Sanchez
04,Jesse Baldwin
06,Stephanie Williams
07,Ashley Gilbert
08,Shayna Brock
10,Mia Griner
11,Janina Freystaetter
18,KATHERINE DAVIDSEN
20,LARISSA CURRAN
21,Seairra Wisniewski
23,Gabriela Tamayo
24,Mary Wheeler
26,SHELBY SPENCE
28,Alexus Davenport
31,Alexis Kerwood
36,Chloe Baldino
72,Kathryn Dougherty
88,Emily Hayes
99,ZOE ROHR
b,r,e,a,k
Wisconsin,7
teamInfo,Bella Donna,"Madison, Wisconsin",http://www.belladonnauw.wordpress.com,,https://www.twitter.com/bdultimate
02,Rachael Romaniak
03,MARGARET KENNEDY
04,Lorraine Guerin
06,Jenna Mennen
08,Shanda Roeming
11,Anna Paulson
12,Jessica Liu
14,Anna Hrovat-Staedter
15,SARAH YEAZEL
16,Molly Berkholtz
20,Jenna Thorp
21,Anneke Vermaak
22,Lauren Allin
23,Caroline Mueller
24,Lauren Roach
44,Hannah Frank
60,Claire Cech
87,RACHEL OKERSTROM
b,r,e,a,k
Florida,9
teamInfo,FUEL,"Gainesville, Florida",gvilleultimate.com/FUEL/#!/,https://www.facebook.com/FUELenfuego,https://twitter.com/FUELenfuego
00,Jaime Estes
02,Courtney Testa
04,Harley Peters
06,Diana Elsner
07,Lily Moline
08,Lucy Berman
09,Reba Havis
10,Tori Taylor
12,ANNA HINKELDEY
13,SIRENE DAGHER
14,Lauren Quiroga
15,Sarah Toth
17,Lexie Krehbiel
22,STEPH JAMIS
23,Alexis Brantly
32,Stephanie Sheridan
73,Evangeline Abraham
80,Kelsea LeBeau
88,Tara Rambo
b,r,e,a,k
Emory,13
teamInfo,Luna,"Atlanta, Georgia",,,
5,Phebe Kemmer
7,Saumya Goel
02,Jin Hyung Lee
03,Rachel Thurston
04,SARAHMARIE SPECHT-BIRD
10,Caroline Pearson
11,KATHERINE NYSTROM
12,MARISSA KOVEN
13,Zina Stavitsky
14,TALIA GILBERT
16,Danielle Swales
18,Meggie Stewart
20,Carolyn Perry
21,ABIGAIL LEE
27,Katherine Voss
29,Ayushi Ashar
31,Vivie Lee
33,Daniella Bernstein
36,Arianna Robbins
64,Samara Robbins
b,r,e,a,k
Duke,16
teamInfo,Swerve,"Durham, North Carolina",,,
00,Rosemary Hinson
00,Trisha Dupnock
00,Emily Witt
00,Jacqueline Chipkin
00,April Ratliff
00,ALLISON ROTHSCHILD
00,Georgia Tse
00,Elise Bruguera
00,Emma Wright
00,Clarissa Liu
00,Rebecca Culver
00,Alexa Romersa
00,Isabel Clayter
12,Sherry Zhang
b,r,e,a,k
Wisconsin-Eau Claire,12
teamInfo,SOL,"Eau Claire, Wisconsin",http://solultimate.blogspot.com/,https://www.facebook.com/pages/UWEC-SOL-Ultimate/119434234738605,https://twitter.com/SOLultimate
0,LAUREN STEPANIK
0,Eva Popp
00,Megan McHenry
00,Kaitlin Lofgren
00,Marissa Egeland
00,Megan  Huntley
00,Hannah Adams
00,Emily Dalhoff
00,Hannah Wirth
00,Jessica Hendrickson
00,Serena Schultz
00,Kelsey Weister
00,Kendra Kalvin
04,Emily Androschko
17,Hanna Larson
23,Clancy Ferris
28,Brandy Turcotte
b,r,e,a,k
Tennessee,17
teamInfo,Big Orange Screw,"Knoxville, Tennessee",,https://www.facebook.com/BosTennesseeUltimate,
0,ELODIE KRUK
0,Palmer Gleason
0,Caroline Hill
0,Beverly Samples
0,Sarah Myers
0,Amanda Haglund
0,KAYLA BROWN
0,Malerie Lazar
0,RACHEL SPROLES
00,Sierra Rimmer
00,SHANNON MCGEE
00,Melanie Lindsey
b,r,e,a,k
Auburn,11
teamInfo,NOVA,"Auburn, Alabama",https://auburn.collegiatelink.net/organization/womensultimatefrisbee,https://www.facebook.com/pages/Auburn-Womens-Ultimate-Frisbee/504332156316651,@AUfrisbee
0,Rachel Yang
0,Sydney Bell
0,Joanna Landry
0,Mary  Wilson
0,Andrea Rocchi
0,Amanda Johnson
0,Kristine Fedorenko
0,Katie Good
0,Keri Westbrook
8,Daniela Mangieri
00,CATHERINE LUMB
00,Catherine Spencer
00,Sarah Allred
b,r,e,a,k
Washington University,14
teamInfo,Iron Horse,"St. Louis, Missouri",,https://www.facebook.com/twoWUs,https://twitter.com/wuwultimate
0,Naomi Goldstein
0,EMILY KENT
00,Eileen Duffner
00,KATIE HEBELER
00,ALLISON BUKYS
00,Sarah Jane Yockers
01,Anat Gross
09,Stephenie Wang
10,NATALIE SPITZER
12,NICOLE BILTZ
16,Natalie Gould
28,Caroline Buhse
31,Olivia Robinson
44,Claire Milton
b,r,e,a,k
MIT,10
teamInfo,Smite,"Cambridge, Massachusetts",http://scripts.mit.edu/~womens-ult/,https://www.facebook.com/smiteultimate,https://twitter.com/ultismite
4,Amelia Becker
6,Margalit Glasgow
07,Monica Hsiue
09,Lisa Liu
11,Neerja Aggarwal
13,KRISTEN MURRAY
18,Charlotte Zhu
26,Stacy Mo
37,Camila Ramirez-Arau
81,Margaret Carpenter
96,Alicia Weng
b,r,e,a,k
LSU,15
teamInfo,LSU Women's Ultimate,"Baton Rouge, Louisiana",http://lsuuniversityrec.com/lsuurec/,,
0,Brady Connelly
0,Alice Noll
0,Emily Reckenbeil
0,BRIA HAWKINS
0,Sarah Tyson
0,Anna Meyers
15,Emelia Marshall
25,Kelly Barnett
27,Michelle Kim
29,Tia Banerjee
42,Gina Guillory
43,Angelina  Piccolomini 
b,r,e,a,k
South Florida,18
teamInfo,Scallywenches,"Tampa, Florida",,,
0,Brielle LeClear
0,Rikki Rummel
0,Corinn Beem
0,Olivia Jayne
0,Brittany Dudley
0,MEGHE PASIENZA
0,Brittany  Wert 
0,Laurentz Gilmore
0,Rebekah Mabe
1,MORGAN BRAZEL
18,Franchesca Cassanese
20,Braanah Craig
88,Hollynn Ricker
b,r,e,a,k
Florida State (B),20
teamInfo,Seminole Ladies B,"Tallahassee, Florida",https://www.facebook.com/SeminoleLadies,,
0,Reagan Walker
0,Natalie Silver
7,Rose Frawley
00,Bretania  Forbes
00,Tamar Benjoseph
00,LILY HENKEL
06,Shannon Grill
10,Elizabeth Cohn
13,Lizabeth LaBriola
16,Dalia Dagher
18,Lauren Brooker
23,Amber Skelly
70,Amanda Dunn
88,Melinda Cook
93,Melanie Meroni
b,r,e,a,k
Florida (B),21
teamInfo,Diesel,"Gainesville, Florida",,,
05,Jennifer Ralphs
06,Rose Buchbinder
08,Kaitlin O'Keefe
09,Natalie Watt
11,Megan George
12,Camilla  Edwards
14,Joeli McKee
15,Kylie Auble
16,Meagan Nelson
18,Kylie Sterling
22,Gabrielle Jessurun
24,Alyssa Pipitone
25,Megan Mullally
27,Amanda Moss
28,NATALIA SHRINGARPURE
55,Qi Li
59,Melanie Conn
99,Rachel Kalisher
b,r,e,a,k
Miami,19
teamInfo,Southern Tropical Depressions,"South Miami, Florida",,https://www.facebook.com/UniversityOfMiamiUltimateClub,https://twitter.com/UMWultimate
0,Christine Callahan
5,Camila Heard
7,Jinsun Moon
08,Miranda Goot
09,Stephanie Tewes
17,Megan Lee
23,Natalie Kaminsky
42,Rachelle Mariano
69,Amanda Mateo
b,r,e,a,k
s,t,a,g,e,s
pools,POOL PLAY
pool,Pool A
Ohio State,Texas,13,12,"01/17/2015, 10:00",Pool A,Final
Northeastern,Georgia,15,8,"01/17/2015, 10:00",Pool A,Final
Ohio State,Georgia,6,11,"01/17/2015, 12:00",Pool A,Final
Northeastern,Texas,15,11,"01/17/2015, 12:00",Pool A,Final
Ohio State,Northeastern,13,8,"01/17/2015, 14:00",Pool A,Final
Texas,Georgia,11,13,"01/17/2015, 14:00",Pool A,Final
pool,Pool B
Kansas,Wisconsin,13,9,"01/17/2015, 10:00",Pool B,Final
Kansas,Florida State,10,11,"01/17/2015, 12:00",Pool B,Final
Florida State,Wisconsin,15,9,"01/17/2015, 14:00",Pool B,Final
Central Florida,Florida State,12,13,"01/17/2015, 17:00",Pool B,Final
Central Florida,Wisconsin,13,6,"01/17/2015, 19:00",Pool B,Final
Central Florida,Kansas,8,11,"01/17/2015, 21:00",Pool B,Final
pool,Pool C
Florida,Tennessee,10,5,"01/17/2015, 09:00",Pool C,Final
Emory,Duke,6,8,"01/17/2015, 09:00",Pool C,Final
Florida,Emory,7,6,"01/17/2015, 10:30",Pool C,Final
Wisconsin-Eau Claire,Duke,11,10,"01/17/2015, 10:30",Pool C,Final
Duke,Tennessee,9,8,"01/17/2015, 12:00",Pool C,Final
Wisconsin-Eau Claire,Emory,6,10,"01/17/2015, 12:00",Pool C,Final
Florida,Duke,7,5,"01/17/2015, 13:30",Pool C,Final
Wisconsin-Eau Claire,Tennessee,8,5,"01/17/2015, 13:30",Pool C,Final
Florida,Wisconsin-Eau Claire,11,2,"01/17/2015, 15:00",Pool C,Final
Emory,Tennessee,10,7,"01/17/2015, 15:00",Pool C,Final
pool,Pool D
MIT,Washington University,4,15,"01/17/2015, 10:00",Pool D,Final
Auburn,LSU,15,12,"01/17/2015, 10:00",Pool D,Final
MIT,LSU,11,9,"01/17/2015, 12:00",Pool D,Final
Auburn,Washington University,15,6,"01/17/2015, 12:00",Pool D,Final
MIT,Auburn,6,15,"01/17/2015, 14:00",Pool D,Final
Washington University,LSU,15,7,"01/17/2015, 14:00",Pool D,Final
pool,Pool E
South Florida,Florida State (B),15,2,"01/17/2015, 10:00",Pool E,Final
Miami,Florida (B),6,15,"01/17/2015, 10:00",Pool E,Final
South Florida,Florida (B),15,3,"01/17/2015, 12:00",Pool E,Final
Miami,Florida State (B),6,11,"01/17/2015, 12:00",Pool E,Final
South Florida,Miami,15,3,"01/17/2015, 14:00",Pool E,Final
Florida State (B),Florida (B),14,8,"01/17/2015, 14:00",Pool E,Final
b,r,e,a,k
brackets,BRACKET PLAY
bracket,5TH PLACE BRACKET
Northeastern,Ohio State,11,7,"01/18/2015, 15:00",5TH PLACE GAME,Final
Northeastern,Georgia,14,8,"01/18/2015, 13:00",5TH PLACE SEMIS,Final
Texas,Ohio State,7,12,"01/18/2015, 13:00",5TH PLACE SEMIS,Final
bracket,7TH PLACE GAME
Georgia,Texas,0,0,"01/18/2015, 15:00",7TH PLACE GAME,Final
bracket,15TH PLACE BRACKET
South Florida,Duke,10,4,"01/18/2015, 15:00",15TH PLACE GAME,Final
South Florida,Tennessee,9,1,"01/18/2015, 13:00",15TH PLACE SEMIS,Final
Florida (B),Duke,4,14,"01/18/2015, 13:00",15TH PLACE SEMIS,Final
Tennessee,Florida State (B),12,4,"01/18/2015, 09:00",PLAY-IN,Final
Miami,Florida (B),2,10,"01/18/2015, 09:00",PLAY-IN,Final
bracket,17TH PLACE GAME
Tennessee,Florida (B),0,0,"01/18/2015, 15:00",17TH PLACE GAME,Final
bracket,CHAMPIONSHIP BRACKET
Kansas,Central Florida,15,12,"01/18/2015, 22:00",CHAMPIONSHIP,Final
Wisconsin,Kansas,10,14,"01/18/2015, 13:00",SEMIS,Final
Florida State,Central Florida,8,12,"01/18/2015, 20:00",SEMIS,Final
Northeastern,Wisconsin,10,11,"01/18/2015, 11:00",QUARTERS,Final
Kansas,Georgia,13,6,"01/18/2015, 11:00",QUARTERS,Final
Florida State,Texas,12,10,"01/18/2015, 11:00",QUARTERS,Final
Ohio State,Central Florida,5,10,"01/18/2015, 18:00",QUARTERS,Final
Wisconsin,Auburn,13,8,"01/18/2015, 09:00",PLAY-IN,Final
Georgia,Emory,14,2,"01/18/2015, 09:00",PLAY-IN,Final
Texas,Florida,13,7,"01/18/2015, 09:00",PLAY-IN,Final
Central Florida,Washington University,13,7,"01/18/2015, 16:00",PLAY-IN,Final
bracket,3RD PLACE GAME
Wisconsin,Florida State,11,12,"01/18/2015, 15:00",3RD PLACE GAME,Final
bracket,9TH PLACE BRACKET
Auburn,Washington University,10,5,"01/18/2015, 15:00",9TH PLACE GAME,Final
Auburn,Emory,10,5,"01/18/2015, 11:00",9TH PLACE SEMIS,Final
Florida,Washington University,7,12,"01/18/2015, 11:00",9TH PLACE SEMIS,Final
bracket,11TH PLACE BRACKET
LSU,MIT,14,10,"01/18/2015, 15:00",11TH PLACE GAME,Final
Emory,LSU,4,14,"01/18/2015, 13:00",11TH PLACE SEMIS,Final
Florida,MIT,6,14,"01/18/2015, 13:00",11TH PLACE SEMIS,Final
Duke,LSU,8,13,"01/18/2015, 11:00",PLAY-IN,Final
MIT,Wisconsin-Eau Claire,11,8,"01/18/2015, 11:00",PLAY-IN,Final
bracket,19TH PLACE BRACKET
Miami,Wisconsin-Eau Claire,4,12,"01/18/2015, 13:00",19TH PLACE GAME,Final
Florida State (B),Miami,0,1,"01/18/2015, 11:00",19TH PLACE SEMIS,Final
b,r,e,a,k
