Eugene Summer Solstice #37,Club - Women ,20,6,2015
Eugene,OR,2015-06-20,2015-06-21
https://play.usaultimate.org/events/Eugene-Summer-Solstice-37/schedule/Women/Club-Women/
Nightlock,6
24,Vivi Stevens
25,STACI HOWARD
50,Claire Dobson
52,Annie Ngo
81,LAUREN GIBSON
89,Brenda Stevens
96,Patricia Anderson
b,r,e,a,k
Shotgun Betty,8
teamInfo,,"Boise, Idaho",,,
0,Amanda Porter
0,JACKIE WILLIAMS
0,Renee Cuillier
0,Abbie Abramovich
0,Samia Munayirji
0,Sarah Staller
0,Skyla Sisco
0,Andrea Kuenzli
0,MAIA PINSKY
0,Suzie Walter
0,KIMBERLY MORGAN
5,Angela Wells
9,Rosemary Widenor
23,Anna Thorn
58,Paige Kercher
b,r,e,a,k
Zephyr,13
teamInfo,,"Vancouver, British Columbia CA",,https://www.facebook.com/ZephyrUltimate,https://www.twitter.com/ZephyrUltimate
0,Natasha Wong
0,Dasha Gritsaenko
0,Junisa Nguyen
0,Evelyn Chan
0,Nekita Sidhho
0,Mridula Swayampakula
04,Petra Stephen
06,Julia Wu
10,WENDY LEBRETON
13,Serena Tam
15,Courtney Ng
20,Vivian Chen
23,Donna Rose
27,Karen Wright
28,Katherine Lee
31,Ivy Sebastian
44,Janelle Siwa
66,EMILY NOTON
69,Karie Holst
83,PAMELA MCCLELLAND
95,CARMEN CHUNG
99,Jennifer Lee
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Nightlock,Ivy,13,1,"06/20/2015, 09:00",Pool A,Final
Elevate,Seattle Grind,9,8,"06/20/2015, 09:00",Pool A,Final
Nightlock,Seattle Grind,13,6,"06/20/2015, 10:30",Pool A,Final
Ivy,Seattle Grind,4,12,"06/20/2015, 12:00",Pool A,Final
Elevate,Ivy,W,L,"06/20/2015, 13:30",Pool A,Final
Nightlock,Elevate,13,2,"06/20/2015, 15:00",Pool A,Final
U23 Women's National Team,Ivy,13,3,"06/20/2015, 16:30",Pool A,Final
U23 Women's National Team,Elevate,13,4,"06/20/2015, 18:00",Pool A,Final
U23 Women's National Team,Nightlock,12,7,"06/20/2015, 19:30",Pool A,Final
pool,Pool B
Schwa,Tempo,13,0,"06/20/2015, 09:00",Pool B,Final
Viva,LoCo,11,9,"06/20/2015, 09:00",Pool B,Final
Schwa,LoCo,13,9,"06/20/2015, 10:30",Pool B,Final
Tempo,LoCo,5,13,"06/20/2015, 12:00",Pool B,Final
Viva,Tempo,13,2,"06/20/2015, 13:30",Pool B,Final
Schwa,Viva,10,5,"06/20/2015, 15:00",Pool B,Final
Team Canada U23 - Women,Tempo,13,4,"06/20/2015, 16:30",Pool B,Final
Team Canada U23 - Women,Viva,9,8,"06/20/2015, 18:00",Pool B,Final
Team Canada U23 - Women,Schwa,L,W,"06/20/2015, 19:30",Pool B,Final
pool,Pool C
Fury,Deadly Viper Assassination Squad,13,1,"06/20/2015, 09:00",Pool C,Final
Venom,Wendigo,13,1,"06/20/2015, 09:00",Pool C,Final
Fury,Venom,13,3,"06/20/2015, 10:30",Pool C,Final
Underground,Wendigo,13,0,"06/20/2015, 10:30",Pool C,Final
Wendigo,Deadly Viper Assassination Squad,4,12,"06/20/2015, 12:00",Pool C,Final
Underground,Venom,13,4,"06/20/2015, 12:00",Pool C,Final
Fury,Wendigo,13,0,"06/20/2015, 13:30",Pool C,Final
Underground,Deadly Viper Assassination Squad,13,0,"06/20/2015, 13:30",Pool C,Final
Fury,Underground,12,6,"06/20/2015, 15:00",Pool C,Final
Venom,Deadly Viper Assassination Squad,8,5,"06/20/2015, 15:00",Pool C,Final
pool,Pool D
Seattle Riot,Wildfire,15,5,"06/20/2015, 09:00",Pool D,Final
Shotgun Betty,Zephyr,13,10,"06/20/2015, 09:00",Pool D,Final
Seattle Riot,Zephyr,15,1,"06/20/2015, 11:00",Pool D,Final
Shotgun Betty,Wildfire,9,13,"06/20/2015, 11:00",Pool D,Final
Seattle Riot,Shotgun Betty,15,3,"06/20/2015, 13:00",Pool D,Final
Wildfire,Zephyr,14,8,"06/20/2015, 13:00",Pool D,Final
b,r,e,a,k
brackets,Sunday Bracket Play
bracket,3rd Place
U23 Women's National Team,Schwa,9,11,"06/21/2015, 20:00",3rd Place,Final
bracket,5th Place
Team Canada U23 - Women,Wildfire,13,4,"06/21/2015, 19:00",5th Place,Final
Nightlock,Team Canada U23 - Women,6,8,"06/21/2015, 17:30",Semis,Final
Underground,Wildfire,9,10,"06/21/2015, 11:30",Semis,Final
bracket,7th Place
Nightlock,Underground,13,11,"06/21/2015, 13:00",7th Place,Final
bracket,Women's Championship
Seattle Riot,Fury,14,16,"06/21/2015, 14:00",Finals,Final
Schwa,Seattle Riot,7,13,"06/21/2015, 12:30",Semis,Final
U23 Women's National Team,Fury,4,13,"06/21/2015, 18:30",Semis,Final
Schwa,Nightlock,10,8,"06/21/2015, 10:00",Quarters,Final
Seattle Riot,Team Canada U23 - Women,13,5,"06/21/2015, 16:00",Quarters,Final
U23 Women's National Team,Underground,12,7,"06/21/2015, 16:00",Quarters,Final
Fury,Wildfire,13,2,"06/21/2015, 10:00",Quarters,Final
Nightlock,Shotgun Betty,11,7,"06/21/2015, 08:30",Prequarters,Final
Team Canada U23 - Women,Venom,1,0,"06/21/2015, 14:30",Prequarters,Final
Underground,Viva,13,7,"06/21/2015, 08:30",Prequarters,Final
Wildfire,Elevate,13,2,"06/21/2015, 08:30",Prequarters,Final
b,r,e,a,k
brackets,Sunday Consolation Bracket
bracket,Consolation Bracket
Zephyr,Viva,7,10,"06/21/2015, 13:00",Ninals,Final
Shotgun Betty,Zephyr,7,12,"06/21/2015, 11:30",Semis,Final
Viva,Deadly Viper Assassination Squad,8,6,"06/21/2015, 11:30",Semis,Final
Venom,Zephyr,5,9,"06/21/2015, 10:00",Quarters,Final
Viva,Seattle Grind,11,5,"06/21/2015, 10:00",Quarters,Final
Elevate,Deadly Viper Assassination Squad,7,10,"06/21/2015, 10:00",Quarters,Final
Shotgun Betty,LoCo,11,10,"06/21/2015, 10:00",Quarters,Final
bracket,13th Place
LoCo,Seattle Grind,8,11,"06/21/2015, 14:00",13th Place,Final
LoCo,Venom,13,6,"06/21/2015, 12:30",Semis,Final
Elevate,Seattle Grind,5,13,"06/21/2015, 12:30",Semis,Final
bracket,11th Place
Shotgun Betty,Deadly Viper Assassination Squad,0,1,"06/21/2015, 13:00",11th Place,Final
bracket,15th Place
Venom,Elevate,0,0,"06/21/2015, 14:00",15th Place,Cancelled
b,r,e,a,k
pools,Consolation Pool Play
pool,Consolation Pool
Ivy,Tempo,9,13,"06/21/2015, 10:00",Consolation Pool,Final
Wendigo,Tempo,5,13,"06/21/2015, 11:30",Consolation Pool,Final
Wendigo,Ivy,12,8,"06/21/2015, 13:00",Consolation Pool,Final
b,r,e,a,k
