Garden State VI,College - Women ,28,3,2015
Princeton,NJ,2015-03-28,2015-03-29
https://play.usaultimate.org/events/Garden-State-VI/schedule/Women/CollegeWomen/
Connecticut,1
36,Ashley Wu
39,SARAH ODELL
57,Daniele de Groot
99,Cynthia Li
b,r,e,a,k
Haverford,7
teamInfo,Sneetches,"Haverford, Pennsylvania",,,twitter.com/sneetchultimate
0,Katharine Frank
0,Ana Daviduke
0,SILVI SHAMETI
0,Charlotte Edelstein
0,Callie Perrone
0,RUTHIE  CARTWRIGHT
0,Larkin Johnson
0,Rosemary Ventura
0,MARINA RELMAN
0,DIPAALI REDDY
0,SARA JARAMILLO
2,Zoe Lewis
3,Jennifer Willemsen
20,Lauren Dana
22,ROMI LASKIN
26,Adriana Cvitkovic
27,Brianna Groh
68,Emily Chan
b,r,e,a,k
Princeton,3
teamInfo,Clockwork Orange,"Princeton, New Jersey",http://www.princeton.edu/~ultimate,,https://www.twitter.com/Huckmemaybe
00,Karen Feng
01,Lyra Olson
02,SALLY YU
03,Angela Liu
04,Evelyn Ding
05,Susannah Crowell
07,Jean Wang
08,Jane Urheim
09,Sherry Li
10,NANCY WU
11,Tianay Zeigler
12,EMILY ROGERS
13,LU YIN
14,Victoria Higgins
15,Katherine Pizano
16,Pleasant Garner
18,Sonia Howlett
21,Margaret Wang
23,Julianna Wright
26,Lindsey Conlan
30,Rachel Roberts
31,Linhchi Nguyen
34,AMY TAI
37,Nora Bradley
42,Amelia Hankla
69,Annie Chen
77,Grace Hack
b,r,e,a,k
Pennsylvania,6
teamInfo,Venus,"Philadelphia, Pennsylvania",http://www.dolphin.upenn.edu/ultimate/venus/,https://www.facebook.com/VenusUltimate,https://twitter.com/venusultimate
0,Camille Jwo
0,AMY KEECH
0,Carolyn Fante
0,Amanda Cornfield
0,SHIRA HENDLER
0,Elizabeth Reeves
0,SUZETTE WANNINKHOF
0,Hyo Jin PARK
0,ANGELA  CHANG
0,Alison Elliott
0,STEPHANIE HSU
0,WENXIN YANG
0,JUNE FREIFELDER
0,Maci McCravy
0,Jing Ren
0,MARIAH WEBB
0,Amanda Farah
0,Courtney Dougherty
21,MOLLY ELSON
b,r,e,a,k
Swarthmore,10
teamInfo,Warmothers,"Swarthmore, Pennsylvania",,,
00,Alice Herneisen
00,Roxanne Morris
00,Emily  Cai
00,"Emilie ""Shep"" Shepherd"
00,Shakina  Kirton
00,Leila Selchaif
00,Willa Glickman
00,Susan Whaley
03,Amy Jin
06,ISABEL KNIGHT
07,Cappy Pitts
17,Tessa Jones
21,KATRINA MIDGLEY
22,Rebecca Levine
24,TAMSIN TRUE-ALCALA
34,Adina Zucker
35,Isabel Baskin
55,Amanda Chan
b,r,e,a,k
Lehigh,11
teamInfo,Gravity,"Bethlehem, Pennsylvania",,,
0,Courtney Capobianco
0,Cynthia Cheng
0,Marissa Cannon
0,Madison Cannon
0,Jeanne Espourteille
0,Dana Waxenberg
2,Elizabeth Archibald
3,JENNA SMALLEY
6,Sarah Solberg
7,Juliet Chung
12,Emily Sechrist
18,Stephanie Hartson
19,Erin Barclay
20,Brianne Barker
21,Lindsay Levin
23,Diana Yeh
27,Emily Wilkinson
32,Taylor Stewart
41,KELLEN LOWRIE
48,CHRISTINA DINAPOLI
52,Bess Lorman
72,Lorraine Carnes
b,r,e,a,k
SUNY-Stony Brook,19
teamInfo,Smash,"Stony Brook, New York",,,
00,Whitney McCarthy
00,Kelly Pabon
00,Jessica Jolley
00,Caitlin (Katie) Heinlein
00,Nicolle Navaretta
00,Patricia Burks
03,Brigett Echeverria
23,Leanne Beyel
b,r,e,a,k
Northeastern (B),27
teamInfo,Valkyries,"Boston, Massachusetts",http://www.ultimate.neu.edu/men/newsite/blogs/index.php?blog=4,https://www.facebook.com/pages/Northeastern-Valkyries-Womens-Club-Ultimate-Frisbee/261962653833898?fref=ts,
0,Emma Katz
0,JENNY YAN
0,Siena Tice
0,Natalie Hopkins
0,Emily Hommel
0,Alexandra Roach
0,Paula  Cutrim 
0,Sara Grosslein
0,Charlotte Langer
0,Amanda Kuczmiec
0,Karen Zeise
27,Alice Guin
b,r,e,a,k
Franklin & Marshall,18
teamInfo,Blue Moon,"Lancaster, Pennsylvania",,,
0,Jessica Simon
0,Emily Brown
0,Elana Horowitz
0,Rachel Knochenhauer
0,Lindsay Williams
0,Lydia Storey
2,LYDIA OLSON
4,ALEJANDRA ZAVALA
5,Emma  Brown
9,Grace Riley-Adams
10,Phoebe Walsh
14,Sarah Berger
17,Julia Lake
18,BRENNA SNYDER
19,Sally Wynn
22,Courtney Flynn
28,Halley Gradus
77,Meghan Wuorio
b,r,e,a,k
Haverford (B),26
teamInfo,Sneetches,"Haverford, Pennsylvania",,,twitter.com/sneetchultimate
0,Kathryn Ross
0,Sabea Evans
0,Meghan Wingate
0,Mia  O'Reilly
0,Adina Paley
0,Chloe Lindeman
0,Hunter Rendleman
0,Isabella Ballerini
0,Helen Whitty
0,Elizabeth Royer
0,Rosemary Cohen
0,Audra Devoto
0,Maya Behn
0,Clara Abbott
0,Adedoyin Eisape
0,Susan Kelly
0,Jen Straus
0,Alexa Wight
0,Karen Aubourg
0,Amanda Friedman
0,Angelique Spencer
4,Nava Kidon
10,Grace Thiele
14,Marilee Oldstone-Moore
32,Molly Strange
35,Madison Tillman
39,Theresa Diffendal
b,r,e,a,k
SUNY-Albany,12
teamInfo,Deception,"Albany, New York",http://deceptionultimate.weebly.com/,https://www.facebook.com/pages/Deception-Womens-Ultimate-Frisbee/438416152842101?ref=hl,https://twitter.com/UADeception
3,Michaela Zholovnik
01,Caitlin Nee
05,Delia Sheehan
06,Kaitlyn Shear
07,Joeie Lum
08,Megan Giamei
12,Kathleen Bemis
17,Veronica Kolegue-Spalaris
18,Margaret Ritchie
21,Sydney Gobrick
22,Julia Bataille
27,Mary (Molly)  Naaktgeboren
33,Joely Castro
77,Yumi Nakada
89,Jessica Van Saders
b,r,e,a,k
Watchung Hills,20
teamInfo,Lady Warriors,"Warren, New Jersey",http://www.whrhs.org/Page/4221,,
0,Carrie Zhang
9,Amy Hu
17,Minhee Han
24,Jesse Song
27,Nicole Wang
28,Cidney Weng
42,KATHRYN STOLL
72,Camille Bahr
87,Amreeta Verma
88,Catherine Chen
b,r,e,a,k
Georgetown (B),25
teamInfo,Georgetown B- Biddin' Foyas,"Washington, District of Columbia",,,
coaches,Brendan Thompson,Katie Judd
0,Harshita Gaba
0,Barbara Kozee
0,Katherine Burns
0,Lucy  Kapples
0,Kate Cirillo
0,Fiona Meagher
0,EMMY BUCK
9,Caitlin Schanz
14,Julia Dunne
26,Abby Lindsay
27,Hannah Barnes
28,Phoebe Sauter
33,Alyssa Lazzeroni
69,Giselle Wallace
76,Lexie Hoeglmeier
93,STEPH SZAKATS
94,Madeleine Augostini
b,r,e,a,k
Connecticut (B),28
teamInfo,UConn Huskies B Team,"Stross, Connecticut",,,
0,Joanna Scuteri
0,Alexandra Valenta
0,Rebecca Hill
0,Denese Samuels
0,Morgan Trefny
0,Maura Beggin
0,Jacqueline Wolff
0,Meghan Lally
0,Michelle Costa
0,Ariel Virgulto
14,Joann Duman
20,Marissa Beggin
22,Marisa Taliercio
b,r,e,a,k
Amherst,17
teamInfo,Sparkle Motion,"Amherst, Massachusetts",https://www.amherst.edu/campuslife/studentgroups/sparkle_motion_ultimate,,
b,r,e,a,k
NYU,16
teamInfo,Violet Femmes,"New York, New York",,www.facebook.com/nyuvioletfemmes,www.twitter.com/afemmessaid
02,Hannah Baek
03,Elizabeth (Cassie) Bradley
04,Serena Adlerstein
07,Kysa McSky
10,Denia Viera
11,Michelle Tao
14,Elizabeth Kisch
15,BECCA JIANG
17,Chloe Rotenberg
17,CAMILA AREVALO
18,Tiffani Teng
20,Camryn Yurcisin
21,Grace Feinman-Riordan
22,Tessa Rosenberry
24,Vivian Zhang
27,McKenna Shaw
28,Christina Ponce
31,Haley Enns
42,Mary Rippe
48,Cecilia Winter
88,Amelia Burger
96,ADELINE WEYRICH
99,Kiyomi Taylor
b,r,e,a,k
SUNY-Oneonta,21
teamInfo,Love$eat,"Oneonta, New York",,,loveseatny
01,CARLY MIGNONE
03,Christina Coppola
05,RHIANNON SPENCER
08,Angela Petrus
09,Laura Murphy
11,Hayley Mattice
12,Danielle Smith
15,Jamie DeVivo
16,Olivia Brown
17,Kelly Smith
18,MaryKate Carroll
19,Alison Towsley
21,Catherine Feeney
23,Elaine Herron
25,Kathryn Fernandez
29,Kristen Daniel
30,Maris Plymale
38,Kathleen Owen
43,Emily Testa
46,Victoria Pigott
48,Candace Haskell
88,Anna Clark
b,r,e,a,k
Pennsbury High School,29
teamInfo,Pennsbury Ultimate Female Frisbee,"Yardley, Pennsylvania",,PUFF2015,FallPuff2014
00,Megan Berard
04,HANNAH NATALE
05,Olivia Alongi
06,HANNAH MILLEN
07,Elizabeth Hobbs
12,Madison  Sendlock 
13,Allie Argenti 
15,CARLEE CHRISTENSEN
19,Olivia Bradbury
20,Emily Burkhardt
21,RACHEL TESARCK
22,Lauren Zych
27,Samantha Nelligan
31,OLIVIA CAVALIER
44,Aimee Snyder
54,Kira Crain
b,r,e,a,k
Villanova,24
teamInfo,Hucking Halos,"Villanova, Pennsylvania",,,
0,Lauren Clem
0,Jean Hutchinson
0,Grace Horner
0,Katie Heroux
0,Alexandra Connors
0,Ashley Seyfried
0,Amanda Ehlers
0,Julie Chen
0,Ariana White
0,CARINA FAIRFIELD
0,AUBREE FAIRFULL
0,REBECCA LIN
0,DARCY MCLAUGHLIN
12,Kristina Duarte
15,Rachel Malloy
b,r,e,a,k
Dickinson,13
teamInfo,Jive Turkeys,"Carlisle, Pennsylvania",,,@JFTurks
0,Zoe Rollenhagen
0,VICTORIA REID
0,Miriam Miller
0,Olivia Boggiano-Peterson 
0,Emily Smith
0,Sarah Sloan
0,Alison DiLello
18,Kayla Simpson
22,Amber McGarvey
b,r,e,a,k
Columbia,30
teamInfo,PANDEMIC,"New York City, New York",,,
00,Becca Arbacher
00,Laura  Nussdorf
00,Zoe Zegers
00,GEORGELLE RUSSELL
00,Stephanie Huang
00,Tessa Bonduelle
00,GHISLAINE PAGES
00,Erica Chan
00,Priya Medberry
00,Nia Hollister-Bernier
00,Audrey Copeland
00,Chloe Knopp
00,Clarissa Liu
00,Adele Hunter
00,Lyra Cooper
00,Robyn Ridley
00,Grace Relf
00,Jessica Sacks
00,Amita Wanar
00,LAUREN FIELD
00,Sophia Hulbert
00,Rebecca Peet
00,JORDAN PALMER
21,VERONICA SO
b,r,e,a,k
Temple,15
teamInfo,T.U.F Broads,"Philadelphia, Pennsylvania",,,
0,Emma Palacio
0,Danielle Walsh
0,Jana Fenstermacher
0,JANE KRAUS
3,Samantha Youngfelt
4,Sarah Stankiewicz
5,Jacqueline Sayoc
6,Kristina Kummerer
10,Helen Van Natta
11,Rachel King
12,Chelsea Titlow
13,Kathleen Raftery
14,Jacklyn Huhn
15,Jenna Borges
17,Cassandra Wolsh
18,MICHAELA WINBERG
19,Caroline O'Brien
20,Kaila DeFrancesco
22,Blake Cohen
24,Katharine Petraglia
27,Alexandra Walker
28,Meghan Schaefer
29,Christina Ngo
b,r,e,a,k
Hofstra,14
teamInfo,M45,"Hempstead, New York",,,
0,Allyson Loy
0,Rachel Beaton
7,Mary McFarlin
13,MADI SCHEFFER
15,LAUREN CURLETT
19,Kelsey Kresge
21,Carolina Carrera
24,Maureen Oliva
24,JACLYN CASTORO
26,VERONICA SIPP
29,Lillian Smith
43,Kellie O'Brien
47,Miranda Pasquarella
73,Caitlin McCarthy
77,ERIN HADDEN
93,MEAGHAN D'AMICO
99,Emily Meredith
b,r,e,a,k
College of New Jersey,23
teamInfo,Anarchy,"Ewing, New Jersey",,,
0,Karoline Perez
0,Alyssa Beier
0,Jackie Kaletski
0,Lauren  Cascio
0,ANNE VANCLEVE
0,Katie LaBarbera
0,Alisha Basak
0,Alexa Anderson
0,Danielle Smolyn
7,DANIELLE DEGRAW
9,MEGAN MIHALIK
07,Emily Van Malden
10,GLORIA HAN
11,Alexa Jones
12,Cara Silvestri
14,Emily Schnorr
14,Nicole Petrillo
15,Miriam Meller
21,Elizabeth O'Grady
24,Sabrina Todaro
b,r,e,a,k
Philadelphia,22
teamInfo,PhilaU Womens,"Philadelphia, Pennsylvania",,,
coaches,Nicolas LoPresto
0,Allison Cavanaugh
0,Elena Garrido
02,Zhiwen Wang
06,MALIA WARNE-ROWE
10,Madeline Conway
17,Amanda Schafer
19,Charlotte Rymar
23,Rachael Huber
27,Sophia Warne Rowe
29,MEGAN EYER
42,CORAL HEFFRON NEUHOLD
95,Kelsey Kausch
b,r,e,a,k
s,t,a,g,e,s
pools,Power Pool
pool,Pool A
Connecticut,Rochester,12,6,"03/28/2015, 12:00",Pool A,Final
Yale,Rochester,9,5,"03/28/2015, 13:20",Pool A,Final
Connecticut,Bowdoin,10,7,"03/28/2015, 14:40",Pool A,Final
Yale,Bowdoin,6,8,"03/28/2015, 16:00",Pool A,Final
Connecticut,Yale,12,3,"03/28/2015, 17:20",Pool A,Final
Bowdoin,Rochester,8,7,"03/28/2015, 17:20",Pool A,Final
Bowdoin,West Chester,7,8,"03/29/2015, 00:00",Pool A,Final
Connecticut,West Chester,10,7,"03/29/2015, 01:20",Pool A,Final
Yale,West Chester,8,7,"03/29/2015, 02:40",Pool A,Final
West Chester,Rochester,7,5,"03/29/2015, 04:00",Pool A,Final
pool,Pool B
Boston College,Swarthmore,10,7,"03/28/2015, 12:00",Pool B,Final
Pennsylvania,Haverford,5,10,"03/28/2015, 12:00",Pool B,Final
Boston College,Pennsylvania,13,4,"03/28/2015, 13:20",Pool B,Final
Princeton,Haverford,6,8,"03/28/2015, 13:20",Pool B,Final
Haverford,Swarthmore,8,7,"03/28/2015, 14:40",Pool B,Final
Princeton,Pennsylvania,9,4,"03/28/2015, 14:40",Pool B,Final
Boston College,Haverford,11,5,"03/28/2015, 16:00",Pool B,Final
Princeton,Swarthmore,10,4,"03/28/2015, 16:00",Pool B,Final
Boston College,Princeton,6,5,"03/28/2015, 17:20",Pool B,Final
Pennsylvania,Swarthmore,8,5,"03/28/2015, 17:20",Pool B,Final
b,r,e,a,k
pools,Pool Play
pool,Pool C
Franklin & Marshall,Haverford (B),3,1,"03/28/2015, 13:20",Pool C,Final
Lehigh,Haverford (B),10,0,"03/28/2015, 16:00",Pool C,Final
Lehigh,Franklin & Marshall,11,3,"03/28/2015, 17:20",Pool C,Final
Lehigh,Northeastern (B),11,1,"03/29/2015, 00:00",Pool C,Final
SUNY-Stony Brook,Haverford (B),9,1,"03/29/2015, 00:00",Pool C,Final
Lehigh,SUNY-Stony Brook,6,5,"03/29/2015, 01:20",Pool C,Final
Haverford (B),Northeastern (B),6,7,"03/29/2015, 02:40",Pool C,Final
Franklin & Marshall,SUNY-Stony Brook,2,9,"03/29/2015, 02:40",Pool C,Final
Franklin & Marshall,Northeastern (B),6,7,"03/29/2015, 04:00",Pool C,Final
SUNY-Stony Brook,Northeastern (B),11,1,"03/29/2015, 11:20",Pool C,Final
pool,Pool D
SUNY-Albany,Connecticut (B),10,3,"03/28/2015, 12:00",Pool D,Final
Amherst,Georgetown (B),F,W,"03/28/2015, 13:20",Pool D,Final
Georgetown (B),Connecticut (B),6,5,"03/28/2015, 14:40",Pool D,Final
SUNY-Albany,Georgetown (B),10,3,"03/28/2015, 16:00",Pool D,Final
Amherst,Connecticut (B),F,W,"03/28/2015, 16:00",Pool D,Final
SUNY-Albany,Amherst,W,F,"03/28/2015, 17:20",Pool D,Final
Watchung Hills,Georgetown (B),7,2,"03/28/2015, 18:00",Pool D,Final
SUNY-Albany,Watchung Hills,7,6,"03/28/2015, 19:20",Pool D,Final
Amherst,Watchung Hills,F,W,"03/28/2015, 20:40",Pool D,Final
Watchung Hills,Connecticut (B),3,1,"03/28/2015, 23:20",Pool D,Final
pool,Pool E
Dickinson,SUNY-Oneonta,4,8,"03/28/2015, 13:20",Pool E,Final
NYU,SUNY-Oneonta,10,2,"03/28/2015, 14:40",Pool E,Final
Dickinson,NYU,2,9,"03/28/2015, 17:20",Pool E,Final
Dickinson,Pennsbury High School,4,8,"03/28/2015, 18:00",Pool E,Final
SUNY-Oneonta,Villanova,8,7,"03/28/2015, 18:00",Pool E,Final
NYU,Villanova,6,1,"03/28/2015, 19:20",Pool E,Final
Dickinson,Villanova,9,10,"03/28/2015, 22:00",Pool E,Final
NYU,Pennsbury High School,10,6,"03/28/2015, 22:00",Pool E,Final
SUNY-Oneonta,Pennsbury High School,7,5,"03/28/2015, 23:20",Pool E,Final
Villanova,Pennsbury High School,6,7,"03/29/2015, 02:40",Pool E,Final
pool,Pool F
Hofstra,Columbia,1,10,"03/28/2015, 12:00",Pool F,Final
Philadelphia,College of New Jersey,3,13,"03/28/2015, 12:00",Pool F,Final
Hofstra,Philadelphia,12,1,"03/28/2015, 13:20",Pool F,Final
Temple,College of New Jersey,9,3,"03/28/2015, 13:20",Pool F,Final
College of New Jersey,Columbia,5,7,"03/28/2015, 14:40",Pool F,Final
Temple,Philadelphia,11,0,"03/28/2015, 14:40",Pool F,Final
Hofstra,College of New Jersey,12,0,"03/28/2015, 16:00",Pool F,Final
Temple,Columbia,6,8,"03/28/2015, 16:00",Pool F,Final
Hofstra,Temple,4,7,"03/28/2015, 17:20",Pool F,Final
Philadelphia,Columbia,0,13,"03/28/2015, 17:20",Pool F,Final
b,r,e,a,k
brackets,Championship
bracket,Championship
Connecticut,Bowdoin,10,4,"03/29/2015, 14:30",Championship,Final
Connecticut,West Chester,9,6,"03/30/2015, 01:00",Semis,Final
Bowdoin,Boston College,10,3,"03/29/2015, 13:00",Semis,Final
Haverford,West Chester,7,9,"03/29/2015, 23:30",Quarters,Final
Boston College,Yale,11,7,"03/29/2015, 11:30",Quarters,Final
Connecticut,Columbia,10,4,"03/29/2015, 11:30",Quarters,Final
Bowdoin,Lehigh,10,6,"03/29/2015, 11:30",Quarters,Final
West Chester,SUNY-Albany,10,6,"03/29/2015, 22:00",Pre-Quarters,Final
Yale,NYU,10,5,"03/29/2015, 10:00",Pre-Quarters,Final
Pennsylvania,Columbia,8,11,"03/29/2015, 10:00",Pre-Quarters,Final
Lehigh,Princeton,1,0,"03/29/2015, 10:00",Pre-Quarters,Final
bracket,3rd
Boston College,West Chester,7,8,"03/30/2015, 02:30",3rd,Final
bracket,5th
Lehigh,Columbia,9,8,"03/29/2015, 16:00",5th,Final
Yale,Lehigh,5,10,"03/29/2015, 14:30",Semis (5th),Final
Haverford,Columbia,4,10,"03/29/2015, 14:30",Semis (5th),Final
bracket,7th
Haverford,Yale,1,0,"03/29/2015, 16:00",7th,Final
bracket,9th
NYU,Pennsylvania,7,10,"03/29/2015, 14:30",9th,Final
NYU,Princeton,1,0,"03/29/2015, 13:00",Semis (9th),Final
SUNY-Albany,Pennsylvania,2,13,"03/29/2015, 13:00",Semis (9th),Final
bracket,11th
SUNY-Albany,Princeton,1,0,"03/29/2015, 16:00",11th,Final
b,r,e,a,k
brackets,13th Bracket
bracket,13th
Temple,SUNY-Stony Brook,8,10,"03/30/2015, 01:00",13th,Final
Rochester,Temple,5,8,"03/29/2015, 11:30",Semis (13th),Final
SUNY-Stony Brook,Swarthmore,11,4,"03/29/2015, 23:30",Semis (13th),Final
Watchung Hills,Temple,3,9,"03/29/2015, 16:00",Play In (13th),Final
SUNY-Stony Brook,SUNY-Oneonta,11,4,"03/29/2015, 22:00",Play In (13th),Final
bracket,15th
Swarthmore,Rochester,6,7,"03/29/2015, 14:30",15th,Final
bracket,17th
SUNY-Oneonta,Watchung Hills,8,7,"03/29/2015, 19:00",17th,Final
b,r,e,a,k
brackets,19th Bracket
bracket,19th
Hofstra,Franklin & Marshall,1,0,"03/29/2015, 13:00",19th,Final
Hofstra,Pennsbury High School,10,2,"03/29/2015, 11:30",Semis (19th),Final
Franklin & Marshall,Villanova,7,6,"03/29/2015, 11:30",Semis (19th),Final
Northeastern (B),Hofstra,3,13,"03/29/2015, 16:00",Quarters (19th),Final
Pennsbury High School,Connecticut (B),4,2,"03/29/2015, 10:00",Quarters (19th),Final
Franklin & Marshall,College of New Jersey,9,4,"03/29/2015, 10:00",Quarters (19th),Final
Georgetown (B),Villanova,1,6,"03/29/2015, 22:00",Quarters (19th),Final
bracket,21st
Villanova,Pennsbury High School,0,1,"03/30/2015, 01:00",21st,Final
bracket,23rd
College of New Jersey,Connecticut (B),11,0,"03/29/2015, 13:00",23rd,Final
Georgetown (B),College of New Jersey,7,8,"03/29/2015, 11:30",Semis (23rd),Final
Connecticut (B),Northeastern (B),6,5,"03/29/2015, 23:30",Semis (23rd),Final
bracket,25th
Northeastern (B),Georgetown (B),6,4,"03/30/2015, 01:00",25th,Final
b,r,e,a,k
brackets,27th Bracket
bracket,27th
Philadelphia,Dickinson,2,10,"03/29/2015, 11:30",27th,Final
Amherst,Dickinson,0,1,"03/29/2015, 10:00",Semis (27th),Final
Haverford (B),Philadelphia,3,5,"03/29/2015, 10:00",Semis (27th),Final
bracket,29th
Amherst,Haverford (B),0,1,"03/29/2015, 13:00",29th,Final
b,r,e,a,k
