Women's College Centex 2015,College - Women ,21,3,2015
Austin,TX,2015-03-21,2015-03-22
https://play.usaultimate.org/events/Womens-College-Centex-2015/schedule/Women/CollegeWomen/
Kansas,12
10,Kelly Ross
11,Sadie Jezierski
12,Katie Backus
14,Emily Steedman
16,Corinn Pruitt
19,Jenna Galletta
20,Erika Murray
22,Mary Turner
25,Alora Reiff
37,Sarah Bushman
42,Rachael Beeman
44,Malika Smoot
57,Kelly Rusin
71,Caitlin Duffner
88,MICKELLEA TENNIS
95,Kristen Behrens
b,r,e,a,k
Texas,8
teamInfo,Melee,"Austin, Texas",http://texaswomensultimate.github.io/home/,https://www.facebook.com/utexasultimate,https://twitter.com/txmelee
0,Marissa Land
3,Domenica Sutherland
6,Rachel Arthur
05,Andrea Esparza
07,KELLY LAVINE
10,Gaby Cuina
11,Wendy Sun
12,Rachel Wong
14,Kimberly Sun
15,Sydney Overman
17,Kathryn Herbers
18,LAUREN MCKENNA
20,Susan Gilbert
23,Laura  Gerencser
26,LAURA VARGAS
29,Meghan Rutledge
89,Shiru Liu
b,r,e,a,k
Southern California,11
teamInfo,Hellions of Troy,"Los Angeles, California",http://www.uscwomensultimate.com/,,https://twitter.com/USCHellions
0,Alana Archer
0,Belinda Pak
0,Karlee  Hormell
0,Allegra Reister
0,Connie Chan
0,DANIELLE LEE
0,Jean Frazier
0,Cady Gooding
4,Amy Lee
5,KATHRYN FOWLER
8,Becklin Davis
10,Julia Johnson
11,Rona Sheen
11,Christie Yeh
12,Linda Hamon
15,Rachel Chang
17,Joyce Wen
18,ALAINA GEORGE
20,Zoe Serbin
22,Alyssa Perez
24,Avalon Igawa
b,r,e,a,k
UCLA,1
teamInfo,BLU,"Los Angeles, California",,www.facebook.com/UCLABLU,twitter.com/blultimate
coaches,Alexander Korb,Emma Frankel
02,MEGAN BECK
03,Jamie Lam
04,Kristen Pojunis
05,Lauren Kean
07,KELLYANNE TANG
08,Tiana Rangchi
10,Melissa Kan
11,Sylvia Liang
13,Alexis Whitaker
14,Julia Tang
15,Claire Simpson
16,Alyssa Worsham
17,Margot Stert
18,Camille Wilson
19,Rachel Wilson
19,Ann Lee
20,Vivian Griffey
21,Kerrie Tonking
22,Caroline McKee
23,BREANNA DIRKSE
25,Han Chen
31,Kathleen Lo
99,Maria Kazantsev
b,r,e,a,k
Central Florida,6
teamInfo,Central Florida,"Orlando, Florida",,,
0,Alexa Wood
0,FELICIA PEREZ
0,Nicole Wellman
0,Alyssa Alejandro
0,Nicole Feldman
3,jamie collins
4,Jesse Baldwin
6,Stephanie Williams
8,Shayna Brock
10,Mia Griner
11,Janina Freystaetter
18,KATHERINE DAVIDSEN
21,Seairra Wisniewski
24,Mary Wheeler
26,SHELBY SPENCE
31,Alexis Kerwood
36,Chloe Baldino
88,Emily Hayes
b,r,e,a,k
Northeastern,7
teamInfo,Valkyries A,"Boston, Massachusetts",http://www.ultimate.neu.edu/men/newsite/blogs/index.php?blog=4,https://www.facebook.com/pages/Northeastern-Valkyries-Womens-Club-Ultimate-Frisbee/261962653833898?fref=ts,https://twitter.com/ValksUltimate
coaches,Jason Adams,Courtney Kiesow,Chelsey Burrows
0,Hilda Doan
05,Eleanor Patten
06,Lauren Bertino
09,Harriet Booth
10,Shawn Zubin
11,ALEXANDRA ROSIN
12,Nicole Canning
14,Mei Bruist
15,Julianne Kloza
21,Jacqueline Firsty
22,Melissa Ellis
26,Ariel Bloch
28,SAMANTHA RATE
33,Samantha Gray
36,Elizabeth Way
37,Hannah Walter
38,Maggie Soto
43,TINA VIVIO
49,Heather Fielding Gebhardt
53,Katerina Stephan
64,Tracey Lum
b,r,e,a,k
Iowa State,10
teamInfo,Woman Scorned,"Ames, Iowa",http://iswomanscorned.blogspot.com/,https://www.facebook.com/pages/Woman-Scorned-Ultimate/245315626189,https://twitter.com/ISUWomanScorned
0,Clare Maksimovich
0,Abigail Poplawski
0,Emma Lorenz
0,Sarah Schneider
0,Blair Holck
0,Rachel Bates
2,Jean Colangelo
3,Kelly Hewitt
4,Brittnee Grimshaw
5,Liz Narmour
6,Hailey Kromminga
7,Jessica Mazzio
8,Emily Fung
12,Linda Morton
15,Elizabeth Meiman
16,CAMILLE NELSON
17,Janani Ragothaman
17,Shannon Allen
18,Sarah Leichty
20,Caitlin Durston
22,Kate Hunter
24,Megan Jameson
27,SAMANTHA SAUERBREI
33,KAYLA STAFFORD
34,MIAH BLOMQUIST
41,Natalie Bidner
71,CLAIRE Gunderson
84,Sara Stuedemann
b,r,e,a,k
Rice,30
teamInfo,Torque,"Houston, Texas",,,https://twitter.com/TorqueUltimate
0,Kelsi Wicker
2,Marie Hoeger
3,Samantha Paulsen
4,Emma Wine
5,Kelsey Nanneman
6,MARICA SHARASHENIDZE
8,CORDELIA BRAZILE
9,Isabella Yang
10,Angela Aie
11,Angela Yang
14,Maya Stokes
15,LAUREN GERNON
17,Jackie Li
18,Julie  Doar
19,KARA SCHILFGAARDE
20,Valerie Pinillos
21,Victoria Yuan
22,Rebecca  Lopez
23,Nichole Kwee
26,Brandi Ransom
32,Erika Danckers
34,Erin Yang
b,r,e,a,k
Fryz Ultimate,13
teamInfo,Girls),"Seattle, Washington",FryzUltimate.com,Fryz%20Ultimate,Fryz%20Ultimate@FryzUltimate
coaches,Alyssa Weatherford
0,Sophia Johansen
0,Josie Gillett
0,MAXIE JOLLY
0,Maya Powell
0,Claire Trop
0,Miyo McGinn
0,Abigail Kauff
0,Stephanie Phillips
0,Kaia Roast
0,Ally Constantino
7,Frances Gellert
10,Evelyn Reding
11,Elizabeth Chrach
11,Samiya Ismail
13,Nariah-Belle Sims
21,Kate Daugherty
22,Jack Verzuh
23,Michelle Yee
35,Rose Soiffer-Kosins
84,Hallie Dunham
b,r,e,a,k
Nebraska,21
teamInfo,Cuddle Raptors,"Lincoln, Nebraska",,,
2,Elizabeth Rock
4,MACKENSEY FAGAN
9,Danielle Piske
10,Christa Fisher
14,Kelli Rice
16,Samantha Myland
17,Emily Nichols
18,Michaela Daugherty
26,Maddie Montgomery
27,Megan EisenVos
28,Emily Kirkwold
33,Emily Wehrwein
53,ANGEL IVERSON
77,Kayla Anderson
87,Amanda Borders
96,SHADID DE LA ROSA
b,r,e,a,k
Chicago,24
teamInfo,Supersnatch,"Chicago, Illinois",,,https://twitter.com/SnatchSuper
0,Gabby Skifstad
0,Jenny Wang
0,Alicia Zhao
0,Rachel Hildebrand
0,MARANNA YODER
0,Hallie Parten
0,Amanda Dobbyn
0,LEAH KESSLER
0,CHARIS CROFTON
0,YEVANIT RESCHECHTKO
0,Ruby An
0,Vivian Ho
9,CAROLINE OWENS
16,Jesse Handler
18,Cecile Murray
26,Emily Wolfson
61,Hani Pajela
b,r,e,a,k
Purdue,28
teamInfo,AMOC,"West Lafayette, Indiana",http://purduewomensultimate.weebly.com/,,https://twitter.com/PurdueWomensUlt
coaches,Jasmine Draper-Matthew
01,Hannah Macher-Kohout
02,Amanda Postolowski
10,Nelson Jenig
11,Anne Hemmelgarn
12,Emily Beasley
13,Kristin Dudley
14,Haley Bartolomei
19,Lea Skuteris
21,BRIDGET  WELLMAN
23,MONICA LASLEY
26,Kennedy Clark
27,Emilie Garnier
34,Darien Rodriguez
56,Brigid  Hayes
65,Abigail Hallow
b,r,e,a,k
Wisconsin,19
teamInfo,Bella Donna,"Madison, Wisconsin",http://www.belladonnauw.wordpress.com,,https://www.twitter.com/bdultimate
02,Rachael Romaniak
03,MARGARET KENNEDY
04,Lorraine Guerin
05,Lauren Allin
08,Shanda Roeming
10,Jill Gorges
11,Anna Paulson
12,Jessica Liu
14,Anna Hrovat-Staedter
15,SARAH YEAZEL
16,Molly Berkholtz
20,Jenna Thorp
21,Anneke Vermaak
22,Alina Dain
23,Caroline Mueller
24,Lauren Roach
27,Leslie Boey
28,Madison Letcher
34,MARISSA PAULSON
44,Hannah Frank
60,Claire Cech
87,RACHEL OKERSTROM
b,r,e,a,k
California-San Diego,14
teamInfo,UCSD Psychos,"San Diego , California",http://www.psychoultimate.com/,https://www.facebook.com/psychoultimate?ref=br_tf,@psychoultimate
coaches,Carlo Mosca
0,Elizabeth Cowan
01,Kylie Shen
02,RACHEL KATE HOMER
03,BRIDGET ZEIGER
04,Shelby Triplitt
10,Maria Zavala
11,Julia Salvacion
16,Jorie Moore
19,Juliana Jordan
22,Sheliemae Lai
33,Eimear Keyes
43,Stacy Tran
45,Maryjo Sampang
47,Dena Elimelech
54,Alyssa Lopez
73,Maria Peterson
88,Christina Huynh
b,r,e,a,k
Maryland,20
teamInfo,Helpful Corn,"College Park, Maryland",https://sites.google.com/site/umdwomensultimate/,https://www.facebook.com/UMDhelpfulcorn,https://twitter.com/UMD_HelpfulCorn
coaches,Kate Chang,Michael Lopresti
0,Margaret Tatum
0,Kristen Mesmer
0,Amanda Wang
0,Katrina Gramzinski
1,Paige Nelson
8,Hanna Finigan
12,Allyson McCarthy
17,Juliet Bishop
18,Galen Reifsnider
22,SHANNON COOPER
23,Sarah Lord
25,KATHERINE (KATY) WELLINGTON
31,Amritha Mallikarjun
33,Jackie Weiss
b,r,e,a,k
Colorado College,18
teamInfo,Lysistrata's Tools,"Colorado Springs, Colorado",,,
0,Baheya Malaty
0,Caitlin Hegg
0,Rachael Maxwell
1,VIRGINIA  HILL
3,NINA LUNDSTROM
4,MADISON ANDRES
5,Robin Fassett-Carman
6,Chloe Rowse
8,RACHEL KATZOFF
10,Hanna Ewell
12,Anna Doctor
14,Jennifer Grossman
15,Emily Komie
16,Abigail Lew
17,Patty Weicht
18,Audrey Mills
19,Cate Ellison
20,EILEEN SAUNDERS
21,Elizabeth Alvin
22,JESSICA BADGELEY
27,Maggie Bailey
28,Monica Weindling
32,ALEXIE MILLIKIN
37,Rosa Baum
44,Katia Krupa
64,Annie Brewster
71,Erika Hiromitsu
81,Corey Baron
b,r,e,a,k
Harvard,17
teamInfo,Quasar,"Cambridge, Massachusetts",http://www.hcs.harvard.edu/~ultimate/index.php,https://www.facebook.com/quasarultimate,https://twitter.com/QuasarUltimate
0,Karine Hsu
0,Alicia Monfre
0,Isabel Alexander
0,Monica Hersher
0,Cindy Okamoto
0,Kelly McGee
0,Hannah Sears
0,Grace Lin
0,LEORE LAVIN
0,Calais Galbraith
0,REBECCA RAMOS
0,Emily Houlihan
0,Jayne Pilachowski
0,Emilia (Mia) Bladin
0,Jacqueline Martinez
3,Eliza Chang
8,India Stubbs
12,Annie Yang
15,Ella Park-Chan
17,Elizabeth Pugh
b,r,e,a,k
Iowa,22
teamInfo,Saucy Nancy,"Iowa City, Iowa",http://saucynancyultimate.weebly.com/,https://www.facebook.com/pages/Saucy-Nancy-Ultimate/134360866670281,https://twitter.com/SaucyNancyIowa
00,Samantha Meccia
01,BETH BRICHETTO
02,Rachel Bradley
04,SONJA HUTCHENS
09,Jessica  Peterson
16,Samantha Bartlett
18,EMILY FUJII
22,Nicole Johnson
23,Clarisse Chia
27,JULIE MALLER
31,Emily Novick
33,Anna Pritchard
34,EDRIENNE FAE YAP
42,Raleke Hughes
55,Elizabeth Gronert
84,Nicole Havel
b,r,e,a,k
Northwestern,27
teamInfo,GungHo,"Evanston, Illinois",http://groups.northwestern.edu/gungho/,https://www.facebook.com/NUgungho,GungHoUltimate
coaches,Carol Li
02,Alexandra Hu
04,Allegra Wilson
06,HOPE HELLMANN
10,TAMMY WONG
13,Phoebe Evans
15,Bridget Miles
16,Christina Sur
18,Jessica Hoffman
19,JEN WHITE
21,Jennifer Evans
22,Katherine George
23,STEPHANIE WANG
26,Jenny Li
33,Kelsey Dennis
35,Jenny  Loeff
42,KATHY ZHANG
47,Anri Brod
94,SARAH MORTENSEN
b,r,e,a,k
Minnesota,26
teamInfo,Ninjas,"Minneapolis, Minnesota",http://ninjawomensultimate.weebly.com,https://www.facebook.com/NinjaWomensUltimate,https://twitter.com/NinjaUltimate
coaches,Brenna Hokanson,Katie Godfrey
02,Stephanie Wood
03,Makella Daley
04,ANNA KYTONEN-COFFMAN
05,Kalli Poletto
07,SAMMY HOEN
08,Greta Regan
09,Sara  Helm
11,Alyson Gagner
12,Heather Taylor
14,Kristy Wagner
18,Anna Miller
19,Alyssa Belsito
20,Kajsa Beatty
21,EMILY Jones
22,MADELINE HUDEK
27,SAMANTHA ROSNER
35,Sarah Anciaux
36,Ratih Sutrisno
66,Clare Riley
71,Bridget Bakko
b,r,e,a,k
Michigan,16
teamInfo,Flywheel,"Ann Arbor, Michigan",www.flywheelultimate.com,,@UmichFlywheel
coaches,Benjamin Murphy
01,Kari Paine
02,Ali Jensen
03,Kati Turner
07,Elizabeth Benedetto
09,Nina Janjic
11,Tracey Lo
13,AMANDA INGLESH
14,Meghan Campano
16,Danielle DeJournett
17,Maya Grumeretz
20,Emma Boyd
22,Meghan Drews
23,Elizabeth Vana
24,Charlotte Wilson
34,Carolyn Vlach
37,Hannah Henkin
44,Grace Denney
48,Hannah Gannon
81,Breanna Berka
b,r,e,a,k
MIT,15
teamInfo,Smite,"Cambridge, Massachusetts",http://scripts.mit.edu/~womens-ult/,https://www.facebook.com/smiteultimate,https://twitter.com/ultismite
coaches,Lauren Nelson,Shellie Cohen
2,Annie Phan
5,Kelly Liu
7,Monica Hsiue
9,Lisa Liu
11,Neerja Aggarwal
13,KRISTEN MURRAY
18,Charlotte Zhu
22,Alina Li
24,MEAGHAN FITZGERALD
26,Stacy Mo
81,Margaret Carpenter
b,r,e,a,k
Florida,23
teamInfo,FUEL,"Gainesville, Florida",gvilleultimate.com/FUEL/#!/,https://www.facebook.com/FUELenfuego,https://twitter.com/FUELenfuego
0,Jaime Estes
2,Courtney Testa
4,Harley Peters
6,Diana Elsner
7,Lily Moline
8,Lucy Berman
9,Reba Havis
10,Tori Taylor
12,ANNA HINKELDEY
13,SIRENE DAGHER
14,Lauren Quiroga
15,Sarah Toth
17,Lexie Krehbiel
22,STEPH JAMIS
23,Alexis Brantly
32,Stephanie Sheridan
73,Evangeline Abraham
80,Kelsea LeBeau
88,Tara Rambo
b,r,e,a,k
Texas State,33
teamInfo,Trainwreck,"San Marcos, Texas",http://trainwreckfrisbee.wix.com/txstwomensultimate,https://www.facebook.com/TexasStateTrainwreck,https://www.twitter.com/txst_trainwreck
coaches,Caleb Denecour
0,Amanda Bland
0,Conner  Gonzales 
0,Melissa Farber
0,JERRY BENAVIDEZ
0,Valerie Murillo
0,Valerie Sotelo
0,Chelsea Graham
0,Jessica Kishi
0,Martie Swinhoe
0,Hannah Rondan
0,Serafina Lopez
0,Jessica Rodriguez
12,Anne Ortiz
b,r,e,a,k
Georgia Tech,29
teamInfo,Wreck,"Atlanta, Georgia",http://wreckultimate.wordpress.com/,https://www.facebook.com/pages/Wreck/157511247708349,https://www.twitter.com/GTWreckU
0,Yuna Oh
1,Kelsey Tjen
3,Aimee Gerold
4,Julia Ting
5,Megan Ramsey
7,Taylor Hartman
10,Donnya Ajdari
12,Ashley Brown
13,Bridget Nabb
14,Sage Kemmerlin
17,Sophie Kay
18,KATHERINE SIEGEL
18,Megan Yang
22,MADELEYNE VACA
26,Cate Woodhurst
27,Briana Grant
28,Madeline Smerchansky
29,Claire Davidson
33,Jennifer Yu
68,Jackie Podoll
77,PAMELA SHWAYRI
b,r,e,a,k
South Florida,35
teamInfo,Scallywenches,"Tampa, Florida",,,
0,Brielle LeClear
0,Rikki Rummel
0,Laurentz Gilmore
0,Corinn Beem
0,Olivia Jayne
0,Brittany Dudley
0,MEGHE PASIENZA
0,Rebekah Mabe
0,Brittany  Wert 
1,MORGAN BRAZEL
18,Franchesca Cassanese
20,Braanah Craig
88,Hollynn Ricker
b,r,e,a,k
Colorado (B),43
teamInfo,Devi,"Boulder, Colorado",http://www.kaliultimate.com/,https://www.facebook.com/ColoradoWomensUltimate,https://twitter.com/DeviUlti
coaches,Christina Mickle
0,Carolyn  Mason
0,Madeline Pellicore
0,Madden Kuljis
0,ALEXANDRA KARPILOW
0,Mai Tanno
0,JEN FORRISTER
16,JESSICA SHUSTER
18,Katiana Hutchinson
21,MEAGHAN PAYNE
23,ANNA WOOD
24,Kendra Heuer
27,Rachel Austefjord
31,Chelsea Gerleit
37,MEREDITH KRAUTLER-KLEMME
78,GRACEANNE CASTO
b,r,e,a,k
Texas (B),40
teamInfo,Mayhem,"Austin, Texas",http://utexaswomensultimate.wix.com/frisbee,https://www.facebook.com/utexasultimate,https://twitter.com/tx_mayhem
0,MARINA MARTIN
0,Victoria Bellamy
0,Stephanie Pham
0,Olivia Angel
0,SHELBY WIEDRICH
0,Kara Wright
0,Geena May
0,Emily Coleman
0,Sarah Hutchinson
0,Laura Maria Gomez
0,MADELINE STAGER
0,Monika Taneska
0,KELLY COLES
0,Anisha Borthakur
0,Jamie Hackbarth
0,Victoria Nguyen
15,Aniela Zarzar
b,r,e,a,k
Colorado State,34
teamInfo,Hell's Belles,"Fort Collins, Colorado",,https://www.facebook.com/csuwomensultimate,@HellsBellesUlti
coaches,Lance Everette,Brianna Quigley,Maia Nguyen
0,Rachel Ericson
0,Cristiana Falvo
0,BROOKE WALSH
0,Maddie Pielert
0,OLIVIA GEORGIA
0,Kat Killingsworth
0,CARRIE NICKEL
2,STEPHANIE PUCHINO
3,Molly Clay
4,CAROLINE SCHMITZ
6,ARIEL LOPEZ-SANTILLANA
8,RACHEL ACKER
12,Mollie Phillips
14,Nicole Bauer
18,Laura McLean
21,Rachel Street
23,Hannah Hinchsliff
48,Aubree Dietrich
b,r,e,a,k
Texas A&M,36
teamInfo,Stacked,"College Station, Texas",,https://www.facebook.com/TAMUStacked,
01,Nicole Gautam
02,Natalie Black
04,Barbara Smith
07,Katherina Kang
12,Kelly Marshall 
13,Jennifer Michelle Prouty
14,Josette Cervantes
15,Erin Prucha
16,Hannah Bruce
21,Emily Miller
23,Rebecca Burch
27,MELANIE MASCORRO
33,Kristin Reid
44,Jordan Harn
64,Megan Tschoepe
b,r,e,a,k
Wisconsin-Eau Claire,32
teamInfo,SOL,"Eau Claire, Wisconsin",http://solultimate.blogspot.com/,https://www.facebook.com/pages/UWEC-SOL-Ultimate/119434234738605,https://twitter.com/SOLultimate
0,MEGAN ZIBROWSKI
0,Eva Popp
0,Serena Schultz
0,Kelsey Weister
0,Kendra Kalvin
0,Emily Androschko
0,Megan McHenry
0,Kate Harrison
0,Kaitlin Lofgren
0,Marissa Egeland
0,Megan  Huntley
0,Hannah Adams
0,Emily Dalhoff
0,Maggie Douglas
0,LAUREN STEPANIK
0,Alexys Woodward
0,Hannah Wirth
0,LAURA EMORY
6,KATE DOCKSEY
14,Jessica Hendrickson
17,Hanna Larson
23,Clancy Ferris
28,Brandy Turcotte
34,Caty Ferris Schultz
b,r,e,a,k
Miami,44
teamInfo,Southern Tropical Depressions,"South Miami, Florida",,https://www.facebook.com/UniversityOfMiamiUltimateClub,https://twitter.com/UMWultimate
0,Stephanie Tewes
0,Natalie Kaminsky
0,Christine Callahan
5,Camila Heard
7,Jinsun Moon
8,Miranda Goot
12,Kerrie Heckel
17,Megan Lee
42,Rachelle Mariano
55,Clarisse Lopez
69,Amanda Mateo
b,r,e,a,k
Florida (B),41
teamInfo,Diesel,"Gainesville, Florida",,,
5,Jennifer Ralphs
6,Rose Buchbinder
8,Kaitlin O'Keefe
9,Natalie Watt
10,Lien Nguyen
11,Megan George
12,Camilla  Edwards
15,Kylie Auble
16,Meagan Nelson
18,Kylie Sterling
19,Anne Tolson
22,Gabrielle Jessurun
24,Alyssa Pipitone
25,Megan Mullally
27,Amanda Moss
28,NATALIA SHRINGARPURE
55,Qi Li
59,Melanie Conn
99,Rachel Kalisher
b,r,e,a,k
Washington University,25
teamInfo,Iron Horse,"St. Louis, Missouri",,https://www.facebook.com/twoWUs,https://twitter.com/wuwultimate
0,Naomi Goldstein
0,EMILY KENT
0,Jennifer Smith
0,SOPHIA BROWN
0,Rachel Stockdale
0,Lauren Reidy
0,BREANNA SWENSON
0,Eileen Duffner
0,Sarah Jane Yockers
1,Anat Gross
9,Stephenie Wang
10,NATALIE SPITZER
12,NICOLE BILTZ
16,Natalie Gould
25,ALLISON BUKYS
28,Caroline Buhse
31,Olivia Robinson
33,Maya DeHart
44,Claire Milton
b,r,e,a,k
Emory,31
teamInfo,Luna,"Atlanta, Georgia",,,
2,Jin Hyung Lee
3,Rachel Thurston
5,Phebe Kemmer
6,Caitlyn Arno
7,Saumya Goel
8,Crystal Chu
9,Andrea Abbate
10,Caroline Pearson
11,KATHERINE NYSTROM
12,MARISSA KOVEN
13,Zina Stavitsky
14,TALIA GILBERT
16,Danielle Swales
18,Meggie Stewart
20,Carolyn Perry
21,ABIGAIL LEE
27,Katherine Voss
29,Ayushi Ashar
31,Vivie Lee
33,Daniella Bernstein
36,Arianna Robbins
87,Sarah Burzynski
b,r,e,a,k
Texas Christian,38
teamInfo,Wrath,"Fort Worth, Texas",,,
02,Marianne Damian
03,Zoey Clark
04,Carolyn Howell
07,Madison Garrett
09,Christina Jones
11,Megan Pleshek
13,Senna Nilsson
15,Elise Path
16,Marisa Zamora
20,Kelly Guilbeau
21,Shelby Hedrick
23,Cailin O'Mara
27,Jackie Drazan
28,Mollie Danel
33,Mekaila Murray
b,r,e,a,k
Ohio State (B),42
teamInfo,Fever-B,"Columbus, Ohio",,,
0,Clare Pruitt
0,Alexandria Bobosky
0,Stacy Lu
0,Amanda Backus
0,Grace Allwein
0,Yeri McClain
0,TAMARA MCCLURE
0,Zoe Bliss
0,Claudia Moeller
0,Jill Ellis
0,Lily Mae Abels
0,GRACE ANDERSON
0,Jenny Samiec
78,Tiffany Lim
b,r,e,a,k
Trinity,39
teamInfo,Altitude,"San Antonio, Texas",http://www.trinitytigers.com/information/recsports/Club_Sports/Ultimate_Frisbee,,
0,JESSICA HEPPARD
0,Annie Schwartz
0,Claire Warkentin
0,Madeline Sears
0,Liliana Diaz
0,Grace Frye
0,Sarah Bovio
0,Molly Hogsett
0,Madison Sawyer
0,Micaela Hoffman
0,Marissa Torres
4,Lexie Dallmann
13,Maria Eaton-Mercado
25,Cat O'Shei
b,r,e,a,k
s,t,a,g,e,s
pools,Tier 1
pool,Pool B
Colorado,California,15,4,"03/21/2015, 11:00",Pool B,Final
Florida State,Kansas,13,14,"03/21/2015, 11:00",Pool B,Final
Colorado,Kansas,10,12,"03/21/2015, 13:00",Pool B,Final
Florida State,California,8,7,"03/21/2015, 13:00",Pool B,Final
Colorado,Florida State,12,4,"03/21/2015, 15:00",Pool B,Final
California,Kansas,7,11,"03/21/2015, 15:00",Pool B,Final
pool,Pool C
Ohio State,Texas,11,5,"03/21/2015, 11:00",Pool C,Final
Tufts,Southern California,15,7,"03/21/2015, 11:00",Pool C,Final
Ohio State,Southern California,10,8,"03/21/2015, 13:00",Pool C,Final
Tufts,Texas,11,7,"03/21/2015, 13:00",Pool C,Final
Ohio State,Tufts,6,10,"03/21/2015, 15:00",Pool C,Final
Texas,Southern California,8,6,"03/21/2015, 15:00",Pool C,Final
pool,Pool A
UCLA,Northeastern,9,8,"03/21/2015, 10:00",Pool A,Final
Central Florida,Iowa State,12,7,"03/21/2015, 10:00",Pool A,Final
UCLA,Iowa State,11,3,"03/21/2015, 12:00",Pool A,Final
Central Florida,Northeastern,13,7,"03/21/2015, 12:00",Pool A,Final
UCLA,Central Florida,11,3,"03/21/2015, 14:00",Pool A,Final
Northeastern,Iowa State,13,5,"03/21/2015, 14:00",Pool A,Final
b,r,e,a,k
pools,Tier 2
pool,Pool D
Chicago,Rice,12,10,"03/21/2015, 09:00",Pool D,Final
Chicago,Nebraska,9,12,"03/21/2015, 11:00",Pool D,Final
Nebraska,Rice,7,13,"03/21/2015, 13:00",Pool D,Final
Fryz Ultimate,Nebraska,13,12,"03/21/2015, 15:00",Pool D,Final
Fryz Ultimate,Rice,9,12,"03/21/2015, 17:00",Pool D,Final
Fryz Ultimate,Chicago,15,7,"03/21/2015, 19:00",Pool D,Final
pool,Pool E
