Northwest Plains Mixed Sectionals,Club - Mixed ,29,8,2015
https://play.usaultimate.org/events/Northwest-Plains-Mixed-Sectionals-2015/schedule/Mixed/Club-Mixed
Minneapolis Millers,1
26,Molly Berkholtz
27,Clay Schelitzche
29,Sarah Doege
33,Aidan Boyle
41,Molly Schelitzche
69,Isaiah Lyons-Galante
86,Christopher Chang
b,r,e,a,k
TMI,11
0,JOHN HERMES
0,Ashley Hart
0,Matt Grabau
0,Roxie Anderson
0,BRIAN HOCKERS
0,Jon Kallin
0,WILBUR KAN
0,Hailey Bronson
0,KRISTIN WOHLRABE
0,Kristi Scharl
0,PAUL OGRINC
0,CARMELINDA CLARK-BOUCHARD
0,Brandon Kirchhof
0,JAIME KAHLER
0,Michelle Johnson
0,Madeline Mandel
0,Kenneth Johnson
0,Chris Chapman
0,Kathryn Juettner
0,Peter Scharl
0,Eric Hart
1,RYAN CARLSON
11,Grant Erickson
15,Tim Corcoran
b,r,e,a,k
Brew City Bandits,14
0,Jordan Downing
01,Shane Mueller
02,CAROLINE MILLER
03,RYAN MCHUGH
04,Erin Dugan
05,MONIKA ORAWIEC
06,Morgan Reminder
08,TESSA DANIELSON
10,ERIC MAUS
11,Heather Posl
12,Kyle Matthews
17,Dylan Baier
18,Helen Koth
19,Joe Bluma
20,Justine Espisito
21,JESSICA BAHLING
22,Amy Donahue
23,Katelyn Phillips
25,Benjamin Olson
27,MICHAEL LIANG
30,Tyler Ignatowski
33,Jayd Phelps
47,KENNETH BONTEMPO
84,Troy Roberts
b,r,e,a,k
Cream City Crooks,4
02,Oliver Rytman
03,Frank Ontaneda
04,Lauren Williams
05,Jonathan Fong
06,MAEVE DWYER
08,MARYKAY DREISILKER
10,Laura Nelson
10,DEVON ARMSTRONG
11,Devin Simonelli
12,AMANDA LORENTZEN
13,MATTHEW BENDER
17,Dan Laurila
18,Grant Wagner
19,Michael Morrison
23,Nick Fellows
24,Justin Simanson
28,AUSTIN LANDGRAF
29,Mike Armstrong
42,Austin Hinz
46,Maelyn Geisthardt
53,Abigail Lindsay
77,Madeline Rittgers
81,Joseph Pederson
82,Andrew Czekalski
87,Austin Prucha
88,Heather Vilbrandt
99,Kelsey Morrison
b,r,e,a,k
No Touching,5
0,Jolien Munsterhuis
0,Sam Pepe
0,Natalie Kallhoff
0,Vu Nguyen
0,Sheila Cheng
0,Sam Valesano
0,Joe Andrighetti
0,Graham Brayshaw
0,Reed Bailey
0,Paul Norgaard
0,PAUL KRUSE
0,Dan VanBergen
0,Aaron Hushagen
0,Michael Tschida
0,Jimmy James McDonald
0,Kirsten Walters
0,Tony Michaelson
7,Brianna Andrighetti
7,Jeremiah Gagner
9,Tyler McKean
9,Lauren Keiser
16,Lindsay Trosvig
64,Erik Nerison
77,G. Scott Walters
78,Jeremy Keiser
b,r,e,a,k
Bluffdragons,13
0,CHRISTOPHER RIES
6,Sam Wood
7,Rachel Wotruba
7,Clint Tudahl
11,Emeka Donald Egbuji
12,NICHOLAS BYRON
14,Brandon Gaethke
15,Carli Wood
15,ANTHONY STELTER
17,Sarah Garstecki
19,Cody Rondeau
21,Victoria Brown
24,Samuel Vanden Hogen
27,Kalli Leutenegger
31,MARK MIRESSE
32,BENNETT MYERS
42,SIERRA COLAVITO
44,Laura Meyer
51,Craig Wotruba
52,Marcus Menzel
55,Sarah Pinon
57,Anthony Verga
60,BRETT TOWNSEND
99,Evan Handley
b,r,e,a,k
Spirit Fowl,12
0,MICHAEL BURKE
0,Clare Riley
0,MATT ARCHBOLD
0,Andrew Johnson
7,Erin Woitte
7,RANJI RAMROOP
8,Greta Regan
9,Sara  Helm
11,Justin Wollin
13,Sam Eherenman
15,MAXFIELD ROTERT
19,Alyssa Belsito
22,Adam Meckstroth
25,MATTHEW BERTHIAUME
33,Makella Daley
36,Ratih Sutrisno
47,Dan Wylie
52,Nathaniel Koch
73,Charlie Enders
84,Edward Mallak
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Minneapolis Millers,Team Rocket,13,2,"08/29/2015, 08:30",Pool A
Mojo Jojo,Nonsuch Ultimate,13,8,"08/29/2015, 08:30",Pool A
Minneapolis Millers,Mojo Jojo,13,2,"08/29/2015, 10:15",Pool A
Mastodon,Nonsuch Ultimate,13,10,"08/29/2015, 10:15",Pool A
Nonsuch Ultimate,Team Rocket,13,2,"08/29/2015, 12:00",Pool A
Mastodon,Mojo Jojo,11,12,"08/29/2015, 12:00",Pool A
Minneapolis Millers,Nonsuch Ultimate,13,5,"08/29/2015, 13:45",Pool A
Mastodon,Team Rocket,13,1,"08/29/2015, 13:45",Pool A
Minneapolis Millers,Mastodon,13,2,"08/29/2015, 15:30",Pool A
Mojo Jojo,Team Rocket,13,3,"08/29/2015, 15:30",Pool A
pool,Pool B
Bird,The Herd,13,0,"08/29/2015, 08:30",Pool B
Coalition Ultimate,Carleton Alumni Team,13,9,"08/29/2015, 08:30",Pool B
Bird,Coalition Ultimate,13,9,"08/29/2015, 10:15",Pool B
Boomtown Pandas,Carleton Alumni Team,13,6,"08/29/2015, 10:15",Pool B
Carleton Alumni Team,The Herd,13,9,"08/29/2015, 12:00",Pool B
Boomtown Pandas,Coalition Ultimate,12,9,"08/29/2015, 12:00",Pool B
Bird,Carleton Alumni Team,13,5,"08/29/2015, 13:45",Pool B
Boomtown Pandas,The Herd,13,0,"08/29/2015, 13:45",Pool B
Bird,Boomtown Pandas,13,5,"08/29/2015, 15:30",Pool B
pool,Pool C
Minnesota Star Power,TMI,15,9,"08/29/2015, 10:30",Pool C
Mad Udderburn,Brew City Bandits,15,3,"08/29/2015, 10:30",Pool C
Minnesota Star Power,Brew City Bandits,15,4,"08/29/2015, 12:30",Pool C
Mad Udderburn,TMI,15,12,"08/29/2015, 12:30",Pool C
Minnesota Star Power,Mad Udderburn,15,9,"08/29/2015, 14:30",Pool C
TMI,Brew City Bandits,15,4,"08/29/2015, 14:30",Pool C
pool,Pool D
Cream City Crooks,Spirit Fowl,15,9,"08/29/2015, 10:30",Pool D
No Touching,Bluffdragons,15,2,"08/29/2015, 10:30",Pool D
No Touching,Spirit Fowl,15,7,"08/29/2015, 12:30",Pool D
Cream City Crooks,Bluffdragons,15,10,"08/29/2015, 12:30",Pool D
Spirit Fowl,Bluffdragons,10,12,"08/29/2015, 14:30",Pool D
Cream City Crooks,No Touching,15,11,"08/29/2015, 14:30",Pool D
b,r,e,a,k
brackets,Championship
bracket,1st Place
Minneapolis Millers,Bird,15,12,"08/30/2015, 13:00",Finals
Minneapolis Millers,Cream City Crooks,15,8,"08/30/2015, 09:00",Semi-Finals
Minnesota Star Power,Bird,8,13,"08/30/2015, 09:00",Semi-Finals
b,r,e,a,k
brackets,Second Place
bracket,2nd (3rd)
Bird,No Touching,15,6,"08/30/2015, 15:00",2nd Place
No Touching,Boomtown Pandas,15,9,"08/30/2015, 13:00",4th Place (L)
Minnesota Star Power,No Touching,7,15,"08/30/2015, 11:00",Round 2 [2]
Boomtown Pandas,Cream City Crooks,15,10,"08/30/2015, 11:00",Round 2 [2]
Mojo Jojo,No Touching,3,15,"08/30/2015, 09:00",Round 1 [2]
Mad Udderburn,Boomtown Pandas,11,15,"08/30/2015, 09:00",Round 1 [2]
b,r,e,a,k
brackets,Fifth Place
bracket,5th (6th)
Mad Udderburn,Mojo Jojo,14,10,"08/30/2015, 15:00",5th (6th) Place
Mad Udderburn,Minnesota Star Power,13,9,"08/30/2015, 13:00",Round 3 [5]
Cream City Crooks,Mojo Jojo,11,12,"08/30/2015, 13:00",Round 3 [5]
Mad Udderburn,Mastodon,15,4,"08/30/2015, 11:00",Round 2 [5]
TMI,Mojo Jojo,9,13,"08/30/2015, 11:00",Round 2 [5]
Mastodon,Bluffdragons,15,7,"08/30/2015, 09:00",Round 1 [5]
TMI,Coalition Ultimate,15,13,"08/30/2015, 09:00",Round 1 [5]
b,r,e,a,k
brackets,Seventh Place
bracket,7th (8th)
Minnesota Star Power,Cream City Crooks,11,15,"08/30/2015, 15:00",7th (8th) Place
b,r,e,a,k
brackets,Ninth Place
bracket,9th
Mastodon,TMI,14,11,"08/30/2015, 15:00",9th
Coalition Ultimate,Mastodon,12,14,"08/30/2015, 13:00",Round 3 [9]
TMI,Carleton Alumni Team,15,9,"08/30/2015, 13:00",Round 3 [9]
Coalition Ultimate,Nonsuch Ultimate,11,9,"08/30/2015, 11:00",Round 2 [9]
Carleton Alumni Team,Bluffdragons,15,11,"08/30/2015, 11:00",Round 2 [9]
Nonsuch Ultimate,Spirit Fowl,15,12,"08/30/2015, 09:00",Round 1 [9]
Brew City Bandits,Carleton Alumni Team,5,15,"08/30/2015, 09:00",Round 1 [9]
b,r,e,a,k
brackets,Consolation Bracket
bracket,Consolation
Team Rocket,The Herd,8,15,"08/30/2015, 09:00",Round 1
b,r,e,a,k
brackets,Game 2 Consolation Bracket
bracket,Consolation
Team Rocket,Brew City Bandits,0,0,"08/30/2015, 11:00",Round 2
b,r,e,a,k
brackets,Game 2 Consolation Bracket
bracket,Consolation
The Herd,Spirit Fowl,0,0,"08/30/2015, 11:00",Round 2
b,r,e,a,k
