Philly Invite XI,Club - Mixed ,18,7,2015
Allentown,PA,2015-07-18,2015-07-19
https://play.usaultimate.org/events/Philly-Invite-XI/schedule/Mixed/Club-Mixed
Metro North,1
0,Daniel LeFever
3,Chris Muller
8,Amanda Erlandson
9,Robert Gilmor
10,Andrew Fine
14,Matthew Hassink
15,Peter Morawski
16,JING JING ZHANG
21,Matt Williams
27,Joseph Pellicano
27,David Ohls
31,Anthony Erlandson
61,Rachael Burke
88,Duncan Fitzgerald
b,r,e,a,k
American Hyperbole,7
teamInfo,,"Baltimore, Maryland",,,
0,Matthew Radhe
0,Dylan Leighton
0,Cynthia Jones
0,Kristen Connor
0,Kelly Wallace
0,Matt Doughten
0,NANCY YE
0,Alexander Antolick
0,Andrew Fish
0,Marie Collins
0,Patrick McMullen
0,KATHERINE GRANT
0,VICKI BROWN
0,James Collins
0,BRIAN MAZEN
6,Michael Sharma
13,Christopher Schulze
27,Ada Maxwell
80,Joseph Ricks
94,Abigail Wenck
99,Charlie Grevers
b,r,e,a,k
Clue,9
teamInfo,,"Philadelphia, Pennsylvania",,https://www.facebook.com/CLUEULTIMATE?fref=ts,https://twitter.com/ClueUltimate
0,Krystal Ferguson
0,Elizabeth Reeves
0,Jon Francis
0,Brendan Huber
0,Thomas Ferguson
0,Tom O'Connor
0,Travis Conrad
0,Alison Joyce
0,Stephanie Hartson
0,ASHLEY POTTER
0,Brandon Pastor
0,Brian Carney
0,Greg Strouse
0,JUNE FREIFELDER
2,ANNA IMPERATRICE
3,William Zeky
6,Victoria Wischerth
11,RYAN STERNER
14,Lauren Howard
21,Taylor Stewart
23,MATTHEW CONGDON
24,Krista Winalski
26,JASON MORGAN
27,Emily Wilkinson
45,RYAN O'SHEA
64,Eric Lu
88,Jacob Kesselman
b,r,e,a,k
BITMAP,13
teamInfo,,"Philadelphia, Pennsylvania",http://bitmapultimate.wordpress.com/,https://m.facebook.com/PhillyBMP?refsrc=http%3A%2F%2Fwww.google.com%2F&_rdr,https://mobile.twitter.com/BitmapPhilly
0,Keala Tekolste
0,Dan Browne
0,AUDREY INDEN
0,ADAM PELLEG
0,Chris Lake
0,Rebecca Solnit
0,LAUREN SCHONEKER
0,Ian Coyne
0,ERIC BOTTMEYER
3,Sarah Coyne
3,Mary Carlton
7,John Gardner
8,Andrew Wisor
9,Tracy Custis
12,John Mikitsh
15,David Kiefer
17,JONATHAN PALUMBO
19,Christine Reynolds
20,Gregory Fallon
22,Jeffrey Hsieh
25,Edward Brakoniecki
27,Brianna Groh
35,JARED GUMBS
42,Patrick Reilly
48,DOV GOLDMAN
54,Kurt Henning
54,Genevieve Leo
b,r,e,a,k
Lake Avengers,12
teamInfo,,"Buffalo, New York",,,
02,Christina Lembke
03,David Wang
06,Jessie Chiello
07,Crystal Alton
08,Sarah Burns
09,Michael Kanaby
11,David Mohan
12,ELLIOT LOUISOS
13,Simon Locke
17,MITCHELL WHEELER
22,Kelsey Scanlon
27,Dana Lembke
28,Timothy (TJ) Burns
32,CHRIS NASH
33,Alexander Lloyd-Evans
44,Judson Quimby
66,Quinn Hennessy-Snow
81,Bethany Ortquist
87,George Scheibel
88,JOSEPH ONORIO
b,r,e,a,k
Hatch,16
teamInfo,,"Allentown, Pennsylvania",,,
0,FRANCOIS SISSOKO
0,Matthew Foley
0,Andrea Hall
0,LINDSAY BOWMAN
0,Nick Wilgruber
0,Jeffrey Yeager
0,Simon  Hwang
0,Jessie Mitchell
0,JONATHAN LABADIE-BARTZ
0,STEVEN GHAZI
0,MICHAEL MCANDREW
0,Brendan Eckardt
0,Laura VanArsdale
0,AMANDA SCHALL
0,Alicia Johnson
0,Nathaniel Reiter
0,ROSS MCMANN
4,Emily Gallagher
14,Seval Kanik
b,r,e,a,k
Los Penguinos,14
teamInfo,,"DC/Baltimore, District of Columbia",,,
0,Hon Yin Eubanks
0,KATY MURPHY-LUBOWICZ
0,Kaiser Shen
0,Swati Agarwal
0,LESLIE WALKO
0,Karin Rafaels
0,Brice McKeever
0,Lex Overholt
0,ALEX JENNISON
0,THOMAS GODSEY
0,Kristen Mitsinikos
0,ISABEL NICHOLSON
0,DAN FENN
0,MICHAEL MYERS
0,Cara Groden
0,Stephen Lewis
0,Eric Owens
0,Winston Chang
6,Kevin Walko
7,William Cvengros
11,Joshua Mull
22,JOSHUA JAMISON
31,Amritha Mallikarjun
b,r,e,a,k
The Bandits,10
teamInfo,,"Middletown, New Jersey",,,
0,"Wint ""Olivia"" Oo"
0,Harrison Treegoob
2,Tom Sum
2,Allison Friedman
3,John Denman
4,Jessica Schaub
9,Kelly Fonner
12,Eric Beier
12,Nicole Hair
13,Christian Arenas
14,Joseph Friedman
18,JONATHAN HOLLOWAY
21,Matt Ferreri
22,Peggy Monkemeier
23,Andrew Haviland
23,Chanelle Banta
24,Steven Willis
34,Joshua Romani
34,Megan Kuhfuss Golrick
40,Stephanie Coward
41,Anthony Sapichino
46,Matthew Berner
47,Alyssa Willis
53,Kyle Golrick
77,CRAIG SINKLER
80,Ken Calello
87,Kevin Potter
b,r,e,a,k
Grand Army.,11
teamInfo,,"Brooklyn, New York",,https://www.facebook.com/GrandArmyUltimate,https://www.twitter.com/grandarmymixed
0,Elizabeth Gupta-Harrison
0,Gina Stees
0,Josette (Josie) Pratt
0,Tiffany Macfadyen
0,Ryan MacFadyen
0,Kevin Hsu
0,Samuel Ross
0,Jacob Cornish
0,Frazer Goldberg
0,Jeannine Opie
0,Derek Oslund
0,Anneliese Baierl
0,Joel Pitney
0,Anna Meyendorff
0,Karina Ray
0,Jimmy Chen
0,Abigail Schuster
0,AARON PARKER
13,Albert Wu
17,Dylan Zeigler
99,Orion Burt
b,r,e,a,k
Dix y Chix,15
teamInfo,,"Pittsburgh, Pennsylvania",,,
0,Cory Ruff
0,Joseph Gu
1,Stephen Wolff
6,Stephanie Lamb
9,Katelyn Bozich
10,Spike Pike
13,Evan Gross
17,Steven Bizon
17,Eric Page
21,Anne Sobol
22,Mallory Griffith
24,Cyd Johnson
27,Niko Jarema
28,Mike Gorham
31,Justin Forman
33,Taha Udyawar
34,SEAN TUXILL
38,Stephanie Clark
43,Andrew Walsh
56,Julia Lekht
67,MIKE VANDERVOORT
69,MIRIAM PARSON
70,Michael Visnick
89,Eric Petrow
99,Genevieve Foote
b,r,e,a,k
s,t,a,g,e,s
pools,Top Eight
pool,Pool A
Metro North,Lions,15,11,"07/18/2015, 09:00",Pool A,Final
The Muffin Men,Ant Madness,15,13,"07/18/2015, 09:00",Pool A,Final
Metro North,Ant Madness,15,6,"07/18/2015, 11:15",Pool A,Final
The Muffin Men,Lions,15,9,"07/18/2015, 11:15",Pool A,Final
Metro North,The Muffin Men,15,13,"07/18/2015, 13:30",Pool A,Final
Lions,Ant Madness,10,12,"07/18/2015, 13:30",Pool A,Final
pool,Pool B
Bang!,Jughandle,15,10,"07/18/2015, 09:00",Pool B,Final
Sparkle Ponies,American Hyperbole,15,11,"07/18/2015, 09:00",Pool B,Final
Bang!,American Hyperbole,15,9,"07/18/2015, 11:15",Pool B,Final
Sparkle Ponies,Jughandle,13,15,"07/18/2015, 11:15",Pool B,Final
Bang!,Sparkle Ponies,15,7,"07/18/2015, 13:30",Pool B,Final
Jughandle,American Hyperbole,15,12,"07/18/2015, 13:30",Pool B,Final
b,r,e,a,k
pools,Second Eight
pool,Pool C
Clue,BITMAP,15,10,"07/18/2015, 09:00",Pool C,Final
Lake Avengers,Hatch,15,10,"07/18/2015, 09:00",Pool C,Final
Clue,Hatch,15,5,"07/18/2015, 11:15",Pool C,Final
Lake Avengers,BITMAP,10,15,"07/18/2015, 11:15",Pool C,Final
Clue,Lake Avengers,15,9,"07/18/2015, 13:30",Pool C,Final
BITMAP,Hatch,15,10,"07/18/2015, 13:30",Pool C,Final
pool,Pool D
The Bandits,Los Penguinos,14,13,"07/18/2015, 09:00",Pool D,Final
Grand Army.,Dix y Chix,15,6,"07/18/2015, 09:00",Pool D,Final
The Bandits,Dix y Chix,15,8,"07/18/2015, 11:15",Pool D,Final
Grand Army.,Los Penguinos,11,13,"07/18/2015, 11:15",Pool D,Final
The Bandits,Grand Army.,16,17,"07/18/2015, 13:30",Pool D,Final
Los Penguinos,Dix y Chix,15,11,"07/18/2015, 13:30",Pool D,Final
b,r,e,a,k
clusters,Up/Down Crossovers
cluster,Up/Down Crossovers
Ant Madness,BITMAP,15,9,"07/18/2015, 15:45",,Final
Sparkle Ponies,The Bandits,15,8,"07/18/2015, 15:45",,Final
Lions,Los Penguinos,15,8,"07/18/2015, 15:45",,Final
American Hyperbole,Clue,15,8,"07/18/2015, 15:45",,Final
b,r,e,a,k
clusters,Placement Crossovers
cluster,Placement Crossovers
Metro North,Bang!,14,11,"07/18/2015, 15:45",,Final
The Muffin Men,Jughandle,15,10,"07/18/2015, 15:45",,Final
Lake Avengers,Grand Army.,11,15,"07/18/2015, 15:45",,Final
Hatch,Dix y Chix,13,14,"07/18/2015, 15:45",,Final
b,r,e,a,k
brackets,Sunday Brackets
bracket,3rd Place
Jughandle,Bang!,13,15,"07/19/2015, 13:30",3rd Place Finals,Final
bracket,5th Place
Ant Madness,Sparkle Ponies,10,15,"07/19/2015, 13:30",5th Place Finals,Final
American Hyperbole,Ant Madness,9,11,"07/19/2015, 11:15",5th Place Semis,Final
Sparkle Ponies,Lions,14,11,"07/19/2015, 11:15",5th Place Semis,Final
bracket,7th Place
American Hyperbole,Lions,9,13,"07/19/2015, 13:30",7th Place Finals,Final
bracket,9th Place
Clue,Los Penguinos,15,6,"07/19/2015, 13:30",9th Place Finals,Final
Clue,Lake Avengers,15,10,"07/19/2015, 11:15",9th Place Semis,Final
BITMAP,Los Penguinos,11,13,"07/19/2015, 11:15",9th Place Semis,Final
Clue,Dix y Chix,15,3,"07/19/2015, 09:00",9th Place Quarters,Final
Lake Avengers,The Bandits,15,10,"07/19/2015, 09:00",9th Place Quarters,Final
BITMAP,Grand Army.,13,12,"07/19/2015, 09:00",9th Place Quarters,Final
Hatch,Los Penguinos,7,15,"07/19/2015, 09:00",9th Place Quarters,Final
bracket,11th Place
Lake Avengers,BITMAP,11,9,"07/19/2015, 13:30",11th Place Finals,Final
bracket,13th Place
Dix y Chix,Grand Army.,8,15,"07/19/2015, 13:30",13th Place Finals,Final
Dix y Chix,The Bandits,15,12,"07/19/2015, 11:15",13th Place Semis,Final
Grand Army.,Hatch,15,5,"07/19/2015, 11:15",13th Place Semis,Final
bracket,15th Place
The Bandits,Hatch,11,5,"07/19/2015, 13:30",15th Place Finals,Final
bracket,1st Place Bracket
Metro North,The Muffin Men,15,13,"07/19/2015, 13:30",1st Place Finals,Final
Metro North,Jughandle,15,6,"07/19/2015, 11:15",1st Place Semis,Final
The Muffin Men,Bang!,15,7,"07/19/2015, 11:15",1st Place Semis,Final
Metro North,American Hyperbole,15,8,"07/19/2015, 09:00",1st Place Quarters,Final
Ant Madness,Jughandle,11,13,"07/19/2015, 09:00",1st Place Quarters,Final
The Muffin Men,Sparkle Ponies,15,9,"07/19/2015, 09:00",1st Place Quarters,Final
Lions,Bang!,7,14,"07/19/2015, 09:00",1st Place Quarters,Final
b,r,e,a,k
