Huckfest 2015,Club - Men ,11,7,2015
https://play.usaultimate.org/events/Huckfest-2015/schedule/Men/Club-Men/
Chain Lightning,1
b,r,e,a,k
Crude Ultimate,9
0,Eric Wilkins
0,Javier Oliver
0,Gabriel Valdes
1,Michael Berman
3,Jonathan Nicholson
4,Travis Bieda
5,Evan Garner
6,Daniel Thai
7,BRANDON KORBEL
10,Daniel Figueroa
12,Greg Hulet
14,Jonathan Conway
16,JOEL FIGUEROA
19,Ashton Lewis
21,NICK LAREDO
23,Gabriel Hernandez
31,BRIAN GINSBURG
33,Darius Nicholson
41,James Robarge
45,Daniel Tipton
46,Jonathan Lawrence
56,Brian Bittner
86,KHAI NGUYEN
99,CEDRIC ATWOOD
b,r,e,a,k
Torch,21
0,CARLTON SEARCY
0,Matthew Groendyke
0,Kevin Dopatka
0,TAYLOR BECKETT
0,Charles Cianciolo
0,Alan Pezeshki
0,ZAC MUSGROVE
0,Grant Bauman
0,Anthony George
0,Clay Leach
0,Stefan Dopatka
7,Evan Alexander
8,Richard Lavosky
9,Christopher Calhoun
9,Samuel Feldman
17,ALEX BOWMAN
31,Ben  Smith
34,Tommy Cianciolo
b,r,e,a,k
Blade,14
0,Nathaniel Rosenberg
0,Daniel Caplan
0,Andrew Hayslip
0,Patrick Doyle
0,Joseph Mayes
0,Brandon Awh
0,Jody Packer
0,Jared Fletcher
0,Leekon Wang
1,Scott Soule
3,CALEB GOFF
21,Bryan Brooks
23,Robert Johnson
28,Will Mims
52,Ian Mack
b,r,e,a,k
NRG,20
0,Stephen Lewoczko
0,BRADEN SMITH
0,Dalton DeLuca
5,Jesse Dahms
8,Riley Pope
12,NATHAN PARKE
25,Andrew Hicks
29,Harrison Hayes
54,Tanner Cherry
77,Jeff Williams
b,r,e,a,k
Memphis Belle,10
0,Matt Bledsoe
01,Nicholas Brackley
02,Nathan Wiemers
04,Joseph Walter
07,Andy Ballard
08,ROB BRICE
09,Josh Moore
10,Shannon Allen
11,BENJAMIN LANG
12,Robert Langley
13,John (Jack) Dowling
13,Richey Ward
14,MARK ALLMON
16,ANDREW WILLIAMS
17,Matthew Riddle
21,John Laubscher
22,Ben Branson
27,Jacob Griffin
28,COLE FARMER
33,Brantley Davidson
44,Robert Stroup
51,MATTHEW FARRELL
85,Brian Sherry
91,David Hilgeman
97,Samuel Williams
99,John-Michael Leppert
b,r,e,a,k
BaNC,13
0,MITCHELL HALLORAN
0,Wesley Dudas
0,DAVID CRESPI
0,Jason Hudson
0,Bryce McAvoy
0,Nathan Hill
8,Ryan Werkmeister
10,Andrew Hager
24,Cliff Totherow
34,Daniel Lee
44,Graydon Miller
50,MATTHEW HUYNH
b,r,e,a,k
Rocket City Rampage,16
0,Nick Werline
0,David Vossel
0,FORREST SILLIVANT
1,Evan Dial
2,Matthew Street
2,Jonathan Lee
3,Anthony Lowther
4,RICKY GRAY
6,Kevin Kanzelmeyer
7,Riley Mog
8,Adam Redmon
11,Jack Missildine
12,Justin Pearson
14,WILL STEVENSON
16,todd archer
17,Matthew Knaupp
19,Robert Alongi
21,Wesley Seat
22,Michael Mobley
24,Danny Lee
34,George Bekken
34,Jordan Walters
77,John Boyer III
88,Nathan Smeal
89,ANDREW MONTGOMERY
94,James Gauldin
99,Mark Daigle
b,r,e,a,k
Nashvillains YCC U19 Open,22
01,JONATHAN ANDERSON
02,Christian Campbell
03,Joseph Brown
04,Grant Waldron
06,Dawson Fox
07,Beau Waldron
09,Jacob Bell
10,BOONE MCCLELLAN
11,Matthew Freels
15,Coleman Davis
18,Jacob Flowers
19,Joshua Gabella
20,Miguel Hector
21,Tanner Niles
22,Luke Layton
23,Cody Baldwin
24,Matthew Sui
28,Nicholas Baldwin
43,BLAKE HAGAN
b,r,e,a,k
SouthBeast,19
0,Chase Maze
0,ADRIAN CLARK
0,Daniel Conner
0,Terren Moore
0,JAKE MOORE
0,Payton Garlington
0,Ben Caldwell
1,Cameron Elmore
5,Mark Sandefur
6,OMAR YASSIN
10,Jason Teng
18,Trey  Leonard
19,KADEN FRAMES
32,Tucker  Griggs
33,Liam Holthaus
42,HUNTER MARTIN
42,Douglas Caulfield
b,r,e,a,k
Dreadnought,12
0,KYLE DYER
0,Devin Benson
0,Stephen Treanor
0,Derek Richards
0,Luc Sutherland
0,Travis Duwe
0,DAVIS PRUETT
0,GERALD ETHEREDGE
0,Frank Macon
0,Casey Hooper
0,William Gallian
4,Brian Trussell
5,Lorenzo Bohl
6,KEVIN WILLIAMS
8,CHRISTOPHER GENHEIMER
01,Luke Dockery
02,Thomas Dockery
14,Ethan Penner
15,Jacob Moore
20,Aric Powers
24,Taylor Stamps
28,Taren Goins
32,Drew Taylor
35,AARON WEBB
b,r,e,a,k
Jello Yackets,17
0,Luke Willis
0,Evan Davies
0,Daniel Gempesaw
0,Nicholas Chen
0,Howard Tong
0,PETER LYONS
0,Andrew  Rushing
0,RICHARD REMBERT
0,Ashwin Anantharaman
0,NEEL KOTRA
4,Aidan Rogers
7,Sanjay Sridaran
9,Quinn Dagley
11,Stephen Cook
14,Lucas Maurer
15,Richard Bragg
16,John Dugan
18,Patrick McGannon
20,Zach Hsu
22,Nicholas Button
23,Brandon Chen
24,Brydan Rogers
25,Andrew Bogle
27,Patrick Davidson
29,ANDRE IRIZARRY
30,PARTHA UNNAVA
b,r,e,a,k
Hammer Bros,23
0,Chase Dunaway
0,Shannon Ammons
0,NICHOLAS WIEBELT
0,JOSEPH STIEFFEL
0,Jordan Gosnay
0,Bryan Waites
0,Daniel Beck
0,Matthew Franszvzak
0,Abraham Dabit
0,Nicholas Ferguson
0,GARY DAUBERT
11,Gary Lee
13,Andrew Mauroner
14,JOSH MARTIN
17,Carter Kittrell
32,Benjamin Leiker
36,Evan Young
43,Adam  Sellers
44,WILLIAM MILLER
65,RYAN WAGEMANN
86,Jordan Richter
b,r,e,a,k
Pocket City Approach,18
0,Jesse Wyatt
02,Nathaniel Mull
03,Uriah Alldredge
05,Donald Bhe
06,DREW COLES
07,Noah Rickelman
12,Andrew Martin
15,DOUG WHEATON
17,Aaron  Costlow
18,Kyle Wood
19,Josh Hammett
20,Joseph  Cowser
21,Anthony Goth
24,Nathanael Sparks
28,Ryan Bell
33,Dana Granholm
40,Ryan Fehrenbacher
49,Derek Berggren
b,r,e,a,k
Voodoo,11
0,Greggory Downing
01,Guillermo Iturriza
02,Larry Brad Smith
03,Josh Hunley 
04,Nathan Kenner
05,Daniel Epperson
06,Robert Miller
07,MARK HERZFELDT-KAMPRATH
15,James Hunter
17,Melvin Lu
18,Austin Whedbee
25,Justin Badgett
31,Josh Mayor
33,Miciah Clay
47,Jacob Thress
69,Thomas Loveday
77,Jeremy Yuill
99,Brett Coleman
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Power Pool A
Chain Lightning,UpRoar,15,7,"07/11/2015, 09:00",Power Pool A
Freaks Uv Nature,Jockamo,13,8,"07/11/2015, 09:00",Power Pool A
Chain Lightning,Jockamo,15,4,"07/11/2015, 10:45",Power Pool A
Freaks Uv Nature,UpRoar,15,9,"07/11/2015, 10:45",Power Pool A
Chain Lightning,Freaks Uv Nature,15,11,"07/11/2015, 13:30",Power Pool A
UpRoar,Jockamo,10,11,"07/11/2015, 13:30",Power Pool A
pool,Power Pool B
Southern Hospitality,CaSTLe,15,8,"07/11/2015, 09:00",Power Pool B
Ironmen,Smokestack,15,9,"07/11/2015, 09:00",Power Pool B
Southern Hospitality,Smokestack,15,10,"07/11/2015, 10:45",Power Pool B
Ironmen,CaSTLe,15,9,"07/11/2015, 10:45",Power Pool B
Southern Hospitality,Ironmen,12,13,"07/11/2015, 13:30",Power Pool B
CaSTLe,Smokestack,10,13,"07/11/2015, 13:30",Power Pool B
pool,Pool C
Crude Ultimate,Torch,13,5,"07/11/2015, 09:00",Pool C
Cerberus,NRG,13,11,"07/11/2015, 09:00",Pool C
Crude Ultimate,Cerberus,9,10,"07/11/2015, 10:30",Pool C
Blade,NRG,11,9,"07/11/2015, 10:30",Pool C
NRG,Torch,11,10,"07/11/2015, 12:00",Pool C
Blade,Cerberus,10,12,"07/11/2015, 12:00",Pool C
Crude Ultimate,NRG,8,5,"07/11/2015, 13:30",Pool C
Blade,Torch,7,10,"07/11/2015, 13:30",Pool C
Crude Ultimate,Blade,13,9,"07/11/2015, 15:00",Pool C
Cerberus,Torch,4,10,"07/11/2015, 15:00",Pool C
pool,Pool D
Memphis Belle,Nashvillains YCC U19 Open,11,7,"07/11/2015, 09:00",Pool D
Rocket City Rampage,SouthBeast,11,7,"07/11/2015, 09:00",Pool D
Memphis Belle,Rocket City Rampage,10,8,"07/11/2015, 10:30",Pool D
BaNC,SouthBeast,13,2,"07/11/2015, 10:30",Pool D
SouthBeast,Nashvillains YCC U19 Open,7,9,"07/11/2015, 12:00",Pool D
BaNC,Rocket City Rampage,13,7,"07/11/2015, 12:00",Pool D
Memphis Belle,SouthBeast,13,6,"07/11/2015, 13:30",Pool D
BaNC,Nashvillains YCC U19 Open,13,10,"07/11/2015, 13:30",Pool D
Memphis Belle,BaNC,12,10,"07/11/2015, 15:00",Pool D
Rocket City Rampage,Nashvillains YCC U19 Open,12,11,"07/11/2015, 15:00",Pool D
pool,Pool E
Voodoo,Hammer Bros,7,12,"07/11/2015, 09:00",Pool E
Jello Yackets,Pocket City Approach,12,9,"07/11/2015, 09:00",Pool E
Voodoo,Jello Yackets,3,13,"07/11/2015, 10:30",Pool E
Dreadnought,Pocket City Approach,8,10,"07/11/2015, 10:30",Pool E
Pocket City Approach,Hammer Bros,7,12,"07/11/2015, 12:00",Pool E
Dreadnought,Jello Yackets,11,10,"07/11/2015, 12:00",Pool E
Voodoo,Pocket City Approach,7,9,"07/11/2015, 13:30",Pool E
Dreadnought,Hammer Bros,11,5,"07/11/2015, 13:30",Pool E
Voodoo,Dreadnought,7,13,"07/11/2015, 15:00",Pool E
Jello Yackets,Hammer Bros,10,7,"07/11/2015, 15:00",Pool E
b,r,e,a,k
clusters,Power Pool Crossovers
cluster,Sat Crossovers
Chain Lightning,Ironmen,14,12,"07/11/2015, 15:30",
Freaks Uv Nature,Smokestack,15,12,"07/11/2015, 15:30",
Jockamo,Southern Hospitality,11,15,"07/11/2015, 15:30",
UpRoar,CaSTLe,13,9,"07/11/2015, 15:30",
b,r,e,a,k
brackets,1st Place Bracket
bracket,1st Place Bracket
Southern Hospitality,Ironmen,13,9,"07/12/2015, 13:15",Finals
Chain Lightning,Southern Hospitality,10,12,"07/12/2015, 11:30",1st Semis
Ironmen,Freaks Uv Nature,12,10,"07/12/2015, 11:30",1st Semis
Memphis Belle,Chain Lightning,6,15,"07/12/2015, 09:45",1st QF
Southern Hospitality,UpRoar,15,6,"07/12/2015, 09:45",1st QF
Ironmen,Jockamo,15,12,"07/12/2015, 09:45",1st QF
Freaks Uv Nature,Smokestack,15,9,"07/12/2015, 09:45",1st QF
UpRoar,Cerberus,14,11,"07/12/2015, 08:00",1st PQ
Jockamo,Dreadnought,15,9,"07/12/2015, 08:00",1st PQ
Smokestack,BaNC,15,7,"07/12/2015, 08:00",1st PQ
CaSTLe,Memphis Belle,7,15,"07/12/2015, 08:00",1st PQ
bracket,5th Place
Memphis Belle,Smokestack,5,15,"07/12/2015, 13:15",5th Place
Memphis Belle,UpRoar,1,0,"07/12/2015, 11:30",5th Semi
Jockamo,Smokestack,7,15,"07/12/2015, 11:30",5th Semi
bracket,3rd Place
Chain Lightning,Freaks Uv Nature,0,0,"07/12/2015, 13:15",3rd Place
bracket,7th Place
UpRoar,Jockamo,0,1,"07/12/2015, 13:15",7th Place
bracket,9th Place
CaSTLe,Dreadnought,15,8,"07/12/2015, 11:30",9th Place
CaSTLe,Cerberus,7,2,"07/12/2015, 09:45",9th Semi
Dreadnought,BaNC,15,12,"07/12/2015, 09:45",9th Semi
bracket,11th Place
Cerberus,BaNC,0,1,"07/12/2015, 11:30",11th Place
b,r,e,a,k
brackets,13th Place Bracket
bracket,13th Place Bracket
Jello Yackets,Crude Ultimate,6,12,"07/12/2015, 13:15",13th
Jello Yackets,Torch,12,4,"07/12/2015, 11:30",13th Semi
Crude Ultimate,Hammer Bros,13,6,"07/12/2015, 11:30",13th Semi
Jello Yackets,Nashvillains YCC U19 Open,13,10,"07/12/2015, 09:45",13th QF
Torch,Pocket City Approach,10,9,"07/12/2015, 09:45",13th QF
Crude Ultimate,Blade,13,2,"07/12/2015, 09:45",13th QF
Hammer Bros,Rocket City Rampage,13,9,"07/12/2015, 09:45",13th QF
bracket,17th Place
Nashvillains YCC U19 Open,Rocket City Rampage,13,12,"07/12/2015, 13:15",17th
Nashvillains YCC U19 Open,Pocket City Approach,7,5,"07/12/2015, 11:30",17th Semi
Blade,Rocket City Rampage,10,13,"07/12/2015, 11:30",17th Semi
bracket,15th
Torch,Hammer Bros,12,10,"07/12/2015, 13:15",15th
bracket,19th
Pocket City Approach,Blade,0,1,"07/12/2015, 13:15",19th
b,r,e,a,k
pools,C/D/E 5th Place Pool
pool,Pool F
SouthBeast,Voodoo,14,13,"07/12/2015, 09:45",Pool F
NRG,Voodoo,8,5,"07/12/2015, 11:30",Pool F
NRG,SouthBeast,3,5,"07/12/2015, 13:15",Pool F
b,r,e,a,k
