TCT Pro-Elite Challenge 2015 (Colorado Cup),Club - Mixed ,1,8,2015
Aurora,CO,2015-08-01,2015-08-02
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge/schedule/Mixed/Club-Mixed
Cahoots,13
14,Kate Schlag
17,Sawyer Thompson
18,Eric Greenwood
21,Dulcy Docken
22,Marisa Mead
23,Eddy van der Kloot
24,Alexander Max
25,Daniel Naruo
27,Morgan Greenwood
29,Logan Greenwood
30,An-Chi Tsou
31,Ethan Falat
36,Sara Nolan
40,Linh Hoang
41,Lauchlan Robertson
b,r,e,a,k
7 Figures,10
01,Peter Zhou
02,Daniel Oettinger
04,Gary Molano
05,Joseph Forbes
06,Shereen Rabie
07,Mia Greenwald
08,Alexa Cohen
10,Emma Frankel
11,Aaron Jacobs
12,Daniel Smeltzer
14,Kristen Pojunis
15,KATHRYN FOWLER
18,Nicholas Alexander
19,Ann Lee
21,Sophie Hines
23,Connie Wang
25,Han Chen
30,Russell Gaskamp
45,Michael Sylvester
64,Nathan Warden
67,alexander carey
77,Stephanie Pritchard
80,Brandon Severson
88,Matt Hennessy
b,r,e,a,k
Bucket,3
00,RYAN ARCHIBALD
00,Andrew Larocque
00,Moriah LaRocque
00,Steven Rouisse
00,COLIN BELLAIR
00,MATTHEW BERGIN
00,Christina McDowell
00,Will Blythe
00,Jack Barrow
00,ANA LEON
00,Chris Goodson
00,Steven Hicks
00,Caroline Taylor
08,Timothy Brady
11,Katie Gainer
15,Joshua Feng
22,MATT KRESS
44,Samantha Hill
54,NATALIE ESPINO
64,Jason Simpson
65,Aileen Thomas
92,Sam Gainer
b,r,e,a,k
Pluff Mud Panic,15
0,Jacquelyn Boyle
7,SAMUEL COOPER
01,Robert OBrien
04,Tim Monahan
05,Kelsey Fink
08,ELAINE ALFORD
09,Emma Johnson
11,William Swan
13,Stephen (Bud) Yackey
17,Catherine Yackey
20,Adam Bailey
21,SHANI BROWDY
22,Hannah Anderson
24,Terran Tout
26,Stacey Bailey
27,KEVIN BYRLEY
28,Matthew Olivetti
29,Thomas Rivas
36,John Sullivan
37,MEGAN ALDER
44,Eric Olivier
88,Michael Cox
99,Mathew Skinner
b,r,e,a,k
UNION,5
0,THOMAS BLACK
04,STEVEN LEE
05,Emma Seaborn
10,Amanda Moore
11,Eric Blanchard
13,Cameron Dunning
15,Lindsay Earle
17,Heather Neary
19,Troe Weston
21,ALEX HARMER
23,SKY POWELL
24,Daniel Wong
28,JENNIFER LEROUX
31,CATHERINE PAK
42,KATE JARDINE
45,Rhyin (Ryan) Newell
46,TJ Reeds
55,Warren Tang
66,Sarah Burke
72,KRISTA KOTWA
87,Ronald Siu
b,r,e,a,k
BirdFruit,16
2,Luke Jesperson
4,Jessica Shatkin
5,Christian Brink
7,Nicole Bayard
10,Jeff Gayle
11,Laura Manson
12,Peter Ostergaard
14,Sam Pickel
15,Matthew King
17,Corinne Pingul
20,JOHN KLAASSEN
21,Dylan Harrington
22,Lacy Clark
24,Andrew Lynch
31,Natalie Jamerson
33,Spencer Sheridan
40,Ky Lewis IV
43,PETER BURROWS
47,Walker Bohannan
51,Lindsay Lang
67,Kelley Hall
69,Lillian Bailey
85,Benjamin Beehner
89,Sophia Scofield-Selby
b,r,e,a,k
Steamboat,9
0,Jeff Kula
01,JOHN  SIEMER
02,Nancy Haskell
03,Eddie Mack
04,Nicholas Wetzel
05,Ryan Gorman
06,Stephanie Mack
07,Emily Ash
08,Tim Settles
09,Alexander Riahi
10,Jennifer Golan
11,Christopher Misleh
13,Kate McInerney
15,Aaron Bacon
17,Keegan North
18,Kellan Gibboney
21,Scott Schriner
22,Brittany Winner
23,Kendalyn Paulin
27,Christopher Powers
28,Jeff Haney
30,Lucia Derks
31,Kristin Baxter
38,Joe Mozloom Jr
46,Isaac Jeffries
b,r,e,a,k
Cosa Nostra,4
1,Casey Hogg
2,RYAN PIERSALL
4,Ivy Byun
5,Patrick (Ted) Barnett
6,William Owens
7,Victoria Salimov
8,Austin Walker
9,Rebecca Smith
11,Shiru Liu
13,Barbara Smith
14,Alexandra Cunningham
15,Emily Scholten
17,Kathryn Herbers
20,KIMBERLY HYDE
21,JULIE MORRIS
23,Ryan Pickens
25,David Street
27,Aaron Saylor
29,Logan Kinney
30,Emiko FitzGerald
32,Paul Starkel
44,Jordan Denecour
55,Wendy Hogg
64,BENJAMIN GARRETT
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
NOISE,Cahoots,13,7,"08/01/2015, 08:00",Pool A,Final
Mischief,Bird,12,11,"08/01/2015, 08:00",Pool A,Final
NOISE,Bird,10,12,"08/01/2015, 10:00",Pool A,Final
Mischief,Cahoots,7,13,"08/01/2015, 10:00",Pool A,Final
Bird,Cahoots,8,13,"08/01/2015, 14:00",Pool A,Final
Mischief,NOISE,13,4,"08/01/2015, 14:00",Pool A,Final
pool,Pool B
Blackbird,Groove,13,9,"08/01/2015, 08:00",Pool B,Final
AMP,Thoroughbred,12,8,"08/01/2015, 08:00",Pool B,Final
Blackbird,Thoroughbred,13,11,"08/01/2015, 10:00",Pool B,Final
AMP,Groove,12,9,"08/01/2015, 10:00",Pool B,Final
Blackbird,AMP,10,12,"08/01/2015, 12:00",Pool B,Final
Groove,Thoroughbred,11,12,"08/01/2015, 12:00",Pool B,Final
pool,Pool C
Bucket,7 Figures,9,11,"08/01/2015, 08:00",Pool C,Final
Polar Bears,Pluff Mud Panic,13,7,"08/01/2015, 08:00",Pool C,Final
Bucket,Pluff Mud Panic,13,8,"08/01/2015, 12:00",Pool C,Final
Polar Bears,7 Figures,13,9,"08/01/2015, 12:00",Pool C,Final
Bucket,Polar Bears,7,13,"08/01/2015, 14:00",Pool C,Final
7 Figures,Pluff Mud Panic,13,9,"08/01/2015, 14:00",Pool C,Final
pool,Pool D
Cosa Nostra,Steamboat,10,11,"08/01/2015, 10:00",Pool D,Final
UNION,BirdFruit,13,10,"08/01/2015, 10:00",Pool D,Final
Cosa Nostra,BirdFruit,6,11,"08/01/2015, 12:00",Pool D,Final
UNION,Steamboat,11,9,"08/01/2015, 12:00",Pool D,Final
Cosa Nostra,UNION,13,12,"08/01/2015, 14:00",Pool D,Final
Steamboat,BirdFruit,10,11,"08/01/2015, 14:00",Pool D,Final
b,r,e,a,k
brackets,Mixed Bracket Play
bracket,1st Place Bracket
UNION,Mischief,7,13,"08/02/2015, 12:00",1st Place Finals,Final
Bucket,UNION,13,14,"08/02/2015, 10:00",1st Place Semis,Final
Polar Bears,Mischief,11,12,"08/02/2015, 10:00",1st Place Semis,Final
Cahoots,Bucket,10,13,"08/02/2015, 08:00",1st Place Quarters,Final
UNION,7 Figures,11,10,"08/02/2015, 08:00",1st Place Quarters,Final
Polar Bears,BirdFruit,13,9,"08/02/2015, 08:00",1st Place Quarters,Final
AMP,Mischief,8,10,"08/02/2015, 08:00",1st Place Quarters,Final
Blackbird,Bucket,7,13,"08/01/2015, 16:00",1st Place Prequarters,Final
7 Figures,Thoroughbred,13,7,"08/01/2015, 16:00",1st Place Prequarters,Final
Bird,BirdFruit,11,12,"08/01/2015, 16:00",1st Place Prequarters,Final
Steamboat,Mischief,5,13,"08/01/2015, 16:00",1st Place Prequarters,Final
bracket,3rd Place
Bucket,Polar Bears,12,9,"08/02/2015, 12:00",3rd Place Finals,Final
bracket,5th Place Bracket
7 Figures,BirdFruit,7,12,"08/02/2015, 12:00",5th Place Finals,Final
Cahoots,7 Figures,11,13,"08/02/2015, 10:00",5th Place Semis,Final
BirdFruit,AMP,10,9,"08/02/2015, 10:00",5th Place Semis,Final
bracket,7th Place
Cahoots,AMP,7,13,"08/02/2015, 12:00",7th Place Finals,Final
bracket,9th Place Bracket
Blackbird,Steamboat,13,6,"08/02/2015, 10:00",9th Place Finals,Final
Blackbird,Bird,13,8,"08/02/2015, 08:00",9th Place Semis,Final
Thoroughbred,Steamboat,8,10,"08/02/2015, 08:00",9th Place Semis,Final
bracket,11th Place
Bird,Thoroughbred,9,13,"08/02/2015, 10:00",11th Place Finals,Final
b,r,e,a,k
pools,Placement Round Robin (4 Seeds)
pool,Pool F
NOISE,Pluff Mud Panic,13,5,"08/01/2015, 16:00",Pool F,Final
Groove,Cosa Nostra,11,12,"08/01/2015, 16:00",Pool F,Final
NOISE,Cosa Nostra,13,9,"08/02/2015, 12:00",Pool F,Final
Groove,Pluff Mud Panic,11,12,"08/02/2015, 12:00",Pool F,Final
NOISE,Groove,6,5,"08/02/2015, 14:00",Pool F,Final
Pluff Mud Panic,Cosa Nostra,5,5,"08/02/2015, 14:00",Pool F,Final
b,r,e,a,k
