Midwest Throwdown 2015,College - Women ,7,3,2015
https://play.usaultimate.org/events/Midwest-Throwdown-2015/schedule/Women/CollegeWomen/
Notre Dame,4
31,Olivia Robinson
33,Maya DeHart
44,Claire Milton
b,r,e,a,k
Grinnell,20
0,Natalie Duncombe
0,Anna Hicks
0,Lucy Chechik
0,Julia Dornbusch
0,Ruth Isaac
0,Kathryn Yetter
0,Claire Weidman
8,Sasha Baumann
9,Annie Ramey
11,Katie Abrams
13,MIA RITTER
18,Julia Sauerhaft
22,COLLEEN MOSER
36,Talora Martin
55,MARISSA YETTER
57,Kirsten Nelson
80,Bethany Leedy
b,r,e,a,k
Missouri State,9
02,Ashley Slater
04,Mary Cannon
07,Emily Hudson
08,Alyssa Renaud
10,KORI MAE SPRUILL
11,Ali Smith
17,Margarett Modena
19,Ashley Newson
20,Emily Milton
21,Nicole  Fennewald
23,Megan Culp
24,Natasha Karpel
30,Kristina Beckham
32,Anne Tabora
42,Caitlyn Wehner
50,Sarah Nagle
55,Kristen Keeney
77,Kayley Brandon
b,r,e,a,k
Washington University (B),32
0,Emily Brereton
0,Allie Liss
0,Yingjie Fu
0,Poorva Jain
0,Alison Palmer
0,Anna Olson
2,Seoyeon Cho
3,E Peterson-Trujillo
14,Brianna Gordon
15,Emma Boczek
19,Daniela Jimenez
20,Maya Poncelet
22,Jennifer Greenberg
24,Nora Shevick
36,Devin Ryan
42,Emily Byrn
71,Tess Putinsky
77,Christine Lucky
b,r,e,a,k
Southern Illinois,21
0,Rylee Garrett
0,Jaclyn Miller
0,Morgan Bishop
0,Kelsey Sartin
0,Lu Ma
11,kanza kaleem
20,Elizabeth Wilson
b,r,e,a,k
Truman State,10
0,Elena  Bellamy 
0,Brooke Johnson
0,Callie Warren
0,Emily Sallade
0,Sarah McCaughey
0,Jessica Zilch
0,Caitie Staver
0,Audra Hartwell
0,Caroline Taylor
3,CARLI STANDEN
4,Lauren Kells
6,Emma Randolph
9,Ama Idun
10,Emilie Willingham
13,Kristina Kohl
14,STEPHANIE SHERMAN
18,Haley Johnson
21,Mahliyah Adkins-Threats
23,Madeline Reynolds
24,Jessica Derry
26,Jennifer May
34,Samantha Daugherty
44,Julianne Crockett
45,Gwendolyn Beckemeier
77,EMILY OTTO
79,CALLIE FEDERER
b,r,e,a,k
Drake,19
2,Sarah Schoeberle
03,Jamie Miller
05,Clio Cullison
09,Melissa Snavely
13,Katie Filosa
13,KAITLYNN CARROLL
14,Taylor Weigel
15,Elizabeth Scott
17,Cassandra Doody
18,Grace Boatman
20,Kat Carano
23,Anna Austin
33,Adrienne Howard
b,r,e,a,k
Bradley,22
0,Rachel Hill
0,JACKIE MAISH
0,Lea Sack
0,Amy Thayer
0,MORGAN OCONNOR
0,Katie Goldsmith
5,Allison Radike
21,TIFFANY WINTERS
27,REGINA MUHR
b,r,e,a,k
Rhodes,31
03,Katherine Hawkins
06,Abby Ritter
07,Kathryn Roys
09,Katherine  Gabrick
12,CORRIE MOORE
13,Tabitha Joyner
24,McKenzie Drake
73,Kathryn Hendrix
b,r,e,a,k
Northwestern,11
02,Alexandra Hu
04,Allegra Wilson
06,HOPE HELLMANN
10,TAMMY WONG
13,Phoebe Evans
15,Bridget Miles
16,Christina Sur
18,Jessica Hoffman
19,JEN WHITE
21,Jennifer Evans
22,Katherine George
23,STEPHANIE WANG
26,Jenny Li
33,Kelsey Dennis
35,Jenny  Loeff
42,KATHY ZHANG
47,Anri Brod
94,SARAH MORTENSEN
b,r,e,a,k
Wisconsin-Milwaukee,18
01,Erin Dugan
08,Heather Vilbrandt
11,Lydia Andresen
18,Helen Koth
20,Justine Espisito
23,elise  weiss 
24,Lauren Williams
69,Kaleigh Wurster
77,Madeline Rittgers
99,CARLIE KERTZ
b,r,e,a,k
Wisconsin-La Crosse,23
0,Danielle Goulette
0,RUTHANN AITCH
02,McKenna Hage
03,Sarah Gang
04,Morgan  Armstrong
05,OLIVIA WESTHOFF
07,Margaret Rippe
08,Shelley Bretl
10,Meagan  Rummage
12,Sarah Garstecki
13,Victoria Brown
14,Alexis Klas
15,Carli Wood
16,Samantha Rodenberg
17,Rebecca Rutledge
19,Lexie Kretschmer
20,Jamie  Brown
23,TAYLOR SCHAFER
27,Kalli Leutenegger
44,Bailey Ethier
96,Gratia Maloney
b,r,e,a,k
Miami (Ohio),30
3,Brooklyn Harris
5,Mackenzie Pheneger
6,CLAIRE BUCKLEY
7,Lydia Linton
11,Alexandra Chitwood
14,Virginia Agee
16,Maddison Shropshire
19,Krystle Tay
21,Morgan Pheneger
22,LAUREN JUTTE
37,Jenna Celek
42,Amber Karkiewicz
44,Annie Davis
96,Hannah Fogle
b,r,e,a,k
Nebraska,17
2,Elizabeth Rock
4,MACKENSEY FAGAN
9,Danielle Piske
10,Christa Fisher
14,Kelli Rice
15,Tracy Kuper
16,Samantha Myland
17,Emily Nichols
18,Michaela Daugherty
20,RILEY NAUGHTON
27,Megan EisenVos
28,Emily Kirkwold
33,Emily Wehrwein
53,ANGEL IVERSON
77,Kayla Anderson
87,Amanda Borders
b,r,e,a,k
St Benedict,12
03,Meghan Harder
05,Katarina Wesche
07,Emily Schwen
08,Meghan Hayden
10,RACHEL KILEY
13,Morgan Potter
17,Hannah Zobitz
22,Katelyn Zurn
23,CHARLOTTE WATERHOUSE
37,JACQUELINE LISKA
52,Erynn Schroeder
56,Lauren Lingenfelter
b,r,e,a,k
Missouri S&T,24
0,Hannah Mills
0,Amy Snyder
0,Cynthia Martin
0,Brooklan Davis
0,Ashley Longrie
0,Codee Pedersen
2,Courtney Munch
3,Emily  Courtney 
19,Kelly Dunlap
22,Paige Blasberg
73,Erica Byerley
83,LAURA ZIMMER
b,r,e,a,k
Illinois (B),29
0,Chesca Calicdan
5,Maria Cardona
7,Edith Jaucian
08,Emily Sheridan
15,Tracy Van
23,Rebekah Seyfert
28,Amber Watkins
33,Libby Foster
37,Gilleece Thorson
44,Emily Ward
55,Natalie Stephan
89,Ailinh Nguyen
b,r,e,a,k
Northern Iowa,13
0,Miah Smith
2,Kayla Baird
5,Rebecca Winkel
6,Cassara Higgins
7,ALYSSA BOHLENDER
8,Michelle Stille
11,Allison  Twedt
12,ELIZABETH REUTER
32,JAIME FRAHM
50,ERIN KAISER
b,r,e,a,k
Pacific Lutheran,16
0,Rosie Ellis-Falik
0,Olivia Cook
0,Margaret Chell
0,Kyndall Hoff
0,Brooke Elizabeth
0,Molly Russell
0,EMILY STEELQUIST
2,Genavie Boots
5,KRISTIN  HAYES
07,Hailey Olafson
15,ASHLEY MARCY
21,Breanna Young
26,Liz Holm
87,Genevieve Brandt
b,r,e,a,k
Northwestern (B),25
01,Olyvia Chinchilla
08,STEPHANIE GER
09,Morgan Walker
11,ABBY MATHIER
24,Lena Goren
34,Karen Hsu
36,Michelle Cao
37,MANON BLACKMAN
58,CALLIE FLOYD
61,Allyson Fion
83,SABRINA FRITZ
88,Julia Wilkins
b,r,e,a,k
Notre Dame (B),28
0,Michelle Kim
01,Laura Rabassa
02,Kendall Burgett
03,ELLEN CHALEFF
09,Mary Rauh
16,Caitlyn O'Malley
23,Whitney Choo
27,Kristin Fabian
31,Catalina Acosta
39,Elizabeth Lewis
b,r,e,a,k
Chicago,14
0,Ruby An
0,Gabby Skifstad
0,Amanda Dobbyn
0,Rachel Hildebrand
0,Hallie Parten
0,Alicia Zhao
0,Vivian Ho
0,MARANNA YODER
0,LEAH KESSLER
0,CHARIS CROFTON
0,YEVANIT RESCHECHTKO
0,Louisa Warnke
0,Jenny Wang
9,CAROLINE OWENS
16,Jesse Handler
18,Cecile Murray
21,Megan Lau
26,Emily Wolfson
61,Hani Pajela
b,r,e,a,k
Wisconsin-Eau Claire,15
0,MEGAN ZIBROWSKI
0,Eva Popp
0,Serena Schultz
0,Kelsey Weister
0,Kendra Kalvin
0,Emily Androschko
0,Megan McHenry
0,Kate Harrison
0,Kaitlin Lofgren
0,Marissa Egeland
0,Megan  Huntley
0,Hannah Adams
0,Emily Dalhoff
0,Maggie Douglas
0,LAUREN STEPANIK
0,Alexys Woodward
0,Hannah Wirth
0,LAURA EMORY
6,KATE DOCKSEY
14,Jessica Hendrickson
17,Hanna Larson
23,Clancy Ferris
28,Brandy Turcotte
34,Caty Ferris Schultz
b,r,e,a,k
Missouri,26
0,CHI AJAH
0,Bethany Beebe
0,LISETTE CRUZ
0,Tonya Pettet
0,Haley Morrison
0,PAIGE PLIER
0,JILLIAN MOORE
1,SHERRI MANKOFSKY
1,Alexis Kerman
4,KAREN PATTERSON
14,MARISSA BROWN
17,SHANNON KELLY
32,MADELYNE MAAG
88,Elizabeth Woods
97,Megan Asturias
b,r,e,a,k
Wisconsin-Whitewater,27
0,Rachel  Lensing
0,Achille Orlowski
0,Cherryl Woody
3,HANNAH KORB
5,Alex Ameen
7,Taryn Boyle
13,RACHEL LEWANDOWSKI
15,LESLIE BILLHORN
16,Delaney Sherwood
28,Nicolette Zaprzalka
52,MEGAN WISNOWSKI
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Kansas,Iowa,11,10,"03/07/2015, 10:30",Pool A
Notre Dame,Minnesota,10,9,"03/07/2015, 10:30",Pool A
Kansas,Minnesota,9,13,"03/07/2015, 12:30",Pool A
Notre Dame,Iowa,15,5,"03/07/2015, 12:30",Pool A
Kansas,Notre Dame,8,15,"03/07/2015, 14:30",Pool A
Iowa,Minnesota,10,8,"03/07/2015, 14:30",Pool A
pool,Pool B
Texas,Iowa State,11,9,"03/07/2015, 10:30",Pool B
Illinois,Washington University,11,8,"03/07/2015, 10:30",Pool B
Texas,Washington University,15,5,"03/07/2015, 12:30",Pool B
Illinois,Iowa State,5,10,"03/07/2015, 12:30",Pool B
Texas,Illinois,11,5,"03/07/2015, 14:30",Pool B
Iowa State,Washington University,14,12,"03/07/2015, 14:30",Pool B
b,r,e,a,k
pools,Pool Play
pool,Pool C
Grinnell,Washington University (B),15,0,"03/07/2015, 08:30",Pool C
Grinnell,Southern Illinois,14,3,"03/07/2015, 10:30",Pool C
Southern Illinois,Washington University (B),7,9,"03/07/2015, 14:30",Pool C
Missouri State,Washington University (B),15,1,"03/08/2015, 12:30",Pool C
Missouri State,Grinnell,8,15,"03/08/2015, 04:30",Pool C
Missouri State,Southern Illinois,15,0,"03/08/2015, 05:30",Pool C
pool,Pool D
Truman State,Bradley,15,1,"03/07/2015, 08:30",Pool D
Drake,Rhodes,10,4,"03/07/2015, 08:30",Pool D
Truman State,Rhodes,15,0,"03/07/2015, 10:30",Pool D
Drake,Bradley,12,8,"03/07/2015, 10:30",Pool D
Truman State,Drake,15,1,"03/07/2015, 14:30",Pool D
Bradley,Rhodes,12,4,"03/07/2015, 14:30",Pool D
pool,Pool E
Northwestern,Wisconsin-La Crosse,15,4,"03/07/2015, 08:30",Pool E
Wisconsin-Milwaukee,Miami (Ohio),15,4,"03/07/2015, 08:30",Pool E
Northwestern,Miami (Ohio),15,3,"03/07/2015, 12:30",Pool E
Wisconsin-Milwaukee,Wisconsin-La Crosse,15,9,"03/07/2015, 12:30",Pool E
Northwestern,Wisconsin-Milwaukee,15,2,"03/07/2015, 14:30",Pool E
Wisconsin-La Crosse,Miami (Ohio),15,8,"03/07/2015, 14:30",Pool E
pool,Pool F
Nebraska,Illinois (B),13,0,"03/07/2015, 08:30",Pool F
St Benedict,Illinois (B),15,0,"03/07/2015, 12:30",Pool F
Nebraska,Missouri S&T,15,4,"03/07/2015, 12:30",Pool F
St Benedict,Nebraska,6,15,"03/07/2015, 14:30",Pool F
Missouri S&T,Illinois (B),15,1,"03/07/2015, 14:30",Pool F
pool,Pool G
Northern Iowa,Northwestern (B),14,2,"03/07/2015, 08:30",Pool G
Pacific Lutheran,Notre Dame (B),14,3,"03/07/2015, 08:30",Pool G
Northern Iowa,Notre Dame (B),15,2,"03/07/2015, 10:30",Pool G
Pacific Lutheran,Northwestern (B),14,2,"03/07/2015, 10:30",Pool G
Northern Iowa,Pacific Lutheran,15,6,"03/07/2015, 12:30",Pool G
Northwestern (B),Notre Dame (B),14,4,"03/07/2015, 12:30",Pool G
pool,Pool H
Chicago,Missouri,15,2,"03/07/2015, 08:30",Pool H
Wisconsin-Eau Claire,Wisconsin-Whitewater,14,5,"03/07/2015, 08:30",Pool H
Chicago,Wisconsin-Whitewater,15,0,"03/07/2015, 10:30",Pool H
Wisconsin-Eau Claire,Missouri,13,4,"03/07/2015, 10:30",Pool H
Chicago,Wisconsin-Eau Claire,15,3,"03/07/2015, 12:30",Pool H
Missouri,Wisconsin-Whitewater,13,2,"03/07/2015, 12:30",Pool H
b,r,e,a,k
brackets,BRACKET PLAY
bracket,CHAMPIONSHIP BRACKET
Notre Dame,Chicago,14,8,"03/08/2015, 15:00",FINALS
Notre Dame,Iowa State,15,12,"03/08/2015, 13:00",SEMIS
Texas,Chicago,8,15,"03/08/2015, 13:00",SEMIS
Notre Dame,Grinnell,15,4,"03/08/2015, 11:00",QUARTERS
Iowa State,Nebraska,15,11,"03/08/2015, 11:00",QUARTERS
Texas,Kansas,14,13,"03/08/2015, 11:00",QUARTERS
Chicago,Northwestern,14,7,"03/08/2015, 11:00",QUARTERS
Washington University,Grinnell,12,15,"03/08/2015, 09:00",PRE-QS
Iowa State,Northern Iowa,15,13,"03/08/2015, 09:00",PRE-QS
Iowa,Nebraska,6,15,"03/08/2015, 09:00",PRE-QS
Kansas,Truman State,13,12,"03/08/2015, 09:00",PRE-QS
Minnesota,Chicago,10,12,"03/08/2015, 09:00",PRE-QS
Illinois,Northwestern,10,12,"03/08/2015, 09:00",PRE-QS
Notre Dame,Wisconsin-Eau Claire,15,1,"03/08/2015, 09:00",PRE-QS
Texas,Pacific Lutheran,15,3,"03/08/2015, 09:00",PRE-QS
bracket,3RD PLACE GAME
Iowa State,Texas,7,12,"03/08/2015, 15:00",3RD PLACE GAME
bracket,5TH PLACE BRACKET
Nebraska,Kansas,9,14,"03/08/2015, 15:00",5TH PLACE
Grinnell,Nebraska,13,14,"03/08/2015, 13:00",5TH PLACE SEMIS
Kansas,Northwestern,13,12,"03/08/2015, 13:00",5TH PLACE SEMIS
bracket,7TH PLACE GAME
Grinnell,Northwestern,5,9,"03/08/2015, 15:00",7TH PLACE GAME
bracket,T-9TH PLACE BRACKET #1
Washington University,Iowa,9,15,"03/08/2015, 15:00",T-9TH PLACE GAME
Wisconsin-Eau Claire,Washington University,8,10,"03/08/2015, 11:00",T-9TH PLACE SEMIS
Northern Iowa,Iowa,7,15,"03/08/2015, 11:00",T-9TH PLACE SEMIS
bracket,T-9TH PLACE BRACKET #2
Truman State,Minnesota,11,9,"03/08/2015, 15:00",T-9TH PLACE GAME
Pacific Lutheran,Truman State,4,15,"03/08/2015, 11:00",T-9TH PLACE SEMIS
Minnesota,Illinois,12,9,"03/08/2015, 11:00",T-9TH PLACE SEMIS
bracket,T-13TH PLACE GAME #1
Wisconsin-Eau Claire,Northern Iowa,1,0,"03/08/2015, 15:00",T-13TH PLACE GAME
bracket,T-13TH PLACE GAME #2
Pacific Lutheran,Illinois,0,1,"03/08/2015, 15:00",T-13TH PLACE GAME
bracket,17TH PLACE BRACKET
St Benedict,Wisconsin-Milwaukee,0,1,"03/08/2015, 15:00",17TH PLACE GAME
St Benedict,Missouri State,5,3,"03/09/2015, 01:00",17TH PLACE SEMIS
Wisconsin-Milwaukee,Drake,15,1,"03/08/2015, 13:00",17TH PLACE SEMIS
St Benedict,Wisconsin-La Crosse,15,8,"03/08/2015, 11:00",17TH PLACE QUARTERS
Missouri State,Bradley,15,4,"03/08/2015, 23:00",17TH PLACE QUARTERS
Wisconsin-Milwaukee,Missouri S&T,15,7,"03/08/2015, 11:00",17TH PLACE QUARTERS
Drake,Washington University (B),9,8,"03/08/2015, 11:00",17TH PLACE QUARTERS
bracket,19TH PLACE GAME
Missouri State,Drake,15,3,"03/09/2015, 03:00",19TH PLACE GAME
bracket,21ST PLACE BRACKET
Wisconsin-La Crosse,Missouri S&T,10,11,"03/08/2015, 15:00",21ST PLACE GAME
Wisconsin-La Crosse,Bradley,14,10,"03/08/2015, 13:00",21ST PLACE SEMIS
Missouri S&T,Washington University (B),15,4,"03/08/2015, 13:00",21ST PLACE SEMIS
bracket,23RD PLACE GAME
Bradley,Washington University (B),0,1,"03/08/2015, 15:00",23RD PLACE GAME
bracket,25TH PLACE BRACKET
Northwestern (B),Missouri,3,8,"03/08/2015, 15:00",25TH PLACE GAME
Northwestern (B),Notre Dame (B),12,8,"03/08/2015, 13:00",25TH PLACE SEMIS
Missouri,Miami (Ohio),1,0,"03/08/2015, 13:00",25TH PLACE SEMIS
Notre Dame (B),Illinois (B),10,7,"03/08/2015, 09:00",25TH PLACE QUARTERS
Missouri,Rhodes,13,3,"03/08/2015, 09:00",25TH PLACE QUARTERS
Wisconsin-Whitewater,Miami (Ohio),6,15,"03/08/2015, 09:00",25TH PLACE QUARTERS
bracket,29TH PLACE BRACKET
Illinois (B),Wisconsin-Whitewater,5,15,"03/08/2015, 15:00",29TH PLACE GAME
Rhodes,Wisconsin-Whitewater,0,1,"03/08/2015, 13:00",29TH PLACE SEMIS
b,r,e,a,k
